,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,OtherNoncashItems,ChangeinPayablesandAccruedExpense,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2018-03,,,,,,,382.39M,-11.97M,,-11.97M,,-299.06M,,-313.88M,-0.625M,36.46M,35.84M,13.57M,-109.95M,-96.38M,-17.19M,-17.19M,,-25.60M,-103.34M,118.56M,-34.83M,4.883M,88.62M,13.57M,,-0.625M,-109.95M
2017-12,,,,,,,343.22M,-6.834M,,-6.834M,,-180.83M,0.00,-193.88M,-0.625M,18.44M,17.82M,20.32M,-111.54M,-91.22M,-17.30M,-17.30M,,-26.68M,-117.38M,88.46M,31.96M,-1.855M,118.56M,20.32M,125.00M,-125.62M,-111.54M
2017-09,,,,,,,346.79M,-5.371M,,-5.371M,,-213.74M,0.00,-226.37M,-0.625M,2.106M,1.481M,12.92M,-97.69M,-84.77M,-17.44M,-17.44M,,-21.62M,-122.35M,97.65M,-1.927M,-7.263M,88.46M,12.92M,0.00,-0.625M,-97.69M
2017-06,,,,,,,278.30M,-4.102M,,-4.102M,,-86.25M,0.00,-95.84M,-0.625M,-21.37M,-22.00M,5.745M,-90.04M,-84.29M,-17.59M,-17.59M,,-23.12M,-147.00M,61.75M,35.46M,0.44M,97.65M,5.745M,,-0.625M,-90.04M
2017-03,,,,,,,460.76M,-3.978M,,-3.978M,,-404.18M,0.018M,-410.74M,0.00,61.92M,61.92M,22.22M,-113.72M,-91.49M,-16.50M,-16.50M,,-21.17M,-67.25M,76.16M,-17.23M,2.825M,61.75M,22.22M,,0.00,-113.72M
2016-12,,,,,,,426.78M,-15.02M,,-15.02M,,-318.82M,-0.677M,-343.42M,0.00,-3.042M,-3.042M,14.28M,-93.43M,-79.15M,-16.67M,-16.67M,,-14.80M,-113.67M,104.90M,-30.30M,1.567M,76.16M,14.28M,0.00,0.00,-93.43M
2016-09,,,,,,,366.99M,-3.398M,,-3.398M,,-171.38M,0.767M,-171.54M,0.00,-19.74M,-19.74M,21.77M,-108.38M,-86.61M,-16.78M,-16.78M,,-19.00M,-142.13M,49.68M,53.32M,1.904M,104.90M,21.77M,0.00,0.00,-108.38M
2016-06,,,,,,,264.20M,-2.861M,,-2.861M,,-204.93M,,-212.51M,150.00M,-21.89M,128.11M,21.52M,-117.89M,-96.36M,-16.95M,-16.95M,,-30.19M,-15.40M,12.76M,36.30M,0.625M,49.68M,21.52M,400.00M,-250.00M,-117.89M
2016-03,,,,,,,340.74M,-3.879M,,-3.879M,,-326.72M,,-334.97M,,66.90M,66.90M,3.763M,-85.09M,-81.33M,-16.52M,-16.52M,,-17.64M,-48.59M,61.38M,-42.83M,-5.797M,12.76M,3.763M,,,-85.09M
2015-12,,,,,,,390.16M,-6.294M,,-6.294M,,-140.71M,,-153.42M,,-128.24M,-128.24M,3.439M,-88.46M,-85.02M,-16.68M,-16.68M,,-24.71M,-254.65M,59.48M,-17.91M,19.81M,61.38M,3.439M,,,-88.46M
2015-09,,,,,,,275.77M,-16.71M,,-16.71M,,-100.49M,,-123.29M,,-18.76M,-18.76M,11.01M,-118.50M,-107.49M,-16.91M,-16.91M,,-21.68M,-164.84M,62.85M,-12.36M,8.995M,59.48M,11.01M,,,-118.50M
2015-06,,,,,,,174.39M,-7.869M,,-7.869M,,-99.20M,,-112.31M,0.00,128.45M,128.45M,9.684M,-100.95M,-91.26M,-17.10M,-17.10M,,-21.22M,-1.133M,3.086M,60.95M,-1.189M,62.85M,9.684M,0.00,0.00,-100.95M
2015-03,,,,,,,279.73M,-6.08M,,-6.08M,,-235.64M,,-244.33M,,20.52M,20.52M,11.82M,-110.62M,-98.80M,-16.21M,-16.21M,,-10.61M,-105.09M,66.02M,-69.69M,6.754M,3.086M,11.82M,,,-110.62M
2014-12,,,,,,,220.31M,-4.885M,8.698M,3.813M,,-50.04M,,-53.33M,,-52.02M,-52.02M,,-107.22M,-50.93M,-16.38M,-16.38M,-39.56M,-14.32M,-173.21M,67.00M,-6.233M,5.254M,66.02M,,,,-107.22M
2014-09,,,,,,,225.02M,-4.476M,0.035M,-4.441M,,-83.33M,,-94.94M,,15.48M,15.48M,,-103.77M,-103.77M,-16.65M,-16.65M,4.542M,-14.94M,-115.34M,45.80M,14.73M,6.462M,67.00M,,,,-103.77M
2014-06,,,,,,,144.53M,-4.931M,0.019M,-4.912M,,-15.59M,,-26.35M,,10.03M,10.03M,,-112.68M,-112.68M,-16.76M,-16.76M,21.06M,-9.191M,-107.54M,40.02M,10.64M,-4.853M,45.80M,,,,-112.68M
2014-03,,,,,,,274.85M,-5.075M,,-5.075M,,-167.38M,,-175.54M,,35.85M,35.85M,,-125.64M,-125.64M,-15.22M,-15.22M,13.95M,-12.82M,-103.87M,36.94M,-4.555M,7.628M,40.02M,,,,-125.64M
2013-12,,,,,,,348.14M,-6.804M,0.013M,-6.791M,,-212.26M,,-226.08M,0.00,1.143M,1.143M,,-139.44M,-41.63M,-15.42M,-15.42M,-73.12M,1.572M,-127.46M,38.79M,-5.397M,3.548M,36.94M,,,0.00,-139.44M
2013-09,,,,,,,278.52M,-2.117M,0.31M,-1.807M,,-61.36M,,-71.71M,-94.05M,-26.96M,-121.01M,,-96.42M,-96.42M,-15.57M,-15.57M,19.74M,1.718M,-211.54M,44.94M,-4.723M,-1.422M,38.79M,,,-94.05M,-96.42M
2013-06,,,,,,,202.25M,-1.392M,0.047M,-1.345M,,-42.08M,,-48.75M,,-20.03M,-20.03M,,-117.16M,-117.16M,-15.78M,-15.78M,21.99M,-2.97M,-133.96M,25.26M,19.54M,0.139M,44.94M,,,,-117.16M
2013-03,,,,,,,290.37M,-0.855M,0.20M,-0.655M,,-263.23M,,-267.85M,,49.82M,49.82M,,-129.24M,-129.24M,-14.14M,-14.14M,31.40M,-0.813M,-62.97M,61.71M,-40.44M,3.985M,25.26M,,,,-129.24M
2012-12,,,,,,,245.17M,-0.811M,0.00,-0.811M,,-95.32M,,-289.38M,-123.71M,-0.701M,-124.41M,,-104.07M,76.96M,-14.23M,-14.23M,-138.31M,5.333M,-194.66M,298.83M,-238.88M,1.756M,61.71M,,0.00,-123.71M,-104.07M
2012-09,,,,,,,250.54M,-1.175M,-0.001M,-1.176M,,-145.19M,,-152.77M,275.00M,-94.04M,180.96M,,-76.46M,-76.46M,-14.31M,-14.31M,35.03M,3.346M,128.57M,70.67M,226.34M,1.826M,298.83M,,275.00M,0.00,-76.46M
2012-06,,,,,,,163.08M,-2.202M,0.038M,-2.164M,,-52.06M,,-60.47M,,94.94M,94.94M,,-199.69M,-199.69M,-14.90M,-14.90M,8.836M,-0.343M,-111.15M,78.30M,-8.539M,0.903M,70.67M,,,,-199.69M
2012-03,,,,,,,284.05M,-0.479M,0.019M,-0.46M,,-191.31M,,-195.42M,,0.042M,0.042M,,-189.95M,-189.95M,-12.09M,-12.09M,94.44M,15.69M,-91.87M,84.11M,-3.235M,-2.576M,78.30M,,,,-189.95M
2011-12,,,,,,,174.98M,-2.459M,0.277M,-2.182M,21.59M,-202.58M,-2.832M,-191.53M,0.00,-0.83M,-0.83M,,-182.27M,-19.66M,-12.24M,-12.24M,-69.66M,30.56M,-71.83M,175.96M,-88.38M,-3.466M,84.11M,,0.00,,-182.27M
2011-09,,,,,,,231.75M,-1.528M,0.057M,-1.471M,,-24.73M,0.00,-34.25M,0.00,25.82M,25.82M,,-125.94M,-125.94M,-12.10M,-12.10M,8.242M,-8.195M,-112.18M,90.23M,85.32M,0.409M,175.96M,,0.00,,-125.94M
2011-06,,,,,,,152.69M,-0.638M,2.718M,2.08M,6.861M,89.52M,-0.001M,89.25M,,-0.58M,-0.58M,,-428.43M,-428.43M,-12.28M,-12.28M,10.59M,-6.771M,-437.48M,283.67M,-195.54M,2.10M,90.23M,,,,-428.43M
2011-03,,,,,,,300.05M,-0.761M,0.037M,-0.724M,-6.861M,-170.84M,2.833M,-175.60M,,1.56M,1.56M,,-235.91M,-235.91M,-12.51M,-12.51M,50.84M,-6.976M,-203.00M,365.68M,-78.55M,-3.455M,283.67M,,,,-235.91M
2010-12,,,,,,,283.64M,-6.344M,0.077M,-6.267M,342.89M,-149.96M,-40.76M,138.34M,0.00,10.01M,10.01M,,-98.20M,-60.34M,-13.00M,-13.00M,-5.924M,-16.20M,-85.45M,32.47M,336.53M,-3.317M,365.68M,,,0.00,-98.20M
2010-09,,,,,,,270.10M,-0.619M,0.00,-0.619M,,-212.11M,38.69M,-181.97M,0.00,-11.59M,-11.59M,,-70.91M,-70.91M,-12.23M,-12.23M,3.887M,11.38M,-79.46M,27.29M,8.668M,-3.494M,32.47M,,,0.00,-70.91M
2010-06,,,,,,,171.57M,-1.894M,0.00,-1.894M,11.79M,-88.45M,2.076M,-88.78M,-8.913M,0.527M,-8.386M,,-63.40M,-63.40M,-24.84M,-12.41M,0.364M,-12.48M,-96.32M,39.94M,-13.52M,0.875M,27.29M,,,-8.913M,-63.40M
2010-03,,,,,,,303.28M,-0.324M,0.00,-0.324M,-11.79M,-413.12M,,-425.23M,,-33.38M,-33.38M,,-13.48M,-13.48M,,-12.42M,1.673M,-10.78M,-68.39M,231.92M,-190.34M,-1.634M,39.94M,,,,-13.48M
2009-12,,,,,,,387.36M,-1.563M,-0.035M,-1.598M,-5.498M,681.40M,-861.99M,-211.34M,-0.401M,0.298M,-0.103M,,0.00,4.43M,,-11.59M,-2.136M,-102.24M,-111.64M,171.52M,64.39M,-3.988M,231.92M,,0.00,70.82M,0.00
2009-09,,,,,,,228.39M,-1.679M,0.024M,-1.655M,-10.11M,-1.200B,848.16M,-363.17M,-99.05M,-4.57M,-103.62M,,0.00,0.00,,-11.58M,1.64M,78.20M,-35.36M,339.61M,-170.14M,2.054M,171.52M,,0.00,-103.62M,0.00
2009-06,,,,,,,141.98M,-1.173M,0.011M,-1.162M,-3.841M,-173.40M,,-178.40M,296.31M,-35.80M,260.50M,,0.00,0.00,,-11.58M,0.00,80.43M,329.35M,46.68M,292.92M,0.00,339.61M,,296.31M,-35.80M,0.00
2009-03,,,,,,,218.38M,-2.084M,,-2.084M,-5.11M,-176.99M,,-184.19M,,-30.85M,-30.85M,,-47.56M,-47.56M,,-11.86M,0.749M,55.62M,-33.91M,46.40M,0.285M,0.00,46.68M,,,-30.85M,-47.56M
2008-12,,,,,,,116.73M,-1.195M,0.018M,-1.177M,1.982M,-67.04M,17.94M,-64.38M,0.00,58.37M,58.37M,,-76.45M,-50.98M,,-12.10M,-25.40M,10.42M,-19.68M,16.50M,32.67M,-2.764M,46.40M,,-43.80M,0.00,-76.45M
2008-09,,,,,,,190.52M,-1.974M,0.145M,-1.829M,-8.661M,-845.85M,671.20M,-185.14M,0.00,121.46M,121.46M,,-133.27M,-133.27M,,-12.37M,18.06M,6.439M,0.324M,18.22M,5.706M,-7.435M,16.50M,,43.80M,77.66M,-133.27M
2008-06,,,,,,,190.42M,-2.246M,0.47M,-1.776M,-7.461M,682.37M,-671.20M,1.932M,,-116.70M,-116.70M,,-98.48M,-98.48M,,-12.57M,8.574M,37.69M,-181.48M,7.944M,10.88M,-0.602M,18.22M,,-39.04M,-77.66M,-98.48M
2008-03,,,,,,,232.93M,-4.385M,0.153M,-4.232M,-10.64M,-169.79M,,-184.66M,,39.04M,39.04M,,-147.54M,-147.54M,,-11.76M,2.381M,57.46M,-60.42M,20.10M,-12.15M,-0.002M,7.944M,,39.04M,,-147.54M
2007-12,,,,,,,195.08M,-7.252M,0.446M,-6.806M,-3.592M,-165.19M,-1.544M,-192.59M,0.00,-2.088M,-2.088M,42.64M,-4.124M,38.51M,,-12.19M,-39.53M,27.77M,12.48M,9.07M,14.96M,-3.935M,20.10M,42.64M,-34.41M,,-4.124M
2007-09,,,,,,,221.61M,-8.287M,1.777M,-6.51M,-23.78M,-23.40M,14.48M,-39.21M,,-59.31M,-59.31M,,-104.42M,-104.42M,,-12.19M,1.154M,-15.14M,-189.90M,14.10M,-7.492M,2.467M,9.07M,,-59.31M,,-104.42M
2007-06,,,,,,,186.40M,-5.654M,2.266M,-3.388M,-47.12M,-206.02M,98.54M,-157.99M,-46.18M,93.72M,47.54M,-37.17M,-133.57M,-170.74M,,-12.44M,44.83M,71.96M,-18.85M,0.328M,9.564M,4.203M,14.10M,-37.17M,93.72M,,-133.57M
2007-03,,,,,,,246.91M,-2.969M,1.60M,-1.369M,,0.036M,-111.48M,-112.81M,46.18M,,46.18M,37.17M,-209.68M,-172.52M,,-12.76M,,-11.39M,-150.48M,16.72M,-16.39M,0.00,0.328M,37.17M,,,-209.68M
2006-12,142.44M,,,-29.89M,,,189.05M,-1.192M,5.418M,4.226M,,-4.438M,-2.568M,-2.78M,-309.11M,117.44M,-191.67M,4.034M,-16.58M,-12.54M,,-12.78M,,22.59M,-194.39M,25.16M,-8.119M,-0.33M,16.72M,4.034M,0.00,-309.11M,-16.58M
2006-09,376.19M,,,300.06M,,,244.13M,-1.171M,0.056M,-1.115M,,-562.67M,443.82M,-119.96M,0.43M,-149.36M,-148.93M,3.321M,-45.04M,-41.72M,,-12.86M,,91.26M,-112.25M,12.70M,11.92M,0.551M,25.16M,3.321M,0.00,0.43M,-45.04M
2006-06,,,,,,,222.00M,-3.932M,0.542M,-3.39M,,-46.76M,-225.00M,-275.15M,348.78M,,348.78M,5.362M,-105.51M,-100.14M,,-11.06M,,-178.12M,59.44M,6.342M,6.288M,0.065M,12.70M,5.362M,365.42M,-25.96M,-105.51M
2006-03,,,,,,,210.12M,-1.37M,0.295M,-1.075M,,95.09M,-216.72M,-122.71M,-9.318M,,-9.318M,8.734M,-177.74M,-169.00M,,-11.40M,,89.34M,-100.37M,19.30M,-12.96M,,6.342M,8.734M,,,-177.74M
2005-12,,,,,,,177.22M,-1.135M,0.087M,-1.048M,,-79.11M,-34.94M,-115.10M,-6.34M,31.30M,24.96M,1.106M,-12.69M,-11.59M,,-11.42M,,-50.38M,-48.42M,5.601M,13.70M,,19.30M,1.106M,-6.34M,0.00,-12.69M
2005-09,,,,,,,220.88M,-0.61M,0.034M,-0.576M,,-4.59M,-169.83M,-174.99M,1.09M,-42.90M,-41.81M,0.082M,-51.97M,-51.89M,,-11.52M,,53.26M,-51.96M,11.67M,-6.066M,,5.601M,0.082M,-41.81M,,-51.97M
2005-06,,,,,,,198.26M,-0.901M,0.299M,-0.602M,,136.94M,-214.92M,-78.59M,-45.55M,42.90M,-2.648M,215.06M,-317.79M,-102.73M,,-11.54M,,,-116.92M,8.914M,2.753M,,11.67M,215.06M,-2.648M,0.00,-317.79M
2005-03,,,,,,,261.10M,-0.801M,0.007M,-0.794M,,-83.34M,-46.16M,-130.28M,50.80M,,50.80M,1.013M,-172.49M,-171.48M,,-11.88M,,,-132.56M,10.65M,-1.737M,,8.914M,1.013M,50.80M,,-172.49M
2004-12,108.35M,,,-603.36M,,,167.46M,-1.231M,-0.097M,-1.328M,,302.99M,-462.76M,-161.10M,9.077M,-12.09M,-3.017M,6.227M,-41.18M,-34.96M,,-11.94M,,,0.155M,4.13M,6.521M,,10.65M,6.227M,-40.44M,49.52M,-41.18M
2004-09,360.21M,,,239.40M,,,204.16M,-0.779M,0.269M,-0.51M,,-116.92M,18.51M,-98.92M,-11.96M,0.00,-11.96M,1.435M,-83.62M,-82.18M,,-12.11M,,,-106.25M,5.142M,-1.012M,,4.13M,1.435M,9.436M,-21.39M,-83.62M
2004-06,,,,,,,181.95M,-0.79M,0.029M,-0.761M,,10.37M,-49.23M,-39.62M,-11.32M,-40.90M,-52.22M,6.361M,-99.03M,-92.66M,,-12.31M,,,-157.19M,20.00M,-14.86M,,5.142M,6.361M,-9.898M,-28.12M,-99.03M
2004-03,,,,,,,213.50M,-1.20M,0.10M,-1.10M,,-233.00M,34.50M,-199.60M,14.20M,40.90M,55.10M,12.10M,-61.40M,-49.30M,,-12.40M,,,-6.60M,12.70M,7.30M,,20.00M,12.10M,40.90M,,-61.40M
2003-12,430.14M,,,716.61M,5.80M,-487.47M,181.10M,-0.942M,2.455M,1.513M,,453.22M,-627.50M,-172.77M,-96.16M,-19.00M,-115.16M,5.248M,-26.14M,-20.89M,,-12.50M,,142.40M,-6.154M,10.50M,2.185M,,12.70M,5.248M,-126.70M,11.54M,-26.14M
2003-09,-210.22M,-437.96M,-437.96M,90.76M,143.37M,170.20M,172.18M,-1.016M,0.92M,-0.096M,,-162.64M,-6.646M,-169.39M,164.18M,,164.18M,2.084M,-61.75M,-59.67M,,-10.32M,,-94.16M,0.039M,7.669M,2.827M,,10.50M,2.084M,126.70M,37.48M,-61.75M
2003-06,109.59M,437.96M,437.96M,-212.94M,-143.37M,-170.20M,164.41M,-1.071M,0.004M,-1.067M,,-72.36M,0.076M,-73.36M,-80.95M,-12.94M,-80.95M,2.494M,-60.62M,-58.13M,,-10.44M,,53.94M,-95.58M,12.19M,-4.526M,,7.669M,2.494M,-25.87M,-68.02M,-60.62M
2003-03,100.63M,,,122.18M,,,222.81M,-0.571M,0.021M,-0.55M,,-196.81M,13.17M,-184.19M,12.94M,12.94M,12.94M,0.674M,-76.79M,-76.11M,,-10.64M,,40.22M,-33.60M,7.179M,5.014M,,12.19M,0.674M,25.87M,,-76.79M
2002-12,105.19M,,,172.66M,,,141.81M,-0.71M,0.197M,-0.513M,,303.53M,-462.10M,-159.08M,0.00,23.28M,23.21M,1.59M,-13.08M,-11.49M,,-10.67M,,18.78M,19.84M,4.622M,2.559M,,7.181M,1.59M,2.558M,-5.116M,-13.08M
2002-09,117.37M,,,100.72M,,,218.09M,-0.647M,-0.024M,-0.671M,,-109.04M,-65.55M,-175.27M,21.40M,-25.84M,-4.373M,0.007M,-48.03M,-48.02M,,-10.78M,,21.91M,-41.27M,3.068M,1.554M,,4.622M,0.007M,,21.40M,-48.03M
2002-06,62.71M,,,77.94M,,,140.65M,-0.463M,0.009M,-0.454M,,2.138M,,1.684M,-21.40M,-37.84M,-59.23M,0.857M,-80.71M,-79.85M,,-10.99M,,6.285M,-143.79M,4.525M,-1.457M,,3.068M,0.857M,-75.67M,16.44M,-80.71M
2002-03,98.15M,,,52.11M,,,150.26M,-0.622M,0.015M,-0.607M,,-135.28M,,-135.88M,-0.075M,37.84M,37.76M,2.643M,-40.37M,-37.73M,,-11.06M,,-2.543M,-13.57M,3.714M,0.811M,,4.525M,2.643M,75.67M,-37.91M,-40.37M
2001-12,83.13M,,,-17.37M,,,117.78M,-0.907M,0.393M,-0.514M,,250.44M,-361.91M,-111.98M,52.07M,-9.658M,42.41M,0.417M,-75.03M,-74.61M,,-11.24M,,87.26M,-11.62M,9.543M,-5.829M,,3.714M,144.97M,158.46M,-116.05M,-275.03M
2001-09,69.00M,,,187.07M,,,256.08M,-0.809M,0.215M,-0.594M,,-185.94M,,-186.53M,23.53M,9.658M,33.19M,131.25M,-173.58M,-42.33M,,-10.87M,,-45.05M,-65.07M,5.07M,4.473M,,9.543M,131.25M,19.32M,13.87M,-173.58M
2001-06,107.98M,,,-69.92M,,,38.07M,-0.768M,0.551M,-0.217M,,76.38M,-0.303M,75.86M,-2.236M,,-2.236M,2.264M,-39.35M,-37.08M,,-11.70M,,-63.69M,-114.71M,5.852M,-0.782M,,5.07M,2.264M,,-2.236M,-39.35M
2001-03,96.40M,,,109.37M,,,205.77M,-1.208M,,-1.208M,,-174.47M,0.303M,-175.37M,-29.04M,,-29.04M,1.074M,-15.13M,-14.06M,,-11.38M,,-5.156M,-59.63M,35.09M,-29.24M,,5.852M,1.074M,,-29.04M,-15.13M
2000-12,94.59M,,,-259.09M,,,148.92M,-0.139M,0.922M,0.783M,,-106.27M,,-105.49M,14.04M,0.00,14.04M,8.941M,-33.41M,-24.47M,,-11.43M,,1.351M,-20.51M,12.17M,22.92M,,35.09M,8.941M,0.00,14.04M,-33.41M
2000-09,100.42M,,,33.37M,,,133.79M,-1.345M,0.344M,-1.001M,,-79.24M,-0.216M,-80.46M,-32.19M,0.00,-32.19M,0.138M,-17.97M,-17.84M,,-11.30M,,3.215M,-58.11M,16.95M,-4.78M,,12.17M,0.138M,0.00,-32.19M,-17.97M
2000-06,85.84M,,,20.70M,,,106.54M,-4.275M,-0.134M,-4.409M,,15.08M,0.216M,10.89M,-65.39M,,-65.39M,0.292M,-37.98M,-37.69M,,-11.21M,,3.345M,-110.95M,10.47M,6.474M,,16.95M,0.292M,,-65.39M,-37.98M
2000-03,91.27M,,,52.26M,,,143.53M,-0.749M,0.134M,-0.615M,,-68.04M,,-68.65M,-11.85M,0.00,-11.85M,0.515M,-57.64M,-57.12M,,-12.48M,,2.605M,-78.84M,14.44M,-3.967M,,10.47M,0.515M,0.00,-11.85M,-57.64M
1999-12,68.96M,,,-372.27M,,,216.75M,-2.273M,,5.818M,,-220.16M,-6.621M,-220.96M,-47.23M,,15.92M,35.72M,-46.43M,-10.71M,,-11.83M,,16.19M,9.58M,9.073M,5.368M,,14.44M,35.72M,79.12M,-63.20M,-46.43M
1999-09,73.31M,,,29.13M,,,102.44M,-0.988M,,-0.988M,,-64.39M,0.035M,-65.35M,4.239M,,4.239M,0.238M,-54.86M,-54.62M,,-12.00M,,20.62M,-41.77M,13.75M,-4.674M,,9.073M,0.238M,4.313M,-0.074M,-54.86M
1999-06,49.04M,,,21.42M,,,70.47M,-4.092M,,-4.092M,,-54.32M,6.563M,-51.84M,-19.98M,,-19.98M,0.304M,-9.094M,-8.79M,,-12.02M,,27.50M,-13.29M,8.415M,5.332M,,13.75M,0.304M,-14.71M,-5.275M,-9.094M
1999-03,82.64M,,,39.32M,,,121.95M,-1.141M,,-1.141M,,-47.90M,0.023M,-49.02M,50.85M,,50.85M,0.901M,-111.49M,-110.59M,,-12.33M,,2.635M,-69.44M,4.92M,3.495M,,8.415M,0.901M,57.63M,-6.783M,-111.49M
1998-12,52.84M,,,-77.87M,,,110.37M,-2.27M,,-1.237M,,18.09M,144.91M,161.76M,-219.72M,,-3.288M,35.80M,,-125.33M,,-18.90M,,-122.28M,-269.80M,2.60M,2.335M,,4.92M,35.80M,223.73M,-227.02M,
1998-09,55.70M,,,29.30M,,,85.00M,-2.30M,,-2.30M,,-21.40M,10.10M,-13.60M,-70.40M,,-70.40M,-34.40M,,-34.40M,,-21.10M,,52.40M,-73.50M,4.60M,-2.00M,,2.60M,-34.40M,-70.20M,-0.20M,
1998-06,55.30M,,,22.60M,,,77.90M,-1.00M,,-1.00M,,-184.40M,0.70M,-184.70M,-18.60M,,-18.60M,0.50M,,0.50M,,-21.60M,,150.60M,110.90M,0.70M,3.90M,,4.60M,0.50M,279.30M,-297.90M,
