,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2015-06,70.10M,,,,,,100.40M,100.40M,13.30M,,,3.60M,53.10M,-5.50M,,32.80M,-22.70M,-33.40M,-9.10M,15.20M,,,2015-06,,,,-222.60M,,3.20M,-219.40M,2015-06,-151.40M,190.60M,39.20M,17.40M,,17.40M,,,,-62.20M,,-20.40M,-26.00M,,2015-06,-42.80M,54.80M,,2015-06,17.40M,,-151.40M,,53.30M,,2015-06,AOR,Restated
2015-03,99.20M,,,,,,100.20M,100.20M,29.70M,,,-0.10M,58.60M,49.50M,,-32.80M,,-6.60M,17.00M,85.70M,,,2015-03,,,,-245.80M,,-5.10M,-250.90M,2015-03,,-99.80M,-99.80M,122.10M,,122.10M,,,,-60.70M,,15.30M,-23.10M,,2015-03,40.70M,97.60M,,2015-03,122.10M,,,,40.20M,,2015-03,AOR,Restated
2014-12,62.50M,,,,,,153.90M,153.90M,1.00M,,,-34.70M,-54.40M,,,,-285.50M,-50.30M,339.20M,-51.00M,,,2014-12,,0.00,0.00,-270.30M,,-7.00M,-277.30M,2014-12,499.20M,-212.50M,286.70M,0.00,,0.00,,,,-56.50M,,-34.70M,195.50M,,2014-12,45.90M,56.90M,,2014-12,0.00,810.00M,-310.80M,,49.00M,,2014-12,AOR,Restated
2014-09,155.90M,,,,,,97.10M,97.10M,16.90M,,,1.90M,67.50M,,,-35.80M,9.60M,15.90M,-13.30M,43.90M,,,2014-09,,0.00,0.00,-268.00M,,-3.40M,-271.40M,2014-09,-44.00M,45.90M,1.90M,0.00,,0.00,,,,-56.40M,,5.00M,-49.50M,,2014-09,-5.20M,11.00M,,2014-09,0.00,2.90M,-46.90M,,41.30M,,2014-09,AOR,Restated
2014-06,64.30M,,,,,,95.80M,95.80M,1.40M,,,5.80M,38.20M,-63.30M,,10.40M,-163.90M,45.20M,120.70M,-12.70M,,,2014-06,,,,-191.50M,,-0.70M,-192.20M,2014-06,-0.80M,86.60M,85.80M,0.00,,0.00,,,,-56.40M,,9.90M,39.30M,,2014-06,1.70M,16.20M,,2014-06,0.00,,-0.80M,,49.10M,,2014-06,AOR,Restated
2014-03,110.60M,,,,,,95.50M,95.50M,35.90M,,,5.90M,-9.60M,63.30M,,25.40M,,,-33.40M,45.70M,,,2014-03,,,,-173.00M,,-3.80M,-176.80M,2014-03,,-58.10M,-58.10M,0.00,,0.00,,,,-56.50M,,2.50M,-112.10M,,2014-03,4.70M,14.50M,,2014-03,0.00,,,,41.40M,,2014-03,AOR,Restated
2013-12,68.10M,,-11.00M,-11.00M,,,104.60M,104.60M,16.10M,,,-9.90M,-147.40M,,,,154.90M,-15.90M,-80.40M,-88.80M,,,2013-12,,,,-238.00M,,-3.50M,-241.50M,2013-12,249.30M,-22.90M,226.40M,,,,0.00,0.00,0.00,-52.10M,8.90M,-37.50M,145.70M,,2013-12,-7.90M,9.80M,,2013-12,0.00,,-0.70M,-9.70M,171.70M,,2013-12,AOR,Restated
2013-09,160.20M,,-11.10M,-11.10M,,,101.90M,101.90M,51.40M,,,-4.50M,8.60M,,,-53.30M,39.60M,-59.80M,-22.40M,-87.30M,,,2013-09,,,,-191.30M,,0.30M,-191.00M,2013-09,-0.80M,24.20M,23.40M,,,,0.00,0.00,0.00,-52.00M,-2.60M,8.60M,-22.60M,,2013-09,6.20M,17.70M,,2013-09,0.00,,-0.80M,9.70M,-86.70M,,2013-09,AOR,Restated
2013-06,67.80M,,-10.90M,-10.90M,,,102.30M,102.30M,18.30M,,,-6.00M,31.50M,-32.00M,,51.80M,-73.90M,8.20M,59.10M,44.70M,,,2013-06,,,,-201.70M,,-0.80M,-202.50M,2013-06,,-0.30M,-0.30M,,,,0.00,0.00,0.00,-52.00M,-2.50M,-9.30M,-64.10M,,2013-06,-41.90M,11.50M,,2013-06,0.00,,,-2.30M,43.20M,,2013-06,AOR,Restated
2013-03,80.10M,,-10.70M,-10.70M,,,102.30M,102.30M,22.50M,,,-3.60M,-42.90M,32.00M,,1.50M,19.90M,-23.30M,11.90M,-0.90M,,,2013-03,,,,-167.30M,,47.60M,-119.70M,2013-03,,10.90M,10.90M,,,,200.00M,-211.00M,-11.00M,-52.20M,-3.80M,9.40M,-46.70M,,2013-03,32.20M,53.40M,,2013-03,200.00M,,,2.30M,43.50M,,2013-03,AOR,Restated
