,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2015-03,300.00M,,48.00M,,48.00M,,,,,,,,,81.00M,21.00M,,-28.00M,,,-178.00M,-133.00M,296.00M,,,,,-1.637B,602.00M,-1.035B,298.00M,,298.00M,,-350.00M,-350.00M,,,,-52.00M,-52.00M,12.00M,399.00M,307.00M,3.919B,-432.00M,3.487B,,298.00M,,-350.00M
2014-12,349.00M,,106.00M,,106.00M,,,,,,,,,694.00M,-25.00M,,31.00M,,,-19.00M,282.00M,1.431B,,,,0.00,-170.00M,444.00M,-83.00M,83.00M,,83.00M,,-200.00M,-200.00M,,,,-44.00M,-44.00M,9.00M,902.00M,750.00M,1.821B,2.098B,3.919B,,83.00M,0.00,-200.00M
2014-09,439.00M,,-90.00M,,-90.00M,,,,,,,,,-8.00M,17.00M,,270.00M,,,43.00M,383.00M,724.00M,,,,0.00,-861.00M,244.00M,-617.00M,0.00,,0.00,,-150.00M,-150.00M,,,,-42.00M,-42.00M,23.00M,374.00M,205.00M,1.509B,312.00M,1.821B,,0.00,0.00,-150.00M
2014-06,398.00M,,-34.00M,,-34.00M,,,,,,,,,-7.00M,39.00M,,-120.00M,,,-54.00M,-249.00M,108.00M,,,,,-771.00M,43.00M,-728.00M,0.00,,0.00,,-150.00M,-150.00M,,,,-42.00M,-42.00M,4.00M,468.00M,280.00M,1.849B,-340.00M,1.509B,,0.00,0.00,-150.00M
2014-03,329.00M,,18.00M,,18.00M,,,,,,,,,-131.00M,-84.00M,,48.00M,,,21.00M,47.00M,263.00M,,,,,-636.00M,259.00M,-377.00M,-500.00M,,-500.00M,,-150.00M,-150.00M,,,,-42.00M,-42.00M,-4.00M,295.00M,-401.00M,2.364B,-515.00M,1.849B,,0.00,-500.00M,-150.00M
2013-12,351.00M,,30.00M,,30.00M,,,,,,,,,-32.00M,7.00M,,115.00M,,,507.00M,-54.00M,295.00M,,,,,-554.00M,-342.00M,-896.00M,-4.00M,,-4.00M,,-100.00M,-100.00M,,,,,-31.00M,34.00M,416.00M,315.00M,2.65B,-286.00M,2.364B,,-4.00M,,-100.00M
2013-09,337.00M,,29.00M,,29.00M,,,,,,,,,-18.00M,3.00M,,105.00M,,,-148.00M,101.00M,449.00M,,,,,-298.00M,-713.00M,-1.011B,347.00M,,347.00M,,-100.00M,-100.00M,,,,,-32.00M,1.00M,422.00M,638.00M,2.574B,76.00M,2.65B,,347.00M,0.00,-100.00M
2013-06,317.00M,,17.00M,,17.00M,,,,,,,,,-34.00M,10.00M,,91.00M,,,53.00M,6.00M,306.00M,,,,,-1.636B,122.00M,-1.514B,50.00M,,50.00M,,-150.00M,-150.00M,,,,,-32.00M,2.00M,805.00M,675.00M,3.107B,-533.00M,2.574B,,50.00M,0.00,-150.00M
2013-03,239.00M,,59.00M,,59.00M,,,,,,,,,-107.00M,-60.00M,,66.00M,,,-112.00M,-442.00M,-251.00M,,,,,-1.179B,-110.00M,-1.289B,0.00,,0.00,,-100.00M,-100.00M,,,,,-33.00M,-2.00M,552.00M,417.00M,4.23B,-1.123B,3.107B,,,0.00,-100.00M
2012-12,321.00M,,-46.00M,95.00M,49.00M,,,,,,,,,-20.00M,-14.00M,,169.00M,,,-62.00M,253.00M,603.00M,,,,,-1.325B,-465.00M,-1.79B,-20.00M,,-20.00M,,-92.00M,-92.00M,,,,,-24.00M,2.00M,1.178B,1.044B,4.373B,-143.00M,4.23B,,0.00,-20.00M,-92.00M
2012-09,428.00M,,-71.00M,-13.00M,-84.00M,,,,,,,,,38.00M,22.00M,,-179.00M,,,182.00M,-330.00M,52.00M,,,,,-485.00M,-560.00M,-1.045B,-298.00M,,-298.00M,,-100.00M,-100.00M,,,,,-21.00M,2.00M,526.00M,109.00M,5.257B,-884.00M,4.373B,,2.00M,-300.00M,-100.00M
2012-06,321.00M,,-42.00M,-82.00M,-124.00M,,,,,,,,,-71.00M,49.00M,,15.00M,,,-109.00M,206.00M,332.00M,,,,,-1.291B,2.182B,891.00M,0.00,,0.00,,-150.00M,-150.00M,,,,,-23.00M,-2.00M,693.00M,518.00M,3.516B,1.741B,5.257B,,0.00,,-150.00M
2012-03,244.00M,,85.00M,,85.00M,,,,,,,,,15.00M,-29.00M,,187.00M,,,-2.00M,-62.00M,282.00M,,,,,-1.021B,-892.00M,-1.913B,298.00M,,298.00M,,-150.00M,-150.00M,,,,,-23.00M,-3.00M,515.00M,637.00M,4.51B,-994.00M,3.516B,,298.00M,,-150.00M
2011-12,-546.00M,,294.00M,,204.00M,,,,,,56.00M,,,-274.00M,-25.00M,,63.00M,,-141.00M,-99.00M,155.00M,342.00M,,,,,-925.00M,-189.00M,-1.114B,-250.00M,0.00,-250.00M,,-194.00M,-194.00M,,,,,-13.00M,,904.00M,450.00M,4.832B,-322.00M,4.51B,,0.00,-250.00M,-194.00M
2011-09,153.00M,-7.00M,75.00M,,68.00M,,,,,,-19.00M,,,128.00M,-13.00M,,-42.00M,,-230.00M,7.00M,-274.00M,56.00M,,,,,-968.00M,2.029B,1.061B,-275.00M,0.00,-275.00M,,-150.00M,-150.00M,,,,,-17.00M,,1.245B,803.00M,2.912B,1.92B,4.832B,,0.00,-275.00M,-150.00M
2011-06,303.00M,9.00M,-75.00M,,-66.00M,,,,,,-18.00M,,,48.00M,31.00M,,166.00M,,247.00M,88.00M,271.00M,538.00M,,,,,-937.00M,232.00M,-705.00M,298.00M,-100.00M,198.00M,,-151.00M,-151.00M,,,,,-15.00M,,831.00M,863.00M,2.216B,696.00M,2.912B,,298.00M,,-151.00M
2011-03,314.00M,-2.00M,,,-2.00M,,,,,,-19.00M,,,7.00M,-66.00M,,131.00M,,124.00M,-62.00M,40.00M,340.00M,,,,,-1.239B,-128.00M,-1.367B,0.00,,0.00,,-80.00M,-80.00M,,,,,-16.00M,,598.00M,502.00M,2.741B,-525.00M,2.216B,,0.00,,-80.00M
2010-12,51.00M,87.00M,,,156.00M,,,,,,56.00M,,,-40.00M,-27.00M,,133.00M,,-671.00M,7.00M,353.00M,576.00M,,,,0.00,-785.00M,-933.00M,-1.718B,-155.00M,0.00,-155.00M,0.00,-23.00M,-23.00M,,998.00M,0.00,,-3.00M,,516.00M,336.00M,3.547B,-806.00M,2.741B,0.00,0.00,-155.00M,975.00M
2010-09,246.00M,-108.00M,,,-108.00M,,,,,,-18.00M,,,42.00M,9.00M,,59.00M,,67.00M,-16.00M,109.00M,271.00M,,,,0.00,-1.55B,171.00M,-1.379B,0.00,2.00M,2.00M,0.00,-2.00M,-2.00M,,-48.00M,-48.00M,,-3.00M,,1.006B,955.00M,3.70B,-153.00M,3.547B,0.00,0.00,0.00,-50.00M
2010-06,256.00M,-5.00M,,,-5.00M,,,,,,-19.00M,,,0.00,31.00M,,-113.00M,,286.00M,29.00M,76.00M,308.00M,,,,28.00M,-1.601B,529.00M,-1.044B,749.00M,-2.00M,747.00M,368.00M,0.00,368.00M,,-950.00M,-950.00M,,-21.00M,,847.00M,991.00M,3.445B,255.00M,3.70B,368.00M,749.00M,0.00,-950.00M
2010-03,283.00M,26.00M,,,26.00M,,,,,,-19.00M,,,-95.00M,-27.00M,,315.00M,,318.00M,2.00M,370.00M,565.00M,,,,293.00M,-1.693B,-89.00M,-1.489B,-250.00M,1.00M,-249.00M,,0.00,0.00,,,,,-15.00M,,449.00M,185.00M,4.184B,-739.00M,3.445B,,,-250.00M,0.00
2009-12,102.00M,,-1.005B,,141.00M,,56.00M,56.00M,56.00M,,,-92.00M,,395.00M,2.00M,,36.00M,,,-157.00M,-141.00M,385.00M,,,,314.00M,957.00M,-1.823B,-552.00M,297.00M,-50.00M,247.00M,0.00,0.00,0.00,-950.00M,,0.00,,-15.00M,,643.00M,875.00M,3.476B,708.00M,4.184B,-950.00M,297.00M,0.00,0.00
2009-09,153.00M,,366.00M,,366.00M,,-19.00M,-19.00M,-19.00M,,,-18.00M,,-1.00M,80.00M,,-137.00M,,,73.00M,-376.00M,105.00M,,,,9.00M,-1.682B,-23.00M,-1.696B,-4.00M,-54.00M,-58.00M,20.00M,,20.00M,950.00M,0.00,950.00M,,-8.00M,,1.475B,2.379B,2.688B,788.00M,3.476B,970.00M,-4.00M,112.00M,0.00
2009-06,-161.00M,,406.00M,,406.00M,,-18.00M,-18.00M,-18.00M,,,236.00M,,73.00M,9.00M,,74.00M,,,83.00M,255.00M,791.00M,,,,2.00M,-4.724B,-12.00M,-4.734B,-5.00M,-483.00M,-488.00M,632.00M,8.00M,640.00M,,,,,-2.00M,,868.00M,1.018B,5.613B,-2.925B,2.688B,632.00M,124.00M,-612.00M,8.00M
2009-03,-579.00M,,233.00M,,233.00M,,-19.00M,-19.00M,-19.00M,,,604.00M,,-202.00M,37.00M,,36.00M,,,-2.00M,-381.00M,-344.00M,,,,2.00M,-856.00M,-16.00M,-870.00M,-22.00M,371.00M,349.00M,,-8.00M,-8.00M,,,,,-54.00M,,614.00M,901.00M,5.926B,-313.00M,5.613B,,371.00M,-22.00M,-8.00M
2008-12,-505.00M,,396.00M,,396.00M,,-19.00M,-19.00M,-19.00M,,,218.00M,35.00M,-7.00M,22.00M,,-276.00M,,,991.00M,330.00M,448.00M,,,,3.00M,198.00M,2.544B,2.745B,-15.00M,195.00M,180.00M,17.00M,0.00,17.00M,,,,,-107.00M,,483.00M,573.00M,2.16B,3.766B,5.926B,17.00M,0.00,130.00M,0.00
2008-09,148.00M,,250.00M,,250.00M,,-19.00M,-19.00M,-19.00M,,,0.00,-19.00M,374.00M,-24.00M,,2.00M,,,,-374.00M,360.00M,,,,1.00M,247.00M,-392.00M,-144.00M,265.00M,-80.00M,185.00M,7.00M,-75.00M,-68.00M,0.00,,0.00,,-106.00M,,12.00M,23.00M,1.921B,239.00M,2.16B,7.00M,450.00M,-265.00M,-75.00M
2008-06,113.00M,,49.00M,,49.00M,,-19.00M,-19.00M,-19.00M,,,175.00M,7.00M,-69.00M,105.00M,,-156.00M,,,-193.00M,97.00M,353.00M,,,,2.00M,-448.00M,-346.00M,-792.00M,0.00,-11.00M,-11.00M,13.00M,-115.00M,-102.00M,,,,,-107.00M,,133.00M,-87.00M,2.447B,-526.00M,1.921B,13.00M,0.00,-11.00M,-115.00M
2008-03,301.00M,,47.00M,,47.00M,,-19.00M,-19.00M,-19.00M,,,0.00,12.00M,-214.00M,-34.00M,,-74.00M,,,193.00M,-29.00M,98.00M,,,,642.00M,-528.00M,648.00M,762.00M,-100.00M,-54.00M,-154.00M,12.00M,-286.00M,-274.00M,,,,,-110.00M,,460.00M,-78.00M,1.665B,782.00M,2.447B,12.00M,,-154.00M,-286.00M
2007-12,113.00M,,497.00M,,497.00M,,-18.00M,-18.00M,-18.00M,,,0.00,8.00M,-1.361B,20.00M,,227.00M,,,2.13B,586.00M,-175.00M,,,,64.00M,-376.00M,-36.00M,-348.00M,367.00M,39.00M,406.00M,17.00M,-300.00M,-283.00M,,,,,-107.00M,,845.00M,861.00M,1.326B,338.00M,1.665B,17.00M,146.00M,-5.00M,-300.00M
2007-09,330.00M,,-194.00M,,-194.00M,-15.00M,-20.00M,-35.00M,-35.00M,,,0.00,10.00M,1.132B,77.00M,,63.00M,,,-824.00M,-502.00M,741.00M,,,,0.00,-596.00M,-137.00M,-733.00M,200.00M,196.00M,396.00M,19.00M,-174.00M,-155.00M,,,,,-107.00M,,195.00M,329.00M,989.00M,337.00M,1.326B,19.00M,496.00M,-100.00M,-174.00M
2007-06,376.00M,,218.00M,,218.00M,15.00M,-45.00M,-30.00M,-30.00M,,,0.00,29.00M,-936.00M,-57.00M,,295.00M,,,824.00M,1.263B,920.00M,,,,0.00,185.00M,-224.00M,-39.00M,-238.00M,-120.00M,-358.00M,62.00M,0.00,62.00M,,,,,-107.00M,,-389.00M,-792.00M,900.00M,89.00M,989.00M,62.00M,31.00M,-239.00M,0.00
2007-03,396.00M,,,,,,,,,,,,,92.00M,-19.00M,,,,,,-19.00M,469.00M,,,,,-943.00M,102.00M,-841.00M,435.00M,150.00M,585.00M,,-512.00M,-512.00M,,,,,-109.00M,,-313.00M,-349.00M,1.621B,-721.00M,900.00M,,749.00M,-314.00M,-512.00M
2006-12,382.00M,,,,,-44.00M,,17.00M,17.00M,,,,,-1.523B,-225.00M,447.00M,287.00M,,,,2.246B,1.106B,,,,,177.00M,1.778B,129.00M,-178.00M,0.00,-178.00M,,852.00M,1.018B,,,,,-105.00M,,-1.456B,-721.00M,1.108B,514.00M,1.622B,,0.00,-742.00M,852.00M
2006-09,364.00M,,,,,14.00M,,14.00M,14.00M,,,,,983.00M,-42.00M,-198.00M,-99.00M,,,,-339.00M,1.022B,,,,,-516.00M,12.00M,-504.00M,0.00,-7.00M,-7.00M,,-349.00M,-349.00M,,,,,-65.00M,,-489.00M,-910.00M,1.50B,-392.00M,1.108B,,0.00,0.00,-349.00M
2006-06,349.00M,,,,,16.00M,19.00M,35.00M,35.00M,,,,,-65.00M,309.00M,-169.00M,58.00M,,,,278.00M,597.00M,,,,,-134.00M,-1.635B,-1.769B,2.045B,-448.00M,1.597B,,-503.00M,-503.00M,,,,,-148.00M,,-248.00M,698.00M,1.974B,-474.00M,1.50B,,2.045B,0.00,-503.00M
2006-03,221.00M,,,,,14.00M,-19.00M,-5.00M,-5.00M,,,,,268.00M,7.00M,-80.00M,-6.00M,,,,-159.00M,325.00M,,,,,-52.00M,-69.00M,-121.00M,0.00,-109.00M,-109.00M,,0.00,0.00,,,,,-67.00M,,-366.00M,-542.00M,2.312B,-338.00M,1.974B,,0.00,0.00,0.00
2005-12,225.00M,,22.00M,,22.00M,18.00M,-19.00M,-1.00M,-1.00M,,,,,1.316B,260.00M,280.00M,-789.00M,337.00M,-789.00M,,-1.222B,340.00M,,,,0.00,2.624B,-2.048B,576.00M,0.00,-46.00M,-46.00M,21.00M,-90.00M,-69.00M,,,,,-64.00M,,-27.00M,-206.00M,1.602B,710.00M,2.312B,21.00M,0.00,0.00,-90.00M
2005-09,229.00M,,-6.00M,,-6.00M,14.00M,-20.00M,-6.00M,-6.00M,,,,,164.00M,17.00M,-280.00M,213.00M,-56.00M,213.00M,,-34.00M,347.00M,,,,0.00,-1.71B,1.617B,-93.00M,0.00,-57.00M,-57.00M,36.00M,0.00,36.00M,,,,,-63.00M,,-227.00M,-311.00M,1.659B,-57.00M,1.602B,36.00M,0.00,0.00,0.00
2005-06,198.00M,,23.00M,,23.00M,34.00M,-40.00M,-6.00M,-6.00M,,,,,-313.00M,171.00M,,129.00M,54.00M,129.00M,,415.00M,317.00M,,,,0.00,345.00M,-166.00M,179.00M,-241.00M,221.00M,-20.00M,6.00M,-75.00M,-69.00M,,,,,-64.00M,,-183.00M,-336.00M,1.499B,160.00M,1.659B,6.00M,0.00,-241.00M,-75.00M
2005-03,179.00M,,-22.00M,,-22.00M,12.00M,2.00M,14.00M,14.00M,,,,,-387.00M,-335.00M,,564.00M,-302.00M,564.00M,,420.00M,204.00M,,,,14.00M,-589.00M,548.00M,-27.00M,,-20.00M,-20.00M,28.00M,-29.00M,-1.00M,,,,,-64.00M,,-255.00M,-340.00M,1.662B,-163.00M,1.499B,28.00M,,,-29.00M
2004-12,-1.224B,,57.73M,,57.73M,105.16M,8.577M,113.74M,113.74M,,,,,1.937B,-280.26M,,0.639M,50.46M,0.639M,,-366.66M,517.69M,,,,-17.37M,3.205B,-3.880B,-692.02M,-80.15M,21.49M,-58.65M,10.38M,-63.99M,-53.61M,,,,,-61.60M,,13.89M,-159.97M,1.996B,-334.30M,1.662B,10.38M,46.47M,-126.62M,-63.99M
2004-09,199.68M,,5.583M,,5.583M,44.24M,20.35M,64.59M,64.59M,,,,,879.25M,222.13M,,-450.47M,48.91M,-719.89M,,-984.74M,164.37M,,,,180.15M,-2.406B,2.012B,-213.99M,0.00,-29.99M,-29.99M,6.498M,-80.17M,-73.67M,,,,,-61.98M,,-2.453M,-168.10M,2.214B,-217.73M,1.996B,6.498M,0.00,0.00,-80.17M
2004-06,187.00M,,-6.061M,,-6.061M,,13.25M,13.25M,13.25M,,,,,-17.55M,166.54M,,-54.22M,-99.37M,248.41M,,77.61M,254.25M,,,,10.78M,-393.76M,71.73M,-311.26M,0.00,-8.00M,-8.00M,24.77M,-149.26M,-124.48M,,,,,-63.24M,,210.93M,15.20M,2.256B,-41.81M,2.214B,24.77M,0.00,0.00,-149.26M
2004-03,130.46M,,,,,,-0.425M,-0.425M,-0.425M,,,,,22.94M,-11.90M,,33.20M,,,,21.30M,174.27M,,,,0.00,-224.07M,387.90M,163.83M,197.29M,-5.976M,191.32M,40.38M,-56.82M,-16.44M,,,,,-62.32M,,93.67M,206.22M,1.711B,544.32M,2.256B,40.38M,197.29M,,-56.82M
2003-12,194.33M,,,,,,-1.269M,-1.269M,-1.269M,,,,,1.374B,-346.96M,-335.65M,77.30M,,,,-1.132B,434.80M,,,,0.00,1.956B,-2.825B,-868.22M,-0.025M,-32.52M,-32.55M,2.561M,0.00,2.561M,,,,,-60.26M,,274.26M,184.02M,1.961B,-249.40M,1.711B,2.561M,0.00,-0.025M,0.00
2003-09,133.31M,,,,,,15.20M,15.20M,15.20M,,,,,106.24M,-39.15M,,-6.119M,,,,-45.27M,209.48M,,,,0.00,-339.02M,-85.00M,-424.02M,-59.69M,-6.90M,-66.59M,2.038M,0.00,2.038M,,,,,-59.50M,,353.32M,229.28M,1.946B,14.74M,1.961B,2.038M,145.28M,-204.96M,0.00
2003-06,142.70M,,,,,,-26.34M,-26.34M,-26.34M,,,,,92.68M,-299.08M,45.09M,0.631M,,,,-253.36M,-44.31M,,,,,-579.21M,742.70M,163.49M,0.00,-42.00M,-42.00M,5.349M,0.00,5.349M,,,,,-59.43M,,287.28M,191.21M,1.635B,310.39M,1.946B,5.349M,0.00,27.65M,0.00
