,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,TotalCurrentAssets,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,NetLoanAssets,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,TotalDeposits,UnpaidLossReserve,UnearnedPremiumonInsuranceContract,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2002-03,1.700B,412.68M,2.112B,6.096B,376.27M,6.473B,8.585B,,1.212B,1.384B,2.596B,6.366B,29.69B,551.30M,40.51B,97.85B,,,,,,,510.24M,510.24M,510.24M,510.24M,861.83M,861.83M,,,,41.07B,,,376.16M,,41.93B,92.34B,1.308B,3.825B,,0.735M,-20.83M,19.26M,-1.565M,5.131B
2001-12,,,,400.08M,,400.08M,400.08M,,,2.624B,2.624B,6.475B,,,49.36B,98.04B,,,,,,,350.20M,350.20M,350.20M,350.20M,986.30M,986.30M,,,,,,,474.66M,,986.30M,92.26B,1.255B,3.834B,,,-8.062M,,-8.062M,5.304B
2001-09,1.996B,421.35M,2.418B,3.818B,264.51M,4.083B,6.500B,,1.253B,1.451B,2.705B,6.606B,29.83B,35.27M,40.91B,90.21B,,,,,,,539.05M,539.05M,539.05M,539.05M,712.43M,712.43M,,,,40.96B,,,304.96M,,41.67B,84.53B,1.253B,3.840B,,0.774M,6.885M,268.24M,275.13M,5.369B
2001-06,1.502B,414.89M,1.917B,3.662B,303.69M,3.966B,5.882B,,1.264B,1.479B,2.743B,6.600B,28.82B,177.54M,39.94B,96.43B,,,,,,,351.29M,351.29M,351.29M,351.29M,712.36M,712.36M,,,,39.95B,,,745.00M,745.00M,41.40B,90.63B,1.029B,3.939B,,0.801M,-15.32M,103.13M,87.81M,5.056B
2001-03,2.015B,415.99M,2.431B,3.706B,282.78M,3.989B,6.420B,,1.274B,1.505B,2.780B,6.588B,28.79B,106.57M,39.96B,94.12B,,,,,,,415.26M,415.26M,415.26M,415.26M,712.30M,712.30M,,,,39.91B,,,745.00M,,40.63B,88.28B,994.20M,3.884B,,0.825M,4.163M,213.68M,217.84M,5.096B
2000-12,,,,296.70M,,296.70M,296.70M,,,2.843B,2.843B,6.624B,,,45.38B,99.87B,,,,,,,312.93M,312.93M,312.93M,312.93M,1.144B,1.144B,,,,,,,745.00M,,1.144B,94.14B,1.004B,3.916B,,,21.93M,,21.93M,4.981B
2000-09,1.436B,470.54M,1.906B,3.775B,240.83M,4.016B,5.922B,,1.297B,1.598B,2.895B,6.703B,28.30B,267.27M,39.50B,103.24B,,,,,,,330.35M,330.35M,330.35M,330.35M,712.16M,712.16M,,,,39.98B,,,745.00M,745.00M,41.44B,97.96B,990.49M,3.866B,,0.868M,19.89M,-337.72M,-317.82M,4.539B
2000-06,1.619B,438.16M,2.057B,3.775B,247.76M,4.023B,6.081B,,1.335B,1.647B,2.982B,6.699B,28.08B,246.06M,39.52B,103.85B,,,,,,,355.68M,355.68M,355.68M,355.68M,712.10M,712.10M,,,,40.03B,,,745.00M,745.00M,41.48B,98.88B,975.32M,3.783B,,0.894M,21.86M,-556.57M,-534.71M,4.224B
2000-03,1.510B,428.83M,1.939B,3.851B,190.22M,4.041B,5.980B,,1.350B,1.705B,3.055B,6.730B,28.76B,,40.44B,106.34B,,300.40M,,300.40M,300.40M,,474.15M,474.15M,474.15M,774.55M,712.03M,712.03M,,,,40.46B,,,745.00M,745.00M,41.92B,101.25B,988.16M,3.741B,,0.933M,22.79M,-411.19M,-388.40M,4.340B
1999-12,1.896B,401.83M,2.298B,3.954B,259.63M,4.214B,6.512B,,1.423B,1.746B,3.170B,6.628B,28.69B,345.01M,39.65B,103.10B,,,,,,,460.15M,460.15M,460.15M,460.15M,711.96M,711.96M,,,,41.15B,,,745.00M,745.00M,42.61B,98.09B,1.008B,3.691B,,0.948M,30.05M,-465.70M,-435.65M,4.264B
1999-09,,,,296.00M,,296.00M,296.00M,191.90M,,3.196B,3.196B,6.636B,,,46.76B,96.50B,,,,,,,367.70M,367.70M,367.70M,367.70M,712.00M,712.00M,,,,20.50B,,,745.00M,,21.21B,91.09B,983.70M,3.741B,,,40.20M,,40.20M,4.662B
1999-06,,,,269.00M,,269.00M,269.00M,180.70M,,3.193B,3.193B,6.418B,,,47.16B,98.26B,,,,,,,380.20M,380.20M,380.20M,380.20M,712.10M,712.10M,,,,20.20B,,,745.00M,,20.91B,92.70B,,3.792B,,,20.70M,,20.70M,4.817B
1999-03,,,,241.80M,,241.80M,241.80M,178.00M,,3.25B,3.25B,6.187B,,,48.07B,95.35B,,,,,,,281.80M,281.80M,281.80M,281.80M,712.10M,712.10M,,,,20.24B,,,745.00M,,20.96B,89.50B,,3.826B,,,30.10M,,30.10M,5.107B
1998-12,2.433B,431.96M,2.865B,3.127B,246.20M,3.373B,6.239B,174.76M,1.484B,1.848B,3.333B,6.233B,31.21B,,85.54B,93.84B,,204.08M,,204.08M,204.08M,,314.61M,314.61M,314.61M,518.68M,712.17M,712.17M,,,,40.89B,,,,745.00M,42.35B,88.45B,995.56M,3.790B,,1.083M,,,602.35M,5.388B
1998-09,,,,241.60M,,241.60M,241.60M,200.90M,,2.395B,2.395B,6.306B,,,44.41B,84.61B,,,,,,,354.40M,354.40M,354.40M,354.40M,712.00M,712.00M,,,,16.26B,,,745.00M,,16.98B,78.33B,,3.72B,,,59.80M,,59.80M,5.528B
1998-06,,,,250.80M,,250.80M,250.80M,191.70M,,2.613B,2.613B,5.934B,,,43.61B,88.36B,,,,,,,277.10M,277.10M,277.10M,277.10M,811.80M,811.80M,,,,17.45B,,,315.00M,,18.26B,82.90B,,3.659B,,,51.80M,,51.80M,5.151B
