,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-04,1.206B,1.206B,563.00M,643.00M,341.00M,92.00M,,19.00M,10.00M,-9.00M,,433.00M,210.00M,10.00M,19.00M,-9.00M,26.00M,-9.00M,227.00M,22.00M,205.00M,,,205.00M,205.00M,296.00M,50.00M,246.00M,0.64,,,0.64,0.64,0.63,,,0.63,0.63,322.00M,326.00M,0.149
2018-01,1.211B,1.211B,541.00M,670.00M,347.00M,94.00M,,20.00M,9.00M,-11.00M,,441.00M,229.00M,9.00M,20.00M,-11.00M,15.00M,-11.00M,233.00M,553.00M,-320.00M,,,-320.00M,-320.00M,304.00M,51.00M,253.00M,-0.99,,,-0.99,-0.99,-0.99,,,-0.99,-0.99,323.00M,323.00M,0.149
2017-10,1.189B,1.189B,552.00M,637.00M,347.00M,91.00M,,20.00M,7.00M,-13.00M,,438.00M,199.00M,7.00M,20.00M,-13.00M,40.00M,-13.00M,226.00M,49.00M,177.00M,,,177.00M,177.00M,298.00M,52.00M,246.00M,0.55,,,0.55,0.55,0.54,,,0.54,0.54,322.00M,329.00M,0.132
2017-07,1.114B,1.114B,518.00M,596.00M,308.00M,87.00M,,19.00M,6.00M,-13.00M,,395.00M,201.00M,6.00M,19.00M,-13.00M,5.00M,-13.00M,193.00M,18.00M,175.00M,,,175.00M,175.00M,263.00M,51.00M,212.00M,0.55,,,0.55,0.55,0.54,,,0.54,0.54,321.00M,326.00M,0.132
2017-04,1.102B,1.102B,510.00M,592.00M,307.00M,84.00M,,20.00M,5.00M,-15.00M,,391.00M,201.00M,5.00M,20.00M,-15.00M,5.00M,-15.00M,191.00M,27.00M,164.00M,,,164.00M,164.00M,265.00M,54.00M,211.00M,0.51,,,0.51,0.51,0.5,,,0.5,0.5,321.00M,325.00M,0.132
2017-01,1.067B,1.067B,493.00M,574.00M,289.00M,79.00M,,20.00M,4.00M,-16.00M,,368.00M,206.00M,4.00M,20.00M,-16.00M,3.00M,-16.00M,193.00M,25.00M,168.00M,,,168.00M,168.00M,268.00M,55.00M,213.00M,0.52,,,0.52,0.52,0.52,,,0.52,0.52,322.00M,326.00M,0.132
2016-10,1.111B,1.111B,523.00M,588.00M,321.00M,84.00M,,19.00M,3.00M,-16.00M,,405.00M,183.00M,3.00M,19.00M,-16.00M,-16.00M,-16.00M,151.00M,25.00M,126.00M,,,126.00M,126.00M,226.00M,56.00M,170.00M,0.38,0.0,,0.38,0.38,0.38,0.0,,0.38,0.38,326.00M,329.00M,0.115
2016-07,1.044B,1.044B,502.00M,542.00M,310.00M,86.00M,,17.00M,3.00M,-14.00M,,396.00M,146.00M,3.00M,17.00M,-14.00M,2.00M,-14.00M,134.00M,10.00M,124.00M,,,124.00M,124.00M,211.00M,60.00M,151.00M,0.38,,,0.38,0.38,0.38,,,0.38,0.38,325.00M,328.00M,0.115
2016-04,1.019B,1.019B,489.00M,530.00M,318.00M,81.00M,,18.00M,3.00M,-15.00M,,399.00M,131.00M,3.00M,18.00M,-15.00M,1.00M,-15.00M,117.00M,26.00M,91.00M,,,91.00M,91.00M,199.00M,64.00M,135.00M,0.28,,,0.28,0.28,0.28,,,0.28,0.28,326.00M,328.00M,0.115
2016-01,1.028B,1.028B,491.00M,537.00M,304.00M,78.00M,,18.00M,2.00M,-16.00M,,382.00M,155.00M,2.00M,18.00M,-16.00M,3.00M,-16.00M,142.00M,21.00M,121.00M,,,121.00M,121.00M,226.00M,66.00M,160.00M,0.37,,,0.37,0.37,0.36,,,0.36,0.36,329.00M,332.00M,0.115
2015-10,1.035B,1.035B,500.00M,535.00M,297.00M,82.00M,,16.00M,1.00M,-15.00M,,379.00M,156.00M,1.00M,16.00M,-15.00M,2.00M,-15.00M,143.00M,3.00M,140.00M,0.00,,140.00M,140.00M,219.00M,60.00M,159.00M,0.42,0.0,,0.42,0.42,0.42,0.0,,0.42,0.42,330.00M,332.00M,0.1
2015-07,1.014B,1.014B,501.00M,513.00M,290.00M,79.00M,,17.00M,2.00M,-15.00M,,369.00M,144.00M,2.00M,17.00M,-15.00M,-1.00M,-15.00M,128.00M,15.00M,113.00M,-2.00M,,111.00M,113.00M,207.00M,62.00M,145.00M,0.34,-0.01,,0.34,0.33,0.34,-0.01,,0.34,0.33,332.00M,334.00M,0.1
2015-04,963.00M,963.00M,483.00M,480.00M,292.00M,81.00M,,17.00M,2.00M,-15.00M,,373.00M,107.00M,2.00M,17.00M,-15.00M,4.00M,-15.00M,96.00M,4.00M,92.00M,-5.00M,,87.00M,92.00M,176.00M,63.00M,113.00M,0.28,-0.02,,0.28,0.26,0.27,-0.02,,0.27,0.26,334.00M,337.00M,0.1
2015-01,1.026B,1.026B,513.00M,513.00M,310.00M,88.00M,,16.00M,2.00M,-14.00M,,398.00M,115.00M,2.00M,16.00M,-14.00M,12.00M,-14.00M,113.00M,20.00M,93.00M,-30.00M,,63.00M,93.00M,197.00M,68.00M,129.00M,0.28,-0.09,,0.28,0.19,0.28,-0.09,,0.28,0.19,336.00M,338.00M,0.1
2014-10,1.043B,1.043B,564.00M,479.00M,312.00M,97.00M,,23.00M,2.00M,-21.00M,,409.00M,70.00M,2.00M,23.00M,-21.00M,-71.00M,-21.00M,-22.00M,-30.00M,8.00M,60.00M,,68.00M,8.00M,94.00M,93.00M,1.00M,0.05,0.18,,0.05,0.05,0.05,0.17,,0.05,0.05,333.00M,338.00M,0.132
2014-07,1.009B,1.009B,507.00M,502.00M,285.00M,86.00M,,28.00M,3.00M,-25.00M,,371.00M,131.00M,3.00M,28.00M,-25.00M,-21.00M,-25.00M,85.00M,22.00M,63.00M,84.00M,,147.00M,63.00M,211.00M,98.00M,113.00M,0.19,0.25,,0.19,0.44,0.19,0.24,,0.19,0.43,334.00M,338.00M,0.132
2014-04,988.00M,988.00M,503.00M,485.00M,304.00M,87.00M,,30.00M,2.00M,-28.00M,,391.00M,94.00M,2.00M,30.00M,-28.00M,3.00M,-28.00M,69.00M,29.00M,40.00M,99.00M,,139.00M,40.00M,196.00M,97.00M,99.00M,0.12,0.3,,0.12,0.42,0.12,0.29,,0.12,0.41,333.00M,337.00M,0.132
2014-01,1.008B,1.008B,498.00M,510.00M,298.00M,88.00M,,29.00M,2.00M,-27.00M,,386.00M,124.00M,2.00M,29.00M,-27.00M,,-27.00M,97.00M,-24.00M,121.00M,74.00M,,195.00M,121.00M,222.00M,96.00M,126.00M,0.37,0.22,,0.37,0.59,0.36,0.22,,0.36,0.58,333.00M,338.00M,0.132
2013-10,-1.17B,-1.17B,-450.00M,-720.00M,-246.00M,-194.00M,,30.00M,2.00M,-28.00M,,-440.00M,-280.00M,2.00M,30.00M,-28.00M,-4.00M,-28.00M,-312.00M,-24.00M,-288.00M,,,221.00M,-288.00M,-187.00M,95.00M,-282.00M,0.64,,,0.64,0.64,0.63,,,0.63,0.63,332.00M,336.00M,0.12
2013-07,1.652B,1.652B,796.00M,856.00M,449.00M,171.00M,,27.00M,2.00M,-25.00M,,620.00M,236.00M,2.00M,27.00M,-25.00M,1.00M,-25.00M,212.00M,44.00M,168.00M,,,168.00M,168.00M,330.00M,91.00M,239.00M,0.5,,,0.5,0.5,0.49,,,0.49,0.49,339.00M,343.00M,0.12
2013-04,1.732B,1.732B,841.00M,891.00M,497.00M,181.00M,,25.00M,1.00M,-24.00M,,678.00M,213.00M,1.00M,25.00M,-24.00M,9.00M,-24.00M,198.00M,32.00M,166.00M,,,166.00M,166.00M,315.00M,92.00M,223.00M,0.48,,,0.48,0.48,0.48,,,0.48,0.48,345.00M,349.00M,0.12
2013-01,1.68B,1.68B,800.00M,880.00M,484.00M,179.00M,,25.00M,2.00M,-23.00M,,663.00M,217.00M,2.00M,25.00M,-23.00M,1.00M,-23.00M,195.00M,16.00M,179.00M,,,179.00M,179.00M,314.00M,94.00M,220.00M,0.52,,,0.52,0.52,0.51,,,0.51,0.51,347.00M,352.00M,0.1
2012-10,1.767B,1.767B,845.00M,922.00M,466.00M,178.00M,,26.00M,2.00M,-24.00M,,644.00M,278.00M,2.00M,26.00M,-24.00M,2.00M,-24.00M,256.00M,-169.00M,425.00M,,,425.00M,425.00M,376.00M,94.00M,282.00M,1.22,0.0,,1.22,1.22,1.2,0.0,,1.2,1.2,348.00M,353.00M,0.1
2012-07,1.723B,1.723B,833.00M,890.00M,458.00M,162.00M,,24.00M,2.00M,-22.00M,,620.00M,270.00M,2.00M,24.00M,-22.00M,-10.00M,-22.00M,238.00M,-5.00M,243.00M,,,243.00M,243.00M,346.00M,84.00M,262.00M,0.7,,,0.7,0.7,0.69,,,0.69,0.69,348.00M,353.00M,0.1
2012-04,1.733B,1.733B,815.00M,918.00M,452.00M,166.00M,,25.00M,2.00M,-23.00M,,618.00M,300.00M,2.00M,25.00M,-23.00M,16.00M,-23.00M,293.00M,38.00M,255.00M,,,255.00M,255.00M,379.00M,61.00M,318.00M,0.73,,,0.73,0.73,0.72,,,0.72,0.72,348.00M,354.00M,0.1
2012-01,1.635B,1.635B,761.00M,874.00M,441.00M,162.00M,,26.00M,3.00M,-23.00M,,603.00M,271.00M,3.00M,26.00M,-23.00M,8.00M,-23.00M,256.00M,26.00M,230.00M,,,230.00M,230.00M,344.00M,62.00M,282.00M,0.66,,,0.66,0.66,0.65,,,0.65,0.65,348.00M,352.00M,
2011-10,1.728B,1.728B,807.00M,921.00M,445.00M,163.00M,,23.00M,4.00M,-19.00M,,608.00M,313.00M,4.00M,23.00M,-19.00M,-1.00M,-19.00M,293.00M,4.00M,289.00M,,,289.00M,289.00M,379.00M,63.00M,316.00M,0.84,,,0.84,0.84,0.81,,,0.81,0.81,347.00M,355.00M,
2011-07,1.691B,1.691B,799.00M,892.00M,449.00M,162.00M,17.00M,20.00M,3.00M,-17.00M,,611.00M,281.00M,3.00M,20.00M,-17.00M,17.00M,-17.00M,281.00M,-49.00M,330.00M,,,330.00M,318.95M,364.00M,63.00M,301.00M,0.95,0.0,,0.9182,0.95,0.92,0.0,,0.889,0.92,348.00M,357.00M,
2011-04,1.677B,1.677B,777.00M,900.00M,469.00M,165.00M,11.00M,20.00M,3.00M,-17.00M,,634.00M,266.00M,3.00M,20.00M,-17.00M,11.00M,-17.00M,260.00M,60.00M,200.00M,,,200.00M,191.54M,344.00M,64.00M,280.00M,0.58,0.0,,0.5556,0.58,0.56,0.0,,0.5362,0.56,347.00M,355.00M,
2011-01,1.519B,1.519B,703.00M,816.00M,446.00M,159.00M,6.00M,23.00M,4.00M,-19.00M,,605.00M,211.00M,4.00M,23.00M,-19.00M,6.00M,-19.00M,198.00M,5.00M,193.00M,,,193.00M,187.15M,284.00M,63.00M,221.00M,0.56,0.0,,0.5431,0.56,0.54,0.0,,0.5235,0.54,347.00M,355.00M,
2010-10,1.576B,1.576B,742.00M,834.00M,472.00M,159.00M,56.00M,27.00M,11.00M,-16.00M,,631.00M,203.00M,11.00M,27.00M,-16.00M,56.00M,-16.00M,243.00M,-49.00M,292.00M,,,292.00M,255.60M,337.00M,67.00M,270.00M,0.84,0.0,,0.7342,0.84,0.83,0.0,,0.7278,0.83,344.00M,356.00M,
2010-07,1.384B,1.384B,659.00M,725.00M,456.00M,154.00M,133.00M,24.00M,3.00M,-21.00M,,610.00M,115.00M,3.00M,24.00M,-21.00M,133.00M,-21.00M,227.00M,22.00M,205.00M,,,205.00M,84.89M,311.00M,60.00M,251.00M,0.59,0.0,,0.2439,0.59,0.58,0.0,,0.2388,0.58,347.00M,352.00M,
2010-04,1.271B,1.271B,560.00M,711.00M,407.00M,150.00M,4.00M,22.00M,3.00M,-19.00M,,557.00M,154.00M,3.00M,22.00M,-19.00M,4.00M,-19.00M,139.00M,31.00M,108.00M,,,108.00M,104.89M,197.00M,36.00M,161.00M,0.31,0.0,,0.3011,0.31,0.31,0.0,,0.3012,0.31,348.00M,354.00M,
2010-01,1.213B,1.213B,553.00M,660.00M,417.00M,149.00M,9.00M,23.00M,3.00M,-20.00M,,566.00M,94.00M,3.00M,23.00M,-20.00M,9.00M,-20.00M,83.00M,4.00M,79.00M,,,79.00M,70.43M,145.00M,39.00M,106.00M,0.23,0.0,,0.2054,0.23,0.22,0.0,,0.1958,0.22,348.00M,354.00M,
2009-10,1.167B,1.167B,533.00M,634.00M,413.00M,150.00M,25.00M,21.00M,4.00M,-17.00M,,563.00M,71.00M,4.00M,21.00M,-17.00M,25.00M,-17.00M,79.00M,54.00M,25.00M,,,25.00M,8.75M,140.00M,40.00M,100.00M,0.07,0.0,,0.0226,0.07,0.07,0.0,,0.0226,0.07,343.00M,343.00M,
2009-07,1.057B,1.057B,518.00M,539.00M,387.00M,153.00M,-24.00M,21.00M,5.00M,-16.00M,,540.00M,-1.00M,5.00M,21.00M,-16.00M,-24.00M,-16.00M,-41.00M,-22.00M,-19.00M,,,-19.00M,-3.40M,21.00M,41.00M,-20.00M,-0.06,0.0,,-0.0148,-0.06,-0.06,0.0,,-0.0148,-0.06,345.00M,345.00M,
2009-04,1.091B,1.091B,561.00M,530.00M,407.00M,170.00M,6.00M,23.00M,6.00M,-17.00M,,577.00M,-47.00M,6.00M,23.00M,-17.00M,6.00M,-17.00M,-58.00M,43.00M,-101.00M,,,-101.00M,-104.90M,5.00M,40.00M,-35.00M,-0.29,0.0,,-0.3013,-0.29,-0.29,0.0,,-0.3013,-0.29,344.00M,344.00M,
2009-01,1.166B,1.166B,577.00M,589.00M,396.00M,169.00M,12.00M,23.00M,14.00M,-9.00M,,565.00M,24.00M,14.00M,23.00M,-9.00M,12.00M,-9.00M,27.00M,-37.00M,64.00M,,,64.00M,56.20M,91.00M,41.00M,50.00M,0.18,0.0,,0.1578,0.18,0.18,0.0,,0.1578,0.18,351.00M,352.00M,
2008-10,1.481B,1.481B,651.00M,830.00M,408.00M,170.00M,14.00M,33.00M,24.00M,-9.00M,,578.00M,252.00M,24.00M,33.00M,-9.00M,14.00M,-9.00M,257.00M,26.00M,231.00M,,,231.00M,218.42M,334.00M,44.00M,290.00M,0.64,0.0,,0.6048,0.64,0.64,0.0,,0.6049,0.64,357.00M,359.00M,
2008-07,1.444B,1.444B,641.00M,803.00M,415.00M,170.00M,5.00M,31.00M,23.00M,-8.00M,,585.00M,218.00M,23.00M,31.00M,-8.00M,5.00M,-8.00M,215.00M,46.00M,169.00M,,,169.00M,165.07M,303.00M,57.00M,246.00M,0.47,0.0,,0.4591,0.47,0.45,0.0,,0.4394,0.45,362.00M,372.00M,
2008-04,1.456B,1.456B,649.00M,807.00M,433.00M,183.00M,7.00M,29.00M,27.00M,-2.00M,,616.00M,191.00M,27.00M,29.00M,-2.00M,7.00M,-2.00M,196.00M,23.00M,173.00M,,,173.00M,166.82M,276.00M,51.00M,225.00M,0.48,0.0,,0.463,0.48,0.47,0.0,,0.4533,0.47,363.00M,370.00M,
2008-01,1.393B,1.393B,637.00M,756.00M,441.00M,181.00M,4.00M,,,,,622.00M,134.00M,,,,4.00M,,147.00M,27.00M,120.00M,,,120.00M,116.73M,183.00M,49.00M,134.00M,0.32,0.0,,0.3112,0.32,0.31,0.0,,0.3015,0.31,371.00M,382.00M,
2007-10,1.446B,1.446B,656.00M,790.00M,426.00M,174.00M,-2.00M,,,,,600.00M,190.00M,,,,-2.00M,,201.00M,21.00M,180.00M,,,180.00M,181.79M,238.00M,48.00M,190.00M,0.47,0.0,,0.4748,0.47,0.46,0.0,,0.4646,0.46,376.00M,388.00M,
2007-07,1.374B,1.374B,616.00M,758.00M,420.00M,170.00M,3.00M,,,,,590.00M,168.00M,,,,3.00M,,190.00M,5.00M,185.00M,,,185.00M,182.08M,218.00M,50.00M,168.00M,0.47,0.0,,0.4625,0.47,0.45,0.0,,0.4428,0.45,392.00M,407.00M,
2007-04,1.32B,1.32B,590.00M,730.00M,426.00M,173.00M,3.00M,,,,,599.00M,131.00M,,,,3.00M,,156.00M,33.00M,123.00M,,,123.00M,120.63M,178.00M,47.00M,131.00M,0.31,0.0,,0.3041,0.31,0.3,0.0,,0.2943,0.3,402.00M,413.00M,
2007-01,1.28B,1.28B,589.00M,691.00M,428.00M,168.00M,1.00M,,,,,596.00M,95.00M,,,,1.00M,,123.00M,-27.00M,150.00M,,,150.00M,149.35M,141.00M,46.00M,95.00M,0.37,0.0,,0.3684,0.37,0.36,0.0,,0.3584,0.36,406.00M,418.00M,
2006-10,1.328B,1.328B,599.00M,729.00M,424.00M,156.00M,6.00M,,,,0.00,580.00M,149.00M,,,,6.00M,,173.00M,47.00M,126.00M,23.00M,,149.00M,121.63M,185.00M,36.00M,149.00M,0.34,0.12,,0.3293,0.46,0.34,0.12,,0.3295,0.46,410.00M,417.00M,
2006-07,1.239B,1.239B,553.00M,686.00M,407.00M,162.00M,82.00M,,,,-65.00M,504.00M,182.00M,,,,82.00M,,227.00M,11.00M,216.00M,11.00M,,227.00M,137.97M,231.00M,49.00M,182.00M,0.52,0.03,,0.3306,0.55,0.51,0.03,,0.3251,0.54,412.00M,422.00M,
2006-04,1.239B,1.239B,598.00M,641.00M,427.00M,172.00M,73.00M,,,,,599.00M,42.00M,,,,73.00M,,144.00M,23.00M,121.00M,-6.00M,,115.00M,59.66M,86.00M,44.00M,42.00M,0.28,-0.01,,0.1373,0.27,0.27,-0.01,,0.1312,0.26,430.00M,442.00M,
2006-01,1.167B,1.167B,565.00M,602.00M,402.00M,165.00M,17.00M,,,,,567.00M,35.00M,,,,918.00M,,83.00M,10.00M,974.00M,1.842B,,2.816B,959.05M,76.00M,41.00M,35.00M,2.06,3.89,,2.028,5.95,2.02,3.81,,1.989,5.83,473.00M,483.00M,
2005-10,953.00M,953.00M,416.00M,537.00M,333.00M,103.00M,-20.00M,,,,,436.00M,101.00M,,,,-14.00M,,116.00M,89.00M,33.00M,-8.00M,,25.00M,45.00M,140.00M,39.00M,101.00M,0.06,-0.01,,0.084,0.05,0.06,-0.02,,0.0836,0.04,500.00M,509.00M,
2005-07,1.242B,1.242B,646.00M,596.00M,378.00M,183.00M,25.00M,,,,,561.00M,35.00M,,,,38.00M,,60.00M,19.00M,54.00M,50.00M,,104.00M,36.92M,84.00M,49.00M,35.00M,0.11,0.1,,0.0754,0.21,0.1,0.1,,0.0658,0.2,494.00M,499.00M,
2005-04,1.278B,1.278B,638.00M,640.00M,409.00M,189.00M,15.00M,,,,,598.00M,42.00M,,,,30.00M,,57.00M,19.00M,53.00M,42.00M,,95.00M,43.00M,86.00M,44.00M,42.00M,0.11,0.08,,0.0896,0.19,0.11,0.08,,0.0898,0.19,491.00M,496.00M,
2005-01,1.212B,1.212B,621.00M,591.00M,378.00M,175.00M,20.00M,,,,,553.00M,38.00M,,,,28.00M,,58.00M,15.00M,51.00M,52.00M,,103.00M,36.17M,86.00M,48.00M,38.00M,0.1,0.11,,0.0698,0.21,0.1,0.11,,0.0701,0.21,491.00M,496.00M,
2004-10,-803.00M,-803.00M,-624.00M,-179.00M,157.00M,-102.00M,-23.00M,,,,,55.00M,-234.00M,,,,6.00M,,-257.00M,-12.00M,-216.00M,,,94.00M,-194.07M,-234.00M,-14.00M,-234.00M,-0.45,0.64,,-0.4049,0.19,-0.45,0.63,,-0.405,0.19,486.00M,487.00M,
2004-07,1.885B,1.885B,1.089B,796.00M,454.00M,235.00M,26.00M,,,,,689.00M,107.00M,,,,26.00M,,133.00M,33.00M,100.00M,,,100.00M,80.45M,177.00M,70.00M,107.00M,0.21,0.0,,0.1697,0.21,0.2,0.0,,0.1602,0.2,485.00M,491.00M,
2004-04,1.831B,1.831B,1.023B,808.00M,460.00M,237.00M,17.00M,,,,,697.00M,111.00M,,,,17.00M,,128.00M,24.00M,104.00M,,,104.00M,90.19M,186.00M,75.00M,111.00M,0.22,0.0,,0.1913,0.22,0.21,0.0,,0.1821,0.21,481.00M,495.00M,
2004-01,1.643B,1.643B,904.00M,739.00M,431.00M,229.00M,4.00M,,,,,660.00M,79.00M,,,,4.00M,,83.00M,12.00M,71.00M,,,71.00M,67.58M,160.00M,81.00M,79.00M,0.15,0.0,,0.1429,0.15,0.14,0.0,,0.133,0.14,480.00M,490.00M,
2003-10,87.00M,87.00M,-165.00M,252.00M,250.00M,-59.00M,10.00M,,,,,191.00M,61.00M,,,,10.00M,,71.00M,54.00M,26.00M,,0.00,13.00M,20.00M,150.00M,89.00M,61.00M,-0.03,0.07,0.0,-0.0426,0.04,-0.03,,0.0,-0.0426,0.0273,476.00M,476.15M,
2003-07,1.502B,1.502B,954.00M,548.00M,481.00M,257.00M,-1.00M,,,,,738.00M,-190.00M,,,,-1.00M,,-191.00M,1.354B,-1.545B,,-11.00M,-1.556B,-1.544B,-99.00M,91.00M,-190.00M,-3.25,0.0,0.0,-3.2489999999999997,-3.28,-3.25,0.0,-0.0232,-3.2489999999999997,-3.28,475.00M,475.00M,
2003-04,1.467B,1.467B,961.00M,506.00M,545.00M,296.00M,11.00M,,,,,841.00M,-335.00M,,,,11.00M,,-324.00M,-178.00M,-146.00M,,,-146.00M,-152.60M,-235.00M,100.00M,-335.00M,-0.31,0.0,,-0.324,-0.31,-0.31,0.0,,-0.324,-0.31,471.00M,471.00M,
2003-01,1.412B,1.412B,883.00M,529.00M,508.00M,277.00M,4.00M,,,,,785.00M,-256.00M,,,,4.00M,,-252.00M,-140.00M,-112.00M,,-257.00M,-369.00M,-114.40M,-174.00M,82.00M,-256.00M,-0.24,-0.54,-0.0,-0.2451,-0.78,-0.24,-0.54,-0.5456,-0.2451,-0.78,471.00M,471.00M,
2002-10,1.736B,1.736B,1.116B,620.00M,708.00M,299.00M,13.00M,,,,,1.007B,-387.00M,,,,13.00M,,-374.00M,-139.00M,-235.00M,-1.00M,,-236.00M,-243.17M,-200.00M,187.00M,-387.00M,-0.51,0.0,,-0.5276,-0.51,-0.51,0.0,,-0.5276,-0.51,465.00M,465.00M,
2002-07,1.391B,1.391B,846.00M,545.00M,691.00M,283.00M,6.00M,,,,,974.00M,-429.00M,,,,6.00M,,-423.00M,-200.00M,-223.00M,-5.00M,,-228.00M,-226.60M,-249.00M,180.00M,-429.00M,-0.48,0.0,,-0.4877,-0.49,-0.48,-0.0107,,-0.4877,-0.49,466.00M,466.00M,
