,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity
2018-04,3.011B,,3.011B,754.00M,,754.00M,227.00M,,367.00M,,594.00M,,,166.00M,4.525B,,,,,,,,798.00M,2.618B,314.00M,2.932B,139.00M,,390.00M,4.259B,8.784B,271.00M,,271.00M,175.00M,446.00M,,,315.00M,315.00M,333.00M,333.00M,,1.365B,1.80B,1.80B,,,226.00M,4.00M,776.00M,2.802B,4.167B,3.00M,-412.00M,5.332B,,-310.00M,4.613B
2018-01,2.887B,,2.887B,751.00M,,751.00M,236.00M,,372.00M,,608.00M,,,151.00M,4.397B,,,,,,,,792.00M,2.633B,341.00M,2.974B,140.00M,,395.00M,4.301B,8.698B,292.00M,,292.00M,182.00M,474.00M,,,345.00M,345.00M,321.00M,321.00M,,1.361B,1.80B,1.80B,,,241.00M,4.00M,770.00M,2.811B,4.172B,3.00M,-529.00M,5.32B,3.00M,-269.00M,4.522B
2017-10,2.678B,,2.678B,724.00M,,724.00M,212.00M,,363.00M,,575.00M,,,192.00M,4.169B,0.0,56.00M,886.00M,658.00M,,1.60B,-843.00M,757.00M,2.607B,361.00M,2.968B,138.00M,,394.00M,4.257B,8.426B,305.00M,,305.00M,181.00M,486.00M,,,210.00M,210.00M,291.00M,291.00M,,1.263B,1.801B,1.801B,,,234.00M,4.00M,293.00M,2.328B,3.591B,3.00M,-126.00M,5.30B,,-346.00M,4.831B
2017-07,2.563B,,2.563B,678.00M,,678.00M,208.00M,,358.00M,,566.00M,,,189.00M,3.996B,,,,,,,,716.00M,2.612B,375.00M,2.987B,137.00M,,425.00M,4.265B,8.261B,289.00M,,289.00M,141.00M,430.00M,,,280.00M,280.00M,301.00M,301.00M,,1.241B,1.801B,1.801B,,,323.00M,3.00M,285.00M,2.409B,3.65B,3.00M,-260.00M,5.282B,0.00,-417.00M,4.608B
2017-04,2.389B,,2.389B,677.00M,,677.00M,206.00M,,342.00M,,548.00M,,,186.00M,3.80B,,,,,,,,675.00M,2.568B,373.00M,2.941B,134.00M,,466.00M,4.216B,8.016B,265.00M,,265.00M,139.00M,404.00M,,,241.00M,241.00M,301.00M,301.00M,,1.187B,1.802B,1.802B,,,317.00M,3.00M,335.00M,2.454B,3.641B,3.00M,-393.00M,5.239B,0.00,-477.00M,4.372B
2017-01,2.241B,,2.241B,653.00M,,653.00M,197.00M,,354.00M,,551.00M,,,190.00M,3.635B,,,,,,,,653.00M,2.563B,411.00M,2.974B,133.00M,,477.00M,4.237B,7.872B,268.00M,,268.00M,143.00M,411.00M,,,190.00M,190.00M,299.00M,299.00M,,1.089B,1.802B,1.802B,,,350.00M,3.00M,331.00M,2.483B,3.572B,3.00M,-453.00M,5.236B,0.00,-489.00M,4.297B
2016-10,2.289B,,2.289B,631.00M,,631.00M,194.00M,,339.00M,,533.00M,,,182.00M,3.635B,0.0,53.00M,757.00M,596.00M,,1.406B,-767.00M,639.00M,2.517B,416.00M,2.933B,135.00M,,452.00M,4.159B,7.794B,257.00M,,257.00M,184.00M,441.00M,,,,,269.00M,269.00M,,945.00M,1.904B,1.904B,,,360.00M,3.00M,339.00M,2.603B,3.548B,6.00M,6.089B,9.159B,10.51B,-503.00M,4.243B
2016-07,2.199B,,2.199B,590.00M,,590.00M,192.00M,,351.00M,,543.00M,0.00,,198.00M,3.53B,,,,,,,,623.00M,2.525B,442.00M,2.967B,155.00M,,459.00M,4.204B,7.734B,261.00M,,261.00M,167.00M,428.00M,,,235.00M,235.00M,279.00M,279.00M,,1.151B,1.652B,1.652B,,,229.00M,3.00M,356.00M,2.237B,3.388B,6.00M,6.00B,9.144B,10.46B,-345.00M,4.343B
2016-04,2.139B,,2.139B,602.00M,,602.00M,188.00M,,367.00M,,555.00M,0.00,,192.00M,3.488B,,,,,,,,610.00M,2.556B,490.00M,3.046B,157.00M,,339.00M,4.152B,7.64B,220.00M,,220.00M,188.00M,408.00M,,,235.00M,235.00M,279.00M,279.00M,,1.133B,1.654B,1.654B,,,242.00M,3.00M,446.00M,2.342B,3.475B,6.00M,5.72B,9.103B,10.37B,-299.00M,4.162B
2016-01,1.931B,,1.931B,617.00M,,617.00M,187.00M,,367.00M,,554.00M,0.00,,297.00M,3.399B,,,,,,,,594.00M,2.478B,513.00M,2.991B,76.00M,,242.00M,3.903B,7.302B,250.00M,,250.00M,169.00M,419.00M,,,80.00M,80.00M,277.00M,277.00M,,947.00M,1.653B,1.653B,,,242.00M,3.00M,412.00M,2.307B,3.254B,6.00M,5.666B,9.085B,10.27B,-438.00M,4.045B
2015-10,2.003B,,2.003B,606.00M,,606.00M,179.00M,,362.00M,,541.00M,242.00M,,294.00M,3.686B,0.0,53.00M,705.00M,576.00M,,1.334B,-730.00M,604.00M,2.366B,445.00M,2.811B,86.00M,,292.00M,3.793B,7.479B,279.00M,,279.00M,218.00M,497.00M,,,,,258.00M,258.00M,,976.00M,1.655B,1.655B,,,264.00M,3.00M,414.00M,2.333B,3.309B,6.00M,5.581B,9.045B,10.07B,-391.00M,4.167B
2015-07,2.075B,,2.075B,584.00M,,584.00M,184.00M,,361.00M,,545.00M,,,274.00M,3.478B,,,,,,,,587.00M,2.366B,484.00M,2.85B,88.00M,,248.00M,3.773B,7.251B,248.00M,,248.00M,154.00M,402.00M,,,,,265.00M,265.00M,,853.00M,1.655B,1.655B,,,168.00M,3.00M,469.00M,2.292B,3.145B,6.00M,5.474B,9.029B,10.07B,-332.00M,4.103B
2015-04,2.197B,,2.197B,576.00M,,576.00M,189.00M,,367.00M,,556.00M,,,291.00M,3.62B,,,,,,,,593.00M,2.341B,516.00M,2.857B,91.00M,,251.00M,3.792B,7.412B,261.00M,,261.00M,190.00M,451.00M,,,,,271.00M,271.00M,,930.00M,1.656B,1.656B,,,176.00M,3.00M,489.00M,2.321B,3.251B,6.00M,5.397B,9.00B,9.975B,-270.00M,4.158B
2015-01,2.118B,,2.118B,615.00M,,615.00M,204.00M,,356.00M,,560.00M,,,361.00M,3.654B,,,,,,,,610.00M,2.352B,559.00M,2.911B,90.00M,,254.00M,3.865B,7.519B,257.00M,,257.00M,210.00M,467.00M,,,,,278.00M,278.00M,,928.00M,1.658B,1.658B,,,194.00M,3.00M,499.00M,2.351B,3.279B,6.00M,5.348B,8.957B,9.813B,-261.00M,4.237B
2014-10,2.218B,,2.218B,626.00M,,626.00M,208.00M,,366.00M,,574.00M,0.00,,263.00M,5.509B,0.0,58.00M,714.00M,597.00M,,1.369B,-738.00M,631.00M,2.507B,649.00M,3.156B,96.00M,,1.423B,5.306B,10.82B,302.00M,,302.00M,279.00M,581.00M,,,,,260.00M,260.00M,623.00M,1.692B,1.663B,1.663B,,,209.00M,3.00M,513.00M,3.819B,5.511B,6.00M,6.469B,8.967B,9.807B,-334.00M,5.301B
2014-07,2.391B,,2.391B,891.00M,,891.00M,523.00M,,576.00M,,1.099B,,,453.00M,4.834B,,,,,,,,1.142B,3.012B,758.00M,3.77B,164.00M,,470.00M,5.546B,10.38B,402.00M,,402.00M,330.00M,732.00M,,,35.00M,35.00M,447.00M,447.00M,,1.579B,2.181B,2.181B,,,235.00M,3.00M,745.00M,3.161B,4.74B,6.00M,6.487B,8.898B,9.807B,53.00M,5.637B
2014-04,2.95B,,2.95B,903.00M,,903.00M,537.00M,,563.00M,,1.10B,,,424.00M,5.377B,,,,,,,,1.139B,3.067B,825.00M,3.892B,133.00M,,485.00M,5.649B,11.03B,481.00M,,481.00M,362.00M,843.00M,,,,,470.00M,470.00M,,1.719B,2.693B,2.693B,,,261.00M,3.00M,724.00M,3.678B,5.397B,6.00M,6.384B,8.861B,9.757B,132.00M,5.626B
2014-01,2.742B,,2.742B,849.00M,,849.00M,531.00M,,557.00M,,1.088B,,,394.00M,5.073B,,,,,,,,1.129B,3.017B,859.00M,3.876B,129.00M,,431.00M,5.565B,10.64B,430.00M,,430.00M,325.00M,755.00M,,,,,459.00M,459.00M,,1.549B,2.695B,2.695B,,,274.00M,3.00M,673.00M,3.642B,5.191B,6.00M,6.289B,8.82B,9.707B,36.00M,5.444B
2013-10,2.675B,,2.675B,899.00M,,899.00M,514.00M,,552.00M,,1.066B,,,343.00M,4.983B,0.0,131.00M,1.33B,1.417B,,2.878B,-1.744B,1.134B,3.047B,916.00M,3.963B,139.00M,,467.00M,5.703B,10.69B,432.00M,,432.00M,330.00M,762.00M,,,,,439.00M,439.00M,,1.602B,2.699B,2.699B,,,294.00M,3.00M,802.00M,3.795B,5.397B,6.00M,6.073B,8.723B,9.607B,91.00M,5.286B
2013-07,2.33B,,2.33B,875.00M,,875.00M,516.00M,,538.00M,,1.054B,,,325.00M,4.584B,,,,,,,,1.139B,2.995B,945.00M,3.94B,124.00M,,491.00M,5.694B,10.28B,407.00M,,407.00M,335.00M,742.00M,,,,,463.00M,463.00M,,1.55B,2.701B,2.701B,,,463.00M,3.00M,774.00M,3.938B,5.488B,6.00M,5.901B,8.66B,9.607B,-173.00M,4.787B
2013-04,2.519B,,2.519B,916.00M,,916.00M,515.00M,,527.00M,,1.042B,,,341.00M,4.818B,,,,,,,,1.147B,3.006B,995.00M,4.001B,120.00M,,501.00M,5.769B,10.59B,448.00M,,448.00M,367.00M,815.00M,,,250.00M,250.00M,459.00M,459.00M,,1.908B,2.106B,2.106B,,,478.00M,3.00M,787.00M,3.371B,5.279B,6.00M,5.774B,8.596B,8.926B,-145.00M,5.305B
2013-01,2.45B,,2.45B,874.00M,,874.00M,500.00M,,540.00M,,1.04B,,,348.00M,4.712B,,,,,,,,1.163B,3.071B,1.069B,4.14B,128.00M,,510.00M,5.941B,10.65B,454.00M,,454.00M,359.00M,813.00M,,,250.00M,250.00M,465.00M,465.00M,,1.846B,2.111B,2.111B,,,554.00M,3.00M,791.00M,3.456B,5.302B,6.00M,5.607B,8.562B,8.786B,-41.00M,5.348B
2012-10,2.351B,,2.351B,923.00M,,923.00M,505.00M,,509.00M,,1.014B,,,341.00M,4.629B,0.0,142.00M,1.475B,1.265B,,2.882B,-1.718B,1.164B,3.025B,1.086B,4.111B,109.00M,,523.00M,5.907B,10.54B,461.00M,,461.00M,375.00M,836.00M,,,250.00M,250.00M,420.00M,420.00M,,1.893B,2.112B,2.112B,,,554.00M,3.00M,792.00M,3.458B,5.351B,6.00M,5.505B,8.489B,8.707B,-111.00M,5.182B
2012-07,1.923B,,1.923B,950.00M,,950.00M,505.00M,,531.00M,,1.036B,,,302.00M,4.211B,,,,,,,,1.139B,2.95B,1.085B,4.035B,104.00M,,268.00M,5.546B,9.757B,492.00M,,492.00M,332.00M,824.00M,,,500.00M,500.00M,435.00M,435.00M,,2.09B,1.714B,1.714B,,,269.00M,3.00M,811.00M,2.794B,4.884B,6.00M,5.114B,8.397B,8.612B,-35.00M,4.87B
2012-04,3.896B,,3.896B,909.00M,,909.00M,481.00M,,466.00M,,947.00M,,,258.00M,6.01B,,,,,,,,996.00M,1.597B,394.00M,1.991B,111.00M,,305.00M,3.403B,9.413B,457.00M,,457.00M,308.00M,765.00M,,,251.00M,251.00M,423.00M,423.00M,,1.835B,1.926B,1.926B,,,281.00M,3.00M,646.00M,2.853B,4.688B,6.00M,4.906B,8.354B,8.612B,68.00M,4.722B
2012-01,3.662B,,3.662B,814.00M,,814.00M,471.00M,,466.00M,,937.00M,,,302.00M,5.715B,,,,,,,,1.007B,1.598B,414.00M,2.012B,110.00M,,255.00M,3.384B,9.099B,426.00M,,426.00M,297.00M,723.00M,,,252.00M,252.00M,413.00M,413.00M,,1.705B,1.929B,1.929B,,,319.00M,3.00M,647.00M,2.895B,4.60B,6.00M,4.651B,8.32B,8.568B,87.00M,4.496B
2011-10,3.527B,,3.527B,860.00M,,860.00M,446.00M,,452.00M,,898.00M,,,284.00M,5.569B,0.0,138.00M,1.271B,1.203B,,2.612B,-1.606B,1.006B,1.567B,429.00M,1.996B,117.00M,,369.00M,3.488B,9.057B,472.00M,,472.00M,299.00M,771.00M,,,253.00M,253.00M,389.00M,389.00M,,1.837B,1.932B,1.932B,,,329.00M,8.00M,643.00M,2.904B,4.741B,6.00M,4.456B,8.265B,8.535B,116.00M,4.308B
2011-07,3.101B,,3.101B,917.00M,,917.00M,456.00M,,441.00M,,897.00M,0.00,,308.00M,5.223B,,,,,,,,1.00B,1.58B,462.00M,2.042B,122.00M,,366.00M,3.53B,8.753B,470.00M,,470.00M,263.00M,733.00M,,,,,424.00M,424.00M,,1.505B,2.168B,2.168B,,,226.00M,8.00M,654.00M,3.048B,4.553B,6.00M,4.167B,8.248B,8.50B,271.00M,4.192B
2011-04,2.975B,,2.975B,918.00M,,918.00M,446.00M,,407.00M,,853.00M,0.00,,350.00M,5.096B,,,,,,,,1.004B,1.555B,493.00M,2.048B,123.00M,,378.00M,3.553B,8.649B,486.00M,,486.00M,258.00M,744.00M,,,,,429.00M,429.00M,,1.592B,2.144B,2.144B,,,233.00M,8.00M,719.00M,3.096B,4.688B,6.00M,3.837B,8.14B,8.308B,278.00M,3.953B
2011-01,2.638B,,2.638B,854.00M,,854.00M,419.00M,,378.00M,,797.00M,17.00M,,292.00M,4.598B,,,,,,,,982.00M,1.448B,467.00M,1.915B,134.00M,,415.00M,3.446B,8.044B,444.00M,,444.00M,548.00M,992.00M,,,1.00M,1.00M,413.00M,413.00M,,1.406B,2.138B,2.138B,,,469.00M,7.00M,692.00M,3.299B,4.705B,6.00M,3.637B,8.06B,8.308B,-63.00M,3.332B
2010-10,2.649B,0.00,2.649B,869.00M,,869.00M,378.00M,,338.00M,,716.00M,1.55B,,385.00M,6.169B,0.0,137.00M,1.268B,1.17B,,2.575B,-1.595B,980.00M,1.456B,494.00M,1.95B,142.00M,,455.00M,3.527B,9.696B,499.00M,,499.00M,725.00M,1.224B,,,1.501B,1.501B,358.00M,358.00M,,3.083B,2.19B,2.19B,,,477.00M,8.00M,710.00M,3.377B,6.46B,6.00M,3.444B,7.904B,8.038B,-88.00M,3.228B
2010-07,2.317B,0.00,2.317B,790.00M,,790.00M,370.00M,,318.00M,,688.00M,1.551B,,389.00M,5.735B,,,,,,,,957.00M,1.399B,513.00M,1.912B,136.00M,,360.00M,3.365B,9.10B,459.00M,,459.00M,626.00M,1.085B,,,1.501B,1.501B,331.00M,331.00M,,2.917B,2.177B,2.177B,,,497.00M,8.00M,699.00M,3.373B,6.29B,6.00M,3.152B,7.855B,7.986B,-225.00M,2.802B
2010-04,2.646B,11.00M,2.657B,669.00M,,669.00M,272.00M,,274.00M,,546.00M,1.552B,,288.00M,5.712B,,,,,,,,831.00M,644.00M,126.00M,770.00M,158.00M,,296.00M,2.055B,7.767B,362.00M,,362.00M,535.00M,897.00M,,,1.501B,1.501B,311.00M,311.00M,,2.709B,1.393B,1.393B,,,483.00M,8.00M,550.00M,2.426B,5.135B,6.00M,2.947B,7.802B,7.892B,-239.00M,2.624B
2010-01,2.481B,12.00M,2.493B,628.00M,,628.00M,271.00M,,277.00M,,548.00M,1.553B,,297.00M,5.519B,,,,,,,,837.00M,657.00M,148.00M,805.00M,154.00M,,259.00M,2.055B,7.574B,315.00M,,315.00M,433.00M,748.00M,,,1.501B,1.501B,300.00M,300.00M,,2.549B,1.41B,1.41B,,,491.00M,8.00M,526.00M,2.427B,4.976B,6.00M,2.839B,7.673B,7.727B,-201.00M,2.59B
2009-10,2.479B,14.00M,2.493B,595.00M,,595.00M,267.00M,,285.00M,,552.00M,0.00,,321.00M,3.961B,0.0,97.00M,1.21B,1.144B,,2.451B,-1.606B,845.00M,655.00M,167.00M,822.00M,163.00M,,1.821B,3.651B,7.612B,307.00M,,307.00M,530.00M,837.00M,,,1.00M,1.00M,285.00M,285.00M,,1.123B,2.904B,2.904B,,,498.00M,8.00M,573.00M,3.975B,5.098B,6.00M,2.76B,7.552B,7.627B,-185.00M,2.506B
2009-07,1.479B,20.00M,1.499B,544.00M,,544.00M,275.00M,,296.00M,,571.00M,,,283.00M,2.897B,,,,,,,,839.00M,642.00M,178.00M,820.00M,153.00M,,1.864B,3.676B,6.573B,250.00M,38.00M,288.00M,417.00M,705.00M,,,,,286.00M,286.00M,,991.00M,2.153B,2.153B,,,378.00M,,562.00M,3.093B,4.084B,6.00M,2.735B,7.516B,7.627B,-141.00M,2.489B
2009-04,1.40B,12.00M,1.412B,569.00M,,569.00M,298.00M,,310.00M,,608.00M,,,294.00M,2.883B,,,,,,,,821.00M,648.00M,189.00M,837.00M,167.00M,,1.868B,3.693B,6.576B,252.00M,89.00M,341.00M,466.00M,807.00M,,,,,292.00M,292.00M,,1.099B,2.154B,2.154B,,,344.00M,,560.00M,3.058B,4.157B,6.00M,2.754B,7.474B,7.627B,-188.00M,2.419B
2009-01,1.362B,18.00M,1.38B,630.00M,,630.00M,317.00M,,338.00M,,655.00M,,,343.00M,3.008B,,,,,,2.353B,-1.522B,831.00M,666.00M,206.00M,872.00M,,,2.451B,4.154B,7.162B,257.00M,,257.00M,160.00M,417.00M,,,50.00M,50.00M,299.00M,299.00M,364.00M,1.13B,2.154B,2.154B,,,,,1.307B,3.461B,4.591B,6.00M,2.855B,7.459B,7.595B,-154.00M,2.571B
2008-10,1.405B,24.00M,1.429B,770.00M,,770.00M,315.00M,,331.00M,,646.00M,,,337.00M,3.182B,0.0,91.00M,1.147B,1.108B,,2.346B,-1.522B,824.00M,646.00M,228.00M,874.00M,206.00M,,1.921B,3.825B,7.007B,308.00M,128.00M,436.00M,614.00M,1.05B,,,,,280.00M,280.00M,,1.33B,2.125B,2.125B,,,324.00M,,669.00M,3.118B,4.448B,6.00M,2.791B,7.41B,7.47B,-178.00M,2.559B
2008-07,1.64B,29.00M,1.669B,761.00M,,761.00M,300.00M,44.00M,330.00M,,674.00M,1.57B,,400.00M,5.074B,,,,,,2.48B,-1.664B,816.00M,642.00M,241.00M,883.00M,,,768.00M,2.467B,7.541B,293.00M,,293.00M,105.00M,398.00M,,,1.711B,1.711B,310.00M,310.00M,475.00M,2.894B,604.00M,604.00M,,,,,858.00M,1.462B,4.356B,6.00M,2.56B,7.383B,7.219B,455.00M,3.185B
2008-04,1.71B,30.00M,1.74B,791.00M,,791.00M,296.00M,50.00M,328.00M,,674.00M,1.572B,,408.00M,5.185B,,,,,,2.473B,-1.664B,809.00M,630.00M,237.00M,867.00M,,,813.00M,2.489B,7.674B,312.00M,,312.00M,120.00M,432.00M,,,1.752B,1.752B,321.00M,321.00M,539.00M,3.044B,622.00M,622.00M,,,,,852.00M,1.474B,4.518B,6.00M,2.391B,7.251B,6.969B,477.00M,3.156B
2008-01,1.385B,172.00M,1.557B,726.00M,,726.00M,296.00M,50.00M,328.00M,,674.00M,1.591B,,522.00M,5.07B,,,,,,2.465B,-1.664B,801.00M,605.00M,236.00M,841.00M,,,747.00M,2.389B,7.459B,303.00M,,303.00M,138.00M,441.00M,,,1.50B,1.50B,277.00M,277.00M,456.00M,2.674B,626.00M,626.00M,,,,,986.00M,1.612B,4.286B,6.00M,2.218B,7.216B,6.706B,439.00M,3.173B
2007-10,1.826B,,1.826B,735.00M,,735.00M,286.00M,44.00M,313.00M,,643.00M,,,467.00M,3.671B,0.0,83.00M,1.16B,828.00M,394.00M,2.465B,-1.664B,801.00M,558.00M,178.00M,736.00M,,,2.346B,3.883B,7.554B,323.00M,,323.00M,137.00M,460.00M,,,,,249.00M,249.00M,954.00M,1.663B,2.087B,2.087B,,,,,570.00M,2.657B,4.32B,6.00M,2.172B,7.117B,6.469B,408.00M,3.234B
2007-07,1.486B,,1.486B,738.00M,,738.00M,303.00M,57.00M,314.00M,,674.00M,,,383.00M,3.281B,,,,,,2.361B,-1.574B,787.00M,,732.00M,732.00M,,,2.224B,3.743B,7.024B,346.00M,,346.00M,156.00M,502.00M,,,,,251.00M,251.00M,757.00M,1.51B,1.50B,1.50B,,,,,726.00M,2.226B,3.736B,5.00M,1.992B,7.052B,5.838B,77.00M,3.288B
2007-04,2.05B,,2.05B,718.00M,,718.00M,301.00M,52.00M,297.00M,,650.00M,,,373.00M,3.791B,,,,,,2.351B,-1.574B,777.00M,517.00M,,517.00M,,,2.198B,3.492B,7.283B,332.00M,,332.00M,137.00M,469.00M,,,,,248.00M,248.00M,837.00M,1.554B,1.50B,1.50B,,,,,674.00M,2.174B,3.728B,5.00M,1.807B,6.83B,5.161B,74.00M,3.555B
2007-01,2.09B,,2.09B,671.00M,,671.00M,302.00M,47.00M,299.00M,,648.00M,,,340.00M,3.749B,,,,,,2.349B,-1.574B,775.00M,517.00M,,517.00M,,,2.152B,3.444B,7.193B,312.00M,,312.00M,139.00M,451.00M,,,,,235.00M,235.00M,686.00M,1.372B,1.50B,1.50B,,,,,664.00M,2.164B,3.536B,5.00M,1.684B,6.726B,4.779B,21.00M,3.657B
