,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2007-12,540.02M,540.02M,204.41M,335.62M,56.46M,138.58M,,,,,195.04M,140.58M,,,,162.50M,55.48M,107.02M,,,107.02M,107.02M,175.06M,34.48M,140.58M,0.33,0.0,,0.33,0.33,0.33,0.0,,0.33,0.33,320.55M,326.28M,0.1875
2007-09,524.08M,524.08M,203.54M,320.55M,48.67M,159.98M,,-2.35M,,,208.66M,111.89M,,-2.35M,,126.89M,43.27M,83.63M,,,83.63M,85.17M,142.23M,30.34M,111.89M,0.26,0.0,,0.2648,0.26,0.25,0.0,,0.2547,0.25,320.55M,328.87M,0.1875
2007-06,532.37M,532.37M,209.45M,322.92M,51.22M,148.53M,,,,,199.75M,123.17M,,,,141.22M,48.96M,92.25M,,,92.25M,92.25M,150.31M,27.14M,123.17M,0.28,0.0,,0.28,0.28,0.28,0.0,,0.28,0.28,320.55M,330.81M,0.156
2007-03,476.56M,476.56M,190.29M,286.27M,40.57M,159.43M,,,,,200.00M,86.27M,,,,101.33M,25.26M,76.07M,,,76.07M,76.07M,113.53M,27.26M,86.27M,0.24,0.0,,0.24,0.24,0.23,0.0,,0.23,0.23,320.55M,330.36M,0.156
2006-12,497.45M,497.45M,189.27M,308.18M,42.99M,138.34M,,,,,181.34M,126.85M,,,,141.61M,44.04M,97.57M,,,97.57M,97.57M,152.74M,25.89M,126.85M,0.3,0.0,,0.3,0.3,0.3,0.0,,0.3,0.3,320.55M,329.62M,0.156
2006-09,502.74M,502.74M,203.69M,299.06M,69.69M,213.24M,,,,,282.93M,16.13M,,,,29.52M,9.181M,20.34M,,,20.34M,20.34M,40.48M,24.35M,16.13M,0.06,0.0,,0.06,0.06,0.06,0.0,,0.06,0.06,320.07M,328.21M,0.156
2006-06,509.16M,509.16M,180.39M,328.77M,64.57M,133.83M,,,,,198.40M,130.38M,,,,143.19M,47.05M,96.14M,,,96.14M,96.14M,156.44M,26.06M,130.38M,0.3,0.0,,0.3,0.3,0.29,0.0,,0.29,0.29,321.49M,337.05M,0.125
2006-03,478.17M,478.17M,163.81M,314.36M,39.89M,127.44M,,,,,167.33M,147.03M,,,,158.05M,50.94M,107.11M,,,107.11M,107.11M,170.20M,23.17M,147.03M,0.33,0.0,,0.33,0.33,0.32,0.0,,0.32,0.32,320.69M,336.12M,0.125
2005-12,445.52M,445.52M,152.32M,293.20M,36.85M,123.41M,,,,,160.26M,132.94M,,,,144.43M,46.76M,97.67M,,,97.67M,97.67M,153.02M,20.08M,132.94M,0.3,0.0,,0.3,0.3,0.29,0.0,,0.29,0.29,323.94M,338.74M,0.125
2005-09,424.10M,424.36M,142.03M,282.33M,37.45M,129.46M,,,,,166.91M,115.42M,,,,126.18M,41.05M,85.14M,,1.643M,86.78M,85.14M,136.44M,21.02M,115.42M,0.26,0.01,0.0,0.26,0.27,0.25,0.0,0.0047,0.25,0.25,327.96M,346.69M,0.1
2005-06,400.42M,400.42M,148.13M,252.29M,47.73M,137.15M,,,,,184.88M,67.41M,,,,78.03M,30.45M,47.58M,,,47.58M,47.58M,87.96M,20.55M,67.41M,0.15,0.0,,0.15,0.15,0.14,0.0,,0.14,0.14,327.68M,339.04M,0.1
2005-03,400.19M,400.19M,111.90M,288.29M,24.71M,83.14M,,,,,107.85M,180.44M,,,,187.93M,62.39M,125.54M,,,125.54M,125.54M,199.72M,19.28M,180.44M,0.38,0.0,,0.38,0.38,0.37,0.0,,0.37,0.37,326.94M,342.72M,0.1
