,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2018-03,193.63M,,1.16M,,1.16M,37.20M,37.20M,-2.67M,0.00,20.60M,,0.00,-80.95M,-11.04M,,66.54M,-1.244M,,0.00,-26.70M,223.22M,-16.93M,2.844M,-14.09M,-57.77M,94.23M,,22.37M,0.00,,0.00,,-127.70M,-127.70M,-117.88M,-117.88M,-1.926M,,-247.51M,1.632B,-1.917M,1.630B,,,0.00,-127.70M,2.424M,8.437M
2017-12,-75.01M,,-0.649M,,-0.649M,35.81M,35.81M,-3.188M,0.85M,21.04M,,0.00,-2.48M,-14.12M,,253.16M,31.46M,,-16.99M,251.02M,229.88M,-22.41M,1.444M,-20.97M,0.00,1.44M,,-19.53M,0.00,,0.00,,-76.95M,-76.95M,-101.42M,-101.42M,22.38M,,-156.00M,1.577B,54.35M,1.632B,,,0.00,-76.95M,14.86M,23.31M
2017-09,154.53M,,0.061M,,0.061M,36.75M,36.75M,12.12M,,17.29M,,0.042M,23.24M,1.835M,,-29.67M,1.488M,,2.02M,-1.087M,219.70M,-14.32M,1.473M,-12.85M,0.00,-698.81M,,-711.66M,,,,,-75.29M,-75.29M,-101.46M,-101.46M,-0.256M,,-177.01M,2.246B,-668.96M,1.577B,,,,-75.29M,,
2017-06,163.31M,0.00,7.006M,,13.73M,38.19M,38.19M,1.697M,-6.055M,17.62M,,11.57M,1.139M,-5.715M,,34.49M,-0.727M,,-20.75M,8.433M,236.93M,-13.05M,7.576M,-5.474M,0.00,0.109M,,-5.365M,500.00M,,500.00M,,-75.86M,-75.86M,-93.40M,-93.40M,30.77M,,357.83M,1.657B,589.39M,2.246B,,,0.00,-75.86M,18.29M,6.25M
2017-03,140.21M,0.00,4.809M,,4.809M,40.47M,40.47M,-16.97M,1.00M,18.30M,,19.30M,-33.25M,-5.505M,,55.18M,16.86M,,-0.413M,32.87M,220.70M,-8.286M,0.787M,-7.499M,2.663M,-102.22M,,-107.06M,0.00,,0.00,,-57.00M,-57.00M,-93.39M,-93.39M,6.04M,,-144.35M,1.687B,-30.71M,1.657B,,,0.00,-57.00M,9.199M,8.437M
2016-12,130.48M,0.00,3.898M,,3.898M,42.14M,42.14M,-7.52M,0.383M,18.07M,,18.46M,29.18M,-12.51M,,-4.285M,-7.583M,,0.383M,5.179M,192.63M,-15.78M,2.224M,-13.55M,-0.326M,-199.17M,,-213.04M,-250.00M,,-250.00M,,-61.24M,-61.24M,-93.56M,-93.56M,20.57M,,-384.22M,2.092B,-404.64M,1.687B,,,-250.00M,-61.24M,82.51M,23.13M
2016-09,137.61M,-26.62M,0.652M,,-25.97M,43.48M,43.48M,14.90M,6.134M,17.12M,,23.25M,3.013M,2.517M,,-60.28M,-12.10M,,-3.025M,-69.88M,123.40M,-14.31M,0.205M,-14.10M,39.86M,-25.68M,,0.073M,,,,,-57.71M,-57.71M,-93.63M,-93.63M,14.70M,,-136.63M,2.105B,-13.16M,2.092B,,,,-57.71M,-33.76M,-8.438M
2016-06,92.34M,0.00,5.048M,,5.048M,46.41M,46.41M,-13.51M,27.60M,16.44M,1.767M,45.81M,21.97M,7.657M,,36.00M,8.012M,,4.322M,77.97M,254.07M,-22.49M,34.69M,12.20M,0.00,23.45M,0.00,35.65M,250.00M,,250.00M,,-90.44M,-90.44M,-85.21M,-85.21M,29.21M,1.607M,105.17M,1.710B,394.89M,2.105B,,,0.00,-90.44M,16.97M,6.25M
2016-03,139.81M,-58.94M,3.098M,,-55.85M,47.09M,47.09M,-0.333M,0.506M,17.88M,-0.946M,17.44M,-47.32M,22.78M,,50.93M,-8.947M,,2.39M,19.83M,167.99M,-17.53M,0.136M,-17.39M,105.00M,-26.78M,0.00,60.82M,0.00,,0.00,,-83.80M,-83.80M,-85.71M,-85.71M,1.036M,1.491M,-166.99M,1.649B,61.82M,1.710B,,,0.00,-83.80M,2.407M,8.438M
2015-12,67.47M,0.00,-4.517M,,-4.517M,49.08M,49.08M,18.82M,1.95M,18.42M,-1.94M,18.43M,51.29M,15.81M,,-29.95M,-0.918M,,-3.024M,33.21M,182.49M,-13.53M,49.71M,36.18M,0.00,-31.04M,2.38M,7.519M,0.00,,0.00,,-23.15M,-23.15M,-85.71M,-85.71M,55.10M,3.92M,-49.84M,1.508B,140.17M,1.649B,,,0.00,-23.15M,17.50M,6.255M
2015-09,-72.14M,,-1.346M,,-1.346M,102.05M,102.05M,-53.11M,157.70M,16.96M,-1.056M,173.60M,-3.627M,-2.167M,,-35.48M,4.796M,,4.764M,-31.72M,117.34M,-15.82M,0.606M,-15.22M,,-26.06M,,-41.27M,,,,,-39.70M,-39.70M,-85.39M,-85.39M,4.148M,2.249M,-118.69M,1.551B,-42.62M,1.508B,,,,-39.70M,7.021M,8.438M
2015-06,98.66M,,-1.228M,,-37.08M,92.64M,92.64M,-32.21M,0.611M,17.71M,-3.233M,15.09M,-0.417M,10.10M,,59.89M,15.34M,,-0.223M,84.69M,221.79M,-15.36M,2.741M,-12.62M,35.55M,0.00,0.00,22.93M,0.00,,0.00,,-35.96M,-35.96M,-79.56M,-79.56M,27.20M,2.372M,-85.95M,1.392B,158.77M,1.551B,,,0.00,-35.96M,-79.14M,-52.56M
2015-03,79.43M,,-0.441M,,-0.441M,71.44M,71.44M,-15.66M,5.522M,18.59M,1.638M,25.75M,-19.92M,9.194M,,28.98M,-0.156M,,3.447M,21.54M,182.06M,-10.18M,1.615M,-8.57M,,-0.20M,0.50M,-8.27M,0.00,,0.00,,-36.77M,-36.77M,-79.42M,-79.42M,22.73M,5.997M,-87.47M,1.306B,86.33M,1.392B,,,0.00,-36.77M,17.36M,8.438M
2014-12,-72.03M,,1.844M,,1.844M,71.62M,71.62M,-30.85M,143.76M,20.78M,-2.16M,162.37M,23.43M,-1.486M,,16.67M,1.009M,,0.282M,39.90M,172.86M,-18.58M,24.47M,5.882M,,0.00,,5.882M,0.00,,0.00,,-59.67M,-59.67M,-79.17M,-79.17M,20.15M,1.931M,-116.75M,1.244B,61.99M,1.306B,,,0.00,-59.67M,12.70M,6.26M
2014-09,99.98M,,0.244M,,0.244M,63.69M,63.69M,6.207M,10.23M,22.42M,-0.639M,32.01M,13.90M,-15.65M,,-59.49M,-24.97M,,1.087M,-85.13M,117.00M,-31.69M,0.212M,-31.47M,0.00,-25.14M,,-56.62M,-0.437M,,-0.437M,,-62.68M,-62.68M,-79.76M,-79.76M,1.666M,2.249M,-138.97M,1.322B,-78.59M,1.244B,,,-0.437M,-62.68M,8.581M,8.452M
2014-06,84.79M,,1.068M,,1.068M,64.39M,64.39M,-9.501M,12.98M,21.79M,-3.955M,30.82M,8.30M,1.226M,,24.94M,26.58M,,1.475M,62.52M,234.08M,-23.65M,1.627M,-22.03M,0.00,-49.95M,,-71.98M,-2.43M,,-2.43M,-19.10M,-40.74M,-59.84M,-73.63M,-73.63M,60.12M,4.897M,-70.88M,1.231B,91.22M,1.322B,-19.10M,0.00,-2.43M,-40.74M,-4.73M,-6.06M
2014-03,122.54M,,0.818M,,0.818M,64.66M,64.66M,-36.48M,6.303M,22.06M,-1.935M,26.42M,-15.57M,7.717M,,35.67M,7.194M,,-1.283M,33.73M,211.70M,-26.41M,0.618M,-25.79M,-5.75M,0.00,,-31.54M,-0.439M,,-0.439M,0.00,-51.08M,-51.08M,-73.48M,-73.48M,21.15M,5.035M,-98.82M,1.150B,81.34M,1.231B,0.00,0.00,-0.439M,-51.08M,-6.084M,-8.485M
2013-12,44.35M,,0.265M,,0.265M,64.40M,64.40M,-11.70M,5.197M,22.87M,-3.185M,24.88M,33.06M,14.03M,,36.45M,30.33M,,-1.637M,112.23M,234.43M,-46.13M,0.00,-46.13M,-453.51M,27.00M,,-472.64M,495.96M,,495.96M,19.10M,-59.10M,-40.00M,-73.32M,-73.32M,1.516M,-5.573M,378.57M,1.010B,140.36M,1.150B,19.10M,497.80M,-1.839M,-59.10M,17.70M,-0.014M
2013-09,103.12M,,0.036M,,0.036M,51.13M,51.13M,25.53M,0.00,18.74M,-5.185M,13.56M,-12.45M,-2.301M,,-64.80M,-18.55M,,0.622M,-97.48M,95.89M,-36.33M,3.048M,-33.28M,,0.00,,-33.28M,0.10M,,0.10M,,-154.39M,-154.39M,-73.74M,-73.74M,-1.719M,1.697M,-228.05M,1.175B,-165.44M,1.010B,,0.10M,0.00,-154.39M,-0.433M,-8.302M
2013-06,119.01M,0.00,1.38M,,1.38M,51.19M,51.19M,-2.813M,0.70M,18.85M,-2.434M,17.12M,14.61M,-7.657M,,23.68M,-2.832M,,0.706M,28.51M,214.40M,-48.92M,15.32M,-33.60M,-2.682M,0.00,,-36.28M,-299.05M,,-299.05M,-16.77M,-193.22M,-209.99M,-69.53M,-69.53M,34.89M,-7.434M,-551.11M,1.548B,-372.99M,1.175B,-16.77M,3.25M,-302.30M,-193.22M,-5.965M,-5.247M
2013-03,131.39M,-3.285M,-2.397M,,-5.682M,50.39M,50.39M,18.39M,2.80M,19.61M,-2.98M,19.43M,-35.50M,-12.14M,,59.58M,-14.65M,,0.489M,-2.229M,211.69M,-54.94M,10.20M,-44.75M,0.00,50.00M,,5.254M,490.24M,,490.24M,0.00,-66.33M,-66.33M,-70.42M,-70.42M,18.14M,4.297M,375.93M,955.11M,592.87M,1.548B,0.00,491.14M,-0.903M,-66.33M,-5.718M,-0.095M
2012-12,76.62M,,-0.088M,,-0.088M,51.88M,51.88M,-12.98M,22.22M,22.84M,-1.428M,43.64M,51.99M,0.57M,,41.03M,4.091M,,-1.663M,96.02M,255.10M,-62.10M,4.115M,-57.99M,0.00,0.00,,-57.99M,-0.074M,,-0.074M,16.77M,-50.44M,-33.67M,-70.06M,-70.06M,12.81M,-0.861M,-91.85M,849.85M,105.26M,955.11M,16.77M,0.00,-0.074M,-50.44M,-1.795M,-5.184M
2012-09,127.89M,,-0.051M,,-0.051M,53.67M,53.67M,22.77M,2.707M,22.50M,-3.884M,21.32M,0.923M,-16.02M,,-66.67M,-7.839M,,0.745M,-88.86M,136.74M,-50.70M,0.344M,-50.36M,,,,-50.36M,-0.224M,,-0.224M,,-65.15M,-65.15M,-70.20M,-70.20M,12.76M,5.219M,-117.60M,881.06M,-31.21M,849.85M,,0.00,-0.224M,-65.15M,-5.602M,-0.098M
2012-06,110.63M,0.00,-1.412M,0.00,-1.412M,53.55M,53.55M,1.224M,22.93M,20.89M,-3.939M,39.88M,-21.21M,-22.09M,,37.59M,-5.634M,,-2.449M,-13.79M,190.09M,-76.61M,1.40M,-75.21M,-3.757M,0.00,,-78.97M,-0.40M,,-0.40M,,-56.28M,-56.28M,-64.41M,-64.41M,25.22M,5.247M,-90.62M,860.55M,20.51M,881.06M,,0.00,-0.40M,-56.28M,-8.674M,-5.237M
2012-03,54.52M,-45.37M,-6.487M,0.00,-51.86M,53.48M,53.48M,-9.942M,9.312M,22.04M,-2.215M,29.14M,-50.03M,12.41M,,158.86M,2.332M,,-2.407M,121.17M,196.50M,-70.05M,13.77M,-56.28M,54.63M,0.00,,-1.652M,0.00,,0.00,,-28.97M,-28.97M,-64.38M,-64.38M,12.73M,5.172M,-75.46M,741.16M,119.39M,860.55M,,0.00,0.00,-28.97M,-31.15M,-5.653M
2011-12,88.13M,,0.124M,-1.811M,-1.687M,52.00M,52.00M,-0.368M,0.00,23.47M,-6.823M,16.65M,82.76M,19.04M,,-2.147M,-1.615M,,-3.444M,94.60M,249.32M,-68.36M,1.709M,-66.65M,-8.793M,-25.11M,,-100.55M,-4.189M,,-4.189M,,-72.49M,-72.49M,-64.16M,-64.16M,18.94M,4.242M,-117.65M,710.04M,31.12M,741.16M,,,-4.189M,-72.49M,1.033M,0.239M
2011-09,133.45M,,0.127M,,0.127M,52.07M,52.07M,39.84M,0.00,23.46M,-1.393M,22.07M,-30.79M,-9.799M,,-72.02M,-11.84M,,-2.301M,-126.75M,120.81M,-49.32M,0.00,-49.32M,-154.27M,,,-203.59M,-16.22M,,-16.22M,,-88.67M,-88.67M,-64.78M,-64.78M,-2.865M,2.821M,-169.72M,962.54M,-252.50M,710.04M,,,-16.22M,-88.67M,-1.033M,-0.239M
2011-06,,,-1.797M,0.00,-1.797M,,50.02M,20.48M,0.00,21.41M,25.75M,-279.18M,6.959M,-2.974M,,11.22M,16.03M,,1.31M,32.55M,246.27M,-48.06M,2.295M,-45.77M,-7.811M,0.00,,-53.58M,-1.422M,1.422M,0.00,16.29M,-37.96M,-21.67M,,-62.08M,-20.12M,4.792M,-99.08M,868.92M,93.62M,962.54M,16.29M,,-3.237M,-37.96M,-4.318M,-15.35M
2011-03,,,-0.051M,,-0.051M,,50.68M,15.73M,0.00,21.23M,-4.229M,169.69M,-11.33M,-17.67M,,-13.32M,44.65M,,1.306M,3.645M,256.70M,-29.59M,0.08M,-29.51M,0.00,-49.79M,,-79.30M,-1.815M,-1.422M,-3.237M,2.881M,-67.74M,-64.85M,,-62.32M,16.13M,7.466M,-106.82M,798.34M,70.58M,868.92M,2.881M,,0.00,-67.74M,-15.09M,0.00
2010-12,,,14.26M,0.00,14.26M,,52.23M,15.48M,,24.52M,-2.81M,103.91M,38.08M,-13.60M,,6.845M,-7.43M,,-31.50M,-7.61M,199.98M,-59.07M,24.71M,-34.35M,0.00,0.00,,-34.35M,0.00,,0.00,14.73M,-40.83M,-26.10M,,-62.28M,,2.81M,-85.57M,718.28M,80.06M,798.34M,14.73M,,0.00,-40.83M,34.93M,5.089M
2010-09,,,0.537M,,0.537M,,52.13M,88.38M,,27.14M,-1.038M,117.55M,9.541M,4.817M,,-180.55M,,,39.99M,-126.21M,158.50M,-38.53M,0.535M,-37.99M,-73.11M,,,-111.10M,-1.422M,,-1.422M,-5.059M,-84.48M,-89.54M,,-62.47M,,-2.199M,-155.63M,826.51M,-108.23M,718.28M,-5.059M,,-1.422M,-84.48M,,0.00
2010-06,58.46M,,-0.318M,-0.001M,-0.319M,167.52M,50.38M,68.80M,0.00,24.85M,-17.29M,7.558M,-34.69M,-1.53M,,101.81M,-79.32M,-19.40M,5.245M,-27.88M,157.00M,-43.67M,1.622M,-42.04M,-312.78M,100.00M,-3.735M,-258.56M,296.11M,,296.11M,12.13M,-82.77M,-70.65M,,-60.41M,0.588M,4.002M,169.64M,758.44M,68.08M,826.51M,12.13M,296.12M,-0.01M,-82.77M,-376.62M,0.00
2010-03,-33.90M,,-0.502M,0.00,-0.502M,-76.33M,40.81M,-66.11M,0.00,15.28M,-1.565M,81.65M,-16.26M,5.208M,,198.56M,-8.895M,17.94M,3.775M,200.33M,164.48M,-25.48M,0.515M,-24.97M,0.00,0.00,-2.00M,-26.97M,2.45M,0.00,2.45M,-12.13M,-44.88M,-57.01M,,-60.95M,-0.196M,-0.895M,-116.60M,737.52M,20.91M,758.44M,-12.13M,2.46M,-0.01M,-44.88M,58.15M,0.00
2009-12,58.64M,,0.393M,0.00,0.393M,39.83M,39.83M,8.594M,0.00,26.93M,2.432M,-38.57M,-52.28M,-5.522M,,-35.68M,-1.70M,-0.537M,,-95.72M,30.96M,-28.29M,0.325M,-27.96M,0.00,0.00,0.784M,-27.18M,-0.02M,,-0.02M,,-42.99M,-42.99M,,-61.02M,-0.183M,1.925M,-102.29M,836.03M,-98.51M,737.52M,,,-0.02M,-42.99M,101.34M,0.00
2009-09,41.95M,,0.699M,0.149M,0.848M,36.50M,36.50M,17.81M,8.291M,26.46M,-6.33M,28.43M,-21.04M,24.52M,,-3.104M,10.60M,2.004M,,12.98M,138.52M,-26.46M,0.34M,-26.12M,-4.00M,100.23M,0.953M,71.06M,,0.00,0.00,,-25.74M,-25.74M,,-61.38M,-0.209M,4.433M,-82.90M,709.35M,126.68M,836.03M,,,0.00,-25.74M,,
2009-06,-2.357M,,0.324M,0.00,0.324M,56.51M,56.51M,-7.277M,0.00,-181.84M,204.21M,10.46M,-11.46M,21.62M,,-7.32M,28.73M,-1.25M,,30.32M,110.35M,-31.90M,0.00,-31.90M,0.00,-0.079M,0.00,-31.98M,3.857M,31.75M,35.61M,-20.59M,18.04M,-2.547M,,-61.13M,,-28.58M,-61.85M,692.82M,16.52M,709.35M,-20.59M,,35.61M,18.04M,,
2009-03,-26.43M,,0.484M,0.00,0.484M,51.24M,51.24M,41.06M,0.00,39.61M,-55.34M,0.00,17.82M,13.29M,,-8.401M,35.22M,-2.587M,,55.34M,105.96M,-36.00M,0.00,-36.00M,-30.70M,1.046M,2.119M,-63.53M,-1.164M,0.00,-1.164M,0.00,-4.777M,-4.777M,,-60.96M,,-0.906M,-67.81M,718.20M,-25.38M,692.82M,0.00,,-1.164M,-4.777M,,
2008-12,-38.78M,,1.887M,-0.529M,0.658M,50.89M,50.89M,169.50M,51.11M,121.50M,-149.54M,-42.01M,55.48M,7.78M,,-120.92M,-71.87M,38.63M,,-90.90M,72.42M,-29.54M,0.625M,-28.92M,-30.31M,0.867M,1.96M,-56.40M,-2.693M,-35.58M,-38.26M,0.00,-250.30M,-250.30M,,-62.30M,,1.858M,-349.01M,1.051B,-332.99M,718.20M,0.00,,-38.27M,-250.30M,,
2008-09,67.57M,,,,0.70M,46.78M,46.78M,-0.924M,,,,45.91M,3.46M,6.429M,,15.47M,11.15M,-39.48M,,-2.974M,157.06M,-38.00M,0.322M,-37.67M,,1.068M,-3.206M,-39.81M,,,-0.01M,,,,,-64.11M,,-15.06M,-79.18M,1.013B,38.08M,1.051B,,,,,,
2008-06,66.05M,,,,0.249M,50.73M,50.73M,-20.97M,,,,39.49M,-2.737M,-5.552M,,1.293M,0.931M,-6.92M,,-12.98M,122.56M,-36.25M,0.734M,-35.51M,0.00,-204.34M,13.62M,-226.23M,,,-0.01M,,,,,-60.10M,,-12.15M,-72.27M,1.189B,-175.93M,1.013B,,,,,,
2008-03,61.03M,,,,-0.269M,46.35M,46.35M,-11.94M,,,,34.35M,17.38M,-11.13M,,-8.724M,6.556M,22.53M,,26.61M,156.14M,-45.94M,1.477M,-44.46M,0.00,147.28M,-8.361M,94.45M,,,-0.01M,,,,,-60.10M,,-8.855M,-68.97M,1.007B,181.62M,1.189B,,,,,,
2007-12,107.02M,,,,-9.558M,34.48M,34.48M,26.72M,,,,37.63M,-11.29M,5.811M,,-6.003M,-26.76M,-92.73M,,-130.98M,65.32M,-76.73M,14.16M,-62.57M,-63.37M,387.99M,2.938M,264.98M,,,-0.01M,,,,,-60.10M,,-76.44M,-136.55M,813.67M,193.75M,1.007B,,,,,,
2007-09,83.63M,,,,,30.34M,30.34M,-8.461M,,,,72.92M,-30.38M,1.586M,,0.051M,5.613M,20.10M,,-3.033M,175.40M,-56.95M,,-56.95M,-0.754M,188.66M,0.934M,131.88M,,,-0.01M,,,,,-60.10M,,-10.56M,-70.68M,577.07M,236.60M,813.67M,,,,,,
2007-06,92.25M,,,,,27.14M,27.14M,-27.52M,,,,67.45M,5.705M,-13.93M,,-1.543M,3.197M,15.76M,,9.189M,167.32M,-143.32M,,-140.98M,,219.99M,4.456M,83.46M,,,,0.001M,0.00,0.001M,,-50.00M,,-10.12M,-56.78M,383.06M,194.01M,577.07M,0.001M,,,0.00,,
2007-03,76.07M,,,,,27.26M,27.26M,-5.894M,,,,62.40M,26.36M,-3.331M,3.34M,10.27M,0.833M,-49.19M,,-11.72M,148.12M,-64.05M,,-64.05M,,5.55M,-14.63M,-73.13M,,,,0.00,0.00,0.00,,-50.01M,,-12.64M,-62.65M,370.71M,12.35M,383.06M,0.00,,,0.00,,
2006-12,97.57M,,,,,25.89M,25.89M,-21.96M,,,,56.25M,19.40M,-24.02M,-3.34M,-12.54M,0.363M,-50.37M,,-70.51M,87.22M,-99.46M,,-99.46M,,-16.50M,-4.871M,-120.83M,,,,0.00,0.00,0.00,,-50.10M,,-12.40M,-62.50M,466.82M,-96.10M,370.71M,0.00,,,0.00,,
2006-09,20.34M,,,,,24.35M,24.35M,-48.15M,,,,183.96M,0.823M,-12.96M,,-8.456M,-0.363M,54.35M,,33.40M,213.89M,-94.91M,,-94.91M,,-0.908M,3.38M,-92.44M,,,,25.67M,-60.77M,-35.09M,,-50.02M,,8.143M,-76.97M,422.33M,44.48M,466.82M,25.67M,,,-60.77M,,
2006-06,96.14M,,,,,26.06M,26.06M,-23.55M,,,,61.55M,-30.69M,-1.138M,,25.48M,-5.754M,43.17M,,31.08M,191.28M,-100.96M,0.00,-100.96M,,173.72M,1.083M,73.84M,,,,23.14M,-76.71M,-53.58M,,-40.19M,,7.672M,-86.10M,243.31M,179.02M,422.33M,23.14M,,,-76.71M,,
2006-03,73.63M,,,,-90.58M,23.17M,23.17M,-16.71M,,,,178.84M,-38.33M,-2.48M,,-15.37M,3.945M,-3.732M,2.592M,-53.38M,114.98M,-44.84M,1.544M,-43.29M,,100.97M,-8.632M,49.04M,,,,42.88M,-87.76M,-44.88M,,-40.02M,,15.73M,-69.18M,148.47M,94.84M,243.31M,42.88M,,,-87.76M,,
2005-12,131.15M,,,,90.58M,20.08M,20.08M,-2.791M,,,,-61.80M,-7.255M,-12.03M,,11.68M,-6.179M,-21.74M,-2.592M,-38.12M,139.10M,-36.77M,,-36.77M,,188.18M,-1.685M,149.72M,,,,29.16M,-334.60M,-305.45M,,-40.00M,,2.289M,-343.16M,202.80M,-54.33M,148.47M,29.16M,,,-334.60M,,
