,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity
2018-02,453.00M,,453.00M,345.00M,,345.00M,394.00M,475.00M,,1.667B,,,,,,,,35.03B,3.014B,1.198B,4.212B,,,535.00M,39.77B,41.44B,795.00M,,795.00M,1.653B,2.448B,,,,2.114B,,2.114B,4.288B,4.288B,1.00M,8.851B,7.445B,,7.445B,,,,,,763.00M,8.208B,17.06B,365.00M,23.36B,8.708B,6.565B,-1.486B,24.38B
2017-11,395.00M,,395.00M,312.00M,,312.00M,387.00M,502.00M,,1.596B,,,46.74B,3.331B,790.00M,50.86B,-16.44B,34.43B,2.967B,1.20B,4.167B,,,585.00M,39.18B,40.78B,762.00M,,762.00M,1.877B,2.639B,,485.00M,1.717B,2.202B,,2.202B,3.958B,3.958B,1.00M,8.80B,6.993B,,6.993B,,,,,,769.00M,7.762B,16.56B,365.00M,23.29B,8.69B,6.349B,-1.782B,24.22B
2017-08,489.00M,,489.00M,324.00M,,324.00M,357.00M,491.00M,,1.661B,,,,,,,,34.17B,2.957B,1.247B,4.204B,,,606.00M,38.98B,40.64B,639.00M,,639.00M,1.845B,2.484B,,,,1.447B,,1.447B,4.038B,4.038B,,7.969B,7.723B,,7.723B,,,,,,779.00M,8.502B,16.47B,365.00M,23.07B,8.69B,6.104B,-1.845B,24.17B
2017-05,597.00M,,597.00M,319.00M,,319.00M,351.00M,507.00M,,1.774B,,,,,,,,33.82B,2.953B,1.286B,4.239B,,,615.00M,38.68B,40.45B,690.00M,,690.00M,1.807B,2.497B,,,,1.783B,,1.783B,4.778B,4.778B,,9.058B,7.635B,,7.635B,,,,,,794.00M,8.429B,17.49B,365.00M,22.03B,8.673B,5.946B,-2.154B,22.96B
2017-02,437.00M,,437.00M,307.00M,,307.00M,361.00M,492.00M,,1.597B,,,,,,,,32.33B,2.911B,1.279B,4.19B,,,588.00M,37.11B,38.70B,669.00M,,669.00M,1.766B,2.435B,,,,1.296B,,1.296B,3.734B,3.734B,,7.465B,7.796B,,7.796B,,,,,,782.00M,8.578B,16.04B,365.00M,21.94B,8.66B,5.864B,-2.44B,22.66B
2016-11,603.00M,,603.00M,298.00M,,298.00M,322.00M,466.00M,,1.689B,,,44.12B,2.677B,725.00M,47.52B,-15.10B,32.43B,2.91B,1.275B,4.185B,,,578.00M,37.19B,38.88B,713.00M,,713.00M,1.74B,2.453B,,451.00M,646.00M,1.097B,,1.097B,3.522B,3.522B,,7.072B,8.302B,,8.302B,,,,,,910.00M,9.212B,16.28B,365.00M,21.84B,8.632B,5.789B,-2.454B,22.60B
2016-08,462.00M,,462.00M,321.00M,102.00M,423.00M,314.00M,355.00M,,1.554B,,,,,,,,32.86B,2.964B,1.29B,4.254B,,,660.00M,37.78B,39.33B,704.00M,,704.00M,1.738B,2.442B,,,,1.073B,,1.073B,3.585B,3.585B,,7.10B,8.32B,,8.32B,,,,,,1.012B,9.332B,16.43B,365.00M,21.49B,8.618B,5.559B,-2.012B,22.90B
2016-05,519.00M,,519.00M,334.00M,108.00M,442.00M,315.00M,324.00M,,1.60B,,,,,,,,33.24B,3.019B,1.305B,4.324B,,,683.00M,38.25B,39.85B,667.00M,,667.00M,1.653B,2.32B,,,,1.246B,,1.246B,4.275B,4.275B,,7.841B,8.183B,,8.183B,,,,,,1.036B,9.219B,17.06B,365.00M,20.32B,8.605B,4.851B,-1.648B,22.79B
2016-02,778.00M,,778.00M,311.00M,112.00M,423.00M,333.00M,326.00M,,1.86B,,,,,,,,31.68B,2.98B,1.294B,4.274B,,,635.00M,36.59B,38.45B,619.00M,,619.00M,1.632B,2.251B,,,,1.078B,,1.078B,3.335B,3.335B,,6.664B,7.99B,,7.99B,,,,,,1.167B,9.157B,15.82B,365.00M,19.98B,8.592B,4.365B,-1.943B,22.62B
2015-11,1.395B,,1.395B,303.00M,,303.00M,330.00M,423.00M,,2.451B,1.067B,,43.79B,,839.00M,45.70B,-13.88B,31.82B,3.01B,1.308B,4.318B,,,650.00M,36.79B,39.24B,627.00M,,627.00M,1.683B,2.31B,,0.00,1.374B,1.374B,,1.374B,3.272B,3.272B,,6.956B,7.413B,,7.413B,,,,,,1.097B,8.51B,15.47B,365.00M,20.06B,8.562B,3.475B,-1.741B,23.77B
2015-08,539.00M,,539.00M,328.00M,124.00M,452.00M,305.00M,321.00M,,1.617B,,,,,,,,32.23B,3.052B,1.247B,4.299B,,,649.00M,37.18B,38.80B,578.00M,,578.00M,1.349B,1.927B,252.00M,,,1.256B,,1.256B,3.314B,3.314B,,6.749B,6.604B,,6.604B,,,,,,1.091B,7.695B,14.44B,365.00M,20.02B,8.505B,3.162B,-1.378B,24.35B
2015-05,298.00M,,298.00M,380.00M,176.00M,556.00M,327.00M,298.00M,,1.479B,,,,,,,,32.18B,3.041B,1.247B,4.288B,,,665.00M,37.13B,38.61B,637.00M,,637.00M,1.223B,1.86B,295.00M,,,1.621B,,1.621B,3.907B,3.907B,,7.683B,6.648B,,6.648B,,,,,,1.028B,7.676B,15.36B,365.00M,19.04B,8.412B,3.087B,-1.479B,23.25B
2015-02,280.00M,,280.00M,329.00M,163.00M,492.00M,332.00M,322.00M,,1.426B,,,,,,,,32.29B,3.055B,1.252B,4.307B,,,687.00M,37.29B,38.71B,594.00M,,594.00M,1.198B,1.792B,278.00M,,,2.195B,,2.195B,3.147B,3.147B,,7.412B,6.944B,,6.944B,,,,,,1.008B,7.952B,15.36B,365.00M,19.01B,8.398B,3.087B,-1.339B,23.35B
2014-11,331.00M,,331.00M,332.00M,154.00M,486.00M,349.00M,322.00M,,1.488B,1.088B,,44.28B,,536.00M,45.90B,-13.08B,32.82B,3.127B,1.27B,4.397B,,,744.00M,37.96B,39.45B,626.00M,,626.00M,1.538B,2.164B,,653.00M,1.072B,1.725B,,1.725B,3.032B,3.032B,,6.921B,7.363B,,7.363B,,,,,,960.00M,8.323B,15.24B,365.00M,19.16B,8.384B,3.087B,-616.00M,24.20B
2014-08,436.00M,,436.00M,355.00M,123.00M,478.00M,358.00M,330.00M,,1.602B,,,,,,,,33.07B,3.199B,1.292B,4.491B,,,831.00M,38.40B,40.00B,610.00M,,610.00M,1.191B,1.801B,225.00M,,,1.90B,,1.90B,3.13B,3.13B,,7.056B,6.967B,,6.967B,,,,,,817.00M,7.784B,14.84B,365.00M,19.54B,8.369B,3.087B,-28.00M,25.16B
2014-05,343.00M,,343.00M,288.00M,299.00M,587.00M,383.00M,312.00M,,1.625B,,,,,,,,33.52B,3.226B,1.298B,4.524B,,,862.00M,38.90B,40.53B,627.00M,,627.00M,1.136B,1.763B,384.00M,,,1.556B,,1.556B,3.698B,3.698B,,7.401B,7.88B,,7.88B,,,,,,880.00M,8.76B,16.16B,365.00M,18.48B,8.345B,3.073B,243.00M,24.36B
2014-02,421.00M,,421.00M,258.00M,269.00M,527.00M,381.00M,316.00M,,1.645B,,,,,,,,32.99B,3.226B,1.296B,4.522B,,,747.00M,38.26B,39.90B,554.00M,,554.00M,1.084B,1.638B,352.00M,,,1.618B,,1.618B,3.08B,3.08B,,6.688B,7.992B,,7.992B,,,,,,755.00M,8.747B,15.44B,365.00M,18.57B,8.333B,3.074B,273.00M,24.47B
2013-11,462.00M,,462.00M,405.00M,381.00M,786.00M,374.00M,315.00M,,1.937B,971.00M,,43.62B,,535.00M,45.12B,-12.22B,32.90B,3.21B,1.292B,4.502B,,,760.00M,38.17B,40.10B,639.00M,,639.00M,1.126B,1.765B,456.00M,0.00,1.468B,1.468B,,1.468B,3.031B,3.031B,,6.72B,8.092B,,8.092B,,,,,,736.00M,8.828B,15.55B,365.00M,18.78B,8.325B,3.077B,161.00M,24.56B
2013-08,981.00M,,981.00M,444.00M,450.00M,894.00M,388.00M,371.00M,,2.634B,,,,,,,,32.50B,3.16B,1.278B,4.438B,,,823.00M,37.76B,40.39B,601.00M,194.00M,795.00M,929.00M,1.724B,558.00M,,,2.226B,,2.226B,2.98B,2.98B,,7.488B,7.792B,,7.792B,,,,,,853.00M,8.645B,16.13B,365.00M,18.91B,8.312B,3.077B,-251.00M,24.26B
2013-05,711.00M,,711.00M,408.00M,637.00M,1.045B,381.00M,187.00M,,2.324B,,,,,,,,32.48B,3.134B,1.298B,4.432B,,,742.00M,37.66B,39.98B,627.00M,194.00M,821.00M,857.00M,1.678B,737.00M,,,2.014B,,2.014B,3.626B,3.626B,,8.055B,7.848B,,7.848B,,,,,,796.00M,8.644B,16.70B,365.00M,18.17B,8.284B,3.066B,-473.00M,23.28B
2013-02,476.00M,,476.00M,400.00M,337.00M,737.00M,383.00M,196.00M,,1.792B,,,,,,,,31.73B,3.143B,1.303B,4.446B,,,711.00M,36.88B,38.68B,570.00M,194.00M,764.00M,798.00M,1.562B,440.00M,,,1.765B,,1.765B,3.015B,3.015B,,6.782B,7.622B,,7.622B,,,,,,748.00M,8.37B,15.15B,364.00M,18.32B,8.277B,3.041B,-399.00M,23.52B
2012-11,465.00M,,465.00M,270.00M,460.00M,730.00M,390.00M,236.00M,,1.821B,901.00M,,41.92B,,380.00M,43.20B,-11.06B,32.14B,3.174B,1.314B,4.488B,,,715.00M,37.34B,39.16B,549.00M,583.00M,1.132B,845.00M,1.977B,553.00M,,1.734B,1.734B,,1.734B,3.076B,3.076B,,7.34B,7.168B,,7.168B,,,,,,724.00M,7.892B,15.23B,363.00M,18.48B,8.252B,2.958B,-207.00M,23.93B
2012-08,568.00M,,568.00M,306.00M,482.00M,788.00M,364.00M,221.00M,,1.941B,,,,,,,,31.97B,3.146B,1.307B,4.453B,,,716.00M,37.14B,39.08B,561.00M,,561.00M,970.00M,1.531B,,,,763.00M,,763.00M,3.078B,3.078B,564.00M,5.936B,8.289B,,8.289B,,,,,,664.00M,8.953B,14.89B,363.00M,18.97B,8.218B,2.923B,-434.00M,24.19B
2012-05,900.00M,,900.00M,286.00M,403.00M,689.00M,377.00M,203.00M,,2.169B,,,,,,,,32.13B,3.135B,1.302B,4.437B,,,723.00M,37.29B,39.46B,532.00M,,532.00M,1.009B,1.541B,,,,1.608B,,1.608B,3.634B,3.634B,479.00M,7.262B,8.392B,,8.392B,,,,,,782.00M,9.174B,16.44B,363.00M,17.84B,8.205B,2.856B,-521.00M,23.03B
2012-02,471.00M,,471.00M,286.00M,851.00M,1.137B,381.00M,184.00M,,2.173B,,,,,,,,31.48B,3.188B,1.319B,4.507B,,,808.00M,36.79B,38.96B,517.00M,,517.00M,1.02B,1.537B,,,,1.563B,,1.563B,3.046B,3.046B,398.00M,6.544B,7.964B,,7.964B,,,,,,802.00M,8.766B,15.31B,363.00M,18.02B,8.196B,2.854B,-67.00M,23.65B
2011-11,450.00M,,450.00M,263.00M,30.00M,293.00M,374.00M,195.00M,,1.312B,898.00M,,40.78B,,526.00M,42.20B,-10.15B,32.05B,3.322B,1.33B,4.652B,,,619.00M,37.32B,38.64B,576.00M,194.00M,770.00M,832.00M,1.602B,97.00M,162.00M,1.138B,1.30B,,1.30B,3.106B,3.106B,,6.105B,8.053B,,8.053B,,,,,,647.00M,8.70B,14.80B,363.00M,18.35B,8.18B,2.851B,-209.00M,23.83B
2011-08,430.00M,,430.00M,353.00M,,353.00M,366.00M,248.00M,,1.397B,,,,,,,,33.24B,3.43B,1.396B,4.826B,,,560.00M,38.63B,40.03B,548.00M,,548.00M,1.084B,1.632B,,,,2.108B,,2.108B,3.141B,3.141B,,6.881B,7.714B,,7.714B,,,,,,679.00M,8.393B,15.27B,363.00M,18.32B,8.167B,2.682B,585.00M,24.75B
2011-05,557.00M,,557.00M,360.00M,,360.00M,365.00M,217.00M,,1.499B,,,,,,,,32.82B,3.424B,1.396B,4.82B,,,622.00M,38.26B,39.76B,552.00M,,552.00M,1.137B,1.689B,,,,1.164B,,1.164B,,,3.668B,6.521B,8.678B,,8.678B,,,,,,712.00M,9.39B,15.91B,363.00M,17.19B,8.155B,2.394B,542.00M,23.85B
2011-02,465.00M,,465.00M,,,308.00M,343.00M,249.00M,,1.365B,,,,,,,,31.22B,3.373B,1.335B,4.708B,,,667.00M,36.60B,37.96B,516.00M,,516.00M,1.121B,1.637B,,,,1.49B,,1.49B,,,2.882B,6.009B,7.815B,,7.815B,,706.00M,706.00M,,,,8.521B,14.53B,363.00M,17.18B,8.148B,2.395B,141.00M,23.44B
2010-11,429.00M,,429.00M,248.00M,,248.00M,320.00M,247.00M,,1.244B,858.00M,,38.28B,,696.00M,39.84B,-8.869B,30.97B,3.32B,1.32B,4.64B,,,639.00M,36.25B,37.49B,503.00M,,503.00M,1.094B,1.597B,,,,1.353B,,1.353B,2.805B,2.805B,,5.755B,8.011B,,8.011B,,,,,,693.00M,8.704B,14.46B,361.00M,17.22B,8.094B,2.394B,-254.00M,23.03B
2010-08,527.00M,,527.00M,,,388.00M,291.00M,239.00M,,1.445B,,,,,,,,30.16B,3.287B,1.31B,4.597B,,,643.00M,35.40B,36.85B,541.00M,,541.00M,991.00M,1.532B,,,,1.568B,,1.568B,,,2.776B,5.876B,7.644B,,7.644B,,732.00M,732.00M,,,,8.376B,14.25B,361.00M,17.06B,8.109B,2.385B,-545.00M,22.60B
2010-05,594.00M,,594.00M,,,455.00M,297.00M,240.00M,,1.586B,,,,,,,,29.32B,3.214B,1.289B,4.503B,,,623.00M,34.44B,36.03B,548.00M,,548.00M,928.00M,1.476B,,,,2.079B,,2.079B,,,3.208B,6.763B,7.681B,,7.681B,,721.00M,721.00M,,,,8.402B,15.16B,361.00M,15.83B,8.059B,2.357B,-1.029B,20.86B
2010-02,753.00M,,753.00M,,,392.00M,321.00M,279.00M,,1.745B,,,,,,,,29.70B,3.326B,1.316B,4.642B,,,643.00M,34.99B,36.73B,528.00M,,528.00M,912.00M,1.44B,,,,1.712B,,1.712B,,,2.515B,5.667B,8.933B,,8.933B,,713.00M,713.00M,,,,9.646B,15.31B,361.00M,15.66B,7.967B,2.293B,-273.00M,21.42B
2009-11,538.00M,,538.00M,362.00M,,362.00M,320.00M,298.00M,,1.518B,864.00M,,36.10B,,770.00M,37.73B,-7.864B,29.87B,3.451B,1.346B,4.797B,,,650.00M,35.32B,36.84B,568.00M,,568.00M,874.00M,1.442B,,,,950.00M,,950.00M,2.575B,2.575B,,4.967B,9.097B,,9.097B,,,,,,732.00M,9.829B,14.80B,360.00M,15.56B,7.92B,2.264B,462.00M,22.04B
2009-08,976.00M,,976.00M,,,476.00M,309.00M,337.00M,,2.098B,,,,,,,,28.88B,3.402B,1.332B,4.734B,,,645.00M,34.26B,36.36B,612.00M,,612.00M,886.00M,1.498B,,,,1.741B,,1.741B,,,2.536B,5.775B,8.373B,,8.373B,,651.00M,651.00M,,,,9.024B,14.80B,360.00M,15.58B,7.695B,2.271B,199.00M,21.56B
2009-05,485.00M,,485.00M,,,424.00M,308.00M,317.00M,,1.534B,,,,,,,,28.66B,3.388B,1.328B,4.716B,,,632.00M,34.01B,35.54B,543.00M,,543.00M,810.00M,1.353B,,,,1.962B,,1.962B,,,2.852B,6.167B,8.317B,,8.317B,,676.00M,676.00M,,,,8.993B,15.16B,360.00M,14.50B,7.699B,2.285B,107.00M,20.38B
2009-02,607.00M,,607.00M,,,402.00M,305.00M,245.00M,,1.559B,,,,,,,,26.22B,3.225B,1.281B,4.506B,,,546.00M,31.28B,32.84B,496.00M,,496.00M,739.00M,1.235B,,,,1.825B,,1.825B,,,2.28B,5.34B,7.69B,,7.69B,,,,,,652.00M,8.342B,13.68B,360.00M,14.24B,7.687B,2.286B,-847.00M,19.15B
2008-11,650.00M,,650.00M,,,418.00M,315.00M,267.00M,,1.65B,0.00,762.00M,31.40B,,707.00M,32.87B,-6.416B,26.46B,3.266B,1.294B,4.56B,,,733.00M,31.75B,33.40B,512.00M,,512.00M,1.142B,1.654B,,,,1.608B,,1.608B,,,2.519B,5.781B,7.735B,,7.735B,,786.00M,786.00M,,,,8.521B,14.30B,360.00M,13.98B,7.677B,2.296B,-623.00M,19.10B
2008-08,792.00M,9.00M,801.00M,,,642.00M,365.00M,245.00M,,2.053B,,,,,,27.74B,,27.74B,3.50B,1.359B,4.859B,,,631.00M,33.22B,35.28B,505.00M,,505.00M,1.224B,1.729B,,,,951.00M,,951.00M,,,3.149B,5.829B,8.345B,,8.345B,,,,,,783.00M,9.128B,14.96B,360.00M,13.92B,7.666B,2.296B,666.00M,20.32B
2008-05,988.00M,8.00M,996.00M,,,542.00M,349.00M,292.00M,,2.179B,,,,,,27.67B,,27.67B,3.614B,1.393B,5.007B,,,620.00M,33.29B,35.47B,454.00M,,454.00M,1.269B,1.723B,,,,1.531B,,1.531B,,,3.835B,7.089B,7.689B,,7.689B,,,,,,764.00M,8.453B,15.54B,360.00M,12.91B,7.653B,2.296B,1.306B,19.93B
2008-02,966.00M,12.00M,978.00M,,,434.00M,331.00M,280.00M,,2.023B,,,,,,26.54B,,26.54B,3.593B,1.389B,4.982B,,,598.00M,32.12B,34.14B,477.00M,,477.00M,1.203B,1.68B,,,,1.521B,,1.521B,,,4.192B,7.393B,6.271B,,6.271B,,,,,,741.00M,7.012B,14.40B,360.00M,12.83B,7.626B,2.297B,1.219B,19.74B
2007-11,943.00M,,943.00M,,,436.00M,331.00M,266.00M,,1.976B,0.00,717.00M,30.17B,,1.655B,32.54B,-5.901B,26.64B,3.61B,1.393B,5.003B,,,563.00M,32.20B,34.18B,561.00M,,561.00M,1.353B,1.914B,,,,2.539B,,2.539B,,,2.807B,7.26B,6.313B,,6.313B,,645.00M,645.00M,,,,6.958B,14.22B,360.00M,12.92B,7.599B,2.213B,1.296B,19.96B
2007-08,1.412B,341.00M,1.753B,,,423.00M,297.00M,249.00M,,2.722B,,,,,,25.13B,,25.13B,3.356B,1.334B,4.69B,,,642.00M,30.47B,33.19B,468.00M,,468.00M,1.212B,1.68B,,,,1.677B,,1.677B,,,3.79B,7.147B,5.735B,,5.735B,,,,,,598.00M,6.333B,13.48B,360.00M,12.88B,7.577B,1.992B,885.00M,19.71B
2007-05,1.859B,214.00M,2.073B,,,401.00M,282.00M,263.00M,,3.019B,,,,,,25.02B,,25.02B,3.331B,1.328B,4.659B,,,490.00M,30.17B,33.19B,498.00M,,498.00M,1.209B,1.707B,,,,2.532B,,2.532B,,,4.37B,8.609B,5.425B,,5.425B,,,,,,574.00M,5.999B,14.61B,360.00M,11.78B,7.556B,1.887B,772.00M,18.58B
2007-02,581.00M,104.00M,685.00M,,,287.00M,265.00M,272.00M,,1.509B,,,,,,23.84B,,23.84B,3.315B,1.322B,4.637B,,,478.00M,28.95B,30.46B,408.00M,,408.00M,1.063B,1.471B,,,,1.468B,,1.468B,,,2.417B,5.356B,6.172B,,6.172B,,,,,,595.00M,6.767B,12.12B,360.00M,11.66B,7.527B,1.887B,673.00M,18.34B
2006-11,1.163B,,1.163B,,,280.00M,263.00M,289.00M,,1.995B,,,,,,23.46B,,23.46B,3.313B,1.321B,4.634B,,,465.00M,28.56B,30.55B,438.00M,,438.00M,1.149B,1.587B,,,,1.492B,,1.492B,,,2.336B,5.415B,6.355B,,6.355B,,,,,,572.00M,6.927B,12.34B,360.00M,11.60B,7.479B,1.89B,661.00M,18.21B
2006-08,594.00M,,594.00M,,,396.00M,278.00M,283.00M,,1.551B,,,,,,23.26B,,23.26B,3.281B,1.311B,4.592B,,,460.00M,28.32B,29.87B,498.00M,,498.00M,984.00M,1.482B,,,,1.002B,,1.002B,,,2.326B,4.81B,6.556B,,6.556B,,,,,,621.00M,7.177B,11.99B,360.00M,11.40B,7.438B,1.843B,522.00M,17.88B
2006-05,570.00M,13.00M,583.00M,,,405.00M,278.00M,240.00M,,1.506B,,,,,,22.77B,,22.77B,3.29B,1.308B,4.598B,,,428.00M,27.80B,29.30B,411.00M,,411.00M,946.00M,1.357B,,,,4.155B,,4.155B,,,,5.512B,6.045B,,6.045B,,,,,,652.00M,6.697B,12.21B,359.00M,10.37B,7.418B,1.524B,473.00M,17.10B
2006-02,395.00M,11.00M,406.00M,425.00M,,425.00M,266.00M,210.00M,,1.307B,,,,,,21.96B,,21.96B,3.211B,1.283B,4.494B,,,558.00M,27.01B,28.32B,656.00M,,656.00M,746.00M,1.402B,,,,3.493B,,3.493B,,,,4.895B,5.661B,,5.661B,,,,,,581.00M,6.242B,11.14B,359.00M,10.31B,7.398B,1.058B,170.00M,17.18B
2005-11,1.178B,,1.178B,,,430.00M,250.00M,263.00M,,2.121B,,,,,,21.31B,,21.31B,3.206B,1.282B,4.488B,,,428.00M,26.23B,28.35B,477.00M,,477.00M,1.032B,1.509B,,,,1.625B,,1.625B,,,2.051B,5.185B,5.727B,,5.727B,,,,,,554.00M,6.281B,11.47B,359.00M,10.14B,7.381B,1.144B,159.00M,16.88B
