,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2002-06,97.58M,204.18M,301.76M,106.03M,106.03M,407.78M,,,,,,,226.94M,,226.94M,665.69M,,665.69M,128.31M,,1.021B,1.356B,,46.69M,19.61M,7.619M,73.92M,64.15M,138.07M,,,,,,138.07M,58.78M,,58.78M,,,,,58.78M,262.72M,,24.49M,984.48M,75.54M,9.157M,1.094B,,AOR,
2002-03,113.45M,134.45M,247.90M,113.31M,113.31M,361.20M,,,,,,,233.33M,,233.33M,665.69M,,665.69M,134.45M,,1.033B,1.361B,,39.43M,19.86M,25.80M,85.09M,42.57M,127.66M,,,,,,127.66M,70.43M,,70.43M,,,,,70.43M,227.46M,,24.84M,1.007B,89.52M,12.75M,1.134B,,AOR,
2001-12,,,,,,,,,,,,,,,,,,,,,,1.313B,,,,,,,,,,,,,,,,,,,,,,235.00M,,,,,,1.078B,,AOR,Restated
2001-09,181.13M,115.90M,297.03M,103.72M,103.72M,400.74M,,,,,,,249.68M,,249.68M,672.92M,,672.92M,191.24M,,1.114B,1.422B,,41.62M,18.55M,44.41M,104.58M,87.17M,191.75M,,,,,,191.75M,140.48M,,140.48M,,0.00,,,140.48M,355.07M,,24.72M,948.16M,87.59M,6.753M,1.067B,,AOR,
2001-06,125.54M,130.02M,255.56M,115.89M,115.89M,371.44M,,,,,,,258.26M,,258.26M,680.22M,,680.22M,217.88M,,1.156B,1.418B,,40.44M,18.47M,16.51M,75.42M,65.59M,141.01M,,,,,,141.01M,215.11M,,215.11M,,0.00,,,215.11M,375.58M,,24.63M,916.32M,84.28M,16.94M,1.042B,,AOR,
2001-03,150.28M,144.72M,295.00M,127.12M,127.12M,422.12M,,,,,,,262.04M,,262.04M,687.76M,,687.76M,208.20M,,1.158B,1.458B,,56.56M,18.45M,29.75M,104.77M,44.14M,148.91M,,,,,,148.91M,290.42M,,290.42M,,0.00,,,290.42M,453.51M,,24.60M,883.63M,82.76M,13.94M,1.005B,,AOR,
2000-12,,,,,,,,,,,,,,,,,,,,,,1.469B,,,,,,,,,,,,,,,,,,,,,,478.00M,,,,,,991.00M,,AOR,Restated
2000-09,0.00,180.77M,180.77M,,,180.77M,,,,,,,245.41M,,245.41M,,702.22M,702.22M,,,947.62M,1.464B,,,,,,,,,,,,,,319.95M,,319.95M,,0.604M,,,319.95M,503.44M,,24.34M,815.67M,71.57M,,960.09M,,,
2000-06,0.00,185.69M,185.69M,,,185.69M,,,,,,,234.26M,,234.26M,,,,,,234.26M,1.144B,,,,,,,,,,,,,,17.13M,,17.13M,,71.82M,,,17.13M,174.26M,,24.26M,762.30M,63.22M,,898.22M,,,
2000-03,0.00,250.26M,250.26M,,,250.26M,,,,,,,217.87M,,217.87M,,,,,,217.87M,1.125B,,,,,,,,,,,,,,17.63M,,17.63M,,66.45M,,,17.63M,215.55M,,24.14M,708.72M,54.27M,,843.26M,,,
1999-12,358.47M,233.92M,592.40M,121.64M,121.64M,714.03M,,,,,,,210.30M,,210.30M,2.474M,,2.474M,278.91M,,491.69M,998.04M,,37.71M,15.61M,31.82M,85.14M,64.77M,149.92M,,,,,,149.92M,17.72M,,17.72M,,60.22M,,,17.72M,167.64M,,24.02M,649.38M,48.06M,48.73M,770.18M,,,Restated
1999-09,0.00,237.60M,237.60M,,,237.60M,,,,,,,196.80M,,196.80M,,,,,,196.80M,953.90M,,,,,,,,,,,,,,17.10M,,17.10M,,69.20M,,,17.10M,183.10M,,,598.40M,,,701.60M,,,
1999-06,0.00,241.30M,241.30M,,,241.30M,,,,,,,186.70M,,186.70M,,,,,,186.70M,921.00M,,,,,,,,,,,,,,15.00M,,15.00M,,63.60M,,,15.00M,143.60M,,,600.50M,,,713.80M,,,
1999-03,0.00,194.70M,194.70M,105.50M,105.50M,300.20M,,,,,,,174.10M,,174.10M,,,,,,174.10M,861.90M,,,,,,,,,,,,,,,,,,58.30M,,,,141.50M,,,559.00M,,,662.10M,,,
1998-12,,,,,,,,,,,,,,,,3.20M,,3.20M,,,3.20M,796.80M,,,,,,,,,,,,,,,,,,,,,,182.50M,,,,,,614.30M,,,Restated
1998-09,0.00,164.20M,164.20M,91.90M,91.90M,256.10M,,,,,,,157.60M,,157.60M,,,,,,157.60M,731.90M,,,,,,,,,,,,,,,,,,48.60M,,,,119.80M,,,487.20M,,,563.50M,,,
1998-06,0.00,197.50M,197.50M,96.40M,96.40M,293.90M,,,,,,,149.70M,,149.70M,,,,,,149.70M,724.70M,,,,,,,,,,,,,,,,,,43.40M,,,,106.80M,,,481.20M,,,574.50M,,,
1998-03,0.00,200.60M,200.60M,94.30M,94.30M,294.90M,,,,,,,142.70M,,142.70M,,,,,,142.70M,688.90M,,,,,,,,,,,,,,,,,,38.30M,,,,117.40M,,,446.50M,,,533.20M,,,
1997-12,0.00,173.70M,173.70M,86.80M,86.80M,260.50M,,,,,,,142.50M,,142.50M,,7.90M,7.90M,,,150.40M,646.10M,,,,,,,,,,,,,,,,,,49.80M,,,,109.60M,,,415.30M,,,486.70M,,,
1997-09,0.00,200.40M,200.40M,87.90M,87.90M,288.30M,,,,,,,132.70M,,132.70M,,16.30M,16.30M,,,149.00M,618.10M,,,,,,,,,,,,,,,,,,46.20M,,,,123.50M,,,384.60M,,,448.40M,,,
1997-06,0.00,166.60M,166.60M,83.40M,83.40M,250.00M,,,,,,,122.50M,,122.50M,,15.30M,15.30M,,,137.80M,545.70M,,,,,,,,,,,,,,,,,,40.90M,,,,104.40M,,,350.80M,,,400.40M,,,
1997-03,0.00,144.20M,144.20M,75.20M,75.20M,219.40M,,,,,,,108.70M,,108.70M,,16.70M,16.70M,,,125.40M,504.10M,,,,,,,,,,,,,,,,,,42.90M,,,,97.60M,,,325.50M,,,363.60M,,,
1996-12,0.00,168.60M,168.60M,73.20M,73.20M,241.80M,,,,,,,101.20M,,101.20M,,21.30M,21.30M,,,122.50M,478.80M,,,,,,,,,,,,,,,,,,38.20M,,,,94.90M,,,306.60M,,,345.70M,,,
1996-09,0.00,137.50M,137.50M,68.10M,68.10M,205.60M,,,,,,,83.20M,,83.20M,,14.80M,14.80M,,,98.00M,458.00M,,,,,,,,,,,,,,,,,,33.90M,,,,102.50M,,,286.40M,,,321.60M,,,
1996-06,0.00,163.10M,163.10M,65.30M,65.30M,228.40M,,,,,,,72.60M,,72.60M,,16.70M,16.70M,,,89.30M,412.70M,,,,,,,,,,,,,,,,,,29.40M,,,,83.60M,,,267.90M,,,299.70M,,,
1996-03,0.00,157.20M,157.20M,63.60M,63.60M,220.80M,,,,,,,63.00M,,63.00M,,15.70M,15.70M,,,78.70M,387.80M,,,,,,,,,,,,,,,,,,25.00M,,,,80.10M,,,253.50M,,,282.70M,,,
1995-12,0.00,149.60M,149.60M,55.80M,55.80M,205.40M,,,,,,,60.20M,,60.20M,,18.20M,18.20M,,,78.40M,365.30M,,,,,,,,,,,,,,,,,,21.60M,,,,69.50M,,,252.90M,,,274.20M,,,
1995-09,0.00,107.30M,107.30M,,,107.30M,,,,,,,49.80M,,49.80M,,6.50M,6.50M,,,56.30M,352.20M,,,,,,,,,,,,,,0.80M,,0.80M,,18.90M,,,0.80M,71.80M,,,239.70M,,,261.50M,,,
1995-06,0.00,131.30M,131.30M,50.90M,50.90M,182.20M,,,,,,,48.60M,,48.60M,,7.10M,7.10M,,,55.70M,323.20M,,,,,,,,,,,,,,13.30M,,13.30M,,15.00M,,,13.30M,67.20M,,,223.80M,,,241.00M,,,
1995-03,0.00,105.50M,105.50M,47.00M,47.00M,152.50M,,,,,,,48.90M,,48.90M,,7.40M,7.40M,,,56.30M,299.40M,,,,,,,,,,,,,,13.30M,,13.30M,,11.50M,,,13.30M,65.40M,,,210.10M,,,222.50M,,,
1994-12,0.00,121.70M,121.70M,46.70M,46.70M,168.40M,,,,,,,49.30M,,49.30M,,7.80M,7.80M,,,57.10M,297.30M,,,,,,,,,,,,,,13.40M,,13.40M,,16.30M,,,13.40M,64.80M,,,206.00M,,,216.20M,,,
1994-09,0.00,116.90M,116.90M,,,116.90M,,,,,,,47.00M,,47.00M,,8.40M,8.40M,,,55.40M,305.10M,,,,,,,,,,,,,,13.70M,,13.70M,,12.50M,,,13.70M,77.60M,,,202.70M,,,215.00M,,,
1994-06,0.00,128.20M,128.20M,46.80M,46.80M,175.00M,,,,,,,43.20M,,43.20M,,8.90M,8.90M,,,52.10M,275.10M,,,,,,,,,,,,,,12.80M,,12.80M,,8.70M,,,12.80M,64.00M,,,193.00M,,,202.40M,,,
1994-03,0.00,122.00M,122.00M,44.30M,44.30M,166.30M,,,,,,,42.60M,,42.60M,,9.30M,9.30M,,,51.90M,279.60M,,,,,,,,,,,,,,12.80M,,12.80M,,12.10M,,,12.80M,66.70M,,,190.80M,,,200.80M,,,
1993-12,0.00,97.00M,97.00M,43.10M,43.10M,140.10M,,,,,,,39.80M,,39.80M,,9.80M,9.80M,,,49.60M,263.40M,,,,,,,,,,,,,,16.70M,,16.70M,,9.10M,,,16.70M,58.30M,,,183.60M,,,196.00M,,,
1993-09,0.00,59.70M,59.70M,38.20M,38.20M,97.90M,,,,,,,40.20M,,40.20M,,10.20M,10.20M,,,50.40M,244.40M,,,,,,,,,,,,,,16.00M,,16.00M,,6.50M,,,16.00M,58.40M,,,174.80M,,,179.50M,,,
1993-06,0.00,39.20M,39.20M,34.70M,34.70M,73.90M,,,,,,,38.10M,,38.10M,,10.70M,10.70M,,,48.80M,226.00M,,,,,,,,,,,,,,13.10M,,13.10M,,6.70M,,,13.10M,49.00M,,,165.80M,,,170.30M,,,
1993-03,0.00,36.90M,36.90M,34.70M,34.70M,71.60M,,,,,,,37.20M,,37.20M,,11.20M,11.20M,,,48.40M,220.30M,,,,,,,,,,,,,,13.10M,,13.10M,,5.40M,,,13.10M,53.30M,,,157.30M,,,161.60M,,,
1992-12,0.00,31.60M,31.60M,30.10M,30.10M,61.70M,,,,,,,35.20M,,35.20M,,11.70M,11.70M,,,46.90M,206.10M,,,,,,,,,,,,,,13.20M,,13.20M,,7.10M,,,13.20M,44.80M,,,150.10M,,,154.20M,,,
1992-09,0.00,27.40M,27.40M,30.70M,30.70M,58.10M,,,,,,,35.50M,,35.50M,,11.70M,11.70M,,,47.20M,207.10M,,,,,,,,,,,,,,15.10M,,15.10M,,5.90M,,,15.10M,54.80M,,,143.50M,,,146.40M,,,
1992-06,0.00,27.30M,27.30M,30.00M,30.00M,57.30M,,,,,,,34.80M,,34.80M,,,,,,34.80M,189.80M,,,,,,,,,,,,,,15.60M,,15.60M,,4.90M,,,15.60M,44.70M,,,137.30M,,,140.20M,,,
1992-03,0.00,24.20M,24.20M,28.70M,28.70M,52.90M,,,,,,,33.60M,,33.60M,,,,,,33.60M,185.70M,,,,,,,,,,,,,,16.10M,,16.10M,,3.70M,,,16.10M,46.30M,,,132.80M,,,135.70M,,,
1991-12,0.00,23.90M,23.90M,29.60M,29.60M,53.50M,,,,,,,33.30M,,33.30M,,,,,,33.30M,179.60M,,,,,,,,,,,,,,16.00M,,16.00M,,5.20M,,,16.00M,41.90M,,,129.00M,,,132.50M,,,
1991-09,0.00,22.70M,22.70M,28.30M,28.30M,51.00M,,,,,,,33.60M,,33.60M,,,,,,33.60M,179.80M,,,,,,,,,,,,,,16.40M,,16.40M,,4.50M,,,16.40M,49.00M,,,123.20M,,,126.30M,,,
1991-06,0.00,21.60M,21.60M,25.40M,25.40M,47.00M,,,,,,,34.70M,,34.70M,,,,,,34.70M,166.50M,,,,,,,,,,,,,,16.70M,,16.70M,,4.30M,,,16.70M,42.50M,,,116.80M,,,119.70M,,,
1991-03,,,,22.90M,22.90M,22.90M,,,,,,,35.90M,,35.90M,,,,,,35.90M,160.20M,,,,,,,,,,,,,,17.80M,,17.80M,,3.50M,,,17.80M,41.80M,,,111.90M,,,114.90M,,,
1990-12,0.00,17.70M,17.70M,22.20M,22.20M,39.90M,,,,,,,35.90M,,35.90M,,,,,,35.90M,161.50M,,,,,,,,,,,,,,22.40M,,22.40M,,4.10M,,,22.40M,45.50M,,,108.90M,,,111.90M,,,
1990-09,,,,22.20M,22.20M,22.20M,,,,,,,14.20M,,14.20M,,,,,,14.20M,147.10M,,,,,,,,3.10M,3.10M,,,,3.10M,,,,,3.70M,,,,32.70M,,,108.10M,,,110.70M,,,
1990-06,0.00,18.90M,18.90M,22.30M,22.30M,41.20M,,,,,,,10.90M,,10.90M,,,,,,10.90M,137.80M,,,,,,,,5.50M,5.50M,,,,5.50M,,,,,2.50M,,,,28.40M,,,104.00M,,,106.90M,,,
1990-03,0.00,18.60M,18.60M,22.20M,22.20M,40.80M,,,,,,,10.40M,,10.40M,,,,,,10.40M,132.40M,,,,,,,,,,,,,,2.70M,,2.70M,,2.10M,,,2.70M,24.60M,,,102.80M,,,105.70M,,,
1989-12,0.00,16.40M,16.40M,24.40M,24.40M,40.80M,,,,,,,10.70M,,10.70M,,,,,,10.70M,127.50M,,,,,,,,,,,,,,2.60M,,2.60M,,1.70M,,,2.60M,24.40M,,,98.50M,,,101.40M,,,
1989-09,0.00,15.30M,15.30M,21.90M,21.90M,37.20M,,,,,,,11.60M,,11.60M,,5.30M,5.30M,,,16.90M,130.60M,,,,,,,,,,,,,,4.50M,,4.50M,,1.60M,,,4.50M,31.70M,,,95.60M,,,97.30M,,,
1988-12,,,,,,,,,,,,,,,,,,,,,,105.50M,,,,,,,,,,,,,,3.00M,,3.00M,,,,,3.00M,26.10M,,,77.90M,,,79.40M,,,
1987-12,,,,,,,,,,,,,,,,,,,,,,78.90M,,,,,,,,,,,,,,1.60M,,1.60M,,,,,1.60M,21.00M,,,55.80M,,,57.90M,,,
1986-12,,,,,,,,,,,,,,,,,,,,,,63.00M,,,,,,,,,,,,,,1.70M,,1.70M,,,,,1.70M,22.00M,,,39.10M,,,41.00M,,,
1985-12,,,,,,,,,,,,,,,,,,,,,,45.90M,,,,,,,,,,,,,,1.90M,,1.90M,,,,,1.90M,19.50M,,,25.80M,,,26.40M,,,
1984-12,,,,,,,,,,,,,,,,,,,,,,33.10M,,,,,,,,,,,,,,,,,,,,,,13.00M,,,29.80M,,,20.10M,,,
