,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2016-06,211.20M,-268.50M,-268.50M,33.80M,,33.80M,33.80M,,38.80M,,38.80M,,,,,-102.00M,-102.00M,-86.70M,,-44.00M,-44.00M,,-85.50M,83.70M,-45.80M,,,,,,-37.30M,-37.30M,-135.70M,-135.70M,38.40M,269.20M,134.60M,,1.400B,2.10M,-19.90M,1.383B,,,,,-37.30M,,AOR,Restated
2016-03,313.30M,-517.90M,-517.90M,32.20M,,32.20M,32.20M,,36.80M,,36.80M,,,,,208.10M,208.10M,72.50M,,-35.20M,-35.20M,,243.00M,,207.80M,,,,,,-206.70M,-206.70M,-135.90M,-135.90M,21.00M,270.80M,-50.80M,,1.172B,229.50M,-1.40M,1.400B,,,,,-206.70M,,AOR,Restated
2015-12,303.20M,-15.30M,-15.30M,31.90M,,31.90M,31.90M,,41.60M,,41.60M,,,,,-319.50M,-224.50M,136.90M,,-36.70M,-36.70M,,197.30M,-3.00M,157.60M,,,,,,-167.10M,-167.10M,-131.80M,-131.80M,12.30M,,-286.60M,,1.164B,7.90M,0.00,1.172B,,,,,-167.10M,,AOR,Restated
2015-09,277.10M,-4.10M,-4.10M,33.10M,,33.10M,33.10M,,40.80M,,40.80M,,,,,160.00M,160.00M,506.90M,,-34.70M,-34.70M,,23.20M,-3.20M,-14.70M,,,,,,-466.90M,-466.90M,-132.70M,-132.70M,19.20M,-16.60M,-597.00M,,1.269B,-104.80M,0.00,1.164B,,,,,-466.90M,,AOR,Restated
2015-06,333.20M,-22.10M,-22.10M,32.20M,,32.20M,32.20M,,35.60M,,35.60M,,,,,-36.00M,-36.00M,342.90M,,-38.60M,-38.60M,,42.00M,-3.20M,0.20M,,,,,,-240.20M,-240.20M,-659.10M,-659.10M,9.50M,5.50M,-884.30M,,1.810B,-541.20M,0.00,1.269B,,,,,-240.20M,,AOR,Restated
2015-03,309.50M,-28.40M,-28.40M,29.10M,,29.10M,29.10M,,31.00M,,31.00M,,,,,202.60M,202.60M,543.80M,,-41.30M,-41.30M,,7.20M,,-34.10M,,,,,,-113.60M,-113.60M,-135.40M,-135.40M,32.50M,11.10M,-205.40M,,1.506B,304.30M,0.00,1.810B,,,,,-113.60M,,AOR,Restated
2014-12,315.90M,-2.90M,-2.90M,28.30M,,28.30M,28.30M,,37.50M,,37.50M,,,,,-256.00M,-251.00M,127.80M,,-43.60M,-43.60M,,16.70M,-0.80M,-27.70M,,,,,,-131.80M,-131.80M,-114.90M,-114.90M,32.60M,-24.40M,-238.50M,,1.644B,-138.40M,,1.506B,,,,,-131.80M,,AOR,Restated
2014-09,303.60M,-11.40M,-11.40M,28.30M,,28.30M,28.30M,,34.10M,,34.10M,,,,,135.90M,135.90M,490.50M,,-22.90M,-22.90M,,-201.80M,-3.20M,-227.90M,,,,,,-226.80M,-226.80M,-115.50M,-115.50M,13.10M,6.80M,-322.40M,,1.704B,-59.80M,,1.644B,,,,,-226.80M,,AOR,Restated
2014-06,305.80M,-68.90M,-68.90M,28.00M,,28.00M,28.00M,,32.60M,,32.60M,,,,,-59.00M,-59.00M,238.50M,,-34.30M,-34.30M,,-119.20M,-4.50M,-158.00M,,,,,,-25.60M,-25.60M,-115.90M,-115.90M,17.30M,8.70M,-115.50M,,1.739B,-35.00M,,1.704B,,,,,-25.60M,,AOR,Restated
2014-03,304.30M,-63.40M,-63.40M,27.10M,,27.10M,27.10M,,29.20M,,29.20M,,,,,189.90M,189.90M,487.10M,,-25.40M,-25.40M,,-1.00M,-3.40M,-29.80M,,,,,,-31.30M,-31.30M,-115.80M,-115.80M,22.20M,8.90M,-116.00M,,1.398B,341.30M,,1.739B,,,,,-31.30M,,AOR,Restated
2013-12,287.70M,-7.60M,-7.60M,25.10M,,25.10M,25.10M,,33.30M,,33.30M,,,,,-213.80M,-263.60M,74.90M,,-31.20M,-31.20M,,-253.90M,-13.80M,-298.90M,,,,,,0.00,0.00,-99.60M,-99.60M,17.00M,11.30M,-71.30M,,1.693B,-295.30M,,1.398B,,,,,0.00,,AOR,Restated
2013-09,270.30M,-6.50M,-6.50M,22.10M,,22.10M,22.10M,,29.70M,,29.70M,,,,,114.80M,114.80M,430.40M,,-33.10M,-33.10M,,-47.90M,-0.40M,-81.40M,,,,,,-14.10M,-14.10M,-99.40M,-99.40M,10.30M,-8.40M,-111.60M,,1.456B,237.40M,,1.693B,,,,,-14.10M,,AOR,Restated
2013-06,247.80M,-22.10M,-22.10M,21.90M,,21.90M,21.90M,,27.90M,,27.90M,,,,,-7.00M,-7.00M,268.50M,,-18.70M,-18.70M,,-9.70M,2.80M,-25.60M,,,,,,0.00,0.00,-99.00M,-99.00M,20.70M,5.40M,-72.90M,,1.286B,170.00M,,1.456B,,,,,0.00,,AOR,Restated
2013-03,241.90M,-15.90M,-15.90M,21.50M,,21.50M,21.50M,,23.70M,,23.70M,,,,,188.20M,188.20M,459.40M,,-22.80M,-22.80M,,-8.70M,-0.10M,-31.60M,,,,,,0.00,0.00,-98.70M,-98.70M,70.20M,7.50M,-21.00M,,879.10M,406.80M,,1.286B,,,,,0.00,,AOR,Restated
2012-12,232.00M,-11.00M,-11.00M,21.30M,-0.30M,21.00M,21.00M,,26.80M,,26.80M,,,,,-212.60M,-227.00M,41.80M,,-21.20M,-21.20M,,-82.50M,-4.20M,-107.90M,,,,,,0.00,0.00,-343.70M,-343.70M,34.30M,19.60M,-289.80M,,1.235B,-355.90M,,879.10M,,,,,0.00,,AOR,Restated
2012-09,247.30M,-34.40M,-34.40M,20.60M,0.10M,20.70M,20.70M,,27.30M,,27.30M,,,,,105.60M,105.60M,366.50M,,-19.10M,-19.10M,,-7.10M,-1.30M,-27.50M,,,,,,-6.00M,-6.00M,-86.60M,-86.60M,13.20M,3.10M,-76.30M,,972.30M,262.70M,,1.235B,,,,,-6.00M,,AOR,Restated
2012-06,206.80M,-11.40M,-11.40M,19.90M,0.10M,20.00M,20.00M,,25.90M,,25.90M,,,,,-12.60M,-12.60M,228.70M,,-18.00M,-18.00M,,-144.10M,-3.30M,-165.40M,,,,,,-129.20M,-129.20M,-86.30M,-86.30M,15.00M,6.00M,-194.50M,,1.104B,-131.20M,,972.30M,,,,,-129.20M,,AOR,Restated
2012-03,197.50M,-79.00M,-79.00M,19.10M,0.10M,19.20M,19.20M,,24.10M,,24.10M,,,,,104.00M,104.00M,265.80M,,-18.60M,-18.60M,,13.70M,-4.40M,-9.30M,,,,,,,,-86.80M,-86.80M,24.10M,11.80M,-50.90M,,897.90M,205.60M,,1.104B,,,,,,,AOR,Restated
2011-12,188.40M,,,19.00M,0.10M,19.10M,19.10M,,24.90M,,24.90M,,,,,10.20M,-220.50M,7.90M,,-32.80M,-32.80M,,1.40M,-1.70M,-33.10M,,,,,,-18.10M,-18.10M,,-78.60M,,-32.20M,-78.30M,,1.001B,-103.50M,,897.90M,,,,,-18.10M,,AOR,Restated
2011-09,185.50M,,,18.50M,0.10M,18.60M,18.60M,,27.40M,,27.40M,,,,,-130.10M,98.50M,330.00M,,-16.50M,-16.50M,,-46.50M,-2.50M,-65.50M,,,,,-36.80M,-226.30M,-263.10M,,-78.60M,,55.90M,-285.80M,,1.023B,-21.30M,,1.001B,,-36.80M,,,-226.30M,,AOR,Restated
2011-06,204.70M,,,17.90M,0.10M,18.00M,18.00M,,25.00M,,25.00M,,,,,130.10M,26.80M,274.50M,,-21.30M,-21.30M,0.70M,-25.40M,-3.40M,-49.40M,,,,,10.30M,-204.00M,-193.70M,,-80.00M,,6.40M,-267.30M,,1.065B,-42.20M,,1.023B,,10.30M,,,-204.00M,,AOR,Restated
2011-03,194.60M,,,16.60M,0.10M,16.70M,16.70M,,21.40M,,21.40M,,,,,,103.30M,336.00M,,-11.70M,-11.70M,-0.70M,-4.60M,,-17.00M,,,,,26.50M,-31.30M,-4.80M,,-80.70M,,18.30M,-67.20M,,813.10M,251.80M,,1.065B,,26.50M,,,-31.30M,,AOR,Restated
2010-12,191.60M,,,15.80M,0.10M,15.90M,15.90M,,23.20M,,23.20M,,,,,,-201.80M,21.30M,,-16.60M,-16.60M,,154.10M,-5.70M,-11.80M,,,,,-42.10M,0.00,-42.10M,,-70.00M,,22.30M,-6.80M,,810.40M,2.70M,,813.10M,,-42.10M,,,0.00,,AOR,Restated
2010-09,169.10M,,,15.90M,0.10M,16.00M,16.00M,,23.20M,,23.20M,,,,,,51.00M,259.30M,,-33.40M,-33.40M,,-8.00M,-0.70M,-42.10M,,,-1.60M,-1.60M,7.30M,-85.50M,-78.20M,,-69.10M,,7.00M,-141.90M,,735.10M,75.30M,,810.40M,,7.30M,,,-85.50M,,AOR,Restated
2010-06,158.50M,,,15.50M,0.10M,15.60M,15.60M,,23.00M,,23.00M,,,,,,-1.60M,195.50M,,-43.00M,-43.00M,,-2.10M,-3.50M,-48.60M,,,2.70M,2.70M,4.20M,-121.80M,-117.60M,,-69.80M,,8.80M,-175.90M,,764.10M,-29.00M,,735.10M,,4.20M,,,-121.80M,,AOR,Restated
2010-03,153.00M,,,15.40M,0.10M,15.50M,15.50M,,20.10M,,20.10M,,,,,,68.10M,256.70M,,-25.00M,-25.00M,,-148.00M,-1.40M,-174.40M,,,-1.10M,-1.10M,30.60M,-32.70M,-2.10M,,-70.00M,,11.70M,-61.50M,,743.30M,20.80M,,764.10M,,30.60M,,,-32.70M,,AOR,Restated
2009-12,152.50M,,,15.50M,0.20M,15.70M,15.70M,0.00,21.10M,,21.10M,,,,,,-120.30M,69.00M,,-30.90M,-30.90M,,8.50M,-2.20M,-24.60M,,,,,27.30M,-12.10M,15.20M,,-64.60M,,9.00M,-40.40M,,739.30M,4.00M,,743.30M,,27.30M,,,-12.10M,,AOR,Restated
2009-09,132.90M,,,16.40M,0.10M,16.50M,16.50M,0.00,24.00M,-8.80M,112.90M,,,,,,23.40M,196.80M,,-37.70M,-37.70M,,-37.30M,-2.60M,-77.60M,,,-11.00M,-11.00M,20.40M,0.00,20.40M,128.00M,-64.30M,-10.10M,17.70M,-47.30M,,667.40M,71.90M,,739.30M,,20.40M,,,0.00,,AOR,Restated
2009-06,100.00M,,,16.60M,0.10M,16.70M,16.70M,0.50M,23.40M,8.80M,-65.00M,,,,,,-10.20M,130.40M,,-34.50M,-34.50M,,17.60M,-0.30M,-17.20M,,,11.00M,11.00M,-6.40M,-8.00M,-14.40M,-128.00M,-64.10M,10.10M,-10.20M,-67.60M,,621.80M,45.60M,,667.40M,,-6.40M,,,-8.00M,,AOR,Restated
2009-03,48.20M,,,16.70M,0.10M,16.80M,16.80M,35.60M,20.60M,,56.20M,,,,,,18.20M,139.40M,,-30.80M,-30.80M,,-14.50M,-2.00M,-47.30M,,,,,6.40M,-50.90M,-44.50M,,-63.90M,,19.00M,-89.40M,,619.10M,2.70M,,621.80M,,6.40M,,,-50.90M,,AOR,Restated
2008-12,24.30M,,,15.80M,0.10M,15.90M,15.90M,88.40M,22.90M,,111.30M,,,,,,-146.10M,5.40M,,-47.60M,-47.60M,,7.80M,-28.80M,-68.60M,,,,,79.70M,-154.70M,-75.00M,,-61.90M,,-33.50M,-170.40M,,852.70M,-233.60M,,619.10M,,79.70M,,,-154.70M,,AOR,
2008-09,152.80M,,,15.30M,0.20M,15.50M,15.50M,2.10M,23.30M,,25.40M,,,,,,89.50M,283.20M,,-43.00M,-43.00M,,22.20M,7.60M,-13.20M,,,,,11.20M,-89.80M,-78.60M,,-62.20M,,42.30M,-98.50M,,681.20M,171.50M,,852.70M,,11.20M,,,-89.80M,,AOR,Restated
2008-06,162.20M,,,15.60M,0.10M,15.70M,15.70M,0.80M,20.90M,,21.70M,,,,,,-5.00M,194.60M,,-23.60M,-23.60M,,1.40M,13.10M,-9.10M,,,,,-8.80M,-74.80M,-83.60M,,-62.30M,,31.40M,-114.50M,,610.20M,71.00M,,681.20M,,-8.80M,,,-74.80M,,AOR,Restated
2008-03,151.50M,,,15.00M,0.20M,15.20M,15.20M,0.00,18.40M,,18.40M,,,,,,73.50M,258.60M,,-29.90M,-29.90M,,-2.60M,-1.60M,-34.10M,,,,,18.30M,-294.90M,-276.60M,,-126.10M,,3.30M,-399.40M,,785.10M,-174.90M,,610.20M,,18.30M,,,-294.90M,,AOR,Restated
2007-12,190.70M,,,13.70M,0.10M,13.80M,13.80M,,22.90M,,23.20M,,,,,,-156.90M,70.80M,,-42.80M,-42.80M,,-14.00M,-13.40M,-70.20M,,,,,32.40M,-56.10M,-23.70M,,-44.90M,,5.40M,-63.20M,,847.70M,-62.60M,,785.10M,,32.40M,,,-56.10M,,AOR,Restated
2007-09,174.80M,,,12.00M,0.20M,12.20M,12.20M,,20.70M,,20.70M,,,,,,57.70M,265.40M,,-44.00M,-44.00M,,-80.30M,-8.20M,-132.50M,,,,,20.60M,-156.80M,-136.20M,,-45.10M,,0.90M,-180.40M,,895.20M,-47.50M,,847.70M,,20.60M,,,-156.80M,,AOR,Restated
2007-06,162.20M,,,14.00M,0.20M,14.20M,14.20M,,19.40M,,19.40M,,,,,,-15.70M,180.10M,,-31.90M,-31.90M,,-52.20M,2.90M,-81.20M,,,,,11.80M,-76.00M,-64.20M,,-45.20M,,-5.40M,-114.80M,,911.10M,-15.90M,,895.20M,,11.80M,,,-76.00M,,AOR,Restated
2007-03,142.90M,,,13.70M,0.10M,13.80M,13.80M,,16.80M,,16.80M,,,,,,68.20M,241.70M,,-26.90M,-26.90M,,-29.50M,-4.40M,-60.80M,,,,,26.80M,-23.20M,3.60M,,-45.10M,,-1.30M,-42.80M,,773.00M,138.10M,,911.10M,,26.80M,,,-23.20M,,AOR,Restated
2006-12,148.90M,,,13.20M,0.20M,13.40M,13.40M,,,,-1.00M,,,,,,-92.40M,68.90M,,-25.30M,-25.30M,,-133.50M,-7.60M,-166.40M,,,,,-77.50M,0.00,-77.50M,,-36.80M,,108.60M,-5.70M,,876.20M,-103.20M,,773.00M,,-77.50M,,,0.00,,AOR,Restated
2006-09,128.30M,,,10.90M,0.10M,11.00M,11.00M,,,,15.70M,,,,,,13.20M,168.20M,,-24.10M,-24.10M,,-72.80M,42.00M,-54.90M,,,,,27.50M,-46.00M,-18.50M,,-36.90M,,3.80M,-51.60M,,814.50M,61.70M,,876.20M,,27.50M,,,-46.00M,,AOR,Restated
2006-06,135.70M,,,10.90M,0.10M,11.00M,11.00M,,,,14.80M,,,,,,13.40M,174.90M,,-23.40M,-23.40M,,-91.60M,-35.10M,-150.10M,,,,,16.40M,-125.00M,-108.60M,,-37.00M,,2.00M,-143.60M,,933.30M,-118.80M,,814.50M,,16.40M,,,-125.00M,,AOR,Restated
2006-03,116.70M,,,11.10M,0.00,11.10M,11.10M,,,,14.80M,,,,,,38.60M,181.20M,,-21.60M,-21.60M,,-25.00M,-3.20M,-49.80M,,,,,33.60M,0.00,33.60M,,-36.90M,,1.60M,-1.70M,,803.60M,129.70M,,933.30M,,33.60M,,,0.00,,AOR,Restated
2005-12,117.62M,,,11.23M,0.00,11.23M,11.23M,,,,,,,,,,-68.51M,63.54M,,-13.44M,-13.44M,,1.68M,-13.08M,-24.84M,,,,,19.16M,-0.047M,19.12M,,-29.92M,,3.38M,-7.428M,,772.37M,31.28M,,803.60M,,19.16M,,,-0.047M,,AOR,Restated
2005-09,116.34M,,,31.07M,0.00,10.80M,10.80M,,,,,,,,,,58.08M,185.21M,,-14.17M,-14.17M,,29.44M,-29.08M,-13.80M,,,,,5.451M,0.00,5.451M,,-29.82M,,1.305M,-23.07M,,624.03M,148.34M,,772.37M,,5.451M,,,0.00,,AOR,Restated
2005-06,102.75M,,,,,10.50M,10.50M,,,,,,,,,,28.02M,141.27M,,-10.96M,-10.96M,,-26.31M,4.971M,-32.29M,,,,,5.187M,-39.15M,-33.96M,,-29.95M,,-3.522M,-67.44M,,582.49M,41.54M,,624.03M,,5.187M,,,-39.15M,,AOR,Restated
2005-03,94.30M,,,,,9.772M,9.772M,,,,,,,,,,45.41M,149.48M,,-13.74M,-13.74M,,-4.616M,-2.319M,-20.67M,,,,,18.20M,-36.70M,-18.50M,,-29.80M,,2.237M,-46.07M,,499.75M,82.74M,,582.49M,,18.20M,,,-36.70M,,AOR,Restated
2004-12,97.13M,,,,,9.964M,9.964M,,,,,,,,,,-76.41M,30.68M,,-8.191M,-8.191M,,-25.42M,3.38M,-30.23M,,,,,29.94M,0.00,29.94M,,-24.27M,,3.569M,9.24M,,490.06M,9.689M,,499.75M,,29.94M,,,0.00,,AOR,Restated
2004-09,82.52M,,,,,10.08M,10.08M,,,,-33.28M,,,,,,73.42M,132.75M,,-13.29M,-13.29M,,-10.75M,6.079M,-17.96M,,,,,16.84M,-18.33M,-1.489M,,-24.17M,,5.698M,-19.96M,,395.24M,94.82M,,490.06M,,16.84M,,,-18.33M,,AOR,Restated
2004-06,80.26M,,,,,9.843M,9.843M,,,,30.02M,,,,,,,120.13M,,-12.88M,-12.88M,,,-8.025M,-20.90M,,,,,18.01M,0.00,18.01M,,-24.00M,,-4.918M,-10.91M,,306.92M,88.32M,,395.24M,,18.01M,,,0.00,,AOR,Restated
2004-03,77.34M,,,,,10.13M,10.13M,,,,3.256M,,,,,,,90.72M,,-8.714M,-8.714M,,,1.946M,-6.768M,,,,,10.35M,0.00,10.35M,,-23.72M,,-0.198M,-13.57M,,236.53M,70.39M,,306.92M,,10.35M,,,0.00,,AOR,Restated
2003-12,-158.84M,,,,,-34.84M,-34.84M,,,,-42.34M,,,,,,,60.98M,,21.63M,21.63M,,66.80M,-59.21M,29.22M,,43.53M,,43.53M,-20.53M,19.96M,-0.57M,,62.52M,,-13.76M,91.72M,,226.51M,-115.09M,,,,-20.53M,,43.53M,19.96M,,AOR,Restated
2003-09,66.29M,,,,,11.29M,11.29M,,,,28.23M,,,,,,,105.81M,,-8.087M,-8.087M,,-59.34M,52.03M,-15.40M,,-5.00M,,-5.00M,11.42M,0.00,11.42M,,-20.91M,,6.44M,-8.048M,,144.14M,82.36M,,226.51M,,11.42M,,-5.00M,0.00,,AOR,Restated
2003-06,53.78M,,,,,11.70M,11.70M,,,,-13.65M,,,,,,,51.83M,,-8.257M,-8.257M,,-1.135M,6.994M,-2.398M,,-27.53M,,-27.53M,7.748M,0.001M,7.749M,,-20.76M,,2.386M,-38.16M,,132.87M,11.27M,,144.14M,,7.748M,,-27.53M,0.001M,,AOR,Restated
2003-03,38.77M,,,,,11.85M,11.85M,,,,27.76M,,,,,,,78.39M,,-5.287M,-5.287M,,-6.318M,0.182M,-11.42M,,-11.00M,,-11.00M,1.36M,-19.96M,-18.60M,,-20.84M,,4.939M,-45.51M,,111.42M,21.45M,,132.87M,,1.36M,,-11.00M,-19.96M,,AOR,Restated
2002-12,-148.09M,,,-38.45M,,-38.45M,-38.45M,,,,-69.43M,,,,,,,13.03M,,19.52M,19.52M,,11.88M,53.28M,84.68M,,48.37M,,48.37M,-21.87M,91.92M,70.04M,,59.13M,,-49.92M,127.61M,,123.42M,-43.68M,,,,-21.87M,,48.37M,91.92M,,AOR,Restated
