,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2018-03,6.918B,-2.00M,-2.00M,376.00M,135.00M,511.00M,511.00M,804.00M,,415.00M,4.173B,-814.00M,11.23B,15.81B,26.23B,40.35B,,,,,6.87B,-805.00M,-22.85B,7.357B,5.407B,12.76B,,-4.858B,-4.858B,2.349B,,2.349B,-1.674B,-724.00M,28.60B,157.43B,46.11B,700.00M,204.24B,2.349B,20.93B,-13.58B,-4.858B
2017-12,2.365B,23.00M,23.00M,-1.115B,-473.00M,515.00M,515.00M,3.044B,,427.00M,3.656B,-6.528B,-10.10B,-2.11B,-18.74B,-7.10B,,,,,-3.837B,-224.00M,-11.92B,-2.044B,-45.00M,-2.089B,,-4.869B,-4.869B,0.00,0.00,0.00,-1.576B,212.00M,3.843B,172.38B,-15.17B,227.00M,157.43B,0.00,2.784B,-4.828B,-4.869B
2017-09,5.424B,-125.00M,-125.00M,372.00M,151.00M,523.00M,523.00M,1.616B,,457.00M,-5.228B,6.751B,-2.289B,11.76B,16.22B,20.30B,,,,,-3.063B,-627.00M,-15.70B,2.067B,-3.821B,-1.754B,,-2.981B,-2.981B,0.00,0.00,0.00,-1.721B,-27.00M,8.658B,158.70B,13.26B,414.00M,172.38B,0.00,17.07B,-15.00B,-2.981B
2017-06,5.106B,-101.00M,-101.00M,371.00M,160.00M,531.00M,531.00M,2.133B,,459.00M,10.13B,8.968B,-11.24B,-7.589B,-9.857B,9.649B,,,,,-4.028B,10.46B,-9.984B,157.00M,-7.727B,-7.57B,,-2.236B,-2.236B,,,,-1.148B,2.00M,-9.637B,168.02B,-9.972B,651.00M,158.70B,,16.26B,-16.10B,-2.236B
2017-03,5.337B,-52.00M,-52.00M,372.00M,162.00M,534.00M,534.00M,1.382B,,306.00M,-4.166B,-4.518B,3.532B,-16.72B,-17.71B,-12.99B,,,,,2.745B,-1.202B,-13.94B,3.826B,20.13B,23.96B,,-2.728B,-2.728B,,,,-1.255B,-584.00M,46.40B,147.74B,19.47B,813.00M,168.02B,,17.38B,-13.55B,-2.728B
2016-12,4.612B,0.00,0.00,373.00M,176.00M,549.00M,549.00M,721.00M,,280.00M,3.077B,4.81B,-13.49B,-11.70B,-20.38B,-9.44B,,,,,-6.434B,299.00M,715.00M,691.00M,-2.945B,-2.254B,,-1.33B,-1.33B,0.00,,0.00,-1.163B,-5.00M,15.38B,143.43B,6.658B,-2.354B,147.74B,0.00,10.86B,-10.16B,-1.33B
2016-09,4.955B,-51.00M,-51.00M,383.00M,181.00M,564.00M,564.00M,2.031B,,125.00M,-1.209B,535.00M,-947.00M,-7.209B,-7.621B,526.00M,,,,,-22.78B,-601.00M,-32.51B,-4.51B,-6.022B,-10.53B,,-1.399B,-1.399B,0.00,,0.00,-1.178B,32.00M,3.86B,171.21B,-28.12B,351.00M,143.43B,0.00,8.898B,-13.41B,-1.399B
2016-06,4.783B,-249.00M,-249.00M,376.00M,186.00M,562.00M,562.00M,1.337B,,131.00M,-2.331B,3.176B,-2.026B,8.142B,9.292B,15.29B,,,,,-11.27B,118.00M,-9.116B,-4.123B,2.17B,-1.953B,,-1.383B,-1.383B,878.00M,,878.00M,-879.00M,-13.00M,-15.42B,179.61B,-9.24B,837.00M,171.21B,878.00M,9.523B,-13.65B,-1.383B
2016-03,3.472B,-190.00M,-190.00M,379.00M,187.00M,566.00M,566.00M,1.704B,,831.00M,1.049B,-8.556B,2.361B,8.135B,1.94B,10.90B,,,,,10.34B,592.00M,-21.37B,-8.144B,2.783B,-5.361B,,-1.00B,-1.00B,2.069B,,2.069B,-974.00M,-77.00M,29.33B,159.35B,18.85B,1.406B,179.61B,2.069B,6.26B,-14.40B,-1.00B
2015-12,3.358B,-252.00M,-252.00M,381.00M,202.00M,583.00M,583.00M,377.00M,,-106.00M,-943.00M,2.367B,3.785B,-5.466B,686.00M,5.688B,,,,,-17.60B,1.323B,-22.82B,3.932B,-6.42B,-2.488B,,-799.00M,-799.00M,0.00,,0.00,-850.00M,-59.00M,6.131B,170.43B,-11.00B,-74.00M,159.35B,0.00,9.714B,-5.782B,-799.00M
2015-09,4.321B,-450.00M,-450.00M,388.00M,207.00M,595.00M,595.00M,1.191B,,-10.00M,-3.007B,8.566B,3.521B,9.30B,21.39B,25.80B,,,,,7.902B,-735.00M,-4.768B,-5.446B,-5.385B,-10.83B,,-800.00M,-800.00M,0.00,,0.00,-961.00M,-9.00M,-13.94B,163.51B,7.09B,-178.00M,170.43B,0.00,8.295B,-13.74B,-800.00M
2015-06,5.134B,-168.00M,-168.00M,391.00M,212.00M,603.00M,603.00M,1.331B,,13.00M,1.628B,-2.971B,-4.673B,-4.506B,-12.15B,-3.332B,,,,,-6.01B,-201.00M,-14.47B,7.243B,6.633B,13.88B,,-775.00M,-775.00M,0.00,,0.00,-917.00M,-12.00M,17.83B,162.54B,25.00M,946.00M,163.51B,0.00,16.41B,-9.164B,-775.00M
2015-03,3.097B,-268.00M,-268.00M,395.00M,213.00M,608.00M,608.00M,68.00M,,14.00M,-1.019B,-7.232B,12.00M,3.222B,-3.998B,245.00M,,,,,2.657B,-93.00M,-13.51B,-2.424B,2.098B,-326.00M,,0.00,0.00,2.964B,,2.964B,-846.00M,7.00M,38.51B,138.59B,25.24B,-1.291B,162.54B,2.964B,9.254B,-11.68B,0.00
2014-12,3.737B,-290.00M,-290.00M,414.00M,228.00M,642.00M,642.00M,593.00M,,,-2.719B,-5.092B,10.30B,-7.143B,-1.936B,348.00M,684.00M,,684.00M,,-9.91B,-1.869B,27.08B,-4.47B,-2.103B,-6.573B,,0.00,0.00,1.396B,,1.396B,-837.00M,-7.00M,-15.71B,128.66B,11.71B,-1.782B,138.59B,1.396B,4.656B,-9.126B,0.00
2014-09,-232.00M,-432.00M,-432.00M,391.00M,234.00M,625.00M,625.00M,234.00M,,,-368.00M,-580.00M,2.531B,135.00M,2.086B,2.946B,-233.00M,,-233.00M,,-14.26B,-376.00M,8.471B,-1.624B,-12.60B,-14.22B,,0.00,0.00,3.067B,,3.067B,-765.00M,-11.00M,-34.18B,152.90B,-22.77B,-1.474B,128.66B,3.067B,11.13B,-12.75B,0.00
2014-06,2.291B,-382.00M,-382.00M,391.00M,235.00M,626.00M,626.00M,1.052B,,,2.411B,2.037B,-3.617B,-662.00M,-2.242B,4.778B,-185.00M,,-185.00M,,-7.609B,-198.00M,-14.39B,-72.00M,-5.536B,-5.608B,,-233.00M,-233.00M,1.494B,,1.494B,-360.00M,-14.00M,10.68B,151.64B,1.063B,191.00M,152.90B,1.494B,16.54B,-16.62B,-233.00M
2014-03,-276.00M,-377.00M,-377.00M,390.00M,239.00M,629.00M,629.00M,-732.00M,,,-1.751B,13.34B,-3.319B,13.54B,23.55B,22.72B,-266.00M,,-266.00M,,-13.83B,-61.00M,-29.42B,3.99B,5.41B,9.40B,,-1.442B,-1.442B,0.00,,0.00,-344.00M,22.00M,27.02B,131.32B,20.32B,-2.00M,151.64B,0.00,19.24B,-15.26B,-1.442B
2013-12,3.439B,-390.00M,-390.00M,396.00M,266.00M,662.00M,662.00M,452.00M,,,6.252B,1.14B,-165.00M,-29.00M,946.00M,11.99B,353.00M,,353.00M,,-6.333B,153.00M,17.75B,-4.688B,5.971B,1.283B,,-1.351B,-1.351B,0.00,0.00,0.00,-361.00M,-7.00M,-19.45B,121.23B,10.29B,-202.00M,131.32B,0.00,12.98B,-17.67B,-1.351B
2013-09,2.497B,-356.00M,-356.00M,388.00M,270.00M,658.00M,658.00M,1.926B,,,4.326B,-4.464B,10.04B,-7.319B,-1.745B,8.227B,-255.00M,,-255.00M,,17.57B,-288.00M,9.602B,-11.00B,-5.701B,-16.70B,,-866.00M,-866.00M,0.00,-926.00M,-926.00M,-362.00M,-6.00M,4.142B,98.83B,21.97B,434.00M,121.23B,0.00,7.506B,-18.50B,-1.792B
2013-06,4.012B,-457.00M,-457.00M,402.00M,274.00M,676.00M,676.00M,1.03B,,,1.579B,4.933B,14.25B,18.58B,37.76B,46.13B,-98.00M,,-153.00M,,12.44B,-289.00M,-3.962B,-11.90B,4.272B,-7.625B,,-1.003B,-1.003B,996.00M,-5.535B,-4.539B,-472.00M,-2.00M,-43.58B,100.98B,-1.415B,-737.00M,98.83B,996.00M,4.98B,-16.88B,-6.538B
2013-03,1.483B,-68.00M,-68.00M,411.00M,276.00M,687.00M,687.00M,-146.00M,,,3.317B,-14.53B,11.03B,22.64B,19.14B,26.47B,,,55.00M,,3.781B,-64.00M,1.67B,7.638B,11.47B,19.10B,,0.00,0.00,12.00M,,12.00M,-482.00M,1.00M,-36.55B,110.75B,-8.414B,-1.358B,100.98B,12.00M,20.19B,-12.56B,0.00
2012-12,732.00M,-171.00M,-171.00M,427.00M,309.00M,736.00M,736.00M,-3.566B,,,4.107B,4.678B,-4.303B,-31.41B,-31.04B,-26.14B,146.00M,,151.00M,,-5.618B,-150.00M,-15.34B,-9.937B,-4.007B,-13.94B,,0.00,0.00,0.00,0.00,0.00,-472.00M,98.00M,47.00B,106.42B,5.508B,-1.171B,110.75B,0.00,4.19B,-14.13B,0.00
2012-09,340.00M,-339.00M,-339.00M,437.00M,315.00M,752.00M,752.00M,672.00M,,,-516.00M,9.548B,443.00M,-4.528B,5.463B,8.817B,-146.00M,,-220.00M,,-5.994B,68.00M,-17.48B,-21.30B,-3.728B,-25.03B,,0.00,0.00,6.00M,0.00,6.00M,-471.00M,79.00M,-9.345B,123.72B,-18.01B,705.00M,106.42B,6.00M,3.829B,-25.13B,0.00
2012-06,2.463B,-400.00M,-400.00M,442.00M,321.00M,763.00M,763.00M,354.00M,,,-5.308B,-2.315B,3.145B,15.50B,16.33B,16.87B,,,9.00M,,3.896B,-78.00M,9.25B,-50.46B,-788.00M,-51.25B,,0.00,0.00,-26.00M,0.00,-26.00M,-483.00M,45.00M,-30.37B,128.79B,-4.25B,-825.00M,123.72B,-26.00M,3.906B,-54.36B,0.00
2012-03,653.00M,-752.00M,-752.00M,468.00M,319.00M,787.00M,787.00M,-195.00M,,,7.052B,12.15B,-10.71B,-27.17B,-25.73B,-15.60B,,,65.00M,,-23.53B,-160.00M,-11.41B,-20.50B,3.506B,-16.99B,,,,687.00M,,687.00M,-483.00M,27.00M,35.14B,120.10B,8.13B,560.00M,128.79B,687.00M,10.28B,-30.77B,
2011-12,1.991B,-1.192B,-1.192B,480.00M,365.00M,845.00M,845.00M,1.031B,581.00M,,15.90B,-14.90B,-1.524B,16.89B,469.00M,24.60B,-565.00M,,-565.00M,,43.54B,29.00M,74.03B,-20.90B,1.829B,-19.07B,-5.00B,,-5.00B,,,5.00B,-475.00M,0.00,-61.11B,82.86B,37.52B,-281.00M,120.10B,0.00,3.065B,2.126B,
2011-09,6.232B,-737.00M,-737.00M,494.00M,377.00M,871.00M,871.00M,438.00M,0.00,,-16.13B,-12.78B,-1.247B,8.588B,-5.439B,-11.36B,-253.00M,-1.146B,-1.399B,,3.362B,-611.00M,-6.194B,-17.94B,-16.76B,-34.70B,5.00B,,5.00B,,,,-445.00M,6.00M,-18.60B,119.53B,-36.16B,-507.00M,82.86B,5.00B,5.977B,-50.01B,
2011-06,-8.826B,-899.00M,-899.00M,495.00M,382.00M,877.00M,877.00M,-3.71B,2.603B,,10.69B,26.38B,21.40B,,47.79B,51.78B,-137.00M,567.00M,430.00M,,4.659B,-390.00M,-1.436B,-17.63B,-7.692B,-25.33B,,,,,,0.00,-403.00M,0.00,-28.50B,97.54B,21.85B,138.00M,119.53B,,8.338B,-25.97B,
2011-03,2.049B,-546.00M,-546.00M,507.00M,385.00M,892.00M,892.00M,292.00M,,,7.099B,-16.83B,2.651B,,-14.18B,-576.00M,-352.00M,579.00M,227.00M,,5.646B,77.00M,-13.97B,-19.34B,-1.638B,-20.97B,,,,,,0.00,-415.00M,39.00M,3.557B,108.43B,-10.99B,102.00M,97.54B,,8.621B,-27.96B,
2010-12,-1.244B,-872.00M,-872.00M,530.00M,420.00M,950.00M,950.00M,-2.486B,2.00B,,15.65B,7.343B,-42.09B,,-13.97B,5.158B,-516.00M,-2.224B,-2.74B,,-14.59B,549.00M,26.61B,-31.18B,-4.856B,-36.04B,,,,,,0.00,-423.00M,54.00M,-54.54B,131.12B,-22.78B,88.00M,108.43B,,691.00M,-31.87B,
2010-09,-7.299B,-883.00M,-883.00M,538.00M,426.00M,964.00M,964.00M,1.83B,10.40B,,11.43B,4.208B,11.99B,,16.20B,38.03B,-322.00M,882.00M,560.00M,,-5.703B,-6.103B,-36.88B,-22.29B,-8.539B,-30.83B,,,,,,0.00,-449.00M,-9.00M,-21.26B,151.03B,-20.11B,188.00M,131.12B,,12.60B,-34.89B,
2010-06,3.123B,-37.00M,-37.00M,547.00M,439.00M,986.00M,986.00M,528.00M,0.00,,-16.45B,-3.597B,22.82B,,19.22B,15.48B,64.00M,591.00M,655.00M,,11.20B,4.021B,-25.88B,-5.767B,-12.05B,-17.82B,,,,,,,-440.00M,-21.00M,16.70B,144.79B,6.294B,-54.00M,151.03B,,15.64B,-21.41B,
2010-03,3.182B,-734.00M,-734.00M,566.00M,446.00M,1.012B,1.012B,736.00M,,,-8.733B,6.115B,12.49B,,18.61B,23.88B,-213.00M,751.00M,538.00M,,-8.38B,2.884B,5.807B,530.00M,-6.255B,-5.725B,,,,,,,-450.00M,34.00M,-6.234B,121.34B,23.45B,6.00M,144.79B,,23.28B,-22.75B,
2009-12,-194.00M,-1.039B,-1.039B,581.00M,432.00M,1.013B,1.013B,-3.19B,,,,4.344B,-36.24B,54.10B,22.20B,32.05B,-708.00M,-1.352B,-2.06B,0.00,-48.96B,1.434B,-49.90B,-15.97B,7.246B,-8.724B,0.00,,0.00,19.24B,,-25.76B,-1.33B,-5.00M,-13.50B,152.41B,-31.34B,269.00M,121.34B,19.24B,138.61B,-20.90B,
2009-09,-1.001B,-1.554B,-1.554B,586.00M,510.00M,1.096B,1.096B,3.313B,,,,-2.316B,41.53B,-29.87B,9.347B,22.91B,-292.00M,501.00M,209.00M,0.00,22.16B,603.00M,33.91B,100.00M,-33.96B,-33.86B,0.00,,0.00,0.00,,0.00,-1.148B,-19.00M,-44.93B,140.37B,11.89B,157.00M,152.41B,0.00,-113.50B,79.64B,
2009-06,3.224B,-632.00M,-632.00M,591.00M,516.00M,1.107B,1.107B,-239.00M,,,,-7.759B,-5.037B,15.94B,3.139B,19.97B,-709.00M,434.00M,-275.00M,0.00,3.724B,6.509B,-2.697B,-7.128B,-89.58B,-96.71B,13.47B,,13.47B,0.00,,0.00,-1.288B,-29.00M,-50.42B,173.46B,-33.14B,47.00M,140.37B,13.47B,18.39B,-115.10B,
2009-03,4.247B,-1.498B,-1.498B,578.00M,520.00M,1.098B,1.098B,486.00M,,,,-10.87B,28.30B,19.65B,37.08B,54.80B,-531.00M,417.00M,-114.00M,31.80B,60.88B,2.70B,176.61B,-10.46B,-10.14B,-20.60B,,,,30.00B,,30.00B,-1.097B,11.00M,-90.73B,32.86B,140.68B,-79.00M,173.46B,30.00B,24.25B,-44.85B,
2008-12,-1.789B,-762.00M,-762.00M,411.00M,477.00M,888.00M,888.00M,-4.372B,,,9.056B,-26.87B,5.15B,-17.08B,-38.80B,-27.24B,-572.00M,-506.00M,-1.078B,0.00,-15.45B,-8.784B,-15.48B,11.23B,12.24B,23.48B,9.898B,,9.898B,15.00B,,15.00B,-2.033B,37.00M,36.19B,39.34B,-6.528B,44.00M,32.86B,24.90B,19.74B,36.76B,
2008-09,1.177B,-10.00M,-10.00M,1.074B,1.357B,862.00M,862.00M,-660.00M,,,-15.34B,17.99B,-11.54B,103.00M,15.75B,20.08B,-417.00M,506.00M,89.00M,6.65B,-27.12B,21.88B,30.47B,-9.26B,-48.63B,-57.89B,229.00M,,-19.54B,19.74B,,19.74B,-3.402B,-59.00M,-50.25B,39.13B,299.00M,-85.00M,39.34B,19.97B,3.549B,-58.09B,
2008-06,3.41B,-127.00M,-127.00M,,,795.00M,795.00M,272.00M,,,3.08B,,,,7.60B,15.03B,-678.00M,,-678.00M,,-104.00M,-18.94B,-19.73B,6.583B,5.282B,11.86B,,,19.72B,,,-12.90B,-3.044B,-2.00M,3.341B,40.51B,-1.355B,-30.00M,39.13B,,12.72B,-6.132B,
2008-03,1.21B,-225.00M,-225.00M,,,774.00M,774.00M,-1.041B,,,12.26B,,,,-16.80B,-3.832B,-431.00M,,-431.00M,,5.386B,-3.152B,1.803B,156.00M,-1.93B,-1.774B,,,46.00M,,,12.90B,-3.049B,10.00M,22.00M,42.53B,-2.007B,-12.00M,40.51B,,7.774B,-7.618B,
2007-12,268.00M,-109.00M,-109.00M,,,799.00M,799.00M,-540.00M,,,-2.973B,,,,6.398B,12.23B,-825.00M,,-825.00M,-16.12B,-5.044B,96.32B,-36.98B,866.00M,-8.279B,-7.413B,,,-30.00M,,,1.008B,-2.902B,35.00M,32.30B,34.96B,7.685B,24.00M,42.53B,,6.79B,-5.924B,
2007-09,3.698B,-7.00M,-7.00M,,,710.00M,710.00M,-423.00M,,,5.867B,,,,-8.316B,1.529B,-469.00M,,-469.00M,-3.009B,9.36B,-28.89B,-23.00B,12.92B,19.17B,32.08B,,,-134.00M,,,550.00M,-2.894B,27.00M,20.87B,35.50B,-604.00M,61.00M,34.96B,,19.21B,-6.29B,
2007-06,5.761B,-2.00M,-2.00M,,,671.00M,671.00M,-34.00M,,,1.147B,,,,9.367B,16.91B,-491.00M,,-491.00M,-225.00M,10.32B,-33.51B,-23.90B,17.77B,-10.65B,7.118B,,,-325.00M,,,,-2.534B,16.00M,10.88B,31.55B,3.893B,57.00M,35.50B,,24.45B,-6.678B,
2007-03,5.255B,-62.00M,-62.00M,,,664.00M,664.00M,244.00M,,,1.49B,,,,-27.22B,-19.63B,-358.00M,,-358.00M,-460.00M,4.999B,-28.78B,-24.60B,6.877B,32.60B,39.48B,,,-2.183B,,,,-2.548B,138.00M,39.36B,36.43B,-4.872B,-8.00M,31.55B,,16.93B,-10.05B,
2006-12,5.256B,-21.00M,-21.00M,,,712.00M,712.00M,528.00M,,,-4.441B,,,,9.633B,11.67B,-350.00M,,-350.00M,1.227B,34.76B,-43.22B,-7.582B,7.80B,-34.31B,-26.51B,,,-2.70B,,,2.025B,-2.503B,-298.00M,1.107B,31.24B,5.192B,-2.00M,36.43B,,12.06B,-4.261B,
2006-09,5.416B,469.00M,469.00M,,,719.00M,719.00M,819.00M,,,853.00M,,,,-15.46B,-7.188B,-192.00M,,-192.00M,-96.00M,12.87B,-6.481B,6.097B,8.754B,-774.00M,7.98B,,,-2.21B,,,555.00M,-2.538B,149.00M,-2.252B,34.54B,-3.343B,37.00M,31.24B,,15.52B,-6.763B,
2006-06,5.475B,9.00M,9.00M,,,720.00M,720.00M,177.00M,,,8.828B,,,,-13.68B,1.532B,-206.00M,,-229.00M,0.00,-3.914B,-50.54B,-54.68B,6.275B,59.69B,65.96B,,,-3.211B,,,,-2.286B,189.00M,55.07B,32.58B,1.916B,54.00M,34.54B,,11.69B,-5.414B,
2006-03,4.986B,-14.00M,-14.00M,,,718.00M,718.00M,326.00M,,,-603.00M,,,,3.085B,8.498B,,,23.00M,-3.519B,1.216B,-9.854B,-12.13B,8.867B,-23.35B,-14.48B,,,-3.121B,,,,-2.334B,125.00M,-791.00M,37.00B,-4.427B,3.00M,32.58B,,10.20B,-1.33B,
2005-12,3.574B,-71.00M,-71.00M,,,439.00M,439.00M,1.569B,,,10.82B,,,,-18.08B,-1.749B,-370.00M,,-370.00M,-500.00M,-11.72B,-21.65B,-34.24B,2.114B,32.22B,34.33B,,,-245.00M,,,,-2.011B,-13.00M,40.25B,32.77B,4.264B,-36.00M,37.00B,,4.145B,-2.031B,
2005-09,3.841B,-29.00M,-29.00M,,,439.00M,439.00M,-299.00M,,,-4.066B,,,,-2.977B,-3.091B,-295.00M,,-295.00M,-2.50B,17.39B,-29.21B,-14.62B,4.645B,23.24B,27.88B,,,-379.00M,,,,-2.023B,-46.00M,16.49B,33.94B,-1.218B,54.00M,32.77B,,10.01B,-5.362B,
2005-06,4.657B,-325.00M,-325.00M,,,442.00M,442.00M,692.00M,,,-7.70B,,,,6.735B,4.501B,-167.00M,,-167.00M,,-21.95B,2.223B,-19.89B,-1.974B,20.38B,18.41B,,,-1.292B,,,,-1.814B,-21.00M,20.71B,28.70B,5.318B,-81.00M,33.94B,,3.038B,-5.012B,
2005-03,4.393B,-659.00M,-659.00M,,,448.00M,448.00M,-267.00M,,,-2.896B,,,,-12.90B,-11.88B,-396.00M,,-396.00M,,-72.76B,-8.533B,-81.69B,2.066B,82.75B,84.82B,,,-1.003B,,,,-1.835B,-37.00M,93.36B,28.94B,-215.00M,-23.00M,28.70B,,4.768B,-2.702B,
2004-12,3.653B,298.00M,298.00M,,,458.00M,458.00M,-117.00M,,,3.396B,,,,8.627B,16.32B,107.00M,,107.00M,-5.593B,-18.99B,-7.428B,-31.90B,-3.409B,-6.238B,-9.647B,,,-554.00M,,,,-1.828B,-50.00M,15.23B,29.25B,-352.00M,36.00M,28.94B,,2.209B,-5.618B,
2004-09,3.764B,-732.00M,-732.00M,,,446.00M,446.00M,-391.00M,,,276.00M,,,,-12.02B,-8.662B,-385.00M,,-385.00M,5.593B,-17.83B,-18.87B,-31.50B,2.531B,22.15B,24.68B,,,-1.084B,,,,-1.838B,-32.00M,37.57B,31.79B,-2.584B,47.00M,29.25B,,6.432B,-3.901B,
