,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,RentandLandingExpense,SpecialIncomeandCharges,TotalOperatingExpenses,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2007-03,18.16B,18.16B,555.00M,5.025B,5.58B,,,-111.00M,5.469B,1.076B,8.268B,7.823B,2.568B,5.255B,,46.00M,5.255B,5.330B,664.00M,20.12B,1.18,0.0,,1.197,1.18,1.16,0.0,,1.177,1.16,4.433B,4.497B,0.56
2006-12,18.68B,18.68B,623.00M,4.444B,5.067B,,,-244.00M,4.823B,1.088B,8.602B,7.823B,2.567B,5.256B,,13.00M,5.256B,5.420B,712.00M,19.71B,1.17,0.0,,1.207,1.17,1.15,0.0,,1.186,1.15,4.478B,4.554B,0.56
2006-09,18.18B,18.18B,587.00M,4.474B,5.061B,,,-269.00M,4.792B,236.00M,8.586B,8.156B,2.74B,5.416B,,,5.416B,5.595B,719.00M,20.24B,1.2,0.0,,1.24,1.2,1.18,0.0,,1.219,1.18,4.500B,4.571B,0.56
2006-06,18.22B,18.22B,551.00M,4.48B,5.031B,,,-194.00M,4.837B,637.00M,8.63B,8.497B,3.022B,5.475B,,4.00M,5.475B,5.600B,720.00M,19.16B,1.21,0.0,,1.238,1.21,1.19,0.0,,1.217,1.19,4.535B,4.601B,0.5
2006-03,17.69B,17.69B,575.00M,4.813B,5.388B,,,-98.00M,5.29B,732.00M,8.776B,7.497B,2.511B,4.986B,,,4.986B,5.051B,718.00M,16.85B,1.08,0.0,,1.094,1.08,1.07,0.0,,1.084,1.07,4.609B,4.666B,0.5
2005-12,13.88B,13.88B,265.00M,3.845B,4.11B,,,-59.00M,4.051B,592.00M,7.859B,5.161B,1.587B,3.574B,,4.00M,3.574B,3.615B,439.00M,13.32B,0.89,0.0,,0.9002,0.89,0.88,0.0,,0.8901,0.88,4.007B,4.065B,0.5
2005-09,14.18B,14.18B,307.00M,3.837B,4.144B,,,-120.00M,4.024B,742.00M,7.735B,5.736B,1.895B,3.841B,,5.00M,3.841B,3.921B,439.00M,13.21B,0.96,0.0,,0.9801,0.96,0.95,0.0,,0.9698,0.95,4.001B,4.055B,0.5
2005-06,14.92B,14.92B,346.00M,3.671B,4.017B,,,-121.00M,3.896B,817.00M,7.637B,7.023B,2.366B,4.657B,,4.00M,4.657B,4.737B,442.00M,13.65B,1.16,0.0,,1.18,1.16,1.14,0.0,,1.16,1.14,4.005B,4.065B,0.45
2005-03,14.20B,14.20B,337.00M,3.701B,4.038B,,,-112.00M,3.926B,659.00M,7.506B,6.56B,2.167B,4.393B,,5.00M,4.393B,4.201B,448.00M,12.19B,1.09,0.0,,1.042,1.09,1.07,0.0,,1.023,1.07,4.033B,4.099B,0.45
2004-12,13.50B,13.50B,337.00M,3.52B,3.857B,,,-272.00M,3.585B,726.00M,6.913B,5.462B,1.809B,3.653B,,5.00M,3.653B,3.835B,458.00M,10.47B,0.89,0.0,,0.9343,0.89,0.89,0.0,,0.9343,0.89,4.102B,4.102B,0.45
2004-09,13.32B,13.32B,364.00M,3.534B,3.898B,,,-221.00M,3.677B,732.00M,7.665B,5.648B,1.884B,3.764B,,5.00M,3.764B,3.911B,446.00M,9.47B,0.93,0.0,,0.9663,0.93,0.91,0.0,,0.9457,0.91,4.052B,4.121B,0.45
2004-06,13.84B,13.84B,367.00M,3.629B,3.996B,,,-125.00M,3.871B,795.00M,7.581B,5.826B,1.977B,3.849B,,5.00M,3.849B,3.932B,469.00M,9.235B,0.95,0.0,,0.9703,0.95,0.93,0.0,,0.95,0.93,4.062B,4.131B,0.4
2004-03,10.03B,10.03B,281.00M,2.752B,3.033B,,,,3.033B,628.00M,5.801B,3.972B,1.291B,2.681B,,1.00M,2.681B,2.681B,263.00M,6.723B,0.93,0.0,,0.93,0.93,0.91,0.0,,0.91,0.91,2.880B,2.933B,0.4
2003-12,9.768B,9.768B,268.00M,2.697B,2.965B,,,,2.965B,354.00M,5.586B,3.903B,1.177B,2.726B,,1.00M,2.726B,2.726B,284.00M,6.385B,0.93,0.0,,0.93,0.93,0.91,0.0,,0.91,0.91,2.927B,2.990B,0.4
2003-09,9.976B,9.976B,249.00M,2.595B,2.844B,,,,2.844B,258.00M,5.304B,4.255B,1.333B,2.922B,,1.00M,2.922B,2.922B,268.00M,6.806B,0.98,0.0,,0.98,0.98,0.96,0.0,,0.96,0.96,2.980B,3.043B,0.4
2003-06,9.916B,9.916B,238.00M,2.695B,2.933B,,,,2.933B,339.00M,5.365B,4.086B,1.348B,2.738B,,1.00M,2.738B,2.738B,277.00M,6.716B,0.915,0.0,,0.915,0.915,0.9,0.0,,0.9,0.9,2.988B,3.041B,0.32
2003-03,9.167B,9.167B,230.00M,2.459B,2.689B,,,,2.689B,205.00M,5.209B,3.617B,1.193B,2.424B,,1.00M,2.424B,2.424B,278.00M,6.133B,0.81,0.0,,0.81,0.81,0.795,0.0,,0.795,0.795,2.999B,3.048B,0.32
2002-12,9.108B,9.108B,203.00M,2.482B,2.685B,,,,2.685B,250.00M,5.374B,3.111B,497.00M,2.614B,,1.00M,2.614B,2.614B,277.00M,5.858B,0.87,0.0,,0.87,0.87,0.845,0.0,,0.845,0.845,2.999B,3.096B,0.32
2002-09,8.711B,8.711B,210.00M,2.368B,2.578B,,,,2.578B,-27.00M,5.302B,3.287B,1.052B,2.235B,,2.00M,2.235B,2.235B,277.00M,6.17B,0.745,0.0,,0.745,0.745,0.725,0.0,,0.725,0.725,3.008B,3.08B,0.3
2002-06,8.668B,8.668B,170.00M,2.386B,2.556B,,,,2.556B,57.00M,5.094B,3.29B,1.069B,2.221B,,1.00M,2.221B,2.221B,278.00M,6.18B,0.725,0.0,,0.725,0.725,0.7,0.0,,0.7,0.7,3.068B,3.171B,0.3
2002-03,8.637B,8.637B,170.00M,2.446B,2.616B,,,,2.616B,70.00M,5.153B,3.303B,1.124B,2.179B,,1.00M,2.179B,2.179B,272.00M,6.021B,0.705,0.0,,0.705,0.705,0.69,0.0,,0.69,0.69,3.087B,3.157B,0.3
2001-12,9.208B,9.208B,166.00M,2.59B,2.756B,,,,2.756B,344.00M,5.417B,2.484B,426.00M,2.058B,,1.00M,2.058B,2.058B,426.00M,5.872B,0.655,0.0,,0.655,0.655,0.64,0.0,,0.64,0.64,3.140B,3.203B,0.3
2001-09,8.73B,8.73B,165.00M,2.304B,2.469B,,,,2.469B,119.00M,5.204B,1.568B,727.00M,841.00M,,2.00M,841.00M,841.00M,431.00M,5.686B,0.26,0.0,,0.26,0.26,0.255,0.0,,0.255,0.255,3.199B,3.290B,0.28
2001-06,8.764B,8.764B,174.00M,2.534B,2.708B,,,,2.708B,164.00M,5.03B,3.143B,1.12B,2.023B,,1.00M,2.023B,2.023B,438.00M,8.038B,0.63,0.0,,0.63,0.63,0.62,0.0,,0.62,0.62,3.203B,3.261B,0.28
2001-03,8.411B,8.411B,177.00M,2.401B,2.578B,,,,2.578B,139.00M,4.639B,2.922B,1.052B,1.87B,,1.00M,1.87B,1.87B,437.00M,8.524B,0.58,0.0,,0.58,0.58,0.575,0.0,,0.575,0.575,3.218B,3.250B,0.28
2000-12,7.994B,7.994B,223.00M,2.257B,2.48B,,,0.00,2.48B,-63.00M,4.664B,2.147B,762.00M,1.385B,,1.00M,1.385B,1.385B,439.00M,8.62B,0.43,0.0,,0.43,0.43,0.43,0.0,,0.43,0.43,3.247B,3.250B,0.28
2000-09,8.249B,8.249B,147.00M,2.298B,2.445B,,,-550.00M,1.895B,433.00M,4.563B,2.854B,1.025B,1.829B,,,1.829B,2.181B,438.00M,9.526B,0.555,0.0,,0.6625,0.555,0.55,0.0,,0.656,0.55,3.279B,3.325B,0.25
2000-06,8.137B,8.137B,132.00M,2.311B,2.443B,,,,2.443B,140.00M,4.617B,3.254B,1.191B,2.063B,,2.00M,2.063B,2.063B,451.00M,9.363B,0.625,0.0,,0.625,0.625,0.615,0.0,,0.615,0.615,3.307B,3.351B,0.25
2000-03,8.576B,8.576B,119.00M,2.534B,2.653B,,,,2.653B,569.00M,4.505B,3.533B,1.293B,2.24B,,1.00M,2.24B,2.24B,456.00M,9.095B,0.67,0.0,,0.67,0.67,0.665,0.0,,0.665,0.665,3.339B,3.367B,0.25
1999-12,8.085B,8.085B,98.00M,2.378B,2.476B,,,-325.00M,2.151B,847.00M,4.475B,2.86B,958.00M,1.902B,,1.00M,1.902B,2.118B,467.00M,8.007B,0.555,0.0,,0.6185,0.555,0.555,0.0,,0.6182,0.555,3.402B,3.422B,0.25
1999-09,8.322B,8.322B,145.00M,2.336B,2.481B,,,,2.481B,44.00M,4.55B,3.346B,1.195B,2.151B,,2.00M,2.151B,2.151B,470.00M,8.09B,0.625,0.0,,0.625,0.625,0.615,0.0,,0.615,0.615,3.445B,3.510B,0.225
1999-06,8.186B,8.186B,147.00M,2.261B,2.408B,,,-200.00M,2.208B,52.00M,4.612B,3.019B,1.104B,1.915B,,1.00M,1.915B,2.042B,487.00M,7.613B,0.55,0.0,,0.5864,0.55,0.535,0.0,,0.5705,0.535,3.487B,3.574B,0.225
1999-03,7.953B,7.953B,147.00M,2.333B,2.48B,,,,2.48B,285.00M,4.60B,2.99B,1.076B,1.914B,,2.00M,1.914B,1.914B,493.00M,7.591B,0.55,0.0,,0.55,0.55,0.54,0.0,,0.54,0.54,3.475B,3.541B,0.225
1998-12,7.668B,7.668B,135.00M,2.301B,2.436B,,,-600.00M,1.836B,404.00M,4.609B,1.871B,709.00M,1.162B,,1.00M,1.162B,1.535B,497.00M,6.90B,0.335,0.0,,0.4422,0.335,0.33,0.0,,0.4358,0.33,3.476B,3.521B,0.225
1998-09,7.129B,7.129B,143.00M,2.246B,2.389B,,,-725.00M,1.664B,280.00M,4.444B,416.00M,42.00M,374.00M,,2.00M,374.00M,1.026B,502.00M,5.58B,0.105,0.0,,0.289,0.105,0.105,0.0,,0.289,0.105,3.543B,3.543B,0.19
1998-06,8.382B,8.382B,145.00M,2.425B,2.57B,,,430.00M,3.00B,120.00M,4.626B,3.55B,1.252B,2.298B,,11.00M,2.298B,2.020B,493.00M,8.561B,0.66,0.0,,0.5132,0.66,0.64,0.0,,0.496,0.64,1.896B,1.933B,0.19
