,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,TotalCurrentAssets,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,UnearnedIncome,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,DerivativeContractLiabilities,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2017-06,29.97B,168.86B,,168.86B,59.34B,,59.34B,484.59B,8.904B,68.97B,5.111B,74.08B,922.55B,10.88B,,911.67B,650.89B,1.770T,2.255T,150.92B,150.92B,,36.49B,36.49B,36.49B,383.83B,223.92B,,223.92B,1.263T,34.88B,,1.600T,1.984T,167.96B,109.63B,,25.22B,,,-6.605B,270.99B
2017-03,28.96B,179.99B,,179.99B,59.53B,,59.53B,490.34B,9.319B,68.97B,5.376B,74.34B,920.99B,11.11B,,909.88B,637.09B,1.746T,2.248T,142.05B,142.05B,,44.16B,44.16B,44.16B,372.31B,221.38B,,221.38B,1.272T,36.43B,,1.607T,1.980T,170.00B,105.47B,,25.22B,,,-7.316B,268.15B
2016-12,30.72B,157.60B,,157.60B,58.76B,,58.76B,457.09B,9.139B,68.97B,2.747B,71.72B,915.75B,11.24B,,904.51B,610.94B,1.720T,2.188T,147.37B,147.37B,,23.94B,23.94B,23.94B,341.60B,216.82B,,216.82B,1.261T,39.48B,,1.580T,1.922T,172.26B,101.22B,,25.22B,,,-7.288B,266.20B
2016-09,26.70B,151.94B,,151.94B,54.12B,,54.12B,472.76B,9.133B,69.74B,5.645B,75.39B,915.59B,11.69B,,903.90B,622.76B,1.723T,2.195T,141.63B,141.63B,,26.89B,26.89B,26.89B,346.72B,225.14B,,225.14B,1.233T,43.48B,,1.579T,1.925T,173.48B,98.30B,,25.22B,,,-1.701B,270.08B
2016-06,29.41B,178.76B,,178.76B,58.15B,,58.15B,505.92B,9.15B,69.74B,5.621B,75.36B,912.00B,11.84B,,900.16B,587.31B,1.681T,2.187T,140.88B,140.88B,,33.05B,33.05B,33.05B,351.99B,229.62B,,229.62B,1.216T,47.56B,,1.568T,1.920T,174.77B,93.62B,,25.22B,,,-1.328B,267.07B
2016-03,27.78B,185.50B,,185.50B,56.84B,,56.84B,515.72B,9.358B,69.76B,6.209B,75.97B,907.30B,12.07B,,895.24B,579.30B,1.670T,2.185T,137.70B,137.70B,,30.88B,30.88B,30.88B,357.55B,232.85B,,232.85B,1.217T,41.06B,,1.565T,1.923T,175.12B,90.27B,,24.34B,,,-2.61B,262.78B
2015-12,31.26B,167.10B,,167.10B,58.31B,,58.31B,467.88B,9.485B,69.76B,6.855B,76.62B,904.44B,12.23B,,892.20B,583.42B,1.676T,2.144T,146.29B,146.29B,,28.10B,28.10B,28.10B,348.68B,236.76B,,236.76B,1.197T,38.45B,,1.539T,1.888T,173.32B,88.22B,,22.27B,,,-5.358B,256.18B
2015-09,27.89B,176.91B,,176.91B,63.44B,,63.44B,502.26B,9.554B,69.76B,7.016B,76.78B,896.53B,12.66B,,883.87B,571.67B,1.651T,2.153T,143.93B,143.93B,,34.52B,34.52B,34.52B,377.69B,237.29B,,237.29B,1.162T,45.86B,,1.519T,1.897T,174.11B,85.48B,,22.27B,,,-3.694B,255.90B
2015-06,29.97B,171.51B,,171.51B,64.50B,,64.50B,486.90B,9.70B,69.78B,7.709B,77.48B,893.36B,13.07B,,880.30B,581.48B,1.662T,2.149T,135.30B,135.30B,,39.90B,39.90B,39.90B,388.22B,243.41B,,243.41B,1.150T,43.58B,,1.509T,1.897T,174.91B,81.94B,,22.27B,,,-5.19B,251.66B
2015-03,30.11B,169.96B,,169.96B,63.72B,,63.72B,501.72B,9.833B,69.78B,7.785B,77.56B,887.69B,13.68B,,874.01B,570.85B,1.642T,2.144T,138.28B,138.28B,,33.27B,33.27B,33.27B,375.31B,237.86B,,237.86B,1.153T,52.23B,,1.518T,1.893T,175.68B,77.47B,,22.27B,,,-2.967B,250.19B
2014-12,33.12B,146.10B,,146.10B,61.84B,,61.84B,452.45B,10.05B,69.78B,8.142B,77.92B,894.23B,14.42B,,879.81B,572.25B,1.652T,2.105T,145.44B,145.44B,,31.17B,31.17B,31.17B,377.89B,243.14B,,243.14B,1.119T,46.91B,,1.483T,1.861T,172.77B,75.02B,,19.31B,,,-4.32B,243.47B
2014-09,28.33B,136.52B,,136.52B,67.09B,,67.09B,476.01B,9.987B,69.78B,9.092B,78.88B,899.22B,15.11B,,884.12B,556.61B,1.648T,2.124T,150.53B,150.53B,,33.28B,33.28B,33.28B,401.73B,250.12B,,250.12B,1.112T,44.24B,,1.483T,1.885T,171.38B,72.81B,,17.91B,,,-5.515B,238.68B
2014-06,31.97B,161.54B,,161.54B,65.48B,,65.48B,504.36B,10.14B,69.81B,9.467B,79.28B,921.10B,15.81B,,905.29B,549.84B,1.666T,2.171T,151.06B,151.06B,,45.87B,45.87B,45.87B,414.76B,257.07B,,257.07B,1.134T,38.65B,,1.518T,1.933T,168.31B,73.81B,,14.85B,,,-4.711B,237.41B
2014-03,31.10B,164.44B,,164.44B,64.14B,,64.14B,489.17B,10.35B,69.84B,10.10B,79.94B,928.53B,16.62B,,911.92B,536.64B,1.661T,2.150T,149.02B,149.02B,,51.41B,51.41B,51.41B,403.54B,254.78B,,254.78B,1.134T,36.91B,,1.514T,1.918T,167.05B,71.88B,,13.35B,,,-7.037B,231.89B
2013-12,36.85B,142.86B,,142.86B,59.45B,,59.45B,440.13B,10.48B,69.84B,10.63B,80.47B,939.60B,17.43B,,922.17B,524.94B,1.662T,2.102T,135.66B,135.66B,,46.00B,46.00B,46.00B,379.77B,249.67B,,249.67B,1.119T,37.41B,,1.490T,1.870T,168.64B,72.50B,,13.35B,,,-8.457B,232.68B
2013-09,,135.68B,,135.68B,60.06B,,60.06B,460.92B,10.70B,69.89B,10.91B,80.80B,949.39B,19.43B,,929.96B,522.20B,1.666T,2.127T,134.60B,134.60B,,40.77B,40.77B,40.77B,401.64B,255.33B,,255.33B,1.110T,44.57B,,1.493T,1.894T,169.69B,69.42B,,13.32B,,,-6.823B,232.28B
2013-06,,111.74B,,111.74B,67.53B,,67.53B,460.21B,10.84B,69.93B,11.94B,81.87B,936.12B,21.24B,,914.88B,527.64B,1.663T,2.123T,139.03B,139.03B,,46.47B,46.47B,46.47B,418.11B,262.48B,,262.48B,1.081T,48.53B,,1.474T,1.892T,171.43B,67.31B,,14.24B,,,-7.709B,231.03B
2013-03,,113.72B,,113.72B,70.98B,,70.98B,457.57B,11.08B,69.93B,12.28B,82.20B,930.87B,22.44B,,908.43B,577.74B,1.717T,2.175T,134.03B,134.03B,,42.15B,42.15B,42.15B,424.33B,279.64B,,279.64B,1.095T,47.82B,,1.513T,1.938T,176.94B,63.84B,,18.78B,,,-3.488B,237.29B
2012-12,,129.45B,,129.45B,71.47B,,71.47B,474.33B,11.86B,69.98B,12.54B,82.51B,927.23B,24.18B,,903.05B,588.11B,1.736T,2.210T,148.58B,148.58B,,30.73B,30.73B,30.73B,472.57B,275.58B,,275.58B,1.105T,46.02B,,1.500T,1.973T,176.91B,62.84B,,18.77B,,,-2.797B,236.96B
2012-09,,122.36B,,122.36B,66.34B,,66.34B,480.60B,12.44B,69.98B,7.03B,77.01B,893.04B,26.23B,,866.80B,556.94B,1.669T,2.166T,144.98B,144.98B,,35.29B,35.29B,35.29B,454.17B,286.53B,,286.53B,1.063T,51.37B,,1.401T,1.928T,176.83B,62.58B,,18.77B,,,-811.00M,238.61B
2012-06,,146.07B,,146.07B,,,71.46B,503.58B,12.65B,69.98B,13.22B,83.19B,905.60B,30.29B,,875.32B,539.94B,1.657T,2.161T,133.90B,133.90B,39.02B,,39.02B,39.02B,458.83B,301.85B,,301.85B,1.035T,51.52B,,1.466T,1.925T,176.76B,62.71B,,18.76B,,,-3.50B,235.98B
2012-03,,149.27B,,149.27B,,,74.36B,508.46B,13.10B,69.98B,15.42B,85.40B,915.27B,32.21B,,883.06B,541.02B,1.673T,2.181T,135.40B,135.40B,39.25B,,39.25B,39.25B,433.14B,354.91B,,354.91B,1.041T,49.17B,,1.516T,1.949T,176.76B,60.73B,,18.79B,,,-4.996B,232.50B
2011-12,,146.11B,276.15B,422.26B,67.00B,,67.00B,773.46B,13.64B,69.97B,15.53B,85.50B,939.96B,33.78B,,906.18B,480.74B,1.632T,2.129T,123.05B,123.05B,35.70B,,35.70B,35.70B,373.61B,372.26B,,372.26B,1.033T,59.52B,,1.525T,1.899T,175.02B,60.52B,,18.40B,,,-5.437B,230.10B
2011-09,,101.20B,,101.20B,,,89.30B,519.54B,13.55B,70.83B,16.80B,87.63B,955.62B,35.08B,,920.53B,527.12B,1.700T,2.220T,139.74B,139.74B,33.87B,,33.87B,33.87B,421.73B,398.96B,,398.96B,1.041T,59.30B,,1.568T,1.989T,173.28B,59.04B,,19.48B,,,-2.071B,230.25B
2011-06,,139.82B,,139.82B,,,86.55B,528.15B,13.79B,71.07B,21.82B,92.89B,961.35B,37.31B,,924.04B,527.99B,1.733T,2.261T,154.52B,154.52B,50.63B,,50.63B,50.63B,444.67B,426.66B,,426.66B,1.038T,54.41B,,1.594T,2.039T,168.13B,53.25B,,16.56B,,,793.00M,222.18B
2011-03,,121.25B,,121.25B,,,97.32B,517.96B,14.15B,73.87B,25.12B,98.99B,957.43B,39.84B,,917.58B,539.54B,1.757T,2.275T,128.22B,128.22B,58.32B,,58.32B,58.32B,447.07B,434.44B,,434.44B,1.020T,53.50B,,1.597T,2.044T,167.94B,62.48B,,16.56B,,,463.00M,230.88B
2010-12,,134.86B,,134.86B,85.70B,,85.70B,503.18B,14.31B,73.86B,25.10B,98.96B,975.50B,41.88B,,933.61B,532.72B,1.762T,2.265T,144.58B,144.58B,59.96B,,59.96B,59.96B,449.90B,448.43B,,448.43B,1.010T,55.91B,,1.587T,2.037T,167.47B,60.85B,,16.56B,,,-66.00M,228.25B
2010-09,,150.06B,,150.06B,,,78.60B,585.16B,14.32B,75.60B,22.94B,98.54B,967.19B,43.58B,,923.60B,530.56B,1.754T,2.340T,139.90B,139.90B,,64.82B,64.82B,64.82B,501.32B,478.86B,,478.86B,977.32B,61.66B,,1.608T,2.109T,167.67B,62.52B,,18.10B,,,336.00M,230.50B
2010-06,,171.75B,,171.75B,,,86.47B,589.22B,14.54B,85.80B,25.84B,111.64B,994.22B,45.26B,,948.97B,512.58B,1.775T,2.364T,132.81B,132.81B,,73.36B,73.36B,73.36B,513.38B,490.08B,,490.08B,974.47B,62.79B,,1.617T,2.131T,167.17B,70.50B,,17.99B,,,-4.447B,233.17B
2010-03,,165.05B,,165.05B,,,83.64B,523.30B,15.15B,86.30B,30.69B,117.00B,1.011T,46.84B,,964.59B,522.38B,1.815T,2.339T,135.66B,135.66B,,85.41B,85.41B,85.41B,491.66B,511.65B,,511.65B,976.10B,46.93B,,1.617T,2.109T,167.01B,67.81B,,17.96B,,,-4.929B,229.82B
2009-12,,145.54B,,145.54B,82.00B,,82.00B,505.09B,15.50B,86.31B,31.80B,118.11B,944.00B,37.20B,,906.80B,493.65B,1.725T,2.230T,127.85B,127.85B,69.52B,,69.52B,69.52B,452.56B,438.52B,,438.52B,991.61B,50.66B,,1.546T,1.999T,165.94B,71.23B,,37.21B,,,-5.619B,231.44B
2009-09,,175.40B,,175.40B,,,,458.02B,15.37B,86.01B,30.56B,116.57B,954.39B,35.83B,,918.56B,461.58B,1.793T,2.251T,126.02B,126.02B,,62.28B,62.28B,62.28B,437.88B,456.29B,,456.29B,974.90B,52.62B,,1.555T,1.993T,187.66B,76.88B,,58.84B,,,-6.705B,257.68B
2009-06,,166.08B,,166.08B,,,,452.47B,15.67B,86.25B,32.10B,118.35B,993.24B,33.78B,,959.46B,466.71B,1.802T,2.254T,116.75B,116.75B,,96.24B,96.24B,96.24B,476.63B,447.19B,,447.19B,970.74B,51.30B,,1.523T,1.999T,187.38B,79.21B,,58.66B,,,-11.23B,255.15B
2009-03,,197.41B,,197.41B,,,,487.95B,15.55B,86.91B,28.13B,115.04B,1.017T,29.05B,,988.17B,465.77B,1.834T,2.322T,126.03B,126.03B,,185.82B,185.82B,185.82B,558.58B,440.75B,,440.75B,953.51B,76.58B,,1.524T,2.082T,174.14B,76.88B,,73.28B,,,-11.16B,239.55B
2008-12,,42.43B,,42.43B,37.61B,,37.61B,224.76B,13.16B,81.93B,21.59B,103.52B,962.90B,23.07B,,939.83B,411.90B,1.593T,1.818T,42.52B,42.52B,158.06B,,158.06B,158.06B,407.17B,268.29B,,268.29B,883.00B,30.71B,,1.234T,1.641T,114.47B,73.82B,,37.70B,,,-10.82B,177.05B
2008-09,,51.05B,,51.05B,,,,138.09B,13.00B,,,112.05B,970.09B,20.35B,,949.74B,433.54B,1.693T,1.831T,,,,145.81B,145.81B,145.81B,371.54B,257.71B,,257.71B,874.05B,,,1.132T,1.670T,89.51B,77.70B,,24.15B,54.00M,-6.222B,-6.168B,161.04B
2008-06,,46.78B,,46.78B,,,,153.85B,11.63B,,,9.603B,870.46B,17.13B,,853.33B,417.70B,1.563T,1.717T,,,,177.75B,177.75B,177.75B,415.88B,206.60B,,206.60B,784.76B,,,991.37B,1.554T,85.26B,79.92B,,24.15B,358.00M,-2.847B,-2.489B,162.69B
2008-03,,49.32B,,49.32B,,,,169.61B,11.30B,,,91.16B,873.87B,14.89B,,858.98B,388.69B,1.567T,1.737T,,,,190.86B,190.86B,190.86B,410.59B,202.80B,,202.80B,797.07B,,,999.87B,1.580T,78.39B,79.55B,,17.31B,316.00M,-1.947B,-1.631B,156.31B
2007-12,,54.30B,,54.30B,,,,183.86B,11.24B,,,91.17B,910.77B,11.59B,,899.18B,376.12B,1.532T,1.716T,,,,191.09B,191.09B,191.09B,412.52B,197.51B,,197.51B,805.18B,,,1.003T,1.569T,64.74B,81.39B,,4.409B,296.00M,377.00M,673.00M,146.80B
2007-09,,43.78B,,43.78B,,,,178.94B,9.762B,,,80.48B,793.54B,9.535B,,784.00B,356.66B,1.400T,1.579T,,,,201.16B,201.16B,201.16B,400.45B,185.48B,,185.48B,699.22B,,,884.71B,1.440T,63.68B,84.03B,,3.401B,303.00M,-9.497B,-9.194B,138.51B
2007-06,,48.65B,,48.65B,,,,180.31B,9.482B,,,78.07B,758.64B,9.06B,,749.58B,355.73B,1.354T,1.534T,,,,159.54B,159.54B,159.54B,380.61B,169.32B,,169.32B,699.41B,,,868.73B,1.399T,2.851B,83.22B,60.35B,2.851B,250.00M,-10.92B,-10.67B,135.75B
2007-03,,43.59B,,43.59B,,,,182.23B,9.271B,,,78.05B,723.63B,8.732B,,714.90B,356.10B,1.320T,1.502T,,,,234.13B,234.13B,234.13B,468.55B,152.56B,,152.56B,692.80B,,,845.36B,1.367T,2.851B,80.00B,60.54B,2.851B,135.00M,-8.662B,-8.527B,134.86B
2006-12,,50.38B,,50.38B,,,,185.86B,9.255B,,,75.08B,706.49B,9.016B,,697.47B,345.90B,1.274T,1.460T,,,,141.30B,141.30B,141.30B,358.83B,146.00B,,146.00B,693.50B,,,839.50B,1.324T,64.42B,79.02B,,2.851B,,,-8.177B,135.27B
2006-09,,44.24B,,44.24B,,,,178.84B,9.205B,,,78.67B,669.15B,8.872B,,660.28B,336.36B,1.270T,1.449T,,,,135.06B,135.06B,135.06B,393.15B,137.74B,,137.74B,665.90B,,,803.64B,1.316T,64.76B,76.27B,,826.00M,,,-7.429B,133.60B
2006-06,,49.20B,,49.20B,,,,185.84B,9.334B,,,79.66B,667.95B,9.08B,,658.87B,370.55B,1.259T,1.445T,,,,136.89B,136.89B,136.89B,395.99B,129.06B,,129.06B,676.86B,,,805.92B,1.317T,66.09B,73.39B,,271.00M,,,-11.64B,127.84B
2006-03,,43.73B,,43.73B,,,,180.81B,9.267B,,,80.02B,619.52B,9.067B,,610.46B,355.25B,1.194T,1.375T,,,,99.39B,99.39B,99.39B,336.31B,123.18B,,123.18B,682.45B,,,805.63B,1.246T,68.98B,70.20B,,271.00M,,,-9.754B,129.43B
2005-12,,49.80B,,49.80B,,,,199.58B,7.786B,,,51.35B,573.79B,8.045B,,565.75B,353.31B,1.092T,1.292T,,,,116.27B,116.27B,116.27B,356.92B,100.85B,,100.85B,634.67B,,,735.52B,1.190T,41.96B,67.55B,,271.00M,,,-7.983B,101.53B
2005-09,,44.01B,,44.01B,,,,179.42B,7.659B,,,48.65B,554.60B,8.326B,,546.28B,374.75B,1.073T,1.252T,,,,107.66B,107.66B,107.66B,324.71B,99.88B,,99.88B,626.48B,,,726.36B,1.151T,42.82B,65.44B,,271.00M,,,-7.00B,101.26B
2005-06,,43.62B,,43.62B,,,,192.90B,7.602B,,,51.22B,529.42B,8.319B,,521.10B,386.26B,1.053T,1.246T,,,,93.76B,93.76B,93.76B,301.47B,96.89B,,96.89B,635.42B,,,732.31B,1.146T,42.78B,63.33B,,271.00M,,,-5.566B,100.54B
2005-03,,39.92B,,39.92B,,,,179.32B,7.531B,,,49.06B,529.47B,8.313B,,521.15B,370.09B,1.033T,1.212T,,,,93.44B,93.44B,93.44B,281.09B,98.76B,,98.76B,629.99B,,,728.75B,1.114T,43.86B,60.84B,,271.00M,,,-6.184B,98.52B
2004-12,,41.30B,,41.30B,,,,132.66B,7.517B,,,49.15B,521.84B,8.626B,,513.21B,318.90B,977.80B,1.110T,,,,78.60B,78.60B,78.60B,198.34B,98.08B,,98.08B,618.57B,,,716.65B,1.011T,44.51B,58.01B,,271.00M,,,-2.868B,99.64B
2004-09,,40.27B,,40.27B,,,,144.84B,7.884B,,,48.44B,511.64B,8.723B,,502.92B,266.78B,944.15B,1.089T,,,,71.43B,71.43B,71.43B,214.43B,100.59B,,100.59B,591.26B,,,691.84B,990.98B,45.03B,55.98B,,271.00M,,,-2.996B,98.01B
2004-06,,42.21B,,42.21B,,,,123.64B,7.797B,,,48.59B,498.48B,8.767B,,489.71B,252.62B,913.56B,1.037T,,,,69.50B,69.50B,69.50B,188.76B,98.32B,,98.32B,575.41B,,,673.73B,941.38B,45.98B,54.04B,,322.00M,,,-4.20B,95.82B
2004-03,,30.86B,,30.86B,,,,103.91B,6.076B,,,12.32B,375.97B,6.08B,,369.89B,214.79B,712.10B,816.01B,,,,64.62B,64.62B,64.62B,180.06B,81.23B,,81.23B,435.59B,,,516.82B,767.24B,67.00M,51.82B,,53.00M,,,-3.114B,48.78B
2003-12,,35.14B,,35.14B,,,,111.63B,6.036B,,,12.36B,371.46B,6.163B,,365.30B,136.79B,624.82B,736.44B,,,,42.48B,42.48B,42.48B,120.52B,75.34B,,75.34B,414.11B,,,489.46B,688.46B,68.00M,50.21B,,54.00M,,,-2.301B,47.98B
2003-09,,29.02B,,29.02B,,,,96.75B,5.956B,,,12.42B,373.10B,6.716B,,366.38B,130.22B,640.34B,737.09B,,,,41.74B,41.74B,41.74B,121.51B,66.46B,,66.46B,408.51B,,,474.97B,686.64B,70.00M,52.32B,,55.00M,,,-1.945B,50.44B
2003-06,,32.01B,,32.01B,,,,96.32B,5.899B,,,12.44B,360.30B,6.841B,,353.46B,181.48B,672.86B,769.18B,,,,43.58B,43.58B,43.58B,148.40B,67.74B,,67.74B,421.94B,,,489.67B,718.16B,71.00M,51.37B,,56.00M,,,-429.00M,51.02B
2003-03,,30.59B,,30.59B,,,,80.40B,6.643B,,,12.46B,343.41B,6.853B,,336.56B,142.17B,599.36B,679.76B,,,,29.73B,29.73B,29.73B,102.70B,69.47B,,69.47B,395.18B,,,464.65B,629.71B,184.00M,49.98B,,57.00M,,,-110.00M,50.05B
2002-12,,31.79B,,31.79B,,,,76.66B,6.717B,,,12.48B,342.76B,6.358B,,336.40B,133.14B,584.29B,660.95B,,,,25.23B,25.23B,25.23B,90.31B,61.14B,,61.14B,386.46B,,6.031B,447.60B,604.60B,554.00M,48.52B,,58.00M,,,1.248B,50.32B
2002-09,,30.87B,,30.87B,,,,71.24B,6.758B,,,12.52B,341.09B,6.861B,,334.23B,146.49B,588.77B,660.01B,,,,34.42B,34.42B,34.42B,96.24B,65.98B,,65.98B,377.42B,,,443.40B,611.77B,734.00M,46.87B,,60.00M,,,635.00M,48.24B
2002-06,,27.62B,,27.62B,,,,63.06B,6.755B,,,12.13B,340.39B,6.873B,,333.52B,146.63B,575.38B,638.45B,,,,32.97B,32.97B,32.97B,89.65B,64.71B,,64.71B,360.77B,,,425.48B,590.68B,1.559B,45.55B,,60.00M,,,659.00M,47.76B
2002-03,,29.50B,,29.50B,,,,70.27B,6.748B,,,12.21B,331.21B,6.869B,,324.34B,133.91B,549.65B,619.92B,,,,21.99B,21.99B,21.99B,70.54B,65.57B,,65.57B,367.20B,,,432.77B,571.75B,4.011B,44.24B,,62.00M,,,-87.00M,48.17B
2001-12,,32.77B,,32.77B,2.80B,,2.80B,63.68B,6.414B,,,12.15B,329.15B,6.875B,,322.28B,132.84B,558.09B,621.76B,,,,22.22B,22.22B,22.22B,69.94B,68.03B,,68.03B,373.50B,,,441.52B,573.24B,5.141B,42.98B,,65.00M,,,399.00M,48.52B
2001-09,,27.91B,,27.91B,3.355B,,3.355B,57.71B,6.372B,,,12.36B,339.02B,6.665B,,332.35B,129.44B,582.39B,640.10B,,,,22.94B,22.94B,22.94B,82.78B,66.17B,,66.17B,359.87B,,,426.04B,589.95B,6.558B,41.86B,,67.00M,,,1.736B,50.15B
2001-06,,29.86B,,29.86B,3.593B,,3.593B,61.77B,6.371B,,,13.26B,380.42B,6.911B,,373.51B,105.32B,561.65B,625.52B,,,,35.50B,35.50B,35.50B,87.69B,68.20B,,68.20B,363.49B,,,431.68B,576.22B,7.697B,41.91B,,68.00M,,,-307.00M,49.30B
