,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2013-06,455.04M,1.195B,1.650B,365.22M,365.22M,76.14M,17.21M,149.29M,242.64M,,86.69M,2.344B,,,,,295.74M,,295.74M,,295.74M,315.22M,219.45M,534.67M,110.84M,941.25M,3.286B,56.37M,21.20M,77.57M,12.11M,89.68M,132.91M,,,132.91M,,132.91M,142.72M,142.72M,,83.12M,474.95M,1.135B,,1.135B,,,101.82M,32.02M,1.290B,1.765B,1.543M,3.723B,1.196B,3.347B,,-53.59M,1.520B
2013-03,472.05M,1.118B,1.590B,377.41M,377.41M,73.97M,17.44M,144.47M,235.88M,,84.53M,2.288B,,,,,282.72M,,282.72M,,282.72M,315.14M,214.99M,530.14M,106.78M,919.64M,3.207B,59.79M,27.82M,87.61M,12.66M,100.26M,133.23M,,,133.23M,,133.23M,145.34M,145.34M,,73.66M,476.87M,1.10B,,1.10B,,,101.72M,29.67M,1.254B,1.731B,1.541M,3.634B,1.173B,3.278B,,-54.67M,1.476B
2012-12,481.04M,1.058B,1.539B,404.56M,404.56M,73.28M,16.13M,140.15M,229.56M,,84.58M,2.258B,0.0,35.73M,196.55M,317.28M,,37.75M,587.32M,-314.04M,273.28M,316.83M,220.14M,536.98M,100.17M,910.42M,3.168B,54.72M,60.89M,115.61M,12.35M,127.96M,,132.78M,,132.78M,,132.78M,121.47M,121.47M,,90.12M,504.24M,1.045B,,1.045B,,,101.22M,25.55M,1.197B,1.701B,1.537M,3.513B,1.156B,3.176B,,-26.40M,1.467B
2012-09,356.29M,1.092B,1.448B,362.37M,362.37M,75.29M,19.12M,152.59M,246.99M,,79.69M,2.137B,,,,,,,,,261.12M,316.27M,212.87M,529.14M,69.39M,859.64M,2.997B,60.26M,20.71M,80.97M,12.88M,93.85M,447.70M,,,447.70M,,447.70M,128.07M,128.07M,,70.97M,767.56M,700.00M,,700.00M,70.34M,70.34M,96.20M,33.16M,899.70M,1.667B,1.535M,3.337B,1.136B,3.116B,,-29.49M,1.330B
2012-06,369.43M,1.023B,1.392B,355.14M,355.14M,72.41M,18.95M,145.41M,236.76M,,81.25M,2.065B,,,,,,,,,251.36M,306.77M,199.01M,505.78M,61.12M,818.26M,2.884B,62.79M,13.66M,76.45M,12.25M,88.70M,401.35M,,,401.35M,,401.35M,133.39M,133.39M,,71.75M,721.66M,700.00M,,700.00M,71.01M,71.01M,97.06M,31.14M,899.22M,1.621B,1.534M,3.238B,1.129B,3.052B,,-53.59M,1.263B
2012-03,427.19M,926.37M,1.354B,353.75M,353.75M,71.20M,21.93M,140.24M,233.36M,,82.82M,2.023B,,,,,,,,,238.96M,309.09M,205.36M,514.44M,62.54M,815.94M,2.839B,61.47M,20.05M,81.52M,12.81M,94.33M,323.62M,,,323.62M,,323.62M,136.08M,136.08M,,67.05M,648.28M,700.00M,,700.00M,72.03M,72.03M,102.13M,29.45M,903.60M,1.552B,1.534M,3.140B,1.117B,2.948B,,-22.94M,1.288B
2011-12,383.99M,897.36M,1.281B,367.08M,367.08M,71.99M,12.29M,128.58M,212.86M,,80.80M,1.942B,0.0,34.66M,174.58M,288.27M,,20.56M,518.08M,-280.99M,237.10M,297.07M,191.99M,489.06M,54.97M,781.13M,2.723B,55.32M,9.449M,64.77M,13.26M,78.02M,,290.83M,,290.83M,,290.83M,109.92M,109.92M,,73.14M,601.86M,700.00M,,700.00M,,,92.97M,29.21M,894.79M,1.497B,1.528M,3.051B,1.090B,2.880B,,-36.06M,1.227B
2011-09,423.93M,770.29M,1.194B,354.44M,354.44M,78.78M,21.50M,145.98M,246.26M,,68.44M,1.863B,,,,,,,,,221.06M,298.30M,196.30M,494.60M,60.60M,776.26M,2.640B,64.39M,25.96M,90.35M,12.50M,102.85M,271.58M,,,271.58M,,271.58M,129.65M,129.65M,,62.29M,605.58M,700.00M,,700.00M,77.54M,77.54M,71.95M,25.46M,874.95M,1.481B,1.524M,2.914B,1.051B,2.807B,,-0.783M,1.159B
2011-06,344.91M,776.76M,1.122B,365.33M,365.33M,76.52M,22.24M,144.43M,243.18M,,69.82M,1.800B,,,,,,,,,218.64M,294.02M,195.07M,489.09M,64.12M,771.85M,2.572B,67.97M,8.44M,76.41M,12.30M,88.71M,136.18M,,,136.18M,,136.18M,142.96M,142.96M,,67.12M,467.30M,700.00M,,700.00M,77.59M,77.59M,76.43M,25.00M,879.02M,1.346B,1.523M,2.813B,1.042B,2.663B,,32.50M,1.226B
2011-03,296.86M,742.19M,1.039B,349.40M,349.40M,72.08M,20.88M,130.93M,223.88M,,71.01M,1.683B,,,,,,,,,216.99M,293.52M,191.43M,484.95M,61.89M,763.83M,2.447B,67.40M,23.13M,90.54M,11.93M,102.47M,390.35M,,,390.35M,,390.35M,133.78M,133.78M,,60.96M,716.23M,400.00M,,400.00M,78.86M,78.86M,75.74M,25.54M,580.14M,1.296B,1.517M,2.713B,996.68M,2.583B,,22.28M,1.151B
2010-12,308.50M,637.92M,946.42M,358.24M,358.24M,63.48M,17.30M,123.52M,204.30M,,77.68M,1.587B,0.0,20.68M,163.75M,268.42M,,13.58M,466.42M,-251.36M,215.06M,291.66M,181.32M,472.97M,53.00M,741.03M,2.328B,64.41M,11.91M,76.32M,64.10M,140.42M,66.06M,,,66.06M,,66.06M,106.44M,106.44M,,72.93M,385.85M,700.00M,,700.00M,77.76M,77.76M,72.62M,22.64M,873.02M,1.259B,1.511M,2.618B,970.07M,2.509B,,-11.80M,1.069B
2010-06,310.88M,443.59M,754.47M,314.17M,314.17M,62.84M,18.39M,110.55M,191.78M,,51.43M,1.312B,,,,,,,,,210.65M,289.93M,172.20M,462.13M,51.76M,724.54M,2.036B,59.32M,26.09M,85.41M,41.64M,127.04M,56.86M,,,56.86M,,56.86M,118.79M,118.79M,,59.88M,362.57M,700.00M,,700.00M,74.04M,74.04M,67.19M,19.65M,860.88M,1.223B,1.496M,2.397B,843.44M,2.393B,,-36.14M,812.95M
2010-03,297.01M,395.17M,692.18M,313.95M,313.95M,64.70M,16.12M,108.40M,189.22M,,53.86M,1.249B,,,,,,,,,208.96M,291.73M,179.56M,471.29M,51.78M,732.02M,1.981B,57.82M,18.55M,76.37M,42.82M,119.20M,12.38M,,,12.38M,,12.38M,117.85M,117.85M,,55.77M,305.20M,700.00M,,700.00M,72.48M,72.48M,69.44M,21.07M,863.00M,1.168B,1.493M,2.312B,825.19M,2.318B,,-7.68M,813.04M
2009-12,341.11M,289.15M,630.26M,314.25M,314.25M,57.22M,15.42M,106.02M,178.67M,,49.21M,1.172B,0.0,20.69M,159.07M,245.78M,,12.35M,437.89M,-226.96M,210.93M,293.08M,182.16M,475.24M,49.39M,735.56M,1.908B,49.57M,13.27M,62.84M,47.16M,110.00M,131.77M,,,131.77M,,131.77M,94.68M,94.68M,,58.12M,394.57M,500.00M,,500.00M,72.60M,72.60M,69.04M,22.77M,664.41M,1.059B,1.488M,2.237B,808.34M,2.213B,,15.57M,848.95M
2009-09,390.42M,187.73M,578.15M,289.65M,289.65M,59.14M,20.92M,117.04M,197.09M,,56.96M,1.122B,,,,,,,,,209.17M,292.96M,181.93M,474.89M,79.66M,763.71M,1.886B,50.36M,28.54M,78.89M,45.14M,124.03M,144.65M,,,144.65M,,144.65M,107.49M,107.49M,,56.04M,432.21M,500.00M,,500.00M,80.22M,80.22M,75.00M,17.48M,672.69M,1.105B,1.485M,2.133B,786.27M,2.159B,,19.32M,780.66M
2009-06,358.44M,147.24M,505.68M,294.94M,294.94M,59.21M,15.75M,121.35M,196.32M,,61.32M,1.058B,,,,,,,,,203.29M,292.31M,177.41M,469.72M,71.35M,744.36M,1.803B,51.30M,11.20M,62.49M,39.67M,102.16M,130.76M,,,130.76M,,130.76M,112.94M,112.94M,,54.24M,400.10M,500.00M,,500.00M,78.74M,78.74M,74.42M,18.61M,671.77M,1.072B,1.484M,2.057B,774.38M,2.111B,,8.915M,730.75M
2009-03,388.15M,43.12M,431.27M,279.34M,279.34M,60.23M,14.08M,116.62M,190.93M,,61.44M,962.99M,,,,,,,,,183.82M,289.67M,171.71M,461.38M,66.35M,711.55M,1.675B,47.59M,5.529M,53.12M,40.29M,93.41M,88.06M,,,88.06M,,88.06M,113.58M,113.58M,,48.49M,343.54M,500.00M,,500.00M,77.11M,77.11M,73.52M,14.65M,665.29M,1.009B,1.483M,1.987B,764.06M,2.066B,,-20.94M,665.71M
2008-12,428.52M,0.00,428.52M,291.76M,291.76M,59.96M,12.90M,100.20M,173.05M,,62.97M,956.30M,0.0,9.735M,123.28M,222.36M,,16.69M,372.07M,-200.48M,171.59M,268.36M,149.65M,418.02M,76.99M,666.60M,1.623B,47.24M,0.00,47.24M,53.81M,101.05M,36.12M,,,36.12M,,36.12M,87.49M,87.49M,,64.84M,289.51M,500.00M,,500.00M,80.31M,80.31M,77.02M,15.06M,672.39M,961.89M,1.481M,1.913B,756.50M,2.002B,,-8.581M,661.00M
2008-09,892.60M,,892.60M,289.27M,289.27M,66.29M,17.27M,122.66M,206.23M,,45.94M,1.434B,,,,,,,353.08M,-186.51M,166.57M,272.08M,148.72M,420.79M,82.38M,669.74M,2.104B,55.01M,,55.01M,71.88M,126.89M,377.49M,,,377.49M,,377.49M,101.20M,101.20M,,60.62M,666.20M,650.00M,,650.00M,,,,142.50M,792.50M,1.459B,1.478M,1.814B,746.16M,1.975B,,58.75M,645.08M
2008-06,830.68M,,830.68M,304.79M,304.79M,62.94M,16.45M,127.48M,206.87M,,47.96M,1.390B,,,,,,,352.44M,-186.51M,165.93M,273.81M,153.89M,427.70M,80.42M,674.06M,2.064B,58.33M,,58.33M,58.34M,116.66M,334.02M,,,334.02M,,334.02M,109.86M,109.86M,,60.32M,620.87M,650.00M,,650.00M,,,,142.87M,792.87M,1.414B,1.476M,1.743B,729.83M,1.919B,,95.40M,650.62M
2008-03,700.56M,57.97M,758.53M,317.01M,317.01M,59.19M,18.69M,118.94M,196.83M,,49.33M,1.322B,,,,,,,350.38M,-186.51M,163.87M,274.31M,144.04M,418.35M,70.43M,652.65M,1.974B,57.96M,,57.96M,59.94M,117.90M,279.30M,,,279.30M,,279.30M,107.68M,107.68M,,58.80M,563.68M,650.00M,,650.00M,,,,143.70M,793.70M,1.357B,1.475M,1.659B,717.48M,1.841B,,79.67M,616.96M
2007-12,597.33M,95.68M,693.01M,317.79M,317.79M,51.43M,16.97M,107.49M,175.89M,,50.37M,1.237B,0.0,8.755M,118.52M,206.36M,,13.74M,347.37M,-186.51M,160.86M,272.63M,141.76M,414.38M,68.75M,643.99M,1.881B,47.45M,,47.45M,72.88M,120.34M,384.18M,,,384.18M,,384.18M,87.35M,87.35M,,66.58M,658.43M,500.00M,,500.00M,,,,136.54M,636.54M,1.295B,1.471M,1.591B,691.75M,1.764B,,66.23M,586.08M
