,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2005-04,6.187B,6.187B,2.052B,4.135B,1.19B,244.00M,1.434B,829.00M,54.00M,6.00M,-6.00M,0.00,142.00M,142.00M,2.317B,1.818B,142.00M,0.00,142.00M,8.00M,142.00M,1.968B,563.00M,1.405B,,1.405B,1.399B,2.214B,246.00M,1.968B,,0.22,,,0.2190,0.22,,0.21,,,0.2090,0.21,,6.435B,6.541B,,,AOR,Restated
2005-01,6.062B,6.062B,2.009B,4.053B,1.142B,228.00M,1.37B,813.00M,57.00M,10.00M,-10.00M,,127.00M,127.00M,2.24B,1.813B,127.00M,,127.00M,17.00M,127.00M,1.957B,557.00M,1.40B,,1.40B,1.379B,2.073B,260.00M,1.813B,,0.21,,,0.2067,0.21,,0.21,,,0.2068,0.21,,6.521B,6.652B,,,AOR,Restated
2004-10,5.971B,5.971B,1.956B,4.015B,1.12B,230.00M,1.35B,817.00M,60.00M,18.00M,-18.00M,,130.00M,130.00M,2.227B,1.788B,130.00M,,130.00M,40.00M,130.00M,1.958B,562.00M,1.396B,,1.396B,1.365B,2.039B,251.00M,1.788B,,0.21,,,0.2053,0.21,,0.21,,,0.2054,0.21,,6.635B,6.773B,,,AOR,Restated
2004-07,5.926B,5.926B,1.871B,4.055B,1.18B,214.00M,1.394B,800.00M,60.00M,0.00,0.00,,124.00M,124.00M,2.254B,1.801B,124.00M,,124.00M,11.00M,124.00M,1.936B,556.00M,1.38B,0.00,1.38B,1.376B,2.055B,254.00M,1.801B,,0.2042,,0.00,0.2036,0.20,,0.1983,,-0.0004,0.1977,0.19,,6.744B,6.943B,,,AOR,Restated
2004-04,5.62B,5.62B,1.753B,3.867B,1.153B,231.00M,1.384B,869.00M,60.00M,27.00M,-27.00M,,127.00M,127.00M,2.313B,1.554B,127.00M,,127.00M,40.00M,127.00M,1.721B,510.00M,1.211B,0.00,1.211B,1.191B,1.713B,159.00M,1.554B,,0.1777,,0.00,0.1748,0.18,,0.1712,,0.00,0.1684,0.17,,6.816B,7.074B,,,AOR,Restated
2004-01,5.398B,5.398B,1.70B,3.698B,1.11B,210.00M,1.32B,771.00M,60.00M,44.00M,-44.00M,,124.00M,124.00M,2.151B,1.547B,124.00M,,124.00M,136.00M,124.00M,1.807B,516.00M,1.291B,-567.00M,724.00M,1.204B,1.936B,389.00M,1.547B,,0.1878,,0.00,0.1751,0.11,,0.1816,,-0.0825,0.1693,0.10,,6.874B,7.11B,,,AOR,Restated
2003-10,5.101B,5.101B,1.595B,3.506B,1.087B,212.00M,1.299B,755.00M,62.00M,41.00M,-41.00M,,137.00M,137.00M,2.116B,1.39B,137.00M,,137.00M,1.00M,137.00M,1.528B,442.00M,1.086B,,1.086B,1.087B,1.787B,397.00M,1.39B,,0.16,,,0.1601,0.16,,0.15,,,0.1501,0.15,,6.932B,7.11B,,,AOR,Restated
2003-07,4.702B,4.702B,1.413B,3.289B,1.024B,190.00M,1.214B,761.00M,110.00M,87.00M,-87.00M,,146.00M,146.00M,2.085B,1.204B,146.00M,,146.00M,23.00M,146.00M,1.373B,391.00M,982.00M,0.00,982.00M,979.85M,1.501B,297.00M,1.204B,,0.1399,,0.00,0.1396,0.14,,0.1376,,0.00,0.1373,0.14,,7.001B,7.121B,,,AOR,Restated
2003-04,4.618B,4.618B,1.349B,3.269B,1.019B,184.00M,1.203B,728.00M,92.00M,35.00M,-35.00M,,161.00M,161.00M,2.023B,1.246B,161.00M,,161.00M,-26.00M,161.00M,1.381B,394.00M,987.00M,0.00,987.00M,997.01M,1.629B,383.00M,1.246B,,0.1398,,0.00,0.1412,0.14,,0.1379,,0.00,0.1393,0.14,,7.062B,7.158B,,,AOR,Restated
2003-01,4.713B,4.713B,1.396B,3.317B,975.00M,174.00M,1.149B,826.00M,78.00M,55.00M,-55.00M,,174.00M,174.00M,2.053B,1.264B,174.00M,,174.00M,-51.00M,174.00M,1.387B,396.00M,991.00M,0.00,991.00M,1.016B,1.637B,373.00M,1.264B,,0.1379,,0.00,0.1414,0.14,,0.1360,,0.00,0.1394,0.14,,7.187B,7.286B,,,AOR,Restated
2002-10,4.845B,4.845B,1.487B,3.358B,1.098B,154.00M,1.252B,824.00M,114.00M,104.00M,-104.00M,,179.00M,179.00M,2.19B,1.168B,179.00M,,179.00M,-475.00M,179.00M,872.00M,254.00M,618.00M,,618.00M,953.93M,1.578B,410.00M,1.168B,,0.09,,,0.1363,0.09,,0.08,,,0.1258,0.08,,7.249B,7.327B,,,AOR,Restated
2002-07,4.829B,4.829B,1.546B,3.283B,1.034B,155.00M,1.189B,859.00M,288.00M,,,,208.00M,208.00M,2.336B,947.00M,208.00M,,208.00M,-58.00M,208.00M,1.097B,325.00M,772.00M,,772.00M,772.00M,1.551B,604.00M,947.00M,,0.1093,,,0.1093,0.11,,0.1042,,,0.1042,0.10,,7.274B,7.369B,,,AOR,Restated
2002-04,4.822B,4.822B,1.754B,3.068B,1.063B,164.00M,1.227B,838.00M,129.00M,,,,220.00M,220.00M,2.194B,874.00M,220.00M,,220.00M,-70.00M,220.00M,1.024B,295.00M,729.00M,,729.00M,729.00M,1.292B,418.00M,874.00M,,0.10,,,0.10,0.10,,0.10,,,0.10,0.10,,7.306B,7.454B,,,AOR,Restated
2002-01,4.816B,4.816B,1.846B,2.97B,1.071B,148.00M,1.219B,862.00M,136.00M,,,,233.00M,233.00M,2.217B,753.00M,233.00M,,233.00M,-54.00M,233.00M,932.00M,272.00M,660.00M,,660.00M,660.00M,1.229B,476.00M,753.00M,,0.09,,,0.09,0.09,,0.09,,,0.09,0.09,,7.311B,7.496B,,,AOR,Restated
2001-10,4.448B,4.448B,1.756B,2.692B,1.096B,151.00M,1.247B,954.00M,146.00M,,,,234.00M,234.00M,2.347B,345.00M,234.00M,,234.00M,-922.00M,234.00M,-343.00M,-75.00M,-268.00M,,-268.00M,-268.00M,804.00M,459.00M,345.00M,,-0.04,,,-0.04,-0.04,,-0.04,,,-0.04,-0.04,,7.307B,7.307B,,,AOR,Restated
2001-07,4.298B,4.298B,1.862B,2.436B,1.149B,191.00M,1.34B,935.00M,298.00M,,0.00,,,36.00M,2.573B,-137.00M,,,36.00M,163.00M,36.00M,62.00M,55.00M,7.00M,,7.00M,7.00M,484.00M,621.00M,-137.00M,,0.00,,,0.00,0.00,,0.00,,,0.00,0.00,,7.274B,7.274B,,,AOR,Restated
2001-04,4.728B,4.728B,4.40B,328.00M,1.351B,195.00M,1.546B,1.137B,276.00M,,-1.17B,,,236.00M,2.959B,-2.631B,,,236.00M,-1.17B,236.00M,-3.565B,-872.00M,-2.693B,,-2.693B,-1.809B,-1.99B,641.00M,-2.631B,,-0.37,,,-0.2481,-0.37,,-0.37,,,-0.2481,-0.37,,7.251B,7.251B,,,AOR,Restated
2001-01,6.748B,6.748B,2.581B,4.167B,1.434B,196.00M,1.63B,1.249B,256.00M,,,,,275.00M,3.135B,1.032B,,,275.00M,,275.00M,1.307B,433.00M,874.00M,,874.00M,874.00M,1.572B,540.00M,1.032B,,0.12,,,0.12,0.12,,0.12,,,0.12,0.12,,7.144B,7.556B,,,AOR,Restated
2000-10,6.519B,6.519B,2.378B,4.141B,1.362B,196.00M,1.558B,1.456B,225.00M,,,,,420.00M,3.239B,902.00M,,,420.00M,,420.00M,1.322B,524.00M,798.00M,,798.00M,798.00M,1.336B,434.00M,902.00M,,0.11,,,0.11,0.11,,0.11,,,0.11,0.11,,7.093B,7.58B,,,AOR,Restated
2000-07,5.72B,5.72B,2.058B,3.662B,1.158B,218.00M,1.376B,1.295B,169.00M,,0.00,,,728.00M,2.84B,822.00M,,,728.00M,,728.00M,1.363B,567.00M,796.00M,,796.00M,796.00M,1.217B,395.00M,822.00M,,0.12,,,0.12,0.12,,0.11,,,0.11,0.11,,6.887B,7.528B,,,AOR,Restated
2000-04,4.933B,4.933B,1.761B,3.172B,1.037B,156.00M,1.193B,1.215B,51.00M,,0.00,,,158.00M,2.459B,713.00M,,,158.00M,156.00M,158.00M,1.027B,386.00M,641.00M,,641.00M,641.00M,873.00M,160.00M,713.00M,,0.09,,,0.09,0.09,,0.08,,,0.08,0.08,,7.036B,7.548B,,,AOR,Restated
2000-01,4.357B,4.357B,1.539B,2.818B,933.00M,147.00M,1.08B,645.00M,47.00M,,,,,120.00M,1.772B,1.046B,,,120.00M,31.00M,120.00M,1.197B,381.00M,816.00M,,816.00M,816.00M,1.21B,164.00M,1.046B,,0.12,,,0.12,0.12,,0.11,,,0.11,0.11,,6.911B,7.387B,,,AOR,Restated
1999-10,3.918B,3.918B,1.388B,2.53B,818.00M,112.00M,930.00M,922.00M,24.00M,,,,,102.00M,1.876B,654.00M,,,102.00M,0.00,102.00M,756.00M,341.00M,415.00M,,415.00M,415.00M,798.00M,144.00M,654.00M,,0.06,,,0.06,0.06,,0.06,,,0.06,0.06,,6.833B,7.288B,,,AOR,Restated
1999-07,3.559B,3.559B,1.262B,2.297B,713.00M,128.00M,841.00M,600.00M,19.00M,,,,,93.00M,1.46B,837.00M,,,93.00M,,93.00M,930.00M,334.00M,596.00M,,596.00M,596.00M,991.00M,154.00M,837.00M,,0.08,,,0.08,0.08,,0.08,,,0.08,0.08,,6.955B,7.383B,,,AOR,Restated
1999-04,3.171B,3.171B,1.112B,2.059B,656.00M,94.00M,750.00M,433.00M,19.00M,,,,,91.00M,1.202B,857.00M,,,91.00M,,91.00M,948.00M,312.00M,636.00M,,636.00M,636.00M,963.00M,106.00M,857.00M,,0.10,,,0.10,0.10,,0.09,,,0.09,0.09,,6.624B,7.054B,,,AOR,Restated
1999-01,2.845B,2.845B,988.00M,1.857B,576.00M,82.00M,658.00M,721.00M,12.00M,,,,,79.00M,1.391B,466.00M,,,79.00M,,79.00M,545.00M,263.00M,282.00M,,282.00M,282.00M,582.00M,116.00M,466.00M,,0.045,,,0.045,0.045,,0.04,,,0.04,0.04,,6.548B,6.972B,,,AOR,Restated
1998-10,2.597B,2.597B,897.00M,1.70B,518.00M,76.00M,594.00M,374.00M,11.00M,,,,,66.00M,979.00M,721.00M,,,66.00M,,66.00M,787.00M,275.00M,512.00M,,512.00M,512.00M,834.00M,113.00M,721.00M,,0.08,,,0.08,0.08,,0.075,,,0.075,0.075,,6.358B,6.702B,,,AOR,Restated
1998-07,2.42B,2.42B,825.00M,1.595B,470.00M,66.00M,536.00M,374.00M,,,,,,63.00M,933.00M,662.00M,,,63.00M,0.00,63.00M,725.00M,253.00M,472.00M,,472.00M,472.00M,762.00M,100.00M,662.00M,,0.07,,,0.07,0.07,,0.065,,,0.065,0.065,,6.936B,7.456B,,,AOR,Restated
1998-04,2.184B,2.184B,750.00M,1.434B,412.00M,67.00M,479.00M,682.00M,,,,,,52.00M,1.161B,273.00M,,,52.00M,,52.00M,325.00M,260.00M,65.00M,,65.00M,65.00M,364.00M,91.00M,273.00M,,0.01,,,0.01,0.01,,0.01,,,0.01,0.01,,6.164B,6.456B,,,AOR,Restated
1998-01,2.016B,2.016B,697.00M,1.319B,363.00M,58.00M,421.00M,239.00M,,,,,,44.00M,660.00M,659.00M,,,44.00M,,44.00M,703.00M,246.00M,457.00M,,457.00M,457.00M,730.00M,71.00M,659.00M,,0.075,,,0.075,0.075,,0.0725,,,0.0725,0.0725,,6.092B,6.376B,,,AOR,Restated
1997-10,1.869B,1.869B,652.00M,1.217B,334.00M,56.00M,390.00M,351.00M,,,,,,37.00M,741.00M,476.00M,,,37.00M,5.00M,37.00M,518.00M,181.00M,337.00M,,337.00M,333.75M,543.00M,67.00M,476.00M,,0.055,,,0.0545,0.055,,0.0525,,,0.0520,0.0525,,6.056B,6.34B,,,AOR,Restated
1997-07,1.777B,1.777B,617.66M,1.159B,317.21M,57.76M,374.97M,496.13M,,,,,,32.36M,871.10M,288.16M,,,32.36M,17.30M,32.36M,337.83M,184.55M,153.28M,,153.28M,142.90M,351.12M,62.96M,288.16M,,0.0233,,,0.0216,0.0233,,0.0233,,,0.0217,0.0233,,6.144B,6.467B,,,AOR,Restated
1997-04,1.648B,1.648B,571.34M,1.077B,299.34M,54.35M,353.69M,183.71M,,,,,,29.09M,537.40M,539.13M,,,29.09M,32.29M,29.09M,600.51M,222.19M,378.32M,,378.32M,357.98M,591.63M,52.50M,539.13M,,0.0633,,,0.0599,0.0633,,0.0617,,,0.0584,0.0617,,5.976B,6.196B,,,AOR,Restated
1997-01,1.592B,1.592B,552.52M,1.040B,288.34M,52.11M,340.45M,210.86M,,,,,,27.06M,551.31M,488.55M,,,27.06M,47.30M,27.06M,562.91M,224.46M,338.46M,,338.46M,310.02M,543.35M,54.80M,488.55M,,0.0567,,,0.0519,0.0567,,0.055,,,0.0504,0.055,,5.929B,6.213B,,,AOR,Restated
1996-10,1.435B,1.435B,501.48M,933.35M,259.11M,41.78M,300.89M,319.30M,,,,,,21.48M,620.19M,313.16M,,,21.48M,55.11M,21.48M,389.75M,208.80M,180.94M,,180.94M,147.88M,356.90M,43.74M,313.16M,,0.0289,,,0.0235,0.0289,,0.0289,,,0.0235,0.0289,,6.146B,6.146B,,,AOR,Restated
1996-07,1.292B,1.292B,452.65M,839.50M,229.55M,61.89M,291.44M,124.18M,,,,,,18.84M,415.63M,423.87M,,,18.84M,,18.84M,442.72M,166.16M,276.55M,,276.55M,276.55M,482.88M,59.00M,423.87M,,0.0533,,,0.0533,0.0533,,0.0474,,,0.0474,0.0474,,5.055B,5.838B,,,AOR,Restated
1996-04,1.087B,1.087B,377.15M,709.90M,187.95M,38.15M,226.10M,107.23M,,,,,,16.67M,333.33M,376.57M,,,16.67M,,16.67M,393.24M,147.60M,245.65M,,245.65M,245.65M,397.36M,20.79M,376.57M,,0.0411,,,0.0411,0.0411,,0.0411,,,0.0411,0.0411,,6.030B,6.030B,,,AOR,Restated
1996-01,918.51M,918.51M,312.32M,606.20M,163.53M,31.46M,194.99M,89.70M,,,,,,15.65M,284.68M,321.51M,,,15.65M,,15.65M,337.16M,127.42M,209.74M,,209.74M,209.74M,347.48M,25.97M,321.51M,,0.0344,,,0.0344,0.0344,,0.0344,,,0.0344,0.0344,,5.996B,5.996B,,,AOR,Restated
1995-10,798.29M,798.29M,267.74M,530.55M,145.25M,28.27M,173.52M,78.18M,,,,,,12.86M,251.70M,278.85M,,,12.86M,,12.86M,291.71M,110.32M,181.39M,,181.39M,181.39M,305.68M,26.82M,278.85M,,0.0311,,,0.0311,0.0311,,0.0311,,,0.0311,0.0311,,5.870B,5.870B,,,AOR,Restated
1995-07,874.92M,874.92M,301.16M,573.76M,164.34M,33.66M,198.00M,98.66M,,,,,,13.64M,296.66M,277.10M,,,13.64M,,13.64M,290.74M,111.54M,179.20M,,179.20M,179.20M,309.93M,32.83M,277.10M,,0.0366,,,0.0366,0.0366,,0.0366,,,0.0366,0.0366,,4.896B,4.896B,,,AOR,Restated
1995-04,509.91M,509.91M,165.52M,344.39M,88.87M,20.65M,109.52M,43.99M,,,,,,10.78M,153.51M,190.88M,,,10.78M,,10.78M,201.66M,76.63M,125.03M,,125.03M,125.03M,207.28M,16.40M,190.88M,,0.0244,,,0.0244,0.0244,,0.0244,,,0.0244,0.0244,,5.020B,5.020B,,,AOR,Restated
1995-01,454.90M,454.90M,148.20M,306.69M,78.45M,16.04M,94.50M,133.88M,,,,,,7.95M,228.38M,78.32M,,,7.95M,,7.95M,86.27M,32.78M,53.48M,,53.48M,53.48M,92.62M,14.31M,78.32M,,0.0111,,,0.0111,0.0111,,0.0111,,,0.0111,0.0111,,5.015B,5.015B,,,AOR,Restated
1994-10,392.92M,392.92M,127.97M,264.96M,68.32M,14.92M,83.24M,30.05M,,,,,,7.636M,113.28M,151.67M,,,7.636M,,7.636M,159.31M,60.54M,98.77M,,98.77M,98.77M,163.10M,11.42M,151.67M,,0.0206,,,0.0206,0.0206,,0.0206,,,0.0206,0.0206,,4.854B,4.854B,,,,Restated
1994-07,452.62M,452.62M,156.17M,296.45M,84.09M,17.82M,101.91M,43.76M,,,,,,7.164M,145.68M,150.77M,,,7.164M,,7.164M,157.94M,60.26M,97.68M,,97.68M,97.68M,166.78M,16.01M,150.77M,,0.0128,,,0.0128,0.0128,,0.0128,,,0.0128,0.0128,,7.164B,7.164B,,,,Restated
1994-04,331.19M,331.19M,109.14M,222.05M,55.36M,11.80M,67.15M,23.31M,,,,,,4.892M,90.46M,131.59M,,,4.892M,,4.892M,136.48M,52.14M,84.34M,,84.34M,84.34M,137.80M,6.208M,131.59M,,0.0178,,,0.0178,0.0178,,0.0178,,,0.0178,0.0178,,4.790B,4.790B,,,,Restated
1994-01,302.17M,302.17M,101.52M,200.64M,47.78M,11.89M,59.67M,21.05M,,,,,,5.435M,80.72M,119.92M,,,5.435M,,5.435M,125.36M,47.89M,77.47M,,77.47M,77.47M,127.50M,7.577M,119.92M,,0.0161,,,0.0161,0.0161,,0.0161,,,0.0161,0.0161,,4.771B,4.771B,,,,Restated
1993-10,248.50M,248.50M,77.30M,171.20M,,,66.80M,,,,4.80M,,,,73.30M,97.90M,,,,4.80M,,102.70M,39.20M,63.50M,,63.50M,60.53M,104.40M,6.50M,97.90M,,0.02,0.00,,0.0193,0.02,,0.02,0.00,,0.0193,0.02,,4.537B,4.537B,,,,
1993-07,205.24M,205.24M,78.03M,127.21M,,,11.18M,,,,,,,,45.14M,82.07M,,,,,,86.03M,32.27M,53.76M,,53.76M,53.76M,85.35M,3.283M,82.07M,,0.0072,,,0.0072,0.0072,,0.0072,,,0.0072,0.0072,,6.766B,6.766B,,,,Restated
1993-04,172.40M,172.40M,52.10M,120.30M,,,45.00M,,,,2.80M,,,,49.00M,71.30M,,,,2.80M,,74.10M,27.80M,46.30M,,46.30M,44.55M,75.30M,4.00M,71.30M,,0.01,0.00,,0.0096,0.01,,0.01,0.00,,0.0096,0.01,,4.63B,4.63B,,,,
1993-01,145.10M,145.10M,43.10M,102.00M,,,39.00M,,,,2.20M,,,,42.30M,59.70M,,,,2.20M,,61.90M,23.20M,38.70M,,38.70M,37.32M,63.00M,3.30M,59.70M,,0.01,0.00,,0.0096,0.01,,0.01,0.00,,0.0096,0.01,,3.87B,3.87B,,,,
1992-10,126.40M,126.40M,37.50M,88.90M,,,35.50M,,,,2.70M,,,,38.50M,50.40M,,,,2.70M,,53.10M,19.90M,33.20M,,33.20M,31.51M,53.40M,3.00M,50.40M,,0.01,0.00,,0.0095,0.01,,0.01,0.00,,0.0095,0.01,,3.32B,3.32B,,,,
1992-07,110.70M,110.70M,33.60M,77.10M,,,33.50M,,,,2.30M,,,,35.40M,41.70M,,,,2.30M,,44.00M,16.70M,27.30M,,27.30M,25.87M,43.60M,1.90M,41.70M,,0.0063,,,0.0060,0.0063,,0.0063,,,0.0060,0.0063,,4.324B,4.324B,,,,
1992-04,91.40M,91.40M,27.10M,64.30M,,,26.20M,,,,1.60M,,,,28.40M,35.90M,,,,1.60M,,37.40M,14.20M,23.20M,,23.20M,22.21M,38.10M,2.20M,35.90M,,0.01,0.00,,0.0097,0.01,,0.01,0.00,,0.0097,0.01,,3.39B,3.39B,,,,
1992-01,74.00M,74.00M,22.80M,51.20M,,,21.00M,,,,1.30M,,,,22.70M,28.50M,,,,1.30M,,29.70M,11.30M,18.40M,,18.40M,17.59M,30.20M,1.70M,28.50M,,0.01,0.00,,0.0098,0.01,,0.01,0.00,,0.0098,0.01,,4.185B,4.185B,,,,
1991-10,63.60M,63.60M,21.00M,42.60M,,,18.30M,,,,1.50M,,,,19.20M,23.40M,,,,1.50M,,25.00M,9.50M,15.50M,,15.50M,14.57M,24.30M,0.90M,23.40M,,0.01,0.00,,0.0098,0.01,,0.01,0.00,,0.0098,0.01,,4.185B,4.185B,,,,
1991-07,56.80M,56.80M,18.30M,38.50M,,,17.20M,,,,1.50M,,,,18.60M,19.90M,,,,1.50M,,21.30M,8.10M,13.20M,,13.20M,12.27M,21.30M,1.40M,19.90M,,0.0032,,,0.0030,0.0032,,0.0032,,,0.0030,0.0032,,4.103B,4.103B,,,,
1991-04,49.70M,49.70M,16.60M,33.10M,,,14.60M,,,,0.90M,,,,15.30M,17.80M,,,,0.90M,,18.70M,7.10M,11.60M,,11.60M,11.04M,18.50M,0.70M,17.80M,,0.01,0.00,,0.0099,0.01,,0.01,0.00,,0.0099,0.01,,3.968B,3.968B,,,,
1991-01,43.90M,43.90M,14.10M,29.80M,,,13.00M,,,,1.10M,,,,13.60M,16.20M,,,,1.10M,,17.30M,6.90M,10.40M,,10.40M,9.739M,16.80M,0.60M,16.20M,,0.01,0.00,,0.0098,0.01,,0.01,0.00,,0.0098,0.01,,3.540B,3.540B,,,,
1990-10,32.80M,32.80M,10.50M,22.30M,,,9.70M,,,,1.10M,,,,10.00M,12.30M,,,,1.10M,,13.30M,5.40M,7.90M,,7.90M,7.24M,12.60M,0.30M,12.30M,,0.01,0.00,,0.0098,0.01,,0.01,0.00,,0.0098,0.01,,3.540B,3.540B,,,,
1990-07,21.80M,21.80M,6.60M,15.20M,,,7.60M,,,,1.20M,,,,8.20M,7.00M,,,,1.20M,,8.10M,3.50M,4.60M,,4.60M,3.88M,7.60M,0.60M,7.00M,,0.0012,,,0.0010,0.0012,,0.0012,,,0.0010,0.0012,,3.851B,3.851B,,,,
1990-04,17.90M,17.90M,5.90M,12.00M,,,6.40M,,,,0.80M,,,,6.60M,5.40M,,,,0.80M,,6.30M,2.50M,3.80M,,3.80M,3.317M,5.60M,0.20M,5.40M,,0.01,0.00,,0.0099,0.01,,0.01,0.00,,0.0099,0.01,,3.851B,3.851B,,,,
1990-01,16.10M,16.10M,5.40M,10.70M,,,5.70M,,,,,,,,5.80M,4.90M,,,,,,4.90M,2.00M,2.90M,,2.90M,2.90M,5.00M,0.10M,4.90M,,0.01,0.00,,0.01,0.01,,0.01,0.00,,0.01,0.01,,3.851B,3.851B,,,,
1989-10,14.10M,14.10M,5.10M,9.00M,,,4.80M,,,,0.10M,,,,4.90M,4.10M,,,,0.10M,,4.20M,1.70M,2.50M,,2.50M,2.44M,4.20M,0.10M,4.10M,,0.01,0.00,,0.0100,0.01,,0.01,0.00,,0.0100,0.01,,3.851B,3.851B,,,,
1989-07,10.30M,10.30M,,,,,,,,,,,,,,-10.50M,,,,,,,,1.60M,,1.60M,,-10.50M,,-10.50M,,,,,,,,,,,,,,3.851B,3.851B,,,,
1989-04,7.70M,7.70M,,,,,,,,,,,,,,7.70M,,,,,,,,1.10M,,1.10M,,7.70M,,7.70M,,0.01,0.00,,0.01,0.01,,0.01,0.00,,0.01,0.01,,,,,,,
1989-01,5.60M,5.60M,,,,,,,,,,,,,,5.60M,,,,,,,,0.80M,,0.80M,,5.60M,,5.60M,,0.01,0.00,,0.01,0.01,,0.01,0.00,,0.01,0.01,,,,,,,
1988-10,4.10M,4.10M,,,,,,,,,,,,,,4.10M,,,,,,,,0.60M,,0.60M,,4.10M,,4.10M,,0.01,0.00,,0.01,0.01,,0.01,0.00,,0.01,0.01,,,,,,,
1988-07,1.40M,1.40M,,,,,,,,,,,,,,-3.60M,,,,,,,,0.10M,,0.10M,,-3.60M,,-3.60M,,,,,,,,,,,,,,,,,,,
1988-04,1.40M,1.40M,,,,,,,,,,,,,,1.40M,,,,,,,,0.10M,,0.10M,,1.40M,,1.40M,,0.01,0.00,,0.01,0.01,,0.01,0.00,,0.01,0.01,,,,,,,
1988-01,1.40M,1.40M,,,,,,,,,,,,,,1.40M,,,,,,,,0.10M,,0.10M,,1.40M,,1.40M,,0.01,0.00,,0.01,0.01,,0.01,0.00,,0.01,0.01,,,,,,,
1987-10,1.30M,1.30M,,,,,,,,,,,,,,1.30M,,,,,,,,0.10M,,0.10M,,1.30M,,1.30M,,0.01,0.00,,0.01,0.01,,0.01,0.00,,0.01,0.01,,,,,,,
