,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2018-04,2.691B,15.00M,15.00M,564.00M,564.00M,-8.00M,399.00M,,399.00M,-181.00M,-13.00M,,-965.00M,-120.00M,-325.00M,420.00M,-1.184B,2.416B,,-241.00M,3.00M,-238.00M,-2.033B,8.027B,1.00M,5.757B,,-3.645B,-7.597B,-11.24B,16.00M,-6.213B,-6.197B,-1.572B,-1.572B,-70.00M,-19.08B,,17.68B,-10.91B,6.771B,,16.00M,0.00,-3.645B,-6.213B,4.643B,1.193B,,AOR,Restated
2018-01,-8.778B,-118.00M,-118.00M,546.00M,546.00M,843.00M,393.00M,,393.00M,456.00M,-196.00M,,10.56B,-23.00M,225.00M,186.00M,11.21B,4.07B,,-211.00M,50.00M,-161.00M,-28.00M,4.186B,-7.00M,3.99B,,-4.087B,7.593B,3.506B,293.00M,-3.862B,-3.569B,-1.425B,-1.425B,9.00M,-1.479B,,11.10B,6.581B,17.68B,,293.00M,1.395B,-5.482B,-3.862B,-2.121B,-737.00M,,AOR,Restated
2017-10,2.394B,-56.00M,-56.00M,566.00M,566.00M,178.00M,392.00M,,392.00M,624.00M,-80.00M,,-654.00M,8.00M,-137.00M,-138.00M,-377.00M,3.08B,,-168.00M,1.00M,-167.00M,-664.00M,-1.664B,-10.00M,-2.505B,,4.734B,-2.498B,2.236B,9.00M,-2.028B,-2.019B,-1.436B,-1.436B,-31.00M,-1.25B,,11.77B,-675.00M,11.10B,,9.00M,5.482B,-748.00M,-2.028B,810.00M,283.00M,,AOR,Restated
2017-07,2.424B,-2.00M,-2.00M,578.00M,578.00M,1.00M,402.00M,-28.00M,374.00M,-762.00M,-245.00M,,334.00M,-125.00M,317.00M,1.135B,654.00M,4.001B,,-208.00M,1.00M,-207.00M,-128.00M,1.026B,-39.00M,652.00M,,748.00M,497.00M,1.245B,290.00M,-1.291B,-1.001B,-1.448B,-1.448B,100.00M,-1.104B,,8.116B,3.549B,11.77B,,290.00M,748.00M,0.00,-1.291B,583.00M,170.00M,,AOR,Restated
2017-04,2.515B,77.00M,77.00M,560.00M,560.00M,-99.00M,400.00M,-24.00M,376.00M,-152.00M,-98.00M,,392.00M,-15.00M,-443.00M,244.00M,-72.00M,3.373B,,-230.00M,1.00M,-229.00M,-2.93B,1.424B,25.00M,-1.71B,,-4.15B,1.70B,-2.45B,32.00M,-590.00M,-558.00M,-1.451B,-1.451B,14.00M,-4.445B,,10.90B,-2.782B,8.116B,,32.00M,0.00,-4.15B,-590.00M,630.00M,308.00M,,AOR,Restated
2017-01,2.348B,47.00M,47.00M,549.00M,549.00M,-184.00M,352.00M,-10.00M,342.00M,483.00M,-95.00M,,148.00M,-36.00M,116.00M,65.00M,681.00M,3.772B,,-251.00M,3.00M,-248.00M,-20.00M,699.00M,-13.00M,418.00M,,0.00,300.00M,300.00M,298.00M,-999.00M,-701.00M,-1.304B,-1.304B,-170.00M,-1.875B,,8.583B,2.315B,10.90B,,298.00M,0.00,0.00,-999.00M,616.00M,171.00M,,AOR,Restated
2016-10,2.322B,32.00M,32.00M,599.00M,599.00M,158.00M,372.00M,-91.00M,281.00M,149.00M,44.00M,,-503.00M,191.00M,-687.00M,129.00M,-677.00M,2.73B,,-275.00M,2.00M,-273.00M,-265.00M,-4.881B,23.00M,-5.396B,,6.231B,0.00,6.231B,88.00M,-1.424B,-1.336B,-1.308B,-1.308B,31.00M,3.618B,,7.631B,952.00M,8.583B,,88.00M,6.232B,-1.00M,-1.424B,913.00M,248.00M,,AOR,Restated
2016-07,2.813B,-38.00M,-38.00M,604.00M,604.00M,-423.00M,357.00M,-26.00M,331.00M,-1.67B,126.00M,,472.00M,57.00M,99.00M,1.429B,513.00M,3.818B,,-266.00M,30.00M,-236.00M,-37.00M,-3.097B,4.00M,-3.366B,,0.00,0.00,0.00,356.00M,-843.00M,-487.00M,-1.309B,-1.309B,80.00M,-1.716B,,8.895B,-1.264B,7.631B,,356.00M,0.00,0.00,-843.00M,582.00M,168.00M,,AOR,Restated
2016-04,2.349B,-19.00M,-19.00M,541.00M,541.00M,-45.00M,395.00M,-21.00M,374.00M,299.00M,36.00M,,74.00M,87.00M,-542.00M,-32.00M,-78.00M,3.064B,,-304.00M,0.00,-304.00M,-2.069B,117.00M,-108.00M,-2.364B,,3.977B,0.00,3.977B,70.00M,-867.00M,-797.00M,-1.308B,-1.308B,9.00M,1.881B,,6.314B,2.581B,8.895B,,70.00M,6.978B,-3.001B,-867.00M,738.00M,265.00M,,AOR,Restated
2016-01,3.147B,-256.00M,-256.00M,498.00M,498.00M,81.00M,330.00M,-9.00M,321.00M,392.00M,23.00M,,-600.00M,-310.00M,428.00M,174.00M,107.00M,3.922B,,-314.00M,5.00M,-309.00M,-180.00M,-872.00M,-76.00M,-1.437B,,-10.00M,0.00,-10.00M,316.00M,-1.164B,-848.00M,-1.065B,-1.065B,-6.00M,-1.929B,,5.758B,556.00M,6.314B,,316.00M,0.00,-10.00M,-1.164B,527.00M,162.00M,,AOR,Restated
2015-10,2.43B,-4.00M,-4.00M,507.00M,507.00M,193.00M,376.00M,-73.00M,303.00M,425.00M,130.00M,,-311.00M,129.00M,-590.00M,-453.00M,-670.00M,2.766B,,-262.00M,6.00M,-256.00M,-668.00M,-15.00M,-11.00M,-950.00M,,-852.00M,-4.00M,-856.00M,385.00M,-1.592B,-1.207B,-1.068B,-1.068B,196.00M,-2.935B,,6.877B,-1.119B,5.758B,,385.00M,0.00,-852.00M,-1.592B,828.00M,264.00M,,AOR,Restated
2015-07,2.319B,-27.00M,-27.00M,643.00M,643.00M,-461.00M,396.00M,-26.00M,370.00M,-1.18B,119.00M,,550.00M,-21.00M,385.00M,1.389B,1.242B,4.138B,,-320.00M,14.00M,-306.00M,-141.00M,-3.35B,-63.00M,-3.86B,,4.98B,-500.00M,4.48B,432.00M,-1.086B,-654.00M,-1.069B,-1.069B,-28.00M,2.729B,,3.87B,3.007B,6.877B,,432.00M,4.981B,-1.00M,-1.086B,510.00M,114.00M,,AOR,Restated
2015-04,2.437B,-49.00M,-49.00M,570.00M,570.00M,53.00M,367.00M,-19.00M,348.00M,-442.00M,105.00M,,150.00M,-126.00M,-283.00M,257.00M,-339.00M,3.04B,,-357.00M,3.00M,-354.00M,-38.00M,-2.194B,-6.00M,-2.592B,,-1.00M,500.00M,499.00M,422.00M,-1.175B,-753.00M,-1.07B,-1.07B,-51.00M,-1.375B,,4.797B,-927.00M,3.87B,,422.00M,0.00,-1.00M,-1.175B,528.00M,263.00M,,AOR,Restated
2015-01,2.397B,-211.00M,-211.00M,630.00M,630.00M,149.00M,308.00M,-12.00M,296.00M,-146.00M,-233.00M,,-157.00M,-225.00M,-95.00M,459.00M,-397.00M,2.883B,,-265.00M,2.00M,-263.00M,111.00M,-496.00M,-111.00M,-759.00M,,-503.00M,0.00,-503.00M,809.00M,-1.135B,-326.00M,-974.00M,-974.00M,89.00M,-1.714B,,4.387B,410.00M,4.797B,,809.00M,,-503.00M,-1.135B,458.00M,120.00M,,AOR,Restated
2014-10,1.828B,29.00M,29.00M,599.00M,599.00M,236.00M,369.00M,-71.00M,298.00M,721.00M,-107.00M,,-403.00M,2.00M,68.00M,-823.00M,-542.00M,2.491B,,-285.00M,3.00M,-282.00M,-192.00M,-2.405B,2.00M,-2.877B,,-3.00M,-4.00M,-7.00M,353.00M,-1.43B,-1.077B,-973.00M,-973.00M,104.00M,-1.953B,,6.726B,-2.339B,4.387B,,353.00M,,-3.00M,-1.43B,694.00M,263.00M,,AOR,Restated
2014-07,2.247B,-71.00M,-71.00M,628.00M,628.00M,-497.00M,339.00M,-34.00M,305.00M,-1.175B,-59.00M,,526.00M,-154.00M,494.00M,1.337B,969.00M,3.612B,,-325.00M,64.00M,-261.00M,-180.00M,-1.118B,54.00M,-1.505B,,-22.00M,0.00,-22.00M,854.00M,-1.533B,-679.00M,-974.00M,-974.00M,53.00M,-1.622B,,6.241B,485.00M,6.726B,,854.00M,-20.00M,-2.00M,-1.533B,481.00M,121.00M,,AOR,Restated
2014-04,2.181B,-65.00M,-65.00M,608.00M,608.00M,-155.00M,353.00M,-11.00M,342.00M,17.00M,27.00M,,247.00M,1.00M,-286.00M,289.00M,295.00M,3.198B,,-373.00M,4.00M,-369.00M,-14.00M,-2.541B,-24.00M,-2.948B,,4.745B,-1.00B,3.745B,216.00M,-2.321B,-2.105B,-974.00M,-974.00M,-14.00M,652.00M,,5.339B,902.00M,6.241B,,216.00M,7.997B,-3.252B,-2.321B,528.00M,221.00M,,AOR,Restated
2014-01,1.429B,-55.00M,-55.00M,612.00M,612.00M,-156.00M,347.00M,-18.00M,329.00M,1.055B,-99.00M,,-187.00M,151.00M,3.00M,-242.00M,681.00M,2.873B,,-262.00M,8.00M,-254.00M,-418.00M,1.239B,-2.00M,565.00M,,-22.00M,1.00B,978.00M,393.00M,-3.805B,-3.412B,-896.00M,-896.00M,-23.00M,-3.353B,,5.254B,85.00M,5.339B,,393.00M,0.00,-22.00M,-3.805B,537.00M,119.00M,,AOR,Restated
2013-10,1.996B,-108.00M,-108.00M,591.00M,591.00M,130.00M,309.00M,-55.00M,254.00M,324.00M,22.00M,,-418.00M,28.00M,574.00M,-767.00M,-237.00M,2.649B,,-315.00M,156.00M,-159.00M,-2.548B,-44.00M,-4.00M,-2.755B,,4.00M,-2.00M,2.00M,444.00M,-2.184B,-1.74B,-914.00M,-914.00M,87.00M,-2.565B,,7.925B,-2.671B,5.254B,,444.00M,4.00M,0.00,-2.184B,803.00M,221.00M,,AOR,Restated
2013-07,2.27B,-23.00M,-23.00M,609.00M,609.00M,-85.00M,240.00M,-44.00M,196.00M,-837.00M,-20.00M,,476.00M,5.00M,448.00M,949.00M,1.021B,3.986B,,-317.00M,84.00M,-233.00M,-381.00M,-444.00M,-57.00M,-1.115B,,8.00M,0.00,8.00M,2.145B,-1.30B,845.00M,-918.00M,-918.00M,-3.00M,-68.00M,,5.122B,2.803B,7.925B,,2.145B,24.00M,-16.00M,-1.30B,283.00M,120.00M,,AOR,Restated
2013-04,2.478B,-73.00M,-73.00M,619.00M,619.00M,-100.00M,272.00M,-16.00M,256.00M,-606.00M,44.00M,,910.00M,22.00M,-49.00M,-463.00M,-142.00M,3.094B,,-291.00M,23.00M,-268.00M,-318.00M,-2.865B,-6.00M,-3.457B,,0.00,-24.00M,-24.00M,541.00M,-946.00M,-405.00M,-905.00M,-905.00M,-28.00M,-1.362B,,6.847B,-1.725B,5.122B,,541.00M,0.00,0.00,-946.00M,-236.00M,221.00M,,AOR,Restated
2013-01,3.143B,-7.00M,-7.00M,617.00M,617.00M,13.00M,302.00M,-17.00M,285.00M,-786.00M,152.00M,,-1.07B,-162.00M,281.00M,900.00M,-685.00M,3.349B,,-287.00M,10.00M,-277.00M,-1.174B,787.00M,-2.00M,-666.00M,,0.00,-19.00M,-19.00M,535.00M,-471.00M,64.00M,-743.00M,-743.00M,89.00M,-609.00M,,4.773B,2.074B,6.847B,,535.00M,0.00,0.00,-471.00M,696.00M,120.00M,,AOR,Restated
2012-10,2.092B,12.00M,12.00M,615.00M,615.00M,135.00M,306.00M,-15.00M,291.00M,505.00M,42.00M,,-391.00M,99.00M,-288.00M,-654.00M,-687.00M,2.465B,,-265.00M,24.00M,-241.00M,-4.909B,-1.378B,-2.00M,-6.53B,,0.00,23.00M,23.00M,117.00M,-386.00M,-269.00M,-744.00M,-744.00M,29.00M,-961.00M,,9.799B,-5.026B,4.773B,,117.00M,0.00,,-386.00M,776.00M,221.00M,,AOR,Restated
2012-07,1.917B,401.00M,401.00M,392.00M,392.00M,-389.00M,369.00M,-3.00M,366.00M,-472.00M,-174.00M,,226.00M,-179.00M,400.00M,595.00M,396.00M,3.088B,,-296.00M,,-246.00M,-93.00M,2.827B,-59.00M,2.429B,,,-52.00M,-52.00M,257.00M,-1.892B,-1.635B,-425.00M,-425.00M,-67.00M,-2.179B,,6.461B,3.338B,9.799B,,257.00M,,,-1.892B,590.00M,120.00M,,AOR,Restated
2012-04,2.165B,-27.00M,-27.00M,631.00M,631.00M,46.00M,337.00M,-25.00M,312.00M,-312.00M,81.00M,,117.00M,10.00M,-291.00M,235.00M,-160.00M,2.969B,,-281.00M,,-281.00M,-204.00M,-3.689B,15.00M,-4.159B,,,-522.00M,-522.00M,462.00M,-513.00M,-51.00M,-432.00M,-432.00M,95.00M,-910.00M,,8.561B,-2.10B,6.461B,,462.00M,,,-513.00M,564.00M,221.00M,,AOR,Restated
2012-01,2.182B,2.00M,2.00M,564.00M,564.00M,-80.00M,354.00M,-11.00M,343.00M,-180.00M,-26.00M,,70.00M,-131.00M,189.00M,112.00M,34.00M,3.101B,,-284.00M,,-284.00M,-83.00M,1.39B,83.00M,1.106B,,,17.00M,17.00M,450.00M,-474.00M,-24.00M,-322.00M,-322.00M,-64.00M,-393.00M,,4.747B,3.814B,8.561B,,450.00M,,,-474.00M,462.00M,120.00M,,AOR,Restated
2011-10,1.777B,-13.00M,-13.00M,621.00M,621.00M,109.00M,341.00M,-21.00M,320.00M,390.00M,-168.00M,,-2.00M,-374.00M,2.00M,-316.00M,-468.00M,2.333B,,-265.00M,,-265.00M,-133.00M,-2.87B,77.00M,-3.191B,,,0.00,0.00,203.00M,-1.881B,-1.678B,-322.00M,-322.00M,-57.00M,-2.057B,,7.662B,-2.915B,4.747B,,203.00M,,,-1.881B,398.00M,220.00M,,AOR,Restated
2011-07,1.232B,,-28.00M,673.00M,673.00M,-120.00M,383.00M,-6.00M,377.00M,-832.00M,-42.00M,,111.00M,85.00M,586.00M,692.00M,600.00M,2.824B,,-244.00M,,-244.00M,45.00M,-248.00M,-26.00M,-473.00M,,-113.00M,120.00M,7.00M,315.00M,-1.332B,-1.017B,-329.00M,-329.00M,15.00M,-1.324B,,6.635B,1.027B,7.662B,,315.00M,0.00,-113.00M,-1.332B,321.00M,119.00M,,AOR,Restated
2011-04,1.807B,,-31.00M,573.00M,573.00M,-101.00M,400.00M,-20.00M,380.00M,-59.00M,165.00M,,127.00M,60.00M,-95.00M,154.00M,352.00M,2.979B,,-278.00M,,-278.00M,-258.00M,-1.296B,20.00M,-1.812B,,1.109B,369.00M,1.478B,358.00M,-1.014B,-656.00M,-329.00M,-329.00M,51.00M,544.00M,,4.924B,1.711B,6.635B,,358.00M,4.109B,-3.00B,-1.014B,371.00M,270.00M,,AOR,Restated
2011-01,1.521B,,-46.00M,687.00M,687.00M,-274.00M,430.00M,-17.00M,413.00M,-855.00M,-77.00M,,-59.00M,160.00M,-46.00M,1.163B,286.00M,2.609B,,-326.00M,,-326.00M,-25.00M,-140.00M,9.00M,-482.00M,,,39.00M,39.00M,784.00M,-1.849B,-1.065B,0.00,0.00,27.00M,-999.00M,,3.796B,1.128B,4.924B,,784.00M,,,-1.849B,392.00M,118.00M,,AOR,Restated
2010-10,1.93B,,-108.00M,553.00M,553.00M,338.00M,407.00M,-28.00M,379.00M,428.00M,-193.00M,,-363.00M,-30.00M,-200.00M,-1.045B,-1.403B,1.667B,,-326.00M,,-326.00M,-69.00M,209.00M,19.00M,-167.00M,,,-16.00M,-16.00M,374.00M,-2.701B,-2.327B,0.00,0.00,58.00M,-2.285B,,4.581B,-785.00M,3.796B,,374.00M,,,-2.701B,565.00M,270.00M,,AOR,Restated
2010-07,1.935B,,-76.00M,615.00M,615.00M,-221.00M,391.00M,-34.00M,357.00M,-1.599B,-72.00M,,238.00M,446.00M,297.00M,1.218B,528.00M,3.232B,,-309.00M,,-309.00M,-408.00M,-29.00M,48.00M,-698.00M,,0.00,-21.00M,-21.00M,498.00M,-2.424B,-1.926B,0.00,0.00,33.00M,-1.914B,,3.961B,620.00M,4.581B,,498.00M,0.00,0.00,-2.424B,444.00M,117.00M,,AOR,Restated
2010-04,2.192B,,-63.00M,473.00M,473.00M,-139.00M,434.00M,-128.00M,306.00M,206.00M,-6.00M,,-34.00M,-342.00M,-642.00M,1.034B,216.00M,2.967B,,-291.00M,,-291.00M,-2.642B,-135.00M,20.00M,-3.048B,,0.00,62.00M,62.00M,1.344B,-2.196B,-852.00M,0.00,0.00,122.00M,-668.00M,,4.71B,-749.00M,3.961B,,1.344B,0.00,0.00,-2.196B,486.00M,270.00M,,AOR,Restated
2010-01,1.853B,,-37.00M,513.00M,513.00M,-210.00M,371.00M,-28.00M,343.00M,-1.069B,-72.00M,,229.00M,-16.00M,603.00M,317.00M,-8.00M,2.486B,,-248.00M,,-248.00M,-2.308B,-4.393B,17.00M,-6.932B,,4.944B,0.00,4.944B,802.00M,-1.375B,-573.00M,,,11.00M,4.382B,,4.774B,-64.00M,4.71B,,802.00M,4.944B,,-1.375B,489.00M,36.00M,,AOR,Restated
2009-10,1.787B,,-47.00M,429.00M,429.00M,93.00M,321.00M,-21.00M,300.00M,-62.00M,-8.00M,,-239.00M,-186.00M,-110.00M,-473.00M,-1.078B,1.488B,,-160.00M,,-160.00M,0.00,-1.136B,43.00M,-1.253B,,,0.00,0.00,634.00M,-1.869B,-1.235B,,,56.00M,-1.179B,,5.718B,-944.00M,4.774B,,634.00M,,,-1.869B,649.00M,269.00M,,AOR,Restated
2009-07,1.081B,,-33.00M,524.00M,524.00M,-408.00M,330.00M,3.00M,60.00M,-822.00M,-12.00M,,484.00M,-162.00M,304.00M,618.00M,410.00M,1.985B,,-211.00M,,-211.00M,-88.00M,-2.925B,15.00M,-3.209B,,0.00,0.00,0.00,377.00M,-804.00M,-427.00M,,,10.00M,-417.00M,,7.359B,-1.641B,5.718B,,377.00M,0.00,0.00,-804.00M,,,,AOR,Restated
2009-04,1.348B,,-10.00M,426.00M,426.00M,127.00M,299.00M,-4.00M,0.00,501.00M,86.00M,,-163.00M,-148.00M,-241.00M,-202.00M,-167.00M,1.996B,,-209.00M,,-209.00M,-11.00M,-866.00M,0.00,-1.086B,,3.491B,0.00,3.491B,45.00M,-1.204B,-1.159B,,,-58.00M,2.274B,,4.175B,3.184B,7.359B,,45.00M,3.991B,-500.00M,-1.204B,,,,AOR,Restated
2009-01,1.504B,,53.00M,425.00M,425.00M,-319.00M,298.00M,-4.00M,0.00,321.00M,105.00M,,357.00M,-65.00M,-49.00M,530.00M,1.199B,3.198B,,-224.00M,,-224.00M,-39.00M,-2.568B,6.00M,-2.825B,,0.00,,0.00,217.00M,-601.00M,-384.00M,,,-11.00M,-395.00M,,4.197B,-22.00M,4.175B,,217.00M,0.00,,-601.00M,,,,AOR,Restated
2008-10,2.201B,,70.00M,393.00M,393.00M,26.00M,304.00M,-17.00M,3.00M,388.00M,8.00M,,-118.00M,-405.00M,47.00M,-199.00M,-279.00M,2.718B,,-361.00M,,-361.00M,-288.00M,-2.13B,-60.00M,-2.839B,,,,,224.00M,-1.002B,-778.00M,,,-95.00M,-873.00M,,5.191B,-994.00M,4.197B,,224.00M,,,-1.002B,,,,AOR,Restated
2008-07,2.014B,6.00M,6.00M,430.00M,430.00M,104.00M,345.00M,-38.00M,-67.00M,222.00M,50.00M,,228.00M,-4.00M,335.00M,-96.00M,735.00M,3.529B,,-360.00M,,-360.00M,-13.00M,-3.115B,-23.00M,-3.511B,,0.00,,0.00,616.00M,-1.459B,-843.00M,,,-138.00M,-981.00M,,6.154B,-963.00M,5.191B,,616.00M,0.00,0.00,-1.459B,,,,AOR,Restated
2008-04,1.773B,-5.00M,-5.00M,436.00M,436.00M,-244.00M,268.00M,-37.00M,22.00M,-83.00M,-12.00M,,45.00M,-395.00M,124.00M,1.131B,810.00M,3.028B,,-317.00M,,-317.00M,0.00,-947.00M,117.00M,-1.147B,,0.00,,0.00,336.00M,-1.862B,-1.526B,,,597.00M,-929.00M,,5.202B,952.00M,6.154B,,336.00M,0.00,0.00,-1.862B,,,,AOR,Restated
2008-01,2.06B,-50.00M,-50.00M,457.00M,457.00M,-141.00M,273.00M,-86.00M,21.00M,-883.00M,59.00M,,-65.00M,-43.00M,67.00M,763.00M,-102.00M,2.443B,,-295.00M,,-295.00M,-340.00M,2.406B,-46.00M,1.725B,,,,,626.00M,-4.127B,-3.501B,,,122.00M,-3.379B,,4.413B,789.00M,5.202B,,626.00M,,,-4.127B,,,,AOR,Restated
