,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,RepurchaseofCapitalStock,,SECFilingLinks,AsOriginallyReported,Restated
2018-04,178.90M,,,-3.80M,-3.80M,,,83.20M,83.20M,5.60M,0.00,,11.60M,-14.60M,-132.70M,33.90M,-21.40M,-313.80M,,,47.40M,-125.70M,,2018-04,-76.70M,,-76.70M,-15.90M,,,,2018-04,-1.20M,235.00M,233.80M,,-75.10M,-75.10M,,,-5.90M,-5.90M,,166.00M,,2018-04,-52.30M,-7.10M,434.50M,,2018-04,,235.00M,-75.10M,,2018-04,AOR,Restated
2018-01,107.90M,,,-4.30M,22.10M,,,85.90M,85.90M,-157.20M,5.30M,,11.90M,-18.20M,185.10M,-63.90M,-11.30M,261.60M,,,9.60M,438.80M,,2018-01,-122.90M,,-119.50M,-9.70M,,0.00,,2018-01,-215.50M,-188.00M,-403.50M,,-58.90M,-58.90M,,,-0.10M,-0.10M,0.00,-443.90M,,2018-01,-134.30M,15.90M,493.90M,,2018-01,,513.20M,-58.90M,,2018-01,AOR,Restated
2017-10,238.70M,,,-3.70M,-3.70M,,,81.20M,81.20M,-19.30M,2.20M,,11.90M,-12.10M,-185.00M,20.80M,2.10M,-95.50M,,,-13.20M,28.10M,,2017-10,-79.20M,,-79.20M,-14.50M,,0.00,,2017-10,-1.30M,189.50M,188.20M,,-70.00M,-70.00M,,,-2.90M,-2.90M,-0.80M,118.70M,,2017-10,53.10M,-0.20M,612.30M,,2017-10,,188.40M,-70.00M,,2017-10,AOR,Restated
2017-07,119.40M,,,-1.70M,-1.70M,,,80.60M,80.60M,-13.90M,,,12.40M,-13.10M,59.20M,-193.00M,-16.10M,217.70M,,,-16.80M,234.70M,,2017-07,-87.60M,,-87.60M,-0.80M,,0.00,,2017-07,-1.30M,-24.50M,-25.80M,,-65.60M,-65.60M,,,-3.00M,-3.00M,0.00,-89.50M,,2017-07,56.80M,11.70M,559.40M,,2017-07,,-23.40M,-65.60M,,2017-07,AOR,Restated
2017-04,70.10M,,,-0.40M,-0.40M,,,77.20M,77.20M,-34.20M,,,8.70M,-3.10M,-67.70M,72.60M,-15.70M,-197.90M,,,33.00M,-57.40M,,2017-04,-68.40M,,-68.40M,-29.30M,,6.30M,,2017-04,-51.20M,23.40M,-27.80M,,-64.60M,-64.60M,,,-5.90M,-5.90M,1.70M,-94.30M,,2017-04,-243.10M,3.90M,490.90M,,2017-04,,23.40M,-64.60M,,2017-04,AOR,Restated
2017-01,100.50M,,,0.60M,43.30M,,,84.20M,84.20M,-9.30M,-73.80M,,9.30M,-146.20M,149.70M,-68.50M,7.50M,235.70M,,,-7.10M,325.30M,,2017-01,-83.60M,0.00,-83.60M,29.70M,,,,2017-01,-922.80M,820.70M,-102.10M,,-92.50M,-92.50M,,,0.00,0.00,0.40M,-193.40M,,2017-01,70.40M,-2.70M,730.10M,,2017-01,,0.00,-92.50M,,2017-01,AOR,Restated
2016-10,126.10M,,,-1.20M,-1.20M,,,84.40M,84.40M,14.40M,83.90M,,9.40M,126.70M,-220.90M,126.30M,12.50M,-52.90M,,,-7.00M,168.10M,,2016-10,-60.20M,0.00,-60.20M,-35.00M,,,,2016-10,569.40M,-619.80M,-50.40M,,-95.70M,-95.70M,,,-3.00M,-3.00M,1.20M,-145.90M,,2016-10,-73.00M,-6.30M,662.40M,,2016-10,,0.00,-95.70M,,2016-10,AOR,Restated
2016-07,90.50M,,,0.30M,16.10M,,,82.60M,82.60M,-4.30M,0.00,,9.20M,9.20M,85.00M,-145.70M,-3.40M,158.10M,,,11.80M,299.90M,,2016-07,-56.90M,16.70M,-40.20M,-12.10M,,,,2016-07,388.00M,-181.80M,206.20M,,-80.90M,-80.90M,,,-3.00M,-3.00M,,131.80M,,2016-07,379.40M,-2.80M,741.70M,,2016-07,,960.70M,-80.90M,,2016-07,AOR,Restated
2016-04,231.60M,,,0.20M,0.20M,,,70.60M,70.60M,0.50M,-153.10M,,10.30M,-142.80M,12.70M,90.10M,2.60M,-174.00M,,,17.80M,109.30M,,2016-04,-45.90M,,-45.90M,-172.30M,,,,2016-04,-2.00M,-36.80M,-38.80M,,-53.00M,-53.00M,,,-6.20M,-6.20M,,-97.20M,,2016-04,-206.10M,14.80M,365.10M,,2016-04,,,-53.00M,,2016-04,AOR,Restated
2016-01,134.20M,,,-1.60M,-21.80M,,,70.40M,70.40M,-2.30M,8.60M,,10.60M,0.00,165.50M,-2.10M,-21.00M,149.50M,,,25.40M,517.00M,,2016-01,-94.80M,0.00,-94.80M,-16.30M,,0.00,,2016-01,-2.20M,-151.20M,-153.40M,,-51.10M,-51.10M,,,0.00,0.00,-5.00M,-207.80M,,2016-01,198.10M,-11.60M,556.40M,,2016-01,,0.00,-51.10M,,2016-01,AOR,Restated
2015-10,221.90M,,,-6.40M,-6.40M,,,63.00M,63.00M,-5.60M,1.20M,,11.00M,-23.50M,-238.30M,70.50M,16.10M,-45.90M,,,-20.90M,65.10M,,2015-10,-68.10M,0.00,-68.10M,-15.10M,,0.00,,2015-10,-1.80M,-15.30M,-17.10M,,-60.50M,-60.50M,,,-3.10M,-3.10M,1.60M,-78.70M,,2015-10,-96.80M,0.00,369.90M,,2015-10,,0.00,-60.50M,,2015-10,AOR,Restated
2015-07,102.20M,,,-2.50M,-2.50M,,,63.00M,63.00M,-0.20M,1.60M,,11.90M,13.50M,134.80M,-248.00M,13.50M,149.80M,,,36.50M,262.60M,,2015-07,-52.40M,0.00,-52.40M,-12.20M,,0.00,,2015-07,-1.90M,-118.40M,-120.30M,,-17.70M,-17.70M,,,-3.20M,-3.20M,1.40M,-137.90M,,2015-07,60.10M,-12.70M,466.70M,,2015-07,,-2.10M,-17.70M,,2015-07,AOR,Restated
2015-04,114.10M,,,-6.10M,-6.10M,,,61.00M,61.00M,-0.60M,0.00,,8.50M,8.50M,-28.80M,83.40M,-29.90M,-194.80M,,,53.60M,60.40M,,2015-04,-48.50M,,-48.50M,-34.30M,,20.20M,,2015-04,-1.90M,-47.70M,-49.60M,,-9.10M,-9.10M,,,-6.20M,-6.20M,2.00M,-59.50M,,2015-04,-61.70M,1.70M,419.30M,,2015-04,,2.10M,-9.10M,,2015-04,AOR,Restated
2015-01,51.50M,0.00,,-0.70M,138.20M,,,63.30M,63.30M,2.70M,24.90M,,11.40M,0.00,151.40M,-76.10M,32.50M,135.80M,,,-70.40M,465.20M,,2015-01,-82.30M,,-82.30M,-15.00M,,-20.20M,,2015-01,-2.10M,-212.20M,-214.30M,,-0.60M,-0.60M,,,0.00,0.00,1.70M,-209.70M,,2015-01,138.00M,-23.80M,479.30M,,2015-01,,-31.60M,-0.60M,,2015-01,AOR,Restated
2014-10,225.70M,0.00,,-5.30M,-5.30M,,,60.30M,60.30M,-2.90M,2.50M,,12.90M,-29.40M,-167.30M,93.10M,2.10M,-81.20M,,,16.50M,153.70M,,2014-10,-70.80M,,-70.80M,-18.80M,,0.00,,2014-10,-2.10M,-153.60M,-155.70M,,-0.20M,-0.20M,,,-3.10M,-3.10M,4.70M,-151.50M,,2014-10,-87.40M,-8.60M,365.10M,,2014-10,,-128.70M,-0.20M,,2014-10,AOR,Restated
2014-07,126.50M,0.00,,-0.40M,-0.40M,,,60.40M,60.40M,-18.80M,2.30M,,12.70M,15.00M,78.90M,-200.80M,-14.10M,134.60M,,,40.30M,221.60M,,2014-07,-52.00M,,-52.00M,-12.40M,,0.00,,2014-07,-2.30M,-199.40M,-201.70M,,-2.40M,-2.40M,,,-6.30M,-6.30M,1.50M,-206.10M,,2014-07,-48.90M,-3.00M,461.10M,,2014-07,,20.40M,-2.40M,,2014-07,AOR,Restated
2014-04,35.20M,-8.00M,,-3.50M,81.60M,,,60.70M,60.70M,-12.00M,,,11.70M,11.70M,-80.40M,112.10M,-33.10M,-230.90M,,,3.70M,-51.40M,,2014-04,-50.70M,,-50.70M,-45.20M,,9.70M,,2014-04,-669.80M,726.60M,56.80M,,-7.90M,-7.90M,,,-3.10M,-3.10M,3.10M,52.80M,,2014-04,-84.80M,4.60M,513.00M,,2014-04,,726.60M,-7.90M,,2014-04,AOR,Restated
2014-01,-37.60M,,,0.00,-52.50M,,,70.50M,70.50M,21.30M,3.00M,,10.90M,-24.30M,144.30M,-118.00M,74.70M,262.20M,,,21.90M,376.40M,,2014-01,-70.90M,,-70.90M,27.50M,,-9.70M,,2014-01,-2.50M,-303.00M,-305.50M,,-1.00M,-1.00M,,,0.00,0.00,14.90M,-267.00M,,2014-01,56.30M,-5.60M,593.20M,,2014-01,,0.00,-1.00M,,2014-01,AOR,Restated
2013-10,196.60M,0.00,,-4.90M,-4.90M,,,61.70M,61.70M,-63.40M,21.80M,,12.60M,-30.00M,-161.70M,132.70M,6.70M,-157.50M,,,-22.80M,-8.20M,,2013-10,-60.60M,,-60.60M,-14.30M,,0.00,,2013-10,-2.30M,-12.20M,-14.50M,,-3.40M,-3.40M,,,-3.10M,-3.10M,7.60M,-10.70M,,2013-10,-93.80M,7.40M,542.50M,,2013-10,,0.00,-3.40M,,2013-10,AOR,Restated
2013-07,-5.30M,0.00,,-0.80M,-0.80M,,,97.20M,97.20M,15.10M,0.00,,15.60M,0.00,55.10M,-204.60M,-8.20M,185.00M,,,29.90M,179.00M,,2013-07,-59.90M,,-59.90M,-12.50M,,0.00,,2013-07,-2.30M,-193.00M,-195.30M,,-37.00M,-37.00M,,,-3.10M,-3.10M,0.30M,-220.90M,,2013-07,-114.30M,-3.10M,628.90M,,2013-07,,0.00,-37.00M,,2013-07,AOR,Restated
2013-04,-10.30M,0.00,,-2.30M,38.10M,,,84.20M,84.20M,-35.20M,,,18.90M,-30.00M,-69.40M,145.60M,-20.80M,-330.90M,,,74.50M,-135.30M,,2013-04,-45.70M,,-45.70M,-1.830B,,18.30M,,2013-04,-1.099B,2.970B,1.871B,,-20.10M,-20.10M,,,-6.10M,-6.10M,-1.50M,1.853B,,2013-04,-138.80M,-7.10M,746.30M,,2013-04,,2.993B,-20.10M,,2013-04,AOR,Restated
2013-01,80.71M,,,-0.357M,27.74M,,,37.86M,37.86M,19.22M,7.241M,,7.228M,-83.88M,177.98M,-6.878M,-74.31M,125.45M,,,-34.14M,284.22M,,2013-01,-73.55M,,-73.55M,-46.80M,,,,2013-01,565.48M,-131.67M,433.80M,,-0.045M,-0.045M,,,-2.663M,-2.663M,0.873M,438.15M,,2013-01,602.02M,13.55M,892.20M,,2013-01,,570.00M,-0.045M,,2013-01,AOR,Restated
2012-10,167.70M,,,-3.193M,-3.193M,,,34.75M,34.75M,14.87M,0.259M,,7.481M,-13.63M,-168.37M,66.41M,38.60M,-78.74M,,,11.95M,78.08M,,2012-10,-55.36M,,-55.36M,-24.95M,,,,2012-10,-80.64M,89.72M,9.088M,,-0.322M,-0.322M,,,-2.747M,-2.747M,1.245M,10.01M,,2012-10,7.776M,6.868M,276.63M,,2012-10,,90.00M,-0.322M,,2012-10,AOR,Restated
2012-07,89.92M,,,0.074M,0.074M,,,34.33M,34.33M,10.58M,,,8.375M,-3.746M,107.71M,-193.17M,-12.80M,202.35M,,,-35.80M,207.81M,,2012-07,-42.61M,,-42.61M,-12.21M,,,,2012-07,-62.60M,-54.60M,-117.21M,,-7.451M,-7.451M,,,-0.007M,-0.007M,4.17M,-119.86M,,2012-07,33.12M,-9.751M,261.99M,,2012-07,,-55.00M,-7.451M,,2012-07,AOR,Restated
2012-04,95.48M,,,-1.924M,-1.924M,,,33.46M,33.46M,5.33M,,,10.52M,-3.743M,-61.61M,76.14M,4.215M,-162.46M,,,4.089M,-0.508M,,2012-04,-39.07M,,-39.07M,-13.54M,,,,2012-04,-32.74M,94.35M,61.61M,,-6.182M,-6.182M,,,-5.483M,-5.483M,2.912M,56.60M,,2012-04,3.482M,1.933M,238.61M,,2012-04,,95.00M,-6.182M,,2012-04,AOR,Restated
2012-01,39.06M,,,-0.511M,75.61M,,,33.24M,33.24M,-1.774M,5.473M,,9.82M,-20.02M,131.34M,14.92M,-47.67M,59.86M,,,17.51M,317.38M,,2012-01,-51.95M,,-51.95M,-25.12M,,,,2012-01,-167.20M,0.22M,-166.98M,,-0.013M,-0.013M,,,-2.721M,-2.721M,7.033M,-150.49M,,2012-01,89.82M,-16.60M,233.20M,,2012-01,,0.22M,-0.013M,,2012-01,AOR,Restated
2011-10,112.24M,,,-0.856M,-0.856M,,,32.32M,32.32M,7.747M,1.151M,,10.47M,-1.003M,-211.58M,61.18M,4.953M,-14.88M,,,8.907M,32.35M,,2011-10,-43.99M,,-43.99M,-68.74M,,,,2011-10,-41.20M,-0.186M,-41.39M,,-0.07M,-0.07M,,,-2.719M,-2.719M,0.322M,-43.15M,,2011-10,-123.53M,-4.177M,159.98M,,2011-10,,-0.186M,-0.07M,,2011-10,AOR,Restated
2011-07,66.73M,,,0.00,0.00,,,31.97M,31.97M,7.39M,1.062M,,10.93M,11.99M,93.54M,-223.60M,1.394M,146.49M,,,14.61M,150.51M,,2011-07,-39.43M,,-39.43M,-16.84M,,,,2011-07,-100.92M,0.729M,-100.20M,,-3.132M,-3.132M,,,-0.02M,-0.02M,1.798M,-98.40M,,2011-07,-4.154M,-3.113M,287.69M,,2011-07,,-59.27M,-3.132M,,2011-07,AOR,Restated
2011-04,57.67M,,,0.00,16.23M,,,34.48M,34.48M,1.52M,,,9.723M,9.723M,-54.14M,36.25M,4.259M,-143.25M,,,27.73M,-9.519M,,2011-04,-34.47M,,-34.47M,-23.32M,,,,2011-04,-151.78M,7.409M,-144.37M,,-2.055M,-2.055M,,,-5.414M,-5.414M,-8.194M,-151.63M,,2011-04,-218.93M,15.17M,294.96M,,2011-04,,67.41M,-2.055M,,2011-04,AOR,Restated
2011-01,52.77M,-140.49M,,,-125.15M,,,33.53M,33.53M,-12.00M,11.34M,,10.23M,108.24M,91.70M,-4.539M,13.26M,60.47M,,,-21.51M,218.33M,,2011-01,-45.60M,,-45.60M,-184.45M,,170.32M,,2011-01,-153.11M,4.868M,-148.24M,-0.331M,-0.003M,-0.334M,0.00,0.00,,-2.672M,1.574M,-146.06M,,2011-01,12.54M,-5.254M,498.72M,,2011-01,-0.331M,4.206M,-0.003M,,2011-01,AOR,Restated
2010-10,1.611M,0.00,,,0.00,,,51.37M,51.37M,8.137M,2.558M,,10.83M,98.24M,-300.66M,5.046M,23.57M,71.19M,,,72.03M,43.91M,,2010-10,-26.38M,,-26.38M,19.24M,,-29.83M,,2010-10,-4.855M,-4.617M,-9.472M,0.00,-0.04M,-0.04M,0.00,0.00,,-2.691M,4.277M,5.672M,,2010-10,12.61M,3.487M,491.44M,,2010-10,0.00,-4.976M,-0.04M,,2010-10,AOR,Restated
2010-07,27.61M,140.49M,,,140.49M,,,50.17M,50.17M,-0.763M,0.00,-52.39M,8.134M,-148.07M,138.83M,-121.11M,-50.39M,116.93M,,,-28.39M,137.54M,,2010-07,-24.19M,,-24.19M,-2.501B,,-140.49M,,2010-07,2.006B,4.617M,2.010B,0.00,-0.868M,-0.868M,188.60M,188.60M,,-0.478M,0.55M,2.200B,,2010-07,-328.44M,12.19M,475.34M,,2010-07,188.60M,2.414B,-0.868M,,2010-07,AOR,Restated
2010-04,-27.61M,,,,,,,12.07M,12.07M,-8.808M,,52.39M,4.09M,56.48M,-44.63M,-21.05M,-4.088M,-14.93M,,,11.97M,-40.61M,,2010-04,-4.822M,,-4.822M,-11.24M,,,,2010-04,0.00,0.00,0.00,364.86M,-1.57M,363.29M,,,,-4.174M,2.932M,367.40M,,2010-04,310.73M,-0.019M,791.60M,,2010-04,364.86M,0.00,-1.57M,,2010-04,AOR,Restated
2010-01,27.02M,0.00,,,0.00,,,12.19M,12.19M,3.18M,0.00,,5.087M,5.087M,83.25M,18.07M,-19.93M,5.577M,,,-1.169M,133.29M,,2010-01,-4.461M,,-4.461M,4.117M,,-11.77M,,2010-01,0.00,,0.00,0.00,-0.029M,-0.029M,0.00,0.00,,-1.965M,0.74M,3.055M,,2010-01,124.23M,0.038M,480.88M,,2010-01,0.00,0.00,-0.029M,,2010-01,AOR,Restated
2009-10,83.62M,0.00,,,0.00,,,12.49M,12.49M,0.475M,5.796M,,3.747M,9.543M,-111.61M,20.43M,3.155M,-6.295M,,,-11.53M,0.275M,,2009-10,-6.529M,,-6.529M,0.00,,-7.077M,,2009-10,0.00,,0.00,0.00,-0.036M,-0.036M,0.00,0.00,,-1.961M,0.27M,0.349M,,2009-10,-12.98M,0.00,356.61M,,2009-10,0.00,0.00,-0.036M,,2009-10,AOR,Restated
2009-07,26.56M,,,,,,,12.73M,12.73M,0.673M,1.358M,,2.959M,4.317M,50.21M,-20.80M,22.25M,45.07M,,,-38.54M,102.47M,,2009-07,-6.666M,,-6.666M,0.00,,-9.006M,,2009-07,,,0.00,0.00,-0.164M,-0.164M,0.00,0.00,3.885M,0.00,0.153M,0.794M,,2009-07,87.59M,0.00,369.60M,,2009-07,0.00,,-0.164M,,2009-07,AOR,Restated
2009-04,24.71M,,,,,,,12.48M,12.48M,0.386M,0.136M,,2.663M,2.799M,-23.05M,3.066M,-11.24M,-33.37M,,,2.605M,-21.62M,,2009-04,-6.20M,,-6.20M,-5.699M,,-9.585M,,2009-04,,,,,-0.171M,-0.171M,,,-3.885M,-3.885M,0.106M,-3.062M,,2009-04,-46.16M,,282.00M,,2009-04,,,-0.171M,,2009-04,AOR,Restated
2009-01,32.20M,,1.864M,,1.864M,-35.17M,-5.682M,9.038M,9.038M,4.438M,-0.833M,,6.065M,5.232M,147.54M,25.96M,-22.99M,5.169M,,,-73.46M,135.00M,,2009-01,48.24M,,48.24M,24.44M,-1.864M,14.52M,,2009-01,,,,0.00,-0.373M,-0.373M,,,-0.051M,-0.051M,0.129M,4.697M,,2009-01,225.03M,,480.88M,,2009-01,0.00,,-0.373M,,2009-01,AOR,Restated
2008-10,53.70M,,0.00,,0.00,11.80M,1.856M,13.66M,13.66M,0.156M,1.35M,,2.981M,4.331M,-127.58M,-1.952M,4.357M,52.66M,,,-27.33M,-28.00M,,2008-10,-17.68M,,-17.68M,-13.86M,0.00,0.00,,2008-10,,,,,0.00,0.00,,,-3.888M,-3.888M,0.102M,-3.408M,,2008-10,-62.95M,,197.56M,,2008-10,,,0.00,,2008-10,,Restated
2008-07,29.21M,,-1.864M,,0.00,11.89M,1.963M,13.86M,13.86M,0.224M,6.773M,,5.41M,9.863M,63.80M,-32.35M,8.793M,9.117M,,,10.64M,113.15M,,2008-07,-26.80M,,-26.80M,-22.90M,0.00,11.27M,,2008-07,,,,-1.486M,-0.022M,-1.508M,,,-3.872M,0.00,0.357M,1.557M,,2008-07,76.28M,,260.50M,,2008-07,-1.486M,,-0.022M,,2008-07,,Restated
2008-04,46.80M,,,,-1.864M,11.47M,1.863M,13.34M,13.34M,-0.104M,,,,2.32M,-84.96M,29.10M,4.082M,-55.96M,,,41.51M,-5.733M,,2008-04,-27.62M,,-27.62M,-26.70M,1.864M,-25.79M,,2008-04,,,,1.486M,-0.005M,1.481M,,,,-3.872M,0.681M,-1.71M,,2008-04,-85.69M,,184.22M,,2008-04,1.486M,,-0.005M,,2008-04,,
2008-01,30.33M,,,,0.00,10.90M,1.903M,12.81M,12.81M,2.997M,,,,2.359M,127.92M,20.43M,-15.75M,0.534M,,,-5.458M,176.18M,,2008-01,-33.72M,,-33.72M,-9.933M,0.00,,,2008-01,,,,-12.35M,-200.10M,-212.45M,,,,0.00,0.662M,-199.24M,,2008-01,-66.72M,,269.91M,,2008-01,-12.35M,,-200.10M,,2008-01,,Restated
2007-10,60.88M,,,,0.00,9.872M,1.763M,11.64M,11.64M,0.453M,,,,2.289M,-114.70M,-10.04M,3.669M,44.93M,,,12.47M,11.58M,,2007-10,-27.68M,,-27.68M,-10.16M,0.00,,,2007-10,,,,0.506M,0.00,0.506M,,,,-4.246M,0.35M,-3.39M,,2007-10,-29.64M,,336.63M,,2007-10,0.506M,,0.00,,2007-10,,
2007-07,39.10M,,,,0.00,9.483M,1.74M,11.22M,11.22M,0.491M,,,,2.903M,23.96M,-40.64M,7.077M,35.79M,,,7.363M,87.27M,,2007-07,-24.18M,,-24.18M,-14.89M,0.00,7.081M,,2007-07,,,,8.239M,0.00,8.239M,,,,0.002M,3.023M,11.26M,,2007-07,66.54M,,366.27M,,2007-07,8.239M,,0.00,,2007-07,,
