,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PreferredSecuritiesoutofShareholdersEquity,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2018-01,493.90M,493.90M,658.50M,37.90M,696.40M,,,,1.591B,184.50M,,64.70M,3.031B,208.60M,1.00M,55.30M,1.104B,,35.90M,724.50M,2.130B,-1.230B,899.80M,3.835B,3.727B,7.561B,25.40M,368.40M,8.855B,11.89B,889.80M,889.80M,923.10M,1.813B,,,,,19.50M,,19.50M,39.20M,39.20M,,,1.872B,3.061B,,3.061B,663.00M,663.00M,2.00M,6.349B,,2018-01,84.90M,3.625B,,-321.50M,5.536B,,2018-01,AOR,Restated
2017-10,612.30M,612.30M,827.90M,29.20M,857.10M,,,,1.466B,168.40M,,40.10M,3.144B,,,,,821.20M,,,821.20M,,821.20M,3.686B,3.650B,7.336B,23.60M,333.30M,8.514B,11.66B,681.30M,681.30M,816.10M,1.497B,,,,,207.50M,,207.50M,21.40M,21.40M,,,1.726B,3.183B,,3.183B,823.30M,823.30M,2.60M,6.408B,,2017-10,84.30M,3.515B,,-525.50M,5.250B,,2017-10,AOR,Restated
2017-07,559.40M,559.40M,646.20M,26.40M,672.60M,,,,1.499B,171.80M,,33.10M,2.936B,,,,,805.80M,,,805.80M,,805.80M,3.669B,3.679B,7.349B,24.40M,339.50M,8.518B,11.45B,767.10M,767.10M,811.00M,1.578B,,,,,18.00M,,18.00M,37.10M,37.10M,,,1.633B,3.186B,,3.186B,842.40M,842.40M,3.10M,6.359B,,2017-07,84.30M,3.278B,,-496.60M,5.095B,,2017-07,AOR,Restated
2017-04,490.90M,490.90M,688.10M,24.40M,712.50M,,,,1.254B,150.10M,,47.90M,2.655B,,,,,751.60M,,,751.60M,,751.60M,3.545B,3.618B,7.163B,17.20M,324.90M,8.257B,10.91B,546.70M,546.70M,760.80M,1.308B,,,,,42.50M,,42.50M,28.20M,28.20M,,,1.378B,3.157B,,3.157B,846.80M,846.80M,3.40M,6.037B,,2017-04,84.10M,3.162B,,-651.40M,4.875B,,2017-04,AOR,Restated
2017-01,730.10M,730.10M,616.00M,25.40M,641.40M,,,,1.318B,133.20M,,57.00M,2.880B,164.10M,1.10M,57.40M,939.20M,,30.00M,622.50M,1.814B,-1.054B,759.90M,3.470B,3.61B,7.080B,17.40M,331.10M,8.188B,11.07B,682.60M,682.60M,832.40M,1.515B,,,,,19.10M,,19.10M,30.70M,30.70M,,,1.565B,3.197B,,3.197B,877.70M,877.70M,2.00M,6.263B,,2017-01,83.90M,3.098B,,-710.80M,4.804B,,2017-01,AOR,Restated
2016-10,662.40M,662.40M,765.40M,23.00M,788.40M,,,,1.258B,140.20M,,49.70M,2.948B,,,,,730.20M,,,730.20M,,730.20M,3.495B,3.659B,7.155B,2.90M,232.60M,8.120B,11.07B,496.50M,496.50M,794.00M,1.290B,,,,,20.80M,,20.80M,19.10M,19.10M,,26.00M,1.356B,3.303B,,3.303B,868.80M,868.80M,1.20M,6.274B,,2016-10,83.90M,2.997B,,-699.70M,4.794B,,2016-10,AOR,Restated
2016-07,741.70M,741.70M,569.60M,24.70M,594.30M,,,,1.412B,156.00M,,34.90M,2.939B,,,,,736.00M,,,736.00M,,736.00M,3.536B,3.752B,7.288B,11.40M,205.30M,8.241B,11.18B,631.80M,631.80M,703.20M,1.335B,,,,,19.40M,,19.40M,33.80M,33.80M,,,1.388B,3.358B,,3.358B,872.50M,872.50M,0.10M,6.376B,,2016-07,83.90M,2.874B,,-652.70M,4.804B,,2016-07,AOR,Restated
2016-04,365.10M,365.10M,661.50M,22.80M,684.30M,,,,1.281B,154.50M,,42.90M,2.528B,,,,,749.90M,,,749.90M,,749.90M,3.572B,3.809B,7.381B,17.10M,208.90M,8.357B,10.89B,497.70M,497.70M,706.20M,1.204B,,,,,167.70M,,167.70M,23.30M,23.30M,,,1.395B,2.992B,,2.992B,880.10M,880.10M,,6.023B,,2016-04,83.60M,2.787B,,-574.90M,4.862B,,2016-04,AOR,Restated
2016-01,556.40M,556.40M,657.20M,28.70M,685.90M,,,,1.322B,150.40M,,74.80M,2.804B,146.80M,1.10M,53.30M,826.30M,,33.30M,576.10M,1.637B,-892.30M,744.60M,3.219B,3.646B,6.866B,12.20M,246.80M,7.869B,10.67B,636.10M,636.10M,696.30M,1.332B,,,,,162.50M,,162.50M,32.30M,32.30M,,,1.527B,3.032B,,3.032B,836.40M,836.40M,0.00,6.122B,,2016-01,83.50M,2.561B,,-704.20M,4.552B,,2016-01,AOR,Restated
2015-10,369.90M,369.90M,824.30M,41.90M,866.20M,,,,1.332B,138.70M,85.20M,66.20M,2.858B,,,,,731.80M,,,731.80M,,731.80M,3.237B,3.685B,6.922B,14.00M,279.50M,7.947B,10.81B,495.30M,495.30M,703.40M,1.199B,,,,,151.70M,,151.70M,16.00M,16.00M,0.00,,1.366B,3.216B,,3.216B,951.70M,951.70M,,6.260B,,2015-10,83.50M,2.427B,,-615.20M,4.546B,,2015-10,AOR,Restated
2015-07,466.70M,466.70M,590.20M,27.60M,617.80M,,,,1.403B,155.20M,96.00M,81.50M,2.820B,,,,,708.90M,,,708.90M,,708.90M,3.220B,3.701B,6.921B,7.20M,288.30M,7.925B,10.74B,551.00M,551.00M,667.20M,1.218B,,,,,119.80M,,119.80M,31.00M,31.00M,0.00,,1.369B,3.262B,,3.262B,976.90M,976.90M,,6.335B,,2015-07,83.50M,2.208B,,-579.90M,4.410B,,2015-07,AOR,Restated
2015-04,419.30M,419.30M,733.60M,31.80M,765.40M,,,,1.173B,170.60M,104.30M,102.80M,2.736B,,,,,720.90M,,,720.90M,,720.90M,3.261B,3.758B,7.019B,9.20M,288.00M,8.037B,10.77B,411.70M,411.70M,683.00M,1.095B,,,,,109.90M,,109.90M,22.30M,23.00M,0.70M,,1.228B,3.390B,,3.390B,988.40M,988.40M,,6.328B,,2015-04,83.40M,2.109B,,-448.80M,4.444B,,2015-04,AOR,Restated
2015-01,479.30M,479.30M,705.70M,37.50M,743.20M,,,,1.257B,141.10M,,164.90M,2.786B,136.40M,1.10M,68.90M,738.50M,,13.70M,554.30M,1.513B,-787.20M,725.70M,3.259B,3.782B,7.041B,15.60M,257.10M,8.039B,10.82B,565.30M,565.30M,723.80M,1.289B,,,,,107.80M,,107.80M,31.20M,31.20M,,,1.428B,3.439B,,3.439B,897.90M,897.90M,,6.461B,,2015-01,83.10M,2.001B,,-416.50M,4.364B,,2015-01,AOR,Restated
2014-10,365.10M,365.10M,879.70M,31.00M,910.70M,,,,1.240B,177.90M,86.50M,86.60M,2.867B,,,,,707.60M,,,707.60M,,707.60M,3.435B,3.926B,7.361B,32.80M,297.20M,8.399B,11.27B,476.20M,476.20M,745.60M,1.222B,,,,,139.20M,,139.20M,17.70M,17.70M,0.00,,1.379B,3.619B,,3.619B,1.102B,1.102B,0.00,6.682B,,2014-10,83.00M,1.950B,,-129.60M,4.584B,,2014-10,AOR,Restated
2014-07,461.10M,461.10M,730.10M,37.20M,767.30M,,,,1.365B,185.70M,158.80M,56.20M,2.994B,,,,,703.60M,,,703.60M,,703.60M,3.530B,4.028B,7.559B,31.00M,297.40M,8.591B,11.59B,576.70M,576.70M,731.70M,1.308B,,,,,264.50M,,264.50M,31.10M,31.20M,0.10M,,1.604B,3.643B,,3.643B,1.183B,1.183B,0.00,7.055B,,2014-07,83.00M,1.727B,,59.70M,4.530B,,2014-07,AOR,Restated
2014-04,513.00M,513.00M,817.40M,37.80M,855.20M,,,,1.178B,174.20M,153.20M,53.90M,2.927B,,,,,708.50M,,,708.50M,,708.50M,3.578B,4.085B,7.663B,34.30M,295.90M,8.702B,11.63B,428.70M,428.70M,771.40M,1.200B,,,,,244.10M,,244.10M,22.10M,22.20M,0.10M,,1.466B,3.862B,,3.862B,1.010B,1.010B,0.00,7.150B,,2014-04,82.90M,1.607B,,143.60M,4.480B,,2014-04,AOR,Restated
2014-01,593.20M,593.20M,730.30M,30.90M,761.20M,,,,1.281B,151.90M,155.10M,56.20M,2.999B,123.50M,2.70M,75.50M,679.10M,,8.50M,545.50M,1.435B,-722.70M,712.10M,3.507B,4.052B,7.559B,35.20M,270.70M,8.577B,11.58B,582.90M,582.90M,843.00M,1.426B,,,,,91.80M,,91.80M,33.50M,34.70M,1.20M,,1.552B,3.878B,,3.878B,1.017B,1.017B,5.60M,7.240B,,2014-01,82.70M,1.575B,,42.30M,4.335B,,2014-01,AOR,Restated
2013-10,542.53M,542.53M,880.16M,39.69M,919.85M,,,,1.168B,227.77M,88.09M,71.07M,3.065B,,,,,693.09M,,,693.09M,,693.09M,3.461B,4.049B,7.509B,149.09M,235.45M,8.587B,11.65B,435.92M,435.92M,747.73M,1.184B,,,,,97.44M,,97.44M,18.34M,20.82M,2.481M,,1.302B,4.175B,,4.175B,1.089B,1.089B,5.60M,7.316B,,2013-10,82.10M,1.592B,,75.05M,4.336B,,2013-10,AOR,Restated
2013-07,628.92M,628.92M,712.06M,44.21M,756.27M,,,,1.349B,233.66M,88.19M,25.01M,3.081B,,,,,693.86M,,,693.86M,,693.86M,3.368B,4.032B,7.400B,114.32M,225.60M,8.434B,11.51B,552.22M,552.22M,752.00M,1.304B,,,,,88.45M,,88.45M,29.21M,32.54M,3.329M,,1.425B,4.195B,,4.195B,1.126B,1.126B,5.60M,7.467B,,2013-07,82.05M,1.399B,,0.106M,4.048B,,2013-07,AOR,Restated
2013-04,746.28M,746.28M,771.50M,58.52M,830.03M,,,,1.150B,225.47M,99.03M,31.32M,3.082B,,,,,678.43M,,,678.43M,,678.43M,3.321B,4.181B,7.501B,119.94M,225.29M,8.525B,11.61B,418.46M,418.46M,711.55M,1.130B,,,,,113.47M,,113.47M,21.65M,44.22M,22.57M,,1.288B,4.362B,,4.362B,1.148B,1.148B,5.746M,7.494B,,2013-04,81.20M,1.419B,,38.39M,4.114B,,2013-04,AOR,Restated
2013-01,892.21M,892.21M,418.25M,23.07M,441.32M,,,,878.42M,157.80M,38.31M,28.95M,2.437B,101.34M,1.057M,73.00M,569.40M,,2.873M,437.02M,1.185B,-623.36M,561.34M,1.959B,2.581B,4.540B,11.60M,181.85M,5.295B,7.732B,377.23M,377.23M,646.13M,1.023B,,,,,98.85M,,98.85M,40.24M,40.24M,0.00,,1.162B,2.212B,,2.212B,539.93M,539.93M,0.00,4.479B,,2013-01,73.32M,1.446B,,139.88M,3.253B,,2013-01,AOR,Restated
2012-10,276.63M,276.63M,587.60M,19.86M,607.46M,,,,855.36M,80.92M,53.53M,38.21M,1.912B,,,,,519.86M,,,519.86M,,519.86M,1.855B,2.528B,4.384B,3.671M,166.80M,5.074B,6.986B,300.47M,300.47M,588.51M,888.98M,,,,,226.51M,,226.51M,24.47M,24.47M,,,1.140B,1.648B,,1.648B,522.68M,522.68M,,3.939B,,2012-10,165.34M,1.485B,94.30M,-85.38M,3.047B,,2012-10,AOR,Restated
2012-07,261.99M,261.99M,411.38M,14.28M,425.66M,,,,909.45M,117.83M,53.15M,51.86M,1.820B,,,,,484.44M,,,484.44M,,484.44M,1.778B,2.484B,4.261B,5.315M,160.32M,4.912B,6.731B,372.53M,372.53M,554.08M,926.61M,,,,,140.81M,,140.81M,41.97M,41.97M,,,1.109B,1.715B,,1.715B,502.09M,502.09M,,3.950B,,2012-07,165.25M,1.322B,94.30M,-176.84M,2.781B,,2012-07,AOR,Restated
2012-04,238.61M,238.61M,530.77M,13.40M,544.17M,,,,735.85M,107.30M,53.75M,48.27M,1.728B,,,,,479.49M,,,479.49M,,479.49M,1.845B,2.562B,4.407B,4.938M,161.19M,5.052B,6.780B,255.51M,255.51M,507.89M,763.39M,,,,,186.87M,,186.87M,31.63M,31.63M,,,981.89M,1.795B,,1.795B,509.08M,509.08M,,3.951B,,2012-04,164.98M,1.235B,94.30M,-35.26M,2.829B,,2012-04,AOR,Restated
2012-01,233.20M,233.20M,467.63M,13.34M,480.96M,,,,809.01M,111.23M,53.64M,51.19M,1.739B,78.03M,1.028M,70.69M,461.95M,,23.69M,360.35M,995.75M,-536.86M,458.89M,1.822B,2.558B,4.381B,11.99M,161.39M,5.013B,6.752B,366.14M,366.14M,556.37M,922.50M,,,,,82.99M,,82.99M,38.38M,38.38M,,,1.044B,1.833B,,1.833B,507.02M,507.02M,,4.037B,,2012-01,256.89M,1.023B,188.60M,73.84M,2.715B,,2012-01,AOR,Restated
2011-10,159.98M,159.98M,609.55M,12.04M,621.59M,,,,830.14M,65.27M,62.10M,34.96M,1.774B,,,,,,,,,,436.29M,1.885B,2.635B,4.520B,,166.15M,5.122B,6.896B,298.43M,298.43M,583.84M,882.27M,,,,,73.93M,,73.93M,27.47M,27.47M,,,983.68M,2.030B,,2.030B,8.826M,8.826M,,4.121B,,2011-10,256.42M,1.069B,188.60M,117.05M,2.775B,,2011-10,AOR,Restated
2011-07,287.69M,287.69M,11.11M,402.74M,413.85M,,,,877.45M,70.99M,,90.87M,1.741B,,,,,,,,,,426.37M,1.904B,2.665B,4.570B,,133.20M,5.129B,6.870B,351.75M,351.75M,517.46M,869.21M,,,,,64.82M,,64.82M,38.16M,38.16M,,,972.19M,2.090B,,2.090B,,,,4.159B,,2011-07,256.39M,959.03M,188.60M,174.39M,2.711B,,2011-07,AOR,Restated
2011-04,294.96M,294.96M,502.42M,9.769M,512.18M,,,,685.04M,72.90M,93.26M,,1.658B,,,,,,,,,,418.22M,1.930B,2.698B,4.628B,,129.41M,5.176B,6.834B,262.22M,262.22M,507.93M,770.15M,,,,,58.58M,,58.58M,27.81M,27.81M,,,856.54M,2.208B,,2.208B,1.098B,1.098B,,4.163B,,2011-04,256.15M,892.32M,188.60M,213.48M,2.671B,,2011-04,AOR,Restated
2011-01,498.72M,498.72M,433.90M,13.26M,447.16M,,,,710.87M,80.97M,68.31M,29.26M,1.835B,64.58M,1.028M,71.52M,422.09M,,13.70M,289.23M,862.14M,-457.56M,404.58M,1.820B,2.601B,4.422B,7.202M,115.77M,4.949B,6.784B,335.48M,335.48M,539.67M,875.15M,,,,,4.868M,,4.868M,51.24M,51.24M,,,931.26M,2.364B,,2.364B,525.59M,525.59M,,4.342B,,2011-01,255.83M,840.07M,188.60M,55.74M,2.443B,,2011-01,AOR,Restated
2010-10,491.44M,491.44M,541.55M,17.46M,559.01M,,,,687.11M,94.75M,82.27M,,1.915B,,,,,,,,,,399.46M,1.752B,2.624B,4.376B,,199.25M,4.975B,6.890B,307.74M,307.74M,506.93M,814.67M,,,,,,,,41.29M,41.29M,,,855.96M,2.524B,,2.524B,1.095B,1.095B,,4.474B,,2010-10,255.70M,787.47M,188.60M,96.25M,2.415B,,2010-10,AOR,Restated
2010-07,475.34M,475.34M,291.46M,19.02M,310.48M,,,,692.81M,125.24M,80.12M,,1.684B,,,,,,,,,,387.42M,1.702B,2.564B,4.266B,,183.07M,4.836B,6.520B,314.82M,314.82M,420.53M,735.36M,,,,,4.617M,,4.617M,46.96M,46.96M,,,786.93M,2.492B,,2.492B,1.046B,1.046B,,4.325B,,2010-07,255.04M,709.43M,188.60M,-26.29M,2.196B,,2010-07,AOR,Restated
2010-04,791.60M,791.60M,233.47M,8.023M,241.50M,,,,284.84M,45.13M,13.33M,,1.376B,,,,,,,,,,161.45M,428.19M,738.39M,1.167B,,25.59M,1.354B,2.730B,99.97M,99.97M,262.38M,362.35M,,,,,,,,35.12M,35.12M,,,397.47M,399.59M,,399.59M,419.71M,419.71M,,1.217B,,2010-04,57.95M,764.50M,,-79.87M,1.513B,,2010-04,AOR,Restated
2010-01,480.88M,480.88M,188.84M,7.759M,196.60M,,,,263.79M,41.04M,5.621M,6.951M,994.88M,0.00,1.028M,32.51M,340.62M,22.46M,,158.32M,554.94M,-387.46M,167.47M,419.18M,739.19M,1.158B,,18.95M,1.345B,2.340B,108.49M,108.49M,215.41M,323.91M,,,,,,,,38.97M,38.97M,,,362.88M,399.58M,,399.58M,176.45M,176.45M,,1.171B,,2010-01,57.14M,796.28M,,-80.45M,1.169B,,2010-01,AOR,Restated
2009-10,356.61M,356.61M,272.10M,10.33M,282.43M,,,,281.86M,21.11M,15.79M,,957.79M,,,,,,,,,,172.12M,407.69M,740.06M,1.148B,,26.32M,1.346B,2.304B,101.39M,101.39M,222.46M,323.85M,,,,,,,,32.45M,32.45M,,,356.29M,399.58M,,399.58M,404.66M,404.66M,,1.161B,,2009-10,56.96M,771.22M,,-70.50M,1.143B,,2009-10,AOR,Restated
2009-07,369.60M,369.60M,160.49M,12.70M,173.18M,,,,302.29M,24.27M,16.26M,,885.59M,,,,,,,,,,183.53M,396.18M,740.97M,1.137B,,26.92M,1.348B,2.233B,98.70M,98.70M,224.42M,323.12M,,,,,,,,35.27M,35.27M,,,358.39M,399.58M,,399.58M,420.33M,420.33M,,1.178B,,2009-07,56.86M,689.57M,,-71.28M,1.055B,,2009-07,AOR,Restated
2009-04,282.00M,282.00M,210.69M,11.83M,222.52M,,,,281.49M,46.52M,15.98M,,848.52M,,,,,,,,,,188.75M,388.43M,741.87M,1.130B,,26.60M,1.346B,2.194B,72.77M,72.77M,207.62M,280.39M,,,,,,,,34.91M,34.91M,,,315.30M,399.57M,,399.57M,455.87M,455.87M,,1.171B,,2009-04,56.79M,663.01M,,-72.39M,1.023B,,2009-04,AOR,Restated
2009-01,328.17M,328.17M,187.64M,12.96M,200.60M,,,,282.68M,35.28M,17.70M,,864.43M,0.00,1.09M,35.92M,292.10M,21.34M,,117.94M,468.39M,-275.58M,192.81M,377.03M,741.38M,1.118B,,24.54M,1.336B,2.200B,92.62M,92.62M,213.10M,305.71M,,,,,,,,43.52M,43.52M,,,349.24M,399.57M,,399.57M,452.58M,452.58M,,1.201B,,2009-01,56.71M,642.18M,,-73.02M,998.80M,,2009-01,AOR,Restated
2008-10,197.56M,197.56M,301.17M,15.12M,316.30M,,,,329.00M,29.65M,,4.904M,877.41M,,,,,,,,537.82M,-284.53M,253.28M,366.94M,741.79M,1.109B,,44.48M,1.406B,2.284B,104.47M,104.47M,208.66M,313.13M,,,,,,,,33.61M,36.46M,2.853M,,349.60M,399.56M,,399.56M,219.83M,219.83M,,1.193B,,2008-10,56.70M,680.12M,,-16.96M,1.091B,,2008-10,,Restated
2008-07,260.50M,260.50M,173.92M,13.91M,187.82M,,,,325.14M,34.04M,,4.707M,812.22M,,,,,,,,532.88M,-284.53M,248.35M,349.43M,744.79M,1.094B,,44.74M,1.387B,2.200B,94.68M,94.68M,157.89M,252.57M,,,,,,,,38.43M,41.28M,2.853M,,293.85M,399.56M,,399.56M,219.67M,219.67M,,1.162B,,2008-07,56.68M,630.31M,,-16.82M,1.038B,,2008-07,,Restated
2008-04,184.22M,184.22M,243.91M,13.93M,257.84M,,,,294.96M,44.99M,,8.903M,790.90M,,,,,,,,527.22M,-284.53M,242.69M,333.60M,707.14M,1.041B,,83.38M,1.367B,2.158B,70.11M,70.11M,192.05M,262.16M,,,,,,,,26.72M,29.58M,2.853M,,291.73M,399.56M,,399.56M,219.45M,219.45M,,1.154B,,2008-04,56.61M,601.10M,,-17.19M,1.004B,,2008-04,,
2008-01,269.91M,269.91M,154.36M,31.62M,185.98M,,,,322.22M,48.30M,0.00,9.81M,836.22M,0.00,1.09M,35.29M,326.12M,13.97M,,140.09M,516.56M,-284.53M,232.03M,322.00M,740.38M,1.062B,,41.77M,1.336B,2.172B,112.83M,112.83M,210.05M,322.88M,,,,,,,,34.42M,37.27M,2.853M,,360.15M,399.55M,,399.55M,219.55M,219.55M,,1.216B,,2008-01,56.51M,558.54M,,-17.38M,956.28M,,2008-01,,Restated
