,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,PrepaidExpenses,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentAccruedExpenses,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,,101.56M,,101.56M,,,253.48M,248.33M,,603.37M,,,,,,,,,,165.42M,41.62M,,18.07B,18.67B,,92.80M,203.47M,296.27M,337.16M,633.43M,,,,,,0.596M,634.03M,7.571B,,7.571B,,,6.007M,61.50M,7.639B,8.273B,,1.382M,179.07M,10.24B,,-22.71M,10.40B,,AOR,Restated
2018-03,,137.24M,,137.24M,,,286.78M,134.16M,,558.19M,,,,,,,,,,164.34M,39.37M,,18.09B,18.65B,,83.21M,203.17M,286.38M,359.54M,645.91M,,,,,,1.244M,647.16M,7.599B,,7.599B,,,5.952M,58.76M,7.664B,8.311B,,1.382M,128.17M,10.23B,,-24.16M,10.34B,,AOR,Restated
2017-12,,67.09M,,67.09M,,,286.06M,134.82M,,487.97M,,,,,,,,,,163.48M,45.82M,,17.93B,18.41B,,85.38M,196.09M,281.47M,351.30M,632.78M,,0.00,,0.00,0.00,,632.78M,7.329B,,7.329B,,,6.056M,58.47M,7.394B,8.027B,,1.381M,188.61M,10.24B,,-37.42M,10.39B,,AOR,Restated
2017-09,,36.04M,,36.04M,,,310.60M,181.07M,,527.71M,,,,,,,,,,155.43M,48.55M,,17.65B,18.18B,,84.34M,196.08M,280.42M,367.47M,647.89M,,242.00M,,242.00M,242.00M,0.60M,890.49M,6.886B,,6.886B,,,8.739M,58.77M,6.954B,7.844B,,1.381M,144.65M,10.23B,,-40.86M,10.33B,,AOR,Restated
2017-06,,53.48M,,53.48M,,,300.56M,239.68M,,593.72M,,,,,,,,,,169.85M,45.16M,,17.35B,17.94B,,94.54M,196.08M,290.61M,310.82M,601.43M,,105.00M,,105.00M,105.00M,0.122M,706.56M,6.887B,,6.887B,,,8.842M,59.18M,6.955B,7.661B,,1.381M,102.55M,10.22B,,-42.99M,10.28B,,AOR,Restated
2017-03,,121.70M,,121.70M,,,319.30M,247.02M,,688.02M,,,,,,,,,,183.40M,40.11M,,17.29B,17.98B,,96.67M,195.66M,292.33M,347.78M,640.11M,,0.00,,0.00,0.00,,640.11M,7.006B,,7.006B,,,8.778M,57.18M,7.072B,7.712B,,1.378M,133.67M,10.16B,,-28.61M,10.27B,,AOR,Restated
2016-12,,214.99M,,214.99M,,,289.00M,114.98M,,618.98M,,,,,,,,,,175.12M,40.18M,,17.25B,17.87B,,101.00M,185.40M,286.40M,312.98M,599.38M,,0.00,,0.00,0.00,0.808M,600.19M,7.031B,,7.031B,,,7.766M,57.02M,7.096B,7.696B,,1.373M,94.90M,10.11B,,-30.51M,10.17B,,AOR,Restated
2016-09,,65.90M,,65.90M,,,261.99M,166.29M,,494.18M,,,,,,,,,,176.88M,46.19M,,17.09B,17.59B,,100.11M,185.38M,285.50M,379.28M,664.77M,,170.00M,,170.00M,170.00M,3.845M,838.62M,6.646B,,6.646B,,,9.95M,57.50M,6.713B,7.552B,,1.373M,36.04M,10.10B,,-100.53M,10.04B,,AOR,Restated
2016-06,,182.31M,,182.31M,,,243.04M,105.38M,,530.73M,,,,,,,,,,325.61M,40.63M,,16.86B,17.40B,,100.88M,185.37M,286.24M,348.70M,634.95M,,0.00,,0.00,0.00,1.549M,636.50M,6.834B,,6.834B,,,9.969M,58.09M,6.902B,7.539B,,1.373M,-134.81M,10.09B,,-103.00M,9.857B,,AOR,Restated
2016-03,,97.54M,,97.54M,,,239.51M,170.36M,,507.41M,,,,,,,,,,182.37M,42.64M,,16.54B,17.04B,,99.64M,185.17M,284.82M,343.56M,628.38M,,0.00,,0.00,0.00,,628.38M,6.503B,,6.503B,,,10.13M,55.77M,6.568B,7.197B,,1.372M,-146.80M,10.07B,,-77.77M,9.847B,,AOR,Restated
2015-12,,400.51M,,400.51M,,,229.17M,104.82M,,734.50M,,,,,,,,,,216.92M,37.58M,,16.20B,16.93B,,98.80M,171.26M,270.06M,300.09M,570.15M,,0.00,,0.00,0.00,0.553M,570.70M,6.457B,,6.457B,,,9.997M,53.13M,6.520B,7.091B,,1.37M,-197.99M,10.07B,,-31.39M,9.841B,,AOR,Restated
2015-09,,318.56M,,318.56M,,,232.22M,101.89M,,652.66M,,,,,,,,,,268.65M,70.05M,,16.13B,16.78B,,103.04M,171.10M,274.14M,307.10M,581.24M,,0.00,,0.00,0.00,,581.24M,6.307B,,6.307B,,,10.51M,54.05M,6.371B,6.953B,,1.369M,-182.49M,10.05B,,-38.18M,9.829B,,AOR,Restated
2015-06,,65.13M,,65.13M,,,237.82M,103.68M,,406.63M,,,,,,,,,,264.62M,68.21M,,15.91B,16.32B,,109.16M,166.11M,275.27M,282.94M,558.21M,,0.00,,0.00,0.00,0.657M,558.87M,6.487B,,6.487B,,,10.59M,53.40M,6.551B,7.110B,,1.329M,-217.44M,9.466B,,-39.52M,9.210B,,AOR,Restated
2015-03,,194.93M,,194.93M,,,256.92M,102.79M,,554.63M,,,,,,,,,,262.05M,62.71M,,15.71B,16.26B,,94.13M,165.24M,259.37M,282.62M,541.99M,,0.00,,0.00,0.00,0.733M,542.72M,6.562B,,6.562B,,,10.51M,50.67M,6.624B,7.166B,,1.322M,-223.33M,9.360B,,-40.95M,9.098B,,AOR,Restated
2014-12,,509.46M,,509.46M,,,234.41M,95.62M,,839.49M,,,,,,,,,,298.32M,67.03M,,15.30B,16.14B,,101.92M,153.21M,255.12M,285.75M,540.88M,,,,,,2.00M,542.88M,6.490B,,6.490B,,,12.76M,48.83M,6.551B,7.094B,,1.32M,-267.08M,9.355B,,-42.52M,9.046B,,AOR,Restated
2014-09,,440.03M,,440.03M,,,240.12M,95.66M,,775.81M,,,,,,,,,,304.80M,76.27M,,15.11B,15.88B,,98.10M,153.12M,251.22M,279.30M,530.52M,,0.00,,0.00,0.00,1.59M,532.11M,6.242B,,6.242B,,0.00,12.60M,49.42M,6.304B,6.836B,,1.32M,-256.16M,9.344B,,-44.07M,9.045B,,AOR,Restated
2014-06,,425.74M,,425.74M,,,234.68M,93.38M,,753.80M,,,,,,,,,,318.64M,75.74M,,14.90B,15.66B,,96.02M,152.11M,248.13M,268.38M,516.52M,,0.00,,0.00,0.00,,516.52M,6.255B,,6.255B,,0.00,16.08M,48.94M,6.320B,6.836B,,1.311M,-347.59M,9.213B,,-45.62M,8.822B,,AOR,Restated
2014-03,,386.19M,,386.19M,,,211.03M,90.66M,,687.88M,,,,,,,,,,353.51M,76.49M,,14.88B,15.57B,,94.13M,150.31M,244.44M,274.43M,518.88M,,0.00,,0.00,0.00,,518.88M,6.382B,,6.382B,,3.602M,16.00M,46.49M,6.444B,6.963B,,1.296M,-353.03M,9.002B,,-47.06M,8.603B,,AOR,Restated
2013-12,,281.36M,,281.36M,,,224.10M,98.56M,,604.02M,,,,,,,,,,367.87M,72.05M,,14.72B,15.33B,,94.63M,138.48M,233.11M,283.19M,516.30M,,0.00,,0.00,0.00,15.85M,532.15M,6.134B,,6.134B,,3.595M,17.32M,44.59M,6.196B,6.728B,,1.294M,-345.25M,8.989B,,-48.63M,8.596B,,AOR,Restated
2013-09,,112.91M,,112.91M,,,228.85M,98.43M,,440.19M,,,,,,,,,,347.39M,72.88M,,14.70B,15.15B,,84.03M,138.46M,222.49M,278.11M,500.60M,,0.00,,0.00,0.00,8.275M,508.87M,6.098B,,6.098B,,3.579M,18.26M,47.02M,6.163B,6.672B,,1.294M,-458.23M,8.977B,,-50.09M,8.470B,,AOR,Restated
2013-06,,111.15M,,111.15M,,,211.88M,94.40M,,417.43M,,,,,,,,,,365.52M,72.99M,,14.55B,14.97B,,84.98M,138.46M,223.44M,263.92M,487.36M,,142.00M,,142.00M,142.00M,,629.36M,5.711B,,5.711B,,3.597M,19.51M,48.22M,5.779B,6.408B,,1.294M,-308.94M,8.973B,,-105.04M,8.560B,,AOR,Restated
2013-03,,447.46M,,447.46M,,,190.21M,93.65M,,731.32M,,,,,,,,,,371.98M,69.88M,,14.46B,15.19B,,53.32M,138.44M,191.76M,340.91M,532.66M,,0.00,,0.00,0.00,,532.66M,5.928B,,5.928B,,3.579M,20.77M,46.76M,5.996B,6.528B,,1.294M,-206.67M,8.967B,,-106.62M,8.655B,,AOR,Restated
2012-12,,2.734B,,2.734B,,,168.67M,49.95M,,2.952B,,,,,,,,,,129.35M,63.36M,,8.208B,11.16B,,52.90M,110.97M,163.87M,249.81M,413.68M,,0.00,,0.00,0.00,10.50M,424.18M,3.851B,,3.851B,,3.578M,7.027M,37.05M,3.895B,4.319B,,1.144M,-142.33M,7.086B,,-108.01M,6.837B,,AOR,Restated
2012-09,,664.13M,,664.13M,,,,49.85M,,713.98M,0.00,1.743B,7.172B,251.50M,,725.45M,9.892B,-2.013B,7.879B,139.40M,61.82M,25.24M,8.255B,8.969B,,51.19M,94.78M,145.97M,246.68M,392.65M,,,,,,,392.65M,3.848B,,3.848B,,10.76M,,,3.848B,4.240B,,0.977M,-153.81M,4.981B,,-110.79M,4.717B,,AOR,Restated
2012-06,,358.26M,,358.26M,,,,73.69M,,431.95M,0.00,1.673B,6.956B,243.09M,,681.49M,9.554B,-1.947B,7.606B,144.92M,57.15M,25.47M,7.980B,8.412B,,43.36M,93.70M,137.06M,283.37M,420.42M,1.450B,,,1.450B,1.450B,,1.870B,1.912B,,1.912B,,10.99M,,39.70M,1.952B,3.822B,,0.966M,-145.92M,4.827B,,-103.81M,4.579B,,AOR,Restated
2012-03,,248.24M,,248.24M,,,,72.89M,,321.14M,0.00,1.672B,6.804B,235.56M,38.06M,688.62M,9.438B,-1.901B,7.537B,151.56M,62.31M,24.27M,7.920B,8.241B,,43.79M,92.51M,136.30M,254.96M,391.26M,1.450B,,,1.450B,1.450B,,1.841B,1.930B,,1.930B,,14.29M,,72.02M,2.002B,3.844B,,0.953M,-208.30M,4.667B,,-76.01M,4.383B,,AOR,Restated
2011-12,,616.85M,,616.85M,,,164.12M,73.40M,,854.38M,,,,,,,,,,144.56M,58.42M,,7.628B,8.482B,,36.84M,84.95M,121.80M,279.73M,401.53M,,0.00,,0.00,0.00,36.74M,438.27M,3.599B,,3.599B,,7.151M,7.063M,35.97M,3.642B,4.080B,,0.952M,-171.65M,4.652B,,-87.02M,4.395B,,AOR,Restated
2011-09,,690.05M,,690.05M,,,,68.98M,,759.03M,0.00,1.617B,6.759B,223.49M,,483.01M,9.083B,-1.825B,7.257B,131.31M,108.11M,82.10M,7.730B,8.489B,,36.20M,84.82M,121.02M,258.89M,379.91M,,,,,,,379.91M,3.823B,,3.823B,,14.11M,,,3.946B,4.326B,,0.95M,-409.48M,4.638B,,-80.87M,4.149B,,AOR,Restated
2011-06,,290.10M,,290.10M,,,,70.13M,24.33M,384.56M,0.00,1.575B,6.762B,220.75M,18.21M,399.31M,8.974B,-1.787B,7.187B,118.63M,110.49M,,7.558B,7.943B,,33.82M,79.16M,112.98M,320.30M,433.28M,,,,,,,433.28M,3.986B,,3.986B,,10.92M,,37.29M,4.023B,4.457B,,0.887M,-368.41M,3.863B,,-20.60M,3.475B,,AOR,Restated
2011-03,,291.80M,,291.80M,,,,185.13M,,476.93M,0.00,1.538B,6.688B,213.60M,,330.24M,8.771B,-1.767B,7.003B,120.26M,116.95M,23.11M,7.405B,7.882B,,32.70M,77.94M,110.64M,271.04M,381.68M,,,,,,,381.68M,4.037B,,4.037B,,10.93M,,35.38M,4.073B,4.454B,,0.873M,-332.40M,3.749B,,-1.259M,3.417B,,AOR,Restated
2010-12,,304.41M,,304.41M,,,,173.34M,,477.74M,0.00,1.514B,6.486B,200.95M,,309.70M,8.512B,-1.660B,6.852B,121.54M,110.28M,125.88M,7.344B,7.821B,,34.43M,76.68M,111.11M,162.78M,273.88M,,,,,,,273.88M,4.007B,,4.007B,,19.24M,,211.10M,4.218B,4.492B,,0.859M,-282.74M,3.594B,,-1.175M,3.311B,,AOR,Restated
2010-06,,373.72M,,373.72M,,,,188.27M,,561.99M,0.00,1.532B,6.214B,194.43M,,492.16M,8.433B,-1.591B,6.842B,71.47M,121.52M,21.79M,7.143B,7.705B,,43.44M,75.94M,119.39M,259.04M,378.42M,,,,,,,378.42M,3.949B,,3.949B,,0.00,,42.98M,3.992B,4.370B,,0.851M,-179.93M,3.515B,,-1.202M,3.335B,,AOR,Restated
2010-03,,123.30M,,123.30M,,,,207.34M,,330.63M,0.00,1.480B,6.066B,189.49M,86.61M,580.81M,8.404B,-1.534B,6.870B,73.00M,117.68M,22.46M,7.178B,7.508B,,48.37M,73.80M,122.17M,258.47M,380.64M,,,,,,,380.64M,3.950B,,3.950B,,0.00,,41.94M,3.992B,4.372B,,0.827M,-152.32M,3.288B,,-0.525M,3.136B,,AOR,Restated
2009-12,,105.69M,,105.69M,,,,210.68M,,316.37M,0.00,1.486B,5.980B,185.40M,,531.30M,8.183B,-1.474B,6.709B,74.57M,122.29M,147.83M,7.141B,7.458B,,49.62M,72.77M,122.40M,268.03M,390.43M,,,,,,,390.43M,4.009B,,4.009B,,5.797M,,2.734M,4.011B,4.402B,,0.815M,-149.99M,3.200B,,-1.067M,3.050B,,AOR,Restated
2009-09,223.12M,803.37M,,803.37M,,,,,,803.37M,0.00,1.483B,6.035B,186.61M,26.11M,607.95M,8.339B,-1.482B,6.856B,63.58M,117.69M,,7.143B,7.946B,,49.62M,72.60M,122.22M,267.11M,389.32M,,,,,,,389.32M,4.433B,,4.433B,,4.539M,,37.14M,4.470B,4.859B,,0.814M,,3.192B,,-109.86M,3.083B,,AOR,Restated
2009-06,,456.06M,,456.06M,,,,27.86M,,483.92M,0.00,1.438B,5.875B,183.64M,,783.93M,8.280B,-1.459B,6.822B,65.09M,109.37M,,7.090B,7.574B,,55.26M,71.35M,126.61M,260.95M,387.56M,,,,,,39.44M,427.00M,4.150B,,4.150B,,0.00,,6.722M,4.157B,4.584B,,0.799M,,3.088B,,-97.86M,2.991B,,AOR,Restated
2009-03,169.66M,288.85M,,288.85M,,,,,,288.85M,0.00,1.411B,5.728B,179.30M,8.041M,816.95M,8.144B,-1.405B,6.738B,56.23M,95.26M,,6.985B,7.273B,,57.07M,71.33M,128.40M,251.97M,380.37M,3.442B,,359.00M,3.801B,3.801B,44.12M,4.226B,,,,,,,,6.281M,4.232B,,0.799M,,3.084B,,-43.51M,3.041B,,AOR,Restated
2008-12,,64.94M,,64.94M,,,,192.68M,,257.62M,0.00,1.359B,5.281B,170.47M,240.98M,867.04M,7.918B,-1.269B,6.650B,55.02M,88.72M,29.71M,6.917B,7.174B,,64.36M,208.21M,272.57M,250.93M,523.50M,,,,,,,523.50M,3.655B,,3.655B,,10.23M,,69.78M,3.725B,4.248B,,0.771M,-22.22M,2.940B,,-2.932M,2.916B,,AOR,Restated
2008-09,207.66M,319.54M,,319.54M,,,,,,319.54M,0.00,1.356B,5.393B,169.16M,28.70M,882.46M,7.829B,-1.302B,6.527B,56.36M,91.91M,,6.772B,7.091B,,61.76M,70.98M,132.74M,235.82M,368.56M,3.402B,,25.00M,3.427B,3.427B,,3.796B,,,,,16.69M,,68.05M,68.05M,3.864B,,0.811M,,3.032B,0.04M,178.31M,3.211B,,AOR,Restated
2008-06,106.98M,114.33M,,114.33M,,,72.35M,,,186.68M,0.00,1.021B,5.257B,163.22M,413.02M,957.50M,7.811B,-1.281B,6.531B,63.44M,110.45M,,6.704B,6.922B,,75.38M,70.92M,146.30M,229.20M,375.50M,3.424B,,,3.424B,3.424B,,3.799B,,,,,19.27M,,,,3.865B,,0.81M,,3.023B,0.04M,13.29M,3.038B,,AOR,Restated
2008-03,,398.51M,60.47M,458.98M,,,82.05M,128.19M,,669.22M,,,,,,,7.725B,-1.267B,6.458B,60.47M,,,6.518B,7.120B,,115.63M,70.89M,186.52M,190.13M,376.65M,,,,1.844B,1.844B,,2.220B,1.835B,,1.835B,,19.65M,,,1.835B,4.129B,,0.81M,-40.68M,3.015B,0.04M,-3.602M,2.972B,,AOR,Restated
2007-12,,20.27M,,20.27M,,,,188.26M,,208.54M,0.00,1.254B,4.833B,151.98M,269.52M,946.81M,7.456B,-1.159B,6.297B,57.99M,88.42M,29.24M,6.528B,6.736B,,91.28M,67.91M,159.18M,271.83M,431.01M,,,,,,,431.01M,3.158B,,3.158B,,23.15M,,97.60M,3.256B,3.687B,,0.813M,2.499M,3.027B,0.04M,-3.366M,3.027B,,AOR,Restated
2007-09,,234.45M,76.52M,310.97M,,,57.47M,195.41M,,563.85M,,,,,,,7.394B,-1.212B,6.181B,46.20M,,,6.228B,6.633B,,97.63M,69.11M,166.75M,200.86M,367.60M,,,,2.003B,2.003B,,2.371B,1.051B,,1.051B,,23.15M,,,1.051B,3.509B,,0.827M,27.45M,3.075B,0.04M,-3.056M,3.100B,,AOR,Restated
2007-06,,358.19M,38.56M,396.74M,,,50.81M,220.42M,,667.98M,,,,,,,7.172B,-1.182B,5.990B,38.56M,,,6.029B,6.543B,,102.63M,69.95M,172.58M,187.70M,360.29M,,,,2.153B,2.153B,,2.514B,761.39M,,761.39M,,24.88M,,,761.39M,3.368B,,0.837M,43.32M,3.108B,0.04M,-2.669M,3.150B,,AOR,Restated
2007-03,,356.44M,40.24M,396.68M,,,46.63M,132.12M,,575.43M,,,,,,,6.904B,-1.149B,5.755B,40.24M,,,5.795B,6.424B,,58.84M,69.87M,128.72M,29.23M,157.94M,,,,2.153B,2.153B,,2.311B,654.72M,,654.72M,192.43M,21.95M,,,847.15M,3.241B,,0.836M,63.96M,3.100B,0.04M,-3.407M,3.161B,,AOR,Restated
2006-12,,8.284M,,8.284M,,,,135.92M,,144.20M,0.00,1.146B,4.501B,141.30M,,641.78M,6.431B,-1.080B,5.350B,42.72M,65.50M,186.49M,5.704B,5.849B,,59.23M,60.42M,119.65M,229.21M,348.86M,,,,,,,348.86M,2.801B,,2.801B,,18.31M,,37.65M,2.908B,3.257B,,0.787M,93.43M,2.483B,0.04M,-3.579M,2.573B,,AOR,Restated
2006-09,,186.88M,,186.88M,,,51.60M,30.41M,,268.90M,,,,,,,6.252B,-1.058B,5.194B,49.05M,,,5.243B,5.591B,,53.76M,60.36M,114.12M,26.18M,140.30M,,,,,,,140.30M,487.02M,,487.02M,89.20M,5.446M,,,576.23M,2.945B,,0.786M,162.90M,2.476B,0.04M,-3.799M,2.635B,,AOR,Restated
2006-06,,43.35M,,43.35M,,,48.77M,30.57M,,122.69M,,,,,,,6.074B,-1.019B,5.055B,50.67M,,,5.106B,5.272B,,44.47M,60.22M,104.69M,34.48M,139.18M,,,,,,,139.18M,2.340B,,2.340B,108.72M,5.483M,,,2.449B,2.626B,,0.784M,178.19M,2.465B,0.04M,-3.285M,2.641B,,AOR,Restated
2006-03,,85.64M,,85.64M,,,43.11M,29.73M,,158.48M,,,,,,,5.893B,-964.00M,4.929B,41.21M,,,4.970B,5.169B,,33.04M,60.16M,93.20M,27.84M,121.04M,,,,,,,121.04M,2.299B,,2.299B,80.79M,5.511M,,,2.380B,2.539B,,0.783M,168.47M,2.459B,0.04M,-3.929M,2.625B,,AOR,Restated
2005-12,,54.37M,,54.37M,,,47.22M,48.27M,,149.86M,,,,,,,5.884B,-938.30M,4.946B,41.94M,,,4.988B,5.165B,,62.85M,54.48M,117.33M,82.56M,199.89M,,,,,,,199.89M,2.367B,,2.367B,,19.46M,,,2.367B,2.604B,,0.777M,115.79M,2.443B,0.04M,-4.47M,2.542B,,AOR,Restated
2005-09,,58.37M,,58.37M,,,62.67M,56.11M,,177.15M,,,,,,,5.794B,-902.12M,4.892B,41.06M,,,4.933B,5.133B,,18.31M,54.38M,72.69M,28.15M,100.83M,,,,,,,100.83M,2.399B,,2.399B,83.35M,19.46M,,,2.483B,2.623B,,0.775M,73.55M,2.437B,0.04M,-5.037M,2.491B,,AOR,Restated
2005-06,,17.42M,,17.42M,,,54.16M,14.54M,,86.13M,,,,,,,5.811B,-895.44M,4.915B,41.67M,,,4.957B,5.115B,,20.31M,54.20M,74.52M,34.27M,108.78M,,,,,,,108.78M,2.439B,,2.439B,76.37M,20.22M,,,2.516B,2.662B,,0.773M,28.81M,2.426B,0.04M,-6.15M,2.432B,,AOR,Restated
2005-03,,17.11M,,17.11M,,,53.04M,13.62M,,83.77M,,,,,,,5.732B,-861.58M,4.871B,42.32M,,,4.913B,5.065B,,21.40M,53.92M,75.32M,27.71M,103.03M,,,,,,,103.03M,2.407B,,2.407B,85.35M,20.67M,,,2.493B,2.632B,,0.769M,26.09M,2.410B,0.04M,-5.796M,2.413B,,AOR,Restated
2004-12,,14.66M,,14.66M,,,52.08M,13.08M,,79.81M,,,,,,,5.697B,-819.32M,4.878B,41.38M,,,4.919B,5.068B,,23.00M,52.98M,75.99M,37.25M,113.24M,,,,,,,113.24M,2.442B,,2.442B,71.02M,21.52M,,,2.513B,2.661B,,0.766M,10.77M,2.390B,0.04M,-7.096M,2.385B,,AOR,
2004-09,,46.79M,,46.79M,,,42.21M,13.22M,,102.22M,,,,,,,5.714B,-816.19M,4.898B,25.21M,,,4.923B,5.100B,,26.78M,52.66M,79.44M,29.42M,108.86M,,,,,,,108.86M,2.335B,,2.335B,92.40M,22.98M,,,2.427B,2.772B,,0.762M,-50.31M,2.372B,0.04M,-7.753M,2.305B,,AOR,Restated
2004-06,,14.77M,,14.77M,,,37.06M,12.27M,,64.10M,,,,,,,5.622B,-775.89M,4.846B,25.38M,,,4.872B,5.005B,,26.55M,52.49M,79.04M,37.04M,116.08M,,,,,,,116.08M,2.311B,,2.311B,87.04M,23.67M,,,2.398B,2.680B,,0.759M,-43.02M,2.362B,0.04M,-7.277M,2.301B,,AOR,Restated
