,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2017-09,550.50M,550.50M,187.29M,363.21M,11.66M,11.66M,144.99M,26.83M,,47.74M,-47.74M,,156.64M,206.57M,47.74M,-47.74M,79.40M,-47.74M,238.22M,0.024M,238.20M,,,0.049M,,238.25M,211.42M,430.95M,144.99M,285.96M,,1.73,,,,1.535,1.73,,1.72,,,,1.526,1.72,,137.72M,138.31M,1.42,,AOR,Restated
2017-06,530.51M,530.51M,180.25M,350.26M,13.95M,13.95M,141.44M,19.34M,,50.10M,-50.10M,,155.39M,194.87M,50.10M,-50.10M,20.48M,-50.10M,165.25M,0.058M,165.19M,,,0.031M,,165.22M,145.90M,356.79M,141.44M,215.35M,,1.20,,,,1.060,1.20,,1.20,,,,1.060,1.20,,137.58M,138.17M,1.42,,AOR,Restated
2017-03,522.33M,522.33M,175.97M,346.35M,13.21M,13.21M,140.62M,75.90M,,49.30M,-49.30M,,153.83M,192.52M,49.30M,-49.30M,92.57M,-49.30M,235.80M,0.02M,235.78M,,,0.094M,,235.88M,159.98M,425.72M,140.62M,285.10M,,1.72,,,,1.166,1.72,,1.72,,,,1.168,1.72,,137.07M,137.53M,1.42,,AOR,Restated
2016-12,518.24M,518.24M,169.44M,348.80M,10.43M,10.43M,140.02M,83.51M,,49.65M,-49.65M,,150.45M,198.35M,49.65M,-49.65M,93.69M,-49.65M,242.39M,0.21M,242.18M,,,0.052M,,242.24M,158.80M,432.06M,140.02M,292.04M,,1.76,,,,1.151,1.76,,1.76,,,,1.153,1.76,,137.01M,137.52M,1.35,,AOR,Restated
2016-09,516.21M,516.21M,177.13M,339.08M,11.93M,11.93M,131.73M,209.14M,,47.87M,-47.87M,,143.66M,195.43M,47.87M,-47.87M,208.80M,-47.87M,356.35M,0.022M,356.33M,,,0.063M,,356.39M,147.27M,535.95M,131.73M,404.22M,,2.60,,,,1.074,2.60,,2.59,,,,1.069,2.59,,137.00M,137.51M,1.35,,AOR,Restated
2016-06,502.31M,502.31M,170.01M,332.30M,12.01M,12.01M,132.47M,28.97M,,46.58M,-46.58M,,144.48M,187.82M,46.58M,-46.58M,56.12M,-46.58M,197.36M,0.036M,197.32M,,,0.125M,,197.44M,168.48M,376.40M,132.47M,243.94M,,1.44,,,,1.228,1.44,,1.44,,,,1.229,1.44,,136.92M,137.44M,1.35,,AOR,Restated
2016-03,508.50M,508.50M,166.69M,341.80M,11.40M,11.40M,127.22M,50.17M,,43.41M,-43.41M,,138.62M,203.18M,43.41M,-43.41M,78.14M,-43.41M,237.91M,0.037M,237.88M,,,0.054M,,237.93M,187.77M,408.54M,127.22M,281.32M,,1.73,,,,1.363,1.73,,1.73,,,,1.365,1.73,,136.79M,137.38M,1.35,,AOR,Restated
2015-12,480.84M,480.84M,158.24M,322.60M,11.51M,11.51M,122.26M,7.777M,,42.22M,-42.22M,,133.77M,188.83M,42.22M,-42.22M,8.87M,-42.22M,155.49M,0.135M,155.35M,,,0.076M,,155.43M,147.66M,319.96M,122.26M,197.70M,,1.135,0.00,,,1.078,1.13,,1.132,0.00,,,1.075,1.13,,136.71M,137.38M,1.25,,AOR,Restated
2015-09,475.36M,475.36M,166.07M,309.29M,10.46M,10.46M,120.18M,50.15M,,43.23M,-43.23M,,130.65M,178.64M,43.23M,-43.23M,70.71M,-43.23M,206.12M,0.039M,206.08M,,,0.066M,,206.14M,156.00M,369.53M,120.18M,249.35M,,1.54,,,,1.165,1.54,,1.53,,,,1.158,1.53,,133.67M,134.71M,1.25,,AOR,Restated
2015-06,457.46M,457.46M,157.98M,299.48M,10.34M,10.34M,118.63M,33.82M,,44.59M,-44.59M,,128.96M,170.52M,44.59M,-44.59M,47.62M,-44.59M,173.55M,1.293M,172.25M,,,0.071M,,172.32M,138.76M,336.76M,118.63M,218.14M,,1.30,,,,1.046,1.30,,1.29,,,,1.038,1.29,,131.98M,133.09M,1.25,,AOR,Restated
2015-03,442.37M,442.37M,159.95M,282.41M,10.47M,10.47M,116.85M,63.98M,,45.57M,-45.57M,,127.32M,155.09M,45.57M,-45.57M,98.55M,-45.57M,208.07M,0.015M,208.05M,,,0.091M,,208.14M,144.17M,370.49M,116.85M,253.64M,,1.57,,,,1.085,1.57,,1.56,,,,1.080,1.56,,131.88M,133.18M,1.25,,AOR,Restated
2014-12,440.65M,440.65M,152.57M,288.08M,10.68M,10.68M,114.08M,31.33M,,47.99M,-47.99M,,124.76M,163.32M,47.99M,-47.99M,36.56M,-47.99M,151.89M,,142.53M,0.00,,0.112M,,142.64M,122.28M,313.96M,114.08M,199.88M,,1.080,0.00,,,0.9252,1.08,,1.075,0.00,,,0.9217,1.08,,131.85M,132.77M,1.16,,AOR,Restated
2014-09,430.52M,430.52M,150.21M,280.32M,11.29M,11.29M,111.84M,-0.406M,,46.38M,-46.38M,,123.13M,157.19M,46.38M,-46.38M,130.19M,-46.38M,241.00M,,241.00M,0.00,,0.099M,,241.10M,241.36M,399.21M,111.84M,287.38M,,1.83,0.00,,,1.832,1.83,,1.83,0.00,,,1.832,1.83,,131.33M,131.91M,1.16,,AOR,Restated
2014-06,413.81M,413.81M,143.50M,270.31M,10.22M,10.22M,110.40M,58.52M,,43.72M,-43.72M,,120.62M,149.69M,43.72M,-43.72M,66.23M,-43.72M,172.20M,,172.20M,0.00,,-14.11M,,158.09M,120.05M,326.31M,110.40M,215.92M,,1.22,0.00,,,0.9271,1.22,,1.21,0.00,,,0.9180,1.21,,129.86M,130.25M,1.16,,AOR,Restated
2014-03,400.08M,400.08M,143.03M,257.05M,9.236M,9.236M,106.37M,-0.715M,,42.53M,-42.53M,,115.60M,141.44M,42.53M,-42.53M,4.508M,-42.53M,103.42M,,103.42M,38.18M,,0.14M,,141.74M,104.02M,252.32M,106.37M,145.95M,,0.80,0.29,,,0.8036,1.09,,0.80,0.29,,,0.8036,1.09,,129.29M,129.63M,1.16,,AOR,Restated
2013-12,394.17M,394.17M,139.37M,254.80M,8.311M,8.311M,104.80M,-13.69M,,44.63M,-44.63M,,113.12M,141.68M,44.63M,-44.63M,-8.84M,-44.63M,88.21M,,88.21M,163.88M,,0.122M,,252.21M,97.39M,237.64M,104.80M,132.84M,,0.6835,1.268,,,0.7536,1.95,,0.6815,1.264,,,0.7514,1.95,,129.25M,129.63M,1.07,,AOR,Restated
2013-09,389.19M,389.19M,139.04M,250.15M,9.878M,9.878M,159.87M,-2.176M,,43.94M,-43.94M,,169.75M,80.40M,43.94M,-43.94M,-52.40M,-43.94M,-15.95M,,-15.95M,5.063M,,0.17M,,-10.72M,39.88M,187.87M,159.87M,28.00M,,-0.12,0.04,,,0.3108,-0.08,,-0.12,0.04,,,0.3108,-0.08,,129.21M,129.22M,1.07,,AOR,Restated
2013-06,378.21M,378.21M,128.88M,249.33M,11.34M,11.34M,189.98M,-3.806M,,43.17M,-43.17M,,201.32M,48.01M,43.17M,-43.17M,-4.506M,-43.17M,0.334M,,0.334M,35.76M,,0.121M,,36.22M,2.773M,233.48M,189.98M,43.50M,,0.0031,0.28,,,0.0210,0.28,,0.0031,0.28,,,0.0210,0.28,,129.18M,129.60M,1.07,,AOR,Restated
2013-03,301.36M,301.36M,103.73M,197.63M,10.04M,10.04M,105.56M,-40.06M,,38.17M,-38.17M,,115.60M,82.03M,38.17M,-38.17M,-58.62M,-38.17M,-14.77M,,-14.77M,90.24M,,-0.042M,,75.43M,25.25M,128.96M,105.56M,23.41M,,-0.12,0.75,,,0.2147,0.63,,-0.12,0.75,,,0.2135,0.63,,119.68M,120.11M,1.07,,AOR,Restated
2012-12,250.52M,250.52M,87.41M,163.11M,7.703M,7.703M,59.99M,-11.05M,,36.12M,-36.12M,,67.70M,95.42M,36.12M,-36.12M,0.063M,-36.12M,59.36M,,59.36M,63.02M,,-0.027M,,122.36M,66.52M,155.47M,59.99M,95.48M,,0.6661,0.5288,,,0.7362,1.19,,0.6631,0.5264,,,0.7329,1.19,,102.44M,102.90M,0.97,,AOR,Restated
2012-09,261.32M,261.32M,92.95M,168.38M,8.372M,8.372M,62.75M,13.59M,,33.98M,-33.98M,,71.12M,97.25M,33.98M,-33.98M,19.14M,-33.98M,82.41M,,82.41M,4.34M,,0.097M,,86.84M,73.67M,179.14M,59.55M,116.39M,,0.85,0.04,,,0.7590,0.89,,0.85,0.04,,,0.7595,0.89,,97.04M,97.55M,0.97,,AOR,Restated
2012-06,252.44M,252.44M,91.28M,161.17M,8.316M,8.316M,63.22M,-0.901M,,33.19M,-33.19M,,71.54M,89.63M,33.19M,-33.19M,1.452M,-33.19M,57.89M,,57.89M,98.93M,,0.088M,,156.91M,58.38M,154.30M,62.57M,91.08M,,0.61,1.03,,,0.6142,1.64,,0.60,1.03,,,0.6042,1.63,,95.31M,95.99M,0.97,,AOR,Restated
2012-03,246.03M,246.03M,88.21M,157.82M,9.71M,9.71M,61.57M,-1.418M,,33.63M,-33.63M,,71.28M,86.54M,33.63M,-33.63M,0.757M,-33.63M,53.67M,,53.67M,3.935M,,0.149M,,57.76M,54.74M,148.87M,61.57M,87.30M,,0.57,0.04,,,0.5797,0.61,,0.56,0.04,,,0.5696,0.60,,94.86M,95.65M,0.97,,AOR,Restated
2011-12,194.06M,194.06M,69.39M,124.68M,,7.847M,45.78M,-18.62M,,,-37.64M,,53.62M,71.06M,,-37.64M,-3.30M,-37.64M,30.12M,,30.12M,292.85M,,0.12M,,323.08M,42.34M,116.71M,39.77M,70.93M,,0.30,3.25,,,0.4278,3.55,,0.30,3.23,,,0.4267,3.54,,94.75M,95.51M,0.8925,,AOR,Restated
2011-09,243.72M,243.72M,92.01M,151.71M,,6.087M,60.89M,-0.336M,,,-42.66M,,66.98M,84.73M,,-42.66M,2.279M,-42.66M,44.35M,,44.35M,0.327M,,0.147M,,44.82M,44.72M,147.47M,62.74M,84.73M,,0.49,0.00,,,0.4924,0.49,,0.49,0.00,,,0.4924,0.49,,91.39M,92.34M,0.8925,,AOR,Restated
2011-06,235.58M,235.58M,87.22M,148.36M,,8.145M,60.84M,0.00,,,-44.54M,,68.98M,79.38M,,-44.54M,0.395M,-44.54M,35.23M,,35.23M,7.958M,,0.181M,,43.37M,35.42M,142.30M,62.92M,79.38M,,0.41,0.09,,,0.41,0.50,,0.40,0.09,,,0.40,0.49,,87.32M,88.20M,0.8925,,AOR,Restated
2011-03,228.53M,228.53M,87.91M,140.62M,,7.292M,59.65M,0.00,,42.97M,-42.97M,,66.94M,73.68M,42.97M,-42.97M,0.503M,-42.97M,31.21M,,31.21M,-0.676M,,-0.196M,,30.34M,31.02M,135.48M,61.30M,74.18M,,0.36,-0.01,,,0.36,0.35,,0.36,-0.01,,,0.36,0.35,,86.17M,87.00M,0.8925,,AOR,Restated
2010-12,185.49M,185.49M,74.06M,111.43M,,6.871M,50.74M,0.00,,,-41.74M,,57.62M,53.81M,,-41.74M,0.398M,-41.74M,12.47M,,12.47M,14.19M,,0.362M,,27.03M,12.84M,105.32M,48.24M,54.58M,,0.14,0.17,,,0.14,0.31,,0.14,0.16,,,0.14,0.31,,85.28M,86.14M,0.8925,,AOR,Restated
2010-09,225.56M,225.56M,89.79M,135.76M,,7.039M,57.93M,0.00,,,-44.26M,,64.96M,70.80M,,-44.26M,-0.325M,-44.26M,26.21M,,26.21M,-2.232M,,0.674M,,24.65M,26.89M,129.55M,58.75M,70.80M,,0.32,-0.03,,,0.32,0.29,,0.32,-0.03,,,0.32,0.29,,84.97M,85.77M,0.8925,,AOR,
2010-06,220.34M,220.34M,88.89M,131.46M,,4.041M,57.32M,,,,-41.46M,,61.36M,70.10M,,-41.46M,0.463M,-41.46M,29.10M,,29.10M,21.96M,,0.059M,,51.12M,29.16M,127.58M,57.48M,70.10M,,0.35,0.26,,,0.35,0.61,,0.35,0.26,,,0.35,0.61,,83.52M,84.25M,0.8925,,AOR,Restated
2010-03,215.45M,215.45M,88.07M,127.38M,,8.895M,55.97M,,,42.54M,-42.54M,,64.87M,62.51M,42.54M,-42.54M,0.227M,-42.54M,20.20M,,20.20M,52.17M,,0.157M,,72.52M,20.36M,118.84M,56.10M,62.74M,,0.25,0.64,,,0.25,0.89,,0.25,0.63,,,0.25,0.88,,81.64M,82.31M,0.8925,,AOR,Restated
2009-12,193.11M,193.11M,70.65M,122.46M,,10.36M,50.49M,-22.17M,,,-37.25M,,61.91M,60.55M,,-37.25M,-24.87M,-37.25M,,,-1.565M,33.92M,,0.044M,,32.39M,12.89M,117.14M,56.59M,60.55M,,-0.03,0.42,,,0.1474,0.39,,-0.03,0.42,,,0.1460,0.39,,81.24M,81.89M,0.8925,,AOR,Restated
2009-09,215.04M,215.04M,87.79M,127.26M,,5.75M,52.99M,0.241M,,,-41.20M,,58.74M,68.52M,,-41.20M,0.431M,-41.20M,,,27.75M,30.36M,,0.053M,,58.15M,27.64M,123.84M,55.32M,68.52M,,0.34,0.38,,,0.3380,0.72,,0.34,0.38,,,0.3381,0.72,,80.13M,80.61M,0.8925,,AOR,Restated
2009-06,212.26M,212.26M,85.95M,126.31M,,5.39M,51.17M,-20.30M,,36.88M,-36.88M,,56.56M,69.75M,36.88M,-36.88M,-19.81M,-36.88M,,,13.06M,3.664M,,0.951M,,17.67M,27.21M,123.49M,53.74M,69.75M,,0.17,0.05,,,0.3357,0.22,,0.17,0.05,,,0.3349,0.22,,79.66M,80.04M,0.8925,,AOR,Restated
2009-03,209.73M,209.73M,83.67M,126.07M,,7.247M,50.07M,,,,-30.13M,-1.062M,56.26M,69.81M,,-30.13M,3.457M,-30.13M,,,43.14M,3.965M,,0.324M,,47.42M,43.46M,122.45M,52.64M,69.81M,,0.55,0.05,,,0.55,0.60,,0.54,0.05,,,0.54,0.59,,78.75M,79.79M,0.8925,,AOR,Restated
2008-12,189.54M,189.54M,81.98M,107.56M,,15.96M,42.86M,-57.90M,,29.29M,-29.29M,,56.98M,50.58M,29.29M,-29.29M,-57.66M,-29.29M,,,-36.38M,38.24M,,0.257M,3.929M,2.123M,1.516M,101.53M,50.96M,50.58M,,-0.52,0.50,,,-0.0304,-0.02,,-0.52,0.49,,,-0.0361,-0.03,,76.87M,77.77M,0.8925,,AOR,Restated
2008-09,215.39M,215.39M,83.51M,131.88M,,9.318M,48.70M,0.00,,28.36M,-28.36M,,58.02M,73.87M,28.36M,-28.36M,0.495M,-28.36M,,,46.00M,186.89M,,0.695M,2.175M,233.58M,46.69M,124.22M,50.36M,73.87M,,0.58,2.42,,,0.58,3.00,,0.58,2.40,,,0.58,2.98,,76.83M,77.58M,0.8925,,AOR,Restated
2008-06,211.19M,211.19M,80.16M,44.40M,,9.383M,47.65M,0.00,,29.60M,-29.60M,,57.03M,74.00M,29.60M,-29.60M,3.80M,-29.60M,,,48.20M,79.24M,,-0.105M,2.175M,127.33M,48.09M,123.35M,49.35M,74.00M,,0.60,1.03,,,0.60,1.63,,0.59,1.02,,,0.59,1.61,,76.75M,77.58M,0.8925,,AOR,Restated
2008-03,204.17M,204.17M,59.75M,144.42M,,8.119M,45.94M,,19.00M,27.66M,-27.66M,,73.06M,71.36M,27.66M,-27.66M,0.034M,-27.66M,,,43.74M,4.82M,,-0.106M,2.175M,48.56M,43.74M,120.16M,48.79M,71.36M,,0.54,0.06,,,0.54,0.60,,0.54,0.06,,,0.54,0.60,,76.60M,77.44M,0.8925,,AOR,Restated
2007-12,200.55M,200.55M,134.41M,66.15M,,8.427M,44.36M,0.00,,25.55M,-25.55M,,0.811M,65.34M,25.55M,-25.55M,59.17M,-25.55M,,,98.95M,32.87M,,-0.349M,2.175M,131.82M,98.95M,112.51M,47.18M,65.34M,,1.24,0.42,,,1.24,1.66,,1.22,0.42,,,1.22,1.64,,77.89M,78.84M,0.85,,AOR,Restated
2007-09,196.53M,196.53M,58.64M,137.90M,,6.645M,42.89M,0.00,17.96M,24.33M,-24.33M,,67.49M,70.40M,24.33M,-24.33M,0.00,-24.33M,,,45.68M,83.08M,,-0.331M,2.175M,128.77M,45.68M,113.30M,38.73M,70.40M,,0.55,1.05,,,0.55,1.60,,0.54,1.04,,,0.54,1.58,,78.96M,80.02M,0.85,,AOR,Restated
2007-06,190.92M,190.92M,,,6.642M,6.642M,41.55M,0.00,18.00M,,-21.91M,55.84M,122.03M,68.90M,,-21.91M,0.00,-21.91M,,,46.33M,4.723M,,-0.457M,,51.05M,46.33M,120.62M,51.73M,68.90M,,0.56,0.06,,,0.56,0.62,,0.55,0.06,,,0.55,0.61,,79.43M,80.65M,0.85,,AOR,Restated
2007-03,188.62M,188.62M,,,6.78M,6.78M,42.01M,0.545M,,,,72.44M,121.23M,67.38M,,,0.545M,,,,44.20M,2.315M,,-0.449M,2.175M,46.52M,43.85M,111.48M,44.09M,67.38M,,0.54,0.03,,,0.5354,0.57,,0.53,0.03,,,0.5255,0.56,,77.80M,79.19M,0.85,,AOR,Restated
2006-12,175.09M,189.79M,,,,6.372M,40.76M,-0.152M,413.56M,,,,-94.78M,67.43M,,,-6.941M,,,,45.14M,1.178M,,,2.175M,46.31M,45.23M,108.18M,33.48M,67.43M,,0.58,0.01,,,0.5812,0.59,,0.58,0.01,,,0.5812,0.59,,74.66M,75.80M,0.78,,AOR,Restated
2006-09,183.65M,183.65M,,,5.633M,5.633M,39.75M,0.505M,,,,71.78M,117.16M,66.48M,,,0.505M,,,,40.96M,1.15M,,-0.135M,2.175M,42.11M,40.66M,109.09M,42.61M,66.48M,,0.52,0.02,,,0.5159,0.54,,0.51,0.02,,,0.5060,0.53,,73.96M,75.35M,0.78,,AOR,Restated
2006-06,179.08M,179.08M,,,6.479M,6.479M,41.28M,0.00,,,,70.44M,118.20M,60.88M,,,0.00,,,,34.84M,32.16M,,-0.128M,2.175M,67.01M,34.84M,103.54M,42.66M,60.88M,,0.44,0.43,,,0.44,0.87,,0.43,0.43,,,0.43,0.86,,74.52M,75.38M,0.78,,AOR,Restated
2006-03,175.16M,175.16M,,,,6.283M,40.22M,13.17M,,,,68.63M,115.14M,60.02M,,,13.17M,,,,44.62M,66.49M,,-0.132M,2.175M,111.11M,36.72M,105.40M,45.38M,60.02M,,0.58,0.90,,,0.4727,1.48,,0.57,0.88,,,0.4649,1.45,,73.61M,75.13M,0.78,,AOR,Restated
2005-12,145.85M,157.43M,,,,6.483M,38.97M,-0.138M,391.23M,,,,-81.07M,40.51M,,,0.962M,,,,11.14M,73.68M,,,2.175M,84.82M,11.22M,79.48M,36.48M,40.51M,,0.12,1.01,,,0.1211,1.13,,0.12,0.98,,,0.1211,1.10,,73.41M,76.20M,0.71,,AOR,Restated
2005-09,171.02M,170.82M,,,5.857M,5.857M,38.79M,0.00,-111.97M,,,179.29M,111.97M,58.85M,,,0.00,,,,26.95M,72.18M,,0.315M,2.175M,99.13M,26.95M,181.16M,122.31M,58.85M,,0.34,0.98,,,0.34,1.32,,0.33,0.97,,,0.33,1.30,,73.45M,74.58M,0.71,,AOR,Restated
2005-06,170.45M,165.65M,,,6.262M,6.262M,39.38M,4.617M,-107.96M,,,170.27M,107.96M,57.70M,,,9.234M,,,,30.04M,26.87M,,-0.337M,2.175M,56.91M,24.50M,97.07M,1.92M,57.70M,,0.38,0.37,,,0.3041,0.75,,0.38,0.36,,,0.3051,0.74,,72.98M,73.97M,0.71,,AOR,Restated
2005-03,166.56M,159.98M,,,7.159M,7.159M,38.87M,0.00,-106.54M,,,167.04M,106.54M,53.44M,,,0.00,,,,27.39M,42.22M,,-0.513M,2.175M,69.61M,27.39M,92.31M,2.583M,53.44M,,0.35,0.58,,,0.35,0.93,,0.35,0.57,,,0.35,0.92,,72.51M,73.30M,0.71,,AOR,Restated
2004-12,196.33M,195.80M,,,4.976M,4.976M,47.16M,,-126.01M,,,199.62M,125.76M,70.05M,,,,,,,37.33M,76.74M,0.00,0.646M,2.175M,114.07M,37.33M,117.21M,41.61M,70.05M,,0.49,1.07,0.00,,0.49,1.56,,0.49,1.03,-0.0008,,0.49,1.53,,72.17M,75.11M,0.70,,AOR,
2004-09,156.21M,155.91M,,,3.898M,3.898M,39.70M,,-105.57M,,,167.29M,105.32M,50.59M,,,,,,,16.96M,28.40M,0.00,-0.547M,2.175M,45.37M,16.96M,94.39M,43.79M,50.59M,,0.20,0.40,0.00,,0.20,0.60,,0.20,0.40,0.00,,0.20,0.60,,71.98M,71.98M,0.70,,AOR,Restated
