,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-03,4.731B,4.731B,3.407B,1.324B,,,1.079B,,,,66.00M,2.00M,-64.00M,-2.00M,1.077B,247.00M,2.00M,66.00M,-64.00M,-9.00M,-64.00M,174.00M,104.00M,97.00M,,,-4.00M,93.00M,93.00M,451.00M,211.00M,240.00M,0.27,,,,0.27,0.27,0.26,,,,0.26,0.26,350.40M,352.60M,1.0
2017-12,4.603B,4.603B,2.995B,1.608B,,,753.00M,,,,72.00M,3.00M,-69.00M,,780.00M,828.00M,3.00M,72.00M,-69.00M,-16.00M,-69.00M,743.00M,143.00M,625.00M,,,-8.00M,617.00M,617.00M,999.00M,184.00M,815.00M,1.76,,,,1.76,1.76,1.75,,,,1.75,1.75,351.20M,353.50M,0.97
2017-09,4.665B,4.665B,2.998B,1.667B,,,807.00M,,,,78.00M,3.00M,-75.00M,-8.00M,799.00M,868.00M,3.00M,78.00M,-75.00M,-14.00M,-75.00M,779.00M,224.00M,579.00M,,,-12.00M,567.00M,567.00M,1.039B,182.00M,857.00M,1.61,,,,1.61,1.61,1.6,,,,1.6,1.6,352.70M,354.80M,0.97
2017-06,4.576B,4.576B,2.924B,1.652B,,,835.00M,,,,85.00M,2.00M,-83.00M,3.00M,838.00M,814.00M,2.00M,85.00M,-83.00M,-15.00M,-83.00M,716.00M,202.00M,540.00M,,,-9.00M,531.00M,531.00M,981.00M,180.00M,801.00M,1.5,,,,1.5,1.5,1.49,,,,1.49,1.49,354.40M,356.70M,0.97
2017-03,4.504B,4.504B,2.844B,1.66B,,,807.00M,,,,83.00M,2.00M,-81.00M,5.00M,812.00M,848.00M,2.00M,83.00M,-81.00M,-14.00M,-81.00M,753.00M,207.00M,575.00M,,,-12.00M,563.00M,563.00M,1.014B,178.00M,836.00M,1.58,,,,1.58,1.58,1.57,,,,1.57,1.57,356.00M,358.60M,0.97
2016-12,4.629B,4.629B,2.911B,1.718B,,,795.00M,,,,81.00M,2.00M,-79.00M,18.00M,813.00M,905.00M,2.00M,81.00M,-79.00M,,-79.00M,760.00M,271.00M,518.00M,,,-13.00M,505.00M,505.00M,1.018B,177.00M,841.00M,1.41,,,,1.41,1.41,1.4,,,,1.4,1.4,357.60M,359.60M,0.92
2016-09,4.594B,4.594B,2.924B,1.67B,,,833.00M,,,,81.00M,2.00M,-79.00M,1.00M,834.00M,836.00M,2.00M,81.00M,-79.00M,,-79.00M,757.00M,227.00M,563.00M,,,-13.00M,550.00M,550.00M,1.017B,179.00M,838.00M,1.53,,,,1.53,1.53,1.52,,,,1.52,1.52,359.20M,361.50M,0.92
2016-06,4.588B,4.588B,2.924B,1.664B,,,847.00M,,,,81.00M,3.00M,-78.00M,-21.00M,826.00M,838.00M,3.00M,81.00M,-78.00M,,-78.00M,760.00M,217.00M,578.00M,,,-12.00M,566.00M,566.00M,1.018B,177.00M,841.00M,1.57,,,,1.57,1.57,1.56,,,,1.56,1.56,360.00M,362.40M,0.92
2016-03,4.476B,4.476B,2.837B,1.639B,,,825.00M,,,,76.00M,4.00M,-72.00M,10.00M,835.00M,804.00M,4.00M,76.00M,-72.00M,,-72.00M,732.00M,207.00M,560.00M,,,-15.00M,545.00M,545.00M,980.00M,172.00M,808.00M,1.51,,,,1.51,1.51,1.5,,,,1.5,1.5,360.70M,363.40M,0.92
2015-12,4.539B,4.539B,2.913B,1.626B,,,857.00M,,,,76.00M,5.00M,-71.00M,139.00M,996.00M,630.00M,5.00M,76.00M,-71.00M,,-71.00M,559.00M,252.00M,344.00M,,,-11.00M,333.00M,333.00M,816.00M,181.00M,635.00M,0.92,0.0,,,0.92,0.92,0.91,0.0,,,0.91,0.91,361.70M,364.50M,0.88
2015-09,4.718B,4.718B,3.036B,1.682B,,,868.00M,,,,74.00M,4.00M,-70.00M,35.00M,903.00M,779.00M,4.00M,74.00M,-70.00M,,-70.00M,709.00M,217.00M,529.00M,,,-12.00M,517.00M,517.00M,965.00M,182.00M,783.00M,1.42,,,,1.42,1.42,1.41,,,,1.41,1.41,363.90M,366.20M,0.88
2015-06,4.643B,4.643B,2.986B,1.657B,,,869.00M,,,,73.00M,4.00M,-69.00M,1.332B,2.201B,-544.00M,4.00M,73.00M,-69.00M,,-69.00M,-613.00M,-281.00M,-293.00M,,,-12.00M,-305.00M,-305.00M,-351.00M,189.00M,-540.00M,-0.84,,,,-0.84,-0.84,-0.84,,,,-0.84,-0.84,364.30M,366.70M,0.88
2015-03,4.691B,4.691B,3.032B,1.659B,,,849.00M,,,,72.00M,4.00M,-68.00M,62.00M,911.00M,748.00M,4.00M,72.00M,-68.00M,,-68.00M,680.00M,230.00M,486.00M,,,-18.00M,468.00M,468.00M,946.00M,194.00M,752.00M,1.28,,,,1.28,1.28,1.27,,,,1.27,1.27,365.20M,367.90M,0.88
2014-12,4.828B,4.828B,3.275B,1.553B,,,971.00M,,,,69.00M,5.00M,-64.00M,424.00M,1.395B,158.00M,5.00M,69.00M,-64.00M,,-64.00M,94.00M,175.00M,-48.00M,-15.00M,,-20.00M,-83.00M,-68.00M,370.00M,207.00M,163.00M,-0.18,-0.04,,,-0.18,-0.22,-0.18,-0.04,,,-0.18,-0.22,370.00M,373.20M,0.84
2014-09,5.056B,5.056B,3.291B,1.765B,,,904.00M,,,,72.00M,5.00M,-67.00M,-16.00M,888.00M,877.00M,5.00M,72.00M,-67.00M,,-67.00M,810.00M,260.00M,581.00M,1.00M,,-20.00M,562.00M,561.00M,1.102B,220.00M,882.00M,1.5,0.0,,,1.5,1.51,1.49,0.0,,,1.49,1.5,373.30M,375.90M,0.84
2014-06,4.953B,4.953B,3.253B,1.70B,,,938.00M,,,,72.00M,5.00M,-67.00M,-13.00M,925.00M,775.00M,5.00M,72.00M,-67.00M,,-67.00M,708.00M,225.00M,522.00M,8.00M,,-21.00M,509.00M,501.00M,997.00M,217.00M,780.00M,1.33,0.02,,,1.33,1.35,1.32,0.02,,,1.32,1.35,375.80M,378.40M,0.84
2014-03,4.887B,4.887B,3.222B,1.665B,,,896.00M,,,,71.00M,3.00M,-68.00M,58.00M,954.00M,711.00M,3.00M,71.00M,-68.00M,,-68.00M,643.00M,196.00M,490.00M,56.00M,,-8.00M,538.00M,482.00M,932.00M,218.00M,714.00M,1.27,0.15,,,1.27,1.42,1.26,0.15,,,1.26,1.41,379.00M,382.10M,0.84
2013-12,3.714B,3.714B,2.532B,1.182B,,,670.00M,,,,71.00M,4.00M,-67.00M,-5.00M,665.00M,517.00M,4.00M,71.00M,-67.00M,,-67.00M,450.00M,143.00M,355.00M,,,-19.00M,539.00M,336.00M,743.00M,222.00M,521.00M,1.41,,,,1.41,1.41,1.4,,,,1.4,1.4,381.30M,385.20M,0.81
2013-09,5.262B,5.262B,3.457B,1.805B,,,990.00M,,,,73.00M,6.00M,-67.00M,8.00M,998.00M,807.00M,6.00M,73.00M,-67.00M,,-67.00M,740.00M,224.00M,565.00M,,,-19.00M,546.00M,546.00M,1.021B,208.00M,813.00M,1.43,,,,1.43,1.43,1.42,,,,1.42,1.42,382.80M,385.80M,0.81
2013-06,5.267B,5.267B,3.467B,1.80B,,,1.012B,,,,71.00M,5.00M,-66.00M,-8.00M,1.004B,796.00M,5.00M,71.00M,-66.00M,,-66.00M,730.00M,238.00M,547.00M,,,-21.00M,526.00M,526.00M,1.013B,212.00M,801.00M,1.37,,,,1.37,1.37,1.36,,,,1.36,1.36,384.70M,387.80M,0.81
2013-03,5.318B,5.318B,3.496B,1.822B,,,1.027B,,,,67.00M,5.00M,-62.00M,12.00M,1.039B,783.00M,5.00M,67.00M,-62.00M,,-62.00M,721.00M,223.00M,551.00M,,,-20.00M,531.00M,531.00M,1.009B,221.00M,788.00M,1.37,,,,1.37,1.37,1.36,,,,1.36,1.36,387.30M,390.50M,0.81
2012-12,3.711B,3.711B,2.807B,904.00M,,,754.00M,,,,73.00M,5.00M,-68.00M,10.00M,764.00M,140.00M,5.00M,73.00M,-68.00M,,-68.00M,72.00M,39.00M,85.00M,,,-19.00M,267.00M,66.00M,360.00M,215.00M,145.00M,0.6858,,,,0.6858,0.6858,0.68,,,,0.68,0.68,390.60M,393.10M,0.74
2012-09,5.246B,5.246B,3.48B,1.766B,,,988.00M,,,,70.00M,4.00M,-66.00M,-5.00M,983.00M,783.00M,4.00M,70.00M,-66.00M,,-66.00M,717.00M,223.00M,537.00M,,,-20.00M,517.00M,517.00M,997.00M,210.00M,787.00M,1.31,,,,1.31,1.31,1.3,,,,1.3,1.3,393.90M,396.70M,0.74
2012-06,5.269B,5.269B,3.514B,1.755B,,,1.019B,,,,71.00M,5.00M,-66.00M,-18.00M,1.001B,754.00M,5.00M,71.00M,-66.00M,,-66.00M,688.00M,213.00M,518.00M,,,-20.00M,498.00M,498.00M,973.00M,214.00M,759.00M,1.27,,,,1.27,1.27,1.26,,,,1.26,1.26,393.60M,396.50M,0.74
2012-03,5.241B,5.241B,3.537B,1.704B,,,996.00M,,,,71.00M,4.00M,-67.00M,8.00M,1.004B,700.00M,4.00M,71.00M,-67.00M,,-67.00M,633.00M,185.00M,487.00M,,,-19.00M,468.00M,468.00M,922.00M,218.00M,704.00M,1.19,,,,1.19,1.19,1.18,,,,1.18,1.18,393.80M,397.10M,0.74
2011-12,5.176B,5.176B,3.632B,1.544B,,,957.00M,,,,72.00M,5.00M,-67.00M,-24.00M,933.00M,611.00M,5.00M,72.00M,-67.00M,,-67.00M,544.00M,161.00M,422.00M,,,-21.00M,401.00M,401.00M,886.00M,270.00M,616.00M,1.02,,,,1.02,1.02,1.01,,,,1.01,1.01,394.50M,398.00M,0.7
2011-09,5.382B,5.382B,3.794B,1.588B,943.00M,,943.00M,,,,70.00M,5.00M,-65.00M,-17.00M,926.00M,662.00M,5.00M,70.00M,-65.00M,,-65.00M,597.00M,174.00M,458.00M,,,-26.00M,432.00M,432.00M,958.00M,291.00M,667.00M,1.1,0.0,,,1.1,1.1,1.09,0.0,,,1.09,1.09,392.20M,395.20M,0.7
2011-06,5.259B,5.259B,3.702B,1.557B,940.00M,,940.00M,,,,71.00M,4.00M,-67.00M,-8.00M,932.00M,625.00M,4.00M,71.00M,-67.00M,,-67.00M,558.00M,173.00M,432.00M,,,-24.00M,408.00M,408.00M,916.00M,287.00M,629.00M,1.04,0.0,,,1.04,1.04,1.03,0.0,,,1.03,1.03,393.30M,396.00M,0.7
2011-03,5.029B,5.029B,3.566B,1.463B,921.00M,,921.00M,,,,64.00M,4.00M,-60.00M,-2.00M,919.00M,544.00M,4.00M,64.00M,-60.00M,,-60.00M,484.00M,152.00M,372.00M,,,-22.00M,350.00M,350.00M,791.00M,243.00M,548.00M,0.87,0.0,,,0.87,0.87,0.86,0.0,,,0.86,0.86,403.40M,405.90M,0.7
2010-12,5.075B,5.075B,3.43B,1.645B,,,954.00M,,,,63.00M,4.00M,-59.00M,-8.00M,946.00M,699.00M,4.00M,63.00M,-59.00M,,-59.00M,640.00M,171.00M,520.00M,,,-28.00M,492.00M,492.00M,909.00M,206.00M,703.00M,1.2,,,,1.2,1.2,1.2,,,,1.2,1.2,411.80M,411.80M,0.66
2010-09,4.979B,4.979B,3.365B,1.614B,909.00M,,909.00M,,,,59.00M,5.00M,-54.00M,7.00M,916.00M,698.00M,5.00M,59.00M,-54.00M,,-54.00M,644.00M,195.00M,489.00M,,,-20.00M,469.00M,469.00M,908.00M,205.00M,703.00M,1.14,0.0,,,1.14,1.14,1.14,0.0,,,1.14,1.14,409.00M,412.60M,0.66
2010-06,4.857B,4.857B,3.213B,1.644B,929.00M,,929.00M,,,,60.00M,6.00M,-54.00M,4.00M,933.00M,711.00M,6.00M,60.00M,-54.00M,,-54.00M,657.00M,181.00M,523.00M,,,-25.00M,498.00M,498.00M,926.00M,209.00M,717.00M,1.2,0.0,,,1.2,1.2,1.2,0.0,,,1.2,1.2,413.70M,415.60M,0.66
2010-03,4.835B,4.835B,3.188B,1.647B,881.00M,,881.00M,,,,61.00M,5.00M,-56.00M,101.00M,982.00M,665.00M,5.00M,61.00M,-56.00M,,-56.00M,609.00M,241.00M,411.00M,,,-27.00M,384.00M,384.00M,863.00M,193.00M,670.00M,0.92,0.0,,,0.92,0.92,0.92,0.0,,,0.92,0.92,417.60M,419.30M,0.66
2009-12,4.982B,4.982B,3.316B,1.666B,974.00M,,974.00M,,,,64.00M,5.00M,-59.00M,-25.00M,949.00M,717.00M,5.00M,64.00M,-59.00M,,-59.00M,658.00M,184.00M,522.00M,,,-30.00M,492.00M,492.00M,942.00M,220.00M,722.00M,1.18,0.0,,,1.18,1.18,1.17,0.0,,,1.17,1.17,417.30M,418.90M,0.6
2009-09,4.913B,4.913B,3.186B,1.727B,852.00M,,852.00M,,,,67.00M,7.00M,-60.00M,4.00M,856.00M,871.00M,7.00M,67.00M,-60.00M,,-60.00M,811.00M,240.00M,611.00M,,,-29.00M,582.00M,582.00M,1.074B,196.00M,878.00M,1.4,0.0,,,1.4,1.4,1.4,0.0,,,1.4,1.4,415.90M,416.80M,0.6
2009-06,4.727B,4.727B,3.154B,1.573B,923.00M,,923.00M,,,,71.00M,6.00M,-65.00M,41.00M,964.00M,609.00M,6.00M,71.00M,-65.00M,44.00M,-65.00M,544.00M,158.00M,386.00M,,,-27.00M,403.00M,403.00M,805.00M,190.00M,615.00M,0.97,0.0,,,0.97,0.97,0.97,0.0,,,0.97,0.97,415.60M,415.90M,0.6
2009-03,4.493B,4.493B,3.039B,1.454B,749.00M,,749.00M,,,,73.00M,8.00M,-65.00M,77.00M,826.00M,628.00M,8.00M,73.00M,-65.00M,,-65.00M,563.00M,164.00M,431.00M,,,-24.00M,407.00M,407.00M,813.00M,177.00M,636.00M,0.98,0.0,,,0.98,0.98,0.98,0.0,,,0.98,0.98,413.70M,415.90M,0.6
2008-12,4.598B,4.598B,3.143B,1.455B,,,817.00M,,,,,,,15.00M,832.00M,623.00M,,,,,,558.00M,125.00M,460.00M,,0.00,-35.00M,419.00M,564.00M,771.00M,179.00M,592.00M,1.03,0.0,0.0,,1.03,1.03,1.02,0.0,-0.0001,,1.02,1.02,408.60M,411.70M,0.58
2008-09,4.998B,4.998B,3.535B,1.463B,848.00M,,848.00M,,,,76.00M,15.00M,-61.00M,5.00M,853.00M,610.00M,15.00M,76.00M,-61.00M,,-61.00M,549.00M,154.00M,395.00M,,0.00,-35.00M,413.00M,360.00M,821.00M,196.00M,625.00M,0.99,0.0,0.0,0.1271,0.99,0.99,0.99,0.0,0.0,0.1268,0.99,0.99,417.00M,418.10M,0.58
2008-06,5.006B,5.006B,3.522B,1.484B,827.00M,,827.00M,,,,74.00M,8.00M,-66.00M,7.00M,834.00M,650.00M,8.00M,74.00M,-66.00M,,-66.00M,584.00M,174.00M,410.00M,,-8.00M,-34.00M,417.00M,376.00M,858.00M,200.00M,658.00M,1.01,-0.02,0.0,0.1168,1.01,0.99,1.01,-0.02,-0.0191,0.1164,1.01,0.99,419.50M,421.00M,0.58
2008-03,4.813B,4.813B,3.357B,1.456B,799.00M,,799.00M,,,,74.00M,8.00M,-66.00M,-7.00M,792.00M,664.00M,8.00M,74.00M,-66.00M,,-66.00M,598.00M,165.00M,476.00M,,,-35.00M,441.00M,441.00M,872.00M,200.00M,672.00M,1.05,0.0,,,1.05,1.05,1.04,0.0,,,1.04,1.04,421.70M,423.60M,0.58
2007-12,4.758B,4.758B,3.296B,1.462B,,,792.00M,,,13.50M,,,,1.20M,793.20M,668.90M,,,,56.60M,,609.70M,145.40M,456.00M,,,-51.40M,456.00M,445.72M,849.00M,180.10M,668.90M,1.08,0.0,,,1.056,1.08,1.06,0.0,,,1.036,1.06,421.03M,429.42M,0.53
2007-09,4.621B,4.621B,3.177B,1.444B,,,783.70M,,,16.40M,,,,-22.90M,760.80M,682.70M,,,,55.50M,,606.90M,167.50M,453.10M,,,-25.40M,453.10M,441.23M,896.20M,213.50M,682.70M,1.05,0.0,,,1.022,1.05,1.04,0.0,,,1.013,1.04,431.52M,435.67M,0.53
2007-06,4.502B,4.502B,3.056B,1.446B,,,797.60M,,,-47.20M,,,,-0.30M,797.30M,648.70M,,,,-4.40M,,556.70M,111.50M,461.80M,,,-26.20M,461.80M,499.55M,847.00M,198.30M,648.70M,1.01,0.0,,,1.093,1.01,1.0,0.0,,,1.082,1.0,457.23M,461.80M,0.53
2007-03,4.385B,4.385B,3.033B,1.352B,,,732.60M,,,-31.20M,,,,3.60M,736.20M,616.10M,,,,13.80M,,544.20M,112.10M,452.00M,,,-25.10M,452.00M,476.77M,830.70M,214.60M,616.10M,0.99,0.0,,,1.044,0.99,0.98,0.0,,,1.034,0.98,456.57M,461.22M,0.53
2006-12,4.307B,4.307B,2.941B,1.366B,,,744.70M,,,-35.50M,,,,10.60M,755.30M,610.60M,,,,58.40M,,540.70M,124.30M,482.60M,,,-27.70M,482.60M,509.94M,828.90M,218.30M,610.60M,1.05,0.0,,,1.109,1.05,1.04,0.0,,,1.099,1.04,460.06M,465.13M,0.49
2006-09,4.210B,4.210B,2.935B,1.276B,,,749.20M,,,-17.10M,,,,-0.10M,749.10M,526.40M,,,,25.70M,,459.50M,114.60M,364.20M,,,-23.50M,364.20M,377.04M,741.30M,214.90M,526.40M,0.8,0.0,,,0.8282,0.8,0.79,0.0,,,0.8178,0.79,455.25M,461.01M,0.49
2006-06,4.161B,4.161B,2.874B,1.288B,,,741.90M,,,-9.20M,,,,11.59B,12.33B,-11.04B,,,,33.70M,,48.80M,131.00M,377.60M,,,-22.30M,377.60M,383.12M,-10.81B,238.60M,-11.04B,0.82,0.0,,,0.832,0.82,0.82,0.0,,,0.832,0.82,460.49M,460.49M,0.49
2006-03,4.068B,4.068B,2.915B,1.153B,,,712.50M,,,-36.00M,,,,20.20M,732.70M,420.40M,,,,3.00M,,356.70M,99.30M,275.10M,,,-21.30M,275.10M,301.08M,681.40M,261.00M,420.40M,0.6,0.0,,,0.6567,0.6,0.6,0.0,,,0.6567,0.6,458.50M,458.50M,0.49
2005-12,4.009B,4.009B,2.719B,1.290B,,,715.90M,,,-43.10M,,,,1.50M,717.40M,572.20M,,,,-5.90M,,484.40M,114.10M,383.40M,,,-24.10M,371.10M,416.35M,792.10M,219.90M,572.20M,0.82,0.0,,,0.8901,0.79,0.82,0.0,,,0.8901,0.79,470.05M,470.15M,0.45
2005-09,4.001B,4.001B,2.844B,1.156B,,,679.50M,,,-55.50M,,,,12.30M,691.80M,464.60M,,,,-22.50M,,380.80M,66.30M,325.30M,,,-22.20M,325.30M,371.14M,704.20M,239.60M,464.60M,0.69,0.0,,,0.7872,0.69,0.68,0.0,,,0.7758,0.68,471.45M,478.38M,0.45
2005-06,3.987B,3.987B,2.664B,1.323B,,,688.10M,,,-46.20M,,,,-1.70M,686.40M,636.20M,,,,-13.90M,,550.30M,140.80M,421.80M,,,-20.00M,421.80M,456.18M,829.20M,193.00M,636.20M,0.88,0.0,,,0.9517,0.88,0.88,0.0,,,0.9517,0.88,479.32M,479.32M,0.45
2005-03,3.906B,3.906B,2.599B,1.307B,,,653.90M,,,-61.40M,,,,-5.723B,-5.069B,6.376B,,,,-27.30M,,553.40M,117.20M,450.10M,,,-20.20M,450.10M,498.50M,6.568B,192.00M,6.376B,0.94,0.0,,,1.041,0.94,0.93,0.0,,,1.03,0.93,478.83M,483.98M,0.45
2004-12,3.901B,3.901B,2.582B,1.319B,,,663.90M,,,-55.40M,,,,13.60M,677.50M,641.40M,,,,-22.70M,,562.80M,125.70M,449.80M,,,-20.00M,479.60M,492.83M,835.50M,194.10M,641.40M,0.93,-0.01,,,1.012,0.92,0.92,-0.01,,,1.002,0.91,521.70M,527.35M,0.4
2004-09,3.783B,3.783B,2.544B,1.239B,,,613.60M,,,-35.00M,,,,8.60M,622.20M,616.90M,,,,-3.70M,,554.10M,132.70M,433.90M,7.40M,,-18.80M,441.30M,460.52M,814.60M,197.70M,616.90M,0.88,0.02,,,0.9343,0.9,0.87,0.02,,,0.9237,0.89,490.33M,495.84M,0.4
2004-06,3.687B,3.687B,2.432B,1.255B,,,615.60M,,,-53.20M,,,,14.50M,630.10M,624.70M,,,,-23.30M,,549.30M,118.20M,442.90M,11.40M,,-18.10M,454.30M,484.65M,832.80M,208.10M,624.70M,0.89,0.02,,,0.9736,0.91,0.88,0.02,,,0.9627,0.9,499.23M,504.78M,0.4
2004-03,3.712B,3.712B,2.456B,1.256B,,,617.80M,,,-66.00M,,,,14.50M,632.30M,623.40M,,,,-35.10M,,537.20M,107.30M,443.80M,15.50M,,-17.00M,459.30M,496.62M,823.80M,200.40M,623.40M,0.88,0.04,,,0.9858,0.92,0.88,0.03,,,0.9846,0.91,499.24M,504.73M,0.4
2003-12,3.380B,3.380B,2.212B,1.169B,,,592.30M,,,-140.50M,,,,35.00M,627.30M,541.40M,,,,-111.70M,,400.40M,3.90M,408.90M,,,-16.40M,459.50M,548.03M,736.00M,194.60M,541.40M,0.81,0.1,,,1.0859999999999999,0.91,0.81,0.1,,,1.0859999999999999,0.91,504.66M,504.66M,0.34
2003-09,3.642B,3.642B,2.427B,1.215B,,,589.60M,,,-21.30M,,,,21.30M,610.90M,604.00M,,,,0.60M,,568.20M,157.80M,419.70M,,,-12.60M,419.70M,435.08M,784.00M,180.00M,604.00M,0.83,0.0,,,0.8604,0.83,0.83,0.0,,,0.8604,0.83,505.66M,505.66M,0.34
2003-06,3.545B,3.545B,2.337B,1.207B,,,579.50M,,,-20.80M,,,,20.80M,600.30M,606.90M,,,,9.50M,,566.60M,164.90M,417.30M,,,-14.70M,417.30M,432.05M,795.70M,188.80M,606.90M,0.82,0.0,,,0.849,0.82,0.82,0.0,,,0.849,0.82,508.90M,508.90M,0.34
