,NetIncome,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2016-03,560.00M,-30.00M,,-30.00M,,,172.00M,172.00M,-34.00M,,15.00M,-25.00M,,,-105.00M,,553.00M,-220.00M,,,,-17.00M,8.00M,-229.00M,794.00M,-675.00M,119.00M,,-140.00M,-140.00M,,,-318.00M,-318.00M,31.00M,-7.00M,-315.00M,619.00M,9.00M,7.00M,635.00M,,796.00M,-2.00M,-140.00M
2015-12,344.00M,28.00M,,28.00M,,,181.00M,181.00M,123.00M,,7.00M,111.00M,,,-129.00M,,665.00M,-258.00M,,,,18.00M,13.00M,-227.00M,-201.00M,412.00M,211.00M,,-358.00M,-358.00M,,,-320.00M,-320.00M,38.00M,-10.00M,-439.00M,643.00M,-1.00M,-23.00M,619.00M,,3.00M,-204.00M,-358.00M
2015-09,529.00M,-1.00M,,-1.00M,,,182.00M,182.00M,-32.00M,,17.00M,53.00M,,,101.00M,,849.00M,-271.00M,,,,-9.00M,-17.00M,-297.00M,282.00M,-292.00M,-10.00M,,-145.00M,-145.00M,,,-321.00M,-321.00M,20.00M,1.00M,-455.00M,603.00M,97.00M,-57.00M,643.00M,,587.00M,-305.00M,-145.00M
2015-06,-293.00M,-2.00M,,-2.00M,,,189.00M,189.00M,-517.00M,,36.00M,1.33B,,,29.00M,,772.00M,-243.00M,,,,-18.00M,16.00M,-245.00M,-27.00M,-108.00M,-135.00M,,-110.00M,-110.00M,,,-321.00M,-321.00M,41.00M,17.00M,-508.00M,587.00M,19.00M,-3.00M,603.00M,,13.00M,-40.00M,-110.00M
2015-03,486.00M,-35.00M,,-35.00M,,,194.00M,194.00M,171.00M,,15.00M,-365.00M,,,-446.00M,,20.00M,-284.00M,,,,27.00M,-24.00M,-281.00M,493.00M,291.00M,784.00M,,-248.00M,-248.00M,,,-310.00M,-310.00M,41.00M,-163.00M,104.00M,789.00M,-157.00M,-45.00M,587.00M,,497.00M,-4.00M,-248.00M
2014-12,-63.00M,55.00M,,55.00M,,,207.00M,207.00M,6.00M,-42.00M,1.00M,539.00M,,,-113.00M,,590.00M,-309.00M,,,,51.00M,13.00M,-245.00M,622.00M,568.00M,1.19B,,-817.00M,-817.00M,,,-314.00M,-314.00M,29.00M,-658.00M,-570.00M,1.431B,-225.00M,-417.00M,789.00M,,636.00M,-14.00M,-817.00M
2014-09,582.00M,9.00M,,9.00M,,,220.00M,220.00M,-6.00M,0.00,15.00M,4.00M,,,152.00M,,976.00M,-291.00M,,,,2.00M,45.00M,-244.00M,2.00M,-126.00M,-124.00M,,-205.00M,-205.00M,,,-315.00M,-315.00M,17.00M,-15.00M,-642.00M,1.369B,90.00M,-28.00M,1.431B,,5.00M,-3.00M,-205.00M
2014-06,530.00M,7.00M,,7.00M,,,217.00M,217.00M,12.00M,42.00M,27.00M,12.00M,,,-5.00M,,842.00M,-181.00M,,,,43.00M,-9.00M,-147.00M,610.00M,-375.00M,235.00M,,-476.00M,-476.00M,,,-318.00M,-318.00M,44.00M,14.00M,-501.00M,1.165B,194.00M,10.00M,1.369B,,615.00M,-5.00M,-476.00M
2014-03,546.00M,-43.00M,,-43.00M,,,218.00M,218.00M,51.00M,,9.00M,-134.00M,,,-210.00M,,437.00M,-258.00M,,,,119.00M,5.00M,-134.00M,-100.00M,654.00M,554.00M,,-441.00M,-441.00M,,,-309.00M,-309.00M,37.00M,-21.00M,-180.00M,1.054B,123.00M,-12.00M,1.165B,,1.00M,-101.00M,-441.00M
2013-12,558.00M,39.00M,,50.00M,,,222.00M,222.00M,23.00M,3.00M,19.00M,-31.00M,,,101.00M,,945.00M,-256.00M,16.00M,16.00M,0.00,-9.00M,-5.00M,-254.00M,-1.00M,-309.00M,-310.00M,,-257.00M,-257.00M,,,-310.00M,-310.00M,68.00M,-23.00M,-832.00M,1.179B,-141.00M,16.00M,1.054B,,1.00M,-2.00M,-257.00M
2013-09,565.00M,-9.00M,,-14.00M,,,208.00M,208.00M,58.00M,42.00M,21.00M,3.00M,,,29.00M,,912.00M,-203.00M,27.00M,27.00M,-32.00M,6.00M,3.00M,-199.00M,-499.00M,289.00M,-210.00M,,-165.00M,-165.00M,,,-311.00M,-311.00M,18.00M,-8.00M,-676.00M,1.16B,37.00M,-18.00M,1.179B,,3.00M,-502.00M,-165.00M
2013-06,547.00M,-13.00M,,5.00M,,,212.00M,212.00M,56.00M,0.00,22.00M,-99.00M,,,-167.00M,,576.00M,-220.00M,12.00M,12.00M,,10.00M,-14.00M,-212.00M,825.00M,-602.00M,223.00M,,-308.00M,-308.00M,,,-313.00M,-313.00M,96.00M,11.00M,-291.00M,1.109B,73.00M,-22.00M,1.16B,,827.00M,-2.00M,-308.00M
2013-03,551.00M,-53.00M,,-66.00M,,,221.00M,221.00M,14.00M,,30.00M,-22.00M,,,-121.00M,,607.00M,-274.00M,74.00M,74.00M,,20.00M,1.00M,-179.00M,21.00M,335.00M,356.00M,,-486.00M,-486.00M,,,-289.00M,-289.00M,50.00M,-17.00M,-386.00M,1.106B,42.00M,-39.00M,1.109B,,59.00M,-38.00M,-486.00M
2012-12,286.00M,26.00M,,46.00M,,,215.00M,215.00M,-96.00M,171.00M,10.00M,33.00M,,,454.00M,,1.119B,-330.00M,3.00M,3.00M,0.00,-125.00M,-3.00M,-455.00M,-21.00M,-193.00M,-214.00M,,-322.00M,-322.00M,,,-292.00M,-292.00M,42.00M,-30.00M,-816.00M,1.249B,-152.00M,9.00M,1.106B,,0.00,-21.00M,-322.00M
2012-09,537.00M,-8.00M,,-10.00M,,,210.00M,210.00M,146.00M,0.00,14.00M,-27.00M,,,-26.00M,,844.00M,-277.00M,0.00,0.00,-5.00M,18.00M,7.00M,-257.00M,-44.00M,196.00M,152.00M,,-311.00M,-311.00M,,,-292.00M,-292.00M,99.00M,4.00M,-348.00M,994.00M,239.00M,16.00M,1.249B,,6.00M,-50.00M,-311.00M
2012-06,518.00M,-8.00M,,-2.00M,,,214.00M,214.00M,59.00M,,30.00M,15.00M,,,-94.00M,,740.00M,-227.00M,5.00M,5.00M,,5.00M,-4.00M,-221.00M,-4.00M,-118.00M,-122.00M,,-213.00M,-213.00M,,,-290.00M,-290.00M,309.00M,13.00M,-303.00M,785.00M,216.00M,-7.00M,994.00M,,0.00,-4.00M,-213.00M
2012-03,487.00M,-37.00M,,-26.00M,,,218.00M,218.00M,115.00M,,13.00M,-7.00M,,,-215.00M,,585.00M,-259.00M,1.00M,1.00M,,8.00M,-1.00M,-251.00M,-108.00M,386.00M,278.00M,,-438.00M,-438.00M,,,-277.00M,-277.00M,115.00M,-13.00M,-335.00M,764.00M,-1.00M,22.00M,785.00M,,309.00M,-417.00M,-438.00M
2011-12,422.00M,23.00M,331.00M,347.00M,,,270.00M,270.00M,74.00M,,11.00M,-558.00M,,,-107.00M,,517.00M,-312.00M,28.00M,28.00M,,-223.00M,221.00M,-286.00M,-47.00M,-1.00M,-48.00M,,0.00,0.00,40.00M,40.00M,,-275.00M,141.00M,-568.00M,-710.00M,1.232B,-479.00M,11.00M,764.00M,,26.00M,-87.00M,40.00M
2011-09,458.00M,3.00M,30.00M,24.00M,,,291.00M,291.00M,64.00M,,6.00M,0.00,,,-93.00M,,750.00M,-221.00M,23.00M,23.00M,,232.00M,3.00M,37.00M,92.00M,-273.00M,-181.00M,,-40.00M,-40.00M,-13.00M,-13.00M,,-275.00M,92.00M,-21.00M,-438.00M,908.00M,349.00M,-25.00M,1.232B,,-174.00M,-7.00M,-53.00M
2011-06,432.00M,-10.00M,-127.00M,-133.00M,,,287.00M,287.00M,91.00M,,19.00M,-14.00M,,,89.00M,,771.00M,-201.00M,,,,-13.00M,0.00,-214.00M,-6.00M,307.00M,301.00M,,-394.00M,-394.00M,-13.00M,-13.00M,,-280.00M,121.00M,4.00M,-261.00M,585.00M,296.00M,27.00M,908.00M,,307.00M,-6.00M,-407.00M
2011-03,372.00M,-39.00M,-234.00M,-267.00M,,,243.00M,243.00M,45.00M,,12.00M,-4.00M,,,-151.00M,,250.00M,-234.00M,,,,15.00M,1.00M,-218.00M,693.00M,-20.00M,673.00M,,-812.00M,-812.00M,-14.00M,-14.00M,,-269.00M,81.00M,9.00M,-332.00M,876.00M,-300.00M,9.00M,585.00M,,680.00M,-7.00M,-826.00M
2010-12,520.00M,15.00M,145.00M,167.00M,,,206.00M,206.00M,-32.00M,,11.00M,-123.00M,,,199.00M,,948.00M,-353.00M,5.00M,5.00M,,249.00M,-170.00M,-269.00M,198.00M,-174.00M,24.00M,,-108.00M,-108.00M,40.00M,40.00M,,-270.00M,14.00M,-53.00M,-353.00M,533.00M,326.00M,17.00M,876.00M,,88.00M,-36.00M,-68.00M
2010-09,489.00M,-9.00M,28.00M,23.00M,,,205.00M,205.00M,29.00M,,13.00M,-28.00M,,,14.00M,,745.00M,-248.00M,1.00M,1.00M,,-9.00M,33.00M,-223.00M,-177.00M,18.00M,-159.00M,,-209.00M,-209.00M,-13.00M,-13.00M,,-271.00M,81.00M,-23.00M,-594.00M,585.00M,-72.00M,20.00M,533.00M,,295.00M,-454.00M,-222.00M
2010-06,934.00M,-13.00M,-24.00M,-32.00M,,,209.00M,209.00M,-95.00M,,24.00M,-421.00M,,,-32.00M,,587.00M,-179.00M,3.00M,3.00M,,-42.00M,48.00M,-170.00M,-8.00M,138.00M,130.00M,,-345.00M,-345.00M,-14.00M,-14.00M,,-275.00M,15.00M,-6.00M,-495.00M,669.00M,-78.00M,-6.00M,585.00M,,132.00M,-12.00M,-359.00M
2010-03,,-41.00M,-149.00M,-180.00M,,,193.00M,193.00M,86.00M,,4.00M,518.00M,,,-157.00M,,464.00M,-184.00M,,,,-34.00M,99.00M,-119.00M,-4.00M,-10.00M,-14.00M,,-141.00M,-141.00M,-13.00M,-13.00M,,-250.00M,21.00M,-20.00M,-417.00M,798.00M,-72.00M,-57.00M,669.00M,,0.00,-4.00M,-154.00M
2009-12,1.994B,,-74.00M,-63.00M,,,220.00M,220.00M,159.00M,,23.00M,-1.449B,,,117.00M,,1.001B,-285.00M,16.00M,16.00M,-293.00M,202.00M,-180.00M,-540.00M,-239.00M,-9.00M,-248.00M,,-16.00M,-16.00M,-13.00M,-13.00M,,-249.00M,125.00M,-18.00M,-419.00M,750.00M,42.00M,6.00M,798.00M,,0.00,-248.00M,-29.00M
2009-09,-861.00M,,-181.00M,-179.00M,,,196.00M,196.00M,45.00M,,35.00M,1.453B,,,102.00M,,791.00M,-167.00M,7.00M,7.00M,0.00,-181.00M,189.00M,-152.00M,-7.00M,-217.00M,-224.00M,,0.00,0.00,-14.00M,-14.00M,,-249.00M,17.00M,-10.00M,-480.00M,591.00M,159.00M,0.00,750.00M,,0.00,-224.00M,-14.00M
2009-06,430.00M,,-333.00M,-339.00M,,,190.00M,190.00M,-17.00M,,18.00M,-15.00M,,,730.00M,,997.00M,-185.00M,-1.00M,-1.00M,-154.00M,-43.00M,-44.00M,-427.00M,-22.00M,-331.00M,-353.00M,,-6.00M,-6.00M,-13.00M,-13.00M,,-248.00M,7.00M,19.00M,-594.00M,592.00M,-24.00M,23.00M,591.00M,,-245.00M,-108.00M,-19.00M
2009-03,431.00M,,-21.00M,-45.00M,,,177.00M,177.00M,-46.00M,,10.00M,9.00M,,,156.00M,,692.00M,-211.00M,3.00M,3.00M,-11.00M,62.00M,-12.00M,-169.00M,-8.00M,245.00M,237.00M,,-278.00M,-278.00M,-13.00M,-13.00M,,-240.00M,16.00M,-17.00M,-295.00M,364.00M,228.00M,0.00,592.00M,,247.00M,-10.00M,-291.00M
2008-12,307.00M,,-4.00M,250.00M,,,179.00M,179.00M,135.00M,,-38.00M,0.00,,,-155.00M,,678.00M,-253.00M,25.00M,-881.00M,0.00,83.00M,-66.00M,-211.00M,23.00M,-162.00M,-298.00M,,-127.00M,-14.00M,34.00M,34.00M,,-241.00M,-104.00M,-2.00M,-625.00M,524.00M,-158.00M,-2.00M,364.00M,,-209.00M,70.00M,-93.00M
2008-09,448.00M,,8.00M,8.00M,,,196.00M,196.00M,-34.00M,,13.00M,-3.00M,,,13.00M,,641.00M,-219.00M,2.00M,2.00M,-22.00M,2.00M,37.00M,-200.00M,-22.00M,-51.00M,-73.00M,,-136.00M,-136.00M,-14.00M,-14.00M,,-241.00M,37.00M,-16.00M,-443.00M,546.00M,-2.00M,-20.00M,524.00M,,-38.00M,-35.00M,-150.00M
2008-06,459.00M,,4.00M,1.00M,,,200.00M,200.00M,42.00M,,7.00M,6.00M,,,38.00M,,753.00M,-213.00M,1.00M,1.00M,-59.00M,-40.00M,45.00M,-266.00M,-28.00M,45.00M,17.00M,,-229.00M,-229.00M,-13.00M,-13.00M,,-244.00M,13.00M,-4.00M,-460.00M,525.00M,27.00M,-6.00M,546.00M,,48.00M,-31.00M,-242.00M
2008-03,476.00M,,-8.00M,-41.00M,,,200.00M,200.00M,8.00M,,18.00M,14.00M,,,-231.00M,,444.00M,-221.00M,0.00,0.00,-17.00M,70.00M,-2.00M,-170.00M,27.00M,168.00M,195.00M,,-208.00M,-208.00M,-7.00M,-7.00M,,-224.00M,54.00M,-29.00M,-219.00M,473.00M,55.00M,-3.00M,525.00M,,199.00M,-4.00M,-215.00M
2007-12,456.00M,,,97.00M,,,180.10M,180.10M,-36.00M,,,21.90M,,351.90M,-33.70M,,685.30M,-212.50M,25.80M,-186.70M,0.00,15.50M,-10.50M,-181.70M,,,-308.70M,64.00M,-269.60M,-205.60M,,,,-225.20M,,167.40M,-572.10M,539.60M,-68.50M,1.60M,472.70M,64.00M,,,-269.60M
2007-09,453.10M,,,56.20M,,,213.50M,213.50M,23.20M,,,16.90M,,-195.30M,-195.30M,,567.60M,-232.80M,10.90M,-221.90M,0.00,21.80M,-17.90M,-218.00M,,,2.141B,71.40M,-2.228B,-2.157B,,,,-241.90M,,-12.70M,-270.10M,457.00M,79.50M,3.10M,539.60M,71.40M,,,-2.228B
2007-06,461.80M,,,12.80M,,,198.30M,198.30M,-55.30M,,,35.60M,,-1.70M,-1.70M,,651.50M,-262.20M,2.00M,-260.20M,0.00,4.20M,-44.30M,-300.30M,,,41.70M,112.10M,-157.00M,-44.90M,,,,-241.70M,,8.10M,-236.80M,342.00M,114.40M,0.60M,457.00M,112.10M,,,-157.00M
2007-03,452.00M,,,-10.90M,,,214.60M,214.60M,-34.90M,,,2.50M,,-98.80M,-98.80M,,524.50M,-281.80M,58.00M,-223.80M,-15.70M,4.10M,37.30M,-198.10M,,,-41.80M,101.40M,-158.50M,-57.10M,,,,-224.10M,,-24.80M,-347.80M,360.80M,-21.40M,2.60M,342.00M,101.40M,,,-158.50M
2006-12,482.60M,,,163.60M,,,218.30M,218.30M,9.80M,,,-11.80M,,-49.50M,-49.50M,,813.00M,-333.10M,11.80M,-321.30M,,15.00M,-12.90M,-418.80M,,,-42.50M,111.10M,-282.10M,-171.00M,,,,-224.40M,,-0.20M,-438.10M,399.20M,-43.90M,5.50M,360.80M,111.10M,,,-282.10M
2006-09,364.20M,,,-28.30M,,,214.90M,214.90M,-118.00M,,,88.50M,,126.50M,126.50M,,647.80M,-240.40M,7.60M,-232.80M,,12.00M,-31.00M,-251.80M,,,-47.80M,113.90M,-178.30M,-64.40M,,,,-225.10M,,7.70M,-329.60M,337.40M,66.40M,-4.60M,399.20M,113.90M,,,-178.30M
2006-06,377.60M,,,35.10M,,,238.60M,238.60M,-19.40M,,,30.70M,,-62.80M,-62.80M,,599.80M,-219.50M,24.70M,-194.80M,,-2.70M,-24.10M,-221.60M,,,-102.90M,42.90M,-148.90M,-106.00M,,,,-225.90M,,4.40M,-430.40M,389.20M,-52.20M,0.40M,337.40M,42.90M,,,-148.90M
2006-03,275.10M,,,72.30M,,,261.00M,261.00M,-80.40M,,,,,-9.10M,-9.10M,,518.90M,-179.10M,,-179.10M,,1.40M,34.00M,-143.70M,,,-40.00M,63.20M,-152.20M,-89.00M,,,,-208.60M,,-15.60M,-353.20M,364.00M,22.00M,3.20M,389.20M,63.20M,,,-152.20M
2005-12,383.40M,,,192.00M,,,219.90M,219.90M,-66.40M,,,,,-52.80M,-52.80M,,676.10M,-257.70M,46.80M,-210.90M,,6.40M,8.30M,-213.60M,,,300.80M,11.30M,-505.90M,-494.60M,,,,-212.70M,,-4.50M,-411.00M,313.40M,51.50M,-0.90M,364.00M,11.30M,,,-505.90M
2005-09,325.30M,,,-171.40M,,,239.60M,239.60M,-45.00M,,,-33.30M,,237.80M,237.80M,,553.00M,-189.90M,-12.50M,-202.40M,,4.00M,73.30M,-125.10M,,,105.70M,28.30M,-478.80M,-450.50M,,,,-215.00M,,-21.10M,-580.90M,466.10M,-153.00M,0.30M,313.40M,28.30M,,,-478.80M
2005-06,421.80M,,,-27.80M,,,193.00M,193.00M,-42.40M,,,33.30M,,-103.60M,-103.60M,,474.30M,-153.10M,12.50M,-140.60M,,4.40M,6.60M,-129.60M,,,-301.20M,36.10M,-212.90M,-176.80M,,,,-216.50M,,-7.90M,-702.40M,833.50M,-357.70M,-9.70M,466.10M,36.10M,,,-212.90M
2005-03,450.10M,,,36.60M,,,192.00M,192.00M,11.10M,,,,,-81.40M,-81.40M,,608.40M,-108.90M,,-108.90M,,10.50M,-29.50M,-127.90M,,,217.00M,67.00M,-321.90M,-254.90M,,,,-194.20M,,-3.30M,-235.40M,594.00M,245.10M,-5.60M,833.50M,67.00M,,,-321.90M
2004-12,449.80M,,,128.40M,,,194.10M,194.10M,-139.30M,,,,,35.80M,35.80M,206.80M,875.60M,-212.20M,,-181.50M,,7.80M,-13.80M,-187.50M,,,141.80M,158.90M,-400.70M,-241.80M,,,,-196.00M,,-121.90M,-417.90M,315.50M,270.20M,8.30M,594.00M,158.90M,,,-400.70M
2004-09,433.90M,,,-51.90M,,,197.70M,197.70M,95.80M,,,-55.50M,,114.20M,114.20M,9.00M,743.20M,-104.40M,,-104.40M,,3.30M,-2.20M,-103.30M,,,65.70M,-59.80M,-618.20M,-678.00M,,,,-199.70M,,123.30M,-688.70M,362.30M,-48.80M,2.00M,315.50M,-59.80M,,,-618.20M
2004-06,442.90M,,,-29.90M,,,208.10M,208.10M,14.00M,,,55.50M,,27.60M,27.60M,17.70M,735.90M,-112.20M,,-112.20M,,5.90M,-9.00M,-115.30M,,,-164.20M,205.20M,-412.40M,-207.20M,,,,-201.10M,,-11.80M,-584.30M,329.00M,36.30M,-3.00M,362.30M,205.20M,,,-412.40M
2004-03,443.80M,,,-4.70M,,,200.40M,200.40M,10.10M,,,,,-44.60M,-44.60M,9.90M,614.90M,-106.20M,,-106.20M,,9.50M,7.40M,-89.30M,,,-258.30M,110.70M,-166.70M,-56.00M,,,,-171.10M,,1.40M,-484.00M,290.60M,41.60M,-3.20M,329.00M,110.70M,,,-166.70M
