,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2013-08,142.19M,142.19M,171.64M,171.64M,2.861B,2.861B,,1.727M,101.44M,3.278B,0.00,862.56M,2.608B,1.123B,,124.21M,341.18M,5.059B,-1.987B,3.071B,367.83M,,367.83M,4.069M,170.82M,3.614B,6.892B,,3.308B,108.07M,3.416B,207.48M,3.623B,173.73M,173.73M,32.25M,205.98M,202.92M,202.92M,,4.169B,4.013B,,4.013B,,,396.99M,4.410B,8.579B,,0.368M,-1.379B,814.46M,1.002B,-120.79M,-1.687B,,AOR,Restated
2013-05,133.68M,133.68M,155.55M,155.55M,2.797B,2.797B,,1.232M,91.07M,3.178B,,,,,,,,4.935B,-1.932B,3.003B,386.08M,57.16M,443.24M,47.44M,111.22M,3.605B,6.783B,,3.117B,63.16M,3.180B,469.94M,3.650B,,,,,186.39M,186.39M,,3.836B,4.001B,,4.001B,,,478.23M,4.479B,8.315B,,0.366M,-1.750B,775.36M,442.45M,-115.48M,-1.532B,,AOR,Restated
2013-02,115.55M,115.55M,160.42M,160.42M,2.759B,2.759B,,1.068M,87.79M,3.123B,,,,,,,,4.840B,-1.895B,2.945B,385.98M,,385.98M,40.58M,167.71M,3.539B,6.662B,,3.034B,69.06M,3.103B,462.86M,3.566B,,484.53M,,484.53M,181.34M,181.34M,,4.232B,3.513B,,3.513B,,,467.22M,3.980B,8.212B,,0.364M,-2.016B,717.60M,117.45M,-134.91M,-1.550B,,AOR,Restated
2012-11,99.86M,99.86M,173.34M,173.34M,2.702B,2.702B,,0.983M,86.00M,3.062B,,,,,,,,4.736B,-1.845B,2.890B,302.64M,,302.64M,36.55M,106.29M,3.336B,6.398B,,3.022B,80.53M,3.102B,455.76M,3.558B,,,,,186.28M,186.28M,,3.744B,3.803B,,3.803B,,,442.21M,4.245B,7.989B,,0.402M,-829.74M,760.87M,1.370B,-152.46M,-1.591B,,AOR,Restated
2012-08,103.09M,103.09M,161.38M,161.38M,2.628B,2.628B,,0.846M,85.65M,2.979B,0.00,800.18M,2.401B,1.017B,,127.30M,314.56M,4.660B,-1.804B,2.856B,302.64M,,302.64M,33.80M,94.32M,3.287B,6.266B,,2.927B,114.60M,3.041B,199.03M,3.240B,49.88M,49.88M,29.84M,79.72M,183.83M,183.83M,,3.656B,3.718B,,3.718B,,,439.77M,4.158B,7.814B,,0.399M,-1.033B,689.89M,1.053B,-152.01M,-1.548B,,AOR,Restated
2012-05,103.10M,103.10M,133.94M,133.94M,2.630B,2.630B,,,77.41M,2.944B,,,,,,,,4.566B,-1.799B,2.767B,302.64M,,302.64M,22.39M,112.45M,3.205B,6.149B,,2.867B,80.72M,2.947B,443.16M,3.390B,,7.309M,,7.309M,169.62M,169.62M,,3.567B,3.599B,,3.599B,,,399.29M,3.998B,7.566B,,0.396M,-1.357B,629.32M,572.96M,-116.66M,-1.417B,,AOR,Restated
2012-02,103.21M,103.21M,144.79M,144.79M,,2.578B,,,82.86M,2.909B,,,,,,,,4.488B,-1.764B,2.724B,302.64M,,302.64M,19.68M,101.17M,3.148B,6.056B,,2.825B,62.15M,2.887B,430.59M,3.318B,,29.56M,,29.56M,169.62M,169.62M,,3.517B,3.435B,,3.435B,,,400.40M,3.835B,7.352B,,0.395M,-1.606B,588.23M,172.50M,-106.13M,-1.296B,,AOR,Restated
2011-11,96.68M,96.68M,135.70M,135.70M,2.531B,2.531B,,,79.09M,2.843B,,,,,,,,4.408B,-1.741B,2.667B,302.64M,,302.64M,19.31M,100.84M,3.090B,5.933B,,2.844B,85.22M,2.929B,444.54M,3.374B,,35.42M,,35.42M,170.05M,170.05M,,3.579B,3.319B,,3.319B,,,381.81M,3.701B,7.280B,,0.442M,-452.87M,628.11M,1.392B,-130.64M,-1.347B,,AOR,Restated
2011-08,97.61M,97.61M,140.69M,140.69M,2.466B,2.466B,,0.00,88.02M,2.792B,0.00,740.28M,2.177B,994.37M,,184.45M,275.30M,4.372B,-1.703B,2.669B,302.64M,,302.64M,10.66M,95.00M,3.077B,5.870B,,2.756B,114.86M,2.871B,182.94M,3.054B,34.08M,34.08M,25.30M,59.38M,166.45M,166.45M,,3.431B,3.318B,,3.318B,,,375.34M,3.693B,7.124B,,0.441M,-644.00M,591.38M,1.082B,-119.69M,-1.254B,,AOR,Restated
2011-05,100.37M,100.37M,136.37M,136.37M,2.492B,2.492B,,,77.81M,2.807B,,,,,,,,4.271B,-1.656B,2.615B,302.64M,,302.64M,62.69M,97.99M,3.078B,5.885B,,2.710B,115.59M,2.826B,430.54M,3.256B,,49.69M,,49.69M,155.94M,155.94M,,3.462B,3.171B,,3.171B,,,371.48M,3.543B,7.004B,,0.439M,-945.47M,557.01M,649.05M,-82.47M,-1.120B,,AOR,Restated
