,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,,AsOriginallyReported,Restated
2013-05,2.206B,2.206B,1.063B,1.143B,686.68M,,42.09M,-42.09M,,686.68M,456.03M,42.09M,-42.09M,,-42.09M,413.94M,148.36M,265.58M,265.58M,265.58M,508.92M,52.89M,456.03M,,7.39,,7.39,7.39,,7.27,,7.27,7.27,,35.92M,36.53M,,AOR,Restated
2013-02,1.855B,1.855B,893.22M,961.98M,644.41M,,41.32M,-41.32M,,644.41M,317.57M,41.32M,-41.32M,,-41.32M,276.25M,100.00M,176.25M,176.25M,176.25M,420.62M,103.04M,317.57M,,4.86,,4.86,4.86,,4.78,,4.78,4.78,,36.26M,36.90M,,AOR,Restated
2012-11,1.991B,1.991B,959.17M,1.032B,668.59M,,41.10M,-41.10M,,668.59M,363.28M,41.10M,-41.10M,,-41.10M,322.17M,118.72M,203.45M,203.45M,203.45M,413.98M,50.70M,363.28M,,5.52,,5.52,5.52,,5.41,,5.41,5.41,,36.84M,37.59M,,AOR,Restated
2012-08,2.764B,2.764B,1.331B,1.432B,872.34M,,59.54M,-58.14M,,872.34M,560.06M,59.54M,-58.14M,,-58.14M,501.91M,178.18M,323.73M,323.73M,323.73M,628.11M,66.65M,561.45M,,8.65,,8.65,8.65,,8.46,,8.46,8.46,,37.00M,37.81M,,AOR,Restated
2012-05,2.112B,2.112B,1.022B,1.090B,662.55M,,39.74M,-39.74M,,662.55M,427.25M,39.74M,-39.74M,,-39.74M,387.51M,138.92M,248.59M,248.59M,248.59M,472.68M,45.43M,427.25M,,6.43,,6.43,6.43,,6.28,,6.28,6.28,,38.64M,39.59M,,AOR,Restated
2012-02,1.804B,1.804B,877.85M,926.22M,625.56M,,38.92M,-38.92M,,625.56M,300.65M,38.92M,-38.92M,,-38.92M,261.73M,94.80M,166.93M,166.93M,166.93M,396.82M,96.17M,300.65M,,4.25,,4.25,4.25,,4.15,,4.15,4.15,,39.28M,40.24M,,AOR,Restated
2011-11,1.924B,1.924B,940.71M,983.63M,642.69M,,39.09M,-39.09M,,642.69M,340.93M,39.09M,-39.09M,,-39.09M,301.84M,110.72M,191.12M,191.12M,191.12M,389.58M,48.65M,340.93M,,4.79,,4.79,4.79,,4.68,,4.68,4.68,,39.86M,40.86M,,AOR,Restated
2011-08,2.642B,2.642B,1.289B,1.353B,828.56M,,55.87M,-53.81M,,828.56M,524.01M,55.87M,-53.81M,,-53.81M,470.20M,168.73M,301.47M,301.47M,301.47M,588.93M,62.86M,526.07M,,7.35,,7.35,7.35,,7.18,,7.18,7.18,,40.48M,41.45M,,AOR,Restated
2011-05,1.978B,1.978B,964.84M,1.014B,620.60M,,39.92M,-39.92M,,620.60M,392.92M,39.92M,-39.92M,,-39.92M,353.01M,125.64M,227.37M,227.37M,227.37M,433.96M,41.03M,392.92M,,5.42,,5.42,5.42,,5.29,,5.29,5.29,,41.98M,42.96M,,AOR,Restated
2011-02,1.661B,1.661B,815.34M,845.61M,573.86M,,,-39.58M,,573.86M,271.75M,,-39.58M,,-39.58M,232.17M,84.12M,148.06M,148.06M,148.06M,319.77M,48.02M,271.75M,,3.41,0.00,3.41,3.41,,3.34,0.00,3.34,3.34,,43.40M,44.38M,,AOR,Restated
2010-11,1.792B,1.792B,883.91M,907.75M,601.63M,,37.25M,-37.25M,,601.63M,306.12M,37.25M,-37.25M,,-37.25M,268.87M,96.79M,172.08M,172.08M,172.08M,350.41M,44.29M,306.12M,,3.85,,3.85,3.85,,3.77,,3.77,3.77,,44.67M,45.63M,,AOR,Restated
2010-08,2.445B,2.445B,1.210B,1.235B,762.22M,,52.05M,-49.43M,,762.22M,472.74M,52.05M,-49.43M,,-49.43M,423.31M,154.38M,268.93M,268.93M,268.93M,537.53M,62.17M,475.36M,,5.77,,5.77,5.77,,5.66,,5.66,5.66,,46.02M,46.96M,,AOR,Restated
2010-05,1.822B,1.822B,898.87M,923.12M,567.26M,,36.83M,-36.83M,,567.26M,355.86M,36.83M,-36.83M,,-36.83M,319.03M,116.29M,202.74M,202.74M,202.74M,398.68M,42.82M,355.86M,,4.19,,4.19,4.19,,4.12,,4.12,4.12,,48.38M,49.21M,,AOR,Restated
2010-02,1.506B,1.506B,752.49M,753.74M,523.36M,,36.31M,-36.31M,,523.36M,230.38M,36.31M,-36.31M,,-36.31M,194.07M,70.74M,123.33M,123.33M,123.33M,274.91M,44.53M,230.38M,,2.49,,2.49,2.49,,2.46,,2.46,2.46,,49.44M,50.19M,,AOR,Restated
2009-11,1.589B,1.589B,789.32M,799.92M,539.50M,,36.34M,-36.34M,,539.50M,260.43M,36.34M,-36.34M,,-36.34M,224.09M,80.79M,143.30M,143.30M,143.30M,302.99M,42.57M,260.43M,,2.86,,2.86,2.86,,2.82,,2.82,2.82,,50.11M,50.82M,,AOR,Restated
2009-08,2.232B,2.232B,1.109B,1.123B,705.46M,,51.65M,-47.76M,,705.46M,417.60M,51.65M,-47.76M,,-47.76M,369.83M,133.71M,236.13M,236.13M,236.13M,478.64M,57.16M,421.48M,,4.44,,4.44,4.44,,4.37,,4.37,4.37,,51.63M,52.43M,,AOR,Restated
2009-05,1.658B,1.658B,825.25M,832.91M,527.68M,,31.48M,-31.48M,,527.68M,305.23M,31.48M,-31.48M,,-31.48M,273.75M,100.06M,173.69M,173.69M,173.69M,346.54M,41.31M,305.23M,,3.18,,3.18,3.18,,3.13,,3.13,3.13,,54.65M,55.46M,,AOR,Restated
2009-02,1.448B,1.448B,728.58M,719.30M,504.60M,,31.91M,-31.91M,,504.60M,214.70M,31.91M,-31.91M,,-31.91M,182.79M,66.92M,115.86M,115.86M,115.86M,256.51M,41.81M,214.70M,,2.05,,2.05,2.05,,2.03,,2.03,2.03,,56.52M,57.16M,,,Restated
2008-11,1.478B,1.478B,737.10M,741.19M,502.65M,,31.17M,-31.17M,,502.65M,238.54M,31.17M,-31.17M,,-31.17M,207.37M,76.00M,131.37M,131.37M,131.37M,278.69M,40.15M,238.54M,,2.25,,2.25,2.25,,2.23,,2.23,2.23,,58.32M,58.92M,,,Restated
2008-08,2.211B,2.211B,1.099B,1.112B,694.97M,,,-198.72M,,694.97M,416.84M,,-198.72M,,-198.72M,382.07M,138.33M,243.75M,243.75M,243.75M,473.42M,52.80M,420.62M,,3.90,,3.90,3.90,,3.85,,3.85,3.85,,61.89M,62.52M,,,Restated
2008-05,1.517B,1.517B,755.29M,762.01M,488.97M,,,25.33M,,488.97M,273.03M,,25.33M,,25.33M,247.70M,89.06M,158.64M,158.64M,158.64M,310.37M,37.33M,273.03M,,2.51,0.00,2.51,2.51,,2.49,0.00,2.49,2.49,,63.24M,63.79M,,,Restated
2008-02,1.339B,1.339B,671.45M,667.80M,470.91M,,,,,470.91M,196.88M,,,,,168.30M,61.59M,106.70M,106.70M,106.70M,236.16M,39.27M,196.88M,,1.69,0.00,1.69,1.69,,1.67,0.00,1.67,1.67,,63.20M,63.74M,,,
2007-11,1.456B,1.456B,729.21M,726.45M,489.07M,,,,,489.07M,237.38M,,,,,209.31M,76.80M,132.52M,132.52M,132.52M,277.48M,40.11M,237.38M,,2.04,0.00,2.04,2.04,,2.02,0.00,2.02,2.02,,64.86M,65.44M,,,
2007-08,2.003B,2.003B,998.36M,1.004B,625.97M,,,,,625.97M,378.37M,,,,,340.28M,123.10M,217.18M,217.18M,217.18M,429.69M,51.32M,378.37M,,3.23,0.00,3.23,3.23,,3.20,0.00,3.20,3.20,,65.70M,66.44M,,,
2007-05,1.474B,1.474B,738.27M,735.40M,470.42M,,,,,470.42M,264.98M,,,,,237.86M,86.27M,151.59M,151.59M,151.59M,302.32M,37.34M,264.98M,,2.19,0.00,2.19,2.19,,2.17,0.00,2.17,2.17,,69.14M,69.90M,,,
2007-02,1.300B,1.300B,661.14M,639.21M,450.29M,,,,,450.29M,188.92M,,,,,162.10M,59.09M,103.02M,103.02M,103.02M,225.43M,36.51M,188.92M,,1.46,0.00,1.46,1.46,,1.45,0.00,1.45,1.45,,70.48M,71.23M,,,
2006-11,1.393B,1.393B,707.77M,685.30M,462.30M,,,,,462.30M,223.00M,,,,,195.90M,72.01M,123.89M,123.89M,123.89M,258.96M,35.96M,223.00M,,1.74,0.00,1.74,1.74,,1.73,0.00,1.73,1.73,,71.08M,71.81M,,,
2006-08,1.939B,1.939B,976.27M,962.76M,589.64M,,,,,589.64M,373.12M,,,,,338.22M,124.77M,213.45M,213.45M,213.45M,418.50M,45.38M,373.12M,,2.91,0.00,2.91,2.91,,2.88,0.00,2.88,2.88,,71.67M,72.23M,,,
2006-05,1.417B,1.417B,713.39M,704.04M,450.87M,,,,,450.87M,253.17M,,,,,228.25M,83.82M,144.43M,144.43M,144.43M,285.78M,32.61M,253.17M,,1.90,0.00,1.90,1.90,,1.89,0.00,1.89,1.89,,75.91M,76.58M,,,
2006-02,1.254B,1.254B,637.62M,616.19M,437.84M,,,,,437.84M,178.34M,,,,,154.01M,56.99M,97.02M,97.02M,97.02M,210.21M,31.86M,178.34M,,1.26,0.00,1.26,1.26,,1.25,0.00,1.25,1.25,,76.78M,77.47M,,,
2005-11,1.338B,1.338B,682.55M,655.53M,450.24M,,,,,450.24M,205.29M,,,,,181.55M,67.18M,114.37M,114.37M,114.37M,236.47M,31.18M,205.29M,,1.49,0.00,1.49,1.49,,1.48,0.00,1.48,1.48,,76.59M,77.15M,,,
2005-08,1.882B,1.882B,965.96M,916.27M,565.10M,,,,,565.10M,351.17M,,,,,318.39M,111.77M,206.62M,206.62M,206.62M,390.61M,39.44M,351.17M,,2.68,0.00,2.68,2.68,,2.65,0.00,2.65,2.65,,76.20M,76.92M,,,
2005-05,1.338B,1.338B,665.28M,673.10M,413.64M,,,,,413.64M,259.46M,,,,,235.24M,87.45M,147.79M,147.79M,147.79M,285.42M,25.96M,259.46M,,1.88,0.00,1.88,1.88,,1.86,0.00,1.86,1.86,,78.52M,79.49M,,,
2005-02,1.204B,1.204B,621.68M,582.37M,433.65M,,,,,433.65M,148.72M,,,,,125.07M,30.98M,94.09M,94.09M,94.09M,195.01M,46.29M,148.72M,,1.18,0.00,1.18,1.18,,1.16,0.00,1.16,1.16,,79.69M,80.86M,,,
2004-11,1.286B,1.286B,665.40M,620.80M,404.49M,,,,,404.49M,216.31M,,,,,194.52M,72.00M,122.52M,122.52M,122.52M,242.56M,26.24M,216.31M,,1.54,0.00,1.54,1.54,,1.52,0.00,1.52,1.52,,79.71M,80.75M,,,
2004-08,1.836B,1.836B,932.74M,902.99M,539.24M,,,,,539.24M,363.76M,,,,,335.04M,125.65M,209.39M,209.39M,209.39M,398.59M,34.84M,363.76M,,2.981,,2.981,2.981,,2.50,0.00,2.50,2.50,,86.43M,86.43M,,,
2004-05,1.360B,1.360B,683.84M,676.19M,424.87M,,,,,424.87M,251.32M,,,,,229.41M,86.00M,143.41M,143.41M,143.41M,276.28M,24.96M,251.32M,,1.71,0.00,1.71,1.71,,1.68,0.00,1.68,1.68,,83.90M,85.20M,,,
2004-02,1.159B,1.159B,594.92M,564.31M,395.78M,,,,,395.78M,168.53M,,,,,146.60M,54.95M,91.65M,91.65M,91.65M,195.90M,27.38M,168.53M,,1.06,0.00,1.06,1.06,,1.04,0.00,1.04,1.04,,86.62M,88.03M,,,
2003-11,1.282B,1.282B,668.95M,613.09M,397.99M,,,,-0.001M,397.98M,215.10M,,,,,194.84M,73.10M,121.74M,121.74M,121.74M,239.06M,23.95M,215.10M,,1.37,0.00,1.37,1.37,,1.35,0.00,1.35,1.35,,88.74M,90.42M,,,
2003-08,1.829B,1.829B,958.55M,870.80M,510.71M,,,,,510.71M,360.09M,,,,,333.39M,125.95M,207.44M,207.44M,207.44M,394.31M,34.22M,360.09M,,2.645,,2.645,2.645,,2.22,0.00,2.22,2.22,,97.31M,97.31M,,,
2003-05,1.288B,1.288B,689.62M,598.82M,376.94M,,,,,376.94M,221.88M,,,,,202.53M,76.55M,125.98M,125.98M,125.98M,246.57M,24.69M,221.88M,,1.33,0.00,1.33,1.33,,1.30,0.00,1.30,1.30,,94.67M,96.81M,,,
2003-02,1.121B,1.121B,624.70M,496.00M,348.50M,,,,,348.50M,147.50M,,,,,127.86M,48.59M,79.28M,79.28M,79.28M,172.74M,25.24M,147.50M,,0.81,0.00,0.81,0.81,,0.79,0.00,0.79,0.79,,98.45M,100.39M,,,
2002-11,1.219B,1.219B,669.24M,549.39M,361.06M,,,,,361.06M,188.33M,,,,,169.22M,64.31M,104.91M,104.91M,104.91M,213.92M,25.59M,188.33M,,1.06,0.00,1.06,1.06,,1.04,0.00,1.04,1.04,,98.81M,101.21M,,,
2002-08,1.843B,1.843B,1.001B,842.37M,530.44M,,,,,530.44M,311.92M,,,,,287.19M,109.20M,177.99M,177.99M,177.99M,347.68M,35.76M,311.92M,,1.75,0.00,1.75,1.75,,1.71,0.00,1.71,1.71,,98.99M,101.40M,,,
2002-05,1.225B,1.225B,682.83M,541.98M,359.55M,,,,,359.55M,182.43M,,,,,165.01M,62.70M,102.31M,102.31M,102.31M,208.84M,26.40M,182.43M,,0.98,0.00,0.98,0.98,,0.96,0.00,0.96,0.96,,103.96M,106.64M,,,
2002-02,1.081B,1.081B,606.41M,474.90M,353.75M,,,,,353.75M,121.15M,,,,,102.87M,39.10M,63.77M,63.77M,63.77M,149.07M,27.92M,121.15M,,0.60,0.00,0.60,0.60,,0.58,0.00,0.58,0.58,,106.85M,109.80M,,,
2001-11,1.176B,1.176B,659.92M,516.14M,360.63M,,,,,360.63M,155.50M,,,,,136.08M,52.00M,84.08M,84.08M,84.08M,183.67M,28.17M,155.50M,,0.78,0.00,0.78,0.78,,0.76,0.00,0.76,0.76,,107.98M,110.60M,,,
2001-08,1.641B,1.641B,1.045B,596.12M,489.35M,,,,,397.65M,198.47M,,,,,43.48M,17.00M,26.48M,26.48M,26.48M,238.10M,39.64M,198.47M,,0.26,0.00,0.26,0.26,,0.24,0.00,0.24,0.24,,108.35M,110.62M,,,
2001-05,1.140B,1.140B,626.93M,513.03M,354.71M,,,,,385.16M,127.87M,,,,,104.02M,40.50M,63.52M,63.52M,63.52M,158.32M,30.45M,127.87M,,0.57,0.00,0.57,0.57,,0.56,0.00,0.56,0.56,,112.36M,113.04M,,,
2001-02,974.00M,974.00M,545.89M,428.11M,320.05M,,,,,350.83M,77.28M,,,,,51.74M,20.00M,31.74M,31.74M,31.74M,108.06M,30.78M,77.28M,,0.28,0.00,0.28,0.28,,0.28,0.00,0.28,0.28,,113.91M,114.50M,,,
2000-11,1.064B,1.064B,587.54M,476.03M,334.80M,,,,,365.26M,110.77M,,,,,87.79M,34.00M,53.79M,53.79M,53.79M,141.23M,30.46M,110.77M,,0.46,0.00,0.46,0.46,,0.46,0.00,0.46,0.46,,116.72M,117.05M,,,
2000-08,1.493B,1.493B,966.28M,526.37M,420.87M,,,,,326.79M,199.58M,,,,,171.22M,66.00M,105.22M,105.22M,105.22M,232.29M,32.72M,199.58M,,1.012,,1.012,1.012,,0.82,0.00,0.82,0.82,,137.86M,137.86M,,,
2000-05,1.059B,1.059B,576.37M,483.04M,323.23M,,,,,356.36M,126.68M,,,,,109.26M,42.00M,67.26M,67.26M,67.26M,159.81M,33.08M,126.68M,,0.50,0.00,0.50,0.50,,0.50,0.00,0.50,0.50,,134.42M,134.42M,,,
2000-02,924.20M,924.20M,504.80M,419.40M,308.40M,,,,,339.30M,80.10M,,,,,63.60M,24.50M,39.10M,39.10M,39.10M,111.00M,30.90M,80.10M,,0.28,0.00,0.28,0.28,,0.28,0.00,0.28,0.28,,139.64M,139.64M,,,
1999-11,1.006B,1.006B,554.90M,451.60M,315.80M,,,,,345.90M,105.70M,,,,,91.10M,35.10M,56.00M,56.00M,56.00M,135.80M,30.10M,105.70M,,0.40,0.00,0.40,0.40,,0.40,0.00,0.40,0.40,,140.00M,140.00M,,,
1999-08,1.393B,1.393B,759.24M,633.44M,420.79M,,,,,461.64M,171.80M,,,,,156.33M,57.60M,98.73M,98.73M,98.73M,212.65M,40.85M,171.80M,,0.67,0.00,0.67,0.67,,0.66,0.00,0.66,0.66,,143.11M,146.77M,,,
1999-05,970.24M,970.24M,530.33M,439.91M,304.62M,,,,,335.60M,104.31M,,,,,93.14M,34.40M,58.74M,58.74M,58.74M,135.29M,30.95M,104.31M,,0.39,0.00,0.39,0.39,,0.39,0.00,0.39,0.39,,150.73M,150.73M,,,
1999-02,852.50M,852.50M,470.60M,381.90M,286.20M,,,,,314.60M,67.30M,,,,,57.00M,21.00M,36.00M,36.00M,36.00M,95.70M,28.40M,67.30M,,0.24,0.00,0.24,0.24,,0.24,0.00,0.24,0.24,,150.00M,150.00M,,,
