,NetIncome,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2017-08,433.90M,,103.06M,,103.06M,103.06M,67.09M,,0.00,8.901M,,-15.19M,-3.04M,-3.179M,-29.54M,,-0.627M,-36.38M,561.38M,,-195.90M,,1.883M,,,-0.351M,,-194.37M,,-86.42M,,-86.42M,11.40M,-227.47M,-216.06M,-0.003M,-302.48M,,227.14M,64.53M,1.597M,293.27M,,11.40M,-30.70M,-55.72M,-227.47M,,AOR,Restated
2017-05,331.70M,,75.34M,,75.34M,75.34M,5.032M,,0.00,8.632M,,1.854M,-27.86M,57.29M,0.988M,,-7.647M,22.77M,445.33M,,-141.83M,,0.354M,,,-15.04M,,-156.52M,,-6.559M,,-6.559M,19.98M,-283.56M,-263.58M,-5.135M,-275.28M,,210.65M,13.54M,2.956M,227.14M,,19.98M,5.10M,-11.66M,-283.56M,,AOR,Restated
2017-02,237.14M,,72.83M,,72.83M,72.83M,-4.104M,,0.00,10.92M,,1.998M,23.76M,-130.00M,-65.38M,,10.22M,-161.40M,157.40M,,-118.19M,,0.357M,,,14.77M,,-103.06M,,141.78M,,141.78M,17.56M,-197.98M,-180.42M,-0.002M,-38.64M,,195.54M,15.69M,-0.582M,210.65M,,17.56M,553.40M,-411.62M,-197.98M,,AOR,Restated
2016-11,278.12M,,71.81M,,71.81M,71.81M,6.881M,,,9.787M,,1.95M,14.94M,-160.92M,172.88M,,11.04M,37.94M,406.50M,,-97.92M,,0.357M,,,-2.091M,,-99.65M,,61.19M,,61.19M,5.742M,-362.63M,-356.89M,-2.222M,-297.93M,,189.73M,8.923M,-3.119M,195.54M,,5.742M,72.20M,-11.01M,-362.63M,,AOR,Restated
2016-08,426.77M,,93.93M,,93.93M,93.93M,47.02M,,,11.37M,,-50.15M,6.062M,-41.79M,60.86M,,-8.251M,16.89M,545.83M,,-188.87M,,-0.342M,0.00,,-0.32M,,-189.53M,,-38.60M,,-38.60M,29.10M,-369.74M,-340.64M,-0.003M,-379.25M,,213.38M,-22.95M,-0.697M,189.73M,,29.10M,149.90M,-188.50M,-369.74M,,AOR,Restated
2016-05,327.51M,,68.53M,,68.53M,68.53M,-12.09M,,,9.905M,,1.869M,2.578M,7.644M,123.08M,,3.788M,137.09M,532.81M,,-113.33M,,1.832M,0.00,,-4.159M,,-115.66M,,103.45M,,103.45M,19.77M,-532.67M,-512.90M,-7.715M,-417.16M,,207.96M,-0.007M,5.429M,213.38M,,19.77M,131.50M,-28.05M,-532.67M,,AOR,Restated
2016-02,228.61M,,68.65M,,68.65M,68.65M,8.629M,,,9.891M,,1.812M,-50.18M,-102.96M,43.08M,,7.863M,-102.18M,215.41M,,-99.93M,,0.936M,0.00,,-0.556M,,-99.55M,,80.53M,,80.53M,6.385M,-149.96M,-143.57M,-0.217M,-63.26M,,165.49M,52.60M,-10.13M,207.96M,,6.385M,90.20M,-9.673M,-149.96M,,AOR,Restated
2015-11,258.11M,,66.28M,,66.28M,66.28M,1.464M,,,8.656M,,1.726M,0.088M,-90.42M,94.30M,,6.798M,10.76M,347.00M,,-96.66M,,0.228M,-10.00M,,-4.663M,,-101.09M,,118.20M,,118.20M,25.04M,-400.10M,-375.06M,,-256.86M,,175.31M,-10.95M,1.123M,165.49M,,25.04M,428.30M,-310.10M,-400.10M,,AOR,Restated
2015-08,401.14M,,86.71M,,86.71M,86.71M,41.40M,,,11.31M,44.66M,1.956M,-41.86M,27.55M,13.90M,,-12.85M,-13.26M,573.91M,,-184.69M,,4.888M,0.00,0.00,-0.241M,,-183.19M,,104.78M,,104.78M,9.702M,-430.50M,-420.80M,-44.67M,-360.69M,,153.29M,30.03M,-8.011M,175.31M,,9.702M,113.10M,-8.322M,-430.50M,,AOR,Restated
2015-05,309.07M,,62.30M,,62.30M,62.30M,3.60M,,,9.488M,-16.04M,1.356M,-15.98M,-16.48M,168.41M,,16.84M,152.80M,522.57M,,-109.72M,,-5.697M,0.00,0.00,-1.004M,,-113.27M,,77.70M,,77.70M,18.90M,-515.25M,-496.35M,9.425M,-409.22M,,151.54M,0.086M,1.663M,153.29M,,18.90M,86.20M,-8.495M,-515.25M,,AOR,Restated
2015-02,211.72M,,59.87M,,59.87M,59.87M,-8.077M,,,11.40M,-18.89M,1.397M,-2.131M,-193.36M,31.83M,,7.55M,-156.11M,101.31M,,-93.72M,,2.584M,0.00,0.00,0.53M,,-90.64M,,17.22M,,17.22M,18.51M,-26.06M,-7.554M,16.80M,26.47M,,117.19M,37.14M,-2.788M,151.54M,,18.51M,526.20M,-508.98M,-26.06M,,AOR,Restated
2014-11,238.31M,,61.04M,,61.04M,61.04M,-0.954M,,,8.804M,-9.731M,1.521M,23.51M,-84.50M,151.87M,,-14.64M,76.23M,375.23M,,-102.45M,,-0.034M,-10.00M,-75.74M,-2.614M,,-180.81M,,69.11M,,69.11M,19.60M,-299.61M,-280.00M,9.731M,-201.16M,,124.48M,-6.743M,-0.55M,117.19M,,19.60M,78.30M,-9.192M,-299.61M,,AOR,Restated
2014-08,373.67M,,78.98M,,78.98M,78.98M,6.536M,,,10.40M,-5.475M,-14.95M,-10.21M,-9.033M,-51.26M,,-8.556M,-79.05M,370.12M,,-176.39M,,2.729M,0.00,,0.663M,,-173.00M,,-43.01M,,-43.01M,7.622M,-187.68M,-180.05M,5.475M,-217.59M,,145.35M,-20.47M,-0.394M,124.48M,,7.622M,-34.60M,-8.408M,-187.68M,,AOR,Restated
2014-05,285.16M,,58.13M,,58.13M,58.13M,-0.395M,,,8.269M,-7.15M,1.637M,0.676M,-39.14M,149.30M,,6.653M,117.50M,463.15M,,-100.89M,,2.342M,0.00,0.00,-1.752M,,-101.17M,,48.80M,,48.80M,6.811M,-420.00M,-413.19M,7.15M,-357.24M,,139.76M,4.73M,0.864M,145.35M,,6.811M,56.72M,-7.921M,-420.00M,,AOR,Restated
2014-02,192.83M,,58.38M,,58.38M,58.38M,-22.82M,,,11.46M,-4.902M,1.547M,-17.19M,-145.04M,57.89M,,18.47M,-85.88M,150.63M,,-88.64M,,-0.176M,-11.11M,0.00,-1.583M,,-90.22M,,140.06M,,140.06M,11.39M,-200.00M,-188.61M,2.608M,-45.94M,,125.85M,14.46M,-0.56M,139.76M,,11.39M,634.68M,-494.62M,-200.00M,,AOR,Restated
2013-11,218.09M,,55.77M,,55.77M,55.77M,1.978M,,,9.252M,-6.244M,1.711M,-1.241M,-83.63M,175.89M,,-14.23M,76.79M,357.34M,,-83.30M,,-0.695M,0.00,0.00,-0.268M,,-83.57M,,-21.70M,,-21.70M,16.21M,-291.54M,-275.33M,6.244M,-290.79M,,142.19M,-17.01M,0.675M,125.85M,,16.21M,,-21.70M,-291.54M,,AOR,Restated
2013-08,371.20M,,71.32M,,71.32M,71.32M,36.00M,,,11.68M,-13.24M,2.382M,-17.35M,-77.79M,162.11M,,-27.16M,39.82M,519.15M,,-155.60M,,2.415M,0.00,0.00,-0.007M,,-153.19M,,178.18M,-0.003M,178.18M,14.34M,-559.97M,-545.63M,13.24M,-354.21M,,133.68M,11.75M,-3.243M,142.19M,,14.34M,123.60M,54.58M,-559.97M,,AOR,Restated
2013-05,265.58M,,52.89M,,52.89M,52.89M,-3.385M,,,9.016M,-19.80M,1.952M,4.782M,-31.88M,100.88M,,4.991M,78.77M,385.02M,,-89.24M,,6.442M,0.00,-1.084M,-0.442M,,-84.33M,,-1.796M,-0.062M,-1.858M,29.39M,-325.00M,-295.61M,13.72M,-283.74M,,115.55M,16.95M,1.187M,133.68M,,29.39M,265.60M,-267.46M,-325.00M,,AOR,Restated
2013-02,176.25M,,52.34M,,52.34M,52.34M,-10.46M,,,8.485M,-9.796M,1.964M,16.73M,-48.37M,-4.555M,,9.996M,-26.20M,192.59M,,-89.18M,,0.446M,0.00,-115.00M,-0.453M,,-204.19M,,187.85M,-0.031M,187.82M,14.20M,-185.02M,-170.82M,9.796M,26.79M,,99.86M,15.19M,0.492M,115.55M,,14.20M,195.10M,-7.285M,-185.02M,,AOR,Restated
2012-11,203.45M,,50.70M,,50.70M,50.70M,-2.455M,,,8.131M,-23.91M,1.941M,-12.36M,-74.81M,159.51M,,8.056M,80.39M,318.25M,,-80.43M,,0.462M,,,-5.623M,,-85.59M,,31.83M,-4.852M,26.97M,39.23M,-317.33M,-278.11M,15.27M,-235.86M,,103.09M,-3.197M,-0.032M,99.86M,,39.23M,339.30M,-312.33M,-317.33M,,AOR,Restated
2012-08,323.73M,,211.83M,,66.65M,66.65M,22.14M,,,9.491M,-25.78M,2.64M,-27.83M,1.664M,58.87M,,-6.214M,26.49M,425.37M,,-149.78M,,0.703M,,0.00,0.546M,,-148.53M,,155.00M,-2.278M,152.72M,24.82M,-480.14M,-455.32M,25.78M,-276.82M,,103.10M,0.026M,-0.033M,103.09M,,24.82M,0.00,152.72M,-480.14M,,AOR,Restated
2012-05,606.64M,,-96.17M,-3.573M,45.43M,45.43M,19.25M,,,8.827M,-37.26M,-352.63M,10.35M,-56.13M,87.68M,,5.228M,47.13M,337.39M,,-95.85M,-5.803M,0.067M,,0.00,-1.259M,,-97.04M,,276.53M,-138.44M,138.09M,17.47M,-400.46M,-382.98M,4.543M,-240.35M,,103.21M,0.001M,-0.108M,103.10M,,17.47M,382.80M,-244.71M,-400.46M,,AOR,Restated
2012-02,-191.12M,,47.52M,3.573M,51.10M,51.10M,-22.08M,,,7.483M,11.16M,356.32M,-8.652M,-38.33M,-50.60M,,3.652M,-93.93M,118.92M,,-70.51M,5.803M,4.746M,,,-1.545M,,-67.30M,,-7.337M,109.16M,101.82M,14.49M,-172.50M,-158.02M,10.64M,-45.56M,,96.68M,6.054M,0.477M,103.21M,,14.49M,111.40M,-9.585M,-172.50M,,AOR,Restated
2011-11,191.12M,,48.65M,,48.65M,48.65M,6.241M,,,7.562M,-11.16M,1.738M,4.856M,-75.12M,158.21M,,10.20M,98.14M,342.29M,,-61.92M,,1.057M,,,-1.022M,,-61.89M,,-5.148M,4.496M,-0.652M,18.56M,-309.76M,-291.20M,11.16M,-280.70M,,97.61M,-0.294M,-0.636M,96.68M,,18.56M,5.796M,-6.448M,-309.76M,,AOR,Restated
2011-08,301.47M,,62.86M,,62.86M,62.86M,54.44M,,,8.143M,-12.92M,2.902M,-4.733M,18.72M,-11.84M,,-24.40M,-22.25M,394.64M,,-121.02M,,1.002M,,,1.942M,,-118.08M,,140.40M,-12.79M,127.61M,13.70M,-433.31M,-419.62M,12.92M,-279.08M,,100.37M,-2.515M,-0.246M,97.61M,,13.70M,121.81M,5.802M,-433.31M,,AOR,Restated
2011-05,547.50M,,44.93M,-3.898M,41.03M,41.03M,8.031M,,,6.363M,-22.03M,-314.07M,4.031M,-69.37M,247.51M,,6.777M,188.95M,455.78M,,-92.23M,-2.158M,0.141M,,,0.494M,,-91.59M,,-17.68M,-18.10M,-35.78M,8.898M,-339.44M,-330.54M,-5.55M,-371.87M,,107.88M,-7.681M,0.167M,100.37M,,8.898M,-5.61M,-30.17M,-339.44M,,AOR,Restated
2011-02,-172.08M,,44.13M,3.898M,48.02M,48.02M,-23.26M,,,7.048M,8.994M,318.41M,-23.52M,-55.47M,-26.42M,,2.028M,-103.38M,83.76M,,-62.55M,1.632M,1.632M,,,-0.541M,,-61.46M,,331.53M,32.06M,363.58M,11.30M,-394.40M,-383.10M,6.853M,-12.66M,,98.01M,9.639M,0.229M,107.88M,,11.30M,19.56M,344.02M,-394.40M,,AOR,Restated
2010-11,172.08M,,44.29M,,44.29M,44.29M,5.454M,,,5.071M,-8.994M,1.725M,9.622M,-49.30M,167.89M,,9.521M,137.73M,357.35M,,-45.81M,0.526M,0.526M,,,-2.586M,,-47.87M,,-41.73M,5.738M,-35.99M,21.95M,-299.66M,-277.70M,3.544M,-310.15M,,98.28M,-0.67M,0.403M,98.01M,,21.95M,505.74M,-541.73M,-299.66M,,AOR,Restated
2010-08,268.93M,,62.17M,,62.17M,62.17M,-4.507M,,,5.905M,-12.08M,1.99M,-4.525M,-16.90M,174.07M,,-19.80M,132.84M,455.24M,,-135.33M,-6.452M,5.037M,,,-0.374M,,-130.67M,,181.07M,26.19M,207.25M,24.10M,-565.39M,-541.28M,12.08M,-321.94M,,95.76M,2.629M,-0.111M,98.28M,,24.10M,181.59M,25.67M,-565.39M,,AOR,Restated
2010-05,202.74M,,42.82M,,42.82M,42.82M,-2.371M,,,4.348M,-3.106M,1.506M,26.16M,-26.62M,131.03M,,15.59M,146.16M,392.10M,,-68.94M,2.221M,2.221M,,,-0.71M,,-67.43M,,-80.98M,0.00,-80.98M,10.09M,-266.38M,-256.29M,3.106M,-334.16M,,105.16M,-9.491M,0.092M,95.76M,,10.09M,-47.80M,-33.18M,-266.38M,,AOR,Restated
2010-02,123.33M,,44.53M,,44.53M,44.53M,-6.844M,,,4.616M,-6.476M,1.51M,-4.705M,1.858M,-37.12M,,-2.683M,-42.64M,118.03M,,-57.69M,2.612M,2.612M,,,-1.574M,,-56.65M,,30.61M,0.00,30.61M,14.90M,-87.51M,-72.60M,6.476M,-35.52M,,79.60M,25.86M,-0.298M,105.16M,,14.90M,35.20M,-4.592M,-87.51M,,AOR,Restated
2009-11,143.30M,,42.57M,,42.57M,42.57M,4.699M,,,4.251M,-0.585M,1.489M,-16.14M,-54.42M,93.61M,,12.11M,35.16M,230.88M,,-53.44M,1.619M,1.619M,,,-0.878M,,-52.70M,,8.108M,0.00,8.108M,3.821M,-204.38M,-200.56M,0.585M,-191.86M,,92.71M,-13.68M,0.579M,79.60M,,3.821M,12.60M,-4.492M,-204.38M,,AOR,Restated
2009-08,236.13M,,57.16M,,57.16M,57.16M,26.21M,,,5.643M,-0.893M,1.783M,13.51M,31.71M,30.27M,,-12.74M,62.76M,388.79M,,-112.16M,2.107M,2.107M,,,2.293M,,-107.76M,,316.58M,,316.58M,3.06M,-587.40M,-584.34M,-14.12M,-281.88M,,94.29M,-0.85M,-0.731M,92.71M,,3.06M,621.00M,-304.42M,-587.40M,,AOR,Restated
2009-05,173.69M,,41.31M,,41.31M,41.31M,8.38M,,,4.185M,-3.461M,0.621M,-14.74M,-50.03M,223.74M,,3.03M,162.00M,386.73M,,-61.94M,1.631M,1.631M,,,-2.075M,,-62.38M,,-289.35M,,-289.35M,13.13M,-65.44M,-52.31M,2.927M,-338.73M,,107.97M,-14.39M,0.707M,94.29M,,13.13M,-284.86M,-4.495M,-65.44M,,AOR,Restated
2009-02,115.86M,,41.81M,,41.81M,41.81M,10.22M,,,4.851M,-2.533M,0.62M,-58.66M,-4.193M,-95.38M,,-5.101M,-163.32M,7.51M,,-47.05M,2.427M,2.427M,,,-2.345M,,-46.96M,,418.41M,,418.41M,15.60M,-375.04M,-359.44M,3.067M,62.04M,,85.76M,22.58M,-0.364M,107.97M,,15.60M,422.56M,-4.147M,-375.04M,,,Restated
2008-11,131.37M,,40.15M,,40.15M,40.15M,1.502M,,,4.456M,-1.52M,0.62M,3.054M,-53.83M,10.79M,,4.187M,-35.80M,140.78M,,-51.10M,4.498M,4.498M,,,-0.011M,,-46.61M,,14.22M,,14.22M,8.062M,-272.12M,-264.06M,1.52M,-248.32M,,242.46M,-154.15M,-2.557M,85.76M,,8.062M,18.90M,-4.679M,-272.12M,,,Restated
2008-08,243.75M,,169.51M,,52.80M,52.80M,47.97M,-1.223M,,5.758M,-6.566M,-8.44M,3.944M,-38.80M,108.80M,,1.365M,75.31M,419.63M,,-90.08M,3.331M,3.331M,,,5.206M,,-81.54M,,348.40M,-35.30M,313.10M,12.24M,-499.21M,-486.96M,-3.96M,-177.82M,,81.65M,160.27M,0.539M,242.46M,,12.24M,714.70M,-401.60M,-499.21M,,,Restated
2008-05,158.64M,,-78.56M,-0.82M,37.33M,37.33M,13.67M,1.223M,,12.63M,-3.576M,4.266M,-9.695M,-37.99M,88.13M,-49.76M,-0.108M,-9.418M,204.49M,,-58.37M,0.156M,95.30M,,,2.631M,,-55.58M,,-50.81M,35.30M,-167.02M,3.155M,0.00,3.155M,3.149M,-160.72M,,93.46M,-11.81M,0.00,81.65M,,3.155M,35.30M,-50.81M,0.00,,,Restated
2008-02,106.70M,,38.86M,0.405M,39.27M,39.27M,6.216M,,,,,3.624M,-11.37M,-16.96M,-1.99M,-4.962M,5.40M,-29.88M,125.93M,,-50.26M,0.135M,-50.12M,,,3.759M,,-46.36M,,,,-70.06M,2.901M,0.00,2.901M,1.246M,-65.92M,,79.81M,13.65M,,93.46M,,2.901M,,,0.00,,,
2007-11,132.52M,,39.69M,0.415M,40.11M,40.11M,-0.379M,,,,,2.387M,5.976M,-44.09M,-23.07M,54.72M,2.885M,-3.586M,171.04M,,-44.89M,0.392M,-44.50M,,,-15.17M,,-59.66M,,,,221.58M,8.766M,-349.99M,-341.22M,1.421M,-118.22M,,86.65M,-6.841M,,79.81M,,8.766M,,,-349.99M,,,
2007-08,217.18M,,50.80M,0.515M,51.32M,51.32M,27.41M,,,,,3.436M,-7.134M,-28.19M,186.82M,-100.22M,12.34M,63.62M,361.04M,,-66.71M,1.353M,-65.36M,,,4.235M,,-61.13M,,,,-14.16M,7.383M,-297.42M,-290.04M,8.365M,-295.84M,,82.57M,4.081M,,86.65M,,7.383M,,,-297.42M,,,
2007-05,151.59M,,36.95M,0.394M,37.34M,37.34M,-2.347M,,,,,1.914M,7.173M,-68.39M,25.52M,54.26M,-3.364M,15.19M,203.69M,,-55.50M,1.962M,-53.54M,,,4.353M,,-49.18M,,,,94.70M,4.158M,-244.81M,-240.65M,-12.05M,-158.00M,,86.06M,-3.489M,,82.57M,,4.158M,,,-244.81M,,,
2007-02,103.02M,,36.10M,0.401M,36.51M,36.51M,0.587M,,,,,-1.915M,13.92M,-27.50M,24.02M,23.66M,-3.793M,30.30M,168.50M,,-50.06M,-0.144M,-50.21M,,,2.698M,,-47.51M,,,,-13.80M,21.30M,-128.89M,-107.59M,13.11M,-108.28M,,73.36M,12.70M,,86.06M,,21.30M,,,-128.89M,,,
2006-11,123.89M,,35.55M,0.409M,35.96M,35.96M,-0.802M,,,,,-1.496M,6.531M,-36.70M,-50.12M,39.88M,-5.185M,-45.59M,111.96M,,-52.20M,0.282M,-51.92M,,,-18.98M,,-70.90M,,,,6.20M,26.11M,-90.77M,-64.66M,-0.808M,-59.27M,,91.56M,-18.20M,,73.36M,,26.11M,,,-90.77M,,,
2006-08,213.45M,-2.78M,44.86M,0.512M,45.38M,45.38M,45.00M,,,,,,22.24M,-93.96M,280.72M,-126.42M,-3.924M,78.65M,386.46M,,-81.41M,7.389M,-74.02M,,,2.202M,,-71.82M,,,,32.71M,3.003M,-339.96M,-336.95M,-2.80M,-307.04M,,83.97M,7.59M,,91.56M,,3.003M,,,-339.96M,,,
2006-05,144.43M,-5.202M,32.29M,0.316M,32.61M,32.61M,-1.869M,,,,,,21.67M,-30.01M,4.884M,66.10M,4.532M,67.18M,237.14M,,-66.31M,1.543M,-64.76M,,,3.791M,,-60.97M,,,,46.50M,8.063M,-228.32M,-220.26M,0.186M,-173.58M,,81.37M,2.596M,,83.97M,,8.063M,,,-228.32M,,,
2006-02,97.02M,4.243M,31.49M,0.369M,31.86M,31.86M,-4.162M,,,,,,-10.51M,-41.67M,-77.60M,30.22M,42.07M,-57.48M,71.48M,,-57.40M,0.345M,-57.06M,,,-20.58M,,-77.64M,,,,-9.80M,11.94M,0.00,11.94M,4.011M,6.15M,,81.38M,-0.006M,,81.37M,,11.94M,,,0.00,,,
2005-11,114.37M,3.739M,30.82M,0.362M,31.18M,31.18M,-2.658M,,,,,,4.502M,-17.16M,-23.02M,58.77M,-42.07M,-18.97M,127.66M,,-58.46M,0.568M,-57.89M,,,,,-57.89M,,,,-71.40M,15.25M,-9.787M,5.461M,2.733M,-63.21M,,74.81M,6.568M,,81.38M,,15.25M,,,-9.787M,,,
2005-08,206.62M,8.454M,38.93M,0.514M,39.44M,39.44M,22.26M,,,,,,2.719M,-26.73M,43.59M,-67.34M,15.56M,-32.20M,244.57M,,-96.54M,0.118M,-96.42M,,0.026M,,,-96.40M,,,,-52.00M,19.34M,-118.29M,-98.96M,0.214M,-150.74M,,77.38M,-2.568M,,74.81M,,19.34M,,,-118.29M,,,
2005-05,147.79M,13.66M,25.34M,0.618M,25.96M,25.96M,-38.89M,,,,,6.681M,-13.49M,-58.39M,184.52M,20.87M,13.63M,147.15M,302.34M,,-68.16M,1.637M,-66.52M,,0.044M,,,-66.48M,,,,13.70M,26.80M,-278.56M,-251.76M,-0.563M,-238.63M,,80.14M,-2.761M,,77.38M,,26.80M,,,-278.56M,,,
