,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,TreasuryStock,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2018-04,4.201B,479.30M,4.681B,35.22B,,,35.22B,2.231B,900.00M,5.208B,-0.10M,6.889B,,46.79B,,,,,12.47B,,12.47B,,12.47B,3.189B,1.692B,4.881B,202.10M,1.432B,1.718B,1.763B,23.08B,69.87B,,,,,,,9.790B,,,,15.30B,15.30B,,15.30B,,,,,25.09B,26.28B,,26.28B,562.70M,562.70M,7.366B,9.70M,14.60M,,34.37B,59.45B,4.423B,25.59B,15.43B,,,,-4.173B,10.41B
2018-01,3.915B,462.30M,4.377B,33.01B,,,33.01B,2.191B,924.00M,4.98B,0.20M,6.614B,,44.01B,,,,,12.40B,,12.40B,,12.40B,3.112B,1.66B,4.772B,194.00M,1.070B,1.876B,1.680B,22.57B,66.58B,,,,,,,8.490B,,,,14.17B,14.17B,,14.17B,,,,,22.66B,26.42B,,26.42B,590.20M,590.20M,7.507B,12.30M,14.00M,,34.65B,57.31B,4.374B,24.57B,15.40B,,,,-4.289B,9.253B
2017-10,9.335B,451.60M,9.786B,33.19B,,,33.19B,1.688B,495.00M,3.182B,0.10M,3.904B,,46.88B,0.0,126.00M,3.47B,5.378B,9.221B,358.00M,18.55B,-6.891B,11.66B,1.033B,218.00M,1.251B,182.50M,1.236B,2.415B,1.624B,18.91B,65.79B,2.069B,194.00M,503.00M,646.00M,3.412B,2.772B,6.184B,,378.00M,3.439B,10.34B,14.15B,,14.15B,1.317B,1.317B,,,22.57B,25.89B,,25.89B,209.70M,209.70M,7.418B,3.20M,14.00M,0.60M,33.66B,56.23B,4.280B,25.30B,15.46B,,,,-4.564B,9.557B
2017-07,6.537B,426.10M,6.964B,33.04B,,,33.04B,1.571B,517.00M,3.571B,-0.10M,4.253B,,44.25B,,,,,11.20B,,11.20B,,11.20B,845.80M,92.00M,937.80M,220.80M,857.70M,3.068B,1.591B,18.10B,62.35B,,,,,,,7.599B,,,,13.80B,13.80B,,13.80B,,,,,21.40B,23.67B,,23.67B,190.00M,190.00M,8.420B,2.70M,14.00M,,32.38B,53.78B,4.245B,24.98B,15.48B,,,,-5.180B,8.572B
2017-04,4.526B,546.30M,5.072B,32.07B,,,32.07B,1.559B,531.00M,3.421B,-0.20M,4.115B,,41.25B,,,,,10.88B,,10.88B,,10.88B,806.20M,91.00M,897.20M,215.70M,966.20M,3.042B,1.536B,17.72B,58.97B,,,,,,,7.216B,,,,12.19B,12.19B,,12.19B,,,,,19.40B,23.25B,,23.25B,169.00M,169.00M,8.333B,9.10M,14.00M,,31.87B,51.28B,4.177B,24.52B,15.52B,,,,-5.496B,7.685B
2017-01,3.89B,445.50M,4.336B,30.52B,,,30.52B,1.453B,564.00M,3.379B,-0.40M,3.960B,,38.81B,,,,,10.86B,,10.86B,,10.86B,809.20M,96.00M,905.20M,220.90M,905.70M,2.963B,1.500B,17.48B,56.30B,,,,,,,6.334B,,,,11.66B,11.66B,,11.66B,,,,,18.00B,22.92B,,22.92B,168.90M,168.90M,8.270B,10.20M,14.00M,,31.46B,49.46B,4.085B,23.91B,15.57B,,,,-5.604B,6.826B
2016-10,4.336B,453.50M,4.789B,31.84B,,,31.84B,1.369B,453.00M,2.976B,-0.50M,3.340B,,39.97B,0.0,123.00M,3.303B,5.18B,8.434B,370.00M,17.41B,-6.338B,11.07B,815.70M,104.00M,919.70M,232.60M,1.036B,2.964B,1.631B,17.95B,57.92B,1.598B,189.00M,,691.00M,2.478B,2.713B,5.191B,,315.00M,1.253B,10.34B,11.91B,,11.91B,1.136B,1.136B,,,19.15B,23.70B,,23.70B,166.00M,166.00M,8.274B,10.80M,14.00M,-0.20M,32.24B,51.39B,3.912B,23.91B,15.68B,,,,-5.626B,6.52B
2016-07,4.321B,468.90M,4.790B,32.47B,,,32.47B,1.394B,460.00M,3.395B,0.30M,3.851B,,41.11B,,,,,10.65B,,10.65B,,10.65B,823.60M,110.00M,933.60M,246.20M,830.60M,2.613B,1.903B,17.50B,58.61B,,,,,,,6.800B,,,,13.09B,13.09B,,13.09B,,,,,19.89B,24.13B,,24.13B,172.30M,172.30M,6.887B,11.30M,14.40M,,31.28B,51.17B,3.884B,23.82B,15.69B,,,,-4.582B,7.428B
2016-04,4.133B,475.50M,4.609B,33.05B,,,33.05B,1.485B,507.00M,3.473B,,4.061B,,41.72B,,,,,10.54B,,10.54B,,10.54B,835.00M,121.00M,956.00M,236.70M,957.50M,2.682B,1.812B,17.47B,59.18B,,,,,,,6.981B,,,,13.22B,13.22B,,13.22B,,,,,20.20B,24.65B,,24.65B,180.30M,180.30M,6.856B,12.40M,14.00M,,31.81B,52.01B,3.862B,23.51B,15.69B,,,,-4.519B,7.164B
2016-01,3.460B,476.30M,3.936B,31.04B,,,31.04B,1.638B,538.00M,3.48B,-0.50M,4.250B,,39.23B,,,,,10.11B,,10.11B,,10.11B,718.70M,60.00M,778.70M,299.50M,1.117B,2.517B,1.732B,16.81B,56.04B,,,,,,,6.196B,,,,11.70B,11.70B,,11.70B,,,,,17.90B,24.53B,,24.53B,149.60M,149.60M,6.769B,13.60M,,,31.53B,49.43B,3.843B,23.21B,15.60B,,,,-4.860B,6.590B
2015-10,4.162B,437.40M,4.600B,32.69B,,,32.69B,1.559B,450.00M,3.234B,,3.817B,,41.11B,0.0,118.00M,3.089B,5.055B,7.448B,345.00M,16.06B,-5.904B,10.15B,726.00M,64.00M,790.00M,303.50M,1.024B,2.767B,1.584B,16.84B,57.95B,1.435B,193.00M,,623.00M,2.251B,2.817B,5.068B,,206.00M,2.968B,9.843B,13.02B,,13.02B,1.05B,1.05B,,,20.33B,23.83B,,23.83B,160.80M,160.80M,6.788B,14.20M,0.00,-0.10M,30.86B,51.19B,3.826B,23.14B,15.50B,,,,-4.729B,6.743B
2015-07,4.131B,421.10M,4.552B,33.93B,,,33.93B,1.587B,522.00M,3.701B,,4.319B,,42.80B,,,,,9.552B,,9.552B,,9.552B,715.90M,58.00M,773.90M,310.60M,866.30M,2.705B,1.587B,16.13B,58.93B,,,,,,,7.236B,,,,13.94B,13.94B,,13.94B,,,,,21.18B,23.20B,,23.20B,150.90M,150.90M,6.603B,1.90M,,,30.03B,51.21B,3.806B,22.99B,14.56B,,,,-4.507B,7.723B
2015-04,4.355B,392.90M,4.748B,34.20B,,,34.20B,1.675B,630.00M,3.831B,0.20M,4.624B,,43.58B,,,,,9.440B,,9.440B,,9.440B,737.00M,60.00M,797.00M,299.20M,919.80M,2.659B,1.588B,16.02B,59.59B,,,,,,,7.260B,,,,13.69B,13.69B,,13.69B,,,,,20.95B,23.62B,,23.62B,149.30M,149.30M,6.564B,2.20M,,,30.47B,51.42B,3.745B,22.67B,13.95B,,,,-4.294B,8.174B
2015-01,3.975B,493.80M,4.469B,33.03B,,,33.03B,1.723B,697.00M,3.622B,0.10M,4.527B,,42.41B,,,,,9.182B,,9.182B,,9.182B,741.30M,62.00M,803.30M,301.60M,948.50M,2.584B,1.772B,15.88B,58.29B,,,,,,,6.422B,,,,12.51B,12.51B,,12.51B,,,,266.80M,19.20B,24.11B,,24.11B,146.70M,146.70M,6.469B,2.80M,,,30.84B,50.04B,3.714B,22.19B,13.41B,,,,-4.245B,8.246B
2014-10,3.787B,1.215B,5.002B,35.30B,,,35.30B,1.724B,654.00M,3.36B,-0.30M,4.210B,,44.51B,0.0,124.00M,3.108B,5.089B,6.494B,530.00M,15.34B,-5.751B,9.594B,791.20M,69.00M,860.20M,303.20M,1.530B,2.777B,1.497B,16.82B,61.34B,1.661B,210.00M,,872.00M,2.743B,3.125B,5.868B,247.00M,413.00M,2.633B,9.532B,12.58B,,12.58B,1.002B,1.002B,,,21.13B,24.38B,,24.38B,160.90M,160.90M,6.496B,2.90M,,,31.14B,52.27B,3.675B,22.00B,12.83B,,,,-3.783B,9.063B
2014-07,3.035B,1.489B,4.524B,35.90B,,,35.90B,1.848B,792.00M,4.361B,,5.439B,,45.86B,,,,,8.966B,,8.966B,,8.966B,829.80M,69.00M,898.80M,310.20M,1.226B,2.564B,1.312B,15.89B,61.75B,,,,,,,8.433B,,,,12.72B,12.72B,,12.72B,,,,,21.16B,24.04B,,24.04B,160.10M,160.10M,5.474B,2.50M,,,29.76B,50.92B,3.653B,21.56B,11.74B,,,,-2.645B,10.83B
2014-04,3.078B,1.572B,4.650B,34.96B,,,34.96B,2.024B,956.00M,4.389B,-0.40M,5.850B,,45.55B,,,,,8.577B,,8.577B,,8.577B,839.60M,71.00M,910.60M,308.50M,1.232B,2.458B,1.249B,15.32B,60.86B,,,,,,,8.150B,,,,13.09B,13.09B,,13.09B,,,,49.80M,21.29B,23.17B,,23.17B,162.00M,162.00M,5.439B,2.30M,,,28.90B,50.19B,3.622B,20.93B,11.22B,,,,-2.664B,10.67B
2014-01,3.189B,1.438B,4.627B,32.45B,,,32.45B,2.108B,847.00M,4.151B,-0.40M,5.555B,,42.63B,,,,,8.377B,,8.377B,,8.377B,835.00M,75.00M,910.00M,297.50M,1.193B,2.323B,1.344B,15.03B,57.66B,,,,,,,7.33B,,,,12.15B,12.15B,,12.15B,,,,,19.48B,22.27B,,22.27B,154.80M,154.80M,5.414B,2.10M,,,27.92B,47.40B,3.571B,20.14B,10.64B,,,,-2.809B,10.26B
2013-10,3.504B,1.625B,5.129B,33.54B,,,33.54B,1.954B,753.00M,3.757B,-0.30M,4.935B,,44.11B,0.0,127.00M,2.946B,4.931B,5.546B,728.00M,14.28B,-5.659B,8.619B,845.00M,77.00M,922.00M,221.40M,1.495B,2.325B,1.275B,15.41B,59.52B,2.174B,192.00M,,762.00M,3.128B,3.236B,6.364B,197.00M,398.00M,3.162B,9.338B,12.90B,,12.90B,919.00M,919.00M,,120.40M,21.99B,21.58B,,21.58B,160.30M,160.30M,5.417B,1.90M,,-0.80M,27.26B,49.25B,3.524B,19.65B,10.21B,,,,-2.693B,10.27B
2013-07,3.090B,1.706B,4.796B,32.94B,,,32.94B,1.917B,690.00M,4.391B,0.30M,5.594B,,43.33B,,,,,7.934B,,7.934B,,7.934B,924.00M,81.00M,1.005B,214.20M,1.058B,3.468B,1.297B,15.01B,58.34B,,,,,,,8.306B,,,,11.99B,11.99B,,11.99B,,,,,20.30B,21.70B,,21.70B,155.50M,155.50M,7.511B,1.80M,,,29.45B,49.75B,3.499B,19.03B,9.442B,,,,-4.499B,8.590B
2013-04,3.651B,1.399B,5.050B,31.93B,,,31.93B,2.006B,726.00M,4.789B,,6.173B,,43.16B,,,,,7.690B,,7.690B,,7.690B,923.00M,94.00M,1.017B,230.00M,1.202B,3.373B,1.452B,15.00B,58.16B,,,,,,,8.133B,,,,12.20B,12.20B,,12.20B,,,,,20.34B,21.75B,,21.75B,158.60M,158.60M,7.498B,1.90M,,,29.55B,49.89B,3.474B,18.23B,8.987B,,,,-4.454B,8.265B
2013-01,3.672B,1.376B,5.048B,29.03B,,,29.03B,2.045B,815.00M,4.775B,-0.30M,6.243B,,40.32B,,,,,7.495B,,7.495B,,7.495B,934.00M,99.00M,1.033B,201.50M,1.325B,3.312B,1.461B,14.85B,55.17B,,,,,,,7.200B,,,,10.38B,10.38B,,10.38B,,,,,17.58B,22.17B,,22.17B,169.40M,169.40M,7.698B,1.80M,,,30.11B,47.68B,3.434B,17.35B,8.817B,,,,-4.480B,7.484B
2012-10,4.652B,1.470B,6.123B,29.58B,,,29.58B,1.874B,652.00M,4.065B,,5.17B,,40.87B,0.0,141.00M,2.654B,4.393B,4.713B,938.00M,12.84B,-5.299B,7.540B,921.00M,105.00M,1.026B,215.00M,1.851B,3.280B,1.465B,15.40B,56.27B,2.287B,179.00M,,846.00M,3.312B,3.088B,6.40B,449.00M,201.00M,1.207B,8.560B,9.968B,,9.968B,734.00M,734.00M,,,18.96B,22.45B,,22.45B,164.40M,164.40M,7.695B,19.90M,,-0.50M,30.45B,49.40B,3.352B,16.88B,8.814B,,,,-4.572B,6.842B
2012-07,3.398B,1.546B,4.943B,28.42B,,,28.42B,1.876B,639.00M,4.673B,0.50M,5.868B,,39.23B,,,,,6.713B,,6.713B,,6.713B,934.00M,108.00M,1.042B,217.80M,1.38B,3.029B,1.547B,13.97B,53.20B,,,,,,,8.069B,,,,10.07B,10.07B,,10.07B,,,,,18.14B,21.16B,,21.16B,162.70M,162.70M,6.222B,18.80M,,,27.65B,45.78B,3.320B,16.37B,8.476B,,,,-3.815B,7.396B
2012-04,3.020B,1.339B,4.359B,27.61B,,,27.61B,1.89B,748.00M,4.902B,0.40M,6.112B,,38.08B,,,,,6.556B,,6.556B,,6.556B,965.00M,114.00M,1.079B,233.70M,1.156B,2.945B,1.326B,13.33B,51.41B,,,,,,,7.631B,,,,10.94B,10.94B,,10.94B,,,,,18.57B,18.72B,,18.72B,164.80M,164.80M,6.361B,17.10M,,,25.43B,44.01B,3.299B,15.76B,8.005B,,,,-3.674B,7.379B
2012-01,3.388B,1.126B,4.515B,25.11B,,,25.11B,1.85B,814.00M,4.503B,-0.30M,5.678B,,35.30B,,,,,6.356B,,6.356B,,6.356B,965.00M,119.00M,1.084B,226.00M,1.294B,2.880B,1.403B,13.27B,48.58B,,,,,,,6.817B,,,,11.12B,11.12B,,11.12B,,,,,17.94B,16.92B,,16.92B,152.80M,152.80M,6.670B,15.80M,,,23.86B,41.80B,3.277B,14.89B,7.657B,,,,-3.744B,6.763B
2011-10,3.647B,787.30M,4.434B,26.12B,,,26.12B,1.626B,647.00M,3.584B,-0.40M,4.371B,,34.93B,0.0,121.00M,2.501B,4.254B,4.133B,649.00M,11.66B,-5.156B,6.502B,1.00B,127.00M,1.127B,201.70M,1.379B,2.859B,1.180B,13.28B,48.21B,2.163B,168.00M,,611.00M,2.942B,3.076B,6.018B,186.00M,80.00M,1.279B,8.270B,9.629B,,9.629B,345.00M,345.00M,,,17.43B,16.96B,,16.96B,168.30M,168.30M,6.712B,14.60M,,,23.96B,41.39B,3.252B,14.52B,7.293B,-4.135B,453.80M,3.60M,-3.678B,6.800B
2011-07,3.618B,459.40M,4.078B,25.76B,,,25.76B,1.628B,567.00M,3.954B,-0.30M,4.688B,,34.53B,,,,,6.084B,,6.084B,,6.084B,1.023B,133.00M,1.156B,224.70M,993.20M,2.825B,1.093B,12.61B,47.14B,,,,,,,7.121B,,,,10.31B,10.31B,,10.31B,,,,,17.43B,15.89B,,15.89B,160.00M,160.00M,5.969B,12.40M,,,22.16B,39.60B,3.231B,14.02B,6.724B,,,,-2.997B,7.528B
2011-04,3.950B,239.50M,4.189B,25.48B,,,25.48B,1.445B,625.00M,4.05B,,4.687B,,34.36B,,,,,5.914B,,5.914B,,5.914B,1.039B,131.00M,1.17B,220.90M,873.70M,2.826B,1.021B,12.23B,46.59B,,,,,,,6.777B,,,,9.893B,9.893B,,9.893B,,,,,16.67B,16.19B,,16.19B,162.60M,162.60M,5.933B,10.30M,,,22.48B,39.15B,3.212B,13.48B,6.238B,,,,-3.027B,7.423B
2011-01,3.438B,234.20M,3.672B,23.17B,,,23.17B,1.413B,612.00M,3.591B,0.40M,4.178B,,31.02B,,,,,5.627B,,5.627B,,5.627B,997.00M,133.00M,1.13B,215.30M,928.90M,2.664B,1.133B,11.88B,42.90B,,,,,,,5.910B,,,,7.458B,7.458B,,7.458B,,,,,13.37B,16.71B,,16.71B,149.80M,149.80M,5.808B,8.10M,,,22.94B,36.31B,3.155B,12.72B,6.003B,,,,-3.292B,6.579B
2010-10,3.791B,227.90M,4.018B,23.38B,,,23.38B,1.201B,483.00M,2.777B,,3.063B,,31.40B,0.0,117.00M,2.296B,3.972B,3.764B,478.00M,10.63B,-4.90B,5.727B,999.00M,117.00M,1.116B,244.50M,964.80M,2.477B,1.194B,11.87B,43.27B,1.825B,127.00M,154.00M,558.00M,2.664B,2.446B,5.11B,18.00M,44.00M,2.028B,5.463B,7.535B,,7.535B,286.00M,286.00M,,,14.02B,16.82B,,16.82B,144.30M,144.30M,5.785B,13.10M,,-1.10M,22.95B,36.96B,3.106B,12.35B,5.790B,-3.797B,436.00M,-18.60M,-3.380B,6.290B
2010-07,3.754B,232.30M,3.986B,22.40B,,,22.40B,1.082B,454.40M,2.975B,,3.175B,,29.56B,,,,,6.176B,,6.176B,,6.176B,993.00M,126.00M,1.119B,232.70M,725.00M,2.592B,1.210B,12.25B,41.81B,,,,,,,5.856B,,,,7.486B,7.486B,,7.486B,,,,,13.34B,16.37B,,16.37B,133.20M,133.20M,5.675B,10.60M,,,22.34B,35.68B,3.075B,12.02B,5.598B,,,,-3.385B,6.115B
2010-04,3.615B,234.20M,3.849B,22.14B,,,22.14B,1.043B,457.00M,2.821B,-0.10M,3.003B,,28.99B,,,,,6.148B,,6.148B,,6.148B,1.006B,129.00M,1.135B,227.00M,648.30M,2.593B,1.102B,12.02B,41.01B,,,,,,,5.626B,,,,6.261B,6.261B,,6.261B,,,,,11.89B,17.38B,,17.38B,136.50M,136.50M,5.804B,8.50M,,,23.47B,35.35B,3.058B,11.53B,5.522B,,,,-3.419B,5.651B
2010-01,5.043B,206.40M,5.250B,20.41B,,,20.41B,993.00M,448.00M,2.70B,-0.50M,2.752B,,28.41B,,,,,6.038B,,6.038B,,6.038B,1.01B,131.00M,1.141B,220.40M,812.90M,2.750B,1.281B,12.37B,40.78B,,,,,,,4.777B,,,,7.679B,7.679B,,7.679B,,,,,12.46B,17.09B,,17.09B,155.40M,155.40M,6.015B,6.40M,,,23.34B,35.79B,3.040B,11.10B,5.541B,,,,-3.625B,4.980B
2009-10,4.652B,192.00M,4.844B,20.98B,,,20.98B,940.00M,387.30M,2.437B,,2.397B,,28.22B,0.0,120.00M,2.214B,4.89B,3.526B,399.00M,11.15B,-4.884B,6.265B,1.037B,136.00M,1.173B,212.80M,902.40M,2.805B,1.458B,12.91B,41.13B,1.093B,118.00M,60.00M,573.00M,1.844B,2.335B,4.179B,,3.212B,286.00M,3.661B,7.159B,,7.159B,280.00M,280.00M,,,12.53B,17.39B,,17.39B,167.30M,167.30M,6.166B,4.10M,,,23.78B,36.31B,2.996B,10.98B,5.565B,-3.955B,400.20M,-38.50M,-3.593B,4.819B
2009-07,4.315B,181.00M,4.496B,21.16B,,,21.16B,1.025B,426.00M,2.949B,,3.02B,,28.67B,,,,,6.074B,,6.074B,,6.074B,1.294B,141.80M,1.436B,214.30M,733.40M,1.556B,1.517B,12.72B,41.39B,,,,,,,5.590B,,,,8.048B,8.048B,,8.048B,,,,,13.64B,16.72B,,16.72B,161.00M,161.00M,3.367B,,,,20.32B,33.96B,2.988B,11.32B,5.574B,,,,-1.312B,7.424B
2009-04,4.797B,185.80M,4.983B,21.05B,,,21.05B,1.169B,480.00M,3.24B,,3.551B,,29.59B,,,,,5.808B,,5.808B,,5.808B,1.257B,145.20M,1.402B,207.60M,683.60M,1.572B,1.392B,12.21B,41.80B,,,,,,,5.590B,,,,8.930B,8.930B,,8.930B,,,,,14.52B,16.85B,,16.85B,173.50M,173.50M,3.288B,,,,20.41B,34.93B,2.977B,11.02B,5.580B,,,,-1.548B,6.868B
2009-01,5.004B,230.50M,5.235B,20.12B,,,20.12B,1.346B,581.00M,3.242B,-0.40M,3.837B,,29.19B,,,,,5.693B,,5.693B,,5.693B,1.241B,152.00M,1.393B,213.70M,734.10M,1.420B,1.559B,12.14B,41.34B,,,,,,,5.524B,,,,9.333B,9.333B,,9.333B,,,,,14.86B,16.57B,,16.57B,166.20M,166.20M,3.068B,,,,19.93B,34.78B,2.968B,10.67B,5.583B,,,,-1.497B,6.555B
