,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,OtherIncomeandExpenses,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-04,10.50B,10.72B,7.637B,3.083B,,939.20M,415.20M,,344.90M,1.699B,1.384B,,1.384B,177.10M,1.210B,,-1.40M,1.208B,1.208B,1.871B,487.60M,1.384B,3.73,,3.73,3.73,3.67,,3.67,3.67,324.20M,329.20M,0.6
2018-01,6.697B,6.914B,4.991B,1.923B,,705.00M,356.80M,,343.00M,1.405B,517.90M,,517.90M,1.058B,-534.70M,,-0.40M,-535.10M,-535.10M,981.10M,463.20M,517.90M,-1.66,,-1.66,-1.66,-1.66,,-1.66,-1.66,322.80M,322.80M,0.6
2017-10,7.817B,7.396B,5.824B,1.572B,1.066B,1.066B,398.80M,,-1.120B,1.197B,374.80M,,766.80M,222.30M,510.50M,,,510.20M,510.20M,811.80M,437.00M,374.80M,1.59,,1.59,1.59,1.57,,1.57,1.57,321.60M,325.70M,0.6
2017-07,7.522B,7.808B,5.465B,2.343B,799.10M,799.10M,336.80M,,317.10M,1.453B,889.90M,,889.90M,253.20M,642.30M,,-0.50M,641.80M,641.80M,1.326B,435.90M,889.90M,2.0,,2.0,2.0,1.97,,1.97,1.97,320.80M,325.10M,0.6
2017-04,7.925B,8.287B,5.655B,2.632B,783.60M,783.60M,325.40M,,354.10M,1.463B,1.169B,,1.169B,365.80M,808.30M,,0.20M,808.50M,808.50M,1.597B,427.40M,1.169B,2.53,,2.53,2.53,2.5,,2.5,2.5,319.20M,323.00M,0.6
2017-01,5.353B,5.625B,3.990B,1.636B,667.30M,667.30M,312.10M,,328.20M,1.308B,328.00M,,328.00M,129.20M,198.40M,,0.60M,199.00M,199.00M,743.70M,415.70M,328.00M,0.63,,0.63,0.63,0.62,,0.62,0.62,316.70M,319.70M,0.6
2016-10,6.312B,6.239B,4.692B,1.548B,962.40M,962.40M,390.60M,,-891.70M,1.203B,344.20M,,434.40M,140.20M,284.50M,,0.80M,285.30M,285.30M,745.60M,401.40M,344.20M,0.91,,0.91,0.91,0.9,,0.9,0.9,314.60M,316.30M,0.6
2016-07,6.500B,6.724B,4.695B,2.030B,709.00M,709.00M,338.80M,,276.60M,1.324B,705.10M,,705.10M,226.50M,488.60M,,0.20M,488.80M,488.80M,1.102B,396.60M,705.10M,1.55,,1.55,1.55,1.55,,1.55,1.55,314.30M,315.70M,0.6
2016-04,7.718B,7.875B,5.722B,2.153B,714.80M,714.80M,345.00M,,360.30M,1.420B,733.30M,,733.30M,237.80M,494.70M,,0.70M,495.40M,495.40M,1.121B,387.60M,733.30M,1.57,,1.57,1.57,1.56,,1.56,1.56,315.10M,316.50M,0.6
2016-01,5.368B,5.524B,4.013B,1.511B,592.90M,592.90M,319.30M,,247.80M,1.16B,351.20M,,351.20M,95.50M,253.80M,,0.60M,254.40M,254.40M,725.40M,374.20M,351.20M,0.8,,0.8,0.8,0.8,,0.8,0.8,316.40M,317.60M,0.6
2015-10,6.546B,6.462B,4.993B,1.468B,902.10M,902.10M,404.00M,,-846.10M,1.037B,431.50M,,456.90M,104.50M,351.50M,,-0.30M,351.20M,351.20M,784.70M,353.20M,431.50M,1.09,,1.09,1.09,1.08,,1.08,1.08,322.50M,324.30M,0.6
2015-07,7.436B,7.594B,5.530B,2.064B,755.30M,755.30M,346.80M,,223.60M,1.326B,738.50M,,738.50M,241.00M,511.70M,,-0.10M,511.60M,511.60M,1.085B,346.30M,738.50M,1.54,,1.54,1.54,1.53,,1.53,1.53,331.40M,334.10M,0.6
2015-04,7.975B,8.171B,5.860B,2.311B,740.00M,740.00M,341.10M,,212.90M,1.294B,1.017B,,1.017B,324.00M,690.80M,,-0.30M,690.50M,690.50M,1.357B,340.00M,1.017B,2.05,,2.05,2.05,2.03,,2.03,2.03,337.10M,339.70M,0.6
2015-01,6.199B,6.383B,4.601B,1.782B,659.00M,659.00M,333.20M,,222.60M,1.215B,567.60M,,567.60M,170.50M,386.90M,,-0.10M,386.80M,386.80M,910.50M,342.90M,567.60M,1.13,,1.13,1.13,1.12,,1.12,1.12,343.10M,345.70M,0.6
2014-10,8.676B,8.714B,6.421B,2.293B,1.175B,1.175B,412.10M,,-848.10M,1.233B,1.060B,,1.076B,416.90M,649.80M,,-0.60M,649.20M,649.20M,1.409B,349.10M,1.060B,1.84,,1.84,1.84,1.83,,1.83,1.83,351.60M,354.10M,0.6
2014-07,9.296B,9.500B,6.765B,2.735B,820.70M,820.70M,362.10M,,260.00M,1.443B,1.292B,,1.292B,450.20M,850.90M,,-0.20M,850.70M,850.70M,1.619B,327.10M,1.292B,2.35,,2.35,2.35,2.33,,2.33,2.33,361.90M,365.10M,0.6
2014-04,9.790B,9.948B,7.038B,2.910B,846.50M,846.50M,354.10M,,245.90M,1.446B,1.464B,,1.464B,479.00M,981.20M,,-0.50M,980.70M,980.70M,1.751B,287.20M,1.464B,2.67,,2.67,2.67,2.65,,2.65,2.65,366.60M,369.80M,0.51
2014-01,7.48B,7.654B,5.367B,2.287B,765.90M,765.90M,323.70M,,232.30M,1.322B,964.90M,,964.90M,280.50M,681.30M,,-0.20M,681.10M,681.10M,1.308B,343.10M,964.90M,1.83,,1.83,1.83,1.81,,1.81,1.81,371.90M,375.40M,0.51
2013-10,9.196B,9.276B,6.663B,2.613B,1.152B,1.152B,405.20M,,-561.30M,1.385B,1.228B,,1.244B,437.10M,807.00M,,-0.20M,806.80M,806.80M,1.528B,299.10M,1.228B,2.13,,2.13,2.13,2.11,,2.11,2.11,378.10M,381.70M,0.51
2013-07,9.846B,10.01B,7.020B,2.989B,919.80M,919.80M,338.70M,,181.60M,1.440B,1.549B,,1.549B,553.50M,996.60M,,-0.10M,996.50M,996.50M,1.836B,286.80M,1.549B,2.58,,2.58,2.58,2.56,,2.56,2.56,386.00M,389.60M,0.51
2013-04,10.78B,10.91B,7.673B,3.240B,956.30M,956.30M,376.80M,,163.40M,1.496B,1.744B,,1.744B,666.40M,1.084B,,-0.10M,1.084B,1.084B,2.021B,277.30M,1.744B,2.79,,2.79,2.79,2.76,,2.76,2.76,389.20M,393.10M,0.51
2013-01,7.294B,7.421B,5.195B,2.226B,781.50M,781.50M,356.50M,,142.40M,1.280B,946.10M,,946.10M,289.00M,649.60M,,0.10M,649.70M,649.70M,1.223B,277.10M,946.10M,1.67,,1.67,1.67,1.65,,1.65,1.65,388.40M,393.00M,0.46
2012-10,9.576B,9.598B,7.163B,2.434B,1.193B,1.193B,401.30M,,-607.20M,1.326B,1.108B,,1.122B,425.30M,688.90M,,-1.30M,687.60M,687.60M,1.370B,261.50M,1.108B,1.76,,1.76,1.76,1.75,,1.75,1.75,389.60M,394.00M,0.46
2012-07,9.424B,9.590B,6.951B,2.640B,878.40M,878.40M,367.80M,,178.60M,1.425B,1.215B,,1.215B,426.80M,790.20M,,-2.20M,788.00M,788.00M,1.459B,244.00M,1.215B,2.0,,2.0,2.0,1.98,,1.98,1.98,394.70M,398.80M,0.46
2012-04,9.888B,10.01B,7.030B,2.978B,881.40M,881.40M,352.00M,,148.00M,1.381B,1.597B,,1.597B,541.30M,1.058B,,-1.90M,1.056B,1.056B,1.852B,255.40M,1.597B,2.64,,2.64,2.64,2.61,,2.61,2.61,400.20M,404.70M,0.46
2012-01,6.594B,6.766B,4.768B,1.998B,709.00M,709.00M,312.50M,,176.60M,1.198B,800.30M,,800.30M,266.20M,534.40M,,-1.50M,532.90M,532.90M,1.044B,243.30M,800.30M,1.32,,1.32,1.32,1.3,,1.3,1.3,404.00M,408.40M,0.41
2011-10,8.405B,8.441B,6.222B,2.219B,1.053B,1.053B,346.90M,,-532.30M,1.173B,1.046B,,1.057B,382.90M,672.00M,,-2.40M,669.60M,669.60M,1.283B,237.00M,1.046B,1.63,,1.63,1.63,1.62,,1.62,1.62,409.90M,414.00M,0.41
2011-07,8.214B,8.372B,5.976B,2.395B,815.80M,815.80M,312.00M,,188.50M,1.316B,1.079B,,1.079B,369.50M,714.80M,,-2.50M,712.30M,712.30M,1.308B,229.20M,1.079B,1.71,,1.71,1.71,1.69,,1.69,1.69,417.40M,422.00M,0.41
2011-04,8.796B,8.910B,6.299B,2.610B,828.20M,828.20M,298.50M,,143.10M,1.270B,1.341B,,1.341B,438.90M,906.70M,,-2.40M,904.30M,904.30M,1.570B,229.70M,1.341B,2.15,,2.15,2.15,2.12,,2.12,2.12,420.70M,426.40M,0.35
2011-01,5.974B,6.119B,4.297B,1.823B,665.00M,665.00M,268.90M,,142.70M,1.077B,746.00M,,746.00M,232.20M,514.30M,,-0.60M,513.70M,513.70M,965.00M,219.00M,746.00M,1.22,,1.22,1.22,1.2,,1.2,1.2,421.80M,427.50M,0.35
2010-10,7.038B,7.070B,5.299B,1.771B,988.20M,988.20M,294.30M,,-539.90M,1.031B,740.30M,,750.30M,295.20M,459.40M,,-2.10M,457.30M,457.30M,962.20M,221.90M,740.30M,1.08,,1.08,1.08,1.07,,1.07,1.07,423.70M,429.20M,0.3
2010-07,6.672B,6.837B,4.713B,2.124B,751.20M,751.20M,256.30M,,195.00M,1.202B,921.70M,,921.70M,308.10M,619.50M,,-2.50M,617.00M,617.00M,1.151B,229.50M,921.70M,1.45,,1.45,1.45,1.44,,1.44,1.44,424.50M,429.00M,0.3
2010-04,6.983B,7.131B,4.972B,2.158B,733.30M,733.30M,266.00M,,170.20M,1.170B,988.90M,,988.90M,448.40M,549.80M,,-2.30M,547.50M,547.50M,1.211B,222.00M,988.90M,1.29,,1.29,1.29,1.28,,1.28,1.28,424.40M,429.00M,0.28
2010-01,4.704B,4.835B,3.424B,1.411B,642.10M,642.10M,235.70M,,168.70M,1.046B,364.30M,,364.30M,109.90M,245.60M,,-2.40M,243.20M,243.20M,605.70M,241.40M,364.30M,0.57,,0.57,0.57,0.57,,0.57,0.57,423.60M,427.50M,0.28
2009-10,5.20B,5.238B,4.338B,900.00M,961.20M,961.20M,258.60M,,-543.40M,964.40M,-64.40M,,-55.20M,161.40M,-222.90M,,0.10M,-222.80M,-222.80M,155.70M,220.10M,-64.40M,-0.53,,-0.53,-0.53,-0.53,,-0.53,-0.53,423.10M,425.30M,0.28
2009-07,5.742B,5.885B,4.307B,1.578B,659.50M,659.50M,243.30M,,166.20M,1.069B,508.70M,,508.70M,87.90M,419.50M,,0.50M,420.00M,420.00M,731.20M,222.50M,508.70M,0.99,,0.99,0.99,0.99,,0.99,0.99,422.90M,424.80M,0.28
2009-04,6.629B,6.748B,5.026B,1.722B,688.00M,688.00M,255.70M,,166.40M,1.110B,611.90M,,611.90M,137.10M,472.20M,,0.10M,472.30M,472.30M,825.70M,213.80M,611.90M,1.12,,1.12,1.12,1.11,,1.11,1.11,422.70M,423.70M,0.28
2009-01,5.027B,5.146B,3.817B,1.329B,638.90M,638.90M,219.40M,,196.80M,1.055B,273.80M,,273.80M,73.50M,204.00M,,-0.10M,203.90M,203.90M,490.70M,216.90M,273.80M,0.48,,0.48,0.48,0.48,,0.48,0.48,422.50M,423.70M,0.28
2008-10,7.253B,7.256B,5.866B,1.391B,768.80M,768.80M,270.60M,,-497.30M,850.10M,540.70M,,561.60M,223.10M,346.00M,,,345.10M,345.10M,744.80M,204.10M,540.70M,0.82,,0.82,0.82,0.81,,0.81,0.81,423.60M,427.00M,0.28
2008-07,7.582B,7.739B,5.692B,2.047B,772.00M,772.00M,238.10M,,167.50M,1.178B,869.00M,,869.00M,307.10M,575.20M,,,575.20M,575.20M,1.088B,218.80M,869.00M,1.34,,1.34,1.34,1.32,,1.32,1.32,429.30M,434.40M,0.28
2008-04,7.978B,8.097B,5.792B,2.304B,766.60M,766.60M,230.20M,,145.10M,1.142B,1.163B,,1.163B,411.10M,763.50M,,,763.50M,763.50M,1.371B,208.40M,1.163B,1.76,,1.76,1.76,1.74,,1.74,1.74,433.70M,439.60M,0.25
2008-01,5.058B,5.201B,3.657B,1.544B,652.80M,652.80M,204.30M,,155.50M,1.013B,531.50M,,531.50M,170.00M,369.10M,,,369.10M,369.10M,731.20M,199.70M,531.50M,0.84,,0.84,0.84,0.83,,0.83,0.83,437.70M,444.20M,0.25
2007-10,7.478B,5.917B,5.453B,463.20M,,362.70M,231.40M,,,770.10M,-306.90M,-325.80M,618.50M,202.70M,422.20M,,,422.20M,422.20M,-116.00M,190.90M,-306.90M,0.95,0.0,0.95,0.95,0.94,0.0,0.94,0.94,442.40M,448.40M,0.25
2007-07,5.985B,6.634B,4.543B,2.091B,,792.60M,204.30M,131.90M,,996.90M,1.094B,139.00M,802.30M,272.20M,537.20M,,,537.20M,450.05M,1.28B,186.10M,1.094B,1.2,0.0,1.005,1.2,1.185,0.0,0.9929,1.185,447.60M,453.60M,0.22
2007-04,6.266B,6.882B,4.706B,2.177B,,799.90M,204.30M,126.20M,,1.004B,1.173B,140.50M,889.20M,279.90M,623.60M,,,623.60M,537.12M,1.354B,181.70M,1.173B,1.38,0.0,1.189,1.38,1.36,0.0,1.171,1.36,452.90M,458.60M,0.22
2007-01,3.815B,4.425B,2.950B,1.475B,,543.50M,176.80M,5.70M,,720.30M,754.70M,7.10M,365.40M,128.10M,238.70M,,,238.70M,235.00M,940.40M,185.70M,754.70M,0.53,0.0,0.5219,0.53,0.52,0.0,0.5119,0.52,454.50M,459.70M,0.22
2006-10,6.263B,4.882B,4.745B,136.80M,,204.60M,201.00M,-419.90M,,530.60M,-393.80M,-334.80M,367.50M,108.00M,276.60M,0.70M,,277.30M,573.10M,-204.90M,188.90M,-393.80M,0.605,0.01,1.254,0.615,0.605,0.005,1.248,0.61,457.20M,461.40M,0.195
2006-07,5.677B,6.267B,4.399B,1.868B,,749.10M,175.90M,126.90M,,925.00M,942.90M,129.20M,681.00M,247.60M,435.70M,0.30M,,436.00M,354.94M,1.114B,170.60M,942.90M,0.935,0.0,0.7622,0.935,0.925,0.0,0.7538,0.925,467.40M,471.80M,0.195
2006-04,6.029B,6.562B,4.543B,2.019B,,795.40M,187.80M,115.60M,,983.20M,1.036B,117.30M,785.20M,269.90M,517.00M,227.60M,,744.60M,441.14M,1.206B,170.70M,1.036B,1.095,0.485,0.9338,1.58,1.085,0.48,0.9257,1.565,470.60M,476.20M,0.195
2006-01,3.691B,4.202B,2.896B,1.306B,,574.80M,161.00M,107.20M,,735.80M,570.00M,107.10M,340.10M,116.10M,223.90M,12.00M,,235.90M,153.29M,731.20M,161.20M,570.00M,0.475,0.025,0.3253,0.5,0.47,0.025,0.322,0.495,471.80M,477.00M,0.195
2005-10,4.486B,4.992B,3.600B,1.392B,,666.80M,192.20M,107.10M,,859.00M,533.30M,106.40M,316.00M,94.50M,220.80M,12.10M,,232.90M,145.73M,698.00M,164.70M,533.30M,0.465,0.03,0.3078,0.495,0.465,0.025,0.3092,0.49,477.60M,482.00M,0.155
2005-07,5.370B,5.823B,4.264B,1.559B,,627.80M,165.40M,80.70M,,793.20M,766.20M,84.10M,569.70M,194.30M,378.80M,8.30M,,387.10M,325.62M,924.20M,158.00M,766.20M,0.785,0.015,0.675,0.8,0.775,0.015,0.6663,0.79,483.40M,489.40M,0.155
2005-04,6.019B,6.019B,4.546B,1.474B,,657.20M,170.40M,79.70M,,827.60M,645.90M,86.00M,887.40M,294.40M,599.30M,4.70M,,604.00M,546.04M,799.40M,153.50M,645.90M,1.22,0.01,1.111,1.23,1.205,0.01,1.0979999999999999,1.215,490.80M,497.40M,0.155
2005-01,3.526B,3.934B,2.770B,1.165B,,515.00M,149.30M,82.40M,,664.30M,500.40M,79.50M,333.30M,115.40M,215.00M,7.80M,,222.80M,161.13M,660.70M,160.30M,500.40M,0.435,0.015,0.326,0.45,0.43,0.015,0.3227,0.445,494.20M,502.00M,0.14
2004-10,4.042B,4.425B,3.058B,1.367B,,533.00M,172.60M,68.60M,,705.60M,661.60M,66.40M,512.10M,160.90M,349.00M,,,356.70M,301.95M,813.80M,152.20M,661.60M,0.705,0.015,0.6098,0.72,0.695,0.015,0.6016,0.71,494.40M,503.80M,0.14
2004-07,5.048B,5.418B,3.915B,1.503B,,624.30M,150.10M,78.10M,,774.40M,728.60M,82.00M,584.50M,187.00M,401.40M,,,401.40M,348.29M,880.70M,152.10M,728.60M,0.805,0.0,0.6983,0.805,0.79,0.0,0.6857,0.79,497.80M,509.20M,0.14
2004-04,5.490B,5.877B,4.164B,1.713B,,669.40M,150.60M,92.60M,,820.00M,893.00M,90.70M,741.80M,262.60M,477.30M,,,477.30M,417.48M,893.00M,,893.00M,0.965,0.0,0.8443,0.965,0.94,0.0,0.8224,0.94,495.40M,508.60M,0.14
2004-01,3.093B,3.484B,2.445B,1.039B,,490.90M,138.20M,96.10M,,629.10M,409.60M,97.30M,262.20M,92.60M,170.80M,,,170.80M,108.64M,409.60M,,409.60M,0.35,0.0,0.2226,0.35,0.34,0.0,0.2163,0.34,488.00M,502.35M,0.11
2003-10,3.549B,3.939B,2.916B,1.024B,,600.80M,172.20M,72.40M,,773.00M,250.90M,78.10M,97.30M,32.30M,70.70M,,,70.70M,22.33M,250.90M,,250.90M,0.095,0.05,-0.0052,0.145,0.085,0.05,-0.0118,0.135,482.71M,499.67M,0.11
2003-07,4.007B,4.402B,3.204B,1.197B,,521.30M,143.30M,66.40M,,664.60M,532.70M,70.30M,370.30M,126.70M,247.50M,,,247.50M,203.82M,532.70M,,532.70M,0.515,0.0,0.4241,0.515,0.51,0.0,0.42,0.51,480.58M,485.29M,0.11
2003-04,4.033B,4.40B,3.191B,1.209B,,505.80M,144.30M,48.70M,,650.10M,558.80M,47.80M,398.20M,140.40M,256.90M,,,256.90M,225.37M,558.80M,,558.80M,0.54,0.0,0.4737,0.54,0.535,0.0,0.4693,0.535,475.74M,480.19M,0.11
2003-01,2.425B,2.794B,1.978B,815.80M,,440.80M,117.50M,58.00M,,558.30M,257.50M,58.00M,105.50M,37.50M,68.00M,,,68.00M,30.62M,257.50M,,257.50M,0.14,0.0,0.063,0.14,0.14,0.0,0.063,0.14,485.71M,485.71M,0.11
2002-10,3.076B,3.469B,2.519B,950.20M,,519.50M,143.30M,58.20M,,662.80M,287.40M,53.80M,127.20M,54.80M,68.00M,,,68.00M,33.08M,287.40M,,287.40M,0.09,0.05,0.0169,0.14,0.09,0.0,0.019,0.14,477.67M,492.00M,0.11
2002-07,3.584B,3.969B,2.889B,1.080B,,507.30M,125.20M,48.00M,,632.50M,447.10M,41.60M,288.80M,134.80M,147.60M,,,147.60M,118.80M,447.10M,,447.10M,0.31,0.0,0.2495,0.31,0.305,0.0,0.2445,0.305,476.00M,476.00M,0.11
2002-04,3.579B,3.986B,2.891B,1.095B,,566.40M,132.00M,78.90M,,698.40M,396.80M,73.70M,234.90M,93.10M,141.80M,,,141.80M,94.17M,396.80M,,396.80M,0.3,0.0,0.1992,0.3,0.295,0.0,0.1959,0.295,472.67M,480.68M,0.11
2002-01,2.099B,2.522B,1.812B,710.20M,,474.60M,127.20M,83.80M,,601.80M,108.40M,74.70M,-53.50M,-24.50M,-38.10M,,,-38.10M,-88.38M,108.40M,,108.40M,-0.08,0.0,-0.1859,-0.08,-0.08,0.0,-0.1859,-0.08,475.00M,475.00M,0.11
2001-10,2.761B,3.161B,2.614B,546.70M,,677.70M,160.50M,35.60M,,838.20M,-291.50M,27.10M,-455.60M,-157.00M,-320.10M,,,-320.10M,-343.43M,-291.50M,,-291.50M,-0.72,0.04,-0.7678,-0.68,-0.72,0.0,-0.7678,-0.68,488.10M,488.10M,0.11
2001-07,3.218B,3.618B,2.661B,956.90M,,490.90M,141.80M,37.70M,,632.70M,324.20M,33.20M,132.20M,60.40M,71.80M,,,71.80M,49.18M,324.20M,,324.20M,0.15,0.0,0.1018,0.15,0.15,0.0,0.1022,0.15,469.40M,473.00M,0.11
2001-04,3.405B,3.809B,2.747B,1.062B,,492.10M,153.50M,47.30M,,645.60M,416.40M,42.10M,209.40M,81.60M,127.80M,,,127.80M,98.93M,416.40M,,416.40M,0.275,0.0,0.2135,0.275,0.27,0.0,0.209,0.27,469.40M,473.00M,0.11
2001-01,2.278B,2.705B,1.830B,875.00M,,448.90M,134.30M,64.80M,,583.20M,291.80M,61.30M,89.00M,32.60M,56.40M,,,56.40M,15.34M,291.80M,,291.80M,0.12,0.0,0.0325,0.12,0.12,0.0,0.0332,0.12,469.20M,473.20M,0.11
2000-10,3.492B,3.492B,2.063B,1.429B,,161.90M,168.80M,-819.40M,,330.70M,1.098B,-817.60M,91.30M,22.00M,71.10M,,,71.10M,693.05M,1.098B,,1.098B,0.12,0.03,1.439,0.15,0.12,0.0,1.439,0.15,471.58M,471.58M,0.11
2000-07,3.584B,3.584B,2.570B,1.014B,,479.20M,131.00M,52.20M,,610.20M,403.70M,52.20M,273.90M,101.50M,172.40M,,,172.40M,139.54M,403.70M,,403.70M,0.37,0.0,0.2995,0.37,0.36,0.0,0.2914,0.36,465.95M,478.89M,0.11
2000-04,3.756B,3.756B,2.679B,1.077B,,458.10M,139.70M,33.90M,,597.80M,479.40M,33.90M,353.20M,149.50M,203.70M,,,203.70M,183.36M,479.40M,,479.40M,0.435,0.0,0.3916,0.435,0.435,0.0,0.3916,0.435,468.28M,468.28M,0.11
2000-01,2.305B,2.305B,1.624B,680.60M,,405.70M,102.60M,33.00M,,508.30M,172.30M,33.00M,58.50M,20.80M,37.70M,,,37.70M,16.43M,172.30M,,172.30M,0.08,0.0,0.0349,0.08,0.08,0.0,0.0349,0.08,471.25M,471.25M,0.11
1999-10,2.688B,2.688B,1.550B,1.138B,,516.40M,134.60M,102.00M,,1.164B,-26.10M,102.00M,-64.90M,-35.40M,-29.50M,,,-29.50M,-90.70M,-26.10M,,-26.10M,-0.065,0.0,-0.1958,-0.065,-0.065,0.0,-0.1941,-0.065,468.04M,474.17M,0.11
1999-07,2.968B,2.968B,2.165B,803.30M,,492.00M,114.70M,72.20M,,606.70M,196.60M,72.20M,129.90M,61.00M,68.90M,,,68.90M,25.58M,196.60M,,196.60M,0.15,0.0,0.0557,0.15,0.145,0.0,0.0538,0.145,459.33M,475.17M,0.11
1999-04,3.434B,3.434B,2.489B,945.20M,,492.90M,113.10M,36.30M,,606.00M,339.20M,36.30M,232.80M,82.70M,150.10M,,,150.10M,126.70M,339.20M,,339.20M,0.325,0.0,0.2743,0.325,0.325,0.0,0.2743,0.325,461.85M,461.85M,0.11
1999-01,2.431B,2.431B,1.696B,734.20M,,455.70M,95.90M,27.70M,,551.60M,182.60M,27.70M,76.20M,26.50M,49.70M,,,49.70M,31.63M,182.60M,,182.60M,0.105,0.0,0.0668,0.105,0.105,0.0,0.0668,0.105,473.33M,473.33M,0.11
1998-10,3.092B,3.092B,1.779B,1.313B,,518.50M,124.90M,123.60M,,1.061B,251.70M,123.60M,238.20M,76.10M,162.10M,,,162.10M,77.99M,251.70M,,251.70M,0.355,0.0,0.1754,0.355,0.355,0.0,0.176,0.355,468.22M,469.80M,0.11
1998-07,3.669B,3.669B,2.539B,1.131B,,468.60M,110.70M,32.70M,,579.30M,551.30M,32.70M,445.60M,154.80M,290.80M,,,290.80M,269.46M,551.30M,,551.30M,0.6,0.0,0.556,0.6,0.595,0.0,0.5513,0.595,484.67M,488.74M,0.11
