,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2003-03,2.654B,2.684B,2.121B,562.90M,,,135.46M,123.77M,,,,,,259.23M,303.68M,,,,,,210.81M,65.73M,149.30M,-0.142M,,149.30M,650.66M,346.99M,303.68M,,0.00,,0.13,0.13,,0.00,,0.13,2003-03,1.164B,1.168B,0.0938,,2003-03,,
2002-12,-541.88M,-654.81M,-80.48M,-574.33M,,,-401.09M,-41.19M,,,,,,-442.28M,-132.05M,,,,,,-84.05M,56.36M,-52.49M,,,-52.49M,14.55M,146.60M,-132.05M,,-2.43,,-0.05,-2.47,,-2.43,,-0.05,2002-12,1.162B,1.174B,0.0938,,2002-12,,
2002-09,3.501B,3.542B,2.779B,763.64M,,,271.59M,166.23M,,,,,,437.82M,325.82M,,,,,,227.58M,60.84M,172.84M,,,172.84M,741.28M,415.46M,325.82M,,0.00,,0.15,0.15,,0.00,,0.15,2002-09,1.159B,1.164B,0.0938,,2002-09,,
2002-06,3.271B,3.309B,2.557B,752.20M,,,245.09M,154.63M,,,,,,399.72M,352.48M,,,,,,255.42M,65.40M,190.02M,6.01M,,190.02M,737.83M,385.35M,352.48M,,0.005,,0.165,0.17,,0.005,,0.165,2002-06,1.154B,1.163B,0.0938,,2002-06,,
2002-03,3.256B,3.290B,2.562B,728.44M,,,256.22M,159.66M,,,,,,415.87M,312.57M,,,,,,243.15M,63.97M,159.85M,12.62M,,159.85M,673.82M,361.25M,312.57M,,0.01,,0.14,0.15,,0.01,,0.14,2002-03,1.153B,1.162B,0.0938,,2002-03,,
2001-12,3.198B,3.008B,2.457B,551.18M,,,203.45M,126.76M,,,,,,330.20M,220.98M,,,,,,365.62M,208.07M,156.60M,,,156.60M,740.23M,519.25M,220.98M,,-0.48,,1.095,0.615,,,,0.1606,2001-12,1.148B,1.152B,0.0938,,2001-12,,
2001-09,3.772B,3.813B,2.857B,956.48M,,,310.11M,177.37M,,,,,,487.48M,469.00M,,,,,,366.68M,157.36M,194.65M,,,194.65M,933.77M,464.77M,469.00M,,0.00,,0.17,0.17,,0.00,,0.17,2001-09,1.150B,1.159B,0.0938,,2001-09,,
2001-06,3.635B,3.635B,3.073B,562.05M,,,334.83M,173.21M,,,,,,508.04M,54.01M,,,,,,4.643M,91.09M,-93.28M,,,-93.28M,538.53M,484.52M,54.01M,,0.00,,-0.08,-0.08,,0.00,,-0.08,2001-06,1.147B,1.147B,0.0938,,2001-06,,
2001-03,2.909B,2.909B,2.195B,714.70M,,,208.01M,170.60M,,,,,,378.61M,336.09M,,,,,,349.92M,107.94M,235.89M,,,235.89M,755.11M,419.03M,336.09M,,0.00,,0.205,0.205,,0.00,,0.205,2001-03,1.146B,1.163B,0.0938,,2001-03,,
2000-12,2.908B,3.332B,2.498B,834.11M,,,82.20M,133.05M,,,,,,215.25M,618.86M,,,,,,294.36M,72.75M,223.78M,,,223.78M,962.77M,343.91M,618.86M,,0.01,,0.20,0.295,,0.01,,0.195,2000-12,1.145B,1.164B,0.0938,,2000-12,,
2000-09,2.447B,2.447B,1.854B,593.09M,,,219.43M,134.28M,,,,,,353.71M,239.38M,,,,,,256.57M,51.97M,204.60M,,,204.60M,534.64M,295.26M,239.38M,,0.00,,0.18,0.18,,0.00,,0.175,2000-09,1.143B,1.163B,0.0938,,2000-09,,
2000-06,2.338B,2.338B,1.794B,544.13M,,,224.44M,130.74M,,,,,,355.18M,188.95M,,,,,,207.15M,51.22M,155.92M,,,155.92M,558.55M,369.60M,188.95M,,0.00,,0.135,0.135,,0.00,,0.135,2000-06,1.139B,1.159B,0.0938,,2000-06,,
2000-03,2.137B,2.137B,1.634B,503.82M,,,207.24M,131.04M,,,,,,338.28M,165.53M,,,,,,178.55M,42.39M,136.16M,,,136.16M,419.82M,254.29M,165.53M,,0.00,,0.12,0.12,,0.00,,0.12,2000-03,1.134B,1.153B,0.0938,,2000-03,,
1999-12,2.179B,2.179B,1.585B,594.02M,,,205.18M,132.66M,,,,,,525.77M,68.25M,,,,,,87.25M,28.81M,58.44M,-47.17M,,58.44M,256.18M,187.93M,68.25M,,-0.045,,0.06,0.015,,-0.045,,0.05,1999-12,1.057B,1.178B,0.0938,,1999-12,,
1999-09,2.087B,2.087B,1.332B,754.50M,,,208.16M,131.34M,,,,,,624.70M,129.80M,,,,,,144.57M,33.89M,110.68M,28.30M,,110.68M,415.00M,280.40M,129.80M,,0.025,,0.10,0.125,,0.025,,0.10,1999-09,1.112B,1.112B,0.0938,,1999-09,,
1999-06,2.012B,2.012B,1.583B,428.98M,,,201.78M,126.35M,,,,,,328.14M,100.84M,,,,,,152.54M,20.57M,91.14M,36.15M,,91.14M,401.40M,300.56M,100.84M,,0.035,,0.08,0.115,,0.035,,0.08,1999-06,1.094B,1.127B,0.0938,,1999-06,,
1999-03,2.117B,2.117B,1.524B,593.73M,,,202.47M,131.84M,,,,,,586.32M,7.407M,,,,,,126.57M,57.52M,69.04M,20.12M,,69.04M,259.42M,252.01M,7.407M,,0.02,,0.06,0.08,,0.02,,0.06,1999-03,1.093B,1.120B,0.0938,,1999-03,,
1998-12,1.858B,1.858B,1.291B,567.00M,,,204.90M,126.00M,,,,,,497.40M,69.60M,,,,,,-95.70M,22.70M,-118.40M,,,-118.40M,236.10M,166.50M,69.60M,,0.39,,-0.14,0.25,,0.385,,-0.14,1998-12,1.103B,1.110B,0.0938,,1998-12,,
1998-09,2.932B,2.932B,2.257B,675.00M,,,232.70M,137.40M,,48.60M,,,,694.10M,-19.10M,,,,48.60M,,-12.20M,17.30M,-29.50M,,,-58.66M,304.90M,288.50M,-19.10M,,0.00,,-0.0497,-0.025,,0.00,,-0.0497,1998-09,1.18B,1.18B,0.0938,,1998-09,,
1998-06,3.084B,3.084B,1.950B,1.134B,,,230.20M,149.80M,,37.30M,,,,643.50M,490.30M,,,,37.30M,,501.80M,114.30M,387.50M,,,358.70M,773.90M,283.60M,490.30M,,0.00,,0.3286,0.355,,0.00,,0.3194,1998-06,1.092B,1.123B,0.0938,,1998-06,,
