,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,AdditionalItems(Quarterly),CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2018-03,530.00M,,-5.00M,,-5.00M,874.00M,874.00M,,,90.00M,90.00M,-152.00M,-81.00M,-555.00M,-48.00M,,-85.00M,-921.00M,,568.00M,,-454.00M,,,,-13.00M,740.00M,9.00M,282.00M,,-39.00M,-105.00M,-144.00M,,-97.00M,-97.00M,-692.00M,-692.00M,127.00M,19.00M,-787.00M,,1.799B,63.00M,3.00M,1.865B,2018-03,,,12.00M,-51.00M,-97.00M,,AOR,Restated
2017-12,-2.271B,,-4.00M,-26.00M,-30.00M,906.00M,906.00M,,3.041B,82.00M,3.123B,925.00M,94.00M,-270.00M,-88.00M,,122.00M,783.00M,,2.251B,,-625.00M,,,,-465.00M,-1.15B,-178.00M,-2.418B,,935.00M,88.00M,1.023B,,-101.00M,-101.00M,-692.00M,-692.00M,36.00M,12.00M,278.00M,,1.69B,111.00M,-2.00M,1.799B,2017-12,,,1.69B,-755.00M,-101.00M,,AOR,Restated
2017-09,555.00M,,-22.00M,-33.00M,-55.00M,956.00M,956.00M,,49.00M,81.00M,130.00M,-643.00M,65.00M,407.00M,37.00M,,446.00M,312.00M,,1.898B,,-598.00M,,,,-18.00M,901.00M,-64.00M,221.00M,,-1.675B,-13.00M,-1.688B,,-98.00M,-98.00M,-693.00M,-693.00M,118.00M,19.00M,-2.342B,,1.903B,-223.00M,10.00M,1.69B,2017-09,,,56.00M,-1.731B,-98.00M,,AOR,Restated
2017-06,-81.00M,,-20.00M,-82.00M,-102.00M,986.00M,986.00M,,674.00M,92.00M,772.00M,-464.00M,-18.00M,-58.00M,-8.00M,,-81.00M,-629.00M,,858.00M,,-503.00M,,,,-91.00M,1.178B,-111.00M,473.00M,,-183.00M,-82.00M,-265.00M,,-398.00M,-398.00M,-697.00M,-697.00M,8.00M,20.00M,-1.332B,,1.902B,-1.00M,2.00M,1.903B,2017-06,,,291.00M,-474.00M,-398.00M,,AOR,Restated
2017-03,284.00M,,-10.00M,8.00M,-2.00M,989.00M,989.00M,,,88.00M,82.00M,58.00M,-33.00M,-701.00M,-115.00M,,6.00M,-785.00M,,656.00M,,-381.00M,,,,-273.00M,739.00M,-140.00M,-55.00M,,333.00M,-1.015B,-682.00M,,-372.00M,-372.00M,-696.00M,-696.00M,135.00M,-22.00M,-1.637B,,2.929B,-1.036B,9.00M,1.902B,2017-03,,,334.00M,-1.00M,-372.00M,,AOR,Restated
2016-12,-195.00M,,-9.00M,1.00M,-8.00M,1.016B,1.016B,,676.00M,57.00M,733.00M,247.00M,244.00M,81.00M,67.00M,,-172.00M,467.00M,,2.013B,,-654.00M,,,,-147.00M,943.00M,-174.00M,-32.00M,,-827.00M,-788.00M,-1.615B,,-116.00M,-116.00M,-696.00M,-696.00M,71.00M,-33.00M,-2.389B,,3.441B,-408.00M,-104.00M,2.929B,2016-12,,,54.00M,-881.00M,-116.00M,,AOR,Restated
2016-09,191.00M,,-21.00M,3.00M,-18.00M,998.00M,998.00M,,236.00M,65.00M,301.00M,-206.00M,222.00M,-138.00M,149.00M,,-93.00M,-66.00M,,1.406B,,-403.00M,,,,-31.00M,823.00M,-203.00M,186.00M,,-1.322B,965.00M,-357.00M,,-156.00M,-156.00M,-696.00M,-696.00M,149.00M,-56.00M,-1.116B,,2.947B,476.00M,18.00M,3.441B,2016-09,,,26.00M,-1.348B,-156.00M,,AOR,Restated
2016-06,-2.146B,,-5.00M,-6.00M,-11.00M,1.113B,1.113B,,2.908B,84.00M,2.992B,643.00M,209.00M,-646.00M,7.00M,,-529.00M,-316.00M,,1.632B,,-449.00M,,,,-2.139B,5.437B,-114.00M,2.735B,,-2.883B,-3.00M,-2.886B,,-31.00M,-31.00M,-626.00M,-626.00M,32.00M,1.00M,-3.51B,,2.08B,857.00M,10.00M,2.947B,2016-06,,,18.00M,-2.901B,-31.00M,,AOR,Restated
2016-03,523.00M,,-25.00M,15.00M,-10.00M,967.00M,967.00M,,,61.00M,61.00M,414.00M,125.00M,-1.087B,85.00M,,132.00M,-331.00M,,1.21B,,-549.00M,,,,-81.00M,-2.69B,-193.00M,-3.513B,,3.042B,-561.00M,2.481B,,-475.00M,-475.00M,-629.00M,-629.00M,163.00M,47.00M,1.587B,,2.793B,-716.00M,3.00M,2.08B,2016-03,,,3.542B,-500.00M,-475.00M,,AOR,Restated
2015-12,-990.00M,,-42.00M,58.00M,16.00M,963.00M,963.00M,,2.136B,76.00M,2.212B,328.00M,180.00M,-460.00M,-17.00M,,-54.00M,-23.00M,0.00,2.178B,,-627.00M,,,,-154.00M,-7.39B,-55.00M,-8.226B,,6.895B,38.00M,6.933B,,-398.00M,-398.00M,-633.00M,-633.00M,25.00M,-250.00M,5.677B,,3.172B,-371.00M,-8.00M,2.793B,2015-12,,,7.851B,-956.00M,-398.00M,,AOR,Restated
2015-09,1.003B,,-18.00M,31.00M,13.00M,1.026B,1.026B,,0.00,83.00M,83.00M,166.00M,406.00M,-350.00M,106.00M,,90.00M,418.00M,0.00,2.543B,,-590.00M,,,,-118.00M,201.00M,-203.00M,-710.00M,,-540.00M,-627.00M,-1.167B,,-545.00M,-545.00M,-635.00M,-635.00M,167.00M,-12.00M,-2.192B,,3.541B,-359.00M,-10.00M,3.172B,2015-09,,,-65.00M,-475.00M,-545.00M,,AOR,Restated
2015-06,1.134B,,-30.00M,9.00M,-21.00M,1.047B,1.047B,,439.00M,87.00M,167.00M,889.00M,91.00M,-1.131B,84.00M,,134.00M,67.00M,-233.00M,2.081B,,-587.00M,,,,-127.00M,804.00M,-169.00M,-79.00M,,-989.00M,1.488B,499.00M,,-520.00M,-520.00M,-639.00M,-639.00M,74.00M,0.00,-586.00M,,2.121B,1.416B,4.00M,3.541B,2015-06,,,207.00M,-1.196B,-520.00M,,AOR,Restated
2015-03,988.00M,,-35.00M,-6.00M,-41.00M,1.042B,1.042B,,,80.00M,439.00M,793.00M,-52.00M,-1.414B,-97.00M,,32.00M,-738.00M,,1.77B,,-606.00M,,,,-44.00M,-416.00M,-171.00M,-1.237B,,428.00M,-902.00M,-474.00M,,-719.00M,-719.00M,-512.00M,-512.00M,182.00M,-2.00M,-1.525B,,3.13B,-992.00M,-17.00M,2.121B,2015-03,,,1.572B,-1.144B,-719.00M,,AOR,Restated
2014-12,318.00M,,-45.00M,17.00M,-28.00M,1.065B,1.065B,,,83.00M,1.856B,592.00M,25.00M,331.00M,7.00M,,-253.00M,702.00M,0.00,3.913B,,-1.21B,,,,-452.00M,-872.00M,-93.00M,-2.627B,,263.00M,97.00M,360.00M,,-1.096B,-1.096B,-517.00M,-517.00M,30.00M,0.00,-1.223B,,3.118B,63.00M,-51.00M,3.13B,2014-12,,,284.00M,-21.00M,-1.096B,,AOR,Restated
2014-09,1.964B,,22.00M,-115.00M,-93.00M,1.032B,1.032B,,,84.00M,84.00M,-189.00M,29.00M,229.00M,30.00M,,-23.00M,76.00M,24.00M,3.087B,,-980.00M,,,,-85.00M,606.00M,-58.00M,-517.00M,,-727.00M,757.00M,30.00M,,-1.508B,-1.508B,-519.00M,-519.00M,303.00M,-6.00M,-1.70B,,2.267B,870.00M,-19.00M,3.118B,2014-09,,,26.00M,-753.00M,-1.508B,,AOR,Restated
2014-06,1.821B,,-29.00M,49.00M,20.00M,996.00M,996.00M,,,85.00M,85.00M,-388.00M,47.00M,-142.00M,263.00M,,-320.00M,-540.00M,0.00,2.382B,,-922.00M,,,,-232.00M,-1.402B,-52.00M,-2.608B,,339.00M,-80.00M,259.00M,,-1.175B,-1.175B,-522.00M,-522.00M,212.00M,-39.00M,-1.265B,,3.752B,-1.491B,6.00M,2.267B,2014-06,,,869.00M,-530.00M,-1.175B,,AOR,Restated
2014-03,1.608B,,-61.00M,14.00M,-47.00M,1.001B,1.001B,,,77.00M,77.00M,-202.00M,-137.00M,-350.00M,-181.00M,,68.00M,-802.00M,,1.837B,,-864.00M,,,,-239.00M,1.374B,-99.00M,172.00M,,-464.00M,-222.00M,-686.00M,,-899.00M,-899.00M,-410.00M,-410.00M,280.00M,7.00M,-1.708B,,3.472B,301.00M,-21.00M,3.752B,2014-03,,,1.11B,-1.574B,-899.00M,,AOR,Restated
2013-12,1.683B,,-25.00M,60.00M,35.00M,988.00M,988.00M,,152.00M,60.00M,0.00,412.00M,284.00M,484.00M,-11.00M,,32.00M,1.201B,0.00,4.119B,,-1.19B,,,,-66.00M,-1.88B,-7.00M,-3.143B,,357.00M,343.00M,700.00M,,-1.07B,-1.07B,-412.00M,-412.00M,122.00M,15.00M,-645.00M,,3.149B,331.00M,-8.00M,3.472B,2013-12,,,2.287B,-1.93B,-1.07B,,AOR,Restated
2013-09,1.724B,,-20.00M,-104.00M,-124.00M,988.00M,988.00M,,0.00,87.00M,0.00,-704.00M,141.00M,689.00M,8.00M,,-33.00M,101.00M,31.00M,2.807B,,-953.00M,,,,-427.00M,-153.00M,-38.00M,-1.571B,,496.00M,-154.00M,342.00M,,-834.00M,-834.00M,-415.00M,-415.00M,226.00M,3.00M,-678.00M,,2.586B,558.00M,5.00M,3.149B,2013-09,,,1.254B,-758.00M,-834.00M,,AOR,Restated
2013-06,2.225B,,-3.00M,73.00M,70.00M,1.007B,1.007B,,456.00M,87.00M,-1.136B,-223.00M,-58.00M,-32.00M,49.00M,,212.00M,-52.00M,-14.00M,2.643B,,-906.00M,,,,-678.00M,-427.00M,-48.00M,-2.087B,,987.00M,-186.00M,801.00M,,-499.00M,-499.00M,-416.00M,-416.00M,23.00M,,-91.00M,,2.129B,465.00M,-8.00M,2.586B,2013-06,,,995.00M,-8.00M,-499.00M,,AOR,Restated
2013-03,1.211B,,-23.00M,-49.00M,-72.00M,896.00M,896.00M,,,81.00M,108.00M,-288.00M,-179.00M,-453.00M,-29.00M,,-137.00M,-1.086B,-19.00M,1.119B,,-894.00M,,,,-39.00M,910.00M,-83.00M,-106.00M,,-427.00M,34.00M,-393.00M,,-193.00M,-193.00M,-365.00M,-365.00M,166.00M,,-785.00M,,1.905B,228.00M,-4.00M,2.129B,2013-03,,,18.00M,-445.00M,-193.00M,,AOR,Restated
2012-12,1.323B,,26.00M,-106.00M,-80.00M,1.077B,1.077B,88.00M,,84.00M,84.00M,129.00M,142.00M,530.00M,42.00M,,144.00M,987.00M,69.00M,3.548B,,-1.533B,,,,-132.00M,-1.821B,-22.00M,-3.508B,,-55.00M,398.00M,343.00M,,0.00,0.00,-365.00M,-365.00M,24.00M,4.00M,6.00M,,1.852B,46.00M,7.00M,1.905B,2012-12,,,44.00M,-99.00M,0.00,,AOR,Restated
2012-09,1.363B,,-10.00M,-19.00M,-29.00M,864.00M,864.00M,-59.00M,,84.00M,84.00M,-610.00M,-117.00M,657.00M,-122.00M,,8.00M,-184.00M,57.00M,2.096B,,-1.081B,,,,-31.00M,-925.00M,-75.00M,-2.003B,,532.00M,59.00M,591.00M,,-149.00M,-149.00M,-366.00M,-366.00M,153.00M,1.00M,230.00M,,1.521B,323.00M,8.00M,1.852B,2012-09,,,2.007B,-1.475B,-149.00M,,AOR,Restated
2012-06,1.286B,,-40.00M,-188.00M,-228.00M,855.00M,855.00M,-13.00M,,88.00M,88.00M,-735.00M,-283.00M,-87.00M,-142.00M,,-102.00M,-1.349B,44.00M,683.00M,,-1.12B,,,,-682.00M,784.00M,-163.00M,-277.00M,,532.00M,71.00M,603.00M,,-499.00M,-499.00M,-367.00M,-367.00M,30.00M,14.00M,-219.00M,,1.346B,187.00M,-12.00M,1.521B,2012-06,,,735.00M,-203.00M,-499.00M,,AOR,Restated
2012-03,1.287B,,-37.00M,43.00M,6.00M,851.00M,851.00M,-16.00M,,79.00M,79.00M,-835.00M,-387.00M,-99.00M,-128.00M,,,-1.449B,-25.00M,733.00M,,-960.00M,,,,0.00,362.00M,-146.00M,-746.00M,,6.00M,93.00M,99.00M,,-324.00M,-324.00M,-334.00M,-334.00M,203.00M,,-356.00M,,1.705B,-369.00M,10.00M,1.346B,2012-03,,,46.00M,-40.00M,-324.00M,,AOR,Restated
2011-12,1.198B,,-5.00M,-151.00M,-156.00M,859.00M,859.00M,-71.00M,,69.00M,0.00,-176.00M,-205.00M,557.00M,36.00M,,-152.00M,60.00M,263.00M,2.425B,,-1.041B,,,,-38.00M,1.217B,-289.00M,-157.00M,,-1.333B,-7.00M,-1.34B,-208.00M,-636.00M,-844.00M,,-332.00M,220.00M,3.00M,-2.293B,,1.732B,-25.00M,-2.00M,1.705B,2011-12,,-208.00M,59.00M,-1.392B,-636.00M,,,Restated
2011-09,1.289B,,-18.00M,-147.00M,-165.00M,826.00M,826.00M,69.00M,,71.00M,71.00M,-201.00M,-171.00M,-171.00M,74.00M,,30.00M,-439.00M,7.00M,1.658B,,-1.116B,,,,-25.00M,-743.00M,15.00M,-1.871B,,1.90B,275.00M,2.175B,119.00M,-811.00M,-692.00M,,-337.00M,46.00M,-616.00M,576.00M,,1.378B,363.00M,-9.00M,1.732B,2011-09,,119.00M,3.257B,-1.357B,-811.00M,,AOR,Restated
2011-06,1.096B,,-20.00M,17.00M,-3.00M,801.00M,801.00M,-84.00M,,65.00M,65.00M,-464.00M,-236.00M,-20.00M,-119.00M,,195.00M,-644.00M,19.00M,1.25B,,-994.00M,,,,-49.00M,-688.00M,238.00M,-1.112B,,1.237B,-451.00M,786.00M,-1.00M,-707.00M,-708.00M,,-340.00M,26.00M,,-236.00M,,1.475B,-98.00M,1.00M,1.378B,2011-06,,-1.00M,1.334B,-97.00M,-707.00M,,AOR,Restated
2011-03,943.00M,,-21.00M,45.00M,24.00M,788.00M,788.00M,60.00M,,67.00M,67.00M,-561.00M,-251.00M,-276.00M,-49.00M,,91.00M,-1.046B,,836.00M,,-853.00M,,,,-74.00M,565.00M,-23.00M,-385.00M,,88.00M,64.00M,152.00M,90.00M,-844.00M,-754.00M,,-291.00M,146.00M,,-747.00M,,1.764B,-296.00M,7.00M,1.475B,2011-03,,90.00M,2.234B,-2.146B,-844.00M,,AOR,Restated
2010-12,1.031B,0.00,-6.00M,-178.00M,-184.00M,806.00M,806.00M,-276.00M,,53.00M,183.00M,249.00M,-29.00M,305.00M,262.00M,,13.00M,800.00M,,2.398B,,-764.00M,,,,-58.00M,-1.597B,-261.00M,-2.682B,,1.622B,-65.00M,1.557B,-179.00M,-449.00M,-628.00M,,-284.00M,288.00M,0.00,933.00M,,1.114B,649.00M,1.00M,1.764B,2010-12,,-179.00M,2.169B,-544.00M,-449.00M,,,Restated
2010-09,1.731B,-1.27B,4.00M,-410.00M,-1.676B,693.00M,693.00M,115.00M,,50.00M,49.00M,-490.00M,-51.00M,309.00M,-153.00M,,138.00M,-247.00M,,810.00M,,-4.00M,,,172.00M,-499.00M,1.017B,-72.00M,442.00M,,-252.00M,30.00M,-222.00M,95.00M,-396.00M,-301.00M,,-251.00M,19.00M,14.00M,-741.00M,,229.00M,511.00M,0.00,1.114B,2010-09,,95.00M,576.00M,-831.00M,-396.00M,,AOR,Restated
2010-06,817.00M,,-36.00M,4.00M,-32.00M,638.00M,638.00M,-2.00M,,48.00M,48.00M,-174.00M,13.00M,87.00M,-15.00M,,-83.00M,-172.00M,,1.297B,,-1.604B,,,-172.00M,-28.00M,1.14B,-7.00M,-499.00M,,-260.00M,149.00M,-111.00M,0.00,-535.00M,-535.00M,,-251.00M,63.00M,,-834.00M,,640.00M,-36.00M,-1.00M,229.00M,2010-06,,0.00,70.00M,-330.00M,-535.00M,,AOR,Restated
2010-03,674.00M,,-47.00M,15.00M,-32.00M,620.00M,620.00M,33.00M,,47.00M,47.00M,125.00M,17.00M,-300.00M,39.00M,,-234.00M,-353.00M,,989.00M,,-540.00M,,,,-117.00M,463.00M,-5.00M,-199.00M,,-109.00M,-182.00M,-291.00M,84.00M,-337.00M,-253.00M,,-254.00M,31.00M,,-767.00M,,617.00M,23.00M,0.00,640.00M,2010-03,,84.00M,0.00,-109.00M,-337.00M,,AOR,Restated
2009-12,798.00M,,-49.00M,-126.00M,-175.00M,628.00M,628.00M,115.00M,,47.00M,45.00M,1.00M,106.00M,140.00M,18.00M,,201.00M,509.00M,,1.967B,,-526.00M,,,,-39.00M,-392.00M,-136.00M,-1.093B,,-109.00M,74.00M,-35.00M,-1.00M,-500.00M,-501.00M,,-248.00M,47.00M,,-733.00M,,521.00M,96.00M,0.00,617.00M,2009-12,,-1.00M,-7.00M,-213.00M,-500.00M,,AOR,
2009-09,788.00M,,-17.00M,-367.00M,-384.00M,613.00M,613.00M,177.00M,,47.00M,51.00M,24.00M,59.00M,-159.00M,104.00M,,-40.00M,-12.00M,,1.28B,,-528.00M,,,,-277.00M,-87.00M,29.00M,-863.00M,,-244.00M,-147.00M,-391.00M,96.00M,,96.00M,,-256.00M,18.00M,,-533.00M,,216.00M,-116.00M,1.00M,521.00M,2009-09,,96.00M,575.00M,-819.00M,,,AOR,Restated
2009-06,616.00M,,18.00M,-27.00M,-9.00M,626.00M,626.00M,3.00M,,45.00M,27.00M,559.00M,17.00M,-308.00M,-65.00M,,2.00M,205.00M,,1.513B,,-545.00M,,,,-186.00M,-205.00M,39.00M,-897.00M,,-194.00M,-175.00M,-369.00M,0.00,,0.00,,-251.00M,27.00M,,-593.00M,,192.00M,23.00M,1.00M,216.00M,2009-06,,0.00,118.00M,-312.00M,,,AOR,Restated
2009-03,940.00M,,-55.00M,-187.00M,-242.00M,609.00M,609.00M,78.00M,,47.00M,39.00M,-429.00M,-118.00M,-327.00M,-48.00M,,2.00M,-920.00M,,551.00M,,-796.00M,,,,-12.00M,-475.00M,66.00M,-1.217B,,766.00M,137.00M,903.00M,1.00M,0.00,1.00M,,-251.00M,18.00M,,671.00M,,189.00M,5.00M,-2.00M,192.00M,2009-03,,1.00M,1.287B,-521.00M,0.00,,AOR,Restated
2008-12,1.188B,,-57.00M,-191.00M,-248.00M,613.00M,613.00M,-5.00M,,46.00M,101.00M,334.00M,-57.00M,-38.00M,-31.00M,28.00M,89.00M,325.00M,63.00M,2.068B,,-1.252B,,,,0.00,-187.00M,39.00M,-1.40B,,-148.00M,-162.00M,-310.00M,69.00M,-154.00M,-85.00M,,-252.00M,38.00M,,-609.00M,,189.00M,-4.00M,-2.00M,609.00M,2008-12,-63.00M,69.00M,229.00M,-539.00M,-154.00M,,AOR,Restated
2008-09,1.54B,,-59.00M,0.00,-59.00M,583.00M,583.00M,3.00M,,44.00M,14.00M,-510.00M,-83.00M,557.00M,-17.00M,-28.00M,114.00M,33.00M,-63.00M,2.101B,,-983.00M,,,,-163.00M,-680.00M,-66.00M,-1.892B,,528.00M,-13.00M,515.00M,12.00M,-546.00M,-534.00M,,-252.00M,3.00M,,-268.00M,,186.00M,4.00M,-1.00M,189.00M,2008-09,63.00M,12.00M,528.00M,-13.00M,-546.00M,,,Restated
2008-06,1.425B,,-62.41M,0.00,-62.41M,556.31M,556.31M,-31.45M,,41.16M,6.008M,-418.88M,-34.18M,149.95M,-28.34M,,-7.345M,-338.78M,63.00M,1.663B,,-1.001B,,,,-157.73M,269.34M,-54.53M,-943.54M,,29.88M,-38.70M,-8.821M,83.01M,-554.70M,-471.69M,,-250.80M,204.24M,-88.04M,-615.10M,,145.09M,41.08M,0.06M,186.00M,2008-06,-63.38M,83.01M,177.86M,-186.68M,-554.70M,,,Restated
2008-03,1.307B,,-56.59M,,-56.59M,516.69M,516.69M,27.45M,,40.84M,6.992M,-349.12M,-124.82M,-79.95M,-121.66M,,-41.66M,-717.22M,,1.130B,,-832.38M,,,,-24.27M,-6.345M,-50.47M,-913.46M,,270.12M,3.698M,273.82M,12.99M,-564.30M,-551.31M,,-209.20M,65.76M,88.04M,-332.90M,,197.23M,-53.08M,0.94M,145.09M,2008-03,63.38M,12.99M,346.14M,-72.32M,-564.30M,,,Restated
2007-12,1.383B,,,,18.00M,554.42M,554.42M,2.55M,,,-86.51M,12.68M,-35.31M,516.59M,-0.097M,-213.93M,-120.12M,159.83M,,2.176B,,-1.178B,,2.013B,,-926.43M,367.53M,158.71M,-1.578B,,,,106.39M,-372.73M,-557.20M,-929.93M,,-209.26M,,-77.40M,-561.37M,,162.01M,36.04M,-0.82M,197.23M,2007-12,,-372.73M,,,-557.20M,,,Restated
2007-09,1.354B,,,,-130.54M,497.66M,497.66M,43.23M,,,31.72M,-402.23M,-60.72M,333.51M,-57.97M,123.28M,-107.21M,-171.34M,,1.625B,,-718.53M,,-718.53M,,-49.25M,-383.97M,-141.76M,-1.294B,,,,40.13M,116.84M,-293.13M,-176.29M,,-208.51M,,25.24M,-319.43M,,146.56M,11.78M,3.671M,162.01M,2007-09,,116.84M,,,-293.13M,,,
