,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2015-12,,284.60M,,284.60M,399.90M,399.90M,69.90M,52.30M,218.20M,340.40M,38.90M,70.40M,34.40M,1.197B,0.0,38.50M,400.40M,846.70M,,57.10M,1.343B,-783.90M,558.80M,1.988B,600.70M,2.588B,59.10M,3.206B,4.403B,133.60M,22.90M,156.50M,184.20M,340.70M,,,12.10M,12.10M,,12.10M,2.20M,2.20M,11.00M,476.00M,1.141B,,1.141B,160.30M,160.30M,1.40M,286.20M,1.588B,2.064B,1.60M,3.591B,237.80M,898.40M,,,-594.00M,2.338B
2015-09,,236.40M,,236.40M,429.80M,429.80M,71.50M,52.90M,236.90M,361.30M,180.60M,,,1.208B,,,,,,,,,555.20M,1.984B,600.40M,2.585B,54.20M,3.194B,4.402B,137.50M,33.60M,171.10M,309.10M,480.20M,,,,453.20M,,453.20M,,,,933.40M,701.90M,,701.90M,152.90M,152.90M,1.40M,332.50M,1.187B,2.121B,1.60M,3.543B,232.00M,908.70M,,,-587.50M,2.280B
2015-06,,96.47M,,96.47M,447.50M,447.50M,72.04M,59.86M,242.92M,374.82M,351.54M,,,1.270B,,,,,,,,,568.04M,1.999B,616.67M,2.615B,43.11M,3.226B,4.497B,132.97M,64.02M,196.99M,296.28M,493.27M,,,,119.70M,,119.70M,,,,612.97M,1.078B,,1.078B,155.59M,155.59M,1.419M,334.13M,1.567B,2.180B,1.628M,3.468B,225.00M,905.12M,,,-475.01M,2.315B
2015-03,,100.62M,,100.62M,409.86M,409.86M,70.80M,59.50M,249.80M,380.10M,309.50M,,,1.200B,,,,,,,,,556.77M,1.953B,613.46M,2.567B,61.25M,3.185B,4.385B,134.09M,40.07M,174.16M,240.04M,414.20M,,,,247.63M,,247.63M,,,,661.83M,1.079B,,1.079B,150.47M,150.47M,1.459M,319.45M,1.549B,2.211B,1.628M,3.434B,211.11M,900.87M,,,-573.57M,2.173B
2014-12,,151.60M,57.70M,209.30M,426.60M,426.60M,75.50M,58.30M,253.30M,387.10M,49.90M,78.70M,19.20M,1.207B,0.0,41.70M,392.20M,854.10M,,82.40M,1.370B,-781.60M,588.80M,2.089B,670.80M,2.760B,90.60M,3.440B,4.646B,132.60M,36.20M,168.80M,246.40M,415.20M,,,111.80M,111.80M,,111.80M,3.50M,3.50M,8.30M,652.60M,1.150B,,1.150B,165.60M,165.60M,0.90M,356.00M,1.672B,2.324B,1.60M,3.381B,221.70M,841.60M,,,-441.10M,2.321B
2014-09,,97.65M,,97.65M,476.86M,476.86M,81.88M,66.83M,273.77M,422.48M,260.71M,,,1.258B,,,,,,,,,606.92M,2.161B,710.11M,2.871B,148.63M,3.626B,4.884B,128.23M,47.57M,175.80M,443.52M,619.32M,,,,115.25M,,115.25M,,,,734.57M,1.166B,,1.166B,215.48M,215.48M,1.136M,272.20M,1.653B,2.388B,1.628M,3.305B,227.03M,785.94M,,,-253.06M,2.495B
2014-06,,66.93M,,66.93M,503.97M,503.97M,91.50M,75.93M,293.78M,461.20M,199.17M,,,1.231B,,,,,,,,,639.21M,2.279B,765.10M,3.044B,157.98M,3.841B,5.072B,143.56M,38.60M,182.17M,412.85M,595.02M,,,,301.29M,,301.29M,,,,896.31M,1.066B,,1.066B,231.00M,231.00M,1.311M,294.40M,1.591B,2.488B,1.628M,3.240B,217.27M,777.08M,,,-98.00M,2.583B
2014-03,,55.82M,,55.82M,496.22M,496.22M,96.06M,72.87M,286.14M,455.07M,195.20M,,,1.202B,,,,,,,,,642.32M,2.287B,786.00M,3.073B,172.08M,3.887B,5.089B,141.59M,23.83M,165.42M,398.88M,564.30M,,,,403.14M,,403.14M,,,,967.45M,1.065B,,1.065B,236.27M,236.27M,1.565M,295.66M,1.597B,2.565B,1.628M,3.159B,211.47M,773.52M,,,-75.66M,2.523B
2013-12,,74.95M,0.00,74.95M,472.80M,472.80M,85.57M,67.72M,285.27M,438.56M,52.00M,86.93M,18.56M,1.144B,0.0,47.62M,427.83M,907.54M,,59.58M,1.443B,-805.39M,637.17M,2.282B,795.32M,3.077B,220.15M,3.934B,5.078B,132.79M,14.45M,147.24M,165.74M,312.98M,,,309.86M,309.86M,,309.86M,4.922M,4.922M,54.37M,796.40M,1.166B,,1.166B,238.39M,238.39M,42.92M,299.10M,1.704B,2.500B,1.628M,3.096B,255.27M,748.51M,,,-69.06M,2.535B
2013-09,,50.66M,,50.66M,502.37M,502.37M,94.00M,72.91M,281.36M,448.28M,151.84M,,,1.153B,,,,,,,,,628.51M,2.218B,800.47M,3.019B,209.72M,3.857B,5.010B,136.94M,33.92M,170.87M,335.74M,506.61M,,,,270.95M,,270.95M,,,,777.56M,1.165B,,1.165B,226.67M,226.67M,40.58M,361.94M,1.753B,2.531B,1.628M,3.030B,250.15M,723.49M,,,-120.10M,2.438B
2013-06,,57.03M,,57.03M,499.01M,499.01M,93.58M,76.02M,263.59M,433.19M,180.81M,,,1.170B,,,,,,,,,605.03M,2.159B,786.67M,2.945B,154.43M,3.705B,4.875B,147.46M,17.95M,165.40M,308.15M,473.55M,,,,417.06M,,417.06M,,,,890.62M,1.124B,,1.124B,218.62M,218.62M,37.91M,353.56M,1.696B,2.587B,1.628M,2.959B,244.60M,732.21M,,,-223.22M,2.250B
2013-03,,56.20M,,56.20M,468.54M,468.54M,88.70M,72.62M,255.77M,417.09M,218.68M,,,1.161B,,,,,,,,,608.85M,2.167B,805.65M,2.973B,159.87M,3.742B,4.902B,148.72M,14.62M,163.33M,347.40M,510.73M,,,,315.44M,,315.44M,,,,826.16M,1.208B,,1.208B,226.10M,226.10M,35.89M,372.75M,1.807B,2.633B,1.628M,2.881B,238.94M,689.10M,,,-199.10M,2.234B
2012-12,,80.13M,,80.13M,442.41M,442.41M,81.54M,72.53M,248.87M,402.94M,54.88M,80.90M,49.83M,1.111B,0.0,45.56M,409.45M,848.33M,,50.65M,1.354B,-739.28M,614.70M,2.211B,830.64M,3.042B,204.90M,3.861B,4.972B,165.29M,39.19M,204.48M,178.42M,382.90M,,,298.96M,298.96M,,298.96M,5.514M,5.514M,144.20M,927.78M,1.222B,,1.222B,232.64M,232.64M,40.74M,340.40M,1.795B,2.723B,1.628M,2.818B,246.55M,713.74M,,,-144.20M,2.209B
2012-09,,56.08M,,56.08M,467.30M,467.30M,87.40M,69.26M,259.26M,415.92M,189.68M,,,1.129B,,,,,,,,,602.67M,2.207B,841.75M,3.049B,196.61M,3.848B,4.977B,137.67M,18.21M,155.88M,373.00M,528.88M,,411.84M,,411.84M,,411.84M,,,,940.72M,1.237B,,1.237B,319.83M,319.83M,38.80M,318.76M,1.876B,2.817B,1.628M,2.700B,241.84M,725.17M,,,-95.78M,2.122B
2012-06,,53.21M,,53.21M,462.23M,462.23M,88.95M,67.81M,246.43M,403.20M,186.54M,,,1.105B,,,,,,,,,587.28M,2.036B,947.75M,2.984B,194.46M,3.766B,4.871B,145.85M,12.65M,158.50M,347.91M,506.40M,,241.80M,,241.80M,,241.80M,,,,748.20M,1.483B,,1.483B,334.67M,334.67M,37.43M,316.10M,2.134B,2.882B,1.628M,2.654B,230.86M,731.25M,,,-203.71M,1.952B
2012-03,,67.35M,,67.35M,461.35M,461.35M,88.24M,75.75M,239.06M,403.05M,187.44M,,,1.119B,,,,,,,,,604.16M,2.109B,998.54M,3.108B,183.73M,3.896B,5.015B,163.42M,19.18M,182.60M,323.84M,506.45M,,288.04M,,288.04M,,288.04M,,,,794.48M,1.481B,,1.481B,321.36M,321.36M,38.36M,371.02M,2.174B,2.968B,1.628M,2.581B,224.84M,730.96M,,,-68.03M,2.009B
2011-12,,77.13M,,77.13M,427.71M,427.71M,76.00M,66.95M,218.81M,361.76M,32.90M,67.16M,46.25M,1.013B,0.0,45.84M,372.16M,680.24M,,42.65M,1.141B,-549.44M,591.44M,2.190B,791.10M,2.981B,169.89M,3.742B,4.755B,149.12M,9.054M,158.17M,178.90M,337.07M,,,276.70M,276.70M,,276.70M,6.304M,6.304M,18.14M,724.07M,1.490B,,1.490B,249.82M,249.82M,36.07M,407.34M,2.147B,2.871B,1.628M,2.536B,229.69M,727.98M,,,-190.97M,1.848B
2011-09,,81.87M,,81.87M,475.95M,475.95M,80.40M,70.99M,240.14M,391.53M,140.26M,,,1.090B,,,,,,,,,569.85M,2.209B,808.04M,3.017B,157.31M,3.744B,4.834B,133.20M,10.78M,143.98M,323.14M,467.12M,,45.57M,,45.57M,,45.57M,,,,512.69M,1.794B,,1.794B,242.16M,242.16M,36.72M,394.47M,2.431B,2.943B,1.628M,2.503B,231.82M,736.02M,,,-146.68M,1.854B
2011-06,,671.71M,,671.71M,404.66M,404.66M,73.76M,64.70M,198.74M,337.20M,138.84M,,,1.552B,,,,,,,,,442.96M,1.391B,86.77M,1.478B,183.21M,2.104B,3.657B,113.87M,24.44M,138.31M,283.62M,421.93M,,8.50M,,8.50M,,8.50M,,,,430.43M,654.87M,,654.87M,81.32M,81.32M,39.00M,408.79M,1.145B,1.575B,1.628M,2.449B,227.07M,739.44M,,,103.51M,2.042B
2011-03,,575.26M,,575.26M,,385.36M,67.78M,60.16M,204.34M,332.28M,119.16M,,,1.412B,,,,,,,,,432.72M,1.351B,79.47M,1.430B,162.02M,2.025B,3.437B,111.94M,23.64M,135.59M,214.97M,350.56M,,11.45M,,11.45M,,11.45M,,,,362.01M,652.29M,,652.29M,79.96M,79.96M,37.16M,360.29M,1.093B,1.455B,1.628M,2.382B,223.75M,750.64M,,,88.26M,1.945B
2010-12,,540.04M,,540.04M,,344.80M,62.12M,57.27M,189.34M,308.74M,121.47M,,,1.315B,0.0,40.03M,304.34M,576.70M,,20.64M,941.72M,-518.61M,423.10M,1.303B,78.74M,1.382B,138.00M,1.943B,3.258B,114.48M,13.11M,127.59M,224.74M,352.34M,,7.754M,,7.754M,,7.754M,,,,360.09M,604.02M,,604.02M,72.49M,72.49M,70.53M,311.44M,987.95M,1.348B,1.628M,2.320B,204.90M,711.65M,,,24.16M,1.839B
2010-09,,534.24M,,534.24M,,366.79M,68.81M,54.98M,194.28M,318.07M,112.45M,,,1.332B,,,,,,,,,423.80M,1.305B,79.70M,1.385B,55.16M,1.864B,3.195B,100.66M,19.34M,120.00M,224.62M,344.62M,,7.29M,,7.29M,,7.29M,,,,351.91M,592.38M,,592.38M,74.24M,74.24M,73.08M,300.07M,966.69M,1.319B,1.628M,2.259B,202.48M,700.98M,,,41.82M,1.803B
2010-06,,340.35M,,340.35M,,351.30M,61.24M,51.39M,171.77M,284.39M,113.20M,,,1.089B,,,,,,,,,399.08M,1.209B,77.00M,1.286B,23.18M,1.708B,2.797B,106.86M,11.38M,118.24M,192.20M,310.45M,,11.93M,,11.93M,,11.93M,,,,322.37M,462.98M,,462.98M,73.78M,73.78M,65.70M,196.73M,733.48M,1.056B,1.628M,2.202B,198.24M,670.60M,,,-55.68M,1.676B
2010-03,,405.02M,,405.02M,,355.03M,65.58M,54.38M,181.23M,301.20M,117.21M,,,1.178B,,,,,,,,,420.78M,1.279B,83.52M,1.363B,24.90M,1.808B,2.987B,108.12M,3.481M,111.60M,196.89M,308.49M,,18.95M,,18.95M,,18.95M,,,,327.44M,457.56M,,457.56M,70.17M,70.17M,71.43M,248.96M,776.69M,1.104B,1.628M,2.138B,194.81M,557.80M,,,34.61M,1.811B
2009-12,,450.35M,,450.35M,,348.68M,59.86M,53.06M,178.72M,291.64M,127.12M,,,1.218B,0.0,43.21M,295.30M,546.81M,,18.61M,903.92M,-464.30M,439.62M,1.313B,89.09M,1.402B,28.84M,1.870B,3.088B,100.85M,12.37M,113.21M,249.17M,362.38M,,82.17M,,82.17M,,82.17M,,,,444.56M,387.15M,,387.15M,72.52M,72.52M,74.85M,276.74M,736.42M,1.181B,1.628M,2.083B,195.50M,532.02M,,,83.54M,1.832B
2009-09,,333.37M,0.037M,333.40M,,356.98M,64.82M,55.34M,191.50M,311.67M,125.06M,,,1.127B,,,,,,,,,445.36M,1.309B,119.34M,1.428B,66.47M,1.940B,3.067B,98.12M,34.90M,133.02M,230.26M,363.29M,,240.37M,,240.37M,,240.37M,,,,603.65M,154.84M,,154.84M,77.84M,77.84M,75.20M,328.33M,561.01M,1.165B,1.628M,2.016B,195.78M,481.30M,,,95.14M,1.827B
2009-06,,251.87M,0.036M,251.91M,,357.55M,67.46M,54.07M,187.91M,309.43M,113.62M,,,1.033B,,,,,,,,,429.94M,1.268B,122.70M,1.391B,45.44M,1.866B,2.898B,93.42M,15.74M,109.16M,207.43M,316.59M,,273.91M,,273.91M,,273.91M,,,,590.49M,145.95M,,145.95M,70.51M,70.51M,71.50M,287.41M,503.86M,1.094B,1.628M,1.956B,192.50M,475.76M,,,58.28M,1.733B
2009-03,,226.30M,0.187M,226.49M,,327.51M,70.81M,55.66M,187.62M,314.09M,116.80M,,,984.89M,,,,,,,,,416.39M,1.206B,124.96M,1.331B,28.54M,1.776B,2.761B,98.31M,31.12M,129.43M,188.66M,318.09M,,25.62M,,25.62M,,25.62M,,,,343.71M,460.84M,,460.84M,59.03M,59.03M,65.45M,217.61M,737.48M,1.081B,1.628M,1.893B,190.24M,479.26M,,,8.303M,1.614B
2008-12,,203.99M,0.258M,204.25M,,319.26M,63.78M,58.12M,184.23M,306.12M,120.23M,,,949.86M,0.0,40.70M,256.17M,511.62M,,31.66M,840.15M,-407.88M,432.28M,1.277B,103.72M,1.381B,67.52M,1.881B,2.830B,104.33M,36.18M,140.51M,193.66M,334.17M,,25.80M,,25.80M,,25.80M,,,,359.96M,423.68M,,423.68M,69.05M,69.05M,,389.99M,882.72M,1.243B,1.628M,1.839B,187.15M,479.63M,,,39.61M,1.588B
2008-09,,54.20M,190.54M,244.75M,345.48M,345.48M,63.01M,54.23M,161.52M,278.76M,103.11M,,,972.10M,,,,,,,736.89M,-350.00M,386.88M,1.145B,68.47M,1.214B,88.65M,1.689B,2.661B,90.78M,,90.78M,213.11M,303.89M,,2.828M,,2.828M,,2.828M,,,31.32M,338.05M,401.68M,,401.68M,63.19M,63.19M,0.355M,271.62M,736.49M,1.075B,1.628M,1.775B,186.28M,468.72M,178.27M,-86.44M,91.83M,1.586B
2008-06,,113.45M,309.80M,423.25M,371.49M,371.49M,64.35M,56.77M,161.67M,282.80M,104.55M,,,1.182B,,,,,,,755.60M,-350.00M,405.60M,1.179B,76.35M,1.255B,150.54M,1.811B,2.993B,94.41M,,94.41M,195.04M,289.46M,,4.854M,,4.854M,,4.854M,,,31.25M,325.56M,576.65M,,576.65M,69.73M,69.73M,0.337M,411.74M,1.058B,1.384B,1.628M,1.716B,180.20M,473.33M,,,184.62M,1.609B
2008-03,,90.66M,254.00M,344.66M,356.63M,356.63M,57.14M,56.12M,167.67M,280.93M,111.11M,,,1.093B,,,,,,,752.01M,-350.00M,402.01M,1.181B,76.70M,1.258B,161.77M,1.822B,2.915B,93.64M,,93.64M,167.66M,261.30M,,5.823M,,5.823M,,5.823M,,,29.92M,297.04M,586.81M,,586.81M,68.00M,68.00M,0.304M,442.91M,1.098B,1.395B,1.628M,1.644B,176.32M,469.54M,341.77M,-174.39M,167.38M,1.520B
2007-12,,169.38M,146.94M,316.32M,,307.62M,53.01M,49.62M,155.40M,258.03M,100.04M,,,982.02M,0.0,40.57M,234.30M,418.38M,,28.16M,721.41M,-350.00M,371.41M,1.127B,76.17M,1.204B,118.55M,1.694B,2.676B,82.32M,39.44M,121.76M,189.40M,311.17M,,1.244M,,1.244M,,1.244M,,,,312.41M,482.06M,,482.06M,60.55M,60.55M,,304.44M,847.05M,1.159B,1.628M,1.583B,173.08M,387.11M,,,145.82M,1.516B
