,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2011-04,,0.00,,0.00,29.47M,0.34M,29.81M,29.81M,-9.334M,12.89M,-32.41M,242.36M,,,,,,,-46.68M,196.64M,-34.14M,,-34.14M,0.00,-145.85M,-4.044M,-184.04M,370.51M,366.88M,,-67.55M,-67.55M,-66.00M,-66.00M,46.11M,30.61M,310.05M,1.570B,322.65M,1.79M,1.895B,,370.51M,,-67.55M
2011-01,,-6.50M,,-6.50M,29.49M,0.392M,29.88M,29.88M,-2.305M,12.60M,-3.607M,222.27M,,,,,,,-35.59M,216.75M,-25.55M,,-25.55M,10.00M,227.16M,-3.475M,208.14M,145.00M,145.00M,,-113.60M,-113.60M,-65.81M,-65.81M,101.97M,8.183M,75.74M,1.07B,500.62M,-0.301M,1.570B,,145.00M,,-113.60M
2010-10,,0.00,,0.00,29.31M,0.639M,29.95M,29.95M,6.367M,13.49M,-0.164M,225.24M,,,,,,,-0.595M,274.28M,-37.76M,,-37.76M,0.00,-102.72M,0.608M,-139.88M,0.00,0.00,,-35.80M,-35.80M,-65.59M,-65.59M,42.14M,0.372M,-58.87M,993.43M,75.53M,1.044M,1.07B,,0.00,,-35.80M
2010-07,-287.60M,0.00,,0.00,28.58M,0.609M,29.19M,29.19M,-7.755M,13.18M,-0.028M,488.16M,,,,,,,-10.34M,224.81M,-39.12M,,-39.12M,0.00,-136.60M,2.827M,-172.90M,0.00,0.00,,-4.047M,-4.047M,-65.95M,-65.95M,4.849M,0.53M,-64.62M,1.008B,-12.71M,-2.236M,993.43M,,0.00,,-4.047M
2010-04,167.14M,0.00,,0.00,28.91M,1.779M,30.69M,30.69M,-14.08M,13.26M,-0.072M,0.171M,,,,,,,81.21M,278.32M,-17.49M,,-17.49M,0.00,-113.85M,1.248M,-130.09M,0.00,0.00,,0.00,0.00,-118.43M,-59.56M,5.666M,0.072M,-53.82M,914.27M,94.41M,-0.306M,1.008B,,0.00,,0.00
2010-01,120.46M,-0.859M,,-0.859M,29.28M,1.801M,31.08M,31.08M,5.597M,11.84M,-0.053M,0.665M,,,,,,,45.05M,213.77M,-17.18M,,-17.18M,63.04M,-88.41M,-0.407M,-42.96M,0.00,0.00,,0.00,0.00,,-58.87M,163.49M,0.053M,104.67M,639.73M,275.48M,-0.943M,914.27M,,0.00,,0.00
2009-10,105.61M,0.00,,0.00,30.00M,2.15M,32.15M,32.15M,11.82M,12.62M,-0.015M,6.169M,,,,,,,-5.67M,162.68M,-16.39M,,-16.39M,-0.313M,-589.78M,505.40M,-101.09M,0.00,0.00,,0.00,0.00,,-58.33M,3.637M,0.015M,-54.67M,632.72M,6.918M,0.096M,639.73M,,0.00,,0.00
2009-07,65.46M,,,,30.30M,1.679M,31.98M,31.98M,1.713M,12.02M,0.00,-3.335M,,,,,,,25.73M,133.56M,-5.425M,,-5.425M,-8.36M,-483.14M,-1.481M,-498.41M,370.35M,370.35M,,-0.182M,-0.182M,,-58.26M,5.82M,0.00,317.73M,676.88M,-47.12M,2.954M,632.72M,,370.35M,,-0.182M
2009-04,51.75M,0.00,,0.00,33.44M,1.591M,35.03M,35.03M,13.99M,12.57M,-0.005M,0.397M,,,,,,,-37.74M,76.00M,-12.05M,,-12.05M,-1.34M,-95.63M,-2.206M,-111.23M,,,,-3.091M,-3.091M,,-58.16M,2.92M,-0.763M,-59.10M,769.71M,-94.33M,1.494M,676.88M,,,,-3.091M
2009-01,24.95M,0.00,,0.00,38.76M,1.957M,40.71M,40.71M,-15.92M,11.41M,0.00,13.90M,,,,,,,-15.14M,59.91M,-22.24M,,-22.24M,0.00,200.29M,-2.063M,175.99M,,,,-0.489M,-0.489M,,-58.24M,,0.768M,-57.96M,593.60M,177.94M,-1.83M,769.71M,,,,-0.489M
2008-10,143.87M,,,2.457M,36.16M,1.774M,37.94M,37.94M,-3.709M,,,74.02M,,,,,,-165.27M,-112.32M,142.26M,-47.38M,,-47.38M,0.00,145.10M,1.176M,98.90M,,,11.01M,-17.47M,-6.462M,,-58.10M,,5.853M,-58.71M,418.46M,182.44M,-7.30M,593.60M,11.01M,,,-17.47M
2008-07,138.61M,,,63.48M,36.24M,2.438M,38.68M,38.68M,-4.813M,,,-55.64M,,,,,,15.83M,15.83M,196.15M,-39.38M,,-39.38M,0.444M,-88.78M,-1.855M,-129.58M,,,21.02M,-27.58M,-6.554M,,-58.08M,,1.978M,-62.65M,414.36M,3.917M,0.178M,418.46M,21.02M,,,-27.58M
2008-04,133.09M,,,-67.28M,36.27M,2.615M,38.88M,38.88M,-2.865M,,,9.78M,,,,,,41.94M,41.94M,153.54M,-30.54M,,-30.54M,-7.074M,-133.46M,0.592M,-170.48M,,,37.62M,-165.43M,-127.80M,,-52.51M,,-21.20M,-201.51M,633.09M,-218.45M,-0.277M,414.36M,37.62M,,,-165.43M
2008-01,370.72M,,,-246.98M,35.55M,2.423M,37.97M,37.97M,0.018M,,,3.812M,,,,,,11.88M,11.88M,177.42M,-40.12M,,-40.12M,406.66M,20.18M,2.795M,389.52M,,,24.50M,-359.38M,-334.88M,,-53.84M,,31.59M,-357.13M,424.97M,209.81M,-1.697M,633.09M,24.50M,,,-359.38M
2007-10,97.89M,,,0.00,35.10M,2.573M,37.68M,37.68M,7.724M,,,2.664M,,,,,,-89.59M,36.90M,182.85M,-33.18M,,-33.18M,0.00,234.22M,-8.42M,192.62M,,,12.95M,-317.69M,-304.74M,,-55.44M,,15.82M,-344.36M,393.90M,31.12M,-0.043M,424.97M,12.95M,,,-317.69M
2007-07,120.44M,,,0.00,35.74M,3.168M,38.91M,38.91M,-5.256M,,,13.94M,,,,,,22.70M,22.70M,190.73M,-31.25M,,-31.25M,-3.16M,547.85M,0.162M,513.60M,,,17.94M,-631.71M,-613.77M,,-58.54M,,3.559M,-668.76M,358.59M,35.58M,-0.267M,393.90M,17.94M,,,-631.71M
2007-04,125.36M,,,0.00,35.72M,3.259M,38.97M,38.97M,-7.751M,,,2.741M,,,,,,79.31M,79.31M,238.63M,-39.66M,,-39.66M,-6.00M,121.71M,-0.333M,75.72M,,,53.76M,-364.59M,-310.83M,,-59.56M,,15.03M,-355.36M,398.55M,-41.01M,1.053M,358.59M,53.76M,,,-364.59M
2007-01,153.23M,,,-8.138M,35.61M,3.61M,39.22M,39.22M,2.433M,,,13.72M,,,,,,7.684M,7.684M,208.15M,-37.73M,,-37.73M,,240.22M,0.153M,202.64M,,,24.50M,-333.22M,-308.73M,,-54.74M,,6.467M,-357.00M,343.95M,53.80M,0.803M,398.55M,24.50M,,,-333.22M
