,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2014-09,251.06M,,,-2.201M,0.00,-10.17M,-12.27M,122.98M,-0.276M,122.70M,122.70M,,,,,5.461M,-60.85M,-1.968M,-21.84M,,,-8.209M,-32.02M,275.32M,,,,,,-373.12M,,28.30M,-572.03M,,567.38M,,567.38M,16.66M,-0.513M,16.14M,,,,-250.47M,-250.47M,-6.881M,326.17M,,54.07M,29.46M,-0.002M,83.53M,,16.66M,599.67M,-32.29M,-0.513M,,,,AOR,Restated
2014-06,222.28M,,,0.058M,-0.063M,-14.69M,-15.07M,113.13M,-0.175M,112.96M,112.96M,,,,,6.116M,-25.88M,-4.18M,61.26M,,,2.806M,59.89M,360.52M,,,,,,,,-20.82M,-338.65M,,215.90M,,215.90M,23.67M,-3.018M,20.66M,,,,-250.17M,-250.17M,-3.933M,-17.55M,,49.74M,4.329M,0.003M,54.07M,,23.67M,310.00M,-94.10M,-3.018M,,,,AOR,Restated
2014-03,263.62M,,,,-27.95M,-14.53M,-42.62M,107.39M,-0.168M,107.22M,107.22M,,,,,4.89M,-30.51M,-1.045M,-47.87M,,,-8.942M,-57.86M,247.18M,,,,,,,,-44.62M,-46.55M,,-212.74M,,-212.74M,32.73M,-8.068M,24.66M,,,,-250.20M,-250.20M,-13.17M,-451.45M,,300.56M,-250.82M,0.002M,49.74M,,32.73M,350.00M,-562.74M,-8.068M,,,,AOR,Restated
2013-12,298.90M,,,,-49.72M,-20.16M,-83.60M,,,105.91M,105.91M,,,,,6.147M,-27.43M,0.267M,16.83M,,,-14.35M,2.75M,305.31M,,,,,,,263.44M,-256.88M,77.31M,,99.80M,,99.80M,21.58M,,21.58M,,,,-239.82M,-239.82M,-13.34M,-131.78M,,49.41M,250.84M,0.306M,300.56M,,21.58M,516.92M,-417.11M,,,,,AOR,Restated
2013-09,238.37M,,,,-9.065M,-13.89M,-21.92M,,,104.44M,104.44M,,,,,22.20M,-27.88M,5.927M,-19.06M,,,-31.09M,-44.22M,272.08M,,,,,,,0.373M,178.77M,146.98M,,-219.79M,,-219.79M,30.64M,,30.64M,,,,-239.42M,-239.42M,5.216M,-423.35M,,53.11M,-4.291M,0.591M,49.41M,,30.64M,24.83M,-244.62M,,,,,AOR,Restated
2013-06,218.28M,,,,-0.002M,-15.58M,-17.81M,,,103.22M,103.22M,,,,,6.208M,-13.64M,-1.505M,65.83M,,,-4.153M,60.17M,357.25M,,,,,,,-16.71M,-287.05M,-363.58M,,222.80M,,222.80M,28.92M,0.689M,29.61M,,,,-238.99M,-238.99M,-1.598M,11.83M,,47.55M,5.504M,0.063M,53.11M,,28.92M,251.05M,-28.24M,0.689M,,,,AOR,Restated
2013-03,235.32M,,,,-11.08M,-14.80M,-24.63M,,,103.10M,103.10M,,,,,5.43M,-38.42M,1.967M,-60.53M,,,-8.699M,-67.26M,214.35M,,,,,,,28.03M,-21.56M,-57.36M,,-148.14M,,-148.14M,32.94M,-0.689M,32.25M,,,,-238.47M,-238.47M,-2.767M,-357.12M,,247.67M,-200.13M,0.00,47.55M,,32.94M,14.00M,-162.14M,-0.689M,,,,AOR,Restated
2012-12,247.19M,,,-0.043M,-28.56M,-11.65M,-43.01M,,,98.86M,98.86M,,,0.00,,6.33M,-33.14M,-2.387M,35.96M,,,3.489M,37.07M,313.92M,,,,,,,-1.701B,-46.04M,-1.663B,,754.00M,,754.00M,988.37M,,988.37M,,0.00,0.00,,-227.08M,-14.57M,1.501B,,96.48M,151.20M,,247.67M,,988.37M,346.00M,408.00M,0.00,,,,AOR,Restated
2012-09,204.78M,,,0.095M,0.00,-13.40M,-13.37M,,,83.87M,83.87M,,,7.878M,,5.54M,-31.63M,-5.79M,-15.66M,,,0.885M,-20.56M,237.40M,,,,,,,0.00,-141.04M,-337.16M,,232.74M,,232.74M,21.28M,,21.28M,,0.00,0.00,,-215.38M,-12.05M,26.59M,,169.64M,-73.16M,0.00,96.48M,,21.28M,514.79M,-282.05M,0.00,,,,AOR,Restated
2012-06,208.12M,,,-0.052M,-0.203M,-15.73M,-16.66M,,,84.16M,84.16M,,,,,6.034M,-30.21M,-1.592M,46.58M,,,-0.311M,44.68M,297.08M,,,,,,,-214.86M,-25.83M,-282.40M,,-67.47M,,-67.47M,385.57M,,385.57M,,-295.50M,-295.50M,,-211.78M,-3.293M,-192.48M,,347.42M,-177.79M,0.00,169.64M,,385.57M,0.00,-67.47M,-295.50M,,,,AOR,Restated
2012-03,199.56M,,,,-2.653M,-13.68M,-14.49M,,,84.58M,84.58M,,,,,5.373M,-31.28M,2.30M,-52.62M,,,-7.877M,-58.20M,186.47M,,,,,,,0.00,-18.76M,-31.15M,,-14.06M,,-14.06M,397.57M,,397.57M,,,,,-211.07M,-13.85M,158.60M,,33.51M,313.92M,,347.42M,,397.57M,450.00M,-464.06M,,,,,AOR,Restated
2011-12,82.13M,7.769M,,,3.515M,-24.18M,-16.44M,-270.03M,3.271M,74.79M,74.79M,,28.57M,0.00,,,-78.19M,-0.616M,24.74M,,,-1.049M,23.08M,137.24M,,202.40M,,202.40M,,0.00,59.47M,-114.54M,-29.46M,,-90.78M,152.52M,61.73M,24.93M,,24.93M,,0.00,0.00,586.05M,-201.64M,-4.155M,-119.13M,,44.86M,-11.35M,,33.51M,,24.93M,79.00M,-17.27M,0.00,,,,AOR,Restated
2011-09,175.47M,0.00,0.00,,2.082M,-16.16M,-36.89M,88.56M,-1.178M,87.38M,87.38M,,-57.18M,15.40M,,,50.44M,-5.616M,-107.54M,,,32.64M,-80.52M,154.11M,,-54.37M,0.00,-54.37M,,-319.93M,374.01M,-286.08M,-286.37M,,224.42M,-152.52M,71.90M,21.31M,,21.31M,,0.00,0.00,-586.05M,-201.13M,8.843M,-99.08M,,276.20M,-231.34M,,44.86M,,21.31M,375.00M,-303.10M,0.00,,,,AOR,Restated
2011-06,234.25M,0.27M,0.00,,-1.195M,-13.71M,-14.64M,90.05M,-1.187M,88.86M,88.86M,,8.557M,,,,-62.50M,4.406M,36.12M,,,-12.08M,28.45M,282.99M,,-82.58M,0.00,-82.58M,,-3.801B,-96.25M,290.79M,-3.689B,,-141.68M,21.14M,-120.55M,33.53M,,33.53M,,0.00,0.00,,-200.71M,-18.53M,-306.26M,,3.989B,-3.712B,,276.20M,,33.53M,0.00,-120.55M,0.00,,,,AOR,Restated
2011-03,73.98M,-8.039M,0.00,,-2.113M,-0.466M,-10.62M,91.42M,-0.906M,90.51M,90.51M,,20.05M,,,,-36.16M,4.416M,-0.429M,,,8.073M,12.06M,149.83M,,-65.45M,,-65.45M,,-136.06M,-359.68M,-14.31M,-575.50M,,2.40B,-21.14M,2.379B,1.248B,,1.248B,,,,,-184.21M,-65.11M,3.378B,,1.037B,2.952B,,3.989B,,1.248B,2.40B,-21.14M,,,,,AOR,Restated
2010-12,152.04M,,4.052M,,-28.05M,-6.133M,-34.11M,-235.39M,5.337M,70.50M,70.50M,,-7.238M,0.00,,3.618M,-24.92M,7.235M,-15.20M,,,-7.522M,-15.49M,149.77M,,228.30M,-1.963M,226.33M,,-212.12M,237.96M,-299.94M,-103.96M,,-797.90M,,-797.90M,1.908B,,1.908B,,,,,-156.36M,-15.54M,938.26M,,52.64M,984.07M,,1.037B,,1.908B,-318.00M,-479.90M,,,,,AOR,Restated
2010-09,26.17M,0.065M,-4.052M,,-5.895M,1.584M,-8.298M,78.51M,-1.629M,76.88M,76.88M,,1.934M,71.69M,0.035M,3.618M,-27.65M,-2.469M,12.91M,,,-0.194M,10.25M,154.63M,,-71.12M,1.963M,-69.16M,,-6.445M,-50.64M,-39.39M,-165.63M,,43.10M,,43.10M,78.26M,,78.26M,,,,,-149.62M,-4.35M,-32.62M,,96.26M,-43.62M,,52.64M,,78.26M,318.00M,-274.90M,,,,,AOR,Restated
2010-06,88.60M,-0.065M,,,0.19M,-0.258M,-0.133M,77.91M,-1.804M,76.11M,76.11M,,1.836M,0.00,0.00,4.182M,-26.68M,0.191M,13.70M,,,8.838M,22.73M,166.64M,,-126.14M,,-126.14M,,-0.653M,-8.345M,12.51M,-122.62M,,-288.88M,,-288.88M,440.59M,,442.14M,,,,,-142.16M,-3.456M,7.64M,,44.60M,51.66M,,96.26M,,440.59M,-210.00M,-78.88M,,,,,AOR,Restated
2010-03,84.10M,0.00,,,0.533M,0.037M,0.57M,78.97M,-1.904M,77.07M,77.07M,,3.468M,-11.90M,-0.035M,3.506M,-27.78M,4.265M,-16.34M,,,-7.463M,-19.54M,109.46M,,-31.04M,,-31.04M,,0.653M,0.242M,-8.564M,-38.71M,,1.158M,,1.158M,,,-1.546M,,,,,-142.59M,4.576M,-138.40M,,112.26M,-67.66M,,44.60M,,,210.00M,-208.84M,,,,,AOR,Restated
2009-12,35.48M,,-2.964M,,-2.387M,5.755M,32.79M,77.54M,-2.123M,75.42M,75.42M,,2.141M,54.48M,,3.32M,-59.75M,-6.902M,94.79M,,-101.97M,-3.89M,-17.97M,125.91M,,1.802M,14.23M,16.03M,,-6.833M,28.82M,-30.76M,7.248M,,-177.75M,150.00M,-27.75M,6.777M,,6.777M,,,,,-128.61M,-15.68M,-165.27M,,144.37M,-32.11M,,112.26M,,6.777M,0.00,-177.75M,,,,,AOR,Restated
2009-09,110.67M,,-2.46M,,-6.127M,-1.328M,-19.28M,82.36M,-1.677M,80.68M,80.68M,,1.874M,15.12M,,3.531M,-163.52M,6.634M,-1.52M,,101.97M,3.461M,110.55M,139.62M,,-40.18M,5.765M,-34.42M,,1.299M,-46.70M,0.363M,-79.46M,,-473.33M,220.00M,-253.33M,424.68M,,424.68M,,,,,-135.92M,-0.718M,34.72M,,49.48M,94.88M,,144.37M,,424.68M,1.942M,-105.27M,,,,,AOR,Restated
2009-06,-52.71M,,-30.54M,,-0.602M,-2.595M,-45.77M,79.63M,-8.32M,71.31M,71.31M,,2.112M,5.906M,,3.991M,149.42M,-0.489M,5.287M,,,-5.969M,-1.171M,133.08M,,-28.23M,46.52M,8.641M,9.642M,4.428M,7.042M,-1.092M,28.66M,,-20.33M,-455.00M,-475.33M,421.45M,10.58M,432.03M,,,,,-126.24M,-9.097M,-178.64M,,66.38M,-16.89M,,49.48M,,421.45M,-85.00M,-390.33M,10.58M,-0.36M,-94.25M,,AOR,Restated
2009-03,52.71M,,-1.357M,,0.309M,1.93M,-10.10M,80.60M,-2.66M,77.94M,77.94M,,2.201M,0.00,,3.546M,0.793M,5.165M,-14.76M,,,-0.483M,-10.07M,117.01M,,-29.91M,5.764M,-14.50M,-9.642M,0.00,2.469M,3.819M,-17.86M,,-38.46M,85.00M,46.54M,0.00,-10.58M,-10.58M,,,,,-126.30M,,-90.34M,,57.56M,8.814M,,66.38M,,0.00,85.00M,-38.46M,-10.58M,0.36M,94.25M,,AOR,Restated
2008-12,45.22M,,-0.794M,,4.484M,3.419M,-3.331M,81.48M,-2.42M,79.06M,79.06M,,2.46M,14.43M,,3.128M,-9.181M,-4.20M,-17.80M,,0.00,3.528M,-18.47M,113.31M,,-38.35M,10.18M,-12.91M,-15.26M,-0.959M,-4.95M,4.768M,-29.31M,,-665.39M,651.70M,-13.69M,0.302M,0.00,0.302M,,,,,-130.11M,0.00,-143.49M,,117.05M,-59.49M,,57.56M,,0.302M,200.48M,-214.16M,0.00,,,,AOR,Restated
2008-09,131.56M,,-27.75M,,-0.036M,0.436M,-37.02M,77.71M,-1.991M,75.72M,75.72M,,1.247M,3.71M,,3.152M,-4.16M,1.909M,16.82M,,0.00,-10.24M,8.49M,182.69M,,-71.93M,116.52M,56.97M,-12.38M,0.206M,-12.16M,-5.241M,27.40M,,-647.73M,0.00,-647.73M,487.26M,0.00,487.26M,,,,,-134.53M,-14.84M,-309.83M,,216.79M,-99.74M,,117.05M,,487.26M,320.35M,-968.08M,0.00,,,,AOR,Restated
2008-06,238.08M,,-190.50M,,2.669M,-0.339M,-195.57M,79.69M,-1.877M,77.81M,77.81M,,3.123M,9.715M,,3.959M,-2.06M,0.929M,10.11M,,,-5.081M,5.957M,141.02M,,-44.17M,483.29M,453.37M,-14.25M,0.501M,9.792M,1.143M,450.56M,,35.07M,-1.019B,-983.53M,566.71M,2.022M,568.73M,,,,,-119.16M,5.18M,-528.78M,,154.00M,62.79M,,216.79M,,566.71M,191.83M,-1.175B,2.022M,,,,AOR,Restated
2008-03,56.13M,,-10.14M,,0.113M,-0.097M,-19.90M,82.36M,-2.152M,80.21M,80.21M,,3.039M,,,3.526M,2.313M,12.04M,-16.16M,,,10.48M,6.367M,131.68M,,-61.07M,29.59M,-13.37M,-18.11M,-0.472M,1.553M,9.079M,-21.32M,,-12.07M,66.90M,54.83M,6.265M,-2.022M,4.243M,,,,,-111.70M,,-52.62M,,96.27M,57.73M,,154.00M,,6.265M,66.90M,-12.07M,-2.022M,,,,AOR,Restated
2007-12,50.30M,,-11.32M,,2.641M,3.377M,-14.85M,79.30M,-2.871M,76.43M,76.43M,,5.139M,0.00,,2.892M,-23.50M,-10.49M,29.76M,,,3.763M,23.04M,143.23M,,-108.41M,32.71M,-26.03M,,-483.14M,122.93M,-517.93M,-953.84M,,2.235B,624.50M,127.92M,318.26M,,318.26M,,,,,-108.15M,,338.02M,,568.85M,-472.58M,,96.27M,,318.26M,3.677B,-817.94M,,,,,AOR,Restated
