,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2005-06,116.24M,116.24M,15.39M,100.85M,8.827M,8.827M,,,,-50.89M,,,,50.89M,35.50M,65.35M,,,,,,,,36.95M,6.099M,,-3.031M,5.283M,43.05M,36.95M,92.74M,27.39M,65.35M,,0.24,0.04,,,0.24,0.28,,0.23,0.04,,,0.23,0.28,,134.44M,135.21M,0.42,,AOR,Restated
2005-03,107.25M,107.25M,13.30M,93.95M,7.319M,7.319M,,,,-44.08M,,,,44.08M,30.78M,63.16M,,,,,,,,36.78M,6.68M,,-3.147M,5.283M,43.46M,36.78M,87.15M,23.98M,63.16M,,0.24,0.05,,,0.24,0.29,,0.23,0.05,,,0.23,0.28,,133.49M,134.53M,0.42,,AOR,Restated
2004-12,-5.906M,-5.906M,,,11.87M,11.87M,,,,,,,,,-50.70M,74.80M,,,,,,,,-21.66M,,,,,25.00M,32.60M,91.91M,17.10M,74.80M,,0.36,-0.05,,,0.36,0.31,,0.36,-0.05,,,0.36,0.31,,133.68M,133.87M,0.4175,,AOR,Restated
2004-09,109.13M,109.13M,10.87M,98.26M,9.446M,9.446M,,,-1.305M,-42.72M,,,,42.72M,31.86M,66.41M,,,,-1.305M,,,,38.99M,-4.499M,,-2.946M,5.282M,34.49M,39.77M,102.73M,36.32M,66.41M,,0.26,-0.04,,,0.2659,0.22,,0.25,-0.04,,,0.2559,0.22,,132.18M,133.58M,0.4175,,AOR,Restated
2004-06,103.93M,103.93M,9.894M,94.03M,8.554M,8.554M,,,-1.216M,-38.90M,,,,38.90M,29.01M,65.02M,,,,-1.216M,,,,40.77M,0.811M,,-3.289M,5.282M,41.58M,41.50M,88.66M,23.64M,65.02M,,0.27,0.01,,,0.2755,0.28,,0.27,0.00,,,0.2755,0.27,,131.65M,132.86M,0.4175,,AOR,Restated
2004-03,94.99M,94.99M,8.825M,86.16M,7.269M,7.269M,,,,-35.99M,,,,35.99M,27.16M,59.00M,,,,,,,,34.92M,11.92M,,-2.865M,5.283M,46.84M,34.92M,81.27M,22.27M,59.00M,,0.23,0.09,,,0.23,0.32,,0.22,0.09,,,0.22,0.31,,130.74M,132.70M,0.4175,,AOR,Restated
2003-12,-29.36M,-29.36M,,,,7.947M,,,,,,,,,-46.52M,39.33M,,,,,,,,-23.52M,,,,,7.662M,13.01M,72.42M,33.08M,39.33M,,0.37,-0.05,,,0.37,0.32,,0.36,-0.05,,,0.36,0.32,,130.42M,132.13M,0.415,,AOR,Restated
2003-09,96.86M,96.86M,7.763M,89.10M,,5.516M,,,,,,,,,23.74M,65.36M,,,,,,,,41.48M,8.124M,,-2.038M,4.147M,49.61M,41.48M,83.58M,17.86M,65.36M,,0.24,0.07,,,0.24,0.31,,0.24,0.06,,,0.24,0.30,,126.31M,127.86M,0.415,,AOR,Restated
2003-06,92.42M,92.42M,7.415M,85.00M,,5.662M,,,,,,,,,24.05M,60.95M,,,,,,,,36.28M,0.639M,,-2.264M,4.848M,36.91M,36.28M,79.34M,18.29M,60.95M,,0.16,0.01,,,0.16,0.17,,0.16,0.01,,,0.16,0.17,,121.46M,122.44M,0.415,,AOR,Restated
2003-03,85.91M,85.91M,,,5.242M,5.242M,,,,-30.88M,,,,81.28M,73.96M,11.94M,,,,,,,,31.49M,-3.824M,,-1.995M,6.225M,27.66M,31.49M,30.26M,18.32M,11.94M,,0.21,-0.03,,,0.21,0.18,,0.21,-0.03,,,0.21,0.18,,119.16M,120.04M,0.415,,AOR,Restated
2002-12,70.51M,15.81M,,,5.949M,5.949M,,,,-22.52M,,,,,-160.50M,198.96M,,,,,,,,26.98M,2.391M,,14.67M,6.225M,29.37M,26.98M,226.91M,27.94M,198.96M,,-0.18,0.38,,,-0.18,0.20,,-0.18,0.37,,,-0.18,0.19,,114.55M,121.73M,0.415,,AOR,Restated
2002-09,89.43M,89.43M,8.337M,81.09M,4.102M,4.102M,18.86M,,,-31.30M,,,,31.30M,22.96M,58.12M,,,,,,,,35.71M,1.533M,,-2.049M,6.225M,37.24M,35.71M,76.99M,18.71M,58.12M,,0.25,0.015,,,0.25,0.265,,0.25,0.015,,,0.25,0.265,,116.41M,116.83M,0.41,,AOR,Restated
2002-06,87.61M,87.61M,7.23M,80.38M,,4.393M,18.21M,,,,,,,,22.60M,57.78M,,,,,,,,37.33M,3.025M,,-2.23M,6.225M,40.36M,37.33M,75.99M,16.17M,57.78M,,0.275,0.025,,,0.275,0.30,,0.27,0.025,,,0.27,0.295,,114.64M,115.25M,0.405,,AOR,Restated
2002-03,79.70M,79.70M,,,4.145M,4.145M,,,,-28.98M,,,,,-24.84M,104.54M,,,,,,,,31.25M,-0.842M,,1.999M,6.225M,30.41M,31.25M,123.98M,19.44M,104.54M,,0.1075,0.00,,,0.1075,0.1075,,0.105,0.00,,,0.105,0.105,,226.95M,228.10M,0.40,,AOR,
2001-12,74.34M,49.50M,,,,,,,1.20M,-25.82M,,,,,-170.60M,241.78M,,,,1.20M,,,,18.67M,7.006M,,11.22M,6.225M,36.17M,28.44M,273.46M,31.68M,241.78M,,0.1976,0.0310,,,0.1909,0.2286,,0.1976,0.0310,,,0.1909,0.2286,,106.36M,106.78M,0.395,,AOR,Restated
2001-09,83.38M,83.38M,7.386M,76.00M,3.221M,3.221M,17.47M,,-5.19M,-28.08M,,,,28.08M,20.69M,55.31M,,,,-5.19M,,,,29.56M,-5.484M,,-1.689M,6.225M,24.07M,32.67M,73.06M,17.75M,55.31M,,0.16,0.00,,,0.1881,0.16,,0.16,0.00,,,0.1880,0.16,,110.72M,111.25M,0.39,,AOR,Restated
2001-06,83.41M,83.41M,7.193M,76.22M,3.509M,3.509M,17.23M,,,-28.50M,,,,29.07M,21.31M,54.91M,,,,,,,,33.76M,1.139M,,-1.598M,6.225M,34.90M,33.76M,72.14M,15.93M,54.91M,,0.27,0.00,,,0.27,0.27,,0.27,0.00,,,0.27,0.27,,106.32M,106.78M,0.385,,AOR,Restated
2001-03,76.59M,76.59M,,,,,,,,-29.02M,,,,,-29.02M,105.61M,,,,,,,,25.24M,0.785M,,1.337M,6.225M,26.02M,25.24M,124.35M,18.74M,105.61M,,0.0975,0.00,,,0.0975,0.0975,,0.0975,0.00,,,0.0975,0.0975,,203.85M,204.77M,0.38,,AOR,
2000-12,79.05M,41.66M,,,,,,,,,,,,,-176.14M,238.46M,,,,,,,,2.973M,,,10.13M,6.225M,36.92M,22.24M,258.99M,20.54M,238.46M,,0.1579,0.1444,,,0.1579,0.3050,,0.1579,0.1444,,,0.1579,0.3050,,102.21M,102.28M,0.375,,AOR,Restated
2000-09,83.69M,83.69M,7.201M,76.49M,,3.27M,,,,,,,,2.00M,22.73M,53.76M,,,,,,,,30.84M,,0.065M,-1.326M,6.225M,30.91M,30.84M,71.22M,17.46M,53.76M,,0.245,0.00,0.00,,0.245,0.245,,0.24,0.00,0.0006,,0.24,0.24,,101.92M,102.05M,0.37,,AOR,Restated
2000-06,84.09M,84.09M,6.753M,77.34M,,3.22M,,,,,,,,,20.67M,56.67M,,,,,,,,36.50M,,0.00,-1.664M,6.225M,36.50M,36.50M,74.12M,17.45M,56.67M,,0.295,0.00,0.00,,0.295,0.295,,0.295,0.00,0.00,,0.295,0.295,,102.14M,102.19M,0.365,,AOR,Restated
2000-03,82.25M,82.25M,,,,,,,0.684M,-27.36M,,,,,-27.36M,109.62M,,,,0.684M,,,,32.94M,,0.209M,1.413M,6.225M,33.15M,32.53M,109.62M,,109.62M,,0.1325,0.00,0.00,,0.1305,0.1325,,0.13,0.00,0.0010,,0.128,0.13,,205.14M,205.20M,0.36,,AOR,
1999-12,81.45M,71.14M,6.206M,64.94M,,2.796M,,,,,,,,,17.90M,47.03M,,,,,,,,27.00M,,0.00,-1.638M,5.447M,27.00M,27.00M,62.14M,15.11M,47.03M,,0.225,0.00,0.00,,0.225,0.225,,0.225,0.00,0.00,,0.225,0.225,,88.80M,88.80M,0.355,,AOR,Restated
1999-09,52.22M,52.22M,4.206M,48.01M,,3.01M,,,,,,,,,13.21M,34.81M,,,,,,,,30.17M,,0.00,-0.853M,4.109M,30.17M,30.17M,45.00M,10.20M,34.81M,,0.405,0.00,0.00,,0.405,0.405,,0.40,0.00,0.00,,0.40,0.40,,64.09M,70.91M,0.35,,,Restated
1999-06,52.06M,51.81M,4.077M,47.74M,,2.988M,,,,-17.40M,,,,17.40M,13.09M,34.65M,,,,0.20M,,,,19.68M,,0.00,-1.544M,4.11M,19.68M,19.56M,44.75M,10.09M,34.65M,,0.245,0.00,0.00,,0.2431,0.245,,0.245,0.00,0.00,,0.2431,0.245,,63.36M,63.58M,0.345,,,Restated
1999-03,49.60M,49.60M,,,,,,,,-16.40M,,,,,-16.40M,66.00M,,,,,,,,19.40M,,,1.40M,4.10M,19.40M,19.40M,75.40M,9.40M,66.00M,,0.1225,0.00,,,0.1225,0.1225,,0.1225,0.00,,,0.1225,0.1225,,62.08M,62.08M,0.34,,,
1998-12,52.50M,38.35M,,,,,,,,-12.20M,,,,,74.39M,-41.09M,,,,7.40M,,,,27.10M,,,-8.64M,4.132M,27.07M,22.63M,-32.92M,8.177M,-41.09M,,0.3701,,,,0.2984,0.3701,,0.3701,,,,0.2984,0.3701,,61.98M,61.98M,0.335,,AOR,Restated
1998-09,48.40M,48.40M,,,,,,,,-12.30M,,,,,-12.30M,60.70M,,,,6.20M,,,,24.90M,,,0.90M,2.10M,24.90M,21.18M,68.20M,7.50M,60.70M,,0.185,0.00,,,0.1250,0.185,,0.18,0.00,,,0.1200,0.18,,61.97M,61.97M,0.33,,,
1998-06,38.40M,38.40M,,,,,,,,-10.80M,,,,,-10.80M,49.20M,,,,0.50M,,,,17.70M,,,1.10M,1.20M,17.70M,17.40M,56.50M,7.30M,49.20M,,0.135,0.00,,,0.1302,0.135,,0.1325,0.00,,,0.1277,0.1325,,61.93M,61.93M,0.325,,,
1998-03,36.40M,36.40M,,,,,,,,-10.10M,,,,,-10.10M,46.50M,,,,,,,,17.50M,,,1.10M,1.20M,17.50M,17.50M,53.10M,6.60M,46.50M,,0.135,0.00,,,0.135,0.135,,0.135,0.00,,,0.135,0.135,,61.92M,61.92M,0.32,,,
1997-12,33.50M,31.50M,,,,,,,,-8.60M,,,,,57.67M,-26.33M,,,,0.00,,,,16.70M,,,-6.604M,1.147M,16.69M,16.69M,-20.36M,5.967M,-26.33M,,0.2572,,,,0.2572,0.2572,,0.2572,,,,0.2572,0.2572,,60.43M,60.43M,0.315,,AOR,Restated
1997-09,32.30M,32.30M,,,,,,,,-8.40M,,,,,-8.40M,40.70M,,,,,,,,15.60M,,,0.80M,0.10M,15.60M,15.60M,46.40M,5.70M,40.70M,,0.135,0.00,,,0.135,0.135,,0.135,0.00,,,0.135,0.135,,57.56M,57.56M,0.31,,,
1997-06,31.80M,31.80M,,,,,,,,-8.20M,,,,,-8.20M,40.00M,,,,,,,,15.40M,,,1.00M,,15.40M,15.40M,45.50M,5.50M,40.00M,,0.135,0.00,,,0.135,0.135,,0.1325,0.00,,,0.1325,0.1325,,57.44M,57.44M,0.305,,,
1997-03,33.00M,33.00M,,,,,,,,-8.00M,,,,,-8.00M,41.00M,,,,,,,,17.10M,,,1.00M,,17.10M,17.10M,46.50M,5.50M,41.00M,,0.15,0.00,,,0.15,0.15,,0.1475,0.00,,,0.1475,0.1475,,57.42M,57.42M,0.30,,,
1996-12,31.00M,30.99M,,,,,,,,-8.00M,,,,,78.38M,-47.38M,,,,,,,,15.44M,,,-5.976M,,15.44M,15.44M,-41.68M,5.70M,-47.38M,,0.2692,,,,0.2692,0.2692,,0.2692,,,,0.2692,0.2692,,57.36M,57.36M,0.295,,AOR,
1996-09,29.80M,29.80M,,,,,,,,-7.50M,,,,,-7.50M,37.30M,,,,,,,,15.00M,,,0.60M,,15.00M,15.00M,42.50M,5.20M,37.30M,,0.13,0.00,,,0.13,0.13,,0.13,0.00,,,0.13,0.13,,57.36M,57.36M,0.29,,,
1996-06,30.60M,30.60M,,,,,,,,-7.50M,,,,,-7.50M,38.10M,,,,,,,,15.60M,,,0.90M,,15.60M,15.60M,43.20M,5.10M,38.10M,,0.135,0.00,,,0.135,0.135,,0.135,0.00,,,0.135,0.135,,57.34M,57.34M,0.285,,,
1996-03,29.00M,29.00M,,,,,,,,-7.10M,,,,,-7.10M,36.10M,,,,,,,,14.60M,,,1.00M,,14.60M,14.60M,40.80M,4.70M,36.10M,,0.1275,0.00,,,0.1275,0.1275,,0.1275,0.00,,,0.1275,0.1275,,57.33M,57.33M,0.28,,,
1995-12,26.80M,26.80M,,,,,,,,-6.70M,,,,,64.50M,-37.70M,,,,,,,,37.57M,,,-6.479M,,14.07M,14.07M,-37.70M,,-37.70M,,0.2461,,,0.00,0.2461,0.2461,,0.2461,,,0.00,0.2461,0.2461,,57.15M,57.15M,0.275,,AOR,
1995-09,26.20M,26.20M,,,,,,,,-6.10M,,,,,-6.10M,32.30M,,,,,,,,14.60M,,,0.90M,,14.60M,14.60M,32.30M,,32.30M,,0.1275,0.00,,,0.1275,0.1275,,0.1275,0.00,,,0.1275,0.1275,,57.09M,57.09M,0.27,,,
1995-06,25.80M,25.80M,,,,,,,,-6.50M,,,,,-6.50M,32.30M,,,,,,,,14.30M,,,1.00M,,37.80M,14.30M,32.30M,,32.30M,,0.125,0.2075,,0.4116,0.125,0.3325,,0.125,0.2075,,0.4116,0.125,0.3325,,57.09M,57.09M,0.265,,,
1995-03,26.80M,26.80M,,,,,,,,-6.60M,,,,,-6.60M,33.40M,,,,,,,,13.80M,,,1.00M,,13.80M,13.80M,37.40M,4.00M,33.40M,,0.125,0.00,,,0.125,0.125,,0.125,0.00,,,0.125,0.125,,57.08M,57.08M,0.26,,,
1994-12,25.60M,25.60M,,,,,,,,-6.40M,,,,,64.33M,-38.74M,,,,,,,,13.08M,,,-6.285M,,13.08M,13.08M,-34.52M,4.221M,-38.74M,,0.2446,,,,0.2446,0.2446,,0.2446,,,,0.2446,0.2446,,53.47M,53.47M,0.255,,AOR,
1994-09,24.50M,24.50M,,,,,,,,-6.20M,,,,,-6.20M,30.70M,,,,,,,,12.40M,,,0.90M,,12.40M,12.40M,52.90M,22.20M,30.70M,,0.115,0.00,,,0.115,0.115,,0.115,0.00,,,0.115,0.115,,53.47M,53.47M,0.25,,,
1994-06,25.40M,25.40M,0.60M,24.80M,,1.20M,4.40M,,,,,,,,5.60M,19.20M,,,,,,,,13.20M,,,0.90M,,13.20M,13.20M,23.60M,-13.40M,19.20M,,0.125,0.00,,,0.125,0.125,,0.125,0.00,,,0.125,0.125,,53.34M,53.34M,0.245,,,
1994-03,23.60M,23.60M,,,,,,,,-6.40M,,,,,-6.40M,30.00M,,,,,,,,11.30M,,,0.90M,,11.30M,11.30M,34.50M,4.50M,30.00M,,0.105,0.00,,,0.105,0.105,,0.105,0.00,,,0.105,0.105,,53.34M,53.34M,0.24,,,
1993-12,24.80M,24.80M,,,,,,,,-6.50M,,,,,-8.30M,33.10M,,,,,,,,11.90M,,,0.80M,,11.90M,11.90M,37.90M,4.80M,33.10M,,0.2235,,,,0.2235,0.2235,,0.2235,,,,0.2235,0.2235,,53.25M,53.25M,0.2363,,,
1993-09,22.40M,22.40M,,,0.50M,0.50M,,,,-5.80M,,,,,-5.30M,27.70M,,,,,,,,11.00M,,,0.80M,,11.00M,11.00M,31.80M,4.10M,27.70M,,0.1025,0.00,,,0.1025,0.1025,,0.1025,0.00,,,0.1025,0.1025,,53.23M,53.23M,0.2325,,,
1993-06,22.60M,22.60M,,,,,,,,-6.50M,,,,,-6.50M,29.10M,,,,,,,,10.70M,,,0.90M,,10.70M,10.70M,33.60M,4.50M,29.10M,,0.10,0.00,,,0.10,0.10,,0.10,0.00,,,0.10,0.10,,53.21M,53.21M,0.2288,,,
1993-03,22.70M,22.70M,,,,,,,,-6.40M,,,,,-6.40M,29.10M,,,,,,,,10.60M,,,0.90M,,10.60M,10.60M,33.60M,4.50M,29.10M,,0.10,0.00,,,0.10,0.10,,0.10,0.00,,,0.10,0.10,,53.19M,53.19M,0.225,,,
1992-12,21.60M,21.60M,,,,,,,,-6.70M,,,,,-6.70M,28.30M,,,,,,,,9.20M,,,0.80M,,9.20M,9.20M,33.10M,4.80M,28.30M,,0.1740,,,,0.1740,0.1740,,0.1740,,,,0.1740,0.1740,,52.89M,52.89M,0.2213,,,
1992-09,20.80M,20.80M,,,,,,,,-5.90M,,,,,-5.90M,26.70M,,,,,,,,9.20M,,,0.80M,,9.20M,9.20M,31.00M,4.30M,26.70M,,0.0875,0.00,,,0.0875,0.0875,,0.0875,0.00,,,0.0875,0.0875,,52.77M,52.77M,0.2175,,,
1992-06,21.00M,21.00M,,,,,,,,-6.20M,,,,,-6.20M,27.20M,,,,,,,,9.00M,,,0.90M,,9.00M,9.00M,31.70M,4.50M,27.20M,,0.085,0.00,,,0.085,0.085,,0.085,0.00,,,0.085,0.085,,52.77M,52.77M,0.2138,,,
1992-03,20.30M,20.30M,,,,,,,,-6.10M,,,,,-6.10M,26.40M,,,,,,,,8.20M,,,0.70M,,8.20M,8.20M,30.90M,4.50M,26.40M,,0.0425,0.00,,,0.0425,0.0425,,0.0425,0.00,,,0.0425,0.0425,,52.72M,52.72M,0.21,,,
1991-12,18.60M,18.60M,,,,,,,,-6.00M,,,,,-11.20M,29.80M,,,,,,,,6.80M,,,0.80M,,6.80M,6.80M,34.30M,4.50M,29.80M,,0.1470,,,,0.1470,0.1470,,0.1470,,,,0.1470,0.1470,,46.25M,46.25M,0.2069,,,
1991-09,19.40M,19.40M,,,1.30M,1.30M,,,,-6.90M,,,,,-5.60M,25.00M,,,,,,,,6.50M,,,0.90M,,6.50M,6.50M,29.60M,4.60M,25.00M,,0.035,0.00,,,0.035,0.035,,0.035,0.00,,,0.035,0.035,,46.23M,46.23M,0.2038,,,
1991-06,21.00M,21.00M,,,1.90M,1.90M,,,,-8.00M,,,,,-6.10M,27.10M,,,,,,,,6.80M,,,0.90M,,6.80M,6.80M,32.00M,4.90M,27.10M,,0.0375,0.00,,,0.0375,0.0375,,0.0375,0.00,,,0.0375,0.0375,,46.21M,46.21M,0.2007,,,
1991-03,20.30M,20.30M,,,2.00M,2.00M,,,,-7.60M,,,,,-5.60M,25.90M,,,,,,,,6.40M,,,0.90M,,6.40M,6.40M,30.40M,4.50M,25.90M,,0.035,0.00,,,0.035,0.035,,0.035,0.00,,,0.035,0.035,,46.03M,46.03M,0.1975,,,
1990-12,18.90M,18.90M,,,2.30M,2.30M,,,,-7.70M,,,,,-5.40M,24.30M,,,,,,,,5.60M,,,1.00M,,5.60M,5.60M,28.70M,4.40M,24.30M,,0.1219,,,,0.1219,0.1219,,0.1219,,,,0.1219,0.1219,,45.93M,45.93M,0.1944,,,
1990-09,18.30M,18.30M,,,1.80M,1.80M,,,,-6.70M,,,,,-4.90M,23.20M,,,,,,,,6.30M,,,1.00M,,6.30M,6.30M,27.10M,3.90M,23.20M,,0.035,0.00,,,0.035,0.035,,0.035,0.00,,,0.035,0.035,,45.93M,45.93M,0.1913,,,
1990-06,17.60M,17.60M,,,2.00M,2.00M,,,,-6.50M,,,,,-4.50M,22.10M,,,,,,,,6.10M,,,0.90M,,6.10M,6.10M,25.60M,3.50M,22.10M,,0.0338,0.00,,,0.0338,0.0338,,0.0338,0.00,,,0.0338,0.0338,,45.93M,45.93M,0.1882,,,
1990-03,17.30M,17.30M,,,1.90M,1.90M,,,,-6.60M,,,,,-4.70M,22.00M,,,,,,,,5.20M,,,0.90M,,5.20M,5.20M,25.70M,3.70M,22.00M,,0.0312,0.00,,,0.0312,0.0312,,0.0312,0.00,,,0.0312,0.0312,,45.92M,45.92M,0.185,,,
1989-12,16.80M,16.80M,,,1.60M,1.60M,,,,-6.30M,,,,,-4.70M,21.50M,,,,,,,,4.30M,,,0.90M,,4.30M,4.30M,25.10M,3.60M,21.50M,,0.1168,,,,0.1168,0.1168,,0.1168,,,,0.1168,0.1168,,36.80M,36.80M,0.1819,,,
1989-09,15.80M,15.80M,,,1.60M,1.60M,,,,-7.50M,,,,,-5.90M,21.70M,,,,,,,,2.50M,,,0.80M,,2.50M,2.50M,26.80M,5.10M,21.70M,,0.0175,0.00,,,0.0175,0.0175,,0.0175,0.00,,,0.0175,0.0175,,36.80M,36.80M,0.1788,,,
1989-06,14.90M,14.90M,,,2.00M,2.00M,,,,-5.90M,,,,,-3.90M,18.80M,,,,,,,,3.60M,,,0.80M,,3.60M,3.60M,18.80M,,18.80M,,0.025,0.00,,,0.025,0.025,,0.025,0.00,,,0.025,0.025,,36.80M,36.80M,0.0488,,,
1989-03,11.20M,11.20M,,,,,,,,,,,,,,11.20M,,,,,,,,3.40M,,,,,3.40M,3.40M,11.20M,,11.20M,,0.0262,0.00,,,0.0262,0.0262,,0.0262,0.00,,,0.0262,0.0262,,32.67M,32.67M,0.2994,,,
1988-12,14.70M,14.70M,,,,,,,,,,,,,,36.50M,,,,,,,,3.40M,,,,,3.40M,3.40M,36.50M,,36.50M,,0.1041,,,,0.1041,0.1041,,0.1041,,,,0.1041,0.1041,,32.67M,32.67M,0.1694,,,
1988-09,13.00M,13.00M,,,,,,,,,,,,,,13.00M,,,,,,,,2.80M,,,,,2.80M,2.80M,13.00M,,13.00M,,0.0212,0.00,,,0.0212,0.0212,,0.0212,0.00,,,0.0212,0.0212,,32.66M,32.66M,0.1663,,,
1988-06,14.90M,14.90M,,,,,,,,,,,,,,14.90M,,,,,,,,4.10M,,,,,4.10M,4.10M,14.90M,,14.90M,,0.0312,0.00,,,0.0312,0.0312,,0.0312,0.00,,,0.0312,0.0312,,32.63M,32.63M,0.1632,,,
1988-03,10.60M,10.60M,,,,,,,,,,,,,,10.60M,,,,,,,,3.40M,,,,,3.40M,3.40M,10.60M,,10.60M,,0.0262,0.00,,,0.0262,0.0262,,0.0262,0.00,,,0.0262,0.0262,,32.63M,32.63M,0.16,,,
1987-12,10.50M,10.50M,,,,,,,,,,,,,,22.60M,,,,,,,,3.80M,,,,,3.80M,3.80M,22.60M,,22.60M,,0.1165,,,,0.1165,0.1165,,0.1165,,,,0.1165,0.1165,,32.63M,32.63M,0.1575,,,
1987-09,10.10M,10.10M,,,,,,,,,,,,,,10.10M,,,,,,,,3.60M,,,,,3.60M,3.60M,10.10M,,10.10M,,0.0275,0.00,,,0.0275,0.0275,,0.0275,0.00,,,0.0275,0.0275,,32.63M,32.63M,0.155,,,
1987-06,9.60M,9.60M,,,,,,,,,,,,,,9.60M,,,,,,,,3.40M,,,,,3.40M,3.40M,9.60M,,9.60M,,0.0262,0.00,,,0.0262,0.0262,,0.0262,0.00,,,0.0262,0.0262,,32.58M,32.58M,0.1525,,,
1987-03,9.50M,9.50M,,,,,,,,,,,,,,9.50M,,,,,,,,3.40M,,,,,3.40M,3.40M,9.50M,,9.50M,,0.0262,0.00,,,0.0262,0.0262,,0.0262,0.00,,,0.0262,0.0262,,32.58M,32.58M,0.15,,,
1986-12,9.40M,9.40M,,,,,,,,,,,,,,18.10M,,,,,,,,3.70M,,,,,3.70M,3.70M,18.10M,,18.10M,,0.1136,,,,0.1136,0.1136,,0.1136,,,,0.1136,0.1136,,32.58M,32.58M,0.1475,,,
1986-09,7.50M,7.50M,,,,,,,,,,,,,,7.50M,,,,,,,,3.80M,,,,,3.80M,3.80M,7.50M,,7.50M,,0.0288,0.00,,,0.0288,0.0288,,0.0288,0.00,,,0.0288,0.0288,,32.54M,32.54M,0.145,,,
1986-06,6.40M,6.40M,,,,,,,,,,,,,,6.40M,,,,,,,,3.40M,,,,,3.40M,3.40M,6.40M,,6.40M,,0.0275,0.00,,,0.0275,0.0275,,0.0275,0.00,,,0.0275,0.0275,,31.40M,31.40M,0.1425,,,
1986-03,5.50M,5.50M,,,,,,,,,,,,,,5.50M,,,,,,,,2.00M,,,,,2.00M,2.00M,5.50M,,5.50M,,0.0262,0.00,,,0.0262,0.0262,,0.0262,0.00,,,0.0262,0.0262,,19.40M,19.40M,0.14,,,
1985-12,3.40M,3.40M,,,,,,,,,,,,,,6.20M,,,,,,,,2.20M,,,,,2.20M,2.20M,6.20M,,6.20M,,0.1134,,,,0.1134,0.1134,,0.1134,,,,0.1134,0.1134,,19.40M,19.40M,0.1375,,,
1985-09,5.50M,5.50M,,,,,,,,,,,,,,5.50M,,,,,,,,2.10M,,,,,2.10M,2.10M,5.50M,,5.50M,,0.0288,0.00,,,0.0288,0.0288,,0.0288,0.00,,,0.0288,0.0288,,19.40M,19.40M,0.045,,,
1985-06,1.10M,1.10M,,,,,,,,,,,,,,1.10M,,,,,,,,0.70M,,,,,0.70M,0.70M,1.10M,,1.10M,,0.0088,0.00,,,0.0088,0.0088,,0.0088,0.00,,,0.0088,0.0088,,16.85M,16.85M,,,,
