,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-03,2.719B,2.822B,1.635B,1.187B,,517.40M,517.40M,,-5.898M,167.91M,,-167.91M,66.92M,853.14M,333.89M,,167.91M,-167.91M,14.94M,-167.91M,180.92M,-85.38M,266.30M,,,-42.86M,223.44M,227.75M,617.65M,268.82M,348.83M,0.39,,,,0.3976,0.39,0.38,,,,0.3875,0.38,564.83M,571.97M,0.12
2017-12,2.497B,2.598B,1.542B,1.056B,,530.20M,530.20M,,-27.63M,157.34M,,-157.34M,52.97M,832.52M,223.02M,,157.34M,-157.34M,-24.59M,-157.34M,41.09M,-1.378B,1.419B,,,-31.58M,1.387B,1.404B,447.79M,249.36M,198.43M,2.45,,,,2.479,2.45,2.42,,,,2.449,2.42,566.23M,572.36M,0.11
2017-09,2.728B,2.830B,1.598B,1.232B,,490.53M,490.53M,,-7.711M,163.29M,,-163.29M,29.35M,769.48M,462.62M,,163.29M,-163.29M,-8.884M,-163.29M,290.45M,114.71M,175.74M,,,-27.38M,148.36M,153.03M,703.34M,249.60M,453.74M,0.26,,,,0.2681,0.26,0.26,,,,0.268,0.26,573.53M,580.68M,0.11
2017-06,2.553B,2.652B,1.521B,1.132B,,433.80M,433.80M,,27.39M,174.06M,,-174.06M,21.09M,699.64M,431.87M,,174.06M,-174.06M,56.72M,-174.06M,314.53M,73.66M,240.87M,,,-31.01M,209.86M,188.91M,733.34M,244.75M,488.59M,0.36,,,,0.3236,0.36,0.36,,,,0.324,0.36,574.93M,582.06M,0.11
2017-03,2.617B,2.718B,1.532B,1.185B,,461.92M,461.92M,,-1.696M,174.06M,,-174.06M,15.07M,726.76M,458.44M,,174.06M,-174.06M,30.33M,-174.06M,314.71M,62.14M,252.57M,,,-46.16M,206.41M,207.77M,738.54M,249.77M,488.77M,0.36,,,,0.3624,0.36,0.36,,,,0.3623,0.36,574.40M,580.16M,0.11
2016-12,2.223B,2.484B,1.481B,1.003B,,448.51M,448.51M,,-12.02M,161.70M,,-161.70M,61.63M,743.19M,259.76M,,161.70M,-161.70M,7.785M,-161.70M,105.84M,36.95M,68.89M,,,-45.25M,23.64M,31.46M,500.59M,233.05M,267.54M,0.04,,,,0.0536,0.04,0.04,,,,0.0535,0.04,573.88M,579.22M,0.0
2016-09,2.480B,2.515B,1.426B,1.090B,,459.73M,459.73M,,291.71M,168.05M,,-168.05M,31.66M,701.13M,388.47M,,168.05M,-168.05M,295.85M,-168.05M,516.26M,-45.00M,561.26M,,,-25.64M,535.62M,269.29M,894.05M,209.74M,684.31M,0.94,,,,0.4712,0.94,0.93,,,,0.4659,0.93,568.12M,573.81M,0.0
2016-06,2.213B,2.270B,1.313B,956.53M,,403.21M,403.21M,,-0.854M,180.35M,,-180.35M,24.82M,634.93M,321.60M,,180.35M,-180.35M,381.73M,-180.35M,522.98M,8.48M,514.50M,,,-40.14M,474.35M,475.19M,910.23M,206.90M,703.33M,0.84,,,,0.8415,0.84,0.83,,,,0.8315,0.83,565.46M,570.76M,0.0
2016-03,2.165B,2.210B,1.302B,907.97M,,379.79M,379.79M,,-5.131M,184.67M,,-184.67M,21.96M,601.59M,306.38M,,184.67M,-184.67M,-9.206M,-184.67M,112.51M,21.31M,91.20M,,,-24.40M,66.80M,70.96M,497.02M,199.84M,297.18M,0.12,,,,0.1274,0.12,0.12,,,,0.1273,0.12,565.06M,569.46M,0.0
2015-12,2.164B,2.192B,1.320B,872.31M,,397.30M,397.30M,,-1.491B,186.29M,,-186.29M,21.06M,618.52M,253.79M,,186.29M,-186.29M,-1.471B,-186.29M,-1.404B,69.98M,-1.473B,,,692.04M,-781.45M,113.31M,-1.017B,200.16M,-1.217B,-1.38,,,,0.2047,-1.38,-1.38,,,,0.2047,-1.38,564.64M,564.64M,0.0
2015-09,2.239B,2.281B,1.398B,882.92M,,414.51M,414.51M,,-7.123M,191.78M,,-191.78M,16.51M,635.77M,247.15M,,191.78M,-191.78M,22.87M,-191.78M,78.24M,-16.49M,94.74M,,,-28.31M,66.42M,72.05M,474.76M,204.74M,270.02M,0.12,,,,0.13,0.12,0.12,,,,0.1299,0.12,563.29M,569.32M,0.0
2015-06,2.340B,2.385B,1.456B,929.34M,,393.31M,393.31M,,-3.953M,203.24M,,-203.24M,17.89M,619.76M,309.57M,,203.24M,-203.24M,16.37M,-203.24M,122.70M,-3.772M,126.47M,,,-29.01M,97.46M,101.29M,534.50M,208.56M,325.94M,0.18,,,,0.1869,0.18,0.17,,,,0.1767,0.17,551.36M,570.11M,0.0
2015-03,2.293B,2.332B,1.452B,880.12M,,378.53M,378.53M,,-1.589M,216.26M,,-216.26M,15.87M,600.81M,279.31M,,216.26M,-216.26M,93.29M,-216.26M,156.34M,-56.30M,212.65M,,,-42.80M,169.85M,170.87M,579.02M,206.41M,372.60M,0.35,,,,0.3521,0.35,0.33,,,,0.3318,0.33,491.42M,575.31M,0.0
2014-12,2.372B,2.386B,1.507B,878.99M,,393.99M,393.99M,0.00,-0.48M,200.90M,,-200.90M,13.63M,610.27M,268.72M,,200.90M,-200.90M,-27.18M,-200.90M,40.64M,328.11M,-287.47M,,,-54.79M,-342.26M,-341.95M,444.19M,202.65M,241.54M,-0.7,,,,-0.6994,-0.7,-0.7,,,,-0.6994,-0.7,491.26M,491.26M,0.0
2014-09,2.447B,2.485B,1.593B,891.95M,,409.05M,409.05M,0.00,-6.794M,202.84M,,-202.84M,10.23M,621.67M,270.28M,,202.84M,-202.84M,-6.855M,-202.84M,60.59M,10.21M,50.38M,,,-70.65M,-20.27M,-14.62M,465.81M,202.39M,263.42M,-0.04,,,,-0.0285,-0.04,-0.04,,,,-0.0285,-0.04,490.91M,490.91M,0.0
2014-06,2.541B,2.581B,1.619B,962.04M,,381.92M,381.92M,28.79M,-33.17M,203.94M,,-203.94M,9.759M,594.75M,367.29M,,203.94M,-203.94M,-37.13M,-203.94M,126.22M,-51.94M,178.17M,,,-68.16M,110.01M,131.57M,533.23M,203.07M,330.16M,0.22,,,,0.2639,0.22,0.22,,,,0.262,0.22,490.79M,513.37M,0.0
2014-03,2.598B,2.630B,1.650B,980.30M,,372.60M,372.60M,,-0.558M,209.39M,,-209.39M,5.636M,585.89M,394.42M,,209.39M,-209.39M,-1.592M,-209.39M,183.44M,-2.664M,186.10M,,,-83.45M,102.65M,103.01M,600.48M,207.66M,392.82M,0.21,,,,0.2107,0.21,0.2,,,,0.2007,0.2,490.54M,513.14M,0.0
2013-12,2.501B,2.513B,1.605B,908.04M,,380.94M,380.94M,0.00,-2.012M,208.46M,,-208.46M,3.383M,591.80M,316.24M,,208.46M,-208.46M,-81.48M,-208.46M,26.29M,3.883M,22.41M,,,-79.21M,-56.80M,-55.09M,442.22M,207.47M,234.75M,-0.08,,,,-0.0765,-0.08,-0.08,,,,-0.0765,-0.08,490.19M,490.19M,0.0
2013-09,2.438B,2.463B,1.580B,882.96M,,397.04M,397.04M,0.00,-26.13M,208.94M,,-208.94M,4.279M,613.00M,269.96M,,208.94M,-208.94M,-42.28M,-208.94M,18.74M,-14.43M,33.17M,,,-55.48M,-22.31M,-5.330M,439.36M,211.68M,227.68M,-0.05,,,,-0.0153,-0.05,-0.05,,,,-0.0153,-0.05,489.67M,489.67M,0.0
2013-06,2.449B,2.481B,1.580B,901.40M,,366.69M,366.69M,36.61M,-88.13M,214.50M,,-214.50M,3.506M,588.34M,313.05M,,214.50M,-214.50M,-125.26M,-214.50M,-26.71M,3.865M,-30.58M,,,-62.38M,-92.96M,-35.67M,405.94M,218.15M,187.79M,-0.19,,,,-0.073,-0.19,-0.19,,,,-0.073,-0.19,489.48M,489.48M,0.0
2013-03,2.321B,2.352B,1.494B,858.55M,,350.52M,350.52M,,-8.491M,225.45M,,-225.45M,2.146M,564.59M,293.96M,,225.45M,-225.45M,-15.51M,-225.45M,53.01M,30.43M,22.58M,,,-16.03M,6.546M,12.07M,490.37M,211.92M,278.46M,0.01,,,,0.0213,0.01,0.01,,,,0.0212,0.01,489.29M,492.30M,0.0
2012-12,2.287B,2.295B,1.484B,810.43M,,395.12M,395.12M,53.76M,-599.62M,279.92M,,-279.92M,1.362M,623.31M,187.12M,,279.92M,-279.92M,-1.186B,-279.92M,-1.279B,-90.54M,-1.188B,,,-35.33M,-1.224B,-666.65M,-772.28M,226.83M,-999.12M,-2.5,,,,-1.361,-2.5,-2.5,,,,-1.361,-2.5,489.21M,489.21M,0.0
2012-09,2.223B,2.255B,1.463B,792.42M,,382.10M,382.10M,0.00,-5.803M,275.77M,,-275.77M,0.765M,611.28M,181.15M,,275.77M,-275.77M,-62.64M,-275.77M,-157.26M,-2.585M,-154.67M,,,-26.48M,-181.16M,-175.45M,346.93M,228.41M,118.51M,-0.37,,,,-0.3583,-0.37,-0.37,,,,-0.3583,-0.37,488.94M,488.94M,0.0
2012-06,2.283B,2.324B,1.476B,847.52M,,352.02M,352.02M,85.01M,-90.47M,276.32M,,-276.32M,,587.66M,259.86M,,276.32M,-276.32M,-105.27M,-276.32M,-121.74M,-51.30M,-70.43M,,,-75.02M,-145.45M,-86.65M,390.23M,235.64M,154.58M,-0.3,,,,-0.1798,-0.3,-0.3,,,,-0.1798,-0.3,489.39M,489.39M,0.0
2012-03,2.269B,2.288B,1.498B,789.19M,,345.55M,345.55M,,-0.917M,284.34M,,-284.34M,,582.36M,206.83M,,284.34M,-284.34M,-98.67M,-284.34M,-176.18M,27.13M,-203.31M,,,-13.95M,-217.25M,-216.66M,344.97M,236.81M,108.16M,-0.44,,,,-0.4388,-0.44,-0.44,,,,-0.4388,-0.44,488.86M,488.86M,0.0
2011-12,1.645B,2.297B,1.505B,791.71M,,,279.75M,,3.429B,274.15M,,-274.15M,3.496B,4.013B,-3.221B,,274.15M,-274.15M,3.285B,-274.15M,-210.18M,-190.88M,-19.30M,,,-94.39M,-113.69M,-2.343B,301.74M,237.76M,63.98M,-0.24,,,,-4.8,-0.24,-0.24,,,,-4.164,-0.24,488.82M,567.95M,0.0
2011-09,2.420B,2.234B,1.443B,790.96M,,,429.41M,,-26.29M,272.54M,,-272.54M,,678.93M,112.04M,,272.54M,-272.54M,-25.75M,-272.54M,-186.26M,-79.68M,-106.58M,,,-17.21M,-123.79M,-106.70M,335.81M,249.52M,86.29M,-0.25,0.0,,,-0.215,-0.25,-0.25,0.0,,,-0.215,-0.25,488.64M,488.64M,0.0
2011-06,1.969B,1.806B,1.131B,675.38M,,,342.18M,,3.496B,270.22M,,-270.22M,,519.65M,155.73M,,270.22M,-270.22M,3.487B,-270.22M,3.373B,-78.17M,3.451B,,,-8.706M,3.442B,1.170B,3.820B,177.47M,3.643B,7.04,0.0,,,2.3890000000000002,7.04,6.22,0.0,,,2.125,6.22,488.61M,554.89M,0.0
2011-03,1.513B,1.513B,947.95M,564.90M,,,306.14M,,,269.91M,,-269.91M,,458.54M,106.36M,,269.91M,-269.91M,19.10M,-269.91M,-144.45M,-54.58M,-89.87M,,,0.00,-89.87M,-89.87M,277.86M,152.40M,125.46M,-0.18,0.0,,,-0.18,-0.18,-0.18,0.0,,,-0.18,-0.18,488.54M,488.54M,0.0
2010-12,1.289B,1.475B,936.11M,539.20M,,,-1.143B,,-1.527B,273.10M,,-273.10M,,-992.21M,1.531B,,273.10M,-273.10M,-1.549B,-273.10M,-185.03M,-45.84M,-139.19M,,,0.00,-139.19M,1.010B,234.73M,146.67M,88.06M,-0.25,,,,2.154,-0.25,-0.25,,,,2.154,-0.25,477.93M,477.93M,0.0
2010-09,1.567B,1.567B,965.68M,601.44M,,,649.88M,,-19.89M,285.14M,,-285.14M,,808.74M,-207.30M,,285.14M,-285.14M,-19.89M,-285.14M,-510.93M,-192.94M,-317.99M,,,0.00,-317.99M,-305.61M,-66.93M,158.86M,-225.79M,-0.72,0.0,,,-0.692,-0.72,-0.72,0.0,,,-0.692,-0.72,441.33M,441.33M,0.0
2010-06,1.547B,1.547B,964.01M,583.32M,,,1.441B,,-22.98M,291.17M,,-291.17M,,1.606B,-1.023B,,291.17M,-291.17M,-22.98M,-291.17M,-1.363B,-479.50M,-883.48M,,,0.00,-883.48M,-868.58M,-907.04M,164.77M,-1.072B,-2.0,0.0,,,-1.966,-2.0,-2.0,0.0,,,-1.966,-2.0,441.30M,441.30M,0.0
2010-03,1.615B,1.457B,919.65M,537.74M,,,305.12M,,,264.18M,,-264.18M,,468.25M,69.50M,,264.18M,-264.18M,37.59M,-264.18M,-157.09M,-60.35M,-96.74M,,,,-96.74M,-96.74M,270.22M,163.13M,107.08M,-0.22,0.0,,,-0.22,-0.22,-0.22,0.0,,,-0.22,-0.22,441.24M,441.24M,0.0
2009-12,2.118B,1.452B,902.75M,549.67M,,,1.673B,,-0.535M,220.61M,,-232.14M,,1.061B,-511.60M,,220.61M,-232.14M,-88.76M,-232.14M,-719.33M,-285.42M,-433.92M,,,,-433.92M,-433.60M,-331.33M,167.40M,-498.72M,-1.01,0.0,,,-1.0090000000000001,-1.01,-1.01,0.0,,,-1.0090000000000001,-1.01,442.01M,442.01M,0.0
2009-09,1.533B,1.533B,889.14M,644.08M,,,332.75M,,-13.79M,181.90M,0.857M,-181.04M,971.21M,1.475B,-830.53M,0.857M,181.90M,-181.04M,-13.79M,-181.04M,-1.158B,-407.86M,-750.39M,,,,-750.39M,-741.46M,-805.70M,170.65M,-976.35M,-1.7,0.0,,,-1.68,-1.7,-1.7,0.0,,,-1.68,-1.7,441.21M,441.21M,0.0
2009-06,1.494B,1.494B,863.58M,630.57M,,,326.03M,,-246.50M,201.29M,6.296M,-194.99M,3.248M,503.65M,126.92M,6.296M,201.29M,-194.99M,-246.50M,-194.99M,-310.39M,-97.81M,-212.58M,,,,-212.58M,-43.76M,65.27M,174.37M,-109.10M,-0.6,0.0,,,-0.121,-0.6,-0.6,0.0,,,-0.121,-0.6,352.46M,352.46M,0.0
2009-03,1.662B,1.499B,883.84M,614.96M,,,98.55M,,,171.64M,4.382M,-167.25M,,275.40M,339.55M,4.382M,171.64M,-167.25M,3.08M,-167.25M,175.38M,70.18M,105.20M,,,,105.20M,105.20M,523.87M,176.86M,347.01M,0.38,0.0,,,0.38,0.38,0.38,0.0,,,0.38,0.38,276.56M,276.77M,0.0
2008-12,1.794B,1.625B,976.17M,648.34M,,,1.550B,,105.21M,169.44M,,-182.50M,,1.736B,-1.088B,,169.44M,-182.50M,137.70M,-182.50M,-1.133B,15.12M,-1.148B,,,,-1.148B,-1.216B,-776.87M,186.58M,-963.45M,-4.1,0.0,,,-4.3469999999999995,-4.1,-4.1,0.0,,,-4.3469999999999995,-4.1,276.48M,276.48M,0.0
2008-09,1.953B,1.786B,993.32M,792.22M,,,356.80M,,-32.33M,144.75M,5.91M,-138.84M,,556.90M,235.31M,5.91M,144.75M,-138.84M,-1.181M,-138.84M,95.29M,34.01M,61.28M,,,,61.28M,82.07M,440.14M,199.08M,240.04M,0.22,0.0,,,0.2952,0.22,0.22,0.0,,,0.2943,0.22,276.42M,279.85M,0.0
2008-06,1.896B,1.896B,1.024B,871.23M,,,357.39M,,-8.734M,,,,-17.16M,537.44M,333.78M,,,,8.311M,,183.31M,70.21M,113.10M,,,,113.10M,118.49M,532.02M,198.24M,333.78M,0.41,0.0,,,0.4294,0.41,0.4,0.0,,,0.4189,0.4,277.47M,284.62M,0.0
2008-03,2.058B,1.884B,1.021B,862.61M,,,357.99M,,-12.77M,149.79M,3.466M,-146.32M,,552.33M,310.28M,3.466M,149.79M,-146.32M,21.34M,-146.32M,185.30M,66.96M,118.35M,,,,118.35M,126.50M,529.43M,194.34M,335.09M,0.41,0.0,,,0.4382,0.41,0.4,0.0,,,0.4273,0.4,288.94M,298.40M,0.0
2007-12,1.929B,1.929B,1.056B,872.54M,,,357.67M,,1.143B,,,,-1.164B,-612.67M,1.485B,,,,1.169B,,1.333B,462.58M,870.77M,1.437M,,,872.21M,124.12M,1.686B,201.19M,1.485B,3.02,-0.01,,,0.4974,3.01,2.91,-0.01,,,0.4745,2.9,295.99M,306.57M,0.0
2007-09,1.897B,1.897B,1.030B,867.26M,,,375.35M,,88.07M,,,,-143.48M,402.64M,464.61M,,,,137.73M,,283.60M,99.74M,183.86M,,,,183.86M,126.76M,635.39M,163.96M,464.61M,0.65,0.0,,,0.4481,0.65,0.62,0.0,,,0.4275,0.62,282.87M,296.55M,0.0
2007-06,1.936B,1.936B,1.034B,902.30M,,,362.41M,,-0.804M,,,,-96.59M,433.33M,468.97M,,,,91.07M,,285.54M,102.64M,182.90M,177.27M,,,360.17M,183.41M,641.90M,172.93M,468.97M,0.64,0.63,,,0.6418,1.27,0.62,0.6,,,0.6217,1.22,283.85M,295.23M,0.0
2007-03,1.929B,1.929B,1.019B,910.39M,,,338.36M,,-2.728M,,,,-41.38M,465.26M,445.13M,,,,33.54M,,255.94M,92.94M,163.01M,5.163M,,,168.17M,164.75M,613.41M,166.54M,445.13M,0.57,0.02,,,0.5761,0.59,0.55,0.02,,,0.5559,0.57,285.04M,295.04M,0.0
2006-12,1.846B,1.846B,996.94M,849.10M,,,304.76M,,282.41M,,,,-131.85M,341.03M,508.08M,,,,119.14M,,310.76M,111.64M,199.13M,2.443M,,,201.57M,18.17M,676.68M,168.61M,508.08M,0.71,0.0,,,0.0732,0.71,0.68,0.0,,,0.0606,0.69,284.19M,292.17M,0.0
2006-09,1.795B,1.795B,965.40M,829.64M,,,319.82M,,-1.941M,,,,-65.86M,410.24M,419.40M,,,,59.57M,,226.39M,72.63M,153.76M,2.497M,,,156.26M,155.08M,582.49M,163.10M,419.40M,0.55,0.0,,,0.5546,0.55,0.53,0.0,,,0.5346,0.54,284.11M,289.37M,0.0
2006-06,1.761B,1.761B,919.14M,841.36M,,,310.31M,,-15.09M,,,,-44.39M,423.71M,417.65M,,,,38.65M,,224.16M,80.82M,143.34M,3.053M,,,146.39M,152.99M,582.26M,164.61M,417.65M,0.5,0.01,,,0.5336,0.51,0.49,0.01,,,0.523,0.5,287.05M,292.79M,0.0
2006-03,1.774B,1.774B,931.90M,842.46M,,,316.43M,,-3.848M,,,,-35.55M,428.31M,414.16M,,,,28.11M,,216.61M,76.85M,139.76M,4.275M,,,144.04M,142.24M,568.66M,154.51M,414.16M,0.49,0.02,,,0.4988,0.51,0.48,0.01,,,0.4884,0.49,282.43M,293.95M,0.0
2005-12,1.401B,1.401B,736.94M,663.57M,,,273.28M,,74.25M,,,,-65.57M,344.61M,318.96M,,,,58.42M,,134.89M,44.98M,89.91M,,,,89.91M,40.42M,482.15M,163.19M,318.96M,0.32,0.03,,,0.1295,0.35,0.31,0.03,,,0.125,0.34,259.82M,267.55M,0.0
2005-09,1.808B,1.808B,1.006B,802.19M,,,326.99M,,23.91M,,,,-26.37M,462.18M,340.01M,,,,23.91M,,147.56M,54.34M,93.21M,,,,93.21M,78.11M,501.58M,160.40M,340.01M,0.33,0.0,,,0.2765,0.33,0.31,0.0,,,0.2598,0.31,282.45M,300.68M,0.0
2005-06,1.864B,1.864B,930.19M,934.28M,148.51M,285.26M,433.78M,,-3.57M,,,,-29.09M,556.36M,377.92M,,,,22.91M,,209.72M,68.55M,141.17M,,,,141.17M,143.57M,530.81M,152.88M,377.92M,0.49,0.0,,,0.4983,0.49,0.48,0.0,,,0.4882,0.48,288.10M,294.10M,0.0
2005-03,1.204B,1.204B,643.69M,560.44M,2.524M,185.16M,187.68M,,-22.62M,,,,-30.84M,267.33M,293.11M,,,,12.43M,,174.93M,63.85M,111.08M,,,,111.08M,125.44M,410.53M,117.42M,293.11M,0.39,0.0,,,0.4404,0.39,0.38,0.0,,,0.4291,0.38,284.82M,292.31M,0.0
2004-12,826.45M,826.45M,431.15M,395.30M,,,148.56M,,54.64M,,,,-34.47M,200.58M,194.72M,,,,42.34M,,114.92M,44.68M,70.24M,4.647M,,,74.89M,36.85M,332.20M,137.48M,194.72M,0.25,0.02,,,0.1298,0.27,0.24,0.02,,,0.1241,0.26,277.77M,288.13M,0.0
2004-09,1.036B,1.036B,570.97M,465.42M,,,171.71M,,23.04M,,,,-31.48M,241.48M,223.94M,,,,23.04M,,121.66M,45.50M,76.17M,50.71M,,,126.88M,61.75M,325.19M,101.24M,223.94M,0.28,0.18,,,0.2277,0.46,0.27,0.18,,,0.2189,0.45,275.83M,281.96M,0.0
2004-06,1.073B,1.073B,569.57M,502.96M,,,170.52M,,16.38M,,,,-29.54M,238.46M,264.50M,,,,16.38M,,159.83M,58.16M,101.66M,3.054M,,,104.72M,91.24M,361.98M,89.57M,264.50M,0.36,0.01,,,0.3232,0.37,0.35,0.01,,,0.3142,0.36,283.02M,290.88M,0.0
2004-03,1.066B,1.066B,566.96M,499.48M,,,171.02M,,10.40M,,,,-24.17M,244.40M,255.08M,,,,10.40M,,152.40M,55.26M,97.14M,8.708M,,,105.85M,90.51M,361.04M,105.96M,255.08M,0.34,0.03,,,0.3168,0.37,0.33,0.03,,,0.3075,0.36,286.08M,294.02M,0.0
2003-12,959.91M,959.91M,540.32M,419.60M,,,145.52M,,25.91M,,,,-35.20M,208.04M,211.55M,,,,25.91M,,113.72M,28.05M,85.67M,6.069M,,,91.74M,66.14M,319.16M,107.61M,211.55M,0.28,0.035,,,0.2117,0.315,0.275,0.03,,,0.2094,0.305,286.02M,297.50M,0.0
2003-09,976.84M,976.84M,548.60M,428.25M,,,182.24M,,4.316M,,,,-18.02M,265.67M,162.58M,,,,4.316M,,64.45M,23.08M,41.38M,5.834M,,,47.21M,38.60M,274.17M,111.60M,162.58M,0.14,0.02,,,0.1306,0.16,0.135,0.02,,,0.1259,0.155,295.06M,304.57M,0.0
