,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2016-06,514.50M,0.854M,,-431.62M,-381.30M,,,206.90M,206.90M,-45.20M,,,12.88M,9.122M,14.64M,-0.218M,40.51M,21.42M,,,-2.184M,74.17M,,389.05M,-543.07M,1.432M,1.432M,0.00,,-2.37M,-2.202M,1.399B,-1.960B,-560.50M,1.208B,,1.208B,0.00,0.00,,-195.32M,451.68M,1.665B,838.53M,-0.18M,2.503B,1.208B,2.895B,-1.496B,,50.81M,153.08M
2016-03,91.20M,5.131M,,5.792M,11.58M,,,199.84M,199.84M,7.653M,,,12.05M,1.215M,22.75M,6.602M,-53.28M,-93.70M,,,6.779M,-110.86M,,224.60M,-427.50M,0.227M,0.227M,-1.555M,,-2.826M,-430.02M,-2.661M,243.00M,240.34M,,,,0.00,0.00,,-39.38M,200.96M,1.670B,-4.466M,-0.941M,1.665B,,,-2.661M,,4.601M,195.03M
2015-12,-1.473B,23.29M,,-22.47M,0.813M,,,200.16M,200.16M,102.61M,,,12.25M,-25.87M,-17.47M,-3.704M,16.63M,-31.07M,,,-7.402M,-43.01M,,267.30M,-466.24M,7.689M,7.689M,90.67M,0.00,-23.88M,-393.00M,-1.702B,1.695B,-7.00M,0.00,0.00,0.00,,,,-12.87M,-19.87M,1.808B,-145.57M,-0.052M,1.670B,0.00,0.00,-1.702B,0.00,-19.64M,152.29M
2015-09,94.74M,7.123M,,-33.41M,-26.29M,,,204.74M,204.74M,-25.54M,,,9.688M,15.22M,-15.13M,3.952M,-31.50M,48.29M,,,-2.382M,3.225M,,290.51M,-406.54M,0.084M,0.084M,-17.84M,200.20M,-1.795M,-225.17M,-879.38M,328.91M,-550.47M,0.00,0.00,0.00,,,,-41.40M,-591.87M,2.342B,-526.53M,0.131M,1.808B,0.00,1.702B,-2.581B,0.00,9.477M,225.46M
2015-06,126.47M,3.953M,,-24.36M,-18.49M,,,208.56M,208.56M,-12.04M,,,10.26M,15.62M,-23.77M,-3.628M,29.09M,-78.86M,,,-3.041M,-80.21M,,271.62M,-301.71M,0.095M,0.095M,-16.60M,-200.20M,23.72M,-293.68M,-4.879M,272.12M,267.24M,0.00,,0.00,,,,-102.60M,164.64M,2.196B,142.58M,0.01M,2.342B,0.00,1.706B,-1.711B,,17.22M,185.36M
2015-03,212.65M,1.589M,,-97.70M,-96.11M,,,206.41M,206.41M,-68.65M,,,10.68M,15.18M,-6.35M,0.731M,-50.34M,-77.43M,,,6.879M,-126.51M,,175.65M,-292.33M,0.164M,0.164M,-160.08M,570.00M,-2.07M,116.80M,1.711B,-1.319B,392.00M,,,,,,,-202.78M,189.22M,1.714B,481.67M,0.704M,2.196B,,1.711B,0.00,,4.747M,213.43M
2014-12,-287.47M,0.48M,,21.68M,22.16M,,,202.65M,202.65M,325.45M,,,10.71M,-5.292M,-54.11M,-5.341M,16.78M,-119.24M,,,-17.07M,-178.97M,,107.86M,-339.58M,7.114M,7.114M,-32.59M,-570.00M,2.832M,-933.10M,-468.62M,1.712B,1.244B,,,,,,,-16.59M,1.227B,1.313B,401.92M,0.688M,1.714B,,1.251B,-1.719B,,2.01M,181.00M
2014-09,50.38M,6.794M,,-0.176M,6.618M,,,202.39M,202.39M,7.981M,,,9.951M,19.89M,31.64M,3.117M,-3.251M,-91.21M,,,-30.42M,-90.12M,,219.19M,-247.21M,0.125M,0.125M,-16.70M,69.07M,5.614M,-188.89M,-4.375M,-2.625M,-7.00M,,,,,,,-72.56M,-79.56M,1.365B,-49.26M,-1.101M,1.313B,,1.719B,-1.724B,,31.75M,203.80M
2014-06,178.17M,33.17M,,3.752M,36.92M,,,203.07M,203.07M,5.18M,,,8.405M,9.244M,4.222M,-0.958M,28.87M,9.42M,,,12.27M,53.82M,,512.83M,-177.50M,0.277M,0.277M,-21.58M,9.102M,1.309M,-188.09M,-4.375M,-2.625M,-7.00M,,,,,,,-67.83M,-74.83M,1.115B,249.91M,0.495M,1.365B,,1.724B,-1.728B,,4.644M,191.75M
2014-03,186.10M,0.558M,,-0.381M,0.177M,,,207.66M,207.66M,-6.782M,,,8.195M,14.63M,-14.19M,6.349M,-42.68M,-87.93M,,,5.736M,-132.72M,,290.80M,-192.75M,0.135M,0.135M,-32.18M,8.999M,1.226M,-214.07M,1.219B,-1.735B,-515.90M,,,,,,,-248.79M,-764.69M,1.804B,-687.96M,-0.971M,1.115B,,1.728B,-508.90M,,3.864M,200.23M
2013-12,22.41M,2.012M,,77.45M,79.46M,,,207.47M,207.47M,0.381M,,,8.398M,5.743M,-75.17M,-9.574M,32.80M,-73.52M,,,14.12M,-111.36M,,214.69M,-204.15M,17.48M,17.48M,-5.10M,3.098M,-0.226M,-188.78M,500.00M,-87.00M,413.00M,,,,,,,-10.83M,402.17M,1.375B,428.08M,0.186M,1.804B,,500.00M,0.00,,0.029M,194.64M
2013-09,26.97M,26.13M,,24.62M,50.75M,,,211.68M,211.68M,-21.05M,,,7.379M,19.51M,29.03M,2.782M,-52.15M,91.92M,,,-6.067M,65.52M,,365.70M,-136.70M,0.223M,0.223M,-9.453M,15.01M,-0.226M,-131.14M,-150.03M,73.00M,-77.03M,,,,,,,-60.86M,-137.88M,1.279B,96.67M,0.058M,1.375B,,0.00,-150.03M,,-0.576M,209.49M
2013-06,-30.58M,88.13M,,32.18M,124.08M,,,218.15M,218.15M,6.018M,,,7.932M,2.605M,32.23M,3.947M,-3.054M,161.89M,,,5.42M,200.43M,,535.41M,-145.46M,0.088M,0.088M,-8.00M,14.96M,1.919M,-136.60M,-3.255B,2.676B,-579.23M,,,,,,,-22.24M,-601.48M,1.481B,-202.67M,0.703M,1.279B,,0.00,-3.255B,,-2.354M,217.53M
2013-03,22.58M,8.491M,,6.111M,14.63M,,,211.92M,211.92M,63.12M,,,8.623M,-12.83M,-45.93M,2.509M,-24.30M,-63.66M,,,,-131.38M,,194.66M,-97.42M,0.235M,0.235M,-6.40M,-0.026M,-0.113M,-103.62M,2.793B,-2.69B,103.00M,,,,,,,-255.52M,-152.52M,1.544B,-61.48M,-1.39M,1.481B,,2.793B,0.00,,3.736M,218.61M
2012-12,-1.188B,599.62M,,34.31M,1.138B,,,226.83M,226.83M,-117.20M,,,9.428M,47.66M,-31.27M,0.202M,-38.62M,-93.13M,,,52.06M,-110.75M,,22.09M,-106.01M,0.19M,0.19M,-17.30M,-0.019M,-0.251M,-123.01M,-2.674B,1.985B,-689.28M,,,,,,,-109.98M,-799.26M,2.443B,-900.18M,0.528M,1.544B,,1.70B,-4.374B,,0.443M,305.56M
2012-09,-154.67M,5.803M,,58.97M,64.77M,,,228.41M,228.41M,43.68M,,,9.336M,14.40M,50.92M,5.549M,-27.19M,170.49M,,,-50.80M,148.97M,,375.01M,-100.53M,0.14M,0.14M,-12.00M,14.98M,-0.314M,-98.45M,915.35M,-463.83M,451.52M,,,,,,,-17.11M,434.41M,1.732B,710.96M,0.274M,2.443B,,1.45B,-534.65M,,0.293M,260.77M
2012-06,-70.43M,90.47M,,14.85M,105.32M,,,235.64M,235.64M,-1.821M,,,10.19M,7.065M,-13.15M,-2.629M,39.25M,-44.33M,,,-61.89M,-82.75M,,220.56M,-102.47M,0.076M,0.076M,-12.40M,-0.003M,-0.496M,-115.01M,-450.00M,450.00M,0.00,,,,,,,-9.192M,-9.192M,1.635B,96.36M,0.671M,1.732B,,0.00,-450.00M,,4.416M,261.49M
2012-03,-203.31M,0.917M,,40.18M,99.83M,,,236.81M,236.81M,-41.86M,,,10.60M,17.59M,-5.243M,2.061M,-34.42M,130.23M,,,54.66M,147.29M,,291.69M,-113.76M,0.02M,0.02M,-12.60M,15.01M,-0.411M,-109.94M,15.87M,-192.10M,-176.23M,,,,,,,-236.69M,-412.92M,1.866B,-231.17M,0.148M,1.635B,,2.30B,-2.284B,,1.83M,211.84M
2011-12,-19.30M,95.77M,,30.84M,3.623B,,,237.76M,237.76M,-171.81M,-70.31M,,11.05M,-3.464B,-47.91M,-8.433M,8.284M,10.42M,,,4.995M,-32.64M,,194.09M,-124.92M,,,-21.20M,-0.014M,-3.615M,-147.19M,-128.68M,133.00M,4.32M,,,,,,,-1.975M,2.345M,1.815B,49.24M,1.546M,1.866B,,1.784B,-1.474B,,,1.002B
2011-09,-106.58M,81.84M,,-24.06M,-3.439B,,,249.52M,249.52M,-76.50M,23.13M,,10.06M,3.563B,-100.12M,1.035M,-14.22M,66.47M,,,0.37M,-46.47M,,184.12M,-91.15M,,,-107.65M,102.61M,3.714M,-95.27M,-31.23M,839.23M,808.00M,,,,,,,-3.186M,804.81M,921.55M,893.66M,-0.086M,1.815B,,2.284B,-2.754B,,-172.18M,-505.82M
2011-06,3.451B,0.90M,,6.16M,7.06M,,,177.47M,177.47M,-80.71M,23.62M,,9.396M,-3.492B,-2.522M,-1.935M,32.88M,-31.21M,,,175.68M,172.90M,,272.94M,-50.72M,,,407.05M,-26.09M,-1.353M,331.68M,1.165B,-1.278B,-113.40M,,,,,,,-0.704M,-114.10M,431.28M,490.52M,-0.247M,921.55M,,2.380B,-1.215B,,170.26M,285.72M
2011-03,-89.87M,0.091M,,14.98M,15.07M,,,152.40M,152.40M,-65.42M,23.56M,,9.21M,-4.339M,-4.486M,1.294M,-11.68M,-12.76M,,,2.606M,-25.03M,,23.98M,-34.46M,,,,-76.69M,0.611M,-110.54M,19.53M,,19.53M,,,,,,,-0.66M,18.87M,498.96M,-67.69M,0.00,431.28M,,1.422B,-1.403B,,1.913M,220.10M
2010-12,-139.19M,-2.178M,,-28.56M,-22.22M,,,146.67M,146.67M,-46.91M,-64.18M,,8.832M,75.32M,-4.798M,-2.912M,13.18M,57.86M,,,2.155M,65.48M,,123.62M,-78.95M,70.93M,70.93M,-553.00M,147.82M,-0.437M,-165.16M,-1.608B,1.017B,-591.43M,,,,,,,72.20M,-12.25M,552.76M,-53.79M,0.00,498.96M,,1.678B,-383.45M,,-331.22M,260.48M
2010-09,-317.99M,326.68M,,33.78M,360.46M,,,158.86M,158.86M,-238.00M,24.45M,,8.599M,-4.175M,2.738M,3.326M,-25.96M,42.04M,,,12.62M,34.76M,,30.55M,-49.44M,6.575M,6.575M,0.00,4.176M,-16.04M,-54.74M,-645.84M,210.00M,-435.84M,,,,,,,-0.43M,-436.27M,1.013B,-460.45M,0.00,552.76M,,3.180B,-3.616B,,-30.32M,259.03M
2010-06,-883.48M,1.126B,,65.77M,1.193B,,,164.77M,164.77M,-440.28M,24.23M,,8.002M,-11.87M,-36.50M,-0.438M,29.04M,-5.024M,,,335.31M,322.39M,,394.75M,-25.15M,0.099M,0.099M,0.00,-40.00M,15.10M,-49.95M,2.176B,-1.838B,338.20M,,,,,,,-110.38M,227.82M,440.59M,572.62M,0.00,1.013B,,4.330B,-5.267B,,360.79M,248.67M
2010-03,-96.74M,0.689M,,119.67M,-21.40M,,,163.13M,163.13M,91.11M,15.50M,,9.555M,16.38M,21.19M,5.442M,-14.61M,-83.67M,,,-152.10M,-223.75M,,-44.91M,-53.94M,,,,-262.00M,-0.292M,-316.23M,91.53M,-1.275B,-1.184B,,,,,,,-70.83M,-1.254B,2.056B,-1.616B,,440.59M,,2.788B,-2.696B,,0.74M,251.85M
2009-12,-433.92M,549.36M,,59.91M,627.31M,,,167.40M,167.40M,-344.69M,14.65M,0.00,9.495M,206.29M,-70.21M,-3.688M,3.20M,59.55M,,,-219.86M,-231.01M,,69.60M,-14.17M,0.224M,0.224M,0.00,-34.43M,-7.595M,-55.97M,-249.64M,1.458B,1.208B,0.681M,,0.681M,,,,-63.26M,1.146B,896.99M,1.159B,,2.056B,0.681M,110.00M,2.125B,,-1.46M,307.09M
2009-09,-750.39M,971.21M,,169.37M,1.141B,,,170.65M,170.65M,-117.56M,17.69M,0.00,9.32M,-274.36M,-32.18M,2.28M,-24.31M,30.50M,,,-42.30M,-66.02M,,130.29M,-29.17M,21.91M,21.91M,0.00,-164.34M,-0.398M,-171.99M,241.96M,186.12M,428.08M,0.00,,0.00,,,-0.632M,99.89M,527.34M,411.36M,485.63M,,896.99M,0.00,462.63M,-34.55M,,55.32M,500.43M
2009-06,-212.58M,3.248M,,28.86M,75.26M,,,174.37M,174.37M,208.36M,10.31M,175.69M,9.022M,58.00M,-3.805M,2.427M,36.70M,41.72M,,,-306.42M,-229.38M,,253.77M,-35.01M,0.153M,0.153M,156.68M,-376.68M,106.34M,-148.52M,635.73M,-2.671B,-2.035B,1.104B,,1.104B,,,0.00,-127.82M,-1.059B,1.366B,-968.38M,,411.36M,1.104B,1.514B,-3.549B,,,-174.98M
2009-03,105.20M,-195.12M,,23.92M,-171.21M,,,176.86M,176.86M,-90.79M,8.20M,,8.734M,-15.12M,-14.89M,5.552M,-33.02M,-94.61M,,,234.07M,97.10M,,134.26M,-58.51M,,,589.59M,-381.05M,-103.81M,46.22M,896.89M,,896.89M,,,,,,0.632M,-22.23M,875.30M,295.64M,1.070B,,1.366B,,6.607B,-5.71B,,,174.98M
2008-12,-1.148B,1.176B,,21.16M,1.109B,,,186.58M,186.58M,121.34M,8.09M,0.00,6.612M,-6.009M,-24.02M,10.85M,25.95M,40.09M,,,-112.30M,-59.43M,,252.31M,-107.64M,85.32M,85.32M,0.00,-398.33M,-23.65M,-444.30M,-1.644B,1.910B,265.51M,0.00,0.001M,0.001M,,,-14.01M,0.199M,251.70M,250.09M,59.71M,,295.64M,0.00,1.438B,-3.082B,0.001M,2.747M,121.35M
2008-09,61.28M,34.98M,,8.635M,21.24M,-391.56M,-1.023M,199.08M,199.08M,-15.06M,2.53M,0.00,29.66M,-72.14M,36.89M,0.358M,-21.61M,-94.43M,,,49.91M,-28.89M,,244.31M,-194.90M,0.549M,479.76M,0.00,-802.34M,475.27M,-521.42M,1.273B,850.95M,280.48M,-11.33M,0.00,-11.33M,,,14.01M,-35.95M,247.20M,280.00M,-29.91M,,250.09M,-11.33M,7.43B,-6.157B,0.00,435.13M,500.95M
2008-06,113.10M,-2.776M,,-19.72M,-0.113M,391.56M,1.023M,198.24M,198.24M,-23.82M,-0.631M,,-11.20M,55.20M,-8.141M,-0.813M,40.33M,54.12M,,,-21.40M,64.10M,,380.74M,-229.86M,0.099M,-479.11M,,158.13M,-470.43M,-542.06M,-1.100B,-506.55M,237.70M,11.33M,-133.69M,-122.36M,,,-6.395M,1.922M,110.87M,327.74M,-50.46M,,280.00M,11.33M,-3.03B,1.930B,-133.69M,-324.32M,-208.29M
2008-03,118.35M,2.776M,,19.72M,22.50M,,,194.34M,194.34M,-2.934M,0.631M,,11.20M,-19.87M,15.77M,1.973M,-29.69M,-187.64M,,,-263.09M,-462.67M,,-124.32M,-249.34M,,,0.00,-215.82M,-8.498M,-473.66M,1.100B,506.55M,1.606B,,-1.107B,-1.107B,,,6.395M,6.976M,512.31M,412.39M,-85.67M,,327.74M,,3.03B,-1.930B,-1.107B,324.32M,208.29M
2007-12,872.21M,,,,-1.094B,193.77M,7.426M,201.19M,201.19M,52.67M,,,,-198.00M,-56.22M,-1.774M,35.42M,50.98M,,,120.78M,465.06M,-1.932M,297.03M,-434.50M,32.24M,-402.26M,,,-106.06M,2.168B,,,-2.959B,1.215B,-652.18M,562.34M,,,,33.47M,-2.363B,311.60M,101.36M,,412.39M,1.215B,,,-652.18M,,
2007-09,183.86M,,,,-66.54M,170.78M,-6.816M,163.96M,163.96M,17.06M,,,,-166.86M,-36.71M,0.868M,-3.68M,4.624M,,-129.46M,52.22M,-112.15M,0.00,19.34M,-692.20M,0.148M,-692.05M,,160.00M,-97.27M,-629.32M,,,574.77M,23.13M,0.00,23.13M,,,,29.20M,627.10M,297.64M,17.12M,,311.60M,23.13M,,,0.00,,
2007-06,360.17M,,,,-49.75M,167.51M,5.42M,172.93M,172.93M,-14.20M,,,,203.50M,29.92M,-0.79M,-11.06M,87.09M,,129.46M,-221.62M,13.01M,-265.71M,419.96M,-1.210B,0.088M,-1.210B,,-160.00M,5.619M,-785.44M,,,327.50M,16.46M,0.00,16.46M,,,,5.195M,349.16M,313.97M,-16.32M,,297.64M,16.46M,,,0.00,,
2007-03,168.17M,,,,18.96M,168.28M,-1.732M,166.54M,166.54M,-22.72M,,,,22.87M,-19.66M,-6.815M,-9.746M,-109.98M,,,48.63M,-97.57M,1.831M,258.09M,-580.69M,15.10M,-565.59M,,,22.04M,-543.56M,,,252.30M,36.43M,-174.59M,-138.15M,,,,32.34M,146.49M,452.94M,-138.98M,,313.97M,36.43M,,,-174.59M,,
2006-12,201.57M,,,,-24.95M,170.13M,-1.519M,168.61M,168.61M,59.11M,,,,27.48M,-32.26M,-4.319M,1.743M,140.22M,,93.30M,-164.85M,33.84M,,441.12M,-499.59M,0.373M,-499.22M,,86.00M,-24.02M,-437.24M,,,45.60M,55.71M,0.00,55.71M,,,,4.036M,105.35M,343.72M,109.23M,,452.94M,55.71M,,,0.00,,
2006-09,156.26M,,,,42.90M,163.54M,-0.439M,163.10M,163.10M,33.41M,,,,-18.22M,-38.53M,0.808M,-19.38M,30.60M,,19.53M,-12.23M,-19.21M,,358.24M,-589.52M,5.188M,-584.33M,,-23.34M,40.63M,-567.04M,,,357.05M,5.336M,-105.85M,-100.52M,,,,0.986M,257.52M,294.99M,48.72M,,343.72M,5.336M,,,-105.85M,,
