,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2017-03,1.395B,,1.395B,493.76M,,493.76M,100.50M,183.01M,,,2.173B,,,,,,,,,18.62B,1.814B,4.034B,5.848B,1.252B,410.49M,26.13B,28.30B,204.84M,,77.35M,214.86M,497.04M,1.628B,2.125B,,,,,,,,,2.125B,13.10B,,13.10B,2.542B,2.542B,3.764B,55.77M,340.91M,16.04B,18.16B,5.745M,689.48M,5.674B,,,,7.217M,6.376B
2016-12,1.447B,,1.447B,542.92M,,542.92M,97.73M,142.35M,,,2.230B,0.0,6.531B,11.97B,4.864B,,2.629B,25.99B,-7.568B,18.43B,1.817B,4.088B,5.905B,1.220B,393.42M,25.94B,28.17B,250.48M,22.28M,177.57M,270.36M,720.69M,1.201B,1.922B,,8.375M,,8.375M,363.43M,363.43M,,,2.293B,12.98B,,12.98B,2.551B,2.551B,3.749B,54.14M,325.98M,15.91B,18.20B,5.741M,545.81M,5.654B,,,,15.05M,6.220B
2016-09,1.446B,,1.446B,492.43M,,492.90M,97.40M,177.89M,,,2.214B,,,,,,,,,17.95B,1.815B,4.137B,5.953B,1.197B,393.67M,25.49B,27.71B,232.49M,,,306.97M,539.46M,1.591B,2.131B,,,,,,,,,2.131B,12.79B,,12.79B,2.544B,2.544B,3.727B,6.25M,320.71M,15.66B,17.79B,5.728M,521.14M,5.651B,,,,12.80M,6.191B
2016-06,2.503B,,2.503B,443.90M,,455.10M,97.80M,137.64M,,,3.194B,,,,,,,,,16.10B,1.429B,4.072B,5.502B,1.364B,386.65M,23.36B,26.55B,161.42M,,,333.80M,495.22M,1.423B,1.918B,,,,,,,,,1.918B,12.36B,,12.36B,2.591B,2.591B,3.994B,6.25M,141.91M,15.10B,17.02B,5.656M,-14.48M,5.531B,,,,10.81M,5.533B
2016-03,1.665B,,1.665B,452.75M,,461.90M,97.58M,177.26M,,,2.402B,,,,,,,,,15.69B,1.430B,4.117B,5.546B,1.479B,377.96M,23.10B,25.50B,183.78M,,,285.48M,469.26M,1.376B,1.845B,,242.90M,,242.90M,,,,,2.088B,12.69B,,12.69B,2.688B,2.688B,2.665B,6.25M,163.39M,15.54B,17.63B,5.651M,-488.83M,5.671B,,,,11.62M,5.200B
2015-12,1.670B,,1.670B,480.56M,,496.55M,104.20M,137.68M,,,2.409B,0.0,6.495B,9.430B,4.275B,,2.112B,22.31B,-6.940B,15.37B,1.431B,4.165B,5.596B,1.491B,347.59M,22.81B,25.22B,182.03M,,153.53M,250.12M,585.68M,1.091B,1.677B,,328.44M,,328.44M,232.41M,232.41M,,,2.238B,12.37B,,12.37B,2.681B,2.681B,2.644B,6.25M,157.66M,15.21B,17.45B,5.648M,-555.63M,5.656B,,,,14.02M,5.120B
2015-09,1.808B,0.00,1.808B,470.84M,,486.90M,100.53M,187.05M,,,2.582B,,,,,,,,,15.01B,2.899B,4.213B,7.112B,1.537B,435.16M,24.10B,26.68B,168.65M,,,188.25M,356.90M,1.506B,1.863B,,,,,,89.83M,89.83M,,1.953B,12.82B,,12.82B,2.496B,2.496B,3.338B,5.00M,165.36M,15.49B,17.44B,5.632M,225.82M,5.655B,,,,14.45M,5.901B
2015-06,2.342B,200.20M,2.543B,467.96M,,480.91M,106.91M,136.66M,,,3.267B,,,,,,,,,14.79B,2.898B,4.256B,7.155B,1.491B,445.16M,23.88B,27.15B,174.25M,,,203.35M,377.60M,1.455B,1.832B,,875.03M,,875.03M,,83.31M,83.31M,,2.791B,12.50B,,12.50B,2.526B,2.526B,3.349B,5.00M,156.12M,15.18B,17.97B,5.631M,159.40M,5.649B,,,,13.89M,5.828B
2015-03,2.196B,0.00,2.196B,461.75M,,469.48M,103.29M,188.31M,,,2.957B,,,,,,,,,14.56B,2.898B,4.309B,7.207B,1.661B,411.11M,23.84B,26.80B,187.32M,,,125.72M,313.04M,1.512B,1.825B,,,,,,70.55M,70.55M,,1.896B,14.55B,,14.55B,2.547B,2.547B,3.380B,,150.69M,17.25B,19.15B,4.913M,61.94M,4.193B,,,,13.58M,4.273B
2014-12,1.714B,570.00M,2.284B,473.34M,,488.02M,104.01M,151.41M,,,3.027B,0.0,6.475B,9.313B,4.179B,,999.62M,20.97B,-6.525B,14.44B,2.897B,4.365B,7.262B,1.559B,304.21M,23.57B,26.59B,164.25M,,350.49M,170.44M,685.18M,1.190B,1.875B,,1.245B,,1.245B,225.62M,287.77M,62.14M,,3.408B,12.81B,,12.81B,2.622B,2.622B,3.537B,0.00,130.57M,15.56B,18.97B,4.913M,-107.91M,4.181B,,,,12.99M,4.091B
2014-09,1.313B,,1.313B,433.85M,,433.85M,99.27M,144.50M,0.00,,1.991B,,,,,,,,,14.25B,2.893B,4.332B,7.225B,1.555B,423.14M,23.46B,25.45B,266.70M,,2.39M,,269.09M,1.890B,2.159B,,1.192B,,1.192B,,18.82M,18.82M,,3.369B,11.72B,,11.72B,2.339B,2.339B,3.478B,,117.71M,14.18B,17.55B,4.909M,234.35M,4.173B,,,,8.388M,4.421B
2014-06,1.365B,,1.365B,473.92M,,473.92M,102.52M,224.73M,0.00,,2.166B,,,,,,,,,14.11B,2.899B,4.396B,7.295B,1.421B,576.04M,23.41B,25.57B,253.48M,,32.82M,,286.29M,1.955B,2.242B,,317.19M,,317.19M,,1.522M,1.522M,,2.560B,12.61B,,12.61B,2.357B,2.357B,3.484B,,106.94M,15.07B,17.63B,4.907M,270.80M,4.166B,,,,15.24M,4.457B
2014-03,1.115B,,1.115B,492.54M,,492.54M,101.55M,261.81M,0.00,,1.971B,,,,,,,,,14.03B,2.897B,4.451B,7.348B,1.417B,581.30M,23.38B,25.35B,220.52M,,20.55M,,241.07M,1.872B,2.113B,,,,,,46.64M,46.64M,,2.160B,12.93B,,12.93B,2.305B,2.305B,3.480B,,132.25M,15.37B,17.53B,4.906M,165.25M,4.161B,,,,12.24M,4.343B
2013-12,1.804B,0.00,1.804B,488.22M,,488.22M,107.91M,238.66M,80.99M,,2.719B,0.0,6.477B,9.264B,4.041B,,437.43M,20.22B,-6.165B,14.06B,2.897B,4.512B,7.409B,1.469B,431.40M,23.37B,26.08B,144.99M,,349.03M,96.20M,590.22M,1.395B,1.986B,,,,,229.68M,229.68M,0.00,,2.215B,13.45B,,13.45B,2.420B,2.420B,3.644B,,141.59M,16.01B,18.22B,4.904M,41.96M,4.157B,,,,12.50M,4.216B
2013-09,1.375B,,1.375B,411.08M,,411.08M,98.33M,272.81M,126.40M,,2.284B,,,,,,,,,13.97B,2.901B,4.548B,7.449B,1.416B,539.89M,23.37B,25.66B,202.79M,,2.50M,,205.29M,1.956B,2.161B,,,,,,,,,2.161B,13.03B,,13.03B,2.478B,2.478B,3.565B,,157.61M,15.67B,17.83B,4.898M,95.43M,4.150B,,,,11.62M,4.262B
2013-06,1.279B,,1.279B,440.33M,,440.33M,101.11M,248.62M,141.52M,,2.210B,,,,,,,,,14.04B,2.901B,4.609B,7.510B,1.408B,551.82M,23.51B,25.72B,229.60M,,7.682M,,237.28M,1.861B,2.098B,,,,,,,,,2.098B,13.11B,,13.11B,2.505B,2.505B,3.568B,,149.86M,15.77B,17.86B,4.896M,127.29M,4.146B,,,,11.31M,4.289B
2013-03,1.481B,,1.481B,475.58M,,475.58M,105.05M,258.78M,119.20M,,2.439B,,,,,,,,,14.12B,2.898B,4.667B,7.565B,1.435B,500.97M,23.62B,26.06B,178.44M,,4.344M,,182.78M,1.688B,1.871B,,,,,,,,,1.871B,13.69B,,13.69B,2.476B,2.476B,3.506B,,140.75M,16.31B,18.18B,4.894M,220.24M,4.140B,,,,7.982M,4.373B
2012-12,1.544B,,1.544B,443.68M,,443.68M,107.58M,232.90M,179.43M,,2.507B,0.0,6.499B,9.273B,3.995B,,140.69M,19.91B,-5.713B,14.19B,2.903B,4.738B,7.641B,1.445B,497.77M,23.78B,26.28B,199.62M,,252.52M,,452.14M,1.240B,1.692B,,,,,233.62M,233.62M,,,1.926B,13.59B,,13.59B,2.474B,2.474B,3.750B,,179.88M,16.24B,18.17B,4.892M,213.70M,4.133B,,,,14.30M,4.366B
2012-09,2.443B,,2.443B,412.39M,,412.39M,107.77M,243.66M,140.83M,,3.348B,,,,,,,,,14.77B,2.901B,4.813B,7.714B,1.489B,515.08M,24.48B,27.83B,201.15M,,0.358M,,201.51M,1.824B,2.026B,,,,,,,,,2.026B,13.83B,,13.83B,2.528B,2.528B,3.712B,,186.72M,16.54B,18.57B,4.89M,1.438B,4.098B,,,,12.53M,5.553B
2012-06,1.732B,,1.732B,478.59M,,478.59M,113.32M,231.46M,122.13M,,2.677B,,,,,,,,,14.78B,2.900B,4.889B,7.790B,1.499B,514.00M,24.59B,27.26B,171.88M,,0.336M,,172.21M,1.615B,1.788B,,141.67M,,141.67M,,,,,1.929B,13.23B,182.26M,13.41B,2.514B,2.514B,3.686B,,,15.92B,17.85B,4.889M,1.619B,4.091B,,,,11.05M,5.726B
2012-03,1.635B,,1.635B,477.48M,,477.48M,110.67M,270.69M,99.94M,,2.594B,,,,,,,,,14.79B,2.897B,4.966B,7.863B,1.590B,557.98M,24.80B,27.39B,163.63M,,62.18M,,225.80M,1.667B,1.892B,,,,,,,,,1.892B,13.36B,176.03M,13.54B,2.471B,2.471B,3.613B,,,16.01B,17.90B,4.889M,1.764B,4.103B,,,,6.837M,5.878B
2011-12,1.866B,,1.866B,491.73M,,491.73M,112.74M,251.28M,91.06M,,2.813B,0.0,7.033B,9.122B,3.926B,,122.37M,20.20B,-5.337B,14.87B,2.897B,5.048B,7.945B,1.636B,506.61M,24.95B,27.77B,170.99M,,191.19M,,362.18M,1.173B,1.535B,,,,,209.52M,209.52M,,,1.745B,13.47B,,13.47B,2.502B,2.502B,3.796B,,167.03M,16.14B,17.88B,4.888M,1.981B,4.094B,,,,5.978M,6.087B
2011-09,1.815B,,1.815B,463.41M,,463.41M,104.28M,259.54M,79.46M,,2.722B,,,,,,,,,14.87B,2.905B,5.121B,8.026B,1.660B,577.06M,25.13B,27.85B,158.48M,,2.639M,,161.12M,1.503B,1.664B,,351.61M,,351.61M,,,,,2.015B,13.10B,,13.10B,2.603B,2.603B,3.693B,,193.58M,15.90B,17.91B,4.886M,2.161B,4.086B,,,,-3.276M,6.249B
2011-06,921.55M,,921.55M,370.08M,,370.08M,105.32M,245.29M,151.04M,,1.793B,,,,,,,,,15.02B,2.907B,5.210B,8.117B,1.690B,598.25M,25.42B,27.22B,179.70M,,177.75M,,357.45M,931.10M,1.289B,,,,,,,,,1.585B,12.63B,,12.63B,2.736B,2.736B,3.679B,,219.48M,15.59B,17.17B,4.886M,2.285B,4.077B,,,,-1.52M,6.366B
2011-03,431.28M,,431.28M,317.97M,,491.42M,95.10M,264.05M,84.57M,,1.366B,,,,,,,,,14.43B,86.35M,342.63M,428.98M,1.942B,596.55M,17.39B,18.76B,138.53M,,,,138.53M,1.034B,1.172B,,,,,,,,,1.172B,12.08B,215.76M,12.30B,2.372B,2.372B,,,,14.67B,15.84B,4.886M,-1.157B,4.069B,,,,2.261M,2.919B
2010-12,498.96M,,498.96M,321.89M,,497.88M,96.39M,252.32M,110.09M,,1.456B,0.0,7.040B,8.505B,3.768B,,72.84M,19.39B,-4.831B,14.55B,86.35M,342.80M,429.16M,1.923B,598.74M,17.51B,18.96B,167.08M,,,,167.08M,1.079B,1.246B,,,,,,,,,1.246B,12.05B,199.25M,12.25B,2.469B,2.469B,,,,14.72B,15.96B,4.885M,-1.067B,4.061B,0.00,,,-0.301M,2.999B
2010-09,552.76M,,552.76M,324.21M,,504.39M,93.48M,115.50M,22.68M,,1.289B,,,,,,,,,14.70B,86.35M,343.00M,429.35M,2.116B,605.27M,17.85B,19.14B,153.05M,,,,153.05M,1.166B,1.319B,,,,,,,,,1.319B,12.62B,,12.62B,2.401B,2.401B,,,252.21M,15.28B,16.60B,4.413M,-927.68M,3.465B,,,,-1.619M,2.540B
2010-06,1.013B,,1.013B,363.03M,,557.50M,96.80M,89.54M,34.90M,,1.792B,,,,,,,,,14.81B,86.35M,343.19M,429.54M,2.118B,832.95M,18.20B,19.99B,117.46M,,,,117.46M,1.078B,1.195B,,,,,,,,,1.195B,13.05B,,13.05B,2.653B,2.653B,,,243.29M,15.94B,17.14B,4.413M,-609.68M,3.457B,,,,-2.77M,2.849B
2010-03,440.59M,,440.59M,563.10M,,1.096B,96.37M,118.58M,29.12M,,1.781B,,,,,,,,,14.96B,86.35M,343.53M,429.89M,3.492B,351.70M,19.23B,21.01B,117.99M,,,9.711M,127.70M,1.038B,1.166B,,,,,,,,,1.166B,12.69B,,12.69B,3.115B,3.115B,,,253.24M,16.06B,17.23B,4.413M,273.79M,3.505B,,,,-2.007M,3.781B
2009-12,2.056B,,2.056B,368.47M,,753.03M,101.81M,103.97M,38.49M,,3.054B,0.0,7.121B,8.429B,3.815B,,66.90M,19.43B,-4.361B,15.07B,86.35M,344.25M,430.61M,3.612B,352.35M,19.46B,22.52B,173.72M,,,,173.72M,1.130B,1.304B,,1.080B,,1.080B,,,,,2.384B,12.98B,256.84M,13.23B,3.031B,3.031B,,,,16.26B,18.65B,4.412M,370.53M,3.497B,0.00,,,-1.937M,3.870B
2009-09,896.99M,,896.99M,309.28M,,476.19M,98.12M,107.17M,46.00M,,1.624B,,,,,,,,,15.75B,86.35M,344.98M,431.33M,3.544B,375.25M,20.10B,21.73B,130.71M,,,13.21M,143.92M,1.013B,1.157B,,,,,,,,,1.157B,12.91B,,12.91B,3.142B,3.142B,,,221.71M,16.27B,17.43B,4.412M,804.45M,3.488B,0.00,,,-1.602M,4.295B
2009-06,411.36M,0.00,411.36M,287.86M,,422.23M,100.40M,82.86M,58.48M,,1.075B,,,,,,,,,15.92B,86.35M,345.70M,432.05M,4.978B,,21.33B,22.41B,117.25M,,,22.10M,139.35M,1.093B,1.232B,,,,,,,,,1.232B,12.36B,186.74M,12.55B,3.581B,3.581B,,,,16.13B,17.36B,4.41M,1.555B,3.487B,0.00,,,-1.647M,5.045B
2009-03,1.366B,,1.366B,449.47M,,449.47M,102.83M,119.56M,53.42M,,2.091B,,,,,,,,,16.07B,86.35M,346.44M,432.79M,4.689B,561.00M,21.75B,23.84B,113.24M,,177.40M,26.88M,317.52M,1.341B,1.659B,,14.36B,,14.36B,,,,,16.02B,3.99M,391.61M,395.60M,3.341B,3.341B,,,,3.736B,19.75B,3.693M,3.470B,4.027B,3.356B,,,-55.14M,4.090B
2008-12,295.64M,,295.64M,303.42M,64.68M,368.10M,111.50M,155.65M,63.15M,538.98M,1.533B,0.0,7.449B,8.806B,3.436B,,407.44M,20.10B,-3.810B,16.29B,86.35M,4.643B,4.729B,,723.31M,21.74B,23.27B,142.69M,,,,142.69M,1.737B,1.880B,,1.048B,,1.048B,,,,75.38M,3.003B,12.42B,,12.42B,3.441B,3.441B,,,440.03M,16.30B,19.30B,3.693M,3.365B,4.018B,3.356B,-2.634M,-54.27M,-56.90M,3.974B
2008-09,250.09M,,250.09M,322.82M,51.20M,374.02M,125.42M,117.33M,46.35M,,913.21M,,,,,,,20.25B,-3.365B,16.89B,1.263B,359.71M,1.623B,,3.965B,22.48B,23.39B,155.18M,,,,155.18M,970.46M,1.126B,,,,,,,,46.86M,1.173B,13.29B,,13.29B,3.420B,3.420B,,,365.27M,17.07B,18.25B,3.693M,4.513B,4.010B,3.356B,,,-26.52M,5.144B
2008-06,280.00M,,280.00M,366.13M,1.752M,367.88M,125.78M,95.72M,72.44M,,941.82M,,,,,,,20.29B,-3.365B,16.92B,1.263B,360.50M,1.623B,,3.642B,22.19B,23.13B,164.06M,,,,164.06M,1.066B,1.230B,,,,,,,,57.66M,1.287B,13.01B,,13.01B,3.375B,3.375B,,,371.52M,16.76B,18.04B,3.691M,4.452B,3.996B,3.356B,,,-9.749M,5.086B
2008-03,327.74M,,327.74M,390.45M,,390.45M,124.19M,135.27M,56.46M,54.44M,1.089B,,,,,,,20.21B,-3.365B,16.85B,1.263B,358.99M,1.622B,,3.340B,21.81B,22.90B,169.42M,,,,169.42M,1.007B,1.177B,,,,,,,,91.34M,1.268B,12.78B,,12.78B,3.406B,3.406B,,,348.90M,16.53B,17.80B,3.689M,4.339B,3.978B,3.222B,,,-2.666M,5.096B
2007-12,416.12M,,416.12M,412.93M,,412.93M,126.94M,106.36M,63.45M,,1.126B,,,,,,,20.24B,-3.365B,16.87B,1.263B,362.10M,1.625B,,3.106B,21.60B,22.73B,220.50M,,,,220.50M,1.144B,1.364B,,,,,,,,360.60M,1.725B,11.18B,,11.18B,3.417B,3.417B,,,350.41M,14.94B,16.67B,3.684M,4.220B,3.951B,2.115B,0.861M,-0.305M,0.556M,6.061B
2007-09,311.60M,,311.60M,378.70M,50.65M,429.35M,124.56M,148.80M,65.10M,55.08M,1.134B,,,,,,,22.58B,-2.795B,19.78B,1.270B,360.55M,1.630B,,1.762B,23.17B,24.31B,186.87M,,,,186.87M,1.144B,1.331B,,,,,,,,374.69M,1.706B,14.13B,,14.13B,3.374B,3.374B,,,514.57M,18.02B,19.73B,3.671M,3.348B,3.000B,1.772B,,,1.115M,4.582B
2007-06,294.61M,,294.61M,333.30M,,333.30M,125.48M,103.56M,69.91M,55.07M,981.93M,,,,,,,21.90B,-2.795B,19.10B,1.270B,361.81M,1.631B,,1.784B,22.52B,23.50B,149.87M,,,,149.87M,1.210B,1.360B,,,,,,,,465.70M,1.826B,13.56B,,13.56B,3.359B,3.359B,,,421.40M,17.34B,19.17B,3.657M,3.164B,2.934B,1.772B,,,0.918M,4.331B
2007-03,313.97M,,313.97M,373.39M,,373.39M,124.50M,133.62M,70.40M,418.94M,1.435B,,,,,,,20.67B,-2.795B,17.88B,1.270B,364.56M,1.634B,,1.614B,21.12B,22.56B,157.02M,,,,157.02M,1.100B,1.257B,,,,,,,,378.08M,1.635B,13.24B,,13.24B,3.378B,3.378B,,,372.65M,16.99B,18.63B,3.65M,2.804B,2.895B,1.772B,,,0.433M,3.932B
2006-12,452.94M,,452.94M,362.92M,18.62M,381.54M,118.46M,124.41M,68.05M,369.35M,1.515B,0.0,7.905B,7.870B,2.955B,188.43M,1.307B,20.23B,-2.795B,17.43B,1.301B,367.20M,1.668B,,1.533B,20.63B,22.15B,416.64M,,,,416.64M,1.191B,1.608B,,,,,,,,40.26M,1.648B,12.99B,,12.99B,3.441B,3.441B,,,212.56M,16.65B,18.30B,3.629M,2.636B,2.807B,1.597B,0.278M,0.137M,0.415M,3.850B
