,NetIncome,GainandLossonSaleofPPE,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2011-07,348.34M,-0.336M,-0.336M,,,120.21M,120.21M,54.99M,,16.26M,-7.25M,-24.50M,12.15M,-362.58M,-92.45M,117.80M,,,,-325.09M,,182.63M,-213.16M,,-213.16M,,2.186M,0.25M,-210.73M,-0.678M,-0.678M,30.85M,-333.00M,-302.14M,,-73.01M,5.027M,-370.80M,1.377B,-398.90M,-0.479M,977.76M,30.85M,,-0.678M,-333.00M
2011-04,265.95M,0.985M,0.985M,,,116.23M,116.23M,-8.452M,,15.45M,-17.46M,30.43M,-28.52M,-209.29M,32.14M,-54.36M,,,,-260.04M,,143.09M,-226.05M,,-226.05M,,-4.575M,0.244M,-230.38M,-0.65M,-0.65M,79.99M,-338.32M,-258.34M,,-58.61M,17.39M,-300.21M,1.742B,-387.50M,22.90M,1.377B,79.99M,,-0.65M,-338.32M
2011-01,334.41M,89.08M,89.08M,,,116.98M,116.98M,-91.97M,,13.89M,-4.685M,-6.864M,20.36M,507.89M,42.03M,-143.84M,,,,426.43M,,877.29M,-166.78M,,-166.78M,,54.62M,-1.76M,-113.92M,-0.606M,-0.606M,34.28M,-347.86M,-313.58M,,-59.29M,4.656M,-368.82M,1.339B,394.55M,8.135M,1.742B,34.28M,,-0.606M,-347.86M
2010-10,372.31M,2.002M,2.002M,,,113.84M,113.84M,87.56M,,16.88M,-5.446M,2.957M,-20.87M,-373.80M,-11.81M,249.60M,,,,-156.88M,,433.22M,-213.50M,0.00,-213.50M,,10.45M,0.237M,-202.81M,-0.595M,-0.595M,41.41M,-270.87M,-229.46M,,-59.92M,5.317M,-284.65M,1.380B,-54.24M,13.14M,1.339B,41.41M,,-0.595M,-270.87M
2010-07,304.98M,3.201M,3.201M,,,113.62M,113.62M,36.89M,,14.72M,-2.489M,12.20M,-3.178M,-266.58M,-37.19M,-37.62M,,,,-344.57M,,138.55M,-177.76M,,-177.76M,,-15.20M,0.231M,-192.73M,-0.583M,-0.583M,12.38M,-344.43M,-332.05M,,-61.03M,-0.471M,-394.14M,1.833B,-448.31M,-4.788M,1.380B,12.38M,,-0.583M,-344.43M
2010-04,331.43M,1.788M,1.788M,,,113.61M,113.61M,18.16M,,13.31M,-15.48M,-5.382M,-19.89M,-79.33M,7.456M,161.73M,,,,69.97M,,527.42M,-149.09M,,-149.09M,,10.71M,0.227M,-138.16M,-0.571M,-0.571M,88.09M,-230.22M,-142.13M,,-49.09M,15.48M,-176.32M,1.615B,212.94M,5.722M,1.833B,88.09M,,-0.571M,-230.22M
2010-01,395.00M,3.506M,3.506M,,,116.28M,116.28M,-77.38M,-40.83M,,-1.739M,-51.57M,14.60M,725.27M,5.343M,-222.84M,,,36.85M,559.23M,,982.70M,-110.33M,,-110.33M,,-52.32M,0.224M,-162.43M,193.01M,-200.56M,15.77M,-414.26M,-398.49M,,-50.26M,1.739M,-647.57M,1.446B,172.70M,-3.743M,1.615B,15.77M,0.00,-200.56M,-414.26M
2009-10,347.80M,5.897M,5.897M,,,109.52M,109.52M,22.21M,14.97M,,-9.542M,29.42M,-18.04M,-168.52M,39.15M,273.54M,,,-36.85M,89.29M,,584.49M,-155.31M,,-155.31M,,51.33M,-0.364M,-104.34M,-191.84M,-191.84M,85.30M,-293.79M,-208.48M,,-50.80M,9.542M,-441.58M,1.427B,38.56M,-19.81M,1.446B,85.30M,0.00,-191.84M,-293.79M
2009-07,261.56M,0.541M,0.541M,,,105.27M,105.27M,90.02M,13.46M,,-6.047M,-6.522M,7.65M,-225.14M,-61.10M,164.01M,,,,-114.58M,,343.70M,-97.19M,,-97.19M,,-67.68M,-5.65M,-170.52M,397.15M,397.15M,58.54M,-204.29M,-145.74M,,-51.19M,2.079M,202.29M,1.012B,375.47M,38.93M,1.427B,58.54M,399.97M,-2.82M,-204.29M
2009-04,209.21M,0.326M,0.326M,,,104.15M,104.15M,18.30M,12.40M,,-0.166M,2.18M,-6.077M,-183.81M,37.83M,166.69M,,,,14.62M,,361.03M,-66.45M,,-66.45M,,-56.75M,0.212M,-122.98M,373.77M,373.77M,10.24M,-32.42M,-22.18M,,-45.41M,-3.068M,303.11M,453.53M,541.16M,17.81M,1.012B,10.24M,374.30M,-0.528M,-32.42M
2009-01,282.02M,,1.399M,,,100.68M,100.68M,105.61M,,,,15.22M,25.18M,668.28M,-94.41M,-536.30M,,-157.93M,16.96M,-78.22M,-31.33M,427.74M,-139.92M,,-139.92M,,,-0.636M,-125.34M,,-106.45M,1.021M,-84.00M,-82.98M,,-45.61M,-0.092M,-235.13M,387.35M,67.27M,-1.094M,453.53M,1.021M,,,-84.00M
2008-10,235.85M,,7.283M,-199.80M,-24.70M,76.53M,76.53M,-33.02M,,,,17.11M,-34.70M,-366.93M,78.46M,118.82M,,144.64M,-16.96M,-76.66M,31.33M,258.42M,-184.00M,,-184.00M,,,0.204M,-184.64M,,105.42M,41.45M,-218.52M,-177.08M,,-46.03M,4.936M,-112.75M,517.49M,-38.98M,-91.17M,387.35M,41.45M,,,-218.52M
2008-07,200.22M,,12.97M,100.12M,12.54M,112.66M,112.66M,27.83M,,,,6.15M,30.86M,-206.28M,-130.77M,68.52M,,82.80M,,-154.87M,,204.96M,-148.24M,,-148.24M,,,0.201M,-148.04M,,-0.497M,28.00M,-221.19M,-193.19M,,-46.64M,4.529M,-235.79M,698.12M,-178.87M,-1.75M,517.49M,28.00M,,,-221.19M
2008-04,193.85M,,2.25M,99.68M,12.16M,111.84M,111.84M,32.06M,,,,-4.131M,-29.58M,-163.56M,27.89M,162.36M,,-69.51M,,-72.40M,,263.46M,-110.76M,,-110.76M,,,0.197M,-110.56M,,-0.487M,71.68M,-227.38M,-155.70M,,-38.47M,9.506M,-185.15M,732.61M,-32.26M,-2.238M,698.12M,71.68M,,,-227.38M
2008-01,301.15M,,-3.859M,97.06M,15.08M,112.13M,112.13M,-30.08M,,,,6.902M,45.72M,597.63M,41.04M,-282.27M,,-5.331M,,396.78M,,783.03M,-120.91M,,-120.91M,,,0.193M,-120.72M,,-0.477M,30.59M,-300.95M,-270.36M,,-39.22M,0.724M,-309.34M,388.13M,352.97M,-8.493M,732.61M,30.59M,,,-300.95M
2007-10,249.46M,,40.90M,91.20M,12.29M,103.49M,103.49M,-5.135M,,,,-2.378M,-41.26M,-276.41M,83.90M,79.21M,,121.96M,,-32.60M,,353.73M,-189.08M,,-189.08M,,,0.19M,-188.89M,,-0.468M,57.80M,-306.66M,-248.86M,,-39.72M,2.378M,-286.67M,533.79M,-121.83M,-23.82M,388.13M,57.80M,,,-306.66M
