,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2018-03,3.00M,,,36.00M,36.00M,193.00M,751.00M,944.00M,944.00M,-35.00M,,,15.00M,67.00M,-78.00M,,-171.00M,,,-621.00M,-870.00M,160.00M,,-48.00M,-48.00M,-8.565B,-64.00M,2.00M,-8.675B,,2.009B,,2.009B,,,,,,,23.00M,-13.00M,2.019B,,7.309B,-6.496B,-1.00M,812.00M,,,2.022B,-13.00M,,,,,AOR,Restated
2017-12,-1.137B,0.00,0.00,59.00M,59.00M,90.00M,513.00M,603.00M,603.00M,-32.00M,,1.327B,17.00M,11.00M,-111.00M,,242.00M,,,-517.00M,-386.00M,462.00M,,-32.00M,-32.00M,-500.00M,385.00M,-2.00M,-110.00M,,-7.00M,0.00,-7.00M,-58.00M,0.00,-58.00M,,,,1.00M,32.00M,-32.00M,,6.994B,320.00M,-5.00M,7.309B,,-58.00M,0.00,-7.00M,0.00,,,,AOR,Restated
2017-09,223.00M,0.00,98.00M,30.00M,128.00M,80.00M,1.397B,1.477B,1.477B,-79.00M,,-910.00M,0.00,58.00M,90.00M,,174.00M,,,-437.00M,-173.00M,724.00M,,-25.00M,-25.00M,-4.00M,-221.00M,0.00,-230.00M,,6.547B,-73.00M,6.474B,0.00,-102.00M,-102.00M,,,,4.00M,-98.00M,6.278B,,206.00M,6.772B,16.00M,6.994B,,0.00,6.829B,-282.00M,-102.00M,,,,AOR,Restated
2017-06,380.00M,4.00M,,46.00M,50.00M,80.00M,,80.00M,80.00M,-54.00M,,452.00M,1.00M,13.00M,-221.00M,,-29.00M,,,-484.00M,-734.00M,188.00M,,-31.00M,-31.00M,29.00M,-82.00M,2.00M,-69.00M,,119.00M,-29.00M,90.00M,8.00M,-301.00M,-293.00M,,,,11.00M,-19.00M,-211.00M,,267.00M,-92.00M,31.00M,206.00M,,8.00M,200.00M,-81.00M,-301.00M,,,,AOR,Restated
2017-03,221.00M,,,54.00M,108.00M,80.00M,,80.00M,80.00M,-34.00M,,458.00M,21.00M,3.00M,4.00M,,-122.00M,,,-484.00M,-602.00M,255.00M,,-47.00M,-47.00M,0.00,-183.00M,1.00M,-224.00M,,21.00M,54.00M,75.00M,50.00M,-200.00M,-150.00M,,,,,-9.00M,-84.00M,,300.00M,-53.00M,20.00M,267.00M,,50.00M,809.00M,-788.00M,-200.00M,,,,AOR,Restated
2016-12,309.00M,-50.00M,0.00,11.00M,-39.00M,83.00M,480.00M,563.00M,563.00M,28.00M,,0.00,20.00M,5.00M,42.00M,,27.00M,,5.00M,-414.00M,-340.00M,546.00M,,-19.00M,-19.00M,0.00,-201.00M,0.00,-202.00M,,0.00,-22.00M,-22.00M,-25.00M,-236.00M,-261.00M,,,,,35.00M,-209.00M,,224.00M,135.00M,-59.00M,300.00M,,-25.00M,168.00M,-168.00M,-236.00M,,,,AOR,Restated
2016-09,225.00M,0.00,0.00,-1.00M,-1.00M,80.00M,429.00M,509.00M,509.00M,50.00M,,62.00M,22.00M,19.00M,-53.00M,,143.00M,,0.00,-532.00M,-442.00M,444.00M,,-26.00M,-26.00M,0.00,-8.00M,0.00,-5.00M,,59.00M,-36.00M,23.00M,23.00M,-445.00M,-422.00M,,,,,0.00,-399.00M,,185.00M,40.00M,-1.00M,224.00M,,23.00M,165.00M,-106.00M,-445.00M,,,,AOR,Restated
2016-06,415.00M,0.00,3.00M,25.00M,28.00M,80.00M,423.00M,503.00M,503.00M,-47.00M,,,3.00M,11.00M,-66.00M,,-32.00M,,0.00,-487.00M,-585.00M,328.00M,,-28.00M,-28.00M,19.00M,-63.00M,-1.00M,-48.00M,,-140.00M,106.00M,-34.00M,2.00M,-372.00M,-370.00M,,,,,-17.00M,-421.00M,,333.00M,-141.00M,-7.00M,185.00M,,2.00M,185.00M,-325.00M,-372.00M,,,,AOR,Restated
2016-03,269.00M,-13.00M,,9.00M,-4.00M,79.00M,441.00M,520.00M,520.00M,-58.00M,,,24.00M,15.00M,21.00M,,-148.00M,,-5.00M,-572.00M,-704.00M,62.00M,,-15.00M,-15.00M,,0.00,-1.00M,-1.00M,,329.00M,-93.00M,236.00M,0.00,-378.00M,-378.00M,,,,,-13.00M,-155.00M,,390.00M,-94.00M,37.00M,333.00M,,0.00,593.00M,-264.00M,-378.00M,,,,AOR,Restated
2015-12,226.00M,20.00M,-6.00M,-1.00M,13.00M,87.00M,466.00M,553.00M,553.00M,-2.00M,,,19.00M,6.00M,161.00M,,12.00M,,25.00M,-371.00M,-173.00M,642.00M,,-27.00M,-27.00M,-30.00M,-254.00M,16.00M,-275.00M,,698.00M,4.00M,702.00M,,-372.00M,-372.00M,,,,,-550.00M,-220.00M,,262.00M,147.00M,-19.00M,390.00M,,,794.00M,-96.00M,-372.00M,,,,AOR,Restated
2015-09,283.00M,0.00,0.00,15.00M,15.00M,80.00M,417.00M,497.00M,497.00M,108.00M,,,-9.00M,9.00M,-207.00M,,81.00M,,0.00,-519.00M,-645.00M,258.00M,,-24.00M,-24.00M,-1.00M,0.00,7.00M,0.00,,76.00M,-234.00M,-158.00M,,-50.00M,-50.00M,,,,,-4.00M,-212.00M,,232.00M,46.00M,-16.00M,262.00M,,,99.00M,-23.00M,-50.00M,,,,AOR,Restated
2015-06,289.00M,-3.00M,0.00,-7.00M,-10.00M,82.00M,419.00M,501.00M,501.00M,-56.00M,,,23.00M,11.00M,-55.00M,,39.00M,,0.00,-411.00M,-427.00M,331.00M,,-18.00M,-18.00M,54.00M,-16.00M,-2.00M,52.00M,,-153.00M,-105.00M,-258.00M,,-218.00M,-218.00M,,,,17.00M,-40.00M,-499.00M,,321.00M,-116.00M,27.00M,232.00M,,,0.00,-153.00M,-218.00M,,,,AOR,Restated
2015-03,250.00M,0.00,11.00M,-1.00M,10.00M,81.00M,407.00M,488.00M,488.00M,-48.00M,,,2.00M,9.00M,-7.00M,,-134.00M,,-25.00M,-482.00M,-648.00M,63.00M,,-34.00M,-34.00M,-42.00M,-11.00M,-6.00M,-78.00M,,185.00M,199.00M,384.00M,,-317.00M,-317.00M,,,,-17.00M,-38.00M,12.00M,,367.00M,-3.00M,-43.00M,321.00M,,,1.059B,-874.00M,-317.00M,,,,AOR,Restated
2014-12,235.00M,0.00,,14.00M,14.00M,86.00M,474.00M,560.00M,560.00M,-57.00M,,,12.00M,9.00M,-10.00M,,46.00M,,0.00,-384.00M,-348.00M,425.00M,,-35.00M,-35.00M,171.00M,-177.00M,-1.00M,-39.00M,,-113.00M,103.00M,-10.00M,,-355.00M,-311.00M,,,,-39.00M,-5.00M,-365.00M,,376.00M,21.00M,-30.00M,367.00M,,,113.00M,-226.00M,-355.00M,,,,AOR,Restated
2014-09,287.00M,0.00,,-8.00M,-8.00M,85.00M,378.00M,463.00M,463.00M,-51.00M,,,33.00M,13.00M,48.00M,,104.00M,,0.00,-469.00M,-317.00M,420.00M,,-27.00M,-27.00M,-213.00M,-3.00M,0.00,-226.00M,,141.00M,-36.00M,105.00M,,-298.00M,-298.00M,,,,26.00M,-1.00M,-168.00M,,372.00M,26.00M,-22.00M,376.00M,,,145.00M,-4.00M,-298.00M,,,,AOR,Restated
2014-06,384.00M,-31.00M,,-25.00M,-56.00M,75.00M,355.00M,430.00M,430.00M,-38.00M,-2.00M,,14.00M,11.00M,-76.00M,,-18.00M,,0.00,-417.00M,-511.00M,232.00M,,-30.00M,-30.00M,-269.00M,0.00,-1.00M,-275.00M,,-5.00M,162.00M,157.00M,,-503.00M,-503.00M,,,,13.00M,-8.00M,-341.00M,,757.00M,-384.00M,-1.00M,372.00M,,,440.00M,-445.00M,-503.00M,,,,AOR,Restated
2014-03,231.00M,,,-11.00M,-11.00M,83.00M,350.00M,433.00M,433.00M,-35.00M,2.00M,,19.00M,11.00M,84.00M,,6.00M,,-81.00M,-418.00M,-409.00M,241.00M,,-28.00M,-28.00M,-16.00M,0.00,,-28.00M,,411.00M,0.00,411.00M,,-266.00M,-266.00M,,,,0.00,-5.00M,140.00M,,408.00M,353.00M,-4.00M,757.00M,,,415.00M,-4.00M,-266.00M,,,,AOR,Restated
2013-12,290.00M,0.00,0.00,-19.00M,-19.00M,86.00M,340.00M,426.00M,426.00M,-61.00M,-14.00M,,61.00M,28.00M,-83.00M,,65.00M,,-3.00M,-335.00M,-356.00M,355.00M,,-39.00M,-39.00M,-29.00M,0.00,-2.00M,-46.00M,,33.00M,,33.00M,,-336.00M,-336.00M,,,,12.00M,-48.00M,-339.00M,,439.00M,-30.00M,-1.00M,408.00M,,,12.00M,21.00M,-336.00M,,,,AOR,Restated
2013-09,256.00M,-19.00M,0.00,2.00M,-17.00M,80.00M,308.00M,388.00M,388.00M,5.00M,4.00M,,45.00M,4.00M,39.00M,,124.00M,,0.00,-388.00M,-225.00M,460.00M,,-22.00M,-22.00M,26.00M,0.00,0.00,23.00M,,-4.00M,0.00,-4.00M,,-704.00M,-704.00M,256.00M,256.00M,,26.00M,0.00,-426.00M,,375.00M,57.00M,7.00M,439.00M,,,0.00,-4.00M,-448.00M,,,,AOR,Restated
2013-06,300.00M,0.00,16.00M,9.00M,25.00M,78.00M,311.00M,389.00M,389.00M,5.00M,5.00M,,24.00M,-7.00M,1.00M,,-13.00M,,-2.00M,-388.00M,-402.00M,339.00M,,-28.00M,-28.00M,-1.773B,-16.00M,-1.00M,-1.814B,,-6.00M,0.00,-6.00M,,-265.00M,-265.00M,-256.00M,-256.00M,,28.00M,-3.00M,-502.00M,,2.36B,-1.977B,-8.00M,375.00M,,,0.00,-6.00M,-521.00M,,,,AOR,Restated
2013-03,231.00M,,39.00M,-88.00M,-49.00M,32.00M,231.00M,263.00M,263.00M,134.00M,5.00M,,60.00M,25.00M,-82.00M,,-70.00M,,-59.00M,-327.00M,-538.00M,131.00M,,-26.00M,-26.00M,-85.00M,-39.00M,,-150.00M,,1.175B,,1.175B,,0.00,0.00,,,,7.00M,,1.182B,,1.201B,1.163B,-4.00M,2.36B,,,1.186B,-11.00M,0.00,,,,AOR,Restated
2012-12,224.00M,0.00,,15.00M,15.00M,30.00M,227.00M,257.00M,257.00M,-10.00M,,,42.00M,-14.00M,-34.00M,,89.00M,,-6.00M,-255.00M,-206.00M,328.00M,,-24.00M,-24.00M,-418.00M,0.00,-6.00M,-448.00M,,6.00M,,6.00M,,-234.00M,-234.00M,,,,40.00M,-45.00M,-233.00M,,1.553B,-353.00M,1.00M,1.201B,,,11.00M,-5.00M,-234.00M,485.00M,244.00M,,AOR,Restated
2012-09,206.00M,6.00M,,24.00M,30.00M,26.00M,217.00M,243.00M,243.00M,11.00M,,,40.00M,8.00M,54.00M,,93.00M,,-2.00M,-301.00M,-156.00M,382.00M,,-29.00M,-29.00M,-28.00M,0.00,-24.00M,-81.00M,,-6.00M,,-6.00M,,-454.00M,-454.00M,0.00,0.00,,9.00M,3.00M,-448.00M,,1.698B,-147.00M,2.00M,1.553B,,,-2.00M,-4.00M,-454.00M,,,,AOR,Restated
2012-06,293.00M,,,9.00M,9.00M,31.00M,214.00M,245.00M,245.00M,-49.00M,,,31.00M,7.00M,-81.00M,,12.00M,,-13.00M,-313.00M,-395.00M,141.00M,,-3.00M,-3.00M,-69.00M,0.00,,-72.00M,,980.00M,,980.00M,,-404.00M,-404.00M,0.00,0.00,,12.00M,1.00M,589.00M,,1.044B,658.00M,-4.00M,1.698B,,,983.00M,-3.00M,-404.00M,-38.00M,-16.00M,,AOR,Restated
2012-03,222.00M,,,58.00M,58.00M,30.00M,207.00M,237.00M,237.00M,-22.00M,,,41.00M,11.00M,-9.00M,,-23.00M,,-24.00M,-243.00M,-299.00M,248.00M,,-21.00M,-21.00M,-38.00M,0.00,,-42.00M,,-10.00M,,-10.00M,,-288.00M,-288.00M,,,,58.00M,27.00M,-213.00M,,1.048B,-7.00M,3.00M,1.044B,,,0.00,-10.00M,-288.00M,38.00M,16.00M,,AOR,Restated
2011-12,337.00M,-129.00M,,43.00M,43.00M,,,875.00M,875.00M,-31.00M,52.00M,,29.00M,-642.00M,-71.00M,,-2.00M,653.00M,-19.00M,-884.00M,-323.00M,340.00M,,-16.00M,-16.00M,-177.00M,93.00M,,-79.00M,,-4.00M,,-4.00M,,-265.00M,-265.00M,,,,45.00M,-18.00M,-242.00M,,1.032B,19.00M,-3.00M,1.048B,,,0.00,-4.00M,-265.00M,288.00M,205.00M,,AOR,Restated
2011-09,237.00M,,,5.00M,5.00M,,,30.00M,30.00M,0.00,,,21.00M,256.00M,-99.00M,,124.00M,-223.00M,-15.00M,-7.00M,-220.00M,329.00M,,-15.00M,-15.00M,0.00,-11.00M,,-26.00M,,-5.00M,,-5.00M,-38.00M,-355.00M,-393.00M,,,,43.00M,1.00M,-354.00M,,1.095B,-51.00M,-12.00M,1.032B,,-38.00M,-2.00M,-3.00M,-355.00M,,,,AOR,Restated
2011-06,254.00M,129.00M,,4.00M,4.00M,,,30.00M,30.00M,71.00M,-185.00M,,32.00M,351.00M,-61.00M,,-47.00M,-222.00M,-26.00M,13.00M,-343.00M,214.00M,,-16.00M,-16.00M,0.00,-25.00M,2.00M,-39.00M,,638.00M,,638.00M,38.00M,-210.00M,-172.00M,,,,-10.00M,11.00M,467.00M,,453.00M,642.00M,0.00,1.095B,,38.00M,641.00M,-3.00M,-210.00M,-6.00M,-21.00M,,AOR,Restated
2011-03,305.00M,-129.00M,,13.00M,-116.00M,,,30.00M,30.00M,,185.00M,,17.00M,52.00M,124.00M,,-69.00M,-208.00M,-66.00M,-37.00M,-256.00M,217.00M,,-11.00M,-11.00M,,-57.00M,-2.00M,-70.00M,,-10.00M,,-10.00M,,-167.00M,-167.00M,,,,10.00M,-1.00M,-168.00M,,466.00M,-21.00M,8.00M,453.00M,,,,-10.00M,-167.00M,6.00M,21.00M,,AOR,Restated
2010-12,197.00M,,,,-451.00M,,,747.00M,747.00M,100.00M,,-11.00M,29.00M,-11.00M,-136.00M,,7.00M,,-30.00M,-218.00M,-377.00M,223.00M,,-20.00M,-20.00M,-127.00M,,71.00M,-76.00M,,-2.00M,,-2.00M,,-567.00M,-567.00M,,,,20.00M,-148.00M,-697.00M,,1.016B,-550.00M,0.00,466.00M,,,0.00,-2.00M,-567.00M,395.00M,365.00M,,AOR,Restated
2010-09,189.00M,,,,164.00M,,,33.00M,33.00M,-45.00M,,11.00M,59.00M,3.00M,-10.00M,,151.00M,,-5.00M,-195.00M,-59.00M,355.00M,,-9.00M,-9.00M,41.00M,,-47.00M,-15.00M,,-3.00M,,-3.00M,,-38.00M,-38.00M,,,,12.00M,-14.00M,-43.00M,,713.00M,297.00M,6.00M,1.016B,,,0.00,-3.00M,-38.00M,-178.00M,-263.00M,,AOR,Restated
2010-06,110.00M,,,,350.00M,,,33.00M,33.00M,-28.00M,-185.00M,,50.00M,38.00M,-84.00M,,-59.00M,170.00M,-74.00M,-357.00M,-404.00M,-36.00M,,-8.00M,-8.00M,-41.00M,15.00M,,-34.00M,,90.00M,,90.00M,,0.00,0.00,,,,6.00M,2.00M,98.00M,,691.00M,28.00M,-6.00M,713.00M,,,2.97B,-2.88B,0.00,133.00M,195.00M,,AOR,Restated
2010-03,173.00M,,,,,,,34.00M,34.00M,-16.00M,185.00M,,44.00M,17.00M,42.00M,,-100.00M,-170.00M,-49.00M,-34.00M,-311.00M,126.00M,,-12.00M,-12.00M,-38.00M,-15.00M,,-65.00M,,-8.00M,,-8.00M,,0.00,0.00,,,,9.00M,,1.00M,,623.00M,62.00M,6.00M,691.00M,,,,-8.00M,0.00,45.00M,68.00M,,AOR,Restated
2009-12,156.00M,,,,-2.00M,,,37.00M,37.00M,25.00M,,6.00M,32.00M,-502.00M,-38.00M,,60.00M,,-81.00M,614.00M,-203.00M,258.00M,,-14.00M,-14.00M,0.00,-7.00M,0.00,-21.00M,,-12.00M,,-12.00M,,0.00,0.00,,,,2.00M,-3.00M,-13.00M,,401.00M,224.00M,-2.00M,623.00M,,,0.00,-12.00M,0.00,82.00M,66.00M,,AOR,Restated
2009-09,104.00M,,,,0.00,-78.00M,-338.00M,-298.00M,-298.00M,-50.00M,,0.00,98.00M,531.00M,-16.00M,,-128.00M,,,-194.00M,-338.00M,47.00M,,-9.00M,-9.00M,0.00,-9.00M,0.00,-18.00M,,1.00M,,1.00M,,0.00,0.00,,,,26.00M,1.00M,28.00M,,339.00M,57.00M,5.00M,401.00M,,,492.00M,-491.00M,0.00,273.00M,61.00M,,AOR,Restated
2009-06,181.00M,,,,-265.00M,40.00M,172.00M,212.00M,212.00M,34.00M,,26.00M,61.00M,19.00M,-14.00M,,154.00M,,1.00M,-223.00M,-82.00M,186.00M,,-13.00M,-13.00M,0.00,9.00M,306.00M,302.00M,,-291.00M,-3.00M,-294.00M,,,,,,5.00M,0.00,-8.00M,-297.00M,,142.00M,191.00M,6.00M,339.00M,,,475.00M,-769.00M,,72.00M,58.00M,,AOR,Restated
2009-03,123.00M,,,,,38.00M,166.00M,204.00M,204.00M,-22.00M,,,37.00M,16.00M,31.00M,,-58.00M,,-1.00M,-179.00M,-207.00M,151.00M,,-19.00M,-19.00M,0.00,,-6.00M,-25.00M,,-69.00M,3.00M,-66.00M,,,,,,-5.00M,0.00,-3.00M,-74.00M,,94.00M,52.00M,-4.00M,142.00M,,,3.00M,-69.00M,,17.00M,60.00M,,AOR,Restated
2008-12,115.00M,67.00M,,,0.00,,,37.00M,37.00M,68.00M,,30.00M,-19.00M,68.00M,-16.00M,,-28.00M,,,85.00M,-153.00M,146.00M,,-18.00M,-18.00M,-126.00M,-24.00M,150.00M,-18.00M,,-119.00M,,-119.00M,,,,,,,0.00,3.00M,-116.00M,,92.00M,12.00M,-4.00M,100.00M,,,0.00,-119.00M,,,,,,Restated
2008-09,174.00M,-67.00M,,,-76.00M,,,68.00M,68.00M,45.00M,,0.00,-66.00M,27.00M,38.00M,,82.00M,,,-51.00M,69.00M,241.00M,,-42.00M,-42.00M,125.00M,0.00,11.00M,94.00M,,-189.00M,,-189.00M,,,,,,,0.00,-357.00M,-546.00M,,308.00M,-211.00M,-5.00M,92.00M,,,-92.00M,-97.00M,,,,,,Restated
2008-06,82.00M,,,,,,,64.00M,64.00M,31.00M,,0.00,55.00M,-2.00M,-41.00M,,-21.00M,,,-53.00M,-115.00M,115.00M,,-20.00M,-20.00M,-4.00M,0.00,2.00M,-22.00M,,-76.00M,,-76.00M,,,,,,,,1.00M,-75.00M,,292.00M,18.00M,-2.00M,308.00M,,,-67.00M,-9.00M,,,,,,Restated
2008-03,74.00M,,,,,,,63.00M,63.00M,46.00M,,,-36.00M,37.00M,-26.00M,,-79.00M,,,-12.00M,-117.00M,67.00M,,-22.00M,-22.00M,42.00M,24.00M,,44.00M,,-27.00M,,-27.00M,,,,,,,,-10.00M,-37.00M,,209.00M,74.00M,9.00M,292.00M,,,159.00M,-186.00M,,,,,,Restated
2007-12,-170.00M,,,,16.00M,,,18.00M,18.00M,-7.00M,,,,164.00M,8.00M,-7.00M,-2.00M,,,4.00M,3.00M,24.00M,,-11.00M,-11.00M,,28.00M,0.00,19.00M,,,,,9.00M,,9.00M,,,,,,8.00M,,157.00M,51.00M,,209.00M,,9.00M,,,,,,,,
2007-09,7.319M,,,,-158.01M,,,17.01M,17.01M,4.34M,,,,147.82M,-11.24M,1.839M,-7.461M,,,-4.00M,-20.87M,-2.379M,,-10.91M,-10.91M,,1.671M,-5.504M,-14.74M,,,,,-0.083M,,-0.083M,,,,,0.314M,0.231M,,174.66M,-16.89M,,157.00M,,-0.083M,,,,,,,,
2007-06,74.22M,,,,0.00,,,17.42M,17.42M,50.15M,,,,-125.74M,8.326M,-0.642M,9.09M,,,,16.77M,32.81M,,-11.69M,-11.69M,,-1.006M,0.276M,-12.42M,,,,,4.083M,,4.083M,,,,,-0.295M,3.788M,,150.48M,24.19M,,174.66M,,4.083M,,,,,,,,
2007-03,20.46M,,,,-6.992M,,,15.57M,15.57M,8.508M,,,,-21.08M,-1.082M,-1.197M,-11.63M,,,,-13.91M,2.565M,,-13.41M,-13.41M,,-0.665M,7.228M,-6.844M,,,,,,,,,,,,-0.019M,-0.019M,,154.78M,-4.298M,,150.48M,,,,,,,,,,
2006-12,5.284M,,,,83.57M,,,20.00M,20.00M,8.351M,,,,-103.74M,11.88M,4.73M,-5.213M,,,,11.39M,24.86M,,-26.78M,-20.78M,-0.207M,-0.948M,0.569M,-21.37M,,,,,,,,,,,,0.006M,0.006M,,151.85M,3.504M,,155.00M,,,,,,,,,,
2006-09,-76.63M,,,,-32.05M,,,16.04M,16.04M,13.47M,,,,93.58M,-21.71M,-3.763M,28.16M,,,,2.683M,17.09M,,-18.82M,-18.82M,0.00,-0.391M,1.175M,-18.04M,,,,,,,,,,,,-0.002M,-0.002M,,152.79M,-0.945M,,151.85M,,,,,,,,,,
