,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2009-09,-135.00M,8.00M,0.00,0.00,-58.00M,,,282.00M,282.00M,18.00M,-25.00M,0.00,17.00M,52.00M,-316.00M,-22.00M,31.00M,19.00M,,,-5.00M,-293.00M,-142.00M,,-97.00M,1.00M,-96.00M,0.00,-122.00M,-2.00M,-220.00M,,52.00M,,52.00M,0.00,,0.00,178.00M,178.00M,,,0.00,230.00M,,1.979B,-132.00M,,1.847B,,178.00M,227.00M,-175.00M,,,AOR,Restated
2009-06,-335.00M,4.00M,-1.00M,0.00,-3.00M,,,282.00M,282.00M,8.00M,-27.00M,3.00M,19.00M,38.00M,-108.00M,46.00M,-27.00M,-31.00M,,,-9.00M,-129.00M,-144.00M,,-112.00M,,-112.00M,0.00,-207.00M,2.00M,-317.00M,,33.00M,,33.00M,0.00,,0.00,0.00,0.00,,,5.00M,38.00M,,2.402B,-423.00M,,1.979B,,0.00,112.00M,-79.00M,,,AOR,Restated
2009-03,-414.00M,,,0.00,-136.00M,,,280.00M,280.00M,116.00M,-26.00M,,21.00M,21.00M,-187.00M,117.00M,-33.00M,-149.00M,,,-1.00M,-253.00M,-391.00M,,-84.00M,,-84.00M,0.00,-157.00M,62.00M,-179.00M,,1.046B,,1.046B,125.00M,,125.00M,1.091B,1.091B,,,-223.00M,2.039B,,933.00M,1.469B,,2.402B,,1.216B,1.151B,-105.00M,,,AOR,Restated
2008-12,-1.43B,0.00,,,-34.00M,,,303.00M,303.00M,147.00M,-35.00M,716.00M,21.00M,-9.00M,177.00M,195.00M,8.00M,-270.00M,,,-39.00M,71.00M,-250.00M,,-113.00M,0.00,-113.00M,,-58.00M,95.00M,51.00M,,58.00M,,58.00M,0.00,,0.00,0.00,0.00,,,-34.00M,24.00M,,1.108B,-175.00M,,933.00M,,0.00,126.00M,-68.00M,,,,Restated
2008-09,-127.00M,5.00M,,,5.00M,,,293.00M,293.00M,5.00M,-26.00M,137.00M,21.00M,-38.00M,-261.00M,-56.00M,22.00M,-202.00M,,,11.00M,-486.00M,-216.00M,,-82.00M,0.00,-82.00M,,15.00M,-75.00M,-142.00M,,70.00M,,70.00M,0.00,,0.00,0.00,0.00,,,86.00M,156.00M,,1.31B,-202.00M,,1.108B,,0.00,117.00M,-47.00M,,,,Restated
2008-06,-1.188B,-169.00M,,,-169.00M,,,310.00M,310.00M,-20.00M,-24.00M,911.00M,20.00M,8.00M,81.00M,-23.00M,78.00M,-218.00M,,,-8.00M,-90.00M,-242.00M,,-106.00M,290.00M,184.00M,,75.00M,3.00M,262.00M,,17.00M,,17.00M,0.00,,0.00,0.00,0.00,,,-131.00M,-114.00M,,1.404B,-94.00M,,1.31B,,0.00,65.00M,-48.00M,,,,Restated
2008-03,-351.00M,,,,,,,317.00M,317.00M,-50.00M,-22.00M,0.00,21.00M,-4.00M,104.00M,36.00M,-44.00M,14.00M,,,-5.00M,105.00M,16.00M,,-323.00M,53.00M,-270.00M,,89.00M,-17.00M,-198.00M,,-3.00M,,-3.00M,0.00,,0.00,0.00,0.00,,,157.00M,154.00M,,1.432B,-28.00M,,1.404B,,0.00,0.00,-3.00M,,,,Restated
2007-12,-1.772B,,,,45.00M,,,164.00M,164.00M,-41.00M,,,,1.781B,24.00M,27.00M,46.00M,-259.00M,,1.00M,45.00M,-116.00M,61.00M,,-266.00M,31.00M,-235.00M,157.00M,-87.00M,-161.00M,-326.00M,,,,-36.00M,624.00M,,624.00M,,,,,13.00M,601.00M,,1.096B,336.00M,,1.432B,,624.00M,,,,,,
2007-09,-396.00M,,,,151.00M,,,334.00M,334.00M,-10.00M,,,,-95.00M,-16.00M,55.00M,-65.00M,192.00M,,2.00M,71.00M,239.00M,223.00M,,-419.00M,41.00M,-378.00M,-13.00M,-22.00M,182.00M,-231.00M,,,,-62.00M,16.00M,,16.00M,,,,,-154.00M,-200.00M,,1.304B,-208.00M,,1.096B,,16.00M,,,,,,
2007-06,-600.00M,,,,-26.00M,,,326.00M,326.00M,25.00M,,,,50.00M,19.00M,46.00M,-64.00M,-353.00M,,-60.00M,2.00M,-410.00M,-635.00M,,-414.00M,0.00,-414.00M,13.00M,-126.00M,1.00M,-526.00M,,,,1.477B,16.00M,,16.00M,,,,,-19.00M,1.474B,,991.00M,313.00M,,1.304B,,16.00M,,,,,,
