,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,SECFilingLinks,AsOriginallyReported,Restated
2016-06,1.127B,80.00M,1.207B,13.18B,,13.18B,14.18B,,,881.00M,29.45B,,,,,,,,,9.981B,38.19B,13.64B,51.83B,,,1.49B,63.30B,92.75B,,2016-06,16.29B,7.244B,23.53B,745.00M,2.291B,3.036B,,3.036B,,26.57B,25.60B,,25.60B,4.26B,4.26B,,6.00M,0.00,1.553B,31.41B,57.98B,,36.65B,31.45B,33.04B,,-317.00M,2016-06,AOR,Restated
2016-03,1.779B,85.00M,1.864B,13.02B,,13.02B,13.91B,,,612.00M,29.41B,,,,,,,,,9.862B,38.12B,13.75B,51.86B,,,1.494B,63.22B,92.63B,,2016-03,15.89B,7.444B,23.34B,,,1.202B,,1.202B,,24.54B,26.27B,,26.27B,4.232B,4.232B,,6.00M,0.00,1.567B,32.07B,56.60B,,36.18B,31.25B,31.09B,,-339.00M,2016-03,AOR,Restated
2015-12,2.459B,88.00M,2.547B,11.89B,,11.89B,14.00B,,,722.00M,29.16B,0.00,1.635B,3.168B,12.22B,,4.015B,21.04B,-11.18B,9.855B,38.11B,13.88B,51.98B,,,1.44B,63.28B,92.44B,,2015-12,15.14B,6.829B,21.97B,0.00,1.197B,1.197B,,1.197B,,23.17B,26.27B,,26.27B,4.217B,4.217B,,7.00M,39.00M,1.542B,32.06B,55.23B,,35.51B,30.95B,28.92B,,-358.00M,2015-12,AOR,Restated
2015-09,2.89B,121.00M,3.011B,12.80B,,12.80B,13.28B,,1.077B,579.00M,30.75B,,,,,,,,,9.494B,37.14B,13.50B,50.64B,,,1.476B,61.61B,92.36B,,2015-09,14.35B,6.636B,20.98B,0.00,451.00M,451.00M,,451.00M,,21.43B,26.77B,,26.77B,5.449B,5.449B,,6.00M,,1.528B,33.75B,55.18B,,34.40B,31.00B,27.93B,,-316.00M,2015-09,AOR,Restated
2015-06,1.244B,160.00M,1.404B,10.89B,,10.89B,12.38B,,989.00M,732.00M,26.40B,,,,,,,,,9.019B,28.12B,9.683B,37.80B,,,1.443B,48.27B,74.67B,,2015-06,13.33B,5.543B,18.87B,1.488B,24.00M,1.512B,,1.512B,,20.39B,11.63B,,11.63B,4.026B,4.026B,,6.00M,,1.49B,17.15B,37.54B,,33.54B,30.84B,27.02B,,-255.00M,2015-06,AOR,Restated
2015-03,1.518B,116.00M,1.634B,10.16B,,10.16B,12.23B,,1.001B,594.00M,25.62B,,,,,,,,,8.871B,28.12B,9.759B,37.88B,,,1.555B,48.31B,73.93B,,2015-03,12.70B,5.936B,18.64B,500.00M,573.00M,1.073B,,1.073B,,19.71B,11.69B,,11.69B,4.02B,4.02B,,5.00M,,1.513B,17.22B,36.94B,,32.67B,30.24B,25.66B,,-264.00M,2015-03,AOR,Restated
2014-12,2.481B,34.00M,2.515B,9.687B,,9.687B,11.93B,,985.00M,866.00M,25.98B,0.00,1.506B,2.828B,10.83B,,3.626B,18.79B,-9.943B,8.843B,28.14B,9.774B,37.92B,,,1.445B,48.20B,74.19B,,2014-12,11.95B,5.816B,17.77B,685.00M,575.00M,1.26B,,1.26B,,19.03B,11.63B,,11.63B,4.036B,4.036B,,5.00M,0.00,1.531B,17.20B,36.22B,,31.85B,30.42B,24.11B,,-217.00M,2014-12,AOR,Restated
2014-09,1.132B,78.00M,1.21B,10.83B,,10.83B,11.61B,,1.042B,644.00M,25.34B,,,,,,,,,8.694B,28.15B,9.854B,38.00B,,,1.54B,48.24B,73.58B,,2014-09,11.43B,5.433B,16.87B,775.00M,572.00M,1.347B,,1.347B,,18.21B,11.71B,,11.71B,4.051B,4.051B,,5.00M,,1.494B,17.25B,35.47B,,30.84B,30.31B,22.91B,,-160.00M,2014-09,AOR,Restated
2014-06,1.612B,100.00M,1.712B,9.533B,,9.533B,11.36B,,979.00M,554.00M,24.14B,,,,,,,,,8.82B,28.13B,9.906B,38.03B,,,1.603B,48.46B,72.59B,,2014-06,10.70B,4.812B,15.51B,,,1.119B,,1.119B,,16.63B,12.25B,,12.25B,4.091B,4.091B,,2.00M,,1.489B,17.83B,34.46B,,30.22B,30.19B,22.16B,,-132.00M,2014-06,AOR,Restated
2014-03,2.766B,82.00M,2.848B,9.086B,,9.086B,11.19B,,929.00M,409.00M,24.46B,,,,,,,,,8.676B,28.14B,9.986B,38.12B,,,1.561B,48.36B,72.82B,,2014-03,10.52B,5.132B,15.65B,,,565.00M,,565.00M,,16.21B,12.84B,,12.84B,4.053B,4.053B,,2.00M,,1.499B,18.40B,34.61B,,29.30B,29.98B,20.95B,,-139.00M,2014-03,AOR,Restated
2013-12,4.089B,88.00M,4.177B,8.729B,,8.729B,11.04B,,902.00M,472.00M,25.32B,0.00,1.46B,2.694B,9.934B,,3.32B,17.41B,-8.793B,8.615B,26.54B,9.529B,36.07B,,,1.515B,46.20B,71.53B,,2013-12,10.10B,4.768B,14.86B,0.00,561.00M,561.00M,,561.00M,,15.42B,12.84B,,12.84B,3.901B,3.901B,,0.00,,1.421B,18.16B,33.59B,,28.49B,29.78B,20.20B,,-149.00M,2013-12,AOR,Restated
2013-09,1.505B,108.00M,1.613B,8.035B,,8.035B,10.82B,,558.00M,401.00M,21.43B,,,,,,,,,8.749B,26.55B,9.587B,36.14B,,,1.487B,46.37B,67.80B,,2013-09,9.772B,3.94B,13.71B,814.00M,572.00M,1.386B,,1.386B,,15.10B,8.819B,,8.819B,3.791B,3.791B,,,,1.563B,14.17B,29.27B,,27.55B,29.65B,18.49B,,-194.00M,2013-09,AOR,Restated
2013-06,1.174B,5.00M,1.179B,7.093B,,7.093B,10.58B,,606.00M,413.00M,19.87B,,,,,,,,,8.708B,26.55B,9.657B,36.21B,,,1.496B,46.42B,66.28B,,2013-06,9.171B,3.501B,12.67B,0.00,18.00M,18.00M,,18.00M,,12.69B,9.358B,,9.358B,3.796B,3.796B,,,,1.534B,14.69B,27.38B,,26.57B,29.53B,17.02B,,-198.00M,2013-06,AOR,Restated
2013-03,1.551B,5.00M,1.556B,6.635B,,6.635B,10.59B,,604.00M,340.00M,19.73B,,,,,,,,,8.556B,26.58B,9.738B,36.31B,,,1.472B,46.34B,66.07B,,2013-03,9.36B,3.523B,12.88B,300.00M,12.00M,312.00M,,312.00M,,13.20B,9.352B,,9.352B,3.774B,3.774B,,,,1.538B,14.66B,27.86B,,25.73B,29.30B,16.66B,,-182.00M,2013-03,AOR,Restated
2012-12,1.375B,5.00M,1.38B,6.479B,,6.479B,11.03B,,693.00M,577.00M,20.16B,0.00,1.429B,2.614B,9.158B,,3.105B,16.31B,-7.674B,8.632B,26.40B,9.753B,36.15B,,,1.28B,46.06B,66.22B,,2012-12,9.044B,4.411B,13.46B,690.00M,5.00M,695.00M,,695.00M,,14.15B,9.133B,,9.133B,3.784B,3.784B,,,,1.501B,14.42B,28.57B,,25.00B,29.12B,16.30B,,-181.00M,2012-12,AOR,Restated
2012-09,1.233B,5.00M,1.238B,6.407B,,6.407B,10.49B,,535.00M,212.00M,18.88B,,,,,,,,,8.369B,26.42B,9.801B,36.22B,,,1.325B,45.92B,64.80B,,2012-09,8.815B,3.618B,12.43B,,,830.00M,,830.00M,,13.26B,9.21B,,9.21B,3.894B,3.894B,,0.00,,1.513B,14.62B,27.88B,,24.12B,28.91B,15.94B,,-170.00M,2012-09,AOR,Restated
2012-06,1.823B,5.00M,1.828B,6.124B,,6.124B,10.43B,,535.00M,384.00M,19.30B,,,,,,,,,8.614B,26.42B,9.891B,36.32B,,,1.36B,46.29B,65.59B,,2012-06,8.551B,4.38B,12.93B,,,205.00M,,205.00M,,13.14B,9.208B,,9.208B,3.894B,3.894B,,0.00,,1.438B,14.54B,27.68B,,23.32B,28.74B,13.94B,,-171.00M,2012-06,AOR,Restated
2012-03,2.211B,5.00M,2.216B,6.109B,,6.109B,10.68B,,538.00M,351.00M,19.89B,,,,,,,,,8.517B,26.43B,9.799B,36.23B,,,1.368B,46.12B,66.01B,,2012-03,8.901B,4.506B,13.41B,,,5.00M,,5.00M,,13.41B,9.206B,,9.206B,3.875B,3.875B,,,,1.46B,14.54B,27.95B,,22.57B,28.45B,12.75B,,-171.00M,2012-03,AOR,Restated
2011-12,1.413B,5.00M,1.418B,6.047B,,6.047B,10.05B,,503.00M,580.00M,18.59B,0.00,1.295B,2.404B,8.68B,,3.021B,15.40B,-6.933B,8.467B,26.46B,9.869B,36.33B,,,1.155B,45.95B,64.54B,,2011-12,7.857B,3.293B,11.15B,750.00M,56.00M,806.00M,,806.00M,,11.96B,9.208B,,9.208B,3.853B,3.853B,,,30.00M,1.445B,14.54B,26.49B,,22.09B,28.13B,12.01B,,-172.00M,2011-12,AOR,Restated
2011-09,1.707B,5.00M,1.712B,5.901B,,5.901B,10.38B,,444.00M,502.00M,18.94B,,,,,,,,,8.642B,26.51B,9.947B,36.45B,,,1.218B,46.31B,65.25B,,2011-09,7.49B,4.259B,11.75B,,,601.00M,,601.00M,,12.35B,10.17B,,10.17B,3.868B,3.868B,,31.00M,,1.348B,15.38B,27.73B,,21.19B,27.99B,11.50B,,-152.00M,2011-09,AOR,Restated
2011-06,2.228B,5.00M,2.233B,5.892B,,5.892B,10.11B,,502.00M,327.00M,19.06B,,,,,,,,,8.483B,26.70B,10.02B,36.72B,,,1.22B,46.42B,65.49B,,2011-06,7.507B,3.329B,10.84B,,,916.00M,,916.00M,,11.75B,10.17B,,10.17B,3.948B,3.948B,,32.00M,,1.343B,15.46B,27.21B,,20.49B,27.90B,9.956B,,-153.00M,2011-06,AOR,Restated
2011-03,2.162B,6.00M,2.168B,5.348B,,5.348B,10.18B,,509.00M,174.00M,18.38B,,,,,,,,,8.35B,25.67B,9.692B,35.36B,,,740.00M,44.45B,62.83B,,2011-03,7.13B,3.229B,10.36B,,,1.106B,,1.106B,,11.46B,8.669B,,8.669B,3.71B,3.71B,,33.00M,,1.032B,13.41B,24.88B,,19.84B,27.71B,9.449B,,-143.00M,2011-03,AOR,Restated
2010-12,1.427B,4.00M,1.431B,4.925B,,4.925B,10.70B,,511.00M,144.00M,17.71B,0.00,1.247B,2.265B,7.905B,,2.866B,14.28B,-5.961B,8.322B,25.67B,9.784B,35.45B,,,688.00M,44.46B,62.17B,,2010-12,6.595B,3.07B,9.665B,,,1.405B,,1.405B,,11.07B,8.652B,,8.652B,3.655B,3.655B,,34.00M,,1.058B,13.36B,24.44B,,19.30B,27.61B,9.03B,,-143.00M,2010-12,AOR,Restated
2010-06,1.107B,4.00M,1.111B,5.101B,,5.101B,10.39B,,498.00M,171.00M,17.27B,,,,,,,,,8.248B,25.67B,9.949B,35.62B,,,385.00M,44.25B,61.52B,,2010-06,6.349B,2.603B,8.952B,,,2.507B,,2.507B,,11.46B,9.454B,,9.454B,3.633B,3.633B,,36.00M,,1.07B,14.16B,25.62B,,17.70B,27.41B,9.073B,,-133.00M,2010-06,AOR,Restated
2010-03,1.047B,4.00M,1.051B,5.149B,,5.149B,10.28B,,501.00M,179.00M,17.16B,,,,,,,,,8.044B,25.67B,10.04B,35.71B,,,374.00M,44.13B,61.28B,,2010-03,6.52B,2.898B,9.418B,,,2.919B,,2.919B,,12.34B,8.454B,,8.454B,3.655B,3.655B,,0.00,,1.144B,13.25B,25.59B,,17.00B,27.31B,8.454B,,-130.00M,2010-03,AOR,Restated
2009-12,1.086B,5.00M,1.091B,5.457B,,5.457B,10.34B,,506.00M,140.00M,17.54B,0.00,1.076B,2.02B,6.322B,853.00M,2.673B,12.94B,-5.021B,7.923B,25.68B,10.13B,35.81B,,,374.00M,44.10B,61.64B,,2009-12,6.635B,3.246B,9.881B,,,2.419B,,2.419B,,12.30B,8.756B,,8.756B,3.678B,3.678B,,0.00,,1.139B,13.57B,25.87B,,16.36B,27.20B,7.61B,,-135.00M,2009-12,AOR,Restated
2009-09,1.131B,4.70M,1.135B,5.693B,,5.693B,9.976B,,424.30M,169.50M,17.40B,,,,,,,,,8.277B,25.62B,10.20B,35.83B,,,377.60M,44.48B,61.88B,,2009-09,6.871B,2.626B,9.496B,,,3.204B,,3.204B,,12.70B,8.756B,,8.756B,3.596B,3.596B,,,,1.152B,13.50B,26.20B,,15.41B,27.11B,6.669B,,-143.70M,2009-09,AOR,Restated
2009-06,1.225B,,1.225B,5.520B,,5.520B,9.400B,,405.20M,220.80M,16.77B,,,,,,,,,8.120B,25.48B,10.30B,35.78B,,,364.10M,44.26B,61.04B,,2009-06,6.563B,2.469B,9.032B,,,3.732B,,3.732B,,12.76B,7.305B,,7.305B,3.707B,3.707B,,,,1.108B,12.12B,24.88B,,14.50B,27.01B,5.182B,,-141.00M,2009-06,AOR,Restated
2009-03,997.40M,,997.40M,5.358B,,5.358B,9.052B,,419.60M,261.00M,16.09B,,,,,,,,,8.325B,25.49B,10.37B,35.86B,,,385.40M,44.57B,60.66B,,2009-03,6.500B,2.927B,9.428B,,,2.071B,,2.071B,,11.50B,9.056B,,9.056B,3.704B,3.704B,,,,1.108B,13.87B,25.37B,,13.73B,26.92B,5.181B,,-141.90M,2009-03,AOR,Restated
2008-12,1.352B,0.00,1.352B,5.384B,,5.384B,9.153B,,435.00M,202.00M,16.53B,0.00,1.304B,1.525B,6.216B,666.00M,2.581B,12.29B,-4.167B,8.125B,25.49B,10.45B,35.94B,,,369.00M,44.43B,60.96B,,2008-12,6.615B,3.178B,9.793B,,,3.697B,,3.697B,,13.49B,8.057B,,8.057B,3.702B,3.702B,,0.00,,1.137B,12.90B,26.39B,,13.10B,27.28B,5.812B,191.00M,-143.00M,2008-12,,Restated
2008-09,1.282B,,1.282B,4.800B,,4.800B,8.345B,,360.20M,181.40M,14.97B,,,,,,,9.856B,-3.366B,6.490B,23.92B,10.20B,34.12B,,,371.00M,40.98B,55.95B,,2008-09,3.284B,2.492B,5.776B,,,1.679B,,1.679B,2.428B,9.884B,8.048B,,8.048B,3.446B,3.446B,,,,839.10M,12.33B,22.22B,,12.25B,27.25B,5.824B,195.50M,-147.20M,2008-09,,Restated
2008-06,615.70M,,615.70M,4.458B,,4.458B,8.001B,,360.40M,170.20M,13.61B,,,,,,,9.672B,-3.366B,6.305B,23.93B,10.27B,34.20B,,,359.30M,40.86B,54.47B,,2008-06,3.287B,2.251B,5.538B,,,1.027B,,1.027B,2.246B,8.811B,8.348B,,8.348B,3.438B,3.438B,,,,860.00M,12.65B,21.46B,,11.61B,27.21B,5.870B,197.90M,-148.00M,2008-06,,Restated
2008-03,818.20M,,818.20M,4.624B,,4.624B,7.989B,,342.20M,141.00M,13.91B,,,,,,,9.388B,-3.366B,6.022B,23.92B,10.34B,34.27B,,,364.90M,40.65B,54.57B,,2008-03,3.405B,2.505B,5.910B,,,1.389B,,1.389B,2.481B,9.780B,8.349B,,8.349B,3.430B,3.430B,,,,855.90M,12.64B,22.42B,,10.92B,27.02B,5.855B,200.60M,-148.90M,2008-03,,
2007-12,1.057B,27.50M,1.084B,4.580B,,4.580B,8.008B,,329.40M,148.10M,14.15B,0.00,586.40M,3.029B,5.422B,181.70M,,9.219B,-3.366B,5.853B,23.92B,10.43B,34.35B,,,367.80M,40.57B,54.72B,,2007-12,3.593B,2.557B,6.150B,,,2.132B,,2.132B,2.484B,10.77B,8.350B,,8.350B,3.426B,3.426B,,,,857.90M,12.63B,23.40B,,10.29B,26.83B,5.620B,203.00M,-395.50M,2007-12,,
2007-09,727.10M,27.50M,754.60M,4.513B,,4.513B,7.892B,,430.00M,146.30M,13.74B,,,,,,,8.769B,-2.694B,6.075B,23.42B,11.29B,34.71B,,,367.50M,41.16B,54.89B,,2007-09,3.414B,2.432B,5.846B,,,765.20M,,765.20M,2.471B,9.083B,8.395B,,8.395B,3.740B,3.740B,,,,887.90M,13.02B,22.11B,,9.574B,26.57B,3.126B,206.00M,-453.50M,2007-09,,
2007-06,812.30M,123.50M,935.80M,4.284B,,4.284B,7.749B,,415.20M,146.70M,13.53B,,,,,,,8.565B,-2.694B,5.871B,23.47B,11.38B,34.85B,,,355.10M,41.08B,54.61B,,2007-06,3.352B,2.512B,5.865B,,,1.000B,,1.000B,2.650B,9.516B,8.396B,,8.396B,3.772B,3.772B,,,,897.60M,13.07B,22.58B,,8.972B,26.45B,3.168B,208.30M,-454.30M,2007-06,,
2007-03,710.70M,27.50M,738.20M,4.485B,,4.485B,7.427B,,427.70M,153.70M,13.23B,,,,,,,8.369B,-2.694B,5.675B,28.53B,3.305B,31.84B,,,290.50M,37.80B,51.04B,,2007-03,3.371B,2.756B,6.127B,,,3.915B,,3.915B,2.569B,12.61B,2.895B,,2.895B,594.20M,594.20M,,,,903.50M,4.393B,17.00B,,8.341B,26.22B,606.50M,210.90M,-153.90M,2007-03,,
2006-12,530.70M,,530.70M,2.382B,,2.382B,7.109B,,274.30M,100.20M,10.40B,0.00,601.30M,2.630B,4.347B,448.40M,,8.028B,-2.694B,5.334B,3.195B,1.318B,4.513B,,90.80M,240.50M,10.18B,20.57B,,2006-12,2.522B,1.950B,4.472B,,,2.187B,,2.187B,346.30M,7.005B,2.870B,,2.870B,,,,,,781.10M,3.652B,10.66B,,7.967B,2.198B,314.50M,213.30M,-154.70M,2006-12,,
