,NetIncome,Gain/LossonSaleBusiness,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported
2018-03,998.00M,,,,644.00M,644.00M,62.00M,,55.00M,55.00M,-857.00M,464.00M,58.00M,-57.00M,988.00M,,596.00M,2.355B,,2018-03,-482.00M,-482.00M,372.00M,-23.00M,2.00M,-131.00M,,2018-03,39.38B,-1.276B,,,,-508.00M,-508.00M,107.00M,442.00M,38.14B,,2018-03,1.90B,40.36B,42.26B,,2018-03,,-1.277B,,,,,2018-03,AOR
2017-12,3.287B,,0.00,0.00,622.00M,622.00M,-1.605B,46.00M,61.00M,-255.00M,-661.00M,-1.134B,-290.00M,-126.00M,,-389.00M,-2.60B,-136.00M,,2017-12,-506.00M,-526.00M,-720.00M,-97.00M,,-1.31B,,2017-12,0.00,1.166B,,0.00,0.00,-510.00M,-510.00M,15.00M,-1.00M,670.00M,,2017-12,2.675B,-776.00M,1.90B,,2017-12,,1.166B,0.00,,,,2017-12,AOR
2017-09,1.285B,,187.00M,187.00M,615.00M,615.00M,250.00M,0.00,65.00M,65.00M,-166.00M,128.00M,475.00M,-181.00M,,-47.00M,209.00M,2.611B,,2017-09,-524.00M,-252.00M,-186.00M,5.00M,,-433.00M,,2017-09,0.00,-990.00M,,-400.00M,-400.00M,-511.00M,-511.00M,125.00M,-10.00M,-1.786B,,2017-09,2.283B,392.00M,2.675B,,2017-09,,-990.00M,-400.00M,,,,2017-09,AOR
2017-06,1.098B,,,,623.00M,623.00M,7.00M,135.00M,53.00M,188.00M,-162.00M,36.00M,216.00M,43.00M,,-50.00M,83.00M,1.999B,,2017-06,-431.00M,-423.00M,-182.00M,8.00M,,-597.00M,,2017-06,0.00,-668.00M,,-340.00M,-340.00M,-512.00M,-512.00M,68.00M,-50.00M,-1.502B,,2017-06,2.383B,-100.00M,2.283B,,2017-06,,-668.00M,-340.00M,,,,2017-06,AOR
2017-03,953.00M,,,,619.00M,619.00M,14.00M,,55.00M,55.00M,48.00M,456.00M,1.309B,-74.00M,,153.00M,1.892B,3.533B,,2017-03,-457.00M,-452.00M,-93.00M,8.00M,,-537.00M,,2017-03,0.00,-106.00M,,-3.621B,-3.621B,-516.00M,-516.00M,121.00M,-11.00M,-4.133B,,2017-03,3.52B,-1.137B,2.383B,,2017-03,,-106.00M,-3.621B,,,,2017-03,AOR
2016-12,1.707B,,,0.00,628.00M,628.00M,-101.00M,,56.00M,-31.00M,1.471B,-405.00M,-1.549B,-10.00M,,37.00M,-304.00M,2.121B,,2016-12,-617.00M,-639.00M,-191.00M,-25.00M,,-818.00M,,2016-12,-758.00M,1.534B,,-461.00M,-461.00M,-456.00M,-456.00M,19.00M,1.00M,-121.00M,,2016-12,2.189B,1.182B,3.52B,,2016-12,,-758.00M,-461.00M,,,,2016-12,AOR
2016-09,1.541B,,,101.00M,611.00M,611.00M,44.00M,,59.00M,59.00M,-435.00M,-170.00M,2.00B,172.00M,,11.00M,1.578B,3.934B,,2016-09,-505.00M,-264.00M,-165.00M,8.00M,,-421.00M,,2016-09,-1.606B,-405.00M,,-40.00M,-40.00M,-455.00M,-455.00M,84.00M,-29.00M,-2.451B,,2016-09,1.127B,1.062B,2.189B,,2016-09,,-1.606B,-40.00M,,,,2016-09,AOR
2016-06,924.00M,,,542.00M,619.00M,619.00M,58.00M,,50.00M,50.00M,-148.00M,-256.00M,153.00M,-276.00M,,-19.00M,-546.00M,1.647B,,2016-06,-504.00M,-495.00M,-117.00M,14.00M,,-598.00M,,2016-06,-124.00M,745.00M,,-1.894B,-1.894B,-459.00M,-459.00M,89.00M,-59.00M,-1.702B,,2016-06,1.779B,-653.00M,1.127B,,2016-06,,-3.579B,-1.894B,,,,2016-06,AOR
2016-03,1.147B,,,,617.00M,617.00M,17.00M,,57.00M,57.00M,-1.131B,89.00M,1.566B,106.00M,,-29.00M,601.00M,2.439B,,2016-03,-598.00M,-596.00M,-51.00M,14.00M,,-633.00M,,2016-03,,,,-2.066B,-2.066B,-470.00M,-470.00M,104.00M,-55.00M,-2.487B,,2016-03,2.459B,-681.00M,1.779B,,2016-03,,,-2.066B,,,,2016-03,AOR
2015-12,1.499B,,,,582.00M,582.00M,-68.00M,,55.00M,-189.00M,936.00M,-248.00M,1.165B,-236.00M,,27.00M,1.644B,3.698B,,2015-12,-877.00M,-493.00M,-1.972B,45.00M,,-2.42B,,2015-12,-7.00M,0.00,,-1.13B,-1.13B,-391.00M,-391.00M,85.00M,-254.00M,-1.697B,,2015-12,2.89B,-419.00M,2.459B,,2015-12,,-4.00M,-1.13B,,,,2015-12,AOR
2015-09,1.247B,,,,532.00M,532.00M,-190.00M,,87.00M,87.00M,-1.319B,-428.00M,1.419B,460.00M,,12.00M,144.00M,1.82B,,2015-09,-548.00M,-534.00M,-9.391B,15.00M,,-9.91B,,2015-09,12.46B,-1.488B,,-937.00M,-937.00M,-391.00M,-391.00M,66.00M,33.00M,9.743B,,2015-09,1.244B,1.653B,2.89B,,2015-09,,-3.033B,-937.00M,,,,2015-09,AOR
2015-06,1.272B,,,,488.00M,488.00M,37.00M,,44.00M,44.00M,-730.00M,-152.00M,233.00M,-138.00M,,-17.00M,-804.00M,1.037B,,2015-06,-523.00M,-508.00M,-51.00M,13.00M,,-546.00M,,2015-06,-550.00M,988.00M,,-927.00M,-927.00M,-395.00M,-395.00M,85.00M,38.00M,-761.00M,,2015-06,1.518B,-270.00M,1.244B,,2015-06,,-365.00M,-927.00M,,,,2015-06,AOR
2015-03,1.221B,,,,490.00M,490.00M,-31.00M,,44.00M,44.00M,-481.00M,-313.00M,909.00M,269.00M,,-124.00M,260.00M,1.984B,,2015-03,-419.00M,-386.00M,-61.00M,-97.00M,,-544.00M,,2015-03,,-185.00M,,-2.007B,-2.007B,-399.00M,-399.00M,126.00M,59.00M,-2.406B,,2015-03,2.481B,-966.00M,1.518B,,2015-03,,-185.00M,-2.007B,,,,2015-03,AOR
2014-12,1.321B,,,0.00,489.00M,489.00M,6.00M,,44.00M,44.00M,1.135B,-321.00M,904.00M,-223.00M,,68.00M,1.563B,3.423B,,2014-12,-700.00M,-510.00M,-47.00M,46.00M,,-511.00M,,2014-12,-14.00M,-90.00M,,-1.20B,-1.20B,-317.00M,-317.00M,43.00M,17.00M,-1.561B,,2014-12,1.132B,1.351B,2.481B,,2014-12,,-14.00M,-1.20B,,,,2014-12,AOR
2014-09,948.00M,,,521.00M,477.00M,477.00M,-108.00M,,44.00M,44.00M,-1.288B,-214.00M,1.344B,-86.00M,,7.00M,-237.00M,1.645B,,2014-09,-545.00M,-221.00M,-144.00M,16.00M,,-349.00M,,2014-09,-1.562B,775.00M,,-800.00M,-800.00M,-324.00M,-324.00M,112.00M,24.00M,-1.775B,,2014-09,1.612B,-479.00M,1.132B,,2014-09,,-3.045B,-800.00M,,,,2014-09,AOR
2014-06,1.246B,,,,488.00M,488.00M,28.00M,,42.00M,42.00M,-445.00M,-171.00M,-147.00M,-144.00M,,0.00,-907.00M,897.00M,,2014-06,-503.00M,-501.00M,-54.00M,-70.00M,,-625.00M,,2014-06,-41.00M,,,-1.20B,-1.20B,-322.00M,-322.00M,112.00M,28.00M,-1.423B,,2014-06,2.766B,-1.151B,1.612B,,2014-06,,-41.00M,-1.20B,,,,2014-06,AOR
2014-03,1.129B,,,,477.00M,477.00M,16.00M,,35.00M,35.00M,-139.00M,-64.00M,701.00M,70.00M,,-53.00M,515.00M,2.172B,,2014-03,-388.00M,-378.00M,-2.194B,12.00M,,-2.56B,,2014-03,,,,-801.00M,-801.00M,-325.00M,-325.00M,154.00M,37.00M,-935.00M,,2014-03,4.089B,-1.323B,2.766B,,2014-03,,,-801.00M,,,,2014-03,AOR
2013-12,1.265B,,,,458.00M,458.00M,-215.00M,,40.00M,40.00M,-692.00M,91.00M,722.00M,-71.00M,,-60.00M,-10.00M,1.538B,,2013-12,-654.00M,-169.00M,-61.00M,17.00M,,-213.00M,,2013-12,3.964B,-814.00M,,-1.704B,-1.704B,-268.00M,-268.00M,69.00M,14.00M,1.261B,,2013-12,1.505B,2.586B,4.089B,,2013-12,,-690.00M,-1.704B,,,,2013-12,AOR
2013-09,1.249B,,,,461.00M,461.00M,47.00M,,35.00M,35.00M,-943.00M,-271.00M,1.076B,11.00M,,38.00M,-89.00M,1.703B,,2013-09,-526.00M,-368.00M,-54.00M,-107.00M,,-529.00M,,2013-09,0.00,814.00M,,-1.524B,-1.524B,-276.00M,-276.00M,122.00M,14.00M,-850.00M,,2013-09,1.174B,324.00M,1.505B,,2013-09,,690.00M,-1.524B,,,,2013-09,AOR
2013-06,1.124B,,,,449.00M,449.00M,16.00M,,32.00M,32.00M,-462.00M,6.00M,-187.00M,-73.00M,,-3.00M,-719.00M,902.00M,,2013-06,-486.00M,-480.00M,-46.00M,0.00,,-526.00M,,2013-06,0.00,-300.00M,,-355.00M,-355.00M,-276.00M,-276.00M,159.00M,21.00M,-751.00M,,2013-06,1.551B,-375.00M,1.174B,,2013-06,,-300.00M,-355.00M,,,,2013-06,AOR
2013-03,954.00M,,,,502.00M,502.00M,66.00M,,34.00M,34.00M,-113.00M,186.00M,-116.00M,238.00M,,-111.00M,84.00M,1.64B,,2013-03,-318.00M,-313.00M,-254.00M,0.00,,-567.00M,,2013-03,,-390.00M,,-393.00M,-393.00M,-277.00M,-277.00M,150.00M,13.00M,-897.00M,,2013-03,1.375B,176.00M,1.551B,,2013-03,,-390.00M,-393.00M,,,,2013-03,AOR
2012-12,1.116B,,,,456.00M,456.00M,-198.00M,,35.00M,35.00M,-91.00M,-267.00M,669.00M,-422.00M,,85.00M,-26.00M,1.731B,,2012-12,-716.00M,-591.00M,-75.00M,0.00,,-666.00M,,2012-12,-423.00M,-135.00M,,-329.00M,-329.00M,-202.00M,-202.00M,159.00M,7.00M,-923.00M,,2012-12,1.233B,142.00M,1.375B,,2012-12,,-1.722B,-329.00M,,,,2012-12,AOR
2012-09,1.006B,,,,443.00M,443.00M,4.00M,,33.00M,33.00M,-283.00M,-59.00M,-506.00M,171.00M,,114.00M,-563.00M,923.00M,,2012-09,-496.00M,-69.00M,-29.00M,0.00,,-98.00M,,2012-09,-2.00M,625.00M,,-2.003B,-2.003B,-207.00M,-207.00M,159.00M,13.00M,-1.415B,,2012-09,1.823B,-590.00M,1.233B,,2012-09,,548.00M,-2.003B,,,,2012-09,AOR
2012-06,965.00M,,,,431.00M,431.00M,62.00M,,28.00M,28.00M,57.00M,249.00M,-544.00M,-32.00M,,15.00M,-255.00M,1.231B,,2012-06,-442.00M,-442.00M,-200.00M,,,-642.00M,,2012-06,-2.00M,200.00M,,-1.188B,-1.188B,-209.00M,-209.00M,240.00M,-18.00M,-977.00M,,2012-06,2.211B,-388.00M,1.823B,,2012-06,,198.00M,-1.188B,,,,2012-06,AOR
2012-03,775.00M,,,,423.00M,423.00M,21.00M,,36.00M,36.00M,-70.00M,-776.00M,2.294B,286.00M,,-203.00M,1.531B,2.786B,,2012-03,-376.00M,-376.00M,-67.00M,,,-443.00M,,2012-03,-52.00M,-750.00M,,-810.00M,-810.00M,-211.00M,-211.00M,278.00M,,-1.545B,,2012-03,1.413B,798.00M,2.211B,,2012-03,,-802.00M,-810.00M,,,,2012-03,AOR
2011-12,1.064B,,,,396.00M,396.00M,10.00M,,35.00M,35.00M,-269.00M,270.00M,-463.00M,-247.00M,,78.00M,-631.00M,821.00M,,2011-12,-704.00M,-109.00M,215.00M,58.00M,-11.00M,153.00M,,2011-12,-973.00M,220.00M,,-448.00M,-448.00M,,-166.00M,90.00M,9.00M,-1.268B,,2011-12,1.707B,-294.00M,1.413B,,2011-12,,-973.00M,-448.00M,,,,2011-12,AOR
2011-09,867.00M,,,,407.00M,407.00M,5.00M,,35.00M,35.00M,-7.00M,-268.00M,920.00M,-9.00M,,12.00M,648.00M,1.962B,,2011-09,-458.00M,-457.00M,-40.00M,0.00,0.00,-497.00M,,2011-09,-847.00M,530.00M,,-1.582B,-1.582B,,-167.00M,77.00M,3.00M,-1.986B,,2011-09,2.228B,-521.00M,1.707B,,2011-09,,-547.00M,-1.582B,,,,2011-09,AOR
2011-06,815.00M,,,,391.00M,391.00M,59.00M,,29.00M,29.00M,-49.00M,70.00M,85.00M,-134.00M,,-59.00M,-87.00M,1.207B,,2011-06,-401.00M,-413.00M,-1.355B,1.00M,0.00,-1.767B,,2011-06,1.462B,-300.00M,,-504.00M,-504.00M,,-170.00M,157.00M,-19.00M,626.00M,,2011-06,2.162B,66.00M,2.228B,,2011-06,,-301.00M,-504.00M,-169.00M,-150.00M,,2011-06,AOR
2011-03,712.00M,,,,374.00M,374.00M,70.00M,,36.00M,36.00M,-423.00M,514.00M,691.00M,-30.00M,,-78.00M,674.00M,1.866B,,2011-03,-309.00M,-297.00M,-11.00M,-2.00M,11.00M,-299.00M,,2011-03,-301.00M,0.00,,-467.00M,-467.00M,,-171.00M,107.00M,,-832.00M,,2011-03,1.427B,735.00M,2.162B,,2011-03,,-301.00M,-467.00M,169.00M,150.00M,,2011-03,AOR
2010-12,1.025B,,,,373.00M,373.00M,-13.00M,,38.00M,38.00M,186.00M,-110.00M,463.00M,37.00M,,-224.00M,352.00M,1.775B,,2010-12,-626.00M,-109.00M,-19.00M,0.00,-124.00M,-252.00M,,2010-12,-1.00M,-1.084B,,0.00,0.00,,-119.00M,114.00M,15.00M,-1.075B,,2010-12,979.00M,448.00M,1.427B,,2010-12,,-16.00M,0.00,,,,2010-12,AOR
2010-09,808.00M,,,,370.00M,370.00M,63.00M,,37.00M,37.00M,-10.00M,-196.00M,224.00M,-10.00M,,6.00M,14.00M,1.292B,,2010-09,-513.00M,-499.00M,-133.00M,0.00,124.00M,-508.00M,,2010-09,-351.00M,-468.00M,,0.00,0.00,,-119.00M,26.00M,0.00,-912.00M,,2010-09,1.107B,-128.00M,979.00M,,2010-09,,-351.00M,0.00,,,,2010-09,AOR
2010-06,821.00M,,,,368.00M,368.00M,-22.00M,,38.00M,38.00M,48.00M,-114.00M,-453.00M,8.00M,,-42.00M,-553.00M,652.00M,,2010-06,-465.00M,-467.00M,-16.00M,0.00,,-483.00M,,2010-06,-759.00M,1.337B,,-613.00M,-613.00M,,-119.00M,48.00M,-3.00M,-109.00M,,2010-06,1.047B,60.00M,1.107B,,2010-06,,-1.75B,-613.00M,,,,2010-06,AOR
2010-03,770.00M,,,,358.00M,358.00M,2.00M,,37.00M,37.00M,308.00M,68.00M,-450.00M,-39.00M,,6.00M,-107.00M,1.06B,,2010-03,-401.00M,-389.00M,-9.00M,1.00M,,-397.00M,,2010-03,-1.00M,200.00M,,-887.00M,-887.00M,,-122.00M,97.00M,11.00M,-702.00M,,2010-03,1.086B,-39.00M,1.047B,,2010-03,,-1.00M,-887.00M,,,,2010-03,AOR
2009-12,1.05B,,,,352.00M,352.00M,-21.00M,,52.00M,52.00M,235.00M,-367.00M,492.00M,60.00M,,-48.00M,372.00M,1.805B,,2009-12,-796.00M,-780.00M,-58.00M,0.00,814.00M,-24.00M,,2009-12,-1.00M,-785.00M,,-938.00M,-938.00M,,-108.00M,14.00M,-7.00M,-1.825B,,2009-12,1.13B,-44.00M,1.086B,,2009-12,,-1.00M,-938.00M,,,,2009-12,AOR
2009-09,1.021B,,,,301.00M,301.00M,8.00M,,38.00M,38.00M,-185.00M,-577.00M,242.00M,19.00M,-47.00M,87.00M,-461.00M,907.00M,,2009-09,-661.00M,-660.00M,-17.00M,-508.00M,748.00M,-437.00M,,2009-09,1.149B,-228.00M,,-1.539B,-1.539B,,-110.00M,145.00M,18.00M,-565.00M,,2009-09,1.225B,-95.00M,1.13B,,2009-09,,-651.00M,-1.539B,,,,2009-09,AOR
2009-06,887.00M,,,,382.00M,382.00M,27.00M,,53.00M,53.00M,-162.00M,-348.00M,-411.00M,34.00M,47.00M,43.00M,-797.00M,552.00M,,2009-06,-625.00M,-621.00M,-39.00M,503.00M,-6.00M,-163.00M,,2009-06,0.00,-90.00M,,,,,-111.00M,36.00M,4.00M,-161.00M,,2009-06,997.00M,228.00M,1.225B,,2009-06,,1.625B,,,,,2009-06,AOR
2009-03,738.00M,,,,354.00M,354.00M,34.00M,,22.00M,22.00M,26.00M,93.00M,-385.00M,-65.00M,,-46.00M,-377.00M,771.00M,,2009-03,-466.00M,-464.00M,13.00M,,6.00M,-445.00M,,2009-03,999.00M,-1.626B,,0.00,0.00,,-110.00M,55.00M,1.00M,-681.00M,,2009-03,1.352B,-355.00M,997.00M,,2009-03,,-1.626B,0.00,,,,2009-03,AOR
2008-12,952.70M,,,,353.80M,353.80M,-27.10M,,24.30M,24.30M,-71.30M,-150.90M,605.20M,73.90M,1.00M,7.10M,465.00M,1.769B,,2008-12,-696.80M,-691.40M,-2.623B,204.50M,-196.90M,-3.307B,,2008-12,0.00,1.709B,,0.00,0.00,,-112.50M,14.30M,-2.30M,1.608B,,2008-12,1.282B,70.30M,1.352B,,2008-12,,750.00M,0.00,,,,2008-12,
2008-09,736.00M,,,,310.90M,310.90M,32.20M,,5.90M,5.90M,-341.60M,-344.00M,419.40M,-12.60M,,-20.00M,-298.80M,786.20M,,2008-09,-513.90M,-500.30M,-55.40M,18.00M,127.30M,-410.40M,,2008-09,349.30M,2.00M,,0.00,0.00,,-98.40M,34.80M,3.10M,290.80M,,2008-09,615.70M,666.60M,1.282B,,2008-09,,1.30M,0.00,,,,2008-09,
2008-06,774.80M,,,,310.00M,310.00M,-6.50M,,61.80M,48.60M,165.70M,-11.90M,-714.70M,-34.40M,108.00M,11.70M,-475.60M,651.30M,,2008-06,-569.00M,-573.80M,11.60M,-18.00M,64.30M,-515.90M,,2008-06,-1.30M,-1.105B,-170.10M,-23.00M,-193.10M,,-86.20M,278.90M,25.10M,-337.90M,,2008-06,818.20M,-202.50M,615.70M,,2008-06,-170.10M,-1.106B,-23.00M,,,,2008-06,
2008-03,748.50M,,,,299.30M,299.30M,-1.60M,,,13.20M,-43.80M,18.80M,-190.90M,4.10M,-108.00M,1.20M,-318.60M,740.80M,,2008-03,-400.30M,-395.50M,15.90M,27.50M,5.30M,-346.80M,,2008-03,,,170.10M,,170.10M,,-85.90M,,27.10M,-632.40M,,2008-03,1.057B,-238.40M,818.20M,,2008-03,170.10M,,,,,,2008-03,
2007-12,815.00M,,,,276.10M,276.10M,78.40M,,,18.70M,-57.50M,-114.60M,187.40M,-37.90M,219.10M,-27.70M,168.80M,1.357B,,2007-12,-572.60M,-571.70M,-22.10M,,563.80M,-30.00M,,2007-12,,,199.50M,-2.504B,-2.304B,,-101.80M,,49.00M,-997.50M,,2007-12,727.10M,329.50M,1.057B,,2007-12,199.50M,,-2.504B,,,,2007-12,
2007-09,689.50M,,,,301.70M,301.70M,-33.00M,,,12.30M,-229.30M,-142.50M,-77.80M,-1.40M,-52.20M,-21.80M,-525.00M,445.50M,,2007-09,-454.70M,-436.10M,-19.90M,96.00M,13.80M,-346.20M,,2007-09,,,121.60M,-0.70M,120.90M,,-88.20M,,18.70M,-184.50M,,2007-09,812.30M,-85.20M,727.10M,,2007-09,121.60M,,-0.70M,,,,2007-09,
2007-06,723.60M,,,,308.00M,308.00M,14.90M,,,24.70M,367.60M,-321.00M,-102.70M,0.90M,-287.30M,-9.20M,-351.70M,719.50M,,2007-06,-466.10M,-393.20M,33.70M,-96.00M,13.80M,-441.70M,,2007-06,,,174.40M,-2.866B,-2.692B,,-92.10M,,22.40M,-176.20M,,2007-06,710.70M,101.60M,812.30M,,2007-06,174.40M,,-2.866B,,,,2007-06,
2007-03,408.90M,,,,208.80M,208.80M,-20.20M,,,22.30M,198.90M,130.10M,-188.30M,-20.80M,-47.80M,15.80M,87.90M,707.70M,,2007-03,-311.90M,-298.70M,-1.975B,,9.90M,-2.264B,,2007-03,,,56.90M,,56.90M,,-40.30M,,7.70M,1.736B,,2007-03,530.70M,180.00M,710.70M,,2007-03,56.90M,,,,,,2007-03,
2006-12,417.20M,,,,201.40M,201.40M,45.30M,,,19.30M,-180.10M,-107.40M,49.20M,12.10M,321.80M,-29.60M,66.00M,749.20M,,2006-12,-652.80M,-642.50M,-23.20M,,1.376B,709.80M,,2006-12,,,31.90M,,31.90M,,-45.80M,,11.10M,-1.323B,,2006-12,394.60M,136.10M,530.70M,,2006-12,31.90M,,,,,,2006-12,
2006-09,284.20M,,,,193.40M,193.40M,15.30M,,,18.80M,-176.90M,-355.70M,107.80M,-3.30M,201.50M,-15.50M,-242.10M,269.60M,,2006-09,-453.30M,-448.80M,-204.60M,,-5.20M,-658.60M,,2006-09,,,72.50M,,72.50M,,-31.80M,,13.60M,251.30M,,2006-09,532.30M,-137.70M,394.60M,,2006-09,72.50M,,,,,,2006-09,
2006-06,337.90M,,,-15.50M,183.10M,183.10M,15.40M,,,31.80M,-7.70M,-176.00M,269.50M,-15.70M,-66.30M,-4.60M,-0.80M,551.90M,,2006-06,-379.10M,-368.80M,-3.981B,,,-4.350B,,2006-06,,,21.80M,,21.80M,,-31.70M,,7.40M,3.943B,,2006-06,387.10M,145.20M,532.30M,,2006-06,21.80M,,,,,,2006-06,
