,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,TotalReceivables,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2015-06,,8.426B,,8.426B,899.00M,,899.00M,,,,9.325B,,,,,,,,,510.10M,,,2.286B,4.285B,,106.30M,157.60M,7.345B,16.67B,,94.20M,,,319.90M,,319.90M,,,,,,,319.90M,2.204B,,2.204B,261.10M,261.10M,428.80M,628.40M,71.70M,671.40M,,2015-06,61.50M,12.28B,,12.09B,,2015-06,AOR,Restated
2015-03,,8.122B,,8.122B,919.10M,,919.10M,,,,9.041B,,,,,,,,,516.90M,,,2.288B,4.384B,,95.60M,165.80M,7.450B,16.49B,,94.60M,,,314.60M,,314.60M,,,,,,,314.60M,2.478B,,2.478B,258.00M,258.00M,317.80M,608.00M,54.40M,638.80M,,2015-03,61.90M,12.05B,,11.82B,,2015-03,AOR,Restated
2014-12,,7.885B,,7.885B,926.70M,,926.70M,,,,8.812B,,,,,,,,,523.40M,,,2.308B,4.404B,,77.60M,172.00M,7.485B,16.30B,,406.70M,192.60M,,793.50M,,793.50M,,,,,,,793.50M,2.100B,,2.100B,259.70M,259.70M,238.90M,598.70M,74.00M,676.70M,,2014-12,62.20M,11.67B,,11.56B,,2014-12,AOR,Restated
2014-09,,7.596B,,7.596B,950.00M,,950.00M,,,,8.546B,562.30M,74.30M,,693.50M,,,1.330B,-799.40M,530.70M,1.691B,634.90M,2.326B,4.678B,,98.10M,178.20M,7.811B,16.36B,,76.90M,,,314.40M,,314.40M,,,,,,,314.40M,2.149B,,2.149B,259.30M,259.30M,465.10M,628.30M,234.80M,722.10M,,2014-09,62.30M,11.64B,,11.58B,,2014-09,AOR,Restated
2014-06,,7.698B,,7.698B,999.10M,3.70M,1.003B,,,,8.700B,,,,,,,,,542.10M,,,2.349B,4.802B,,129.20M,169.30M,7.992B,16.69B,,,,,302.60M,,302.60M,,,,,,,302.60M,2.190B,,2.190B,265.00M,265.00M,435.80M,625.60M,183.70M,1.394B,,2014-06,62.50M,11.21B,,11.30B,,2014-06,AOR,Restated
2014-03,,6.911B,,6.911B,987.60M,3.80M,991.40M,,,,8.121B,,,,,,,,,553.50M,,,2.347B,4.828B,,118.80M,169.50M,8.017B,16.14B,,,,,261.50M,,261.50M,,,,,,,261.50M,2.229B,,2.229B,266.30M,266.30M,331.80M,608.00M,173.20M,1.402B,,2014-03,62.80M,10.80B,,10.87B,,2014-03,AOR,Restated
2013-12,,6.700B,,6.700B,1.050B,9.60M,1.059B,,,,7.948B,,,,,,,,,559.40M,,,2.351B,4.759B,,118.70M,173.50M,7.961B,15.91B,,,211.80M,,472.60M,,472.60M,,,,,,,472.60M,2.257B,,2.257B,271.60M,271.60M,250.90M,577.30M,153.80M,1.419B,,2013-12,63.10M,10.44B,,10.51B,,2013-12,AOR,Restated
2013-09,,6.323B,,6.323B,1.039B,229.70M,1.269B,,,,7.592B,565.70M,74.40M,,710.10M,,,1.350B,-786.10M,564.10M,1.702B,657.70M,2.359B,4.584B,,112.40M,179.40M,7.799B,15.39B,,,,,273.70M,,273.70M,,,,,,,273.70M,2.295B,,2.295B,272.50M,272.50M,444.50M,612.40M,121.80M,1.297B,,2013-09,63.10M,10.00B,,10.07B,,2013-09,AOR,Restated
2013-06,,6.232B,,6.232B,947.60M,247.30M,1.195B,,,,7.427B,,,,,,,,,563.20M,1.633B,726.10M,2.359B,4.700B,,103.10M,164.90M,7.890B,15.32B,,,,,272.70M,,272.70M,,,,,,,272.70M,2.390B,,2.390B,284.60M,284.60M,388.60M,622.50M,120.80M,1.459B,,2013-06,63.60M,9.765B,,9.780B,,2013-06,AOR,Restated
2013-03,,5.556B,,5.556B,994.60M,238.30M,1.233B,,,,6.789B,,,,,,,,,573.90M,,,2.381B,4.797B,,100.30M,169.00M,8.022B,14.81B,,,,,246.60M,,246.60M,,,,,,,246.60M,2.423B,,2.423B,281.20M,281.20M,312.90M,657.90M,80.50M,1.388B,,2013-03,21.30M,9.39B,,9.42B,,2013-03,AOR,Restated
2012-12,,5.243B,,5.243B,908.00M,279.40M,1.187B,,,,6.430B,,,,,,,,,578.00M,,,2.392B,4.692B,,94.70M,167.60M,7.924B,14.35B,,,151.00M,,345.10M,,345.10M,,,,,,,345.10M,2.462B,,2.462B,263.00M,263.00M,242.10M,587.00M,66.20M,1.440B,,2012-12,21.30M,8.863B,,8.948B,,2012-12,AOR,Restated
2012-09,341.80M,6.051B,,6.051B,850.20M,254.40M,1.105B,,,,7.156B,560.30M,75.00M,,667.40M,,,1.303B,-720.00M,582.70M,1.541B,601.10M,2.142B,4.614B,,94.90M,161.50M,7.596B,14.75B,,,,,241.60M,,241.60M,,0.00,,0.00,0.00,,241.60M,2.777B,,2.777B,276.30M,276.30M,400.50M,559.20M,26.70M,1.269B,,2012-09,63.70M,9.076B,,9.201B,,2012-09,AOR,Restated
2012-06,,4.719B,1.691B,6.410B,,,793.91M,41.02M,96.64M,,7.342B,,,,,,,,,585.17M,1.528B,599.19M,2.127B,2.384B,321.42M,,874.81M,6.293B,13.63B,,,39.95M,,318.06M,,318.06M,,0.00,320.84M,320.84M,320.84M,368.12M,1.386B,1.626B,,1.626B,263.25M,263.25M,,587.29M,,1.023B,,2012-06,21.26M,8.737B,,8.749B,,2012-06,AOR,Restated
2012-03,,4.597B,1.982B,6.579B,,,850.37M,36.27M,102.78M,,7.569B,,,,,,,,,594.80M,1.538B,607.54M,2.145B,2.257B,331.65M,,765.28M,6.094B,13.66B,,,46.91M,,388.38M,,388.38M,,25.00M,20.66M,45.66M,45.66M,380.86M,1.117B,1.947B,,1.947B,285.36M,285.36M,,686.47M,,937.29M,,2012-03,21.51M,8.592B,,8.690B,,2012-03,AOR,Restated
2011-12,,4.321B,1.844B,6.165B,,,781.64M,30.52M,106.65M,,7.084B,,,,,,,,,594.67M,1.536B,606.62M,2.142B,2.340B,514.65M,,729.69M,6.321B,13.41B,,,205.77M,,412.46M,,412.46M,,25.00M,31.51M,56.51M,56.51M,343.91M,1.041B,2.003B,,2.003B,278.77M,278.77M,,686.26M,,1.123B,,2011-12,21.60M,8.239B,,8.274B,,2011-12,AOR,Restated
2011-09,,5.199B,2.422B,7.621B,773.20M,149.40M,922.60M,,,,8.544B,0.00,75.20M,,647.10M,,552.00M,1.274B,-684.60M,589.70M,1.536B,612.00M,2.148B,1.768B,401.90M,107.90M,216.20M,5.232B,13.78B,,,128.80M,,394.70M,,394.70M,,,,,,1.260B,2.055B,2.201B,,2.201B,274.40M,274.40M,,597.80M,,122.80M,,2011-09,21.80M,8.462B,,8.525B,,2011-09,AOR,Restated
2011-06,,4.720B,2.353B,7.073B,,,896.68M,28.64M,108.66M,,8.107B,,,,,,,,,563.92M,1.482B,611.62M,2.094B,1.615B,615.84M,,155.35M,5.044B,13.15B,,,105.40M,,352.82M,,352.82M,,30.00M,50.70M,80.69M,80.69M,472.06M,1.281B,2.029B,,2.029B,254.75M,254.75M,,112.10M,,787.70M,,2011-06,22.04M,8.433B,,8.686B,,2011-06,AOR,Restated
