,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,IncomeStatementDepreciation,AmortizationExpense,RentandLandingExpense,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2004-03,859.68M,879.00M,,,31.94M,,31.94M,68.41M,,29.40M,,,-233.29M,,,,,255.98M,385.73M,493.27M,,,,-233.29M,,172.79M,0.00,,,172.79M,47.12M,493.27M,,2004-03,0.23,0.4428,0.23,,0.00,0.00,0.4299,0.2233,,2004-03,751.27M,773.69M,0.0283,,2004-03,AOR,Restated
2003-12,792.10M,809.67M,,,21.23M,,21.23M,69.65M,,26.85M,,,-228.54M,,,,,220.35M,338.08M,471.59M,,,,-228.54M,,167.52M,4.779M,,,172.30M,45.01M,471.59M,,2003-12,0.2267,0.4464,0.2333,,0.0067,0.0062,0.4270,0.2233,,2003-12,738.41M,771.47M,0.0283,,2003-12,AOR,Restated
2003-09,714.52M,729.63M,,,23.25M,,23.25M,70.87M,,25.50M,,,-197.77M,,,,,190.94M,310.56M,419.07M,,,,-197.77M,,152.08M,0.00,,,152.08M,44.81M,419.07M,,2003-09,0.2033,0.3923,0.2033,,0.00,0.00,0.3851,0.20,,2003-09,743.25M,758.72M,0.025,,2003-09,AOR,Restated
2003-06,659.62M,683.91M,,,22.28M,,22.28M,70.46M,,23.40M,,,-184.66M,,,,,191.32M,307.46M,376.45M,,,,-184.66M,,131.39M,0.00,,,131.39M,44.69M,376.45M,,2003-06,0.1733,0.3463,0.1733,,0.00,0.00,0.3463,0.1733,,2003-06,758.01M,758.01M,0.025,,2003-06,AOR,Restated
2003-03,597.37M,613.14M,,,24.23M,,24.23M,71.40M,,21.28M,,,-157.51M,,,,,183.45M,300.36M,312.77M,,,,-157.51M,,109.60M,0.00,,,109.60M,44.43M,312.77M,,2003-03,0.1433,0.2916,0.1433,,0.00,0.00,0.2916,0.1433,,2003-03,764.67M,764.67M,0.025,,2003-03,AOR,Restated
2002-12,585.40M,605.45M,,,22.64M,,22.64M,72.60M,,20.28M,,,-156.54M,,,,,181.63M,297.15M,308.30M,,,,-156.54M,,109.76M,0.00,,,109.76M,43.50M,308.30M,,2002-12,0.1433,0.2942,0.1433,,0.00,0.00,0.2942,0.1433,,2002-12,765.77M,765.77M,0.025,,2002-12,AOR,Restated
2002-09,668.44M,612.68M,,,,,,,,,,,,,,,,,,1.537B,,,,,,68.50M,,,,68.50M,,1.537B,,2002-09,0.09,0.09,0.09,,0.00,,0.09,0.09,,2002-09,769.79M,786.05M,0.0233,,2002-09,AOR,Restated
2002-06,646.97M,666.05M,,,29.27M,,29.27M,75.57M,,21.92M,,,-173.57M,,,,,193.86M,320.61M,345.44M,,,,-173.57M,,125.69M,,,,125.69M,47.37M,345.44M,,2002-06,0.16,0.3246,0.16,,0.00,,0.3246,0.16,,2002-06,785.56M,785.56M,0.0233,,2002-06,AOR,Restated
2002-03,611.34M,625.97M,,,25.48M,,25.48M,73.20M,,21.30M,,,-162.54M,,,,,180.64M,300.62M,325.35M,,,,-162.54M,,120.00M,,,,120.00M,45.74M,325.35M,,2002-03,0.1533,0.3091,0.1533,,0.00,,0.3091,0.1533,,2002-03,782.58M,782.58M,0.0233,,2002-03,AOR,Restated
2001-12,596.15M,618.21M,,,26.42M,,26.42M,74.59M,,21.12M,,,-153.94M,,,,,180.94M,303.08M,315.13M,,,,-153.94M,,118.52M,,,,118.52M,45.40M,315.13M,,2001-12,0.15,0.2961,0.15,,0.00,,0.2961,0.15,,2001-12,790.13M,790.13M,0.0233,,2001-12,AOR,Restated
2001-09,590.55M,603.88M,,,32.39M,,32.39M,76.19M,,36.70M,,,-146.43M,,,,,198.68M,343.96M,259.92M,,,,-146.43M,,83.87M,,,,83.87M,62.02M,259.92M,,2001-09,0.1033,0.2444,0.1033,,0.00,,0.2441,0.1033,,2001-09,788.72M,790.58M,0.0217,,2001-09,AOR,Restated
2001-06,597.02M,609.47M,,,27.31M,,27.31M,70.58M,,33.03M,,,-128.28M,,,,,190.88M,321.80M,287.67M,,,,-128.28M,,119.70M,,,,119.70M,58.62M,287.67M,,2001-06,0.1533,0.2782,0.1533,,0.00,,0.2782,0.1533,,2001-06,780.67M,780.67M,0.0217,,2001-06,AOR,Restated
2001-03,570.26M,577.41M,,,24.43M,,24.43M,59.00M,,27.69M,,,-130.08M,,,,,159.68M,270.81M,306.61M,,,,-130.08M,,131.68M,,,,131.68M,52.88M,306.61M,,2001-03,0.18,0.3151,0.18,,0.00,,0.3151,0.18,,2001-03,731.58M,731.58M,0.0217,,2001-03,AOR,Restated
2000-12,558.37M,564.07M,,,22.13M,,22.13M,57.53M,,28.14M,,,-95.73M,,,,,161.61M,269.41M,294.66M,,,,-95.73M,,149.46M,,,,149.46M,50.33M,294.66M,,2000-12,0.2033,0.3023,0.2033,,0.00,,0.3023,0.2033,,2000-12,735.07M,735.07M,0.0217,,2000-12,AOR,Restated
2000-09,586.30M,593.05M,,,27.48M,,27.48M,59.89M,,29.73M,,,-126.58M,,,,,160.64M,277.74M,315.32M,,,,-126.58M,,140.82M,,,,140.82M,50.75M,315.32M,,2000-09,0.19,0.3198,0.19,,0.00,,0.3198,0.19,,2000-09,741.17M,741.17M,0.02,,2000-09,AOR,Restated
2000-06,564.13M,568.90M,,,25.28M,,25.28M,50.71M,,30.26M,,,-122.85M,,,,,151.13M,257.38M,311.52M,,,,-122.85M,,140.37M,,,,140.37M,49.34M,311.52M,,2000-06,0.1933,0.3219,0.1933,,0.00,,0.3219,0.1933,,2000-06,726.05M,726.05M,0.02,,2000-06,AOR,Restated
2000-03,609.34M,612.53M,,,25.90M,,25.90M,51.44M,,30.88M,,,-157.12M,,,,,155.35M,263.57M,348.95M,,,,-157.12M,,143.37M,,,,143.37M,50.79M,348.95M,,2000-03,0.1933,0.3544,0.1933,,0.00,,0.3525,0.1933,,2000-03,741.59M,750.12M,0.02,,2000-03,AOR,Restated
1999-12,560.04M,565.67M,,,22.54M,,22.54M,51.63M,,29.91M,,,-126.49M,,,,,150.77M,254.86M,310.80M,,,,-126.49M,,137.52M,,,,137.52M,48.76M,310.80M,,1999-12,0.1833,0.3115,0.1833,,0.00,,0.3115,0.1833,,1999-12,750.12M,750.12M,0.02,,1999-12,AOR,Restated
1999-09,569.13M,573.97M,,,25.92M,,25.92M,58.08M,,33.65M,,,-133.67M,,,,,143.26M,260.91M,313.06M,,,,-133.67M,,132.44M,,,,132.44M,50.04M,313.06M,,1999-09,0.1733,0.3059,0.1733,,0.00,,0.3059,0.1733,,1999-09,766.29M,766.29M,0.0183,,1999-09,AOR,Restated
1999-06,562.01M,566.78M,,,26.38M,,26.38M,53.83M,,32.88M,,,-139.13M,,,,,145.82M,258.92M,307.86M,,,,-139.13M,,123.31M,,,,123.31M,35.90M,307.86M,,1999-06,0.1633,0.3020,0.1633,,0.00,,0.3020,0.1633,,1999-06,754.94M,754.94M,0.0183,,1999-06,,Restated
1999-03,548.59M,554.07M,,,25.39M,,25.39M,52.11M,,32.25M,,,-138.81M,,,,,159.90M,269.65M,284.42M,,,,-138.81M,,102.47M,,,,102.47M,62.52M,284.42M,,1999-03,0.1367,0.2714,0.1367,,0.00,,0.2714,0.1367,,1999-03,749.79M,749.79M,0.0183,,1999-03,,Restated
1998-12,564.71M,567.68M,,,28.24M,,28.24M,48.48M,,34.39M,,,-152.51M,,,,,202.76M,313.87M,253.81M,,,,-152.51M,,68.49M,,,,68.49M,51.55M,253.81M,,1998-12,0.09,0.2343,0.09,,0.00,,0.2343,0.09,,1998-12,761.02M,761.02M,0.0183,,1998-12,,Restated
1998-09,535.79M,556.58M,,,33.54M,,-385.18M,,,,,,,,,,,,2.062B,-1.505B,,,,,,112.25M,,,,112.25M,51.90M,-1.505B,,1998-09,0.1467,0.1467,0.1467,,0.00,,0.1467,0.1467,,1998-09,758.09M,758.09M,0.0167,,1998-09,AOR,Restated
1998-06,688.03M,688.03M,,,33.78M,152.69M,186.47M,,,,,,,-504.38M,,,,,-317.91M,1.006B,,,,,,131.01M,,,,131.01M,50.59M,1.006B,,1998-06,0.1733,0.1733,0.1733,,0.00,,0.1733,0.1733,,1998-06,758.58M,759.28M,0.0167,,1998-06,,
