,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2015-11,3.647B,3.647B,5.865B,5.865B,493.00M,460.00M,687.00M,,11.15B,,45.24B,45.24B,-22.96B,22.28B,3.806B,,3.806B,1.135B,27.22B,38.37B,,2.129B,,,2.129B,3.808B,5.937B,,14.00M,,14.00M,,,,5.951B,8.481B,,8.481B,1.759B,167.00M,2.766B,1.265B,4.702B,216.00M,17.43B,23.38B,,32.00M,18.05B,2.839B,5.888B,,-41.00M,14.99B,,AOR,Restated
2015-08,3.543B,3.543B,5.617B,5.617B,488.00M,449.00M,606.00M,,10.70B,,43.99B,43.99B,-22.51B,21.48B,3.792B,,3.792B,1.267B,26.54B,37.24B,,2.049B,,,2.049B,3.781B,5.83B,,14.00M,,14.00M,,,,5.844B,7.244B,,7.244B,1.781B,174.00M,2.721B,1.186B,4.806B,161.00M,16.12B,21.96B,,32.00M,17.43B,2.814B,5.007B,,10.00M,15.28B,,AOR,Restated
2015-05,3.763B,3.763B,5.719B,5.719B,498.00M,355.00M,,,10.34B,14.14B,6.725B,42.86B,-21.99B,20.88B,3.81B,207.00M,4.017B,1.304B,26.20B,36.53B,,2.066B,328.00M,,2.394B,3.036B,5.43B,,19.00M,,19.00M,,,,5.956B,7.249B,,7.249B,1.21B,181.00M,2.102B,1.12B,4.893B,218.00M,15.58B,21.54B,,32.00M,16.90B,2.786B,4.897B,,172.00M,14.99B,,AOR,Restated
2015-02,3.478B,3.478B,5.584B,5.584B,488.00M,422.00M,510.00M,,10.48B,,42.65B,42.65B,-22.23B,20.42B,3.805B,,3.805B,1.396B,25.63B,36.11B,,2.05B,,,2.05B,3.193B,5.243B,,,,,,,,5.243B,7.228B,,7.228B,2.497B,187.00M,3.378B,1.092B,2.962B,193.00M,14.85B,20.10B,,32.00M,21.88B,2.739B,4.73B,,-3.909B,16.01B,,AOR,Restated
2014-11,2.266B,2.266B,5.592B,5.592B,476.00M,381.00M,497.00M,,9.212B,,41.62B,41.62B,-21.72B,19.89B,2.734B,,2.734B,1.145B,23.77B,32.98B,,1.968B,,,1.968B,3.205B,5.173B,,,,,,,,5.173B,4.735B,,4.735B,2.104B,193.00M,3.129B,1.072B,3.136B,176.00M,12.25B,17.42B,,32.00M,21.48B,2.618B,4.78B,,-3.787B,15.56B,,AOR,Restated
2014-08,2.416B,2.416B,5.487B,5.487B,481.00M,369.00M,497.00M,,9.25B,,40.87B,40.87B,-21.44B,19.42B,2.775B,,2.775B,1.138B,23.34B,32.59B,,1.973B,,,1.973B,3.179B,5.152B,,1.00M,,1.00M,,,,5.153B,4.735B,,4.735B,2.107B,200.00M,3.055B,1.047B,3.313B,163.00M,12.31B,17.47B,,32.00M,20.92B,2.629B,4.767B,,-3.694B,15.12B,,AOR,Restated
2014-05,2.908B,2.908B,5.46B,5.46B,463.00M,330.00M,522.00M,,9.683B,13.46B,6.082B,40.69B,-21.14B,19.55B,2.79B,,2.79B,1.047B,23.39B,33.07B,,1.971B,339.00M,,2.31B,2.567B,4.877B,,1.00M,,1.00M,,,,5.312B,4.736B,,4.736B,2.114B,206.00M,3.078B,1.038B,3.484B,145.00M,12.48B,17.79B,,32.00M,16.23B,2.643B,4.133B,,506.00M,15.28B,,AOR,Restated
2014-02,3.042B,3.042B,5.197B,5.197B,462.00M,456.00M,624.00M,,9.781B,,40.02B,40.02B,-20.73B,19.28B,2.739B,,2.739B,924.00M,22.95B,32.73B,,1.903B,,,1.903B,3.115B,5.018B,,1.00M,,1.00M,,,,5.019B,4.735B,,4.735B,2.083B,208.00M,3.032B,1.028B,3.586B,102.00M,12.48B,17.50B,,32.00M,19.70B,2.259B,3.009B,,-3.754B,15.23B,,AOR,Restated
2013-11,3.935B,3.935B,5.377B,5.377B,458.00M,441.00M,655.00M,,10.87B,,39.30B,39.30B,-20.18B,19.12B,2.737B,,2.737B,819.00M,22.68B,33.54B,,1.868B,,,1.868B,3.287B,5.155B,,251.00M,,251.00M,,,,5.406B,2.739B,,2.739B,1.945B,215.00M,3.042B,1.009B,3.704B,109.00M,10.60B,16.01B,,32.00M,19.37B,2.666B,762.00M,,-3.769B,17.53B,,AOR,Restated
2013-08,5.096B,5.096B,4.99B,4.99B,451.00M,352.00M,604.00M,,11.49B,,38.17B,38.17B,-19.73B,18.44B,2.712B,,2.712B,1.031B,22.18B,33.67B,,1.879B,,,1.879B,3.39B,5.269B,,254.00M,,254.00M,,,,5.523B,2.739B,,2.739B,1.82B,221.00M,2.838B,996.00M,3.813B,109.00M,10.50B,16.02B,,32.00M,18.91B,2.696B,129.00M,,-3.857B,17.66B,,AOR,Restated
