,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1993-08,225.70M,225.70M,,922.70M,162.10M,,138.60M,47.40M,1.496B,,,6.861B,-3.362B,3.499B,,428.00M,428.00M,407.70M,4.334B,5.831B,,432.40M,120.00M,,552.40M,,552.40M,,130.70M,,130.70M,,,627.30M,1.310B,1.883B,,1.883B,853.80M,,853.80M,,82.40M,,2.819B,4.129B,,5.50M,,,,,,1.702B,,,
1993-05,155.50M,155.50M,,922.70M,164.10M,,,197.40M,1.440B,,,6.706B,-3.230B,3.476B,,432.20M,432.20M,444.90M,4.353B,5.793B,,554.10M,,,554.10M,,554.10M,,133.80M,,133.80M,,,761.40M,1.449B,1.882B,,1.882B,72.50M,,72.50M,,,717.60M,2.672B,4.122B,,,969.50M,,,,,1.671B,,,
1993-02,95.30M,95.30M,,908.40M,158.20M,,,87.10M,1.249B,,,6.691B,-3.130B,3.560B,,473.80M,473.80M,413.90M,4.448B,5.697B,,440.20M,,,440.20M,,440.20M,,132.70M,,132.70M,,,757.00M,1.330B,1.970B,,1.970B,724.40M,,724.40M,,,,2.695B,4.025B,,,967.30M,,,,,1.673B,,,
1992-11,192.40M,192.40M,,908.00M,159.00M,,,70.90M,1.330B,,,6.588B,-3.006B,3.582B,,478.40M,478.40M,401.40M,4.462B,5.792B,,466.50M,,,466.50M,,466.50M,,172.10M,,172.10M,,,829.20M,1.468B,1.968B,,1.968B,711.50M,,711.50M,,,,2.679B,4.147B,,,956.80M,,,,,1.645B,,,
1992-08,177.00M,177.00M,,864.80M,227.40M,,,,1.269B,,,6.169B,-2.767B,3.402B,,483.90M,483.90M,417.90M,4.304B,5.573B,,428.80M,,,428.80M,,428.80M,,166.00M,,166.00M,,,825.70M,1.420B,1.851B,,1.851B,711.10M,,711.10M,,,,2.562B,3.982B,,,918.80M,,,,,1.591B,,,
1992-05,78.20M,78.20M,,899.80M,158.10M,,,69.90M,1.206B,,,6.178B,-2.767B,3.411B,,487.80M,487.80M,358.10M,4.257B,5.463B,,430.10M,,,430.10M,,430.10M,,155.30M,,155.30M,,,799.50M,1.385B,1.798B,,1.798B,123.70M,,123.70M,,,577.10M,2.499B,3.884B,,,906.60M,,,,,1.580B,,,
1992-02,163.80M,163.80M,,955.40M,161.00M,,,100.80M,1.381B,,,6.098B,-2.621B,3.477B,,491.00M,491.00M,372.40M,4.340B,5.721B,,453.40M,,,453.40M,,453.40M,,179.00M,,179.00M,,,780.00M,1.412B,2.037B,,2.037B,143.20M,,143.20M,,,593.90M,2.774B,4.186B,,,872.20M,,,,,1.535B,,,
1991-11,166.60M,166.60M,,976.40M,158.40M,,,63.30M,1.365B,,,6.109B,-2.528B,3.581B,,511.90M,511.90M,348.10M,4.441B,5.806B,,433.90M,,,433.90M,,433.90M,,153.00M,,153.00M,,,1.013B,1.600B,1.802B,,1.802B,228.00M,,228.00M,,,448.80M,2.479B,4.079B,,,1.074B,,,,,1.726B,,,
1991-08,172.20M,172.20M,,922.00M,160.90M,,,67.00M,1.322B,,,6.022B,-2.399B,3.623B,,515.60M,515.60M,326.80M,4.465B,5.788B,,410.80M,,,410.80M,,410.80M,,201.20M,,201.20M,,,876.50M,1.488B,1.916B,,1.916B,222.90M,,222.90M,,,465.50M,2.604B,4.093B,,,1.040B,,,,,1.695B,,,
1991-05,117.70M,117.70M,,924.80M,154.90M,,,85.40M,1.283B,,,5.895B,-2.271B,3.624B,,521.10M,521.10M,244.60M,4.390B,5.672B,,446.60M,,,446.60M,,446.60M,,202.70M,,202.70M,,,844.50M,1.494B,1.827B,,1.827B,217.40M,,217.40M,,,465.90M,2.510B,4.004B,,,1.015B,,,,,1.669B,,,
1991-02,210.20M,210.20M,,975.10M,153.60M,,,112.00M,1.451B,,,6.068B,-2.228B,3.840B,,538.30M,538.30M,242.40M,4.620B,6.071B,,460.00M,,,460.00M,,460.00M,,197.40M,,197.40M,,,798.00M,1.455B,2.241B,,2.241B,754.10M,,754.10M,,,,2.995B,4.451B,,,969.10M,,,,,1.620B,,,
1990-11,247.10M,247.10M,,1.041B,141.20M,,,82.10M,1.512B,,,5.907B,-2.103B,3.804B,,606.10M,606.10M,242.00M,4.652B,6.164B,,514.30M,,,514.30M,,514.30M,,126.70M,,126.70M,,,815.10M,1.456B,2.237B,,2.237B,757.90M,,757.90M,,,-0.10M,2.995B,4.451B,,,1.071B,,,,,1.713B,,,
1990-08,67.50M,67.50M,,999.30M,116.70M,,,76.60M,1.260B,,,5.684B,-1.986B,3.698B,,609.70M,609.70M,211.80M,4.519B,5.779B,,455.60M,,,455.60M,,455.60M,,55.60M,,55.60M,,,783.70M,1.295B,2.072B,,2.072B,727.50M,,727.50M,,,,2.800B,4.095B,,,1.046B,,,,,1.685B,,,
1990-05,98.50M,98.50M,,997.80M,110.60M,,,108.50M,1.315B,,,5.469B,-1.902B,3.566B,,588.90M,588.90M,204.50M,4.360B,5.675B,,454.40M,,,454.40M,,454.40M,,70.10M,,70.10M,,,715.70M,1.240B,2.148B,,2.148B,298.20M,,298.20M,,,339.40M,2.786B,4.026B,,,1.010B,,,,,1.649B,,,
1990-02,43.70M,43.70M,,925.90M,107.60M,,,119.20M,1.196B,,,5.157B,-1.792B,3.366B,,595.50M,595.50M,190.90M,4.152B,5.348B,,428.00M,,,428.00M,,428.00M,,69.30M,,69.30M,,,652.10M,1.149B,2.088B,,2.088B,521.70M,,521.70M,,,,2.610B,3.760B,,,967.00M,,,,,1.589B,,,
1989-11,52.60M,52.60M,,951.10M,93.80M,,,76.20M,1.174B,,,4.882B,-1.671B,3.211B,,575.30M,575.30M,191.70M,3.978B,5.152B,,431.50M,,,431.50M,,431.50M,,67.30M,,67.30M,,,650.10M,1.149B,1.905B,,1.905B,514.20M,,514.20M,,,,2.420B,3.568B,,,964.80M,,,,,1.584B,,,
1989-08,86.80M,86.80M,,825.40M,86.10M,,,66.20M,1.064B,,,4.869B,-1.571B,3.298B,,583.10M,583.10M,173.00M,4.054B,5.118B,,420.70M,,,420.70M,,420.70M,,76.40M,,76.40M,,,633.10M,1.130B,1.904B,,1.904B,547.20M,,547.20M,,,,2.451B,3.581B,,,930.00M,,,,,1.537B,,,
1989-05,157.30M,157.30M,,767.30M,83.60M,,,91.90M,1.100B,,,4.901B,-1.470B,3.432B,,593.90M,593.90M,167.60M,4.193B,5.293B,,,,,,,,,69.20M,,69.20M,,,1.020B,1.089B,2.139B,,2.139B,571.90M,,571.90M,,,0.10M,2.711B,3.800B,,,901.40M,,,,,1.494B,,,
1988-05,54.90M,54.90M,,491.30M,48.80M,,,35.00M,630.00M,,,3.349B,-1.117B,2.232B,,,,146.60M,2.378B,3.008B,,,,,,,,,69.10M,,69.10M,,,502.90M,572.00M,838.70M,,838.70M,,,,,,267.10M,1.106B,1.678B,,,726.00M,,,,,1.331B,,,
1987-05,21.70M,21.70M,,399.30M,39.90M,,,46.60M,507.50M,,,2.712B,-850.60M,1.861B,,,,130.60M,1.992B,2.500B,,,,,,,,,60.40M,,60.40M,,,443.30M,503.70M,744.90M,,744.90M,57.70M,,57.70M,,,114.30M,916.90M,1.421B,,,536.40M,,,,,1.079B,,,
1986-05,185.00M,185.00M,,347.00M,49.30M,,,32.00M,613.30M,,,2.203B,-650.80M,1.552B,,,,111.30M,1.663B,2.276B,,,,,,,,,73.00M,,73.00M,,,358.90M,431.90M,561.70M,,561.70M,22.80M,,22.80M,,,168.30M,752.80M,1.185B,,,598.20M,,,,,1.092B,,,
1985-05,12.20M,12.20M,,292.80M,56.50M,,,61.60M,423.10M,,,1.793B,-447.00M,1.346B,,,,130.40M,1.476B,1.900B,,,,,,,,,44.70M,,44.70M,,,272.10M,316.80M,607.50M,,607.50M,159.80M,,159.80M,,,3.10M,770.40M,1.087B,,,466.80M,,,,,812.30M,,,
1984-05,37.70M,37.70M,,207.30M,39.70M,,,43.40M,328.10M,,,1.427B,-314.60M,1.113B,,,,85.10M,1.198B,1.526B,,,,,,,,,22.00M,,22.00M,,,233.90M,255.90M,435.20M,,435.20M,112.40M,,112.40M,,,4.60M,552.20M,808.10M,,,391.30M,,,,,717.70M,,,
