,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,RentandLandingExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2016-05,12.98B,12.98B,11.20B,1.784B,,,,,,,-97.00M,1.852B,1.852B,-68.00M,,-97.00M,-16.00M,-97.00M,-181.00M,-111.00M,-70.00M,,,-70.00M,-70.00M,598.00M,667.00M,-69.00M,,-0.2636,,,-0.2636,-0.2636,,-0.2636,,,-0.2636,-0.2636,,270.00M,273.00M,0.25,,AOR,Restated
2016-02,12.65B,12.65B,9.783B,2.871B,,,,,,,-81.00M,2.007B,2.007B,864.00M,,-81.00M,-1.00M,-81.00M,782.00M,275.00M,507.00M,,,507.00M,507.00M,1.527B,663.00M,864.00M,,1.86,,,1.86,1.86,,1.84,,,1.84,1.84,,272.00M,275.00M,0.25,,AOR,Restated
2015-11,12.45B,12.45B,9.587B,2.866B,,,,,,,-74.00M,1.729B,1.729B,1.137B,,-74.00M,-8.00M,-74.00M,1.055B,364.00M,691.00M,,,691.00M,691.00M,1.79B,653.00M,1.137B,,2.47,,,2.47,2.47,,2.44,,,2.44,2.44,,279.00M,283.00M,0.25,,AOR,Restated
2015-08,12.28B,12.28B,9.472B,2.807B,,,,,,,-63.00M,1.663B,1.663B,1.144B,,-63.00M,3.00M,-63.00M,1.084B,392.00M,692.00M,,,692.00M,692.00M,1.792B,648.00M,1.144B,,2.45,,,2.45,2.45,,2.42,,,2.42,2.42,,282.00M,286.00M,0.25,,AOR,Restated
2015-05,12.11B,12.11B,11.26B,850.00M,,,,,,,-68.00M,1.895B,1.895B,-1.045B,,-68.00M,-303.00M,-68.00M,-1.416B,-522.00M,-894.00M,,,-894.00M,-894.00M,-669.00M,657.00M,-1.326B,,-3.169,,,-3.169,-3.169,,-3.169,,,-3.169,-3.169,,280.00M,284.00M,0.20,,AOR,Restated
2015-02,11.72B,11.72B,9.153B,2.563B,,,,,,,-58.00M,1.525B,1.525B,1.038B,,-58.00M,5.00M,-58.00M,985.00M,357.00M,628.00M,,,628.00M,628.00M,1.69B,652.00M,1.038B,,2.21,,,2.21,2.21,,2.18,,,2.18,2.18,,283.00M,287.00M,0.20,,AOR,Restated
2014-11,11.94B,11.94B,9.323B,2.616B,,,,,,,-47.00M,1.528B,1.528B,1.088B,,-47.00M,5.00M,-47.00M,1.046B,383.00M,663.00M,,,663.00M,663.00M,1.739B,651.00M,1.088B,,2.34,,,2.34,2.34,,2.31,,,2.31,2.31,,283.00M,287.00M,0.20,,AOR,Restated
2014-08,11.68B,11.68B,9.155B,2.529B,,,,,,,-48.00M,1.467B,1.467B,1.062B,,-48.00M,-2.00M,-48.00M,1.012B,359.00M,653.00M,,,653.00M,653.00M,1.713B,651.00M,1.062B,,2.29,,,2.29,2.29,,2.26,,,2.26,2.26,,285.00M,289.00M,0.20,,AOR,Restated
2014-05,11.84B,11.84B,8.763B,3.076B,,,,,,,-47.00M,1.524B,1.524B,1.552B,,-47.00M,1.00M,-47.00M,1.506B,549.00M,957.00M,,,957.00M,957.00M,2.204B,649.00M,1.555B,,2.558,,,2.558,2.558,,2.46,,,2.46,2.46,,292.00M,295.00M,0.15,,AOR,Restated
2014-02,11.30B,11.30B,9.145B,2.156B,,,,,,,-38.00M,1.515B,1.515B,641.00M,,-38.00M,-9.00M,-38.00M,594.00M,216.00M,378.00M,,,378.00M,378.00M,1.293B,652.00M,641.00M,,1.24,,,1.24,1.24,,1.23,,,1.23,1.23,,303.00M,307.00M,0.15,,AOR,Restated
2013-11,11.40B,11.40B,9.098B,2.305B,,,,,,,-30.00M,1.478B,1.478B,827.00M,,-30.00M,-5.00M,-30.00M,792.00M,292.00M,500.00M,,,500.00M,500.00M,1.474B,647.00M,827.00M,,1.58,,,1.58,1.58,,1.57,,,1.57,1.57,,315.00M,319.00M,0.15,,AOR,Restated
2013-08,11.02B,11.02B,8.819B,2.205B,,,,,,,-27.00M,1.41B,1.41B,795.00M,,-27.00M,-2.00M,-27.00M,766.00M,277.00M,489.00M,,,489.00M,489.00M,1.434B,639.00M,795.00M,,1.54,,,1.54,1.54,,1.53,,,1.53,1.53,,316.00M,319.00M,0.15,,AOR,Restated
2013-05,11.44B,11.44B,7.015B,4.42B,,,,,-596.00M,,-24.00M,1.439B,1.439B,2.981B,,-24.00M,-602.00M,-24.00M,2.355B,897.00M,1.458B,,,1.458B,1.827B,2.929B,622.00M,2.307B,,0.9571,,,2.117,0.9571,,0.95,,,2.103,0.95,,318.00M,320.00M,0.00,,AOR,Restated
2013-02,10.95B,10.95B,8.899B,2.054B,,,,,-47.00M,,-9.00M,1.418B,1.418B,636.00M,,-9.00M,-63.00M,-9.00M,564.00M,203.00M,361.00M,,,361.00M,391.08M,1.235B,599.00M,636.00M,,1.14,,,1.235,1.14,,1.13,,,1.225,1.13,,315.00M,317.00M,0.14,,AOR,Restated
2012-11,11.11B,11.11B,8.961B,2.146B,,,,,,,-18.00M,1.428B,1.428B,718.00M,,-18.00M,-8.00M,-18.00M,692.00M,254.00M,438.00M,,,438.00M,438.00M,1.31B,592.00M,718.00M,,1.39,,,1.39,1.39,,1.39,,,1.39,1.39,,314.00M,315.00M,0.14,,AOR,Restated
2012-08,10.79B,10.79B,8.654B,2.138B,,,,,,,-10.00M,1.396B,1.396B,742.00M,,-10.00M,-5.00M,-10.00M,727.00M,268.00M,459.00M,,,459.00M,459.00M,1.315B,573.00M,742.00M,,1.46,,,1.46,1.46,,1.45,,,1.45,1.45,,315.00M,316.00M,0.28,,AOR,Restated
2012-05,11.01B,11.01B,8.614B,2.394B,,,,,-134.00M,,-9.00M,1.404B,1.404B,990.00M,,-9.00M,-133.00M,-9.00M,848.00M,298.00M,550.00M,,,550.00M,636.91M,1.406B,543.00M,863.00M,,1.75,,,2.026,1.75,,1.74,,,2.014,1.74,,315.00M,317.00M,0.13,,AOR,Restated
2012-02,10.56B,10.56B,8.50B,2.064B,,,,,0.00,,-12.00M,1.251B,1.251B,813.00M,,-12.00M,-9.00M,-12.00M,792.00M,271.00M,521.00M,,,521.00M,521.00M,1.356B,543.00M,813.00M,,1.66,,,1.66,1.66,,1.65,,,1.65,1.65,,314.00M,316.00M,0.13,,AOR,Restated
2011-11,10.59B,10.59B,8.41B,2.177B,,,,,,,-7.00M,1.397B,1.397B,780.00M,,-7.00M,4.00M,-7.00M,777.00M,280.00M,497.00M,,,497.00M,497.00M,1.298B,518.00M,780.00M,,1.57,,,1.57,1.57,,1.57,,,1.57,1.57,,315.00M,316.00M,0.13,,AOR,Restated
2011-08,10.52B,10.52B,3.933B,6.588B,4.004B,4.004B,,,-1.34B,,-11.00M,,4.513B,2.075B,,-11.00M,-1.34B,-11.00M,724.00M,260.00M,464.00M,,,464.00M,1.323B,2.584B,509.00M,2.075B,,1.46,0.00,,4.178,1.46,,1.46,0.00,,4.161,1.46,,316.00M,318.00M,0.13,,AOR,Restated
2011-05,10.55B,10.55B,23.01B,-12.46B,,,,,3.957B,,-12.00M,,-9.412B,-3.044B,,-12.00M,3.921B,-12.00M,865.00M,307.00M,558.00M,,,558.00M,-1.995B,-2.661B,499.00M,-3.16B,,1.760,,,-6.267,1.760,,1.75,0.00,,-6.227,1.75,,318.00M,320.00M,0.12,,AOR,Restated
2011-02,9.663B,9.663B,2.975B,6.688B,4.449B,4.449B,,621.00M,-1.362B,,-24.00M,,4.942B,1.746B,,-24.00M,-1.362B,-24.00M,360.00M,129.00M,231.00M,,,231.00M,1.105B,2.239B,493.00M,1.746B,,0.73,0.00,,3.504,0.73,,0.73,0.00,,3.487,0.73,,315.00M,317.00M,0.12,,AOR,Restated
2010-11,9.632B,9.632B,1.411B,8.221B,5.797B,5.797B,,628.00M,-1.462B,23.00M,-23.00M,,6.299B,1.922B,23.00M,-23.00M,-1.462B,-23.00M,437.00M,154.00M,283.00M,,,283.00M,1.230B,962.00M,502.00M,460.00M,,0.90,0.00,,3.915,0.90,,0.89,0.00,,3.886,0.89,,314.00M,316.00M,0.12,,AOR,Restated
2010-08,9.457B,9.457B,1.404B,8.053B,5.731B,5.731B,,601.00M,-1.222B,18.00M,-18.00M,,6.21B,1.843B,18.00M,-18.00M,-1.222B,-18.00M,603.00M,223.00M,380.00M,,,380.00M,1.150B,1.10B,479.00M,621.00M,,1.21,0.00,,3.662,1.21,,1.20,0.00,,3.645,1.20,,314.00M,315.00M,0.12,,AOR,Restated
2010-05,9.428B,9.428B,8.473B,955.00M,-1.516B,-1.516B,,,-1.292B,27.00M,-19.00M,,-1.028B,1.983B,27.00M,-19.00M,-1.292B,-19.00M,672.00M,253.00M,419.00M,,,419.00M,1.225B,1.187B,488.00M,699.00M,,1.34,0.00,,3.922,1.34,,1.33,0.00,,3.912,1.33,,312.00M,312.00M,0.11,,AOR,Restated
2010-02,8.701B,8.701B,1.214B,7.487B,5.362B,5.362B,,593.00M,-1.237B,19.00M,-19.00M,,5.85B,1.637B,19.00M,-19.00M,-1.237B,-19.00M,381.00M,142.00M,239.00M,,,239.00M,1.015B,888.00M,488.00M,400.00M,,0.76,0.00,,3.247,0.76,,0.76,0.00,,3.231,0.76,,312.00M,314.00M,0.11,,AOR,Restated
2009-11,8.596B,8.596B,1.154B,7.442B,5.172B,5.172B,,593.00M,-1.221B,15.00M,-15.00M,,5.659B,1.783B,15.00M,-15.00M,-1.221B,-15.00M,547.00M,202.00M,345.00M,,,345.00M,1.115B,1.049B,487.00M,562.00M,,1.10,0.00,,3.568,1.10,,1.10,0.00,,3.553,1.10,,312.00M,314.00M,0.11,,AOR,Restated
2009-08,8.009B,8.009B,1.067B,6.942B,5.009B,5.009B,,578.00M,-1.126B,18.00M,-18.00M,,5.504B,1.438B,18.00M,-18.00M,-1.126B,-18.00M,294.00M,113.00M,181.00M,,,181.00M,874.22M,807.00M,495.00M,312.00M,,0.58,0.00,,2.802,0.58,,0.58,0.00,,2.802,0.58,,312.00M,312.00M,0.11,,AOR,Restated
2009-05,7.852B,7.852B,932.00M,6.92B,4.871B,4.871B,,591.00M,-2.406B,,-21.00M,,5.367B,1.553B,,-21.00M,-2.406B,-21.00M,-874.00M,2.00M,-876.00M,,,-876.00M,687.90M,-4.272B,496.00M,-4.768B,,-2.82,0.00,,2.209,-2.82,,-2.82,0.00,,2.192,-2.82,,311.00M,312.00M,0.11,,AOR,Restated
2009-02,8.137B,8.137B,1.085B,7.052B,5.083B,5.083B,,609.00M,-1.295B,,-19.00M,,5.579B,1.473B,,-19.00M,-1.295B,-19.00M,159.00M,62.00M,97.00M,,,97.00M,887.03M,1.969B,496.00M,1.473B,,0.31,0.00,,2.850,0.31,,0.31,0.00,,2.842,0.31,,311.00M,312.00M,0.11,,AOR,Restated
2008-11,9.538B,9.538B,1.627B,7.911B,5.296B,5.296B,,612.00M,-1.34B,,-10.00M,,5.787B,2.124B,,-10.00M,-1.34B,-10.00M,774.00M,281.00M,493.00M,,,493.00M,1.347B,2.615B,491.00M,2.124B,,1.59,0.00,,4.334,1.59,,1.58,0.00,,4.316,1.58,,311.00M,312.00M,0.11,,AOR,Restated
2008-08,9.97B,9.97B,2.065B,7.905B,5.48B,5.48B,,617.00M,-1.306B,,-9.00M,,5.972B,1.933B,,-9.00M,-1.306B,-9.00M,618.00M,234.00M,384.00M,,,384.00M,1.195B,2.425B,492.00M,1.933B,,1.24,0.00,,3.849,1.24,,1.23,0.00,,3.839,1.23,,311.00M,311.00M,0.11,,AOR,Restated
2008-05,9.866B,9.866B,1.851B,8.015B,5.463B,5.463B,,622.00M,-2.216B,,-4.00M,,5.962B,2.053B,,-4.00M,-2.216B,-4.00M,-167.00M,74.00M,-241.00M,,,-241.00M,1.199B,-3.587B,499.00M,-4.086B,,-0.78,0.00,,3.881,-0.78,,-0.78,0.00,,3.837,-0.78,,309.00M,312.00M,0.10,,AOR,Restated
2008-02,9.437B,9.437B,1.613B,7.824B,5.382B,5.382B,,615.00M,-1.312B,,-10.00M,,5.874B,1.95B,,-10.00M,-1.312B,-10.00M,628.00M,235.00M,393.00M,,,393.00M,1.214B,2.442B,492.00M,1.95B,,1.27,0.00,,3.927,1.27,,1.26,0.00,,3.892,1.26,,309.00M,312.00M,0.10,,AOR,Restated
2007-11,9.451B,9.451B,1.537B,7.914B,5.299B,5.299B,,611.00M,-1.35B,,-15.00M,,5.781B,2.133B,,-15.00M,-1.35B,-15.00M,768.00M,289.00M,479.00M,,,479.00M,1.321B,2.615B,482.00M,2.133B,,1.55,0.00,,4.275,1.55,,1.54,0.00,,4.239,1.54,,309.00M,312.00M,0.00,,AOR,Restated
2007-08,9.199B,9.199B,1.94B,7.259B,3.483B,3.483B,,593.00M,-2.00M,,-25.00M,1.303B,5.259B,2.00B,,-25.00M,-2.00M,-25.00M,787.00M,293.00M,494.00M,,,494.00M,495.26M,2.473B,473.00M,2.00B,,1.60,0.00,,1.604,1.60,,1.58,0.00,,1.584,1.58,,312.00M,314.70M,0.10,,AOR,Restated
2007-05,9.151B,9.151B,3.628B,5.523B,,,,,-4.758B,,,,-244.00M,5.767B,,,-4.758B,,993.00M,383.00M,610.00M,,,610.00M,3.533B,1.551B,464.00M,1.087B,,1.98,0.00,,11.44,1.98,,1.96,0.00,,11.36,1.96,,309.05M,310.81M,0.19,,AOR,Restated
2007-02,8.592B,8.592B,598.00M,7.994B,,,,,-1.00M,,,6.904B,7.353B,641.00M,,,-1.00M,,629.00M,209.00M,420.00M,,,420.00M,420.67M,1.09B,449.00M,641.00M,,1.37,0.00,,1.372,1.37,,1.35,0.00,,1.352,1.35,,306.57M,311.11M,0.09,,AOR,Restated
2006-11,8.926B,8.926B,584.00M,8.342B,,,,,1.00M,,,7.073B,7.503B,839.00M,,,1.00M,,823.00M,312.00M,511.00M,,,511.00M,510.38M,1.269B,430.00M,839.00M,,1.67,0.00,,1.668,1.67,,1.64,0.00,,1.638,1.64,,305.99M,311.59M,0.09,,AOR,Restated
2006-08,8.545B,8.545B,570.00M,7.975B,,,,,-5.00M,,,6.792B,7.191B,784.00M,,,-5.00M,,770.00M,295.00M,475.00M,,,475.00M,478.08M,1.183B,399.00M,784.00M,,1.55,0.00,,1.560,1.55,,1.53,0.00,,1.540,1.53,,306.45M,310.46M,0.09,,AOR,Restated
2006-05,8.494B,8.494B,-1.262B,9.756B,,,403.00M,,2.00M,,,15.90B,5.177B,4.579B,,,2.00M,,907.00M,339.00M,568.00M,,,568.00M,566.75M,4.982B,403.00M,4.579B,,1.86,0.00,,1.856,1.86,,1.82,0.00,,1.816,1.82,,305.87M,312.92M,0.08,,AOR,Restated
2006-02,8.003B,8.003B,577.00M,7.426B,,,391.00M,,-2.00M,,,6.322B,6.713B,713.00M,,,-2.00M,,683.00M,255.00M,428.00M,,,428.00M,429.25M,1.104B,391.00M,713.00M,,1.41,0.00,,1.414,1.41,,1.38,0.00,,1.384,1.38,,303.55M,310.14M,0.08,,AOR,Restated
2005-11,8.09B,8.09B,584.00M,7.506B,,,386.00M,,0.00,,,6.33B,6.716B,790.00M,,,,,760.00M,289.00M,471.00M,,,471.00M,471.00M,1.176B,386.00M,790.00M,,1.55,0.00,,1.55,1.55,,1.53,0.00,,1.53,1.53,,303.87M,307.84M,0.08,,AOR,Restated
2005-08,7.707B,7.707B,665.00M,7.042B,,,,,-11.00M,,,6.088B,6.458B,584.00M,,,-11.00M,,549.00M,210.00M,339.00M,,,339.00M,345.79M,954.00M,368.00M,584.00M,,1.12,0.00,,1.142,1.12,,1.10,0.00,,1.122,1.10,,302.68M,308.18M,0.08,,AOR,Restated
2005-05,7.715B,7.715B,586.00M,7.129B,,,,,-1.00M,,,-5.945B,6.389B,740.00M,,,-1.00M,,711.00M,263.00M,448.00M,,,448.00M,448.63M,1.111B,371.00M,740.00M,,1.48,0.00,,1.482,1.48,,1.46,0.00,,1.462,1.46,,303.19M,306.80M,0.07,,AOR,Restated
2005-02,7.339B,7.339B,585.00M,6.754B,,,,,-4.00M,,,5.834B,6.202B,552.00M,,,-4.00M,,514.00M,197.00M,317.00M,,,317.00M,319.47M,920.00M,368.00M,552.00M,,1.05,0.00,,1.058,1.05,,1.03,0.00,,1.038,1.03,,301.90M,307.77M,0.07,,AOR,Restated
2004-11,7.334B,7.334B,1.154B,6.18B,3.507B,3.507B,363.00M,-577.00M,-8.00M,,,2.864B,6.734B,-554.00M,,,-8.00M,,554.00M,200.00M,354.00M,,,354.00M,359.11M,-191.00M,363.00M,-554.00M,,1.18,0.00,,1.197,1.18,,1.15,0.00,,1.167,1.15,,300.00M,307.83M,0.07,,AOR,Restated
2004-08,6.975B,6.975B,551.00M,6.424B,,,360.00M,,-6.00M,,,5.002B,5.362B,1.062B,,,-6.00M,,534.00M,204.00M,330.00M,,,330.00M,333.71M,1.422B,360.00M,1.062B,,1.10,0.00,,1.112,1.10,,1.08,0.00,,1.092,1.08,,300.00M,305.56M,0.07,,AOR,Restated
2004-05,7.041B,7.041B,1.136B,5.905B,3.518B,3.518B,365.00M,-568.00M,-8.00M,,,2.024B,5.907B,-2.00M,,,-8.00M,,643.00M,231.00M,412.00M,,,412.00M,417.13M,363.00M,365.00M,-2.00M,,1.37,0.00,,1.387,1.37,,1.36,0.00,,1.377,1.36,,303.44M,303.44M,0.06,,AOR,Restated
2004-02,6.062B,6.062B,948.00M,5.114B,3.123B,3.123B,340.00M,-474.00M,-16.00M,,,1.811B,5.274B,-160.00M,,,-16.00M,,334.00M,127.00M,207.00M,,,207.00M,216.92M,180.00M,340.00M,-160.00M,,0.69,0.00,,0.7231,0.69,,0.68,0.00,,0.7126,0.68,,300.00M,304.41M,0.06,,AOR,Restated
2003-11,5.92B,5.92B,894.00M,5.026B,3.006B,3.006B,336.00M,-447.00M,-285.00M,,,1.76B,5.102B,-76.00M,,,-285.00M,,146.00M,55.00M,91.00M,,,91.00M,268.64M,260.00M,336.00M,-76.00M,,0.31,0.00,,0.9151,0.31,,0.30,0.00,,0.8856,0.30,,293.55M,303.33M,0.05,,AOR,Restated
2003-08,5.687B,5.687B,429.00M,5.258B,,,,,1.00M,,,4.402B,4.736B,522.00M,,,1.00M,,196.00M,68.00M,128.00M,,,128.00M,127.35M,856.00M,334.00M,522.00M,,0.43,0.00,,0.4278,0.43,,0.42,0.00,,0.4179,0.42,,297.67M,304.76M,0.05,,AOR,Restated
2003-05,5.83B,5.83B,2.245B,3.585B,,,,,-11.00M,,,-5.589B,6.332B,-2.747B,,,-11.00M,,451.00M,171.00M,280.00M,,,280.00M,286.83M,-2.407B,340.00M,-2.747B,,0.94,0.00,,0.9629,0.94,,0.92,0.00,,0.9424,0.92,,298.07M,305.09M,0.05,,AOR,Restated
2003-02,5.545B,5.545B,452.00M,5.093B,,,,,-3.00M,,,4.138B,4.472B,621.00M,,,-3.00M,,237.00M,90.00M,147.00M,,,147.00M,148.86M,2.309B,1.688B,621.00M,,0.49,0.00,,0.4962,0.49,,0.49,0.00,,0.4962,0.49,,300.00M,300.00M,0.05,,AOR,Restated
2002-11,5.667B,5.667B,2.964B,2.703B,2.868B,2.868B,338.00M,-465.00M,-4.00M,,,795.00M,4.001B,-1.298B,,,-4.00M,,395.00M,150.00M,245.00M,,,245.00M,247.48M,-960.00M,-338.00M,-1.298B,,0.82,0.00,,0.8283,0.82,,0.81,0.00,,0.8182,0.81,,298.00M,303.00M,0.05,,AOR,
2002-08,5.445B,5.445B,2.841B,2.604B,2.87B,2.87B,339.00M,-444.00M,3.00M,,,770.00M,3.979B,-1.375B,,,3.00M,,255.00M,97.00M,158.00M,,,158.00M,156.14M,-1.036B,-339.00M,-1.375B,,0.53,0.00,,0.5238,0.53,,0.52,0.00,,0.5138,0.52,,298.00M,302.00M,0.05,,AOR,
