,NetIncome,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2014-08,653.00M,,,,,651.00M,651.00M,-22.00M,,48.00M,48.00M,-86.00M,,-257.00M,,-40.00M,-383.00M,,982.00M,,-720.00M,,,,4.00M,-716.00M,,0.00,,0.00,97.00M,-791.00M,-694.00M,-57.00M,-57.00M,10.00M,-741.00M,,2.908B,-475.00M,-17.00M,2.416B,,97.00M,,0.00,-791.00M,,,,AOR,Restated
2014-05,957.00M,,,,,649.00M,649.00M,-53.00M,,23.00M,23.00M,-274.00M,,658.00M,,-302.00M,60.00M,,1.686B,,-979.00M,,,-36.00M,-5.00M,-1.02B,,0.00,,0.00,95.00M,-873.00M,-778.00M,-45.00M,-45.00M,16.00M,-807.00M,,3.042B,-141.00M,7.00M,2.908B,,95.00M,0.00,0.00,-873.00M,,,,AOR,Restated
2014-02,378.00M,,,,,652.00M,652.00M,191.00M,,23.00M,23.00M,143.00M,,-417.00M,,-31.00M,-305.00M,,969.00M,,-864.00M,,,0.00,4.00M,-860.00M,,1.746B,,1.746B,82.00M,-2.765B,-2.683B,-47.00M,-47.00M,-11.00M,-995.00M,,3.935B,-886.00M,-7.00M,3.042B,,82.00M,1.997B,-251.00M,-2.765B,,,,AOR,Restated
2013-11,500.00M,,,,,647.00M,647.00M,112.00M,,26.00M,26.00M,-395.00M,,-133.00M,,-105.00M,-633.00M,,680.00M,,-1.118B,,,,9.00M,-1.109B,,-3.00M,,-3.00M,249.00M,-941.00M,-692.00M,-47.00M,-47.00M,6.00M,-736.00M,,5.096B,-1.165B,4.00M,3.935B,,249.00M,,-3.00M,-941.00M,,,,AOR,Restated
2013-08,489.00M,,,,,639.00M,639.00M,89.00M,,45.00M,45.00M,10.00M,,-343.00M,,-37.00M,-370.00M,,929.00M,,-572.00M,,,,10.00M,-562.00M,,,,,131.00M,-278.00M,-147.00M,-48.00M,-48.00M,14.00M,-181.00M,,4.917B,186.00M,-7.00M,5.096B,,131.00M,,,-278.00M,,,,AOR,Restated
2013-05,1.458B,,,,,622.00M,622.00M,241.00M,,22.00M,392.00M,-171.00M,,580.00M,,-445.00M,221.00M,,1.712B,,-945.00M,,,0.00,10.00M,-935.00M,,748.00M,,748.00M,59.00M,0.00,59.00M,-45.00M,-45.00M,5.00M,767.00M,,3.372B,1.544B,1.00M,4.917B,,59.00M,748.00M,0.00,0.00,,,,AOR,Restated
2013-02,361.00M,,,,,599.00M,599.00M,226.00M,,23.00M,23.00M,223.00M,,-225.00M,,14.00M,12.00M,,1.258B,,-542.00M,,,0.00,25.00M,-517.00M,,0.00,,0.00,168.00M,0.00,168.00M,-44.00M,-44.00M,3.00M,127.00M,,2.517B,868.00M,-13.00M,3.372B,,168.00M,0.00,0.00,0.00,,,,AOR,Restated
2012-11,438.00M,,,,,592.00M,592.00M,145.00M,,24.00M,24.00M,-506.00M,,129.00M,,-53.00M,-430.00M,,815.00M,,-916.00M,,,0.00,8.00M,-908.00M,,-116.00M,,-116.00M,23.00M,0.00,23.00M,-44.00M,-44.00M,2.00M,-135.00M,,2.743B,-228.00M,2.00M,2.517B,,23.00M,0.00,-116.00M,0.00,,,,AOR,Restated
2012-08,459.00M,,,,,573.00M,573.00M,122.00M,,40.00M,40.00M,3.00M,,-474.00M,,133.00M,-338.00M,,903.00M,,-972.00M,,,-483.00M,12.00M,-1.443B,,690.00M,,690.00M,30.00M,-246.00M,-216.00M,-44.00M,-44.00M,-5.00M,425.00M,,2.843B,-115.00M,15.00M,2.743B,,30.00M,991.00M,-301.00M,-246.00M,,,,AOR,Restated
2012-05,550.00M,,,,,543.00M,543.00M,432.00M,,22.00M,51.00M,-167.00M,,804.00M,,-306.00M,100.00M,,1.818B,,-1.061B,,,-2.00M,54.00M,-1.009B,,-1.00M,,-1.00M,45.00M,0.00,45.00M,-41.00M,-41.00M,11.00M,14.00M,,2.04B,823.00M,-20.00M,2.843B,,45.00M,0.00,-1.00M,0.00,,,,AOR,Restated
2012-02,521.00M,,,,,543.00M,543.00M,416.00M,,23.00M,23.00M,204.00M,,-779.00M,,-118.00M,-693.00M,,849.00M,,-729.00M,,,0.00,5.00M,-724.00M,,-10.00M,,-10.00M,51.00M,0.00,51.00M,-41.00M,-41.00M,2.00M,2.00M,,1.896B,127.00M,17.00M,2.04B,,51.00M,0.00,-10.00M,0.00,,,,AOR,Restated
2011-11,497.00M,,,,,518.00M,518.00M,147.00M,,23.00M,23.00M,-250.00M,,382.00M,,-50.00M,82.00M,,1.308B,,-1.107B,,,-3.00M,10.00M,-1.10B,,-1.00M,,-1.00M,4.00M,-197.00M,-193.00M,-82.00M,-41.00M,1.00M,-234.00M,,1.959B,-26.00M,-37.00M,1.896B,,4.00M,0.00,-1.00M,-197.00M,,,,AOR,Restated
2011-08,464.00M,,,,,509.00M,509.00M,131.00M,,37.00M,37.00M,-41.00M,,-263.00M,,-20.00M,-324.00M,,860.00M,,-1.11B,,,-111.00M,5.00M,-1.216B,,-17.00M,,-17.00M,28.00M,0.00,28.00M,,-41.00M,4.00M,-26.00M,,2.328B,-382.00M,13.00M,1.959B,,28.00M,0.00,-17.00M,0.00,,,,AOR,Restated
2011-05,558.00M,,,,,499.00M,499.00M,193.00M,,20.00M,-49.00M,-116.00M,,430.00M,-114.00M,41.00M,241.00M,,1.584B,,-731.00M,,,0.00,96.00M,-635.00M,,0.00,,0.00,44.00M,0.00,44.00M,,-38.00M,7.00M,13.00M,,1.359B,962.00M,7.00M,2.328B,,44.00M,,0.00,0.00,493.00M,93.00M,,AOR,Restated
2011-02,231.00M,,,,,493.00M,493.00M,336.00M,,22.00M,22.00M,-205.00M,,-313.00M,53.00M,-213.00M,-678.00M,,446.00M,,-644.00M,,,-96.00M,8.00M,-732.00M,,-250.00M,,-250.00M,39.00M,0.00,39.00M,,-37.00M,7.00M,-241.00M,,1.877B,-527.00M,9.00M,1.359B,,39.00M,,-250.00M,0.00,,,,AOR,Restated
2010-11,283.00M,,,,,502.00M,502.00M,107.00M,,22.00M,22.00M,-117.00M,,413.00M,-23.00M,-7.00M,266.00M,,1.215B,,-1.047B,,,0.00,4.00M,-1.043B,,0.00,,0.00,17.00M,0.00,17.00M,,-38.00M,3.00M,-18.00M,,1.709B,154.00M,14.00M,1.877B,,17.00M,,0.00,0.00,-73.00M,-54.00M,,AOR,Restated
2010-08,380.00M,,,,,479.00M,479.00M,33.00M,,34.00M,34.00M,38.00M,,-160.00M,-30.00M,-9.00M,-161.00M,,796.00M,,-1.012B,,,0.00,3.00M,-1.009B,,-12.00M,,-12.00M,8.00M,,8.00M,,-38.00M,1.00M,-41.00M,,1.952B,-254.00M,11.00M,1.709B,,8.00M,,-12.00M,,73.00M,54.00M,,AOR,Restated
2010-05,419.00M,,,,,488.00M,488.00M,148.00M,,21.00M,39.00M,-261.00M,,422.00M,38.00M,-87.00M,112.00M,,1.23B,,-835.00M,,,0.00,4.00M,-831.00M,,-21.00M,,-21.00M,58.00M,,58.00M,,-35.00M,12.00M,14.00M,,1.549B,413.00M,-10.00M,1.952B,,58.00M,,-21.00M,,,,,AOR,Restated
2010-02,239.00M,,,,,488.00M,488.00M,133.00M,,22.00M,22.00M,-237.00M,,-16.00M,-2.00M,-108.00M,-363.00M,,551.00M,,-432.00M,-33.00M,-33.00M,0.00,31.00M,-434.00M,,-7.00M,,-7.00M,12.00M,,12.00M,,-34.00M,4.00M,-25.00M,,1.465B,92.00M,-8.00M,1.549B,,12.00M,,-7.00M,,,,,AOR,Restated
2009-11,345.00M,,,,,487.00M,487.00M,-2.00M,,23.00M,23.00M,-356.00M,,439.00M,-2.00M,-508.00M,-427.00M,,459.00M,,-669.00M,33.00M,33.00M,,-26.00M,-662.00M,,-117.00M,,-117.00M,17.00M,,17.00M,,-35.00M,4.00M,-131.00M,,1.789B,-334.00M,10.00M,1.465B,,17.00M,,-117.00M,,,,,AOR,Restated
2009-08,181.00M,,,,,495.00M,495.00M,52.00M,,35.00M,35.00M,-52.00M,,-135.00M,242.00M,45.00M,100.00M,,898.00M,,-880.00M,,,,26.00M,-854.00M,,-508.00M,,-508.00M,7.00M,,7.00M,,-34.00M,-15.00M,-550.00M,,2.292B,-506.00M,3.00M,1.789B,,7.00M,,-508.00M,,,,,AOR,Restated
2009-05,-876.00M,,,,,496.00M,496.00M,228.00M,,21.00M,1.124B,212.00M,,166.00M,-300.00M,-571.00M,-493.00M,,532.00M,,-472.00M,41.00M,41.00M,,,-431.00M,,-500.00M,,-500.00M,31.00M,,31.00M,,-34.00M,3.00M,-500.00M,,2.673B,-399.00M,18.00M,2.292B,,31.00M,0.00,-500.00M,,,,,AOR,Restated
2009-02,97.00M,,,,,496.00M,496.00M,-4.00M,,22.00M,22.00M,551.00M,,-476.00M,-5.00M,39.00M,109.00M,,766.00M,,-600.00M,5.00M,5.00M,,,-595.00M,,1.00B,,1.00B,2.00M,,2.00M,,-35.00M,-7.00M,960.00M,,1.542B,1.131B,0.00,2.673B,,2.00M,1.00B,0.00,,,,,AOR,Restated
2008-11,493.00M,,,,,491.00M,491.00M,40.00M,,23.00M,23.00M,97.00M,,-12.00M,12.00M,-434.00M,-337.00M,,757.00M,,-751.00M,15.00M,15.00M,,,-736.00M,,0.00,,0.00,3.00M,,3.00M,,-34.00M,1.00M,-30.00M,,1.573B,-9.00M,-22.00M,1.542B,,3.00M,,0.00,,,,,AOR,Restated
2008-08,384.00M,,,,,492.00M,492.00M,35.00M,,33.00M,33.00M,-98.00M,,-306.00M,97.00M,26.00M,-281.00M,,698.00M,,-636.00M,15.00M,15.00M,,,-621.00M,,-1.00M,,-1.00M,5.00M,,5.00M,,-34.00M,,-30.00M,,1.539B,47.00M,-13.00M,1.573B,,5.00M,,-1.00M,,,,,AOR,Restated
2008-05,-241.00M,,,,,499.00M,499.00M,-27.00M,,24.00M,906.00M,-114.00M,,663.00M,-152.00M,-282.00M,115.00M,,1.288B,,-782.00M,12.00M,12.00M,,,-770.00M,,-16.00M,,-16.00M,37.00M,,37.00M,,-31.00M,15.00M,5.00M,,1.011B,523.00M,5.00M,1.539B,,37.00M,0.00,-16.00M,,,,,AOR,Restated
2008-02,393.00M,,,,,492.00M,492.00M,121.00M,,23.00M,23.00M,46.00M,,-159.00M,-9.00M,-30.00M,-152.00M,,913.00M,,-643.00M,18.00M,18.00M,,,-625.00M,,-108.00M,,-108.00M,21.00M,,21.00M,,-31.00M,11.00M,-107.00M,,830.00M,181.00M,0.00,1.011B,,21.00M,0.00,-108.00M,,,,,AOR,Restated
2007-11,479.00M,,,,,482.00M,482.00M,-2.00M,,25.00M,21.00M,-344.00M,,-148.00M,-76.00M,18.00M,-550.00M,,463.00M,,-747.00M,20.00M,20.00M,,-4.00M,-731.00M,,-8.00M,,-8.00M,10.00M,,10.00M,,-31.00M,3.00M,-26.00M,,1.112B,-294.00M,12.00M,830.00M,,10.00M,,-8.00M,,,,,AOR,Restated
2007-08,494.00M,,,,,473.00M,473.00M,32.00M,,29.00M,33.00M,-35.00M,,-166.00M,,-59.00M,-260.00M,,801.00M,,-775.00M,,,,4.00M,-771.00M,,-507.00M,,-507.00M,40.00M,,40.00M,,-31.00M,9.00M,-489.00M,,1.569B,-459.00M,2.00M,1.112B,,40.00M,,-507.00M,,,,,AOR,Restated
2007-05,610.00M,,,,,464.00M,464.00M,,,,-33.00M,-30.00M,,229.00M,-39.00M,109.00M,269.00M,,1.453B,,-770.00M,-35.00M,-35.00M,-319.00M,,-1.056B,,-623.00M,,-623.00M,22.00M,,22.00M,,-27.00M,24.00M,-604.00M,,1.77B,-207.00M,,1.569B,,22.00M,0.00,-623.00M,,,,,AOR,Restated
2007-02,420.00M,,,,,449.00M,449.00M,,,,380.00M,59.00M,,-330.00M,-8.00M,-214.00M,-493.00M,,756.00M,,-653.00M,3.00M,3.00M,-207.00M,,-857.00M,,-2.00M,,-2.00M,38.00M,,38.00M,,-28.00M,8.00M,16.00M,,1.855B,-85.00M,,1.77B,,38.00M,55.00M,-57.00M,,,,,AOR,Restated
2006-11,511.00M,,,,,430.00M,430.00M,,,,-292.00M,-214.00M,,252.00M,-25.00M,21.00M,34.00M,,683.00M,,-760.00M,27.00M,27.00M,-784.00M,,-1.517B,,-5.00M,,-5.00M,25.00M,,25.00M,,-27.00M,6.00M,-1.00M,,2.69B,-835.00M,,1.855B,,25.00M,0.00,-5.00M,,,,,AOR,Restated
2006-08,475.00M,,,,,399.00M,399.00M,,,,48.00M,-138.00M,,-85.00M,-13.00M,-21.00M,-257.00M,,665.00M,,-699.00M,5.00M,5.00M,,,-694.00M,,778.00M,,778.00M,30.00M,,30.00M,,-28.00M,2.00M,782.00M,,1.937B,753.00M,,2.69B,,30.00M,999.00M,-221.00M,,,,,AOR,Restated
2006-05,568.00M,,,-170.00M,-1.145B,403.00M,403.00M,114.00M,,,271.00M,-128.00M,,318.00M,-4.00M,85.00M,271.00M,,1.457B,,-662.00M,-44.00M,1.812B,20.00M,44.00M,-642.00M,,-14.00M,,-14.00M,39.00M,,39.00M,,-24.00M,0.00,1.00M,,1.121B,816.00M,,1.937B,,39.00M,0.00,-14.00M,,-766.00M,-116.00M,,AOR,Restated
2006-02,428.00M,,,170.00M,391.00M,391.00M,391.00M,9.00M,,,-136.00M,123.00M,,37.00M,-19.00M,81.00M,222.00M,,1.084B,,-530.00M,7.00M,-523.00M,7.00M,-7.00M,-523.00M,,-253.00M,,-253.00M,52.00M,,52.00M,,-25.00M,0.00,-226.00M,,786.00M,335.00M,,1.121B,,52.00M,0.00,-253.00M,,291.00M,52.00M,,AOR,Restated
2005-11,471.00M,,,,754.00M,386.00M,386.00M,64.00M,,,59.00M,-311.00M,,73.00M,-22.00M,-368.00M,-628.00M,,352.00M,,-655.00M,37.00M,-1.289B,36.00M,-37.00M,-619.00M,,-7.00M,,-7.00M,35.00M,,35.00M,,-24.00M,-2.00M,2.00M,,1.051B,-265.00M,,786.00M,,35.00M,0.00,-7.00M,,475.00M,64.00M,,AOR,Restated
2005-08,339.00M,,,,,368.00M,368.00M,,,,77.00M,-3.00M,,-82.00M,7.00M,77.00M,-1.00M,,783.00M,,-671.00M,,,1.00M,,-670.00M,,-95.00M,,-95.00M,18.00M,,18.00M,,-24.00M,,-101.00M,,1.039B,12.00M,,1.051B,,18.00M,0.00,-95.00M,,,,,AOR,Restated
2005-05,448.00M,,,137.00M,1.462B,371.00M,371.00M,63.00M,,,-29.00M,-75.00M,41.00M,115.00M,,112.00M,167.00M,,1.157B,,-575.00M,12.00M,-2.224B,2.00M,-14.00M,-575.00M,,-618.00M,,-618.00M,11.00M,,11.00M,,-21.00M,1.00M,-627.00M,,1.084B,-45.00M,,1.039B,,11.00M,,-618.00M,,,,,AOR,Restated
2005-02,317.00M,,,-49.00M,-723.00M,368.00M,368.00M,56.00M,,,29.00M,36.00M,-26.00M,52.00M,,-62.00M,0.00,,721.00M,,-486.00M,-5.00M,1.17B,5.00M,5.00M,-481.00M,,-100.00M,,-100.00M,27.00M,,27.00M,,-21.00M,-1.00M,-95.00M,,939.00M,145.00M,,1.084B,,27.00M,,-100.00M,,-493.00M,-85.00M,,AOR,Restated
