,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2018-03,1.006B,-1.00M,,134.00M,14.00M,147.00M,122.00M,122.00M,,,,-70.00M,,,,,-182.00M,-810.00M,626.00M,,-62.00M,-62.00M,-367.00M,-676.00M,,-1.251B,,498.00M,,498.00M,,-270.00M,-270.00M,558.00M,,558.00M,-132.00M,-29.00M,-161.00M,10.00M,-177.00M,458.00M,,617.00M,-167.00M,450.00M,,,558.00M,498.00M,,-270.00M,,AOR,Restated
2017-12,1.614B,-5.00M,,-127.00M,,-349.00M,125.00M,125.00M,,,,942.00M,,,,,-451.00M,-583.00M,1.10B,,-83.00M,-83.00M,0.00,155.00M,,-140.00M,,0.00,,0.00,,-647.00M,-647.00M,0.00,,0.00,-134.00M,-29.00M,-163.00M,3.00M,-226.00M,-1.033B,,690.00M,-73.00M,617.00M,,,0.00,0.00,0.00,-647.00M,,AOR,Restated
2017-09,666.00M,-1.00M,,-103.00M,,-104.00M,120.00M,120.00M,,,,-1.239B,,,,,821.00M,1.01B,1.866B,,-70.00M,-70.00M,-218.00M,-848.00M,,-1.127B,,0.00,,0.00,,-191.00M,-191.00M,0.00,,0.00,-134.00M,-29.00M,-163.00M,24.00M,-201.00M,-531.00M,,482.00M,208.00M,690.00M,,,0.00,0.00,0.00,-191.00M,,AOR,Restated
2017-06,579.00M,-12.00M,,-81.00M,,-93.00M,119.00M,119.00M,,,,-37.00M,,,,,-500.00M,-289.00M,491.00M,,-72.00M,-72.00M,-39.00M,428.00M,,337.00M,,,,,,-393.00M,-393.00M,,,,-135.00M,-29.00M,-164.00M,41.00M,-272.00M,-788.00M,,442.00M,40.00M,482.00M,,,,,,-393.00M,,AOR,Restated
2017-03,695.00M,-2.00M,,-134.00M,,-136.00M,119.00M,119.00M,,,,-8.00M,,,,,65.00M,6.00M,857.00M,,-74.00M,-74.00M,-1.414B,1.071B,,-280.00M,,0.00,,0.00,,-264.00M,-264.00M,0.00,,0.00,-122.00M,-29.00M,-151.00M,67.00M,-223.00M,-571.00M,,436.00M,6.00M,442.00M,,,0.00,0.00,,-264.00M,,AOR,Restated
2016-12,840.00M,-1.00M,,-2.00M,,-3.00M,97.00M,97.00M,,,,350.00M,,,,,330.00M,149.00M,1.251B,,-123.00M,-123.00M,-75.00M,-1.582B,,-1.868B,,1.235B,,1.235B,,-183.00M,-183.00M,,,,-122.00M,-29.00M,-151.00M,41.00M,-278.00M,664.00M,,389.00M,47.00M,436.00M,,,,,-1.00M,-183.00M,,AOR,Restated
2016-09,520.00M,-1.00M,,-33.00M,,-34.00M,97.00M,97.00M,,,,-509.00M,,,,,335.00M,618.00M,1.384B,,-70.00M,-70.00M,-154.00M,-667.00M,,-834.00M,,0.00,,0.00,,-250.00M,-250.00M,,,,-124.00M,-29.00M,-153.00M,51.00M,-255.00M,-607.00M,,446.00M,-57.00M,389.00M,,,,,0.00,-250.00M,,AOR,Restated
2016-06,271.00M,-1.00M,,-24.00M,,-25.00M,97.00M,97.00M,,,,-118.00M,,,,,-86.00M,116.00M,644.00M,,-68.00M,-68.00M,-250.00M,547.00M,,80.00M,,0.00,,0.00,,-448.00M,-448.00M,,,,-125.00M,-29.00M,-154.00M,42.00M,-249.00M,-809.00M,,531.00M,-85.00M,446.00M,,,,,0.00,-448.00M,,AOR,Restated
2016-03,246.00M,-2.00M,,149.00M,,147.00M,91.00M,91.00M,,,,-29.00M,,,,,-178.00M,40.00M,714.00M,,-52.00M,-52.00M,-90.00M,203.00M,,96.00M,,-16.00M,,-16.00M,,-456.00M,-456.00M,,,,-115.00M,-29.00M,-144.00M,30.00M,-188.00M,-774.00M,,495.00M,36.00M,531.00M,,,,,-16.00M,-456.00M,,AOR,Restated
2015-12,489.00M,-1.00M,,250.00M,,249.00M,96.00M,96.00M,,,,111.00M,,,,,-27.00M,-87.00M,930.00M,,-84.00M,-84.00M,-107.00M,-232.00M,,-353.00M,,0.00,,0.00,,-592.00M,-592.00M,,,,-118.00M,-29.00M,-147.00M,9.00M,-257.00M,-987.00M,,905.00M,-410.00M,495.00M,,,,,0.00,-592.00M,,AOR,Restated
2015-09,650.00M,-2.00M,,-33.00M,,-35.00M,96.00M,96.00M,,,,-121.00M,,,,,194.00M,478.00M,1.383B,,-86.00M,-86.00M,-163.00M,351.00M,,41.00M,,-11.00M,,-11.00M,,-792.00M,-792.00M,,,,-122.00M,-29.00M,-151.00M,12.00M,-382.00M,-1.324B,,805.00M,100.00M,905.00M,,,,,-11.00M,-792.00M,,AOR,Restated
2015-06,355.00M,-1.00M,,-108.00M,,-109.00M,92.00M,92.00M,,,,-212.00M,,,,,-249.00M,214.00M,737.00M,,-74.00M,-74.00M,97.00M,22.00M,,-19.00M,,-9.00M,,-9.00M,,-414.00M,-414.00M,,,,-125.00M,-29.00M,-154.00M,45.00M,-297.00M,-829.00M,,916.00M,-111.00M,805.00M,,,,,-9.00M,-414.00M,,AOR,Restated
2015-03,677.00M,1.00M,,-139.00M,,-138.00M,87.00M,87.00M,,,,-90.00M,,,,,-132.00M,-259.00M,566.00M,,-59.00M,-59.00M,-69.00M,1.289B,,1.073B,,0.00,,0.00,,-1.01B,-1.01B,,,,-118.00M,-29.00M,-147.00M,64.00M,-287.00M,-1.38B,,657.00M,259.00M,916.00M,,,,,0.00,-1.01B,,AOR,Restated
2014-12,824.00M,-3.00M,,-106.00M,,-109.00M,89.00M,89.00M,,,0.00,-829.00M,,,,,90.00M,-335.00M,671.00M,,-81.00M,-81.00M,-117.00M,-120.00M,,-363.00M,,0.00,,0.00,,-112.00M,-112.00M,0.00,,0.00,-117.00M,-31.00M,-148.00M,62.00M,-338.00M,-536.00M,,885.00M,-228.00M,657.00M,,,0.00,,0.00,-112.00M,,AOR,Restated
2014-09,781.00M,27.00M,,-294.00M,,-267.00M,88.00M,88.00M,,,0.00,-305.00M,,,,,499.00M,564.00M,1.364B,,-83.00M,-83.00M,43.00M,970.00M,,963.00M,,-651.00M,,-651.00M,,-932.00M,-932.00M,0.00,,0.00,-122.00M,-31.00M,-153.00M,55.00M,-650.00M,-2.331B,,889.00M,-4.00M,885.00M,,,0.00,,-651.00M,-932.00M,,AOR,Restated
2014-06,645.00M,-9.00M,,-240.00M,,-249.00M,91.00M,91.00M,,,1.00M,-100.00M,,,,,-293.00M,27.00M,727.00M,,-69.00M,-69.00M,568.00M,-1.149B,,-355.00M,,-354.00M,,-354.00M,,-142.00M,-142.00M,240.00M,,240.00M,-125.00M,-13.00M,-138.00M,72.00M,-573.00M,-895.00M,,1.17B,-281.00M,889.00M,,242.00M,240.00M,,-354.00M,-142.00M,,AOR,Restated
2014-03,600.00M,59.00M,,-54.00M,,5.00M,98.00M,98.00M,,,,-91.00M,,,,,-338.00M,-536.00M,474.00M,,-55.00M,-55.00M,-41.00M,1.14B,,1.376B,,-1.00M,,-1.00M,,-1.115B,-1.115B,725.00M,,725.00M,-113.00M,-12.00M,-125.00M,77.00M,-674.00M,-1.113B,,675.00M,495.00M,1.17B,,-242.00M,725.00M,,-1.00M,-1.115B,,AOR,Restated
2013-12,821.00M,44.00M,,-142.00M,,-98.00M,122.00M,122.00M,,,2.00M,-928.00M,,,,,343.00M,19.00M,1.171B,,-91.00M,-91.00M,-32.00M,-656.00M,,-653.00M,,-18.00M,,-18.00M,,-449.00M,-449.00M,130.00M,,130.00M,-115.00M,-6.00M,-121.00M,62.00M,-529.00M,-925.00M,,1.069B,-394.00M,675.00M,,13.00M,130.00M,4.00M,-22.00M,-449.00M,,AOR,Restated
2013-09,316.00M,646.00M,,41.00M,,687.00M,66.00M,66.00M,,,9.00M,-252.00M,,,,,151.00M,123.00M,1.518B,,-73.00M,-73.00M,-220.00M,-325.00M,,-419.00M,,721.00M,-500.00M,221.00M,,-488.00M,-488.00M,373.00M,,373.00M,-118.00M,,-118.00M,48.00M,-687.00M,-651.00M,,634.00M,435.00M,1.069B,,-13.00M,373.00M,786.00M,-65.00M,-488.00M,,AOR,Restated
2013-06,434.00M,0.00,,-362.00M,,-362.00M,93.00M,93.00M,,,480.00M,-138.00M,,,,,-146.00M,-143.00M,813.00M,,17.00M,17.00M,56.00M,2.426B,,2.516B,,-1.551B,500.00M,-1.051B,,-158.00M,-158.00M,278.00M,,278.00M,-119.00M,0.00,-119.00M,43.00M,-2.508B,-3.515B,,820.00M,-186.00M,634.00M,,,278.00M,989.00M,-2.54B,-158.00M,,AOR,Restated
2013-03,709.00M,-2.00M,,-131.00M,,-133.00M,87.00M,87.00M,,,,384.00M,,,,,38.00M,-268.00M,740.00M,,-60.00M,-60.00M,-95.00M,127.00M,,136.00M,,492.00M,,492.00M,,-739.00M,-739.00M,0.00,,0.00,0.00,0.00,0.00,17.00M,-632.00M,-862.00M,,806.00M,14.00M,820.00M,,0.00,0.00,492.00M,0.00,-739.00M,,AOR,Restated
2012-12,394.00M,-3.00M,,-204.00M,,-207.00M,95.00M,95.00M,,,,-1.368B,,,,,328.00M,-203.00M,436.00M,,-109.00M,-109.00M,39.00M,822.00M,,1.084B,,-1.00M,,-1.00M,,-184.00M,-184.00M,0.00,,0.00,-212.00M,,-212.00M,25.00M,-984.00M,-1.356B,,642.00M,164.00M,806.00M,,,0.00,0.00,-1.00M,-184.00M,,AOR,Restated
2012-09,723.00M,-9.00M,,72.00M,,63.00M,92.00M,92.00M,,,,-335.00M,,,,,77.00M,-249.00M,844.00M,,-60.00M,-60.00M,-284.00M,470.00M,,145.00M,,0.00,,0.00,,-146.00M,-146.00M,,,,-107.00M,,-107.00M,34.00M,-699.00M,-918.00M,,571.00M,71.00M,642.00M,,0.00,,0.00,0.00,-146.00M,,AOR,Restated
2012-06,423.00M,-3.00M,,-27.00M,,-30.00M,105.00M,105.00M,,,,-58.00M,,,,,31.00M,103.00M,967.00M,,-65.00M,-65.00M,48.00M,48.00M,,273.00M,,-1.00M,0.00,-1.00M,,-274.00M,-274.00M,0.00,,0.00,-109.00M,,-109.00M,11.00M,-873.00M,-1.246B,,577.00M,-6.00M,571.00M,,,0.00,0.00,-1.00M,-274.00M,,AOR,Restated
2012-03,766.00M,-3.00M,,-168.00M,,-171.00M,96.00M,96.00M,,,,76.00M,,,,,136.00M,-262.00M,807.00M,,-51.00M,-51.00M,84.00M,86.00M,,79.00M,,143.00M,,143.00M,,-309.00M,-309.00M,,,,-106.00M,,-106.00M,15.00M,-828.00M,-1.085B,,776.00M,-199.00M,577.00M,,,,493.00M,-350.00M,-309.00M,,AOR,Restated
2011-12,712.00M,7.00M,,-503.00M,,-496.00M,103.00M,103.00M,,,-833.00M,-525.00M,,183.00M,,,-48.00M,-873.00M,258.00M,,-86.00M,-86.00M,-1.613B,3.234B,,1.356B,,1.00M,,1.00M,-18.00M,-95.00M,-113.00M,,,,,,-108.00M,,-1.663B,-1.864B,,1.026B,-250.00M,776.00M,,,-18.00M,7.00M,-6.00M,-95.00M,,AOR,Restated
2011-09,175.00M,-13.00M,,153.00M,,140.00M,60.00M,60.00M,,,833.00M,-136.00M,,43.00M,,,109.00M,38.00M,411.00M,,-54.00M,-54.00M,2.00M,2.01B,,1.79B,,0.00,,0.00,1.00M,-314.00M,-313.00M,,,,,,-109.00M,,-1.446B,-1.868B,,693.00M,333.00M,1.026B,,,1.00M,0.00,0.00,-314.00M,,AOR,Restated
2011-06,-624.00M,-7.00M,,-57.00M,,-64.00M,58.00M,58.00M,,,,-25.00M,,-226.00M,,,44.00M,747.00M,534.00M,,-58.00M,-58.00M,0.00,2.039B,,1.73B,,-1.00M,,-1.00M,8.00M,-239.00M,-231.00M,,,,,,-111.00M,,-1.869B,-2.212B,,641.00M,52.00M,693.00M,,,8.00M,0.00,-1.00M,-239.00M,,AOR,Restated
2011-03,524.00M,20.00M,,-96.00M,,-76.00M,31.00M,31.00M,,,,3.00M,,,,,182.00M,-171.00M,726.00M,,-48.00M,-48.00M,-1.00M,1.246B,,1.285B,,0.00,,0.00,9.00M,-305.00M,-296.00M,,,,,,-107.00M,,-1.529B,-1.932B,,562.00M,79.00M,641.00M,,,9.00M,0.00,0.00,-305.00M,,AOR,Restated
2010-12,279.00M,-19.00M,,827.00M,,808.00M,39.00M,39.00M,,,-2.289B,-118.00M,,-178.00M,,,129.00M,22.00M,666.00M,,-48.00M,-48.00M,-837.00M,1.316B,,661.00M,,-1.00M,,-1.00M,-26.00M,-147.00M,-173.00M,,,,,,-108.00M,,-1.011B,-1.265B,,500.00M,62.00M,562.00M,,,-26.00M,,-1.00M,-147.00M,,AOR,Restated
2010-09,367.00M,3.00M,,,,3.00M,29.00M,29.00M,,,1.49B,-146.00M,,104.00M,,,-58.00M,-47.00M,929.00M,,-45.00M,-45.00M,7.00M,-222.00M,,-82.00M,,0.00,,0.00,1.00M,0.00,1.00M,,,,,,-107.00M,,-952.00M,-1.058B,,711.00M,-211.00M,500.00M,,,1.00M,,0.00,0.00,,AOR,
2010-06,145.00M,-3.00M,1.00M,-348.00M,,-350.00M,10.00M,10.00M,,,799.00M,-15.00M,,74.00M,,,7.00M,76.00M,1.13B,,-45.00M,-45.00M,0.00,428.00M,,790.00M,,-1.00M,,-1.00M,11.00M,0.00,11.00M,,,,,,-108.00M,,-1.815B,-1.913B,,704.00M,7.00M,711.00M,,,11.00M,,-1.00M,0.00,,AOR,Restated
2010-03,120.00M,,-1.00M,348.00M,,347.00M,16.00M,16.00M,,,,24.00M,,,,,109.00M,18.00M,964.00M,,-24.00M,-24.00M,0.00,722.00M,,963.00M,,,,,14.00M,-5.00M,9.00M,,,,,,-107.00M,,-1.737B,-1.835B,,612.00M,92.00M,704.00M,,,14.00M,,,-5.00M,,AOR,Restated
2009-12,518.00M,,,,,,-4.00M,-4.00M,,,522.00M,134.00M,,485.00M,,,-558.00M,-250.00M,786.00M,,-46.00M,-46.00M,0.00,157.00M,,979.00M,,-751.00M,,-751.00M,1.00M,-1.00M,0.00,,,,,,-108.00M,,-1.021B,-1.88B,,727.00M,-115.00M,612.00M,,,1.00M,0.00,-751.00M,-1.00M,,AOR,Restated
2009-09,221.00M,,,,,,-1.00M,-1.00M,,,1.013B,-163.00M,,-184.00M,,,215.00M,-200.00M,1.033B,,-39.00M,-39.00M,12.00M,-367.00M,-12.00M,79.00M,,3.00M,,3.00M,2.00M,0.00,2.00M,,,,,,-107.00M,,-950.00M,-1.052B,,667.00M,60.00M,727.00M,,,2.00M,3.00M,0.00,0.00,,AOR,Restated
2009-06,389.00M,,,,,,-12.00M,-12.00M,,,232.00M,-16.00M,,-84.00M,,,193.00M,351.00M,960.00M,,-51.00M,-51.00M,,833.00M,0.00,1.033B,,999.00M,,999.00M,,0.00,0.00,,,,,,-107.00M,,-3.055B,-2.163B,,837.00M,-170.00M,667.00M,,,,1.00B,-1.00M,0.00,,AOR,Restated
2009-03,-274.00M,,,,,,-74.00M,-74.00M,,,935.00M,71.00M,,1.443B,,,-305.00M,935.00M,1.522B,,-53.00M,-53.00M,,916.00M,12.00M,1.349B,,,,,,-3.00M,-3.00M,,,,,,-220.00M,,-2.226B,-2.449B,,415.00M,422.00M,837.00M,,,,,,-3.00M,,AOR,Restated
2008-12,-1.129B,,,,,,-109.00M,-109.00M,,,2.57B,174.00M,,-688.00M,,,-199.00M,-978.00M,354.00M,,-138.00M,-138.00M,-611.00M,2.128B,,1.67B,,0.00,0.00,0.00,2.00M,-5.00M,-3.00M,,,,,,-221.00M,,-1.74B,-1.964B,,355.00M,60.00M,415.00M,,,2.00M,1.00M,-1.00M,-5.00M,,AOR,Restated
2008-09,-923.00M,,,,,,-126.00M,-126.00M,,,1.871B,-144.00M,,-815.00M,,,447.00M,435.00M,1.257B,,-55.00M,-55.00M,0.00,2.387B,,2.499B,,19.00M,-18.00M,1.00M,18.00M,-453.00M,-435.00M,,,,,,-224.00M,,-3.491B,-4.149B,,748.00M,-393.00M,355.00M,,,18.00M,1.00M,0.00,-453.00M,,AOR,Restated
2008-06,25.00M,,,,,,-82.00M,-82.00M,,,1.778B,-31.00M,,-408.00M,,,93.00M,-542.00M,1.179B,,-46.00M,-46.00M,-120.00M,-700.00M,,-491.00M,,0.00,16.00M,16.00M,9.00M,-434.00M,-425.00M,,,,,,-228.00M,,327.00M,-310.00M,,370.00M,378.00M,748.00M,,,9.00M,16.00M,0.00,-434.00M,,AOR,Restated
2008-03,348.00M,,,,,,-59.00M,-59.00M,,,1.288B,19.00M,,47.00M,,,-176.00M,-457.00M,1.12B,,-52.00M,-52.00M,,372.00M,,110.00M,,,2.00M,2.00M,4.00M,-431.00M,-427.00M,,,,,,-216.00M,,-641.00M,-1.282B,,422.00M,-52.00M,370.00M,,,4.00M,2.00M,,-431.00M,,AOR,Restated
2007-12,760.00M,,,,,,-68.00M,-68.00M,,,594.00M,-69.00M,,,,,373.00M,29.00M,1.315B,,-62.00M,-62.00M,,869.00M,-3.00M,804.00M,,0.00,0.00,0.00,6.00M,-579.00M,-573.00M,,,,,,-221.00M,,-1.21B,-2.004B,,307.00M,115.00M,422.00M,,,6.00M,0.00,0.00,-579.00M,,AOR,Restated
2007-09,978.00M,,,,,,-75.00M,-75.00M,,,558.00M,-44.00M,,,,,-3.00M,63.00M,1.524B,,-62.00M,-62.00M,,-227.00M,6.00M,211.00M,,0.00,0.00,0.00,13.00M,-1.199B,-1.186B,,,,,,-229.00M,,-398.00M,-1.813B,,385.00M,-78.00M,307.00M,,,13.00M,0.00,12.00M,-1.199B,,AOR,Restated
2007-06,1.403B,,,,,,-66.00M,-66.00M,,,126.00M,-504.00M,-32.00M,,,,569.00M,-397.00M,1.066B,,-72.00M,-72.00M,0.00,20.00M,,-546.00M,,987.00M,0.00,987.00M,90.00M,-1.106B,-1.016B,,,,,,-233.00M,,-344.00M,-606.00M,,471.00M,-86.00M,385.00M,,,90.00M,987.00M,-12.00M,-1.106B,,AOR,Restated
2007-03,1.495B,,,,,,-48.00M,-48.00M,,,178.00M,555.00M,32.00M,,,,-684.00M,-97.00M,1.528B,,-78.00M,-78.00M,,-506.00M,,-584.00M,,-9.00M,-12.00M,-21.00M,,-720.00M,-720.00M,,,,,,-218.00M,,43.00M,-916.00M,,443.00M,28.00M,471.00M,,,,,-9.00M,-720.00M,,AOR,Restated
2006-12,1.213B,,,,,,-32.00M,-32.00M,,,478.00M,-646.00M,55.00M,-548.00M,-796.00M,2.688B,-1.057B,-249.00M,1.41B,,-53.00M,-53.00M,,1.115B,-14.00M,1.048B,,-832.00M,12.00M,-820.00M,-150.00M,-361.00M,-511.00M,,,,,,-220.00M,,-791.00M,-2.342B,,327.00M,116.00M,443.00M,,,-150.00M,0.00,-832.00M,-361.00M,,AOR,Restated
2006-09,1.158B,,,,,,-62.00M,-62.00M,,,729.00M,696.00M,-129.00M,-3.403B,796.00M,-2.688B,4.732B,-247.00M,1.578B,,5.00M,5.00M,,-1.075B,0.00,-1.07B,,-6.00M,0.00,-6.00M,150.00M,-463.00M,-313.00M,,,,,,-221.00M,,-107.00M,-647.00M,,466.00M,-139.00M,327.00M,,,150.00M,0.00,-6.00M,-463.00M,,AOR,Restated
2006-06,1.207B,,,,,,-58.00M,-58.00M,,,735.00M,-35.00M,-64.00M,-295.00M,,,-274.00M,-668.00M,1.216B,,-46.00M,-46.00M,,-828.00M,-812.00M,-1.686B,,-7.00M,-34.00M,-41.00M,,-492.00M,-492.00M,,,,,,-225.00M,,1.351B,593.00M,,343.00M,123.00M,466.00M,,,,0.00,-7.00M,-492.00M,,AOR,Restated
2006-03,1.415B,,,,,,-36.00M,-36.00M,,,474.00M,-64.00M,-58.00M,1.01B,,,-1.89B,-1.002B,851.00M,,-67.00M,-67.00M,,-144.00M,,-211.00M,,638.00M,-379.00M,259.00M,,-454.00M,-454.00M,,,,,,-207.00M,,-208.00M,-610.00M,,313.00M,30.00M,343.00M,,,,644.00M,-6.00M,-454.00M,,AOR,Restated
2005-12,1.041B,,,,,,-30.00M,-30.00M,,,519.00M,-639.00M,-55.00M,2.32B,,,-4.941B,-1.194B,336.00M,,-10.00M,-10.00M,,-887.00M,0.00,-957.00M,,-7.00M,413.00M,406.00M,,-237.00M,-237.00M,,,,,,-209.00M,,566.00M,526.00M,,408.00M,-95.00M,313.00M,,,,0.00,-7.00M,-237.00M,,AOR,Restated
2005-09,-1.548B,,,,,,-8.00M,-8.00M,,,413.00M,-104.00M,-103.00M,391.00M,,,3.06B,3.244B,2.101B,,-56.00M,-56.00M,,-157.00M,0.00,-213.00M,,-285.00M,-9.00M,-294.00M,,-734.00M,-734.00M,,,,,,-213.00M,,-604.00M,-1.845B,,365.00M,43.00M,408.00M,,,,0.00,-285.00M,-734.00M,,AOR,Restated
2005-06,1.149B,,,,,,-10.00M,-10.00M,,,456.00M,-39.00M,-73.00M,277.00M,,,18.00M,183.00M,1.778B,,-73.00M,-73.00M,,-3.918B,2.13B,-1.861B,,-118.00M,-66.00M,-184.00M,,-806.00M,-806.00M,,,,,,-216.00M,,1.315B,109.00M,,339.00M,26.00M,365.00M,,,,789.00M,-907.00M,-806.00M,,AOR,Restated
