,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,OtherReceivables,TotalReceivables,RestrictedCash,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,PayablesandAccruedExpenses,NotesPayable,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,37.15M,37.15M,155.54M,,,155.54M,6.089M,300.94M,,,,7.01M,,,7.01M,,7.01M,320.64M,432.95M,753.59M,493.89M,,25.47M,91.62M,,10.88B,11.18B,,215.30M,215.30M,215.30M,,,,,,,215.30M,3.832B,,3.832B,,40.69M,566.14M,4.398B,4.613B,,1.694M,-1.216B,7.751B,19.27M,,10.32M,6.528B,,AOR,Restated
2018-03,87.90M,87.90M,159.59M,,,159.59M,5.732M,261.96M,,,,6.891M,,,6.891M,,6.891M,330.72M,455.59M,786.30M,490.74M,,22.45M,92.06M,,10.97B,11.23B,,212.52M,212.52M,212.52M,,,,,,,212.52M,3.840B,,3.840B,,41.08M,575.69M,4.416B,4.628B,,1.694M,-1.170B,7.746B,18.76M,,4.764M,6.564B,,AOR,Restated
2017-12,45.37M,45.37M,113.92M,15.80M,49.30M,170.98M,4.011M,220.37M,,,,6.123M,,,6.123M,,6.123M,331.88M,478.83M,810.71M,427.94M,,14.52M,82.68M,,10.93B,11.15B,,234.27M,234.27M,234.27M,,,,,,,234.27M,3.595B,,3.595B,,41.00M,583.41M,4.178B,4.413B,,1.714M,-1.158B,7.873B,18.31M,,-6.289M,6.692B,,AOR,Restated
2017-09,23.54M,23.54M,143.15M,,,143.15M,7.098M,201.60M,,,,,,,,,,,508.87M,508.87M,380.93M,,,71.83M,390.78M,10.92B,11.12B,,276.36M,276.36M,276.36M,,,,,,,276.36M,3.522B,,3.522B,,41.22M,683.57M,4.206B,4.482B,,1.701M,-1.153B,7.779B,18.05M,,-14.14M,6.595B,,AOR,Restated
2017-06,97.27M,97.27M,125.37M,,,125.37M,7.435M,249.67M,,,,,,,,,,,540.12M,540.12M,406.64M,,,70.65M,307.43M,10.94B,11.19B,,246.46M,246.46M,246.46M,,,,,,,246.46M,3.508B,,3.508B,,41.75M,703.82M,4.212B,4.458B,,76.70M,-1.123B,7.773B,18.10M,75.00M,-16.44M,6.692B,,AOR,Restated
2017-03,36.86M,36.86M,119.84M,,,119.84M,7.987M,184.28M,,,,,,,,,,,606.71M,606.71M,410.72M,,,68.30M,70.53M,10.95B,11.14B,,242.64M,242.64M,242.64M,,,,,,,242.64M,3.407B,,3.407B,,33.15M,721.60M,4.129B,4.371B,,76.70M,-1.081B,7.769B,17.47M,75.00M,-15.79M,6.731B,,AOR,Restated
2016-12,13.26M,13.26M,85.42M,10.48M,21.28M,111.72M,4.623M,129.60M,,,,4.094M,,,4.094M,,4.094M,0.00,118.83M,118.83M,332.71M,,11.62M,72.56M,,4.359B,4.489B,,138.94M,138.94M,138.94M,,,,,,,138.94M,1.642B,,1.642B,,33.20M,83.05M,1.725B,1.864B,,326.04M,-994.26M,3.295B,17.06M,325.00M,-18.35M,2.591B,,AOR,Restated
2016-09,40.90M,40.90M,92.75M,10.48M,,103.23M,4.005M,148.13M,,,,,,,,,,,122.74M,122.74M,304.22M,,,68.46M,24.75M,4.310B,4.458B,,145.69M,145.69M,145.69M,,,,,,,145.69M,1.628B,,1.628B,,33.14M,84.69M,1.712B,1.858B,,326.04M,-997.88M,3.292B,16.88M,325.00M,-35.74M,2.567B,,AOR,Restated
2016-06,24.94M,24.94M,94.06M,10.48M,,104.54M,3.505M,162.34M,,,,,,,,,,,124.32M,124.32M,309.21M,,,68.30M,29.56M,4.274B,4.437B,,165.61M,165.61M,165.61M,,,,,,,165.61M,1.984B,,1.984B,,35.27M,84.75M,2.069B,2.235B,,326.00M,-950.94M,2.889B,16.84M,325.00M,-80.04M,2.167B,,AOR,Restated
2016-03,27.14M,27.14M,90.77M,10.49M,,101.26M,3.893M,159.15M,,,,,,,,,,,112.51M,112.51M,317.12M,,,69.20M,27.56M,3.988B,4.147B,,157.73M,157.73M,157.73M,,,,,,,157.73M,1.835B,,1.835B,,35.70M,71.97M,1.907B,2.065B,,325.98M,-936.94M,2.749B,18.37M,325.00M,-72.89M,2.047B,,AOR,Restated
2015-12,36.86M,36.86M,77.91M,10.48M,23.07M,106.16M,3.767M,146.79M,,,,,,,,,,,105.38M,105.38M,335.30M,,,66.37M,26.94M,4.036B,4.183B,,164.52M,164.52M,164.52M,,,,,,,164.52M,1.864B,,1.864B,,28.51M,71.46M,1.936B,2.100B,,325.97M,-936.02M,2.743B,19.66M,325.00M,-58.69M,2.054B,,AOR,Restated
2015-09,23.88M,23.88M,86.08M,11.31M,,97.39M,5.142M,126.41M,,,,,,,,,,,108.40M,108.40M,349.46M,,,77.60M,24.82M,4.044B,4.171B,,171.30M,171.30M,171.30M,,,,,,,171.30M,2.024B,,2.024B,,29.02M,67.89M,2.092B,2.263B,,325.94M,-907.96M,2.543B,19.44M,325.00M,-62.31M,1.879B,,AOR,Restated
2015-06,27.11M,27.11M,84.67M,12.28M,,96.96M,6.726M,159.81M,,,,,,,,,,,46.74M,46.74M,339.07M,,,74.98M,28.39M,3.938B,4.098B,,142.42M,142.42M,142.42M,,,,,,,142.42M,1.989B,,1.989B,,29.13M,57.29M,2.046B,2.188B,,325.94M,-916.03M,2.539B,19.39M,325.00M,-48.80M,1.881B,,AOR,Restated
2015-03,36.49M,36.49M,84.85M,12.17M,,97.02M,6.59M,158.31M,,,,,,,,,,,49.36M,49.36M,354.84M,,,70.02M,20.13M,3.960B,4.118B,,166.66M,166.66M,166.66M,,,,,,,166.66M,1.995B,,1.995B,,29.22M,58.13M,2.053B,2.220B,,325.94M,-902.84M,2.536B,20.64M,325.00M,-69.28M,1.870B,,AOR,Restated
2014-12,113.78M,113.78M,66.35M,12.13M,24.94M,98.90M,8.013M,220.69M,,,,,,,,,,,52.36M,52.36M,361.30M,,,71.50M,15.14M,3.976B,4.197B,,181.20M,181.20M,181.20M,,,,,,,181.20M,2.021B,,2.021B,,29.89M,58.13M,2.079B,2.261B,,325.94M,-882.37M,2.540B,19.38M,325.00M,-57.75M,1.907B,,AOR,Restated
2014-09,100.71M,100.71M,80.67M,12.13M,,92.80M,9.339M,215.05M,,,,,,,,,,,52.24M,52.24M,355.76M,,,72.56M,41.78M,3.913B,4.128B,,174.00M,174.00M,174.00M,,,,,,,174.00M,2.023B,,2.023B,,28.91M,56.72M,2.080B,2.254B,,325.93M,-912.04M,2.484B,19.17M,325.00M,-33.96M,1.845B,,AOR,Restated
2014-06,36.74M,36.74M,87.18M,11.92M,,99.10M,8.912M,144.75M,,,,,,,,,,,53.54M,53.54M,367.53M,,,73.66M,41.54M,3.899B,4.044B,,141.06M,141.06M,141.06M,,,,,,,141.06M,2.031B,,2.031B,,32.49M,53.24M,2.084B,2.225B,,325.92M,-916.58M,2.432B,18.95M,325.00M,-36.41M,1.786B,,AOR,Restated
2014-03,35.16M,35.16M,84.99M,11.94M,,96.92M,9.192M,141.28M,,,,,,,,,,,57.03M,57.03M,380.75M,,,70.54M,38.92M,3.894B,4.036B,,136.80M,136.80M,136.80M,,,,,,,136.80M,2.001B,,2.001B,,32.73M,56.98M,2.058B,2.194B,,325.92M,-898.79M,2.428B,18.35M,325.00M,-28.60M,1.808B,,AOR,Restated
2013-12,80.68M,80.68M,57.16M,11.96M,23.69M,88.89M,9.52M,179.10M,,,,,,,,,,,44.80M,44.80M,385.53M,,,69.96M,52.46M,3.734B,3.914B,,147.04M,147.04M,147.04M,,,,,,,147.04M,1.855B,,1.855B,,17.78M,50.64M,1.905B,2.052B,,325.92M,-874.92M,2.426B,16.73M,325.00M,-17.40M,1.843B,,AOR,Restated
2013-09,62.70M,62.70M,73.80M,26.13M,,99.93M,5.288M,178.53M,,,,,,,,,,,39.13M,39.13M,439.93M,,,69.55M,44.47M,3.718B,3.897B,,147.09M,147.09M,147.09M,,,,,,,147.09M,1.864B,,1.864B,,12.43M,47.93M,1.912B,2.059B,,325.92M,-878.75M,2.422B,16.54M,325.00M,-28.43M,1.825B,,AOR,Restated
2013-06,59.14M,59.14M,72.08M,18.50M,,90.58M,5.354M,171.04M,,,,,,,,,,,41.33M,41.33M,453.06M,,,68.14M,46.46M,3.729B,3.900B,,131.18M,131.18M,131.18M,,,,,,,131.18M,1.892B,,1.892B,,12.41M,40.57M,1.933B,2.064B,,325.92M,-871.27M,2.417B,16.35M,325.00M,-31.32M,1.824B,,AOR,Restated
2013-03,22.40M,22.40M,75.99M,19.73M,,95.72M,6.09M,124.21M,,,,,,,,,,,40.39M,40.39M,456.78M,,,68.21M,27.50M,3.737B,3.861B,,121.12M,121.12M,121.12M,,145.00M,,145.00M,145.00M,,266.12M,1.785B,,1.785B,,12.90M,34.13M,1.820B,2.086B,,325.91M,-860.83M,2.366B,15.91M,325.00M,-51.98M,1.763B,,AOR,Restated
2012-12,22.35M,22.35M,54.03M,23.75M,26.47M,100.34M,6.472M,129.16M,,,,,,,,,,,42.46M,42.46M,466.36M,,,69.51M,18.81M,3.724B,3.853B,,127.18M,127.18M,127.18M,,,,,,,127.18M,1.942B,,1.942B,,15.15M,38.47M,1.980B,2.108B,,325.90M,-834.81M,2.312B,14.92M,325.00M,-57.72M,1.731B,,AOR,Restated
2012-09,21.35M,21.35M,28.22M,23.78M,48.68M,100.67M,6.133M,128.16M,0.00,1.212B,2.398B,,,220.75M,3.831B,-768.30M,3.063B,,35.58M,35.58M,473.23M,,,68.14M,29.99M,3.670B,3.798B,,,,129.48M,,,,,,0.086M,129.57M,1.821B,,1.821B,,15.10M,32.56M,1.854B,1.984B,,325.90M,-756.11M,2.309B,14.76M,325.00M,-64.38M,1.799B,,AOR,Restated
2012-06,23.03M,23.03M,37.68M,23.86M,50.93M,112.48M,6.075M,141.58M,0.00,1.277B,2.615B,,,249.51M,4.141B,-834.68M,3.307B,,,26.84M,447.18M,,,71.60M,32.15M,3.884B,4.026B,,,,112.00M,,,,,,0.073M,112.07M,2.063B,,2.063B,,15.20M,32.90M,2.096B,2.208B,,325.90M,-726.44M,2.284B,14.79M,325.00M,-66.73M,1.802B,,AOR,Restated
2012-03,27.12M,27.12M,42.34M,23.88M,49.62M,115.85M,6.406M,149.37M,0.00,1.264B,2.609B,,,250.34M,4.124B,-813.19M,3.310B,,,25.94M,419.34M,,,71.09M,28.73M,3.856B,4.005B,,,,104.82M,,,,,,0.059M,104.88M,2.023B,,2.023B,,12.08M,32.03M,2.055B,2.160B,,325.90M,-690.84M,2.281B,14.22M,325.00M,-69.08M,1.833B,,AOR,Restated
2011-12,11.40M,11.40M,52.79M,35.78M,36.52M,121.65M,6.05M,139.10M,,,,,,,,,,,27.05M,27.05M,408.60M,,,70.20M,31.82M,3.848B,3.987B,,101.90M,101.90M,101.90M,,40.00M,,40.00M,40.00M,,141.90M,1.942B,,1.942B,,61.30M,33.08M,1.976B,2.117B,,275.90M,-662.74M,2.282B,15.20M,275.00M,-71.43M,1.808B,,AOR,Restated
2011-09,21.20M,21.20M,29.24M,35.93M,48.33M,113.50M,,134.70M,0.00,1.167B,2.462B,,,521.94M,4.151B,-769.83M,3.382B,,,26.86M,446.14M,,,70.01M,36.42M,3.961B,4.096B,,,,114.87M,,,,,,,114.87M,2.050B,,2.050B,,61.28M,32.93M,2.083B,2.198B,,275.90M,-629.63M,2.279B,15.03M,275.00M,-73.80M,1.836B,,AOR,Restated
2011-06,18.41M,18.41M,27.30M,35.93M,47.77M,111.00M,,129.41M,0.00,1.168B,2.409B,,,499.58M,4.077B,-755.38M,3.321B,,,18.32M,448.84M,,,62.91M,39.47M,3.891B,4.020B,,,,121.62M,,,,,,,121.62M,1.970B,,1.970B,,61.10M,19.83M,1.990B,2.112B,,275.90M,-596.90M,2.260B,14.98M,275.00M,-76.16M,1.848B,,AOR,Restated
2011-03,65.76M,65.76M,26.60M,35.93M,46.82M,109.34M,,175.11M,0.00,1.095B,2.292B,,,614.61M,4.001B,-729.13M,3.272B,,,17.40M,408.24M,,,62.64M,55.98M,3.816B,3.991B,,,,120.95M,,,,,,,120.95M,1.922B,,1.922B,,61.24M,17.28M,1.940B,2.061B,,275.90M,-568.53M,2.257B,16.29M,275.00M,-78.52M,1.869B,,AOR,Restated
2010-12,22.46M,22.46M,36.60M,35.93M,45.24M,117.77M,,140.23M,0.00,1.094B,2.285B,,,610.93M,3.989B,-700.88M,3.288B,,,18.22M,428.59M,,,63.16M,35.16M,3.833B,3.974B,,,,101.05M,,,,,,,101.05M,2.094B,,2.094B,0.00,59.22M,17.47M,2.112B,2.213B,,275.82M,-531.50M,2.038B,,275.00M,-80.88M,1.701B,,AOR,Restated
2010-03,119.54M,119.54M,31.23M,36.81M,40.08M,108.12M,,227.66M,0.00,1.021B,2.082B,,,816.33M,3.919B,-646.24M,3.273B,,9.361M,9.361M,333.96M,,,57.98M,31.25M,3.706B,3.933B,,,,84.34M,1.887B,,,1.887B,1.887B,,1.971B,,5.43M,5.43M,34.28M,66.51M,10.62M,50.33M,2.021B,,275.82M,-398.70M,2.024B,,275.00M,-55.67M,1.846B,,AOR,Restated
2009-12,99.48M,99.48M,40.87M,37.75M,39.29M,117.92M,,217.39M,0.00,975.86M,2.018B,,,920.43M,3.914B,-622.16M,3.292B,,,10.01M,326.21M,,,58.38M,69.85M,3.756B,3.974B,,,,99.14M,,,,,,,99.14M,1.886B,,1.886B,28.36M,68.23M,16.52M,1.931B,2.030B,,275.82M,-373.34M,2.023B,,275.00M,-49.97M,1.875B,,AOR,Restated
2009-09,173.80M,173.80M,35.93M,26.34M,39.52M,101.79M,,275.59M,18.44M,994.64M,2.111B,,,963.47M,4.087B,-632.41M,3.455B,,10.66M,10.66M,333.62M,,,56.80M,39.38M,3.895B,4.171B,,,,105.09M,1.881B,,227.67M,2.108B,2.108B,,2.213B,,6.369M,6.369M,39.04M,68.52M,10.82M,56.23M,2.270B,,275.86M,-361.53M,2.095B,111.41M,275.00M,-64.97M,1.833B,,AOR,Restated
2009-06,126.79M,126.79M,69.08M,27.99M,,97.06M,,223.86M,37.33M,1.001B,2.100B,,,1.052B,4.190B,-607.94M,3.582B,,11.41M,11.41M,338.11M,,,56.20M,44.65M,4.032B,4.256B,,,,113.01M,1.841B,,227.67M,2.069B,2.069B,,2.182B,,6.874M,6.874M,27.58M,66.51M,11.10M,45.55M,2.228B,,275.86M,-240.42M,2.092B,111.41M,275.00M,-54.40M,1.962B,,AOR,Restated
2009-03,24.67M,24.67M,96.23M,36.93M,,133.16M,,157.83M,56.91M,974.24M,2.038B,,,1.078B,4.148B,-577.74M,3.570B,,12.11M,12.11M,368.31M,,,55.42M,44.93M,4.051B,4.208B,,,,113.61M,1.893B,,367.67M,2.260B,2.260B,,2.374B,,7.358M,7.358M,61.48M,65.79M,11.32M,80.16M,2.454B,,275.76M,-186.23M,1.779B,111.41M,275.00M,-68.58M,1.689B,,AOR,Restated
2008-12,21.53M,21.53M,103.80M,31.44M,,135.23M,,156.77M,66.45M,923.06M,1.974B,,,1.079B,4.042B,-554.60M,3.488B,,12.90M,12.90M,383.41M,,,57.48M,43.93M,3.986B,4.142B,,,,141.40M,,,,,,,141.40M,1.838B,7.865M,1.846B,83.69M,66.20M,309.24M,2.239B,2.380B,,275.76M,-155.06M,1.778B,111.41M,275.00M,-91.46M,1.696B,,AOR,Restated
2008-09,25.78M,25.78M,73.94M,55.26M,,129.20M,,154.98M,1.109B,939.85M,2.023B,,428.73M,,4.501B,-545.98M,3.955B,,13.70M,13.70M,,,,58.29M,,4.027B,4.221B,,156.53M,156.53M,156.53M,,,,,,,156.53M,2.137B,,2.137B,,67.84M,,2.137B,2.314B,,275.76M,,1.781B,111.41M,275.00M,-26.30M,1.839B,,AOR,Restated
2008-06,41.60M,41.60M,71.66M,20.30M,,91.96M,,133.56M,1.034B,995.98M,2.114B,,423.14M,,4.568B,-538.78M,4.029B,,15.00M,15.00M,,,,58.06M,,4.102B,4.276B,,155.56M,155.56M,155.56M,,,,,,,155.56M,2.195B,,2.195B,,67.74M,,2.195B,2.371B,,275.76M,,1.776B,111.41M,275.00M,-18.76M,1.837B,,AOR,Restated
2008-03,29.21M,29.21M,,,,67.46M,,96.67M,,,,,,,4.476B,-518.61M,3.957B,,16.22M,16.22M,,32.41M,,,,4.006B,4.196B,,147.29M,147.29M,147.29M,,,,,,,147.29M,2.108B,,2.108B,,78.02M,,2.108B,2.277B,,275.76M,-65.05M,1.769B,111.41M,275.00M,-28.27M,1.840B,,AOR,Restated
2007-12,18.67M,18.67M,75.44M,44.54M,,119.98M,,138.65M,0.00,968.86M,2.090B,,,905.93M,3.965B,-497.50M,3.468B,,17.23M,17.23M,401.91M,,,52.78M,36.42M,3.976B,4.115B,,,,154.64M,,,,,,,154.64M,1.800B,10.35M,1.810B,9.836M,77.76M,219.44M,2.040B,2.194B,,275.75M,-68.94M,1.766B,111.41M,275.00M,-18.92M,1.843B,,AOR,Restated
2007-09,33.57M,33.57M,,,,65.63M,,99.20M,,,,,,,4.342B,-478.56M,3.863B,,18.47M,18.47M,,40.67M,,,,3.922B,4.093B,,185.43M,185.43M,185.43M,,,,,,,185.43M,1.952B,,1.952B,,74.68M,,1.952B,2.159B,,275.75M,-45.93M,1.759B,111.41M,275.00M,-18.03M,1.859B,,AOR,Restated
2007-06,55.10M,55.10M,,,,59.13M,,114.23M,,,,,,,4.204B,-459.18M,3.744B,,14.22M,14.22M,,39.92M,,,,3.798B,3.990B,,172.57M,172.57M,172.57M,,,,,,,172.57M,1.841B,,1.841B,,77.97M,,1.841B,2.033B,,275.75M,-37.04M,1.750B,111.41M,275.00M,1.577M,1.879B,,AOR,Restated
2007-03,29.16M,29.16M,,,,59.63M,,88.80M,,,,,,,4.024B,-441.43M,3.582B,,11.57M,11.57M,,19.98M,,,,3.614B,3.777B,,144.86M,144.86M,144.86M,,,,,,,144.86M,1.675B,,1.675B,,79.04M,,1.675B,1.838B,,275.75M,-35.54M,1.742B,111.41M,275.00M,-10.80M,1.860B,,AOR,Restated
2006-12,34.05M,34.05M,,,,67.16M,,101.21M,,,,,,,3.902B,-427.39M,3.474B,,,12.32M,,19.99M,,,,3.507B,3.672B,,140.94M,140.94M,140.94M,,,,,,,140.94M,1.575B,,1.575B,,83.90M,,1.575B,1.735B,,275.74M,-41.90M,1.744B,111.41M,275.00M,-13.32M,1.853B,,AOR,Restated
2006-09,38.36M,38.36M,,,,54.73M,,93.09M,,,,,,,3.919B,-421.65M,3.497B,,13.23M,13.23M,,21.92M,,,,3.532B,3.704B,,146.89M,146.89M,146.89M,,,,,,,146.89M,1.629B,,1.629B,,84.27M,,1.629B,1.795B,,275.74M,-62.32M,1.736B,111.41M,275.00M,-13.33M,1.825B,,AOR,Restated
2006-06,36.59M,36.59M,,,,58.32M,,94.91M,,,,,,,3.844B,-412.76M,3.432B,,14.35M,14.35M,,41.16M,,,,3.487B,3.660B,,145.20M,145.20M,145.20M,,,,,,,145.20M,1.580B,,1.580B,,86.20M,,1.580B,1.744B,,275.74M,-60.81M,1.726B,111.41M,275.00M,-0.581M,1.829B,,AOR,Restated
2006-03,88.06M,88.06M,,,,52.03M,,140.09M,,,,,,,3.713B,-398.37M,3.315B,,9.315M,9.315M,,34.28M,,,,3.359B,3.571B,,103.88M,103.88M,103.88M,,,,,,,103.88M,1.547B,,1.547B,,86.88M,,1.547B,1.665B,,275.74M,-52.13M,1.715B,111.41M,275.00M,-8.552M,1.819B,,AOR,Restated
2005-12,,,,,,,,,,,,,,,,,2.849B,,10.18M,10.18M,,,,,,2.859B,3.616B,,,,,,,,,,,,1.614B,,1.614B,,88.16M,,1.614B,1.739B,,0.733M,-77.42M,1.714B,111.41M,,,1.789B,,AOR,Restated
2005-09,31.23M,31.23M,,,,57.82M,,89.05M,,,,,,,3.742B,-371.39M,3.371B,,11.30M,11.30M,,21.90M,,,,3.404B,3.558B,,103.01M,103.01M,103.01M,,,,,,,103.01M,1.585B,,1.585B,,78.59M,,1.585B,1.702B,,275.73M,-83.53M,1.708B,111.41M,275.00M,-12.02M,1.777B,,AOR,Restated
2005-06,26.25M,26.25M,,,,57.64M,,83.89M,,,,,,,3.716B,-364.36M,3.351B,,12.16M,12.16M,,22.72M,,,,3.386B,3.526B,,112.16M,112.16M,112.16M,,,,,,,112.16M,1.488B,,1.488B,,131.64M,,1.488B,1.890B,,200.69M,-74.06M,1.505B,111.41M,200.00M,-16.52M,1.504B,,AOR,Restated
2005-03,53.59M,53.59M,,,,50.05M,,103.64M,,,,,,,3.346B,-352.82M,2.994B,,13.28M,13.28M,,23.25M,,,,3.030B,3.196B,,79.92M,79.92M,79.92M,,,,,,,79.92M,1.466B,,1.466B,,133.02M,,1.466B,1.561B,,200.68M,-79.54M,1.497B,111.41M,200.00M,-5.148M,1.502B,,AOR,Restated
2004-12,,,,,,,,,,,,,,,,,2.994B,,14.17M,14.17M,,,,,,3.008B,3.244B,,,,,,,,,,,,1.493B,,1.493B,,134.36M,,1.493B,1.611B,,0.68M,-79.57M,1.494B,111.41M,,,1.499B,,AOR,Restated
2004-09,50.18M,50.18M,,,,50.34M,,100.52M,,,,,,,3.313B,-325.13M,2.988B,,11.32M,11.32M,,33.45M,,,,3.033B,3.189B,,109.14M,109.14M,109.14M,,,,,,,109.14M,1.479B,,1.479B,,123.21M,,1.479B,1.603B,,200.68M,-91.99M,1.472B,112.26M,200.00M,-5.434M,1.463B,,AOR,Restated
