,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,EndingCash(Quarterly),BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,659.80M,4.90M,-41.20M,-36.30M,,,345.20M,345.20M,-12.20M,28.50M,55.10M,,-49.60M,3.90M,-60.90M,-569.10M,-2.60M,,,29.70M,-599.00M,,2018-03,-467.40M,,-467.40M,-1.230B,61.00M,2.20M,-1.634B,2018-03,1.598B,0.00,1.598B,52.00M,-1.591B,-1.539B,-419.80M,-419.80M,,-12.10M,-372.80M,2018-03,3.661B,-1.552B,32.80M,,2018-03,52.00M,1.598B,0.00,-1.591B,583.30M,,2018-03,AOR,Restated
2017-12,2.250B,-501.20M,-66.20M,-567.40M,,,272.40M,272.40M,744.80M,,61.40M,,-1.323B,1.30M,71.20M,-108.60M,28.10M,,,322.40M,314.40M,,2017-12,-429.30M,,-429.30M,526.60M,302.20M,-4.50M,395.00M,2017-12,998.30M,,998.30M,54.30M,-1.601B,-1.547B,-428.10M,-428.10M,,-63.20M,-1.040B,2017-12,2.462B,1.189B,9.80M,,2017-12,54.30M,998.30M,0.00,-1.601B,140.10M,,2017-12,AOR,Restated
2017-09,789.40M,-83.90M,-100.10M,-184.00M,,,270.70M,270.70M,20.00M,0.00,27.30M,,40.70M,-56.70M,-5.10M,104.60M,-27.20M,,,59.70M,75.30M,,2017-09,-494.10M,,-494.10M,85.40M,228.80M,-0.60M,-180.50M,2017-09,0.00,,0.00,19.30M,-828.40M,-809.10M,-360.60M,-360.60M,,-17.20M,-1.187B,2017-09,2.716B,-274.60M,20.70M,,2017-09,19.30M,0.00,0.00,-828.40M,2.474B,,2017-09,AOR,Restated
2017-06,690.90M,0.00,-80.70M,-80.70M,,,266.60M,266.60M,12.30M,87.20M,43.80M,,39.60M,5.50M,-26.30M,87.00M,3.20M,,,-0.90M,68.50M,,2017-06,-387.40M,,-387.40M,,282.40M,0.80M,-104.20M,2017-06,0.00,-25.00M,-25.00M,34.00M,-168.00M,-134.00M,-362.00M,-362.00M,,-0.60M,-521.60M,2017-06,2.164B,541.50M,10.80M,,2017-06,34.00M,-25.00M,0.00,-168.00M,-1.907B,,2017-06,AOR,Restated
2017-03,653.10M,-9.60M,-64.10M,-73.70M,,,266.60M,266.60M,6.40M,0.00,49.90M,,-20.70M,83.10M,-101.00M,-224.20M,13.20M,,,-245.80M,-474.70M,,2017-03,-330.50M,,-330.50M,0.00,174.20M,-7.50M,-163.80M,2017-03,750.20M,25.00M,775.20M,46.30M,-638.00M,-591.70M,-363.80M,-363.80M,,-1.20M,-181.50M,2017-03,2.035B,116.60M,12.70M,,2017-03,46.30M,775.20M,0.00,-638.00M,551.80M,,2017-03,AOR,Restated
2016-12,751.50M,0.00,-65.30M,-65.30M,,,263.20M,263.20M,56.40M,,55.00M,,9.30M,-128.70M,146.40M,12.60M,-34.70M,,,425.00M,420.60M,,2016-12,-307.40M,,-307.40M,0.00,-155.70M,61.60M,-401.50M,2016-12,-400.00M,,-400.00M,51.20M,-408.10M,-356.90M,-364.00M,-364.00M,,-68.20M,-1.189B,2016-12,2.129B,-60.80M,-33.40M,,2016-12,51.20M,0.00,-400.00M,-408.10M,270.80M,,2016-12,AOR,Restated
2016-09,801.70M,24.60M,-84.70M,-60.10M,,,261.90M,261.90M,-79.00M,0.00,59.70M,110.90M,4.30M,-16.10M,-51.80M,308.10M,50.60M,,,-43.10M,247.70M,,2016-09,-410.60M,,-410.60M,0.00,-275.80M,21.60M,-664.80M,2016-09,0.00,,0.00,39.80M,-405.20M,-365.40M,-293.20M,-293.20M,,-120.10M,-778.70M,2016-09,2.142B,-12.50M,-0.50M,,2016-09,39.80M,0.00,0.00,-405.20M,208.90M,,2016-09,AOR,Restated
2016-06,754.60M,-30.10M,-69.00M,-99.10M,,,258.90M,258.90M,84.50M,0.00,49.80M,-21.60M,16.30M,0.30M,-31.00M,11.30M,13.50M,,,7.30M,1.40M,,2016-06,-361.50M,,-361.50M,39.40M,-274.40M,-8.80M,-605.30M,2016-06,754.80M,-149.10M,605.70M,41.30M,-5.90M,35.40M,-293.00M,-293.00M,,20.80M,368.90M,2016-06,1.294B,845.00M,2.40M,,2016-06,41.30M,605.70M,0.00,-5.90M,211.70M,,2016-06,AOR,Restated
2016-03,574.90M,0.00,-49.50M,-49.50M,,,262.00M,262.00M,35.00M,,51.30M,-22.10M,6.50M,25.30M,-45.30M,-80.40M,11.00M,,,-252.70M,-342.10M,,2016-03,-336.40M,,-336.40M,0.00,-267.40M,11.10M,-592.70M,2016-03,499.70M,149.10M,648.80M,31.20M,-1.339B,-1.308B,-294.80M,-294.80M,,19.20M,-934.30M,2016-03,2.264B,-977.50M,8.40M,,2016-03,31.20M,648.80M,0.00,-1.339B,371.40M,,2016-03,AOR,Restated
2015-12,687.70M,-0.60M,-47.00M,-47.60M,,,247.30M,247.30M,225.20M,,57.30M,-67.20M,18.00M,-65.10M,60.60M,9.80M,-28.20M,,,468.90M,446.00M,,2015-12,-331.80M,,-331.80M,30.20M,-59.50M,1.00M,-360.10M,2015-12,0.00,,0.00,48.40M,-245.80M,-197.40M,-297.00M,-297.00M,,-34.30M,-528.70M,2015-12,1.530B,747.20M,-13.80M,,2015-12,48.40M,,0.00,-245.80M,86.70M,,2015-12,AOR,Restated
2015-09,652.50M,,-66.90M,-5.80M,,,240.50M,240.50M,-22.90M,,53.60M,-34.50M,8.30M,-51.40M,-143.60M,161.60M,84.00M,,,-36.30M,14.30M,,2015-09,-360.20M,,-360.20M,8.90M,82.70M,40.70M,-227.90M,2015-09,-610.10M,,-610.10M,44.90M,-515.00M,-470.10M,-208.90M,-208.90M,,29.40M,-1.260B,2015-09,2.080B,-517.70M,-32.70M,,2015-09,44.90M,0.00,,-515.00M,135.70M,,2015-09,AOR,Restated
2015-06,626.40M,,-46.40M,-46.40M,,,249.10M,249.10M,-15.90M,,52.00M,-19.90M,14.10M,-17.30M,-103.90M,67.10M,-59.90M,,,6.50M,-107.50M,,2015-06,-336.90M,,-336.90M,0.00,-66.70M,-16.00M,-419.60M,2015-06,848.50M,,848.50M,35.80M,-574.70M,-538.90M,-240.10M,-240.10M,,-90.90M,-21.40M,2015-06,1.750B,337.30M,-7.20M,,2015-06,35.80M,848.50M,,-574.70M,323.70M,,2015-06,AOR,Restated
2015-03,495.90M,,-41.30M,-41.30M,,,227.90M,227.90M,-40.00M,,52.30M,-24.70M,19.20M,-4.80M,-52.40M,17.90M,111.90M,,,-208.30M,-135.70M,,2015-03,-314.80M,,-314.80M,0.00,-15.80M,-19.70M,-350.30M,2015-03,,,,47.00M,-131.40M,-84.40M,-240.10M,-240.10M,,17.40M,-307.10M,2015-03,1.857B,-81.70M,-24.90M,,2015-03,47.00M,,,-131.40M,381.60M,,2015-03,AOR,Restated
2014-12,984.50M,,-35.60M,-35.60M,,,216.30M,216.30M,100.00M,,51.90M,-53.30M,-382.10M,-9.30M,92.00M,14.90M,1.70M,,,408.40M,507.70M,,2014-12,-291.80M,,-291.80M,-284.30M,51.80M,1.80M,-522.50M,2014-12,,,,64.10M,-215.00M,-150.90M,-239.50M,-239.50M,,-277.90M,-668.30M,2014-12,1.708B,234.40M,-85.80M,,2014-12,64.10M,,,-215.00M,231.20M,,2014-12,AOR,Restated
2014-09,587.50M,,-62.50M,-62.50M,,,194.40M,194.40M,-21.90M,,40.60M,-12.80M,-67.50M,-60.70M,-70.90M,428.30M,-233.40M,,,-36.20M,27.10M,,2014-09,-349.70M,,-349.70M,103.90M,545.70M,5.30M,305.20M,2014-09,0.00,,0.00,22.10M,-163.40M,-141.30M,-195.30M,-195.30M,,9.00M,-327.60M,2014-09,1.019B,718.80M,-29.80M,,2014-09,22.10M,0.00,,-163.40M,218.30M,,2014-09,AOR,Restated
2014-06,512.60M,,-51.20M,-51.20M,,,189.80M,189.80M,-4.00M,,51.00M,-14.30M,22.10M,9.60M,-71.00M,-5.60M,161.90M,,,14.50M,109.40M,,2014-06,-307.60M,,-307.60M,0.00,-256.30M,-10.00M,-573.90M,2014-06,0.00,,0.00,28.10M,-305.10M,-277.00M,-195.50M,-195.50M,,19.40M,-453.10M,2014-06,1.190B,-176.90M,6.00M,,2014-06,28.10M,0.00,,-305.10M,233.20M,,2014-06,AOR,Restated
2014-03,426.90M,,-39.30M,-39.30M,,,184.10M,184.10M,0.40M,,43.80M,-14.70M,10.70M,-2.50M,-11.70M,-43.20M,40.20M,,,-197.20M,-214.40M,,2014-03,-247.50M,,-247.50M,0.00,-113.20M,5.00M,-355.70M,2014-03,0.00,,0.00,27.90M,-251.60M,-223.70M,-196.40M,-196.40M,,8.60M,-411.50M,2014-03,1.546B,-348.80M,-6.70M,,2014-03,27.90M,0.00,,-251.60M,277.40M,,2014-03,AOR,Restated
2013-12,540.70M,,-29.70M,-29.70M,,,180.10M,180.10M,35.70M,,47.80M,-72.60M,0.70M,-26.10M,167.90M,38.80M,-2.672B,,,359.70M,-2.132B,,2013-12,-256.10M,,-256.10M,0.00,82.20M,-19.40M,-193.30M,2013-12,748.50M,,748.50M,61.60M,-38.50M,23.10M,-195.90M,-195.90M,,-6.80M,568.90M,2013-12,2.576B,-1.026B,-3.60M,,2013-12,61.60M,748.50M,,-38.50M,37.40M,,2013-12,AOR,Restated
2013-09,-1.232B,35.20M,-129.20M,-94.00M,,,176.30M,176.30M,-1.050B,,36.70M,,2.709B,-48.00M,63.70M,104.20M,375.50M,,,-28.20M,467.20M,,2013-09,-369.00M,,-369.00M,24.20M,-53.10M,-14.90M,-412.80M,2013-09,749.70M,,749.70M,47.70M,0.00,47.70M,-158.00M,-158.00M,,36.20M,675.60M,2013-09,1.431B,1.133B,11.60M,,2013-09,47.70M,749.70M,0.00,0.00,121.80M,,2013-09,AOR,Restated
2013-06,417.80M,0.00,-26.70M,-26.70M,,,161.20M,161.20M,10.80M,,34.70M,,7.10M,4.90M,-49.80M,-41.80M,133.00M,,,14.10M,60.40M,,2013-06,-297.30M,,-297.30M,42.20M,-142.60M,12.30M,-385.40M,2013-06,0.00,,0.00,58.50M,0.00,58.50M,-157.40M,-157.40M,,33.60M,-65.30M,2013-06,1.223B,214.60M,-7.00M,,2013-06,58.50M,0.00,0.00,0.00,179.20M,,2013-06,AOR,Restated
2013-03,390.70M,-35.20M,-3.30M,-38.50M,,,161.30M,161.30M,-23.60M,,33.50M,,5.60M,-46.60M,-11.50M,-10.60M,-33.80M,,,-121.30M,-223.80M,,2013-03,-240.40M,,-240.40M,-568.80M,173.70M,-6.20M,-641.70M,2013-03,-35.20M,,-35.20M,42.70M,-163.30M,-120.60M,-157.40M,-157.40M,,28.70M,-284.50M,2013-03,1.852B,-621.00M,-7.90M,,2013-03,42.70M,0.00,-35.20M,-163.30M,211.80M,,2013-03,AOR,Restated
2012-12,432.40M,,-12.60M,-12.60M,,,156.80M,156.80M,16.70M,,37.40M,,5.60M,21.40M,150.10M,24.50M,-40.30M,,,275.30M,431.00M,,2012-12,-244.50M,,-244.50M,,276.30M,-3.10M,28.70M,2012-12,0.00,,0.00,98.30M,-424.80M,-326.50M,-156.10M,-156.10M,,48.60M,-434.00M,2012-12,1.189B,662.00M,1.50M,,2012-12,98.30M,0.00,,-424.80M,26.30M,,2012-12,AOR,Restated
2012-09,359.00M,0.00,-98.30M,-98.30M,,,152.90M,152.90M,27.50M,,38.80M,,13.60M,-45.50M,11.80M,16.50M,241.20M,,,-11.00M,213.00M,,2012-09,-339.70M,,-339.70M,-99.40M,173.50M,-24.20M,-289.80M,2012-09,0.00,,-30.80M,25.30M,-533.40M,-508.10M,-129.00M,-129.00M,,10.90M,-657.00M,2012-09,1.501B,-323.40M,10.70M,,2012-09,25.30M,,-30.80M,-533.40M,105.50M,,2012-09,AOR,Restated
2012-06,333.40M,0.00,-19.50M,-19.50M,,,139.80M,139.80M,-11.00M,,38.80M,,10.80M,1.20M,-48.60M,75.60M,40.60M,,,-9.80M,59.00M,,2012-06,-202.70M,,-202.70M,0.00,-191.70M,-2.80M,-397.20M,2012-06,0.00,,0.00,33.20M,0.00,33.20M,-129.00M,-129.00M,,19.20M,-76.60M,2012-06,1.432B,77.50M,-8.40M,,2012-06,33.20M,,0.00,0.00,40.20M,,2012-06,AOR,Restated
2012-03,310.10M,0.00,-10.40M,-10.40M,,,144.30M,144.30M,14.60M,,36.20M,,0.90M,-46.00M,-78.80M,-47.60M,-71.30M,,,-142.70M,-386.40M,,2012-03,-160.30M,,-160.30M,0.00,-92.70M,-14.30M,-267.30M,2012-03,0.00,,0.00,84.40M,0.00,84.40M,-128.20M,-128.20M,,58.50M,14.70M,2012-03,1.570B,-143.30M,5.90M,,2012-03,84.40M,,0.00,0.00,225.70M,,2012-03,AOR,Restated
2011-12,382.20M,,-7.80M,-7.80M,,,143.60M,143.60M,30.00M,,39.80M,,-1.70M,,-157.70M,-64.20M,-122.20M,,,224.30M,-119.80M,,2011-12,-153.50M,,-153.50M,-29.70M,158.70M,4.80M,-19.70M,2011-12,,,,93.70M,-15.70M,78.00M,-126.80M,-126.80M,,22.20M,-26.60M,2011-12,1.148B,420.00M,1.50M,,2011-12,93.70M,,,-15.70M,45.50M,,2011-12,AOR,Restated
2011-09,358.10M,,-2.00M,-87.40M,,,141.80M,141.80M,47.80M,,37.00M,,12.50M,,-113.80M,43.60M,172.50M,,-73.50M,35.80M,-24.10M,,2011-09,-159.50M,,-42.10M,-55.80M,-700.00M,-4.60M,-802.50M,2011-09,,,,63.00M,-234.00M,-171.00M,,-97.40M,,-3.00M,-240.60M,2011-09,1.721B,-557.40M,-15.30M,,2011-09,63.00M,,,-234.00M,62.70M,,2011-09,AOR,Restated
2011-06,280.00M,,-23.50M,-23.50M,,,136.60M,136.60M,9.30M,,37.00M,,-0.30M,,-82.30M,63.00M,34.60M,,2.80M,,18.10M,,2011-06,-133.30M,,-133.30M,0.00,54.40M,1.00M,-77.90M,2011-06,,,,61.00M,-261.40M,-200.40M,,-97.80M,,-7.90M,-306.10M,2011-06,1.645B,73.20M,2.40M,,2011-06,61.00M,,,-261.40M,20.20M,,2011-06,AOR,Restated
2011-03,262.30M,,0.00,0.00,,,136.30M,136.30M,-4.60M,,34.70M,,7.70M,,-148.60M,-150.00M,-19.60M,,70.70M,-193.00M,-440.50M,,2011-03,-110.20M,,-110.20M,0.00,16.80M,-8.90M,-102.30M,2011-03,,,,64.10M,-48.70M,15.40M,,-97.40M,,30.60M,-51.40M,2011-03,1.792B,-157.80M,11.00M,,2011-03,64.10M,,,-48.70M,218.00M,,2011-03,AOR,Restated
2010-12,347.60M,,-7.40M,-7.40M,,,135.30M,135.30M,53.70M,,36.50M,,13.40M,,-77.60M,20.90M,-41.80M,,,193.00M,94.50M,,2010-12,-128.90M,,-128.90M,0.00,92.80M,-0.70M,-36.80M,2010-12,,,,62.30M,-11.80M,50.50M,,-96.90M,,36.50M,-9.90M,2010-12,1.164B,626.90M,1.10M,,2010-12,62.30M,,,-11.80M,49.20M,,2010-12,AOR,Restated
2010-09,278.50M,,-8.30M,-31.40M,,,136.30M,136.30M,-36.80M,-60.20M,31.70M,20.70M,79.40M,,-40.40M,,15.40M,,-20.60M,-27.00M,-88.70M,,2010-09,-164.70M,,-159.60M,-1.40M,59.20M,2.30M,-99.50M,2010-09,6.50M,,6.50M,42.20M,-116.50M,-74.30M,,-96.20M,,-41.70M,-205.70M,2010-09,1.125B,24.30M,14.50M,,2010-09,42.20M,,6.50M,-116.50M,113.80M,,2010-09,AOR,Restated
2010-06,669.80M,,-8.50M,-8.50M,,,132.00M,132.00M,-1.50M,15.90M,28.50M,-6.90M,-456.70M,,-11.10M,,7.60M,,0.50M,48.00M,45.00M,,2010-06,-96.60M,,-96.60M,0.00,-62.40M,-1.20M,-160.20M,2010-06,0.00,,0.00,27.90M,-169.10M,-141.20M,,-74.80M,,6.60M,-209.40M,2010-06,1.086B,48.00M,-8.80M,,2010-06,27.90M,,0.00,-169.10M,121.20M,,2010-06,AOR,Restated
2010-03,-243.50M,,-5.30M,-5.30M,,,134.30M,134.30M,-4.70M,7.10M,29.10M,-5.20M,454.80M,,54.00M,,-71.00M,,-136.00M,-24.50M,-177.50M,,2010-03,-84.80M,,-84.80M,0.00,-346.20M,1.20M,-429.80M,2010-03,0.00,,0.00,24.60M,0.00,24.60M,,0.00,,4.70M,29.30M,2010-03,1.306B,-211.40M,-8.90M,,2010-03,24.60M,,0.00,0.00,239.80M,,2010-03,AOR,Restated
2009-12,243.50M,,4.90M,4.90M,,,138.20M,138.20M,1.00M,37.20M,24.30M,-8.60M,-2.00M,,120.70M,,25.70M,,180.30M,3.50M,330.20M,,2009-12,-99.70M,,-99.70M,-10.60M,10.30M,,-100.00M,2009-12,-6.50M,,-6.50M,38.10M,0.00,38.10M,,0.00,,8.20M,39.80M,2009-12,599.80M,708.50M,-2.00M,,2009-12,38.10M,,-6.50M,0.00,52.20M,,2009-12,AOR,Restated
2009-09,153.50M,,0.80M,0.80M,,,140.10M,140.10M,-20.80M,25.40M,20.10M,-9.20M,-4.70M,,40.90M,,11.70M,,-31.90M,46.40M,67.10M,,2009-09,-101.40M,0.40M,-101.00M,0.00,-9.80M,,-110.80M,2009-09,-0.20M,0.00,-0.20M,30.70M,0.00,30.70M,,0.00,,8.80M,39.30M,2009-09,292.00M,300.80M,7.00M,,2009-09,30.70M,25.00M,-25.20M,0.00,61.40M,,2009-09,AOR,Restated
2009-06,148.20M,,-15.40M,-15.40M,,,141.00M,141.00M,-18.90M,53.30M,20.60M,-1.40M,-4.00M,,-72.30M,,9.90M,,-18.70M,59.00M,-22.10M,,2009-06,-107.30M,42.10M,-65.20M,0.00,9.50M,,-55.70M,2009-06,-0.20M,-226.00M,-226.20M,9.50M,0.00,9.50M,,0.00,-5.90M,6.30M,-216.30M,2009-06,253.20M,29.30M,9.50M,,2009-06,9.50M,317.00M,-543.20M,0.00,53.50M,,2009-06,AOR,Restated
2009-03,25.10M,,-9.90M,-9.90M,,,141.20M,141.20M,-28.00M,80.40M,20.20M,0.00,2.00M,,-39.20M,,-17.70M,,-166.70M,14.50M,-209.10M,,2009-03,-64.30M,,-64.30M,0.00,-7.20M,,-71.50M,2009-03,-0.10M,-64.20M,-64.30M,9.50M,,9.50M,,,0.30M,-0.30M,-54.80M,2009-03,356.80M,-104.40M,0.80M,,2009-03,9.50M,5.398B,-5.462B,,41.80M,,2009-03,AOR,Restated
2008-12,64.70M,,-0.90M,-0.90M,,,141.00M,141.00M,-1.90M,65.30M,22.30M,-5.30M,14.10M,,99.10M,,0.30M,,233.60M,61.20M,394.20M,,2008-12,-172.60M,,-172.60M,0.00,-10.50M,,-183.10M,2008-12,-0.20M,-422.90M,-423.10M,7.60M,,7.60M,,,5.60M,-0.50M,-410.40M,2008-12,269.80M,100.00M,-13.00M,,2008-12,7.60M,16.56B,-16.99B,,5.30M,,2008-12,,Restated
2008-09,5.40M,,,-8.50M,,,173.10M,173.10M,-27.50M,,,,-276.70M,,-33.20M,,-1.20M,,15.10M,-55.60M,-74.90M,,2008-09,-250.60M,,-250.60M,-51.70M,-22.00M,,-324.30M,2008-09,,,97.20M,23.40M,0.00,23.40M,,,,2.40M,123.00M,2008-09,297.00M,-21.30M,-5.90M,,2008-09,23.40M,,,0.00,,,2008-09,,Restated
2008-06,-6.70M,,,5.40M,-286.30M,0.20M,145.30M,145.30M,-73.90M,,,,199.80M,,-55.20M,,14.60M,,30.90M,53.40M,43.70M,,2008-06,-228.80M,,-228.80M,-22.50M,-13.60M,,-264.90M,2008-06,,,-86.80M,21.90M,0.00,21.90M,,,,11.30M,-53.60M,2008-06,303.40M,-4.90M,-1.50M,,2008-06,21.90M,,,0.00,,,2008-06,,
