,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,SECFilingLinks,AsOriginallyReported,Restated
2018-03,5.454B,6.032B,4.304B,1.728B,420.60M,420.60M,-92.00M,35.10M,35.50M,0.40M,120.80M,873.00M,854.50M,35.50M,35.10M,0.40M,-39.30M,0.40M,815.60M,155.80M,659.80M,0.30M,,660.10M,734.53M,850.70M,,2018-03,0.47,,,2018-03,0.47,,0.5229,2018-03,1.395B,1.407B,2018-03,AOR,Restated
2017-12,5.424B,6.074B,4.239B,1.835B,392.40M,392.40M,1.800B,25.90M,88.20M,62.30M,129.50M,780.70M,1.054B,88.20M,25.90M,62.30M,1.889B,62.30M,3.006B,755.80M,2.250B,0.10M,,2.250B,902.07M,3.032B,,2017-12,1.58,,,2017-12,1.57,,0.6303,2017-12,1.421B,1.435B,2017-12,AOR,Restated
2017-09,3.317B,5.698B,4.013B,1.685B,400.20M,400.20M,50.60M,22.30M,67.70M,45.40M,95.30M,750.90M,934.00M,67.70M,22.30M,45.40M,172.50M,45.40M,1.152B,362.50M,789.40M,-0.80M,,788.60M,753.92M,1.174B,,2017-09,0.5461,,,2017-09,0.54,,0.5161,2017-09,1.440B,1.451B,2017-09,AOR,Restated
2017-06,5.662B,5.662B,3.878B,1.784B,325.00M,325.00M,-120.20M,23.50M,31.70M,8.20M,142.50M,720.10M,1.063B,31.70M,23.50M,8.20M,-19.20M,8.20M,1.052B,361.10M,691.30M,0.30M,,691.60M,770.57M,1.076B,,2017-06,0.48,,,2017-06,0.47,,0.5241,2017-06,1.448B,1.459B,2017-06,AOR,Restated
2017-03,5.294B,5.294B,3.728B,1.566B,326.80M,326.80M,9.60M,22.90M,58.30M,35.40M,134.70M,715.10M,851.30M,58.30M,22.90M,35.40M,93.70M,35.40M,980.40M,327.60M,652.80M,0.00,,652.80M,646.41M,1.003B,,2017-03,0.45,,,2017-03,0.45,,0.4456,2017-03,1.453B,1.465B,2017-03,AOR,Restated
2016-12,5.733B,5.733B,3.933B,1.800B,356.40M,356.40M,0.00,23.80M,24.10M,0.30M,145.40M,751.50M,1.048B,24.10M,23.80M,0.30M,84.40M,0.30M,1.133B,381.40M,751.50M,0.30M,,751.80M,751.80M,1.157B,,2016-12,0.52,,,2016-12,0.51,,0.51,2016-12,1.458B,1.470B,2016-12,AOR,Restated
2016-09,3.394B,5.711B,3.814B,1.897B,449.50M,449.50M,5.40M,24.70M,7.10M,-17.60M,75.90M,775.30M,1.122B,7.10M,24.70M,-17.60M,111.30M,-17.60M,1.215B,413.50M,801.70M,-0.80M,,800.90M,797.34M,1.240B,,2016-09,0.5462,,,2016-09,0.54,,0.5376,2016-09,1.463B,1.478B,2016-09,AOR,Restated
2016-06,5.238B,5.238B,3.590B,1.648B,323.40M,323.40M,0.00,21.80M,72.90M,51.10M,137.50M,708.50M,939.80M,72.90M,21.80M,51.10M,82.50M,51.10M,1.073B,318.90M,754.50M,-0.40M,,754.10M,754.10M,1.095B,,2016-06,0.51,,,2016-06,0.51,,0.51,2016-06,1.465B,1.479B,2016-06,AOR,Restated
2016-03,4.993B,4.993B,3.477B,1.516B,330.50M,330.50M,,18.30M,14.50M,-3.80M,139.60M,717.90M,798.60M,14.50M,18.30M,-3.80M,65.60M,-3.80M,860.40M,285.40M,575.00M,0.10M,,575.10M,575.10M,878.70M,,2016-03,0.39,,,2016-03,0.39,,0.39,2016-03,1.472B,1.487B,2016-03,AOR,Restated
2015-12,5.374B,5.374B,3.692B,1.681B,305.50M,305.50M,,16.50M,8.10M,-8.40M,146.20M,687.20M,993.90M,8.10M,16.50M,-8.40M,64.10M,-8.40M,1.050B,361.90M,687.70M,-0.10M,,687.60M,687.60M,1.066B,,2015-12,0.46,,,2015-12,0.46,,0.46,2015-12,1.486B,1.503B,2015-12,AOR,Restated
2015-09,4.915B,4.915B,3.361B,1.554B,303.90M,303.90M,-61.10M,18.20M,6.40M,-11.80M,127.90M,666.10M,887.50M,6.40M,18.20M,-11.80M,20.80M,-11.80M,896.50M,244.00M,652.50M,0.00,,652.50M,696.97M,914.70M,,2015-09,0.4394,,,2015-09,0.43,,0.4596,2015-09,1.486B,1.505B,2015-09,AOR,Restated
2015-06,4.881B,4.881B,3.346B,1.535B,288.50M,288.50M,0.00,19.10M,25.50M,6.40M,131.60M,656.60M,878.30M,25.50M,19.10M,6.40M,60.30M,6.40M,945.00M,318.50M,626.50M,0.20M,,626.70M,626.70M,964.10M,,2015-06,0.42,,,2015-06,0.41,,0.41,2015-06,1.498B,1.516B,2015-06,AOR,Restated
2015-03,4.564B,4.564B,3.184B,1.379B,305.90M,305.90M,0.00,16.90M,1.30M,-15.60M,133.50M,656.50M,722.60M,1.30M,16.90M,-15.60M,54.90M,-15.60M,761.90M,266.30M,495.60M,-0.70M,,494.90M,494.90M,778.80M,,2015-03,0.33,,,2015-03,0.33,,0.33,2015-03,1.500B,1.516B,2015-03,AOR,Restated
2014-12,4.803B,4.803B,3.307B,1.496B,298.40M,298.40M,390.60M,16.30M,9.70M,-6.60M,129.40M,633.80M,862.70M,9.70M,16.30M,-6.60M,443.40M,-6.60M,1.300B,315.00M,984.50M,-1.40M,,983.10M,687.03M,1.316B,,2014-12,0.66,,,2014-12,0.65,,0.4548,2014-12,1.499B,1.517B,2014-12,AOR,Restated
2014-09,4.181B,4.181B,2.875B,1.306B,238.70M,238.70M,0.00,16.40M,85.70M,69.30M,111.00M,535.10M,770.40M,85.70M,16.40M,69.30M,84.40M,69.30M,924.10M,336.60M,587.50M,0.30M,,587.80M,587.80M,940.50M,,2014-09,0.3922,,,2014-09,0.385,,0.385,2014-09,1.502B,1.522B,2014-09,AOR,Restated
2014-06,4.154B,4.154B,2.888B,1.266B,269.40M,269.40M,0.00,16.40M,19.40M,3.00M,120.60M,570.10M,695.60M,19.40M,16.40M,3.00M,72.90M,3.00M,771.50M,259.00M,512.50M,0.10M,,512.60M,512.60M,787.90M,,2014-06,0.34,,,2014-06,0.34,,0.34,2014-06,1.504B,1.522B,2014-06,AOR,Restated
2014-03,3.874B,3.874B,2.764B,1.110B,240.60M,240.60M,0.00,16.70M,17.80M,1.10M,110.90M,525.90M,584.20M,17.80M,16.70M,1.10M,59.90M,1.10M,645.20M,218.30M,426.90M,0.10M,,427.00M,427.00M,661.90M,,2014-03,0.28,,,2014-03,0.28,,0.28,2014-03,1.510B,1.529B,2014-03,AOR,Restated
2013-12,4.240B,4.240B,2.970B,1.269B,242.60M,242.60M,20.20M,14.50M,19.80M,5.30M,114.90M,527.20M,742.20M,19.80M,14.50M,5.30M,71.30M,5.30M,818.80M,278.10M,540.70M,0.00,,540.70M,527.37M,833.30M,,2013-12,0.36,,,2013-12,0.355,,0.3463,2013-12,1.510B,1.532B,2013-12,AOR,Restated
2013-09,3.789B,3.789B,2.708B,1.081B,226.20M,226.20M,-2.784B,9.10M,72.20M,63.10M,101.00M,493.30M,587.80M,72.20M,9.10M,63.10M,-2.703B,63.10M,-2.052B,-820.10M,-1.232B,0.10M,,-1.232B,439.52M,-2.043B,,2013-09,-0.8178,,,2013-09,-0.82,,0.2732,2013-09,1.504B,1.529B,2013-09,AOR,Restated
2013-06,3.735B,3.735B,2.682B,1.054B,249.60M,249.60M,0.00,6.30M,3.50M,-2.80M,98.90M,501.80M,551.80M,3.50M,6.30M,-2.80M,63.40M,-2.80M,612.40M,194.60M,417.80M,0.00,,417.80M,417.80M,618.70M,,2013-06,0.28,,,2013-06,0.275,,0.275,2013-06,1.499B,1.524B,2013-06,AOR,Restated
2013-03,3.550B,3.550B,2.569B,980.80M,230.30M,230.30M,0.00,6.10M,50.80M,44.70M,105.80M,489.20M,491.60M,50.80M,6.10M,44.70M,52.50M,44.70M,588.80M,198.10M,390.70M,-0.30M,,390.40M,390.40M,594.90M,,2013-03,0.26,,,2013-03,0.255,,0.255,2013-03,1.498B,1.523B,2013-03,AOR,Restated
2012-12,3.793B,3.793B,2.710B,1.083B,231.90M,231.90M,0.00,9.50M,,-9.50M,126.10M,506.90M,576.10M,,9.50M,-9.50M,54.50M,-9.50M,621.10M,188.70M,432.40M,-0.20M,,432.20M,432.20M,630.60M,,2012-12,0.29,,,2012-12,0.285,,0.285,2012-12,1.492B,1.523B,2012-12,AOR,Restated
2012-09,3.341B,3.341B,2.449B,892.40M,203.80M,203.80M,,6.50M,26.20M,19.70M,89.30M,434.80M,457.60M,26.20M,6.50M,19.70M,61.90M,19.70M,539.20M,180.20M,359.00M,-0.30M,,358.70M,358.70M,545.70M,,2012-09,0.2396,,,2012-09,0.00,0.00,0.00,2012-09,1.512B,1.547B,2012-09,AOR,Restated
2012-06,3.304B,3.304B,2.422B,881.50M,199.00M,199.00M,,8.90M,9.70M,0.80M,105.90M,441.60M,439.90M,9.70M,8.90M,0.80M,51.70M,0.80M,492.40M,159.10M,333.30M,-0.20M,,333.10M,333.10M,501.30M,,2012-06,0.22,,,2012-06,0.215,,0.215,2012-06,1.518B,1.554B,2012-06,AOR,Restated
2012-03,3.196B,3.196B,2.368B,827.50M,206.90M,206.90M,,8.80M,35.30M,26.50M,105.30M,449.30M,378.20M,35.30M,8.80M,26.50M,52.20M,26.50M,456.90M,146.80M,310.10M,-0.20M,,309.90M,309.90M,465.70M,,2012-03,0.205,,,2012-03,0.20,,0.20,2012-03,1.509B,1.547B,2012-03,AOR,Restated
2011-12,3.436B,3.436B,2.492B,944.10M,191.50M,191.50M,,8.60M,23.20M,14.60M,106.70M,433.00M,511.10M,23.20M,8.60M,14.60M,44.90M,14.60M,570.60M,188.40M,382.20M,-0.10M,,382.10M,382.10M,579.20M,,2011-12,0.255,,,2011-12,0.25,,0.25,2011-12,1.496B,1.537B,2011-12,AOR,Restated
2011-09,3.032B,3.032B,4.909B,-1.878B,,-2.480B,319.20M,9.80M,65.60M,55.80M,,-1.950B,72.20M,65.60M,9.80M,55.80M,376.00M,55.80M,504.00M,145.90M,358.10M,0.20M,,358.30M,131.50M,513.80M,,2011-09,0.235,,,2011-09,0.235,,0.0874,2011-09,1.494B,1.537B,2011-09,AOR,Restated
2011-06,2.932B,2.932B,1.238B,1.695B,,1.107B,-100.00M,8.50M,16.00M,7.50M,,1.237B,457.90M,16.00M,8.50M,7.50M,-55.70M,7.50M,409.70M,129.90M,279.80M,-0.70M,,279.10M,347.39M,418.20M,,2011-06,0.185,0.00,,2011-06,0.18,0.00,0.2242,2011-06,1.501B,1.544B,2011-06,AOR,Restated
2011-03,2.786B,2.786B,1.171B,1.614B,,1.049B,19.90M,7.10M,,-7.10M,98.90M,1.277B,337.80M,,7.10M,-7.10M,19.90M,-7.10M,388.90M,126.50M,262.40M,-0.80M,,261.60M,248.17M,396.00M,,2011-03,0.175,0.00,,2011-03,0.17,0.00,0.1613,2011-03,1.501B,1.544B,2011-03,AOR,Restated
2010-12,2.951B,2.951B,1.192B,1.758B,,1.073B,,7.90M,14.40M,6.50M,90.10M,1.291B,467.40M,14.40M,7.90M,6.50M,,6.50M,508.40M,160.80M,347.60M,-1.00M,,346.60M,346.60M,516.30M,,2010-12,0.23,0.00,,2010-12,0.225,0.00,0.225,2010-12,1.491B,1.533B,2010-12,AOR,Restated
2010-09,2.838B,2.838B,1.130B,1.708B,,1.155B,254.80M,8.60M,,-37.00M,,1.561B,146.80M,,8.60M,-37.00M,154.70M,-37.00M,412.60M,134.10M,278.50M,0.40M,,278.90M,106.91M,421.20M,,2010-09,0.19,0.00,,2010-09,0.185,0.00,0.0719,2010-09,1.480B,1.521B,2010-09,AOR,Restated
2010-06,2.612B,2.612B,1.076B,1.536B,,1.022B,-97.60M,9.30M,,-9.30M,,1.147B,389.00M,,9.30M,-9.30M,-61.30M,-9.30M,318.40M,109.90M,208.50M,-0.60M,,207.90M,271.81M,327.70M,,2010-06,0.14,0.00,,2010-06,0.135,0.00,0.1767,2010-06,1.492B,1.533B,2010-06,AOR,Restated
2010-03,2.535B,2.535B,1.064B,1.471B,,967.00M,-3.20M,8.00M,,-8.00M,61.80M,1.157B,313.30M,,8.00M,-8.00M,-3.20M,-8.00M,336.50M,118.70M,217.80M,-0.50M,,217.30M,219.37M,344.50M,,2010-03,0.145,0.00,,2010-03,0.14,0.00,0.1414,2010-03,1.494B,1.534B,2010-03,AOR,Restated
2009-12,2.723B,2.723B,1.146B,1.577B,,1.033B,-18.30M,8.20M,25.10M,16.90M,71.90M,1.236B,341.50M,25.10M,8.20M,16.90M,-18.30M,16.90M,369.50M,126.00M,243.50M,-2.00M,,241.50M,253.56M,377.70M,,2009-12,0.16,0.00,,2009-12,0.16,0.00,0.1679,2009-12,1.488B,1.526B,2009-12,AOR,Restated
2009-09,2.422B,2.422B,1.041B,1.381B,,980.70M,-53.20M,8.60M,21.40M,12.80M,58.60M,1.172B,209.10M,21.40M,8.60M,12.80M,-131.60M,12.80M,212.20M,58.70M,153.50M,-3.50M,,150.00M,188.48M,220.80M,,2009-09,0.10,0.00,,2009-09,0.10,0.00,0.1254,2009-09,1.482B,1.516B,2009-09,AOR,Restated
2009-06,2.404B,2.404B,1.043B,1.360B,,931.70M,-51.60M,8.60M,18.60M,10.00M,69.20M,1.135B,225.90M,18.60M,8.60M,10.00M,-21.90M,10.00M,214.00M,65.80M,148.20M,3.30M,,151.50M,187.23M,222.60M,,2009-06,0.10,0.00,,2009-06,0.10,0.00,0.1239,2009-06,1.479B,1.493B,2009-06,AOR,Restated
2009-03,2.333B,2.333B,1.044B,1.290B,,923.90M,-152.10M,8.90M,3.00M,-5.90M,64.00M,1.122B,167.80M,3.00M,8.90M,-5.90M,-152.10M,-5.90M,35.00M,9.90M,25.10M,-0.10M,,25.00M,134.08M,43.90M,,2009-03,0.015,0.00,,2009-03,0.015,0.00,0.0887,2009-03,1.476B,1.480B,2009-03,AOR,Restated
2008-12,2.615B,2.615B,1.197B,1.418B,,1.042B,-75.50M,13.00M,6.00M,-7.00M,72.60M,1.249B,169.70M,6.00M,13.00M,-7.00M,-75.50M,-7.00M,98.70M,34.00M,64.70M,-0.40M,,64.30M,113.79M,111.70M,,2008-12,0.045,0.00,,2008-12,0.045,0.00,0.0785,2008-12,1.473B,1.478B,2008-12,,Restated
2008-09,2.515B,2.515B,1.190B,1.326B,,780.70M,-99.20M,,,,407.20M,1.326B,-0.20M,,,,-176.30M,,-1.20M,-6.60M,5.40M,,,5.40M,69.88M,-144.50M,,2008-09,0.005,0.00,,2008-09,0.005,0.00,0.0485,2008-09,1.468B,1.483B,2008-09,,Restated
2008-06,2.574B,2.574B,1.163B,1.411B,,1.154B,-167.70M,,,,-29.00M,1.265B,146.10M,,,,-138.70M,,33.20M,-26.50M,-6.70M,,,-6.70M,102.30M,146.10M,,2008-06,-0.005,0.00,,2008-06,-0.005,0.00,0.0695,2008-06,1.463B,1.463B,2008-06,,
2008-03,2.526B,2.526B,2.117B,409.40M,,117.60M,,,,,-24.50M,231.20M,178.20M,,,,24.50M,,167.20M,58.50M,108.70M,,,108.70M,108.70M,178.20M,,2008-03,0.075,0.00,,2008-03,0.075,0.00,0.075,2008-03,1.457B,1.479B,2008-03,,
2007-12,2.768B,2.768B,1.186B,1.582B,,1.139B,,,,,-23.60M,1.248B,333.10M,,,,23.60M,,326.70M,118.60M,208.10M,,,208.10M,208.10M,333.10M,,2007-12,0.14,0.00,,2007-12,0.14,0.00,0.14,2007-12,1.463B,1.490B,2007-12,,
2007-09,2.441B,2.441B,1.685B,756.24M,,422.53M,,,,,-38.49M,508.21M,248.03M,,,,38.49M,,246.85M,88.34M,158.50M,,,158.50M,158.50M,248.03M,,2007-09,0.11,0.00,,2007-09,0.105,0.00,0.105,2007-09,1.488B,1.520B,2007-09,,
2007-06,2.359B,2.359B,1.900B,459.64M,,119.52M,,,,,-24.50M,214.43M,245.21M,,,,24.50M,,242.97M,84.63M,158.34M,,,158.34M,158.34M,245.21M,,2007-06,0.105,0.00,,2007-06,0.105,0.00,0.105,2007-06,1.489B,1.527B,2007-06,,
2007-03,2.256B,2.256B,1.800B,455.90M,,127.80M,,,,,-26.30M,214.90M,241.00M,,,,26.30M,,240.30M,89.50M,150.80M,,,150.80M,150.80M,241.00M,,2007-03,0.10,0.00,,2007-03,0.095,0.00,0.095,2007-03,1.505B,1.548B,2007-03,,
2006-12,2.356B,2.356B,984.80M,1.371B,,959.70M,,,,,-18.70M,1.051B,319.70M,,,,18.70M,,326.20M,121.20M,205.00M,,,205.00M,205.00M,319.70M,,2006-12,0.135,0.00,,2006-12,0.13,0.00,0.13,2006-12,1.516B,1.566B,2006-12,,
2006-09,2.003B,2.003B,1.617B,386.78M,,114.83M,,,,,-28.57M,189.14M,197.64M,,,,28.57M,,201.49M,66.99M,134.50M,,,117.29M,134.50M,197.64M,,2006-09,0.09,-0.01,,2006-09,0.085,-0.01,0.085,2006-09,1.520B,1.569B,2006-09,,
2006-06,1.964B,1.964B,1.561B,402.70M,,115.26M,,,,,-25.67M,188.13M,214.57M,,,,25.67M,,219.60M,74.10M,145.50M,,,145.50M,145.50M,214.57M,,2006-06,0.095,0.00,,2006-06,0.09,0.00,0.09,2006-06,1.540B,1.597B,2006-06,,
2006-03,1.886B,1.886B,1.490B,396.03M,,119.61M,,,,,-19.98M,194.13M,201.89M,,,,19.98M,,204.96M,77.64M,127.32M,,,127.32M,127.32M,201.89M,,2006-03,0.085,0.00,,2006-03,0.08,0.00,0.08,2006-03,1.535B,1.589B,2006-03,,
2005-12,1.934B,1.934B,1.459B,474.74M,,123.32M,,,,,-19.72M,194.89M,279.85M,,,,19.72M,,280.20M,106.04M,174.16M,,,174.16M,174.16M,279.85M,,2005-12,0.115,0.00,,2005-12,0.11,0.00,0.11,2005-12,1.534B,1.586B,2005-12,,
2005-09,1.659B,1.659B,1.303B,356.47M,,100.95M,,,,,-29.35M,160.07M,196.40M,,,,29.25M,,199.76M,76.25M,123.51M,,,123.51M,123.51M,196.40M,,2005-09,0.04,0.00,,2005-09,0.04,0.00,0.04,2005-09,3.087B,3.180B,2005-09,,
2005-06,1.602B,1.602B,1.244B,357.50M,,90.64M,,,,,-18.14M,157.86M,199.63M,,,,18.14M,,202.87M,77.29M,125.58M,,,125.58M,125.58M,199.63M,,2005-06,0.04,0.00,,2005-06,0.04,0.00,0.04,2005-06,3.135B,3.232B,2005-06,,
2005-03,1.519B,1.519B,1.208B,310.68M,,81.93M,,,,,-16.29M,153.41M,157.28M,,,,16.29M,,161.29M,60.83M,100.46M,,,100.46M,100.46M,157.28M,,2005-03,0.0325,0.00,,2005-03,0.03,0.00,0.03,2005-03,3.208B,3.312B,2005-03,,
2004-12,1.590B,1.590B,1.169B,420.78M,,127.88M,,,,,-12.89M,193.55M,227.23M,,,,12.89M,,232.36M,87.60M,144.75M,,,144.75M,144.75M,227.23M,,2004-12,0.045,0.00,,2004-12,0.0425,0.00,0.0425,2004-12,3.204B,3.323B,2004-12,,
2004-09,1.453B,1.453B,1.168B,285.78M,,80.54M,,,,,-23.92M,130.76M,155.02M,,,,23.83M,,157.75M,55.47M,102.28M,,,102.28M,102.28M,155.02M,,2004-09,-0.0625,0.00,,2004-09,-0.0625,0.00,-0.0625,2004-09,1.587B,1.642B,2004-09,,
2004-06,1.319B,1.319B,1.032B,286.23M,,73.36M,,,,,-13.82M,132.42M,153.81M,,,,13.16M,,157.57M,59.99M,97.58M,,,97.58M,97.58M,153.81M,,2004-06,0.0625,0.00,,2004-06,0.06,0.00,0.06,2004-06,1.592B,1.649B,2004-06,,
2004-03,1.241B,1.241B,975.05M,266.02M,,79.98M,,,,,-11.94M,142.26M,123.76M,,,,11.94M,,127.44M,48.56M,78.88M,,,78.88M,78.88M,123.76M,,2004-03,0.025,0.00,,2004-03,0.0238,0.00,0.0238,2004-03,3.180B,3.292B,2004-03,,
2003-12,1.281B,1.281B,934.53M,346.66M,,114.12M,,,,,-10.04M,172.00M,174.66M,,,,10.04M,,177.87M,67.73M,110.14M,,,110.14M,110.14M,174.66M,,2003-12,0.07,0.00,,2003-12,0.0675,0.00,0.0675,2003-12,1.580B,1.631B,2003-12,,
2003-09,1.081B,1.081B,-691.35M,1.772B,,1.615B,,,,,-17.23M,1.660B,112.20M,,,,17.23M,,112.97M,43.49M,69.48M,,,69.48M,69.48M,112.20M,,2003-09,0.045,0.00,,2003-09,0.0425,0.00,0.0425,2003-09,1.571B,1.620B,2003-09,,
2003-06,1.037B,1.037B,829.49M,207.29M,,49.32M,,,,,-7.917M,101.17M,106.11M,,,,7.917M,,111.23M,42.82M,68.41M,,,68.41M,68.41M,106.11M,,2003-06,0.0425,0.00,,2003-06,0.0425,0.00,0.0425,2003-06,1.568B,1.611B,2003-06,,
2003-03,954.21M,954.21M,721.25M,232.96M,,96.07M,6.573M,,,,-6.573M,147.46M,85.49M,,,,6.573M,,86.73M,34.70M,52.03M,,,52.03M,48.09M,85.49M,,2003-03,0.0162,0.00,,2003-03,0.0162,0.00,0.0150,2003-03,3.118B,3.197B,2003-03,,
2002-12,1.004B,1.004B,739.45M,264.08M,,92.46M,,,,,-6.601M,143.24M,120.84M,,,,6.601M,,125.33M,46.97M,78.36M,,,78.36M,78.36M,120.84M,,2002-12,0.025,0.00,,2002-12,0.025,0.00,0.025,2002-12,3.109B,3.194B,2002-12,,
2002-09,865.20M,865.20M,687.73M,177.47M,,46.72M,35.83M,,,,-13.25M,87.88M,89.59M,,,,13.25M,,92.81M,34.34M,58.47M,,,58.47M,35.89M,89.59M,,2002-09,0.0360,,,2002-09,-0.0325,0.00,-0.0467,2002-09,1.538B,1.589B,2002-09,,
2002-06,835.16M,835.16M,658.12M,177.04M,,47.00M,8.536M,,,,-8.536M,89.33M,87.71M,,,,8.536M,,89.16M,32.99M,56.17M,,,56.17M,50.80M,87.71M,,2002-06,0.035,0.00,,2002-06,0.035,0.00,0.0316,2002-06,1.553B,1.605B,2002-06,,
2002-03,783.22M,783.22M,624.61M,158.61M,,67.31M,7.459M,,,,-7.459M,109.83M,48.78M,,,,7.459M,,50.92M,18.84M,32.08M,,,32.08M,27.38M,48.78M,,2002-03,0.02,0.00,,2002-03,0.02,0.00,0.0170,2002-03,1.537B,1.591B,2002-03,,
