,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,WorkinProcessInventory,FinishedGoodsInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2017-06,,210.05M,,210.05M,2.378B,2.378B,386.27M,1.469B,1.855B,,411.14M,4.854B,0.00,259.42M,961.87M,2.596B,,134.52M,3.951B,-2.062B,1.890B,7.178B,6.003B,13.18B,224.70M,568.14M,15.86B,20.72B,,1.784B,320.89M,2.105B,898.50M,3.003B,,,,753.00M,,753.00M,,4.152B,10.75B,,10.75B,2.467B,2.467B,253.43M,,702.16M,14.17B,18.33B,,117.07M,4.449B,,4.262B,,,-519.24M,2.391B,,AOR,Restated
2017-03,,1.018B,,1.018B,1.357B,1.357B,178.02M,1.070B,1.248B,0.00,254.32M,3.877B,0.00,116.08M,721.47M,2.206B,,70.90M,3.114B,-2.051B,1.063B,1.130B,252.93M,1.383B,224.21M,442.22M,3.112B,6.989B,,1.222B,158.59M,1.380B,519.77M,1.900B,,,,742.70M,,742.70M,,2.939B,1.212B,,1.212B,,,252.03M,,521.01M,1.985B,4.924B,,116.78M,4.209B,,4.259B,,,-549.41M,2.065B,,AOR,Restated
2016-12,,889.79M,,889.79M,1.231B,1.231B,169.70M,898.63M,1.068B,57.16M,381.03M,3.627B,0.00,115.56M,714.82M,2.153B,,117.13M,3.101B,-2.005B,1.096B,1.127B,255.01M,1.382B,225.53M,421.90M,3.125B,6.753B,,1.035B,76.76M,1.111B,578.55M,1.690B,,,,741.21M,,741.21M,,2.829B,1.211B,,1.211B,73.83M,73.83M,250.40M,,509.34M,2.045B,4.874B,,116.56M,4.049B,,4.236B,,,-540.35M,1.878B,,AOR,Restated
2016-09,,702.57M,,702.57M,1.458B,1.458B,165.45M,947.06M,1.113B,148.55M,286.53M,3.708B,0.00,118.17M,709.64M,2.118B,,111.25M,3.057B,-1.973B,1.084B,1.145B,255.16M,1.400B,246.05M,479.67M,3.210B,6.918B,,1.224B,145.17M,1.370B,714.39M,2.084B,,,,52.00M,,52.00M,,2.516B,1.910B,,1.910B,,,253.46M,,641.01M,2.804B,5.320B,,116.46M,3.925B,,4.236B,,,-658.22M,1.598B,,AOR,Restated
2016-06,,402.66M,,402.66M,1.473B,1.473B,176.87M,975.37M,1.152B,155.41M,300.57M,3.484B,0.00,119.61M,708.57M,2.110B,,100.51M,3.038B,-1.966B,1.072B,1.145B,247.07M,1.392B,246.09M,471.62M,3.182B,6.666B,,1.289B,230.29M,1.520B,733.02M,2.253B,,,,61.38M,,61.38M,,2.625B,1.909B,,1.909B,,,251.81M,,632.81M,2.794B,5.419B,,116.26M,3.616B,,4.236B,,,-662.09M,1.247B,,AOR,Restated
2016-03,,70.55M,,70.55M,1.291B,1.291B,175.32M,972.04M,1.147B,97.56M,282.40M,2.889B,0.00,120.57M,704.59M,2.072B,,89.84M,2.987B,-1.930B,1.057B,1.147B,250.57M,1.398B,246.04M,449.00M,3.150B,6.038B,,1.153B,115.40M,1.268B,578.52M,1.847B,,,,130.85M,,130.85M,,2.263B,1.909B,,1.909B,,,250.17M,,615.98M,2.775B,5.037B,,116.04M,3.298B,,4.236B,,,-568.08M,1.001B,,AOR,Restated
2015-12,,205.74M,,205.74M,1.114B,1.114B,177.93M,840.60M,1.019B,87.88M,230.75M,2.657B,0.00,119.53M,696.20M,2.027B,,81.08M,2.923B,-1.882B,1.042B,1.143B,255.37M,1.399B,244.88M,436.31M,3.122B,5.779B,,1.158B,81.15M,1.239B,522.28M,1.761B,,,,42.62M,,42.62M,,2.142B,1.907B,,1.907B,138.71M,138.71M,248.52M,,474.66M,2.769B,4.911B,,115.76M,3.229B,,4.220B,,,-587.10M,867.91M,,AOR,Restated
2015-09,,91.03M,,91.03M,1.414B,1.414B,181.82M,871.01M,1.053B,107.06M,259.37M,2.924B,0.00,120.14M,694.12M,1.966B,,82.67M,2.863B,-1.848B,1.015B,1.147B,265.11M,1.412B,252.19M,498.59M,3.178B,6.102B,,1.216B,187.90M,1.404B,519.82M,1.924B,,,,39.99M,,39.99M,,2.294B,1.920B,,1.920B,,,280.53M,,630.98M,2.832B,5.126B,,115.61M,3.093B,,3.950B,,,-569.42M,976.16M,,AOR,Restated
2015-06,,75.07M,,75.07M,1.454B,1.454B,186.06M,945.92M,1.132B,107.90M,236.14M,3.005B,0.00,122.50M,696.43M,1.981B,,69.27M,2.869B,-1.864B,1.005B,1.152B,273.88M,1.426B,251.68M,446.93M,3.130B,6.135B,,1.254B,193.83M,1.448B,479.70M,1.927B,,,,1.162B,,1.162B,,3.357B,1.123B,,1.123B,,,279.65M,,617.68M,2.020B,5.377B,,115.39M,2.781B,,3.863B,,,-516.66M,757.34M,,AOR,Restated
2015-03,,64.01M,,64.01M,1.235B,1.235B,179.92M,981.33M,1.161B,107.87M,198.05M,2.766B,0.00,121.63M,691.54M,1.946B,,63.42M,2.823B,-1.824B,998.43M,1.149B,277.92M,1.427B,250.46M,417.52M,3.093B,5.859B,,1.175B,77.60M,1.252B,468.38M,1.721B,,,,1.409B,,1.409B,,3.379B,1.123B,,1.123B,,,278.77M,,609.52M,2.011B,5.390B,,115.12M,2.493B,,3.798B,,,-528.30M,469.17M,,AOR,Restated
2014-12,,40.73M,,40.73M,1.131B,1.131B,191.74M,841.78M,1.034B,109.09M,251.66M,2.566B,0.00,125.69M,698.20M,1.952B,,59.33M,2.835B,-1.814B,1.021B,1.158B,289.13M,1.447B,250.14M,415.12M,3.134B,5.699B,,1.042B,86.74M,1.129B,508.58M,1.638B,,,,682.70M,,682.70M,,2.681B,1.116B,,1.116B,,,277.89M,,628.31M,2.022B,4.703B,,114.52M,2.425B,,3.150B,,,-471.96M,996.47M,,AOR,Restated
2014-09,,261.35M,,261.35M,1.409B,1.409B,179.73M,866.91M,1.047B,101.82M,260.96M,3.080B,0.00,129.31M,703.35M,1.916B,,48.36M,2.797B,-1.784B,1.013B,1.167B,295.25M,1.462B,304.21M,457.48M,3.237B,6.317B,,1.266B,192.46M,1.459B,507.04M,1.966B,,,,557.90M,,557.90M,,2.868B,1.123B,,1.123B,,,273.71M,,700.28M,2.097B,4.965B,,114.21M,2.345B,,2.755B,,,-371.79M,1.352B,,AOR,Restated
2014-06,,267.20M,,267.20M,1.403B,1.403B,198.69M,892.49M,1.091B,102.73M,244.20M,3.108B,0.00,131.23M,711.08M,1.916B,,40.31M,2.799B,-1.792B,1.006B,1.175B,306.98M,1.482B,304.58M,440.36M,3.233B,6.341B,,1.245B,190.37M,1.435B,458.83M,1.894B,,,,566.86M,,566.86M,,2.725B,1.122B,,1.122B,,,272.10M,,696.24M,2.091B,4.816B,,119.72M,2.072B,,2.326B,5.722M,,-315.52M,1.525B,,AOR,Restated
2014-03,,366.46M,,366.46M,1.174B,1.174B,198.08M,898.70M,1.097B,102.47M,227.64M,2.967B,0.00,129.46M,705.03M,1.871B,,48.95M,2.755B,-1.750B,1.004B,1.175B,312.30M,1.487B,303.07M,427.23M,3.222B,6.189B,,1.130B,76.54M,1.207B,423.17M,1.630B,,,,589.60M,,589.60M,,2.453B,1.122B,,1.122B,,,270.48M,,690.66M,2.084B,4.536B,,135.43M,1.834B,,1.917B,21.59M,,-329.25M,1.653B,,AOR,Restated
2013-12,,744.89M,,744.89M,1.098B,1.098B,191.76M,779.06M,970.82M,104.50M,240.77M,3.159B,0.00,125.13M,715.10M,1.839B,,62.56M,2.741B,-1.720B,1.021B,1.179B,313.30M,1.492B,302.45M,407.98M,3.224B,6.383B,,998.48M,79.50M,1.078B,513.43M,1.591B,,,,599.50M,,599.50M,,2.529B,1.122B,,1.122B,,,268.87M,,688.17M,2.079B,4.608B,,153.31M,1.774B,,1.639B,40.41M,,-321.04M,1.775B,,AOR,Restated
2013-09,,1.036B,,1.036B,1.349B,1.349B,199.06M,818.56M,1.018B,128.31M,240.47M,3.771B,0.00,101.73M,698.68M,1.873B,,44.30M,2.717B,-1.706B,1.011B,1.176B,307.04M,1.483B,252.23M,405.05M,3.151B,6.922B,,1.121B,187.66M,1.309B,494.42M,1.803B,,,,297.66M,,297.66M,,2.406B,1.632B,,1.632B,,,320.22M,,693.46M,2.646B,5.052B,,167.55M,1.709B,,1.361B,54.95M,,-389.07M,1.870B,,AOR,Restated
2013-06,,741.08M,,741.08M,1.300B,1.300B,175.26M,809.59M,984.84M,129.73M,187.10M,3.342B,0.00,99.58M,718.02M,1.813B,,39.09M,2.669B,-1.717B,952.19M,1.172B,311.95M,1.483B,250.99M,379.44M,3.066B,6.409B,,1.117B,170.45M,1.288B,407.67M,1.696B,,,,53.30M,,53.30M,,1.968B,1.632B,,1.632B,,,320.22M,,621.30M,2.573B,4.541B,,180.50M,1.497B,,1.102B,68.05M,,-412.99M,1.868B,,AOR,Restated
2013-03,,613.93M,,613.93M,1.131B,1.131B,191.71M,821.96M,1.014B,132.21M,196.00M,3.087B,0.00,102.02M,680.90M,1.780B,,44.86M,2.608B,-1.653B,954.92M,1.156B,339.17M,1.496B,250.39M,378.56M,3.079B,6.166B,,1.023B,77.97M,1.101B,404.66M,1.506B,,,,71.69M,,71.69M,,1.783B,1.632B,,1.632B,,,320.22M,,618.24M,2.571B,4.353B,,195.10M,1.291B,,950.50M,82.96M,,-368.99M,1.813B,,AOR,Restated
2012-12,,862.59M,,862.59M,1.033B,1.033B,187.96M,732.36M,920.32M,126.73M,207.09M,3.149B,0.00,102.34M,677.94M,1.751B,,56.58M,2.588B,-1.622B,965.90M,1.156B,347.55M,1.504B,249.91M,366.13M,3.085B,6.235B,,923.00M,52.10M,975.10M,513.72M,1.489B,,,,72.72M,,72.72M,,1.876B,1.632B,,1.632B,,,320.22M,,614.11M,2.566B,4.443B,,212.71M,1.226B,,849.68M,101.09M,,-370.39M,1.792B,,AOR,Restated
2012-09,,55.18M,,55.18M,1.263B,1.263B,176.12M,787.57M,963.70M,149.09M,178.35M,2.609B,0.00,103.03M,670.47M,1.727B,,50.90M,2.551B,-1.607B,943.60M,1.123B,316.93M,1.440B,,397.41M,3.016B,5.625B,,1.035B,157.56M,1.192B,465.31M,1.658B,,,,334.08M,,334.08M,,2.292B,635.35M,,635.35M,,,299.44M,,619.04M,1.554B,3.846B,,225.98M,1.199B,1.552B,724.67M,115.32M,,-357.35M,1.779B,,AOR,Restated
2012-06,,46.62M,,46.62M,1.238B,1.238B,179.65M,851.83M,1.031B,148.68M,159.39M,2.624B,0.00,101.34M,665.16M,1.703B,,47.59M,2.517B,-1.579B,938.40M,1.122B,314.91M,1.437B,,394.20M,3.002B,5.626B,,1.102B,126.56M,1.229B,462.04M,1.691B,,,,609.23M,,609.23M,,2.532B,635.59M,,635.59M,,,298.80M,,620.93M,1.555B,4.087B,,238.07M,1.004B,1.429B,654.04M,128.39M,,-349.29M,1.539B,,AOR,Restated
2012-03,,25.49M,,25.49M,1.135B,1.135B,183.64M,833.56M,1.017B,148.79M,150.48M,2.477B,0.00,105.84M,672.42M,1.694B,,36.82M,2.509B,-1.559B,950.78M,1.113B,303.56M,1.417B,230.77M,381.60M,2.980B,5.457B,,999.68M,66.69M,1.066B,446.31M,1.513B,,,,683.93M,,683.93M,,2.395B,637.88M,,637.88M,,,298.17M,,617.06M,1.553B,3.948B,,252.21M,816.05M,1.392B,471.76M,143.39M,,-336.32M,1.509B,,AOR,Restated
2011-12,,32.70M,,32.70M,989.87M,989.87M,196.08M,730.73M,926.81M,149.21M,163.01M,2.262B,0.00,105.01M,668.80M,1.658B,,41.26M,2.473B,-1.516B,956.53M,1.108B,305.87M,1.414B,228.35M,368.90M,2.968B,5.229B,,965.15M,120.56M,1.086B,471.76M,1.557B,,,,354.14M,,354.14M,,2.163B,639.23M,,639.23M,,,297.53M,,612.91M,1.550B,3.712B,,267.73M,756.37M,,276.65M,160.27M,,-367.88M,1.517B,,AOR,Restated
2011-09,,46.03M,,46.03M,1.174B,1.174B,223.56M,743.19M,966.76M,127.09M,195.94M,2.509B,0.00,106.32M,671.19M,1.644B,,46.02M,2.467B,-1.528B,939.49M,1.107B,316.48M,1.423B,,353.84M,2.981B,5.490B,,996.73M,142.72M,1.139B,452.82M,1.592B,,,,527.58M,,527.58M,,2.355B,641.26M,,641.26M,,,297.20M,14.62M,547.03M,1.485B,3.840B,,282.64M,779.51M,1.305B,237.75M,175.74M,,-317.86M,1.635B,,AOR,Restated
2011-06,,71.56M,,71.56M,1.184B,1.184B,213.30M,853.72M,1.067B,128.49M,187.29M,2.638B,0.00,107.11M,684.88M,1.658B,,39.73M,2.490B,-1.532B,958.31M,1.114B,319.75M,1.433B,,350.69M,2.996B,5.634B,,1.019B,120.87M,1.140B,441.49M,1.582B,,,,580.64M,,580.64M,,2.390B,644.26M,,644.26M,,,296.78M,,556.11M,1.497B,3.887B,,301.05M,637.43M,1.289B,41.70M,194.28M,,-245.16M,1.747B,,AOR,Restated
2011-03,,53.95M,,53.95M,1.012B,1.012B,201.57M,862.53M,1.064B,128.04M,208.16M,2.466B,0.00,106.35M,674.40M,1.629B,,32.75M,2.443B,-1.497B,946.42M,1.112B,322.12M,1.434B,,345.48M,2.977B,5.444B,,954.22M,75.36M,1.030B,434.56M,1.464B,,,688.41M,688.41M,,688.41M,,2.327B,650.88M,,650.88M,,,296.34M,,561.38M,1.509B,3.836B,,310.44M,497.38M,1.262B,0.00,203.98M,,-257.55M,1.608B,,AOR,Restated
2010-12,,58.58M,,58.58M,916.66M,916.66M,173.75M,743.95M,917.70M,127.35M,193.43M,2.214B,0.00,106.10M,668.51M,1.618B,,34.04M,2.426B,-1.474B,952.12M,1.102B,320.50M,1.423B,248.33M,332.10M,2.956B,5.169B,,909.65M,62.55M,972.20M,442.03M,1.414B,,,,396.47M,,396.47M,,2.064B,648.33M,,648.33M,,,295.90M,,551.63M,1.496B,3.560B,,448.10M,4.824B,,4.391B,216.75M,,-278.32M,1.609B,,AOR,Restated
2010-06,,48.40M,,48.40M,986.33M,986.33M,127.69M,666.14M,793.83M,120.95M,190.42M,2.140B,0.00,104.85M,605.46M,1.572B,,23.23M,2.305B,-1.478B,827.51M,1.012B,276.43M,1.288B,,235.51M,2.600B,4.740B,,881.14M,134.85M,1.016B,205.12M,1.221B,,,,208.76M,,208.76M,403.67M,1.834B,699.82M,,699.82M,,,284.66M,,391.04M,1.376B,3.209B,,447.21M,4.654B,1.161B,4.190B,216.75M,,-323.98M,1.531B,,AOR,Restated
2010-03,,91.17M,,91.17M,797.82M,797.82M,114.07M,673.24M,787.32M,121.14M,152.95M,1.950B,0.00,84.41M,594.86M,1.514B,,24.95M,2.218B,-1.411B,807.72M,1.015B,273.38M,1.288B,,215.59M,2.559B,4.509B,,705.31M,62.41M,767.72M,391.47M,1.159B,,,,257.65M,,257.65M,140.90M,1.558B,783.08M,,783.08M,,,284.23M,,388.95M,1.456B,3.014B,,446.21M,4.512B,1.102B,4.041B,216.75M,,-306.98M,1.495B,,AOR,Restated
2009-12,,69.33M,,69.33M,696.06M,696.06M,107.80M,630.68M,738.49M,121.28M,144.87M,1.770B,0.00,85.17M,600.69M,1.512B,,23.09M,2.221B,-1.402B,818.68M,1.015B,279.41M,1.294B,,195.61M,2.554B,4.324B,,674.77M,76.50M,751.26M,607.46M,1.359B,,,,34.94M,,34.94M,,1.394B,782.67M,,782.67M,,,283.78M,,372.78M,1.439B,2.833B,,445.40M,4.518B,1.069B,4.008B,216.75M,,-317.46M,1.491B,,AOR,Restated
2009-09,,32.77M,,32.77M,901.20M,901.20M,84.97M,641.53M,726.49M,99.39M,162.86M,1.923B,0.00,84.80M,596.63M,1.526B,,22.12M,2.230B,-1.397B,832.61M,1.011B,298.43M,1.309B,0.00,169.15M,2.527B,4.449B,,728.42M,140.05M,868.47M,415.25M,1.284B,,,,421.56M,,421.56M,180.83M,1.886B,289.42M,,289.42M,,,250.80M,,320.27M,860.48M,2.747B,,445.17M,4.492B,,3.753B,216.75M,,-334.15M,1.703B,,AOR,Restated
2009-06,,49.26M,,49.26M,908.66M,908.66M,88.57M,681.42M,769.99M,98.85M,151.01M,1.978B,0.00,86.71M,593.02M,1.522B,,17.60M,2.219B,-1.377B,842.30M,1.011B,300.42M,1.312B,0.00,154.68M,2.524B,4.502B,,704.75M,117.48M,822.23M,398.94M,1.221B,,,,509.72M,,509.72M,172.84M,1.904B,291.02M,,291.02M,,,250.09M,,323.27M,864.38M,2.768B,,444.72M,4.358B,,3.526B,216.75M,,-368.07M,1.734B,,AOR,Restated
2009-03,,42.24M,,42.24M,785.64M,785.64M,104.65M,734.17M,838.82M,97.68M,143.31M,1.908B,0.00,85.38M,585.18M,1.522B,,21.74M,2.214B,-1.365B,848.47M,1.009B,299.63M,1.309B,0.00,132.68M,2.505B,4.412B,,629.96M,51.44M,681.40M,373.48M,1.055B,,,,780.12M,,780.12M,127.15M,1.962B,297.75M,,297.75M,,,249.38M,,321.11M,868.24M,2.830B,,444.55M,4.242B,,3.499B,216.75M,,-414.81M,1.582B,,AOR,Restated
2008-12,,26.21M,,26.21M,769.98M,769.98M,114.80M,749.40M,864.20M,97.57M,151.24M,1.909B,0.00,85.48M,580.22M,1.564B,,26.56M,2.256B,-1.396B,860.12M,1.007B,299.96M,1.307B,,124.12M,2.507B,4.416B,,738.09M,58.51M,796.60M,415.34M,1.212B,,,,530.01M,,530.01M,194.79M,1.937B,303.73M,,303.73M,,,248.60M,,321.04M,873.38M,2.810B,,443.90M,4.245B,1.016B,3.472B,216.75M,,-410.62M,1.606B,,AOR,Restated
2008-09,,40.93M,,40.93M,1.073B,1.073B,118.14M,745.32M,863.46M,103.72M,195.82M,2.277B,0.00,86.53M,580.96M,1.566B,,44.01M,2.278B,-1.393B,884.92M,1.003B,337.35M,1.340B,412.54M,154.66M,2.792B,5.069B,,882.31M,,882.31M,615.36M,1.498B,,,,729.41M,,729.41M,183.78M,2.411B,297.39M,,297.39M,,,,,622.62M,920.01M,3.331B,,443.51M,4.236B,956.53M,3.459B,216.75M,,-438.23M,1.738B,,,
