,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2017-06,3.736B,3.736B,2.001B,1.735B,1.154B,28.92M,-0.665M,56.73M,3.091M,-56.15M,1.11M,1.184B,550.81M,3.091M,56.73M,-56.15M,14.34M,-56.15M,509.00M,148.35M,360.65M,-41.54M,,,319.11M,360.97M,645.02M,79.29M,565.73M,,3.89,-0.45,,3.893,3.44,,3.80,-0.45,,3.803,3.36,,92.84M,94.97M,0.85,,AOR,Restated
2017-03,2.761B,2.761B,1.418B,1.343B,1.011B,6.17M,0.243M,25.70M,1.28M,-26.89M,0.519M,1.018B,325.34M,1.28M,25.70M,-26.89M,8.149M,-26.89M,306.60M,67.45M,239.15M,,,,239.15M,234.73M,383.06M,50.76M,332.30M,,2.58,,,2.532,2.58,,2.53,,,2.483,2.53,,92.55M,94.54M,0.85,,AOR,Restated
2016-12,2.783B,2.783B,1.396B,1.387B,1.045B,5.855M,19.76M,43.38M,1.874M,-43.64M,21.71M,1.073B,314.51M,1.874M,43.38M,-43.64M,33.16M,-43.64M,304.03M,101.00M,203.03M,0.00,,,203.03M,189.16M,397.03M,49.62M,347.41M,,2.20,0.00,,2.049,2.20,,2.15,0.00,,2.004,2.15,,92.10M,94.69M,0.84,,AOR,Restated
2016-09,3.279B,3.279B,1.643B,1.636B,1.050B,8.183M,-0.13M,44.10M,1.647M,-44.61M,0.683M,1.059B,577.48M,1.647M,44.10M,-44.61M,2.756M,-44.61M,535.62M,148.89M,386.73M,0.00,,,386.73M,388.58M,629.49M,49.77M,579.72M,,4.20,0.00,,4.220,4.20,,4.08,0.00,,4.100,4.08,,91.99M,94.77M,0.84,,AOR,Restated
2016-06,3.220B,3.220B,1.584B,1.636B,1.048B,5.584M,-0.226M,40.88M,0.952M,-42.03M,2.507M,1.057B,579.31M,0.952M,40.88M,-42.03M,1.934M,-42.03M,539.21M,161.15M,378.06M,0.00,,,378.06M,378.80M,629.50M,49.41M,580.09M,,4.12,0.00,,4.128,4.12,,3.99,0.00,,3.998,3.99,,91.79M,94.67M,0.84,,AOR,Restated
2016-03,2.574B,2.574B,1.312B,1.262B,1.002B,,0.475M,25.73M,0.487M,-27.51M,18.03M,1.020B,241.36M,0.487M,25.73M,-27.51M,2.512M,-27.51M,216.36M,51.49M,164.88M,,,,164.88M,164.91M,290.77M,48.68M,242.10M,,1.80,,,1.800,1.80,,1.75,,,1.750,1.75,,91.48M,94.11M,0.84,,AOR,Restated
2015-12,2.605B,2.605B,1.282B,1.323B,963.62M,,-0.47M,19.56M,0.456M,-21.81M,12.38M,1.004B,318.38M,0.456M,19.56M,-21.81M,0.645M,-21.81M,297.22M,99.20M,198.02M,,,,198.02M,199.20M,368.40M,51.62M,316.78M,,2.15,,,2.163,2.15,,2.12,,,2.133,2.12,,91.59M,93.85M,0.67,,AOR,Restated
2015-09,3.152B,3.152B,1.578B,1.575B,993.62M,,-1.989M,17.03M,,-20.25M,7.128M,1.001B,573.80M,,17.03M,-20.25M,-2.827M,-20.25M,550.72M,176.23M,374.49M,,,,374.49M,378.42M,616.39M,48.64M,567.75M,,4.06,,,4.103,4.06,,3.97,,,4.012,3.97,,92.20M,94.43M,0.67,,AOR,Restated
2015-06,3.132B,3.132B,1.602B,1.530B,999.22M,,0.539M,12.88M,0.553M,-14.53M,10.51M,1.010B,520.25M,0.553M,12.88M,-14.53M,2.059M,-14.53M,507.78M,157.84M,349.94M,,,,349.94M,350.04M,569.56M,48.90M,520.67M,,3.79,,,3.791,3.79,,3.70,,,3.701,3.70,,92.26M,94.59M,0.67,,AOR,Restated
2015-03,2.450B,2.450B,1.318B,1.132B,929.20M,,2.723M,12.35M,0.422M,-14.90M,1.05M,930.25M,202.20M,0.422M,12.35M,-14.90M,5.935M,-14.90M,193.24M,61.84M,131.40M,,,,131.40M,129.59M,255.00M,49.40M,205.59M,,1.42,,,1.400,1.42,,1.38,,,1.361,1.38,,92.74M,95.28M,0.67,,AOR,Restated
2014-12,2.569B,2.569B,1.351B,1.218B,985.33M,,-0.399M,15.41M,0.885M,-17.72M,25.01M,1.010B,207.63M,0.885M,15.41M,-17.72M,-1.044M,-17.72M,188.87M,56.13M,132.74M,,,,132.74M,134.24M,254.86M,50.57M,204.28M,,1.40,,,1.416,1.40,,1.37,,,1.385,1.37,,94.53M,98.95M,0.55,,AOR,Restated
2014-09,3.151B,3.151B,1.680B,1.471B,984.37M,,-0.664M,16.02M,0.764M,-17.97M,11.21M,995.58M,475.38M,0.764M,16.02M,-17.97M,16.64M,-17.97M,474.05M,147.81M,326.24M,,,,326.24M,325.48M,539.79M,49.71M,490.07M,,3.42,,,3.412,3.42,,3.35,,,3.342,3.35,,94.80M,96.71M,0.55,,AOR,Restated
2014-06,3.043B,3.043B,1.633B,1.410B,969.18M,,-0.511M,16.37M,0.757M,-18.16M,0.259M,969.44M,440.21M,0.757M,16.37M,-18.16M,7.183M,-18.16M,429.23M,137.78M,291.45M,,,,291.45M,289.74M,495.30M,49.70M,445.60M,,3.00,,,2.982,3.00,,2.94,,,2.923,2.94,,96.60M,98.54M,0.55,,AOR,Restated
2014-03,2.367B,2.367B,1.301B,1.066B,884.09M,,0.138M,16.39M,0.589M,-18.73M,-0.434M,883.65M,182.25M,0.589M,16.39M,-18.73M,2.557M,-18.73M,166.08M,50.62M,115.46M,,,,115.46M,116.62M,231.43M,48.96M,182.47M,,1.16,,,1.172,1.16,,1.14,,,1.152,1.14,,98.83M,100.86M,0.55,,AOR,Restated
2013-12,2.457B,2.457B,1.333B,1.124B,962.19M,,-2.357M,16.94M,0.879M,-18.64M,-5.104M,957.08M,167.09M,0.879M,16.94M,-18.64M,0.773M,-18.64M,149.23M,33.10M,116.12M,,,,116.12M,116.39M,214.80M,48.63M,166.17M,,1.16,,,1.163,1.16,,1.14,,,1.143,1.14,,99.50M,101.54M,0.50,,AOR,Restated
2013-09,2.847B,2.847B,1.551B,1.296B,889.69M,,-0.25M,15.39M,0.916M,-16.99M,0.584M,890.27M,405.68M,0.916M,15.39M,-16.99M,-1.236M,-16.99M,387.46M,124.50M,262.97M,,,,262.97M,264.13M,449.59M,46.74M,402.86M,,2.60,,,2.612,2.60,,2.55,,,2.561,2.55,,100.46M,102.62M,0.50,,AOR,Restated
2013-06,2.714B,2.714B,1.480B,1.234B,837.12M,,0.961M,15.07M,0.698M,-17.22M,1.446M,838.57M,395.01M,0.698M,15.07M,-17.22M,3.091M,-17.22M,380.88M,123.60M,257.29M,,,,257.29M,258.25M,441.82M,45.87M,395.95M,,2.51,,,2.519,2.51,,2.46,,,2.469,2.46,,101.67M,103.90M,0.50,,AOR,Restated
2013-03,2.167B,2.167B,1.204B,962.85M,778.68M,,-3.624M,15.31M,0.749M,-16.46M,0.323M,779.00M,183.85M,0.749M,15.31M,-16.46M,0.995M,-16.46M,168.38M,52.20M,116.18M,,,,116.18M,118.63M,230.25M,46.56M,183.70M,,1.13,,,1.154,1.13,,1.11,,,1.133,1.11,,101.96M,104.26M,0.50,,AOR,Restated
2012-12,2.222B,2.222B,1.226B,995.51M,891.98M,,-2.973M,11.86M,0.953M,-13.76M,-2.885M,889.09M,106.42M,0.953M,11.86M,-13.76M,1.538M,-13.76M,94.19M,26.14M,68.05M,,,,68.05M,71.72M,151.82M,45.77M,106.06M,,1.14,,,1.176,1.14,,1.12,,,1.155,1.12,,101.82M,103.82M,0.39,,AOR,Restated
2012-09,2.603B,2.603B,1.453B,1.150B,799.79M,,-0.595M,10.36M,0.793M,-11.91M,0.528M,800.31M,349.97M,0.793M,10.36M,-11.91M,4.942M,-11.91M,343.00M,108.04M,234.95M,,,,234.95M,232.60M,398.32M,44.96M,353.36M,,2.29,,,2.267,2.29,,2.24,,,2.217,2.24,,101.53M,104.02M,0.39,,AOR,Restated
2012-06,2.573B,2.573B,1.422B,1.151B,810.21M,,0.902M,10.23M,0.625M,-10.65M,3.988M,814.20M,336.40M,0.625M,10.23M,-10.65M,2.047M,-10.65M,327.80M,99.99M,227.81M,,,,227.81M,227.55M,382.02M,43.99M,338.03M,,2.23,,,2.227,2.23,,2.17,,,2.167,2.17,,101.45M,104.00M,0.39,,AOR,Restated
2012-03,2.136B,2.136B,1.227B,909.84M,757.68M,,0.068M,10.34M,0.542M,-12.78M,5.105M,762.78M,147.06M,0.542M,10.34M,-12.78M,8.035M,-12.78M,142.32M,42.10M,100.22M,,,,100.22M,95.71M,197.14M,44.48M,152.65M,,0.97,,,0.9259,0.97,,0.95,,,0.9069,0.95,,102.07M,104.46M,0.39,,AOR,Restated
2011-12,2.070B,2.070B,1.184B,886.10M,746.39M,,2.007M,9.623M,1.74M,-15.91M,,755.49M,130.61M,1.74M,9.623M,-15.91M,14.84M,-15.91M,129.54M,114.99M,14.55M,,,,14.55M,13.25M,184.00M,44.83M,139.17M,,0.14,0.00,,0.1272,0.14,,0.14,0.00,,0.1275,0.14,,102.07M,104.20M,0.365,,AOR,Restated
2011-09,2.485B,2.485B,1.447B,1.038B,762.87M,,-5.538M,10.45M,0.84M,-9.612M,,762.87M,275.43M,0.84M,10.45M,-9.612M,-5.538M,-9.612M,260.28M,80.40M,179.88M,,,,179.88M,183.70M,318.86M,48.14M,270.73M,,1.74,0.00,,1.777,1.74,,1.71,0.00,,1.747,1.71,,102.15M,104.12M,0.365,,AOR,Restated
2011-06,2.355B,2.355B,1.332B,1.023B,755.56M,,0.047M,11.75M,0.808M,-10.94M,-0.708M,754.85M,267.91M,0.808M,11.75M,-10.94M,0.047M,-10.94M,257.02M,77.90M,179.12M,,,,179.12M,179.08M,312.97M,44.21M,268.76M,,1.69,0.00,,1.690,1.69,,1.66,0.00,,1.660,1.66,,104.68M,106.88M,0.365,,AOR,Restated
2011-03,1.856B,1.856B,1.058B,797.41M,696.70M,,5.675M,10.68M,0.323M,-10.35M,,696.70M,100.70M,0.323M,10.68M,-10.35M,4.361M,-10.35M,94.71M,26.40M,68.32M,,,,68.32M,65.17M,149.11M,43.73M,105.39M,,0.64,0.00,,0.6100,0.64,,0.63,0.00,,0.6007,0.63,,104.99M,107.36M,0.365,,AOR,Restated
2010-12,1.896B,1.896B,1.050B,845.63M,720.36M,,5.308M,21.38M,0.802M,-29.83M,,727.45M,118.18M,0.802M,21.38M,-29.83M,15.34M,-29.83M,103.70M,30.78M,72.92M,,,,72.92M,69.19M,177.94M,52.86M,125.07M,,0.69,,,0.6548,0.69,,0.68,,,0.6454,0.68,,105.99M,107.85M,0.36,,AOR,Restated
2010-09,2.172B,2.172B,1.201B,971.58M,703.67M,,-2.232M,11.31M,1.008M,-10.30M,,703.67M,267.91M,1.008M,11.31M,-10.30M,-2.232M,-10.30M,255.38M,80.12M,175.26M,,,,175.26M,176.79M,309.72M,43.04M,266.69M,,1.63,0.00,,1.644,1.63,,1.60,0.00,,1.614,1.60,,106.45M,108.40M,0.36,,AOR,
2010-06,2.143B,2.143B,1.171B,971.89M,691.22M,,6.874M,26.34M,0.48M,-25.86M,2.444M,693.66M,278.23M,0.48M,26.34M,-25.86M,6.874M,-25.86M,259.25M,77.54M,181.71M,,,,181.71M,176.89M,325.15M,39.56M,285.59M,,1.67,0.00,,1.625,1.67,,1.64,0.00,,1.596,1.64,,107.69M,109.83M,0.36,,AOR,Restated
2010-03,1.565B,1.565B,873.51M,691.97M,612.88M,,-8.704M,11.57M,0.639M,-10.93M,,612.88M,79.09M,0.639M,11.57M,-10.93M,-8.704M,-10.93M,59.46M,26.86M,32.60M,,,,32.60M,38.26M,110.88M,39.85M,71.03M,,0.30,0.00,,0.3524,0.30,,0.30,0.00,,0.3517,0.30,,107.96M,109.49M,0.36,,AOR,Restated
2009-12,1.599B,1.599B,840.60M,758.24M,618.68M,,-36.69M,8.997M,0.58M,-8.417M,13.30M,631.98M,126.26M,0.58M,8.997M,-8.417M,-36.69M,-8.417M,81.15M,15.82M,65.34M,,,,65.34M,94.88M,132.62M,42.47M,90.15M,,0.61,0.00,,0.8799,0.61,,0.61,0.00,,0.8771,0.61,,109.47M,110.62M,0.355,,AOR,Restated
2009-09,1.997B,1.997B,1.068B,928.98M,654.25M,,-1.267M,8.471M,0.518M,-7.953M,6.869M,661.12M,267.87M,0.518M,8.471M,-7.953M,-1.267M,-7.953M,258.65M,83.44M,175.21M,,,,175.21M,176.07M,310.15M,43.03M,267.12M,,1.53,0.00,,1.538,1.53,,1.51,0.00,,1.517,1.51,,113.45M,114.70M,0.355,,AOR,Restated
2009-06,1.948B,1.948B,1.052B,895.34M,656.05M,,2.53M,10.36M,0.659M,-9.697M,,656.05M,239.29M,0.659M,10.36M,-9.697M,2.53M,-9.697M,232.12M,74.10M,158.02M,,,,158.02M,156.30M,285.76M,43.28M,242.48M,,1.36,0.00,,1.345,1.36,,1.35,0.00,,1.335,1.35,,115.20M,116.30M,0.355,,AOR,Restated
2009-03,1.551B,1.551B,870.07M,680.61M,619.25M,,1.106M,12.20M,0.636M,-11.57M,,619.25M,61.35M,0.636M,12.20M,-11.57M,1.106M,-11.57M,50.89M,13.61M,37.28M,,,,37.28M,36.47M,105.21M,42.11M,63.10M,,0.32,0.00,,0.3130,0.32,,0.32,0.00,,0.3131,0.32,,115.95M,118.03M,0.355,,AOR,Restated
2008-12,1.700B,1.700B,914.94M,784.90M,652.86M,,-39.84M,,,,,652.86M,132.04M,,,,-39.84M,,79.13M,28.97M,50.17M,,,,50.17M,75.42M,117.60M,41.29M,76.30M,,0.44,0.00,,0.6581,0.44,,0.43,0.00,,0.6433,0.43,,115.79M,118.39M,0.35,,AOR,Restated
2008-09,2.269B,2.269B,1.308B,960.49M,681.35M,,1.276M,,,,,681.35M,279.14M,,,,1.276M,,266.14M,89.06M,177.08M,,,,177.08M,176.23M,321.53M,42.40M,279.14M,,1.53,0.00,,1.523,1.53,,1.50,0.00,,1.493,1.50,,115.83M,118.18M,0.35,,,
2008-06,2.230B,2.230B,1.257B,972.90M,676.98M,,-22.49M,,,,,676.98M,295.92M,,,,-22.49M,,256.17M,84.49M,171.68M,,,,171.68M,186.76M,336.61M,40.69M,295.92M,,1.48,0.00,,1.610,1.48,,1.45,0.00,,1.577,1.45,,116.22M,118.68M,0.35,,,
2008-03,1.782B,1.782B,1.001B,780.51M,651.71M,,1.385M,,,,,651.71M,128.80M,,,,1.385M,,113.03M,35.08M,77.95M,,,,77.95M,76.99M,169.93M,41.13M,128.80M,,0.65,0.00,,0.6420,0.65,,0.64,0.00,,0.6322,0.64,,119.50M,122.10M,0.35,,,
2007-12,1.854B,1.854B,1.021B,832.60M,659.58M,,-3.354M,,,,,659.58M,173.02M,,,,-3.354M,,151.96M,51.14M,100.82M,,,,100.82M,103.05M,218.52M,45.20M,173.32M,,0.85,0.00,,0.8682,0.85,,0.82,0.00,,0.8377,0.82,,122.23M,125.89M,0.315,,,Restated
2007-09,2.197B,2.197B,1.209B,988.39M,670.43M,,-8.398M,,,,,670.43M,317.96M,,,,-8.398M,,294.32M,93.97M,200.35M,,,,200.35M,206.07M,359.37M,41.42M,317.96M,,1.59,0.00,,1.635,1.59,,1.55,0.00,,1.594,1.55,,125.96M,129.59M,0.315,,,
2007-06,2.198B,2.198B,1.212B,986.57M,666.90M,,-3.423M,,,,,666.90M,319.67M,,,,-3.423M,,303.14M,100.54M,202.61M,,,,202.61M,204.89M,358.84M,39.17M,319.67M,,1.56,0.00,,1.578,1.56,,1.52,0.00,,1.537,1.52,,129.65M,133.29M,0.315,,,
2007-03,1.756B,1.756B,964.81M,791.37M,617.74M,,1.373M,,,,,617.74M,173.63M,,,,1.373M,,163.52M,51.72M,111.80M,,,,111.80M,110.86M,211.32M,37.69M,173.63M,,0.85,0.00,,0.8428,0.85,,0.83,0.00,,0.8230,0.83,,131.05M,134.99M,0.315,,,
2006-12,1.795B,1.795B,1.024B,770.86M,624.86M,,-9.671M,,,,,624.86M,146.00M,,,,-9.671M,,126.58M,27.90M,98.68M,,,,98.68M,106.22M,184.32M,38.32M,146.00M,,0.75,0.00,,0.8071,0.75,,0.73,0.00,,0.7855,0.73,,132.03M,135.85M,0.25,,,
2006-09,2.117B,2.117B,1.181B,935.78M,648.92M,,0.143M,,,,,648.92M,286.86M,,,,0.143M,,276.69M,97.58M,179.11M,,,,179.11M,179.02M,323.36M,36.50M,286.86M,,1.34,0.00,,1.339,1.34,,1.30,0.00,,1.299,1.30,,133.62M,137.38M,0.25,,,
2006-06,2.130B,2.130B,1.193B,936.59M,641.56M,,-14.92M,,,,,641.56M,295.03M,,,,-14.92M,,269.12M,84.53M,184.59M,,,,184.59M,194.83M,330.81M,35.78M,295.03M,,1.37,0.00,,1.446,1.37,,1.33,0.00,,1.404,1.33,,134.44M,138.44M,0.25,,,
2006-03,1.769B,1.769B,997.12M,771.41M,597.58M,,-0.402M,,,,,597.58M,173.83M,,,,-0.402M,,161.91M,48.24M,113.67M,,,,113.67M,113.95M,209.14M,35.32M,173.83M,,0.84,0.00,,0.8421,0.84,,0.82,0.00,,0.8220,0.82,,134.53M,138.40M,0.25,,,
2005-12,1.710B,1.710B,968.35M,741.68M,589.04M,,-32.16M,,,,,589.04M,152.64M,,,,-32.16M,,110.01M,34.88M,75.14M,,,0.00,75.14M,97.10M,197.92M,45.29M,152.64M,,0.57,0.00,,0.7342,0.57,,0.55,0.00,,0.7086,0.55,,133.72M,138.44M,0.205,,,
2005-09,1.977B,1.977B,1.137B,839.74M,602.52M,,-7.471M,,,,,602.52M,237.23M,,,,-7.471M,,218.99M,66.97M,151.61M,,,-0.416M,151.61M,156.79M,273.12M,35.89M,237.23M,,1.11,0.00,,1.148,1.11,,1.07,0.00,,1.107,1.07,,136.58M,141.69M,0.205,,,
2005-06,1.965B,1.965B,1.127B,838.17M,593.06M,,-12.64M,,,,,593.06M,245.10M,,,,-12.64M,,219.57M,65.65M,153.22M,,,-0.70M,153.22M,162.08M,280.53M,35.43M,245.10M,,1.12,0.00,,1.185,1.12,,1.08,0.00,,1.142,1.08,,136.80M,141.87M,0.205,,,
2005-03,1.539B,1.539B,877.77M,660.77M,541.60M,,-0.669M,,,,,541.60M,119.18M,,,,-0.669M,,107.64M,24.11M,83.29M,,,-0.24M,83.29M,83.81M,154.81M,35.63M,119.18M,,0.60,0.00,,0.6037,0.60,,0.58,0.00,,0.5836,0.58,,138.82M,143.61M,0.205,,,
2004-12,1.499B,1.499B,834.36M,664.82M,542.86M,,-11.22M,,,,,542.86M,121.96M,,,,-11.22M,,101.04M,17.96M,82.48M,,,-0.594M,82.48M,91.71M,170.03M,48.07M,121.96M,,0.59,0.00,,0.6559,0.59,,0.58,0.00,,0.6447,0.58,,140.03M,142.66M,0.17,,,
2004-09,1.677B,1.677B,933.58M,743.54M,527.12M,,-3.116M,,,,,527.12M,216.42M,,,,-3.116M,,204.80M,71.68M,132.86M,,,-0.26M,132.86M,134.89M,248.23M,31.81M,216.42M,,0.95,0.00,,0.9645,0.95,,0.92,0.00,,0.9340,0.92,,139.86M,144.42M,0.17,,,
2004-06,1.618B,1.618B,896.54M,721.42M,514.40M,,-3.706M,,,,,514.40M,207.01M,,,,-3.706M,,195.17M,68.31M,126.44M,,,-0.425M,126.44M,128.85M,235.89M,28.87M,207.01M,,0.89,0.00,,0.9070,0.89,,0.87,0.00,,0.8866,0.87,,142.07M,145.33M,0.17,,,
2004-03,1.320B,1.320B,747.90M,571.63M,484.55M,,0.179M,,,,,484.55M,87.08M,,,,0.179M,,79.18M,27.71M,51.47M,,,,51.47M,51.35M,115.61M,28.53M,87.08M,,0.36,0.00,,0.3592,0.36,,0.35,0.00,,0.3492,0.35,,142.97M,147.05M,0.17,,,
2003-12,1.285B,1.285B,675.41M,609.13M,477.06M,,-14.34M,,,,,477.06M,132.08M,,,,-14.34M,,111.54M,40.71M,70.83M,,,,70.83M,79.94M,162.36M,30.28M,132.08M,,0.49,0.00,,0.5530,0.49,,0.49,0.00,,0.5528,0.49,,144.64M,144.96M,0.155,,,
2003-09,1.503B,1.503B,824.44M,678.65M,480.08M,,-0.88M,,,,,480.08M,198.57M,,,,-0.88M,,189.44M,69.15M,120.30M,,,,120.30M,120.86M,227.92M,29.35M,198.57M,,0.83,0.00,,0.8339,0.83,,0.82,0.00,,0.8238,0.82,,144.94M,146.70M,0.155,,,
