,NetIncome,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2018-03,250.13M,2.341M,2.341M,71.59M,85.05M,156.64M,156.64M,3.451M,14.61M,-8.143M,,,,,,-382.84M,40.75M,,-42.25M,,,,-5.65M,7.352M,-40.55M,,-0.921M,288.87M,287.94M,,-241.15M,-241.15M,-81.03M,-81.03M,21.60M,-14.81M,-27.45M,,204.21M,-27.25M,-18.35M,158.61M,,,,-0.921M,-241.15M,27.91M,57.76M,,AOR,Restated
2017-12,853.09M,10.38M,81.58M,122.79M,88.00M,210.79M,210.79M,-620.70M,31.15M,-107.72M,,,,,,147.31M,625.17M,,-79.39M,,,0.014M,-65.00M,7.672M,-136.71M,,-896.66M,470.24M,-426.41M,,0.00,0.00,-79.98M,-79.98M,49.81M,-19.37M,-475.95M,,207.94M,12.51M,-16.25M,204.20M,,,5.27M,-901.92M,0.00,16.20M,131.82M,,AOR,Restated
2017-09,316.61M,4.692M,4.692M,67.25M,83.71M,150.96M,150.96M,6.968M,23.28M,70.44M,,,,,,75.98M,672.70M,,-59.77M,,,-4.032M,14.94M,2.397M,-46.46M,,-669.09M,114.84M,-554.25M,,0.00,0.00,-80.08M,-80.08M,14.63M,5.986M,-613.71M,,210.05M,12.53M,-14.64M,207.94M,,,285.56M,-954.64M,0.00,282.38M,56.96M,,AOR,Restated
2017-06,360.65M,-3.933M,-3.933M,50.37M,28.92M,79.29M,79.29M,-6.968M,18.54M,76.74M,,,,,,-181.09M,354.32M,,-42.16M,,,-8.806B,11.75M,2.369M,-8.834B,,7.939B,-229.11M,7.710B,,,,-79.48M,-79.48M,37.40M,-3.718M,7.664B,,1.018B,-816.10M,8.338M,210.05M,,,7.984B,-45.55M,,112.44M,0.975M,,AOR,Restated
2017-03,239.15M,7.065M,7.065M,44.60M,6.17M,50.76M,50.76M,,17.32M,-27.46M,,,,,,-58.40M,231.82M,,-41.48M,,,,-23.19M,34.76M,-29.91M,,-0.078M,0.326M,0.248M,,,,-79.45M,-79.45M,41.76M,-22.70M,-60.14M,,889.79M,141.76M,-13.75M,1.018B,,,,-0.078M,,8.675M,30.84M,,AOR,Restated
2016-12,203.03M,-11.03M,23.09M,43.76M,5.855M,49.62M,49.62M,,23.99M,63.22M,,,,,,13.42M,342.04M,,-65.92M,,,,-34.04M,32.89M,-67.08M,,-3.647M,-7.446M,-11.09M,,,,-78.22M,-78.22M,20.49M,-2.829M,-71.65M,,702.57M,203.32M,-16.09M,889.79M,,,0.00,-3.647M,,163.12M,38.48M,,AOR,Restated
2016-09,386.73M,2.602M,2.602M,41.59M,8.183M,49.77M,49.77M,,16.17M,30.52M,,,,,,-30.05M,456.55M,,-59.02M,,,,-32.19M,3.506M,-87.71M,,-0.566M,-8.771M,-9.337M,,,,-78.14M,-78.14M,22.63M,0.001M,-64.85M,,402.66M,304.00M,-4.082M,702.57M,,,0.50M,-1.066M,,241.03M,48.79M,,AOR,Restated
2016-06,378.06M,2.956M,2.956M,43.83M,5.584M,49.41M,49.41M,,16.18M,35.85M,,,,,,86.77M,572.04M,,-62.08M,,,,-26.42M,1.051M,-87.46M,,-19.67M,-70.45M,-90.12M,,,,-77.99M,-77.99M,23.99M,-3.062M,-147.18M,,70.55M,337.41M,-5.302M,402.66M,,,,-19.67M,,50.48M,36.03M,,AOR,Restated
2016-03,164.88M,7.953M,7.953M,42.90M,5.782M,48.68M,48.68M,,15.76M,-20.14M,,,,,,-298.34M,-62.06M,,-52.00M,,,,-10.53M,0.988M,-61.54M,,-41.85M,85.77M,43.92M,,,,-77.73M,-77.73M,19.72M,-9.583M,-23.68M,,205.74M,-147.28M,12.08M,70.55M,,,,-41.85M,,23.16M,30.55M,,AOR,Restated
2015-12,198.02M,-5.408M,58.93M,43.35M,8.268M,51.62M,51.62M,,24.50M,11.21M,,,,,,181.05M,544.96M,,-76.35M,,,,-50.65M,0.141M,-126.86M,,0.054M,4.089M,4.143M,,-269.20M,-269.20M,-62.40M,-62.40M,15.97M,2.533M,-308.96M,,91.03M,109.14M,5.575M,205.74M,,,0.054M,,-269.20M,99.28M,14.65M,,AOR,Restated
2015-09,374.49M,1.789M,1.789M,42.39M,6.249M,48.64M,48.64M,,15.26M,-30.81M,,,,,,130.98M,553.48M,,-70.45M,,,,-13.46M,3.138M,-80.77M,,797.46M,-1.119B,-321.49M,,-86.64M,-86.64M,-61.99M,-61.99M,16.60M,6.326M,-447.19M,,75.07M,25.52M,-9.559M,91.03M,,,797.46M,,-86.64M,190.52M,8.758M,,AOR,Restated
2015-06,349.94M,1.789M,1.789M,42.08M,6.815M,48.90M,48.90M,,14.50M,-37.68M,,,,,,15.41M,404.09M,,-44.64M,,,,-1.43M,1.344M,-44.72M,,0.096M,-247.10M,-247.00M,,-64.54M,-64.54M,-62.64M,-62.64M,19.93M,18.92M,-335.33M,,64.01M,24.03M,-12.98M,75.07M,,,,0.096M,-64.54M,29.28M,15.85M,,AOR,Restated
2015-03,131.40M,1.676M,1.676M,42.50M,6.905M,49.40M,49.40M,,18.08M,-3.222M,,,,,,-254.22M,-55.07M,,-42.90M,,,,-0.056M,6.677M,-36.28M,,-0.096M,731.73M,731.64M,,-614.91M,-614.91M,-62.61M,-62.61M,37.49M,19.52M,111.14M,,40.73M,19.78M,3.496M,64.01M,,,,-0.096M,-614.91M,16.04M,9.381M,,AOR,Restated
2014-12,132.74M,-9.623M,55.18M,43.33M,7.247M,50.57M,50.57M,,20.92M,-30.72M,,,,,,-37.80M,200.22M,,-64.64M,,,,-80.34M,0.479M,-144.51M,,-498.90M,627.37M,128.47M,,-394.59M,-394.59M,-53.08M,-53.08M,26.88M,11.75M,-280.58M,,261.35M,-224.87M,4.257M,40.73M,,,1.474M,-500.37M,-394.59M,136.61M,23.25M,,AOR,Restated
2014-09,326.24M,3.299M,3.299M,42.25M,7.465M,49.71M,49.71M,,14.25M,1.027M,,,,,,143.20M,549.73M,,-69.03M,,,,-13.19M,0.664M,-81.56M,,0.462M,-4.022M,-3.56M,,-428.58M,-428.58M,-53.34M,-53.34M,13.75M,10.90M,-460.83M,,267.20M,7.343M,-13.20M,261.35M,,,0.00,0.462M,-428.58M,139.44M,10.16M,,AOR,Restated
2014-06,291.45M,3.298M,3.298M,42.10M,7.594M,49.70M,49.70M,,13.70M,-5.224M,,,,,,54.97M,414.70M,,-37.51M,,,,-1.783M,0.373M,-38.92M,,-0.072M,-22.99M,-23.06M,,-409.10M,-409.10M,-53.75M,-53.75M,10.78M,3.769M,-471.36M,,366.46M,-95.58M,-3.692M,267.20M,,,,-0.072M,-409.10M,20.97M,23.53M,,AOR,Restated
2014-03,115.46M,3.298M,3.298M,41.41M,7.552M,48.96M,48.96M,,15.86M,-12.11M,,,,,,-257.04M,-83.12M,,-29.36M,,,,-15.70M,,-45.07M,,-0.68M,-8.932M,-9.612M,,-256.39M,-256.39M,-55.09M,-55.09M,48.66M,18.13M,-254.31M,,744.89M,-382.49M,4.07M,366.46M,,,,-0.68M,-256.39M,13.03M,10.36M,,AOR,Restated
2013-12,116.12M,8.211M,70.68M,41.07M,7.558M,48.63M,48.63M,,22.06M,-17.56M,,,,,,39.43M,305.86M,,-58.18M,,,12.84M,-38.87M,-0.253M,-84.46M,,-9.319M,-196.61M,-205.93M,,-277.25M,-277.25M,-50.63M,-50.63M,20.79M,7.229M,-505.78M,,1.036B,-284.39M,-6.435M,744.89M,,,,-9.792M,-277.25M,39.33M,21.41M,,AOR,Restated
2013-09,262.97M,5.888M,5.888M,39.39M,7.346M,46.74M,46.74M,,11.97M,4.079M,,,,,,143.13M,475.84M,,-36.37M,,,-87.78M,-3.018M,0.712M,-126.46M,,-0.191M,245.65M,245.46M,,-259.50M,-259.50M,-51.05M,-51.05M,8.351M,5.977M,-50.77M,,741.08M,298.61M,-3.98M,1.036B,,,,-0.191M,-259.50M,126.75M,8.697M,,AOR,Restated
2013-06,257.29M,5.888M,5.888M,39.41M,6.463M,45.87M,45.87M,,12.07M,-3.467M,,,,,,73.90M,393.21M,,-40.89M,,,-5.00M,-35.09M,1.595M,-79.38M,,-0.679M,-18.08M,-18.75M,,-151.08M,-151.08M,-51.56M,-51.56M,19.89M,12.15M,-189.35M,,613.93M,124.47M,2.685M,741.08M,,,,-0.679M,-151.08M,21.66M,22.35M,,AOR,Restated
2013-03,116.18M,5.887M,5.887M,38.89M,7.664M,46.56M,46.56M,,11.91M,-2.924M,,,,,,-269.22M,-91.13M,,-31.23M,,,,-17.77M,0.991M,-48.01M,,-0.27M,0.668M,0.398M,,-81.44M,-81.44M,-51.74M,-51.74M,20.73M,4.646M,-107.40M,,862.59M,-246.54M,-2.115M,613.93M,,,,-0.27M,-81.44M,13.01M,8.59M,,AOR,Restated
2012-12,68.05M,6.493M,82.81M,38.88M,6.886M,45.77M,45.77M,,21.30M,-6.992M,,,,,,120.82M,318.62M,,-54.12M,,,-52.35M,-59.56M,-1.388M,-167.42M,,996.53M,-269.61M,726.92M,,-124.71M,-124.71M,-40.34M,-40.34M,58.71M,35.63M,656.20M,,55.18M,807.41M,0.00,862.59M,,,997.59M,-1.057M,-124.71M,59.17M,11.70M,,AOR,Restated
2012-09,234.95M,5.827M,5.827M,37.83M,7.136M,44.96M,44.96M,,11.10M,-11.05M,,,,,,75.77M,367.15M,,-33.02M,,,-2.90M,-51.07M,2.086M,-84.90M,,-0.517M,-275.42M,-275.94M,,-70.43M,-70.43M,-40.16M,-40.16M,74.23M,38.60M,-273.69M,,46.62M,8.564M,0.001M,55.18M,,,0.262M,-0.779M,-70.43M,66.45M,8.951M,,AOR,Restated
2012-06,227.81M,5.827M,5.827M,37.62M,6.364M,43.99M,43.99M,,11.18M,-17.84M,,,,,,80.47M,356.95M,,-37.19M,,,-43.99M,11.69M,5.399M,-64.10M,,-7.986M,-68.63M,-76.62M,,-181.83M,-181.83M,-40.08M,-40.08M,21.30M,5.494M,-271.73M,,25.49M,21.12M,0.002M,46.62M,,,-1.075M,-6.911M,-181.83M,19.15M,11.92M,,AOR,Restated
2012-03,100.22M,5.828M,5.828M,37.88M,6.599M,44.48M,44.48M,,10.77M,-19.93M,,,,,,-301.36M,-154.84M,,-32.78M,,,,3.162M,3.58M,-26.04M,,-2.332M,328.83M,326.50M,,-180.79M,-180.79M,-40.36M,-40.36M,66.88M,3.572M,175.80M,,32.70M,-5.085M,-2.118M,25.49M,,,2.921M,-5.253M,-180.79M,78.56M,8.978M,,AOR,Restated
2011-12,,5.224M,62.30M,38.40M,6.429M,44.83M,44.83M,,16.40M,-402.64M,,,,,,98.27M,289.85M,,-56.92M,,,-14.59M,-25.97M,0.644M,-96.83M,,-4.347M,-171.67M,-176.02M,,-38.63M,-38.63M,,-37.86M,28.03M,18.76M,-205.71M,,46.03M,-12.69M,-0.636M,32.70M,,,11.87M,-16.22M,-38.63M,93.33M,11.22M,,AOR,Restated
2011-09,,4.167M,4.167M,38.00M,10.14M,48.14M,48.14M,,10.34M,172.83M,,,,,,102.33M,337.80M,,-27.95M,-6.613M,-6.613M,-27.24M,-45.94M,12.20M,-95.55M,,-1.952M,-40.14M,-42.09M,,-196.01M,-196.01M,,-37.80M,3.32M,1.669M,-270.91M,,71.56M,-28.66M,3.127M,46.03M,,,-170.18M,-0.235M,-196.01M,59.86M,19.74M,,AOR,Restated
2011-06,,9.728M,9.728M,37.48M,6.733M,44.21M,44.21M,,10.34M,165.45M,,,,,,31.61M,261.33M,,-41.98M,0.388M,0.388M,-2.612M,-20.46M,8.274M,-56.39M,,-5.218M,-111.99M,-117.21M,,-41.92M,-41.92M,,-38.84M,14.74M,3.306M,-179.93M,,53.95M,25.01M,-7.398M,71.56M,,,-88.08M,-29.13M,-41.92M,21.53M,2.543M,,AOR,Restated
2011-03,,,,37.33M,6.394M,43.73M,43.73M,,11.09M,68.76M,,,,,,-276.75M,-153.17M,,-26.95M,6.225M,6.225M,,,-8.274M,-29.00M,,2.413M,280.46M,282.87M,,-90.82M,-90.82M,,-39.00M,23.45M,4.851M,181.34M,,58.58M,-0.822M,-3.816M,53.95M,,,287.17M,-4.302M,-90.82M,21.42M,9.401M,,AOR,Restated
2010-12,462.48M,21.09M,77.22M,39.67M,13.19M,52.86M,52.86M,,13.78M,-497.86M,,,,,,100.18M,228.98M,,-49.05M,,,-33.82M,-3.535M,3.501M,-82.90M,,-53.84M,33.17M,-20.67M,,-122.12M,-122.12M,,-38.74M,29.83M,5.074M,-146.63M,,64.95M,-0.547M,-5.816M,58.58M,,,-312.25M,-66.26M,-122.12M,41.81M,24.00M,,AOR,Restated
2010-09,,0.438M,0.438M,34.47M,8.568M,43.04M,43.04M,,9.009M,187.19M,,,,,,1.479M,241.15M,,-28.66M,-1.109M,46.34M,-215.28M,-12.38M,4.834M,-252.60M,,-2.874M,143.94M,141.06M,,-78.07M,-78.07M,,-38.90M,9.907M,3.093M,37.09M,,48.40M,25.65M,-9.102M,64.95M,,,144.99M,-3.931M,-78.07M,71.69M,13.92M,,AOR,
2010-06,-32.60M,-3.796M,-3.796M,33.10M,6.459M,39.56M,39.56M,,8.977M,203.65M,,,,,,138.59M,352.27M,,-22.03M,0.589M,-46.86M,-49.06M,-41.41M,,-111.91M,,-110.98M,-42.17M,-153.15M,,-149.72M,-149.72M,,-39.42M,42.73M,9.975M,-289.58M,,91.17M,-49.22M,6.447M,48.40M,,,-42.28M,-110.87M,-149.72M,15.86M,28.08M,,AOR,Restated
2010-03,32.60M,4.996M,4.996M,33.10M,6.747M,39.85M,39.85M,,10.51M,0.564M,,,,,,-206.44M,-115.82M,,-25.42M,0.52M,0.52M,0.00,-17.64M,,-42.54M,,0.882M,222.89M,223.78M,,-25.77M,-25.77M,,-39.37M,19.75M,-2.837M,175.55M,,69.33M,17.19M,4.654M,91.17M,,,224.33M,-0.558M,-25.77M,8.513M,12.74M,,AOR,Restated
2009-12,65.34M,-0.797M,64.90M,35.58M,6.899M,42.47M,42.47M,,3.12M,-11.57M,,,,,,73.74M,243.54M,,-27.77M,3.848M,-23.92M,-1.347M,1.067M,,-24.20M,,493.89M,-388.21M,105.68M,,-254.14M,-254.14M,,-37.93M,9.267M,-5.783M,-182.91M,,32.77M,36.44M,0.124M,69.33M,,,485.46M,8.432M,-254.14M,77.12M,3.185M,,AOR,Restated
2009-09,175.21M,-15.88M,-15.88M,36.41M,6.623M,43.03M,43.03M,,8.904M,25.34M,,,,,,112.61M,349.22M,,-22.66M,1.751M,-20.91M,-0.035M,8.121M,-1.504M,-14.33M,,-2.667M,-89.10M,-91.76M,,-276.22M,-276.22M,,-41.44M,14.99M,53.41M,-341.03M,,49.26M,-6.141M,-10.35M,32.77M,,,1.798M,-4.465M,-276.22M,42.39M,13.72M,,AOR,Restated
2009-06,158.02M,8.078M,8.078M,37.32M,5.968M,43.28M,43.28M,,8.895M,-7.993M,,,,,,168.40M,378.69M,,-18.46M,-0.274M,-41.17M,-1.04M,-23.00M,1.504M,-41.27M,,-12.96M,-267.27M,-280.22M,,22.31M,22.31M,,-41.55M,5.43M,-47.91M,-341.94M,,42.24M,-4.516M,11.53M,49.26M,,,-245.11M,-17.44M,22.31M,14.22M,5.804M,,AOR,Restated
2009-03,37.28M,9.704M,9.704M,35.88M,6.228M,42.11M,42.11M,,2.352M,4.374M,,,,,,-208.09M,-112.27M,,-22.44M,0.274M,0.274M,-13.02M,-15.42M,,-50.60M,,-6.624M,249.59M,242.96M,,-22.31M,-22.31M,,-41.64M,6.907M,-2.868M,183.05M,,26.21M,20.18M,-4.146M,42.24M,,,249.59M,-6.624M,-22.31M,12.66M,18.39M,,AOR,Restated
2008-12,50.17M,,57.49M,35.86M,5.433M,41.29M,41.29M,,,-25.35M,,,,,-17.02M,33.97M,283.65M,,-25.40M,11.13M,102.93M,-20.22M,-58.71M,12.01M,-81.20M,,,,-184.25M,-25.74M,-13.60M,-39.34M,,-40.95M,,4.491M,-222.58M,,40.93M,-20.13M,5.414M,26.21M,,-25.74M,,,-13.60M,,,,AOR,Restated
2008-09,177.08M,,-3.919M,36.18M,6.213M,42.40M,42.40M,,,19.98M,,,,,94.25M,94.25M,329.78M,,-20.91M,-3.681M,-24.60M,-33.79M,21.21M,-13.21M,-50.38M,,,,-209.57M,7.802M,-41.96M,-34.16M,,-40.99M,,0.677M,-284.03M,,45.57M,-4.63M,-0.017M,40.93M,,7.802M,,,-41.96M,,,,,
2008-06,171.68M,,10.33M,35.32M,5.364M,40.69M,40.69M,,,21.03M,,,,,79.60M,79.60M,323.33M,,-31.06M,3.594M,-27.47M,0.696M,-13.07M,-5.558M,-45.40M,,,,-110.07M,12.26M,-117.87M,-105.61M,,-41.14M,,5.359M,-251.46M,,20.12M,26.47M,-1.02M,45.57M,,12.26M,,,-117.87M,,,,,
2008-03,77.95M,,-10.76M,35.82M,5.31M,41.13M,41.13M,,,7.746M,,,,,-176.60M,-176.60M,-60.53M,,-39.82M,0.087M,-39.74M,-15.37M,-11.50M,6.76M,-59.85M,,,,380.48M,5.686M,-220.11M,-214.43M,,-42.04M,,-3.853M,120.16M,,27.32M,-0.215M,-6.985M,20.12M,,5.686M,,,-220.11M,,,,,
2007-12,100.82M,,44.38M,38.05M,7.158M,45.20M,45.20M,,,-4.429M,,,,,58.78M,40.35M,310.79M,,-48.66M,4.164M,121.37M,-34.23M,-20.00M,11.47M,-87.26M,,,,0.002M,-64.41M,-182.89M,-247.30M,,-39.16M,,-7.019M,-222.20M,,21.23M,1.327M,4.765M,27.32M,,-64.41M,,,-182.89M,,,,,Restated
2007-09,200.35M,,-4.524M,35.45M,5.962M,41.42M,41.42M,,,26.39M,,,,,29.44M,29.44M,293.06M,,-33.88M,16.84M,-17.04M,-98.87M,-12.31M,-14.85M,-143.07M,,,,201.75M,10.53M,-370.66M,-360.13M,,-40.19M,,3.727M,-194.84M,,57.54M,-44.85M,8.537M,21.23M,,10.53M,,,-370.66M,,,,,
2007-06,202.61M,,1.097M,33.27M,5.897M,39.17M,39.17M,,,10.14M,,,,,105.84M,105.84M,358.85M,,-44.84M,1.821M,-43.02M,-149.32M,-3.555M,6.651M,-189.24M,,,,-288.57M,7.456M,-77.55M,-70.09M,,-41.44M,,-7.073M,-407.18M,,299.84M,-237.57M,-4.724M,57.54M,,7.456M,,,-77.55M,,,,,
2007-03,111.80M,,-4.447M,32.24M,5.452M,37.69M,37.69M,,,5.343M,,,,,-238.55M,-238.55M,-88.16M,,-38.49M,1.002M,-37.48M,,3.706M,-3.268M,-37.05M,,,,158.83M,46.43M,-232.04M,-185.61M,,-41.51M,,25.90M,-42.39M,,469.17M,-167.60M,-1.735M,299.84M,,46.43M,,,-232.04M,,,,,
2006-12,98.68M,,14.38M,32.34M,5.982M,38.32M,38.32M,,,68.40M,,,,,75.45M,70.54M,278.98M,,-65.57M,1.996M,-63.58M,,-44.71M,1.504M,-157.96M,,,,91.44M,37.42M,-161.65M,-124.24M,,-33.35M,,13.78M,-52.36M,,400.36M,68.66M,0.15M,469.17M,,37.42M,,,-161.65M,,,,,
2006-09,179.11M,,-12.62M,30.88M,5.622M,36.50M,36.50M,,,21.07M,,,,,79.80M,79.80M,303.85M,,-49.94M,3.768M,-46.17M,,-7.373M,2.836M,-50.71M,,,,-6.901M,19.80M,-87.13M,-67.33M,,-33.90M,,6.876M,-101.26M,,248.64M,151.88M,-0.166M,400.36M,,19.80M,,,-87.13M,,,,,
2006-06,184.59M,,-2.871M,30.16M,5.622M,35.78M,35.78M,,,22.02M,,,,,72.87M,72.87M,312.39M,,-52.97M,3.215M,-49.75M,,-8.014M,-4.195M,-61.96M,,,,-423.09M,7.691M,-41.17M,-33.48M,,-34.06M,,1.62M,-489.01M,,494.25M,-238.58M,-7.03M,248.64M,,7.691M,,,-41.17M,,,,,
2006-03,113.67M,,9.306M,29.68M,5.637M,35.32M,35.32M,,,-7.901M,,,,,-229.77M,-229.77M,-79.38M,,-41.46M,,-41.46M,,-11.09M,3.42M,-49.13M,,,,590.07M,33.75M,-21.18M,12.57M,,-34.05M,,10.39M,578.98M,,36.04M,450.48M,7.735M,494.25M,,33.75M,,,-21.18M,,,,,
2005-12,75.14M,,87.08M,30.72M,14.57M,45.29M,45.29M,,,13.85M,,,,,182.56M,148.03M,353.33M,,-40.05M,,-26.59M,-0.018M,-28.22M,-8.017M,-62.84M,,,,-159.41M,7.629M,-88.44M,-80.81M,,-27.87M,,-19.16M,-287.26M,,29.84M,3.222M,2.983M,36.04M,,7.629M,,,-88.44M,,,,,
2005-09,151.61M,,8.953M,30.60M,5.296M,35.89M,35.89M,,,-16.52M,,,,,84.58M,84.58M,264.52M,,-33.53M,,-33.53M,3.188M,6.966M,-4.073M,-27.45M,,,,-118.16M,10.04M,-102.80M,-92.76M,,-28.50M,,19.17M,-220.25M,,12.52M,16.82M,0.491M,29.84M,,10.04M,,,-102.80M,,,,,
