,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity
2018-03,2.404B,2.071B,4.475B,1.76B,,1.76B,924.00M,1.128B,,,,8.287B,,,7.204B,,39.08B,-12.35B,26.74B,4.523B,3.521B,8.044B,853.00M,,,95.00M,35.73B,44.02B,2.399B,,,2.399B,1.637B,4.036B,,1.655B,1.655B,124.00M,1.779B,7.722B,7.722B,646.00M,14.18B,12.17B,1.019B,13.18B,250.00M,2.716B,2.966B,,3.421B,,,1.927B,21.50B,35.68B,3.00M,4.684B,6.077B,1.314B,-1.114B,8.336B
2017-12,1.482B,2.316B,3.798B,1.34B,,1.34B,924.00M,1.071B,,,,7.133B,,,6.957B,,38.14B,-11.94B,26.21B,5.059B,3.003B,8.062B,806.00M,46.00M,,91.00M,35.21B,42.35B,2.196B,,,2.196B,2.166B,4.362B,,1.565B,1.565B,128.00M,1.693B,6.132B,6.132B,576.00M,12.76B,11.70B,996.00M,12.70B,204.00M,2.591B,2.795B,,3.523B,,,1.832B,20.85B,33.61B,3.00M,4.549B,6.098B,769.00M,-1.147B,8.734B
2017-09,1.87B,2.458B,4.328B,1.603B,,1.603B,937.00M,1.009B,,,,7.877B,,,6.674B,,37.90B,-12.27B,25.63B,4.523B,3.558B,8.081B,882.00M,,0.00,96.00M,34.69B,42.56B,2.231B,,,2.231B,1.983B,4.214B,,1.516B,1.516B,125.00M,1.641B,6.529B,6.529B,703.00M,13.09B,11.33B,968.00M,12.30B,253.00M,2.899B,3.152B,,3.219B,,,1.835B,20.51B,33.60B,3.00M,4.991B,6.591B,1.791B,-824.00M,8.97B
2017-06,2.371B,2.278B,4.649B,1.499B,,1.499B,882.00M,1.218B,,,,8.248B,,,6.446B,,36.79B,-11.77B,25.02B,4.523B,3.592B,8.115B,,,127.00M,800.00M,34.06B,42.31B,2.225B,,,2.225B,1.812B,4.037B,,1.436B,1.436B,115.00M,1.551B,7.171B,7.171B,837.00M,13.60B,10.67B,944.00M,11.61B,,3.013B,3.013B,,3.336B,,,1.896B,19.86B,33.45B,3.00M,4.354B,6.577B,1.236B,-844.00M,8.854B
2017-03,2.164B,2.215B,4.379B,1.429B,,1.429B,900.00M,1.016B,,,,7.724B,,,6.229B,,35.58B,-11.34B,24.24B,4.523B,3.612B,8.135B,,,598.00M,747.00M,33.72B,41.44B,2.135B,,,2.135B,1.569B,3.704B,,716.00M,716.00M,113.00M,829.00M,7.121B,7.121B,1.008B,12.66B,11.18B,836.00M,12.01B,,3.132B,3.132B,,3.459B,,,1.729B,20.33B,33.00B,3.00M,3.536B,6.562B,816.00M,-836.00M,8.449B
2016-12,2.179B,2.249B,4.428B,1.176B,,1.176B,873.00M,832.00M,,,,7.309B,,,5.983B,,34.23B,-10.92B,23.32B,5.059B,3.096B,8.155B,579.00M,,655.00M,124.00M,32.83B,40.14B,2.139B,,,2.139B,2.307B,4.446B,,849.00M,849.00M,116.00M,965.00M,5.865B,5.865B,1.01B,12.29B,9.918B,822.00M,10.74B,0.00,3.178B,3.178B,,3.473B,,,1.804B,19.20B,31.48B,3.00M,3.427B,6.569B,511.00M,-829.00M,8.659B
2016-09,2.63B,2.226B,4.856B,1.481B,,1.481B,842.00M,791.00M,,,,7.97B,,,5.574B,,33.13B,-10.49B,22.64B,4.523B,3.654B,8.177B,,,863.00M,672.00M,32.36B,40.33B,2.138B,,,2.138B,2.282B,4.42B,,969.00M,969.00M,124.00M,1.093B,6.726B,6.726B,1.014B,13.25B,9.612B,752.00M,10.36B,,3.317B,3.317B,,3.147B,,,1.807B,18.64B,31.89B,4.00M,5.323B,7.974B,4.064B,-798.00M,8.439B
2016-06,2.483B,2.202B,4.685B,1.45B,,1.45B,798.00M,911.00M,,,,7.844B,,,5.278B,,32.56B,-10.17B,22.39B,4.523B,3.677B,8.20B,,,1.392B,652.00M,32.63B,40.48B,2.24B,,,2.24B,1.969B,4.209B,,1.272B,1.272B,128.00M,1.40B,7.455B,7.455B,918.00M,13.98B,9.275B,740.00M,10.02B,,3.555B,3.555B,,3.289B,,,1.851B,18.71B,32.69B,4.00M,4.358B,7.965B,3.809B,-734.00M,7.784B
2016-03,1.795B,2.177B,3.972B,1.581B,,1.581B,759.00M,912.00M,,,,7.224B,,,5.046B,,31.76B,-9.751B,22.01B,4.523B,4.112B,8.635B,,,1.80B,708.00M,33.15B,40.37B,2.065B,,,2.065B,1.822B,3.887B,,1.295B,1.295B,114.00M,1.409B,7.056B,7.056B,1.028B,13.38B,9.472B,725.00M,10.20B,,3.755B,3.755B,,3.348B,,,1.853B,19.15B,32.53B,4.00M,3.77B,7.956B,3.113B,-777.00M,7.84B
2015-12,3.006B,2.19B,5.196B,1.128B,,1.128B,738.00M,740.00M,,,,7.828B,,,4.874B,,30.92B,-9.337B,21.58B,5.465B,3.194B,8.659B,,,2.037B,757.00M,33.03B,40.86B,1.869B,,,1.869B,2.35B,4.219B,,1.224B,1.224B,135.00M,1.359B,5.87B,5.87B,966.00M,12.41B,9.673B,727.00M,10.40B,,3.836B,3.836B,,3.37B,,,1.875B,19.48B,31.90B,4.00M,3.457B,7.946B,1.61B,-831.00M,8.966B
2015-09,3.427B,2.172B,5.599B,1.513B,,1.513B,704.00M,819.00M,,1.306B,,10.10B,,,4.673B,,30.20B,-9.026B,21.18B,4.523B,4.193B,8.716B,,,846.00M,1.034B,31.77B,41.87B,2.082B,,,2.082B,2.187B,4.269B,,1.312B,1.312B,137.00M,1.449B,6.63B,6.63B,1.14B,13.49B,9.91B,762.00M,10.67B,0.00,3.866B,3.866B,,3.429B,,,1.859B,19.83B,33.31B,4.00M,2.634B,7.941B,1.09B,-934.00M,8.555B
2015-06,2.796B,2.189B,4.985B,1.471B,,1.471B,656.00M,881.00M,,619.00M,,8.793B,,,4.552B,,29.36B,-8.657B,20.70B,4.523B,4.22B,8.743B,,,,1.13B,30.57B,39.37B,2.322B,,,2.322B,1.846B,4.168B,,1.047B,1.047B,111.00M,1.158B,7.291B,7.291B,1.193B,13.81B,9.938B,563.00M,10.50B,1.623B,3.997B,5.62B,,3.395B,,,1.919B,21.44B,35.24B,4.00M,-2.182B,7.938B,826.00M,-812.00M,4.122B
2015-03,3.352B,2.256B,5.608B,1.471B,,1.471B,631.00M,826.00M,,575.00M,,9.509B,,,4.423B,,28.19B,-8.328B,19.86B,4.523B,4.257B,8.78B,,,,940.00M,29.58B,39.09B,2.074B,,,2.074B,1.597B,3.671B,,1.70B,1.70B,112.00M,1.812B,6.991B,6.991B,1.495B,13.97B,9.914B,560.00M,10.47B,1.577B,4.148B,5.725B,,4.015B,,,1.90B,22.11B,36.08B,4.00M,-3.375B,7.932B,576.00M,-977.00M,3.008B
2014-12,2.002B,2.382B,4.384B,1.146B,,1.146B,666.00M,774.00M,,,,7.547B,,,4.347B,,27.43B,-7.965B,19.47B,5.479B,3.328B,8.807B,,,,774.00M,29.05B,36.60B,1.882B,,,1.882B,1.818B,3.70B,,1.313B,1.313B,110.00M,1.423B,5.759B,5.759B,1.626B,12.51B,9.953B,571.00M,10.52B,1.00B,4.096B,5.096B,,4.159B,,,1.912B,21.69B,34.20B,4.00M,-3.883B,7.721B,367.00M,-1.079B,2.396B
2014-09,3.117B,2.397B,5.514B,1.559B,,1.559B,700.00M,838.00M,32.00M,582.00M,,9.225B,,,4.255B,,26.70B,-7.756B,18.94B,4.523B,4.33B,8.853B,,,,990.00M,28.79B,38.01B,2.085B,,,2.085B,1.651B,3.736B,,1.34B,1.34B,99.00M,1.439B,6.604B,6.604B,1.085B,12.86B,9.988B,667.00M,10.66B,1.57B,3.99B,5.56B,,3.201B,,,1.867B,21.28B,34.15B,4.00M,-3.911B,7.62B,237.00M,388.00M,3.864B
2014-06,3.424B,2.372B,5.796B,1.665B,,1.665B,685.00M,839.00M,48.00M,586.00M,,9.619B,,,4.172B,,26.38B,-7.52B,18.86B,4.523B,4.372B,8.895B,,,,1.076B,28.83B,38.45B,2.441B,,,2.441B,1.46B,3.901B,,1.168B,1.168B,98.00M,1.266B,7.174B,7.174B,993.00M,13.33B,10.35B,700.00M,11.05B,1.576B,3.961B,5.537B,,3.278B,,,1.897B,21.77B,35.10B,4.00M,-4.835B,7.636B,47.00M,589.00M,3.347B
2014-03,3.009B,2.015B,5.024B,1.609B,,1.609B,641.00M,845.00M,49.00M,620.00M,,8.788B,,,4.074B,,25.63B,-7.25B,18.38B,4.523B,4.402B,8.925B,,,,1.088B,28.40B,37.18B,2.332B,,,2.332B,1.363B,3.695B,,1.178B,1.178B,112.00M,1.29B,7.122B,7.122B,984.00M,13.09B,10.10B,736.00M,10.83B,1.608B,3.875B,5.483B,,3.327B,,,1.871B,21.52B,34.61B,4.00M,-5.624B,7.666B,47.00M,580.00M,2.579B
2013-12,3.22B,1.901B,5.121B,1.503B,,1.503B,667.00M,704.00M,31.00M,676.00M,,8.702B,,,3.994B,,24.98B,-6.929B,18.05B,5.486B,3.473B,8.959B,,,,1.104B,28.11B,36.81B,2.087B,,,2.087B,1.696B,3.783B,,1.368B,1.368B,117.00M,1.485B,5.774B,5.774B,1.065B,12.11B,10.17B,753.00M,10.92B,1.662B,3.873B,5.535B,,3.353B,,,1.909B,21.72B,33.83B,4.00M,-5.015B,7.425B,38.00M,608.00M,2.984B
2013-09,3.935B,1.801B,5.736B,1.693B,,1.693B,646.00M,700.00M,46.00M,568.00M,,9.389B,,,3.78B,,24.42B,-6.657B,17.77B,4.523B,4.487B,9.01B,,,,1.095B,27.87B,37.26B,2.126B,,,2.126B,1.844B,3.97B,,957.00M,957.00M,117.00M,1.074B,6.501B,6.501B,1.059B,12.60B,10.20B,781.00M,10.98B,1.573B,3.944B,5.517B,,4.456B,,,1.97B,22.93B,35.53B,4.00M,-5.155B,7.41B,38.00M,-493.00M,1.728B
2013-06,4.143B,1.821B,5.964B,1.732B,,1.732B,555.00M,790.00M,40.00M,540.00M,,9.621B,,,3.762B,,24.01B,-6.422B,17.58B,4.523B,4.523B,9.046B,,,,1.217B,27.85B,37.47B,2.298B,,,2.298B,1.48B,3.778B,,909.00M,909.00M,119.00M,1.028B,7.144B,7.144B,977.00M,12.93B,10.21B,724.00M,10.94B,1.542B,4.082B,5.624B,,4.579B,,,2.183B,23.32B,36.25B,4.00M,-5.534B,7.354B,38.00M,-569.00M,1.217B
2013-03,3.538B,1.852B,5.39B,1.679B,,1.679B,690.00M,845.00M,50.00M,494.00M,,9.148B,,,3.592B,,23.49B,-6.052B,17.44B,4.523B,4.561B,9.084B,,,,1.173B,27.69B,36.84B,2.293B,,,2.293B,1.455B,3.748B,,1.079B,1.079B,121.00M,1.20B,6.945B,6.945B,999.00M,12.89B,10.18B,765.00M,10.95B,1.485B,4.243B,5.728B,,5.017B,,,2.164B,23.86B,36.75B,3.00M,-6.003B,7.159B,38.00M,-1.027B,94.00M
2012-12,4.77B,1.773B,6.543B,1.338B,,1.338B,695.00M,865.00M,65.00M,543.00M,,10.05B,,,3.504B,,23.01B,-5.719B,17.29B,5.504B,3.616B,9.12B,,,,1.167B,27.58B,37.63B,2.312B,,,2.312B,1.763B,4.075B,,1.812B,1.812B,122.00M,1.934B,5.724B,5.724B,1.085B,12.82B,10.44B,792.00M,11.23B,1.543B,4.293B,5.836B,,5.014B,,,2.247B,24.33B,37.15B,3.00M,-5.586B,7.145B,35.00M,-1.046B,481.00M
2012-09,5.129B,1.551B,6.68B,1.874B,,1.862B,675.00M,837.00M,79.00M,641.00M,,10.77B,,,3.386B,,22.24B,-5.426B,16.81B,4.523B,4.65B,9.173B,,,,1.148B,27.13B,37.90B,2.188B,,,2.188B,,2.188B,,1.704B,1.704B,120.00M,1.824B,6.254B,6.254B,1.463B,13.06B,9.592B,828.00M,10.42B,1.649B,2.839B,4.488B,,4.249B,,,3.864B,23.02B,36.08B,3.00M,-4.965B,7.14B,32.00M,-319.00M,1.827B
2012-06,6.086B,1.618B,7.704B,1.83B,,1.818B,611.00M,797.00M,120.00M,658.00M,,11.71B,,,3.353B,,21.70B,-5.121B,16.58B,4.523B,4.681B,9.204B,,,,1.205B,26.99B,38.69B,2.165B,,,2.165B,,2.165B,,1.349B,1.349B,119.00M,1.468B,7.193B,7.193B,1.256B,13.31B,10.13B,851.00M,10.98B,1.646B,2.872B,4.518B,,4.287B,,,3.963B,23.75B,37.06B,3.00M,-4.972B,7.135B,32.00M,-499.00M,1.635B
2012-03,5.606B,1.667B,7.273B,1.908B,,1.908B,645.00M,783.00M,42.00M,610.00M,,11.26B,,4.549B,16.69B,,21.24B,-4.793B,16.44B,4.523B,4.712B,9.235B,,,,1.259B,26.94B,38.20B,2.22B,,,2.22B,,2.22B,,1.013B,1.013B,127.00M,1.14B,7.04B,7.04B,947.00M,12.49B,10.41B,888.00M,11.30B,1.596B,4.626B,6.222B,,4.272B,,,2.413B,24.20B,36.69B,3.00M,-5.311B,7.13B,32.00M,-280.00M,1.51B
2011-12,6.246B,1.516B,7.762B,1.358B,,1.358B,615.00M,607.00M,40.00M,615.00M,,11.00B,,,3.363B,,20.99B,-4.57B,16.42B,5.534B,3.739B,9.273B,,,,1.299B,26.99B,37.99B,1.998B,,,1.998B,1.509B,3.507B,,1.186B,1.186B,125.00M,1.311B,5.519B,5.519B,1.057B,11.39B,10.50B,928.00M,11.42B,1.603B,4.964B,6.567B,,4.269B,,,2.528B,24.79B,36.18B,3.00M,-4.863B,7.114B,31.00M,-417.00M,1.806B
2011-09,6.984B,1.373B,8.357B,1.72B,,1.713B,628.00M,595.00M,50.00M,643.00M,,11.99B,,4.527B,16.27B,,20.80B,-4.249B,16.55B,4.523B,4.772B,9.295B,92.00M,,,1.132B,27.07B,39.05B,1.808B,,,1.808B,,1.808B,,1.201B,1.201B,138.00M,1.339B,6.268B,6.268B,1.079B,11.90B,10.87B,945.00M,11.82B,1.641B,5.054B,6.695B,,3.821B,,,2.51B,24.84B,36.74B,3.00M,-4.725B,7.11B,31.00M,-45.00M,2.312B
2011-06,7.519B,1.06B,8.579B,1.863B,,1.863B,508.00M,773.00M,46.00M,622.00M,,12.39B,,,3.214B,,20.61B,-3.92B,16.69B,4.523B,4.815B,9.338B,101.00M,,,1.174B,27.30B,39.69B,1.999B,,,1.999B,,1.999B,,1.389B,1.389B,138.00M,1.527B,6.988B,6.988B,1.019B,12.76B,11.10B,970.00M,12.07B,1.618B,3.355B,4.973B,,3.841B,,,4.105B,24.99B,37.75B,3.00M,-5.378B,7.106B,31.00M,242.00M,1.942B
2011-03,8.165B,722.00M,8.887B,,,2.357B,619.00M,660.00M,71.00M,554.00M,,13.15B,2.969B,,17.46B,,20.42B,-3.593B,16.83B,4.523B,4.866B,9.389B,98.00M,,,1.085B,27.40B,40.55B,1.897B,,,1.897B,1.208B,3.105B,,2.319B,2.319B,148.00M,2.467B,6.889B,6.889B,1.413B,13.87B,11.12B,1.002B,12.12B,1.549B,4.654B,6.203B,,3.831B,,,2.615B,24.77B,38.64B,3.00M,-5.916B,7.10B,31.00M,756.00M,1.912B
2010-12,8.069B,611.00M,8.68B,,,1.613B,466.00M,658.00M,37.00M,591.00M,,12.04B,,1.741B,18.52B,,20.26B,-3.314B,16.94B,4.523B,4.917B,9.44B,103.00M,,,1.065B,27.55B,39.60B,1.805B,,,1.805B,1.47B,3.275B,,2.411B,2.411B,252.00M,2.663B,5.58B,5.58B,1.127B,12.64B,11.43B,1.036B,12.47B,1.585B,4.65B,6.235B,,3.817B,,,2.704B,25.23B,37.87B,3.00M,-5.703B,7.071B,31.00M,387.00M,1.727B
2010-09,4.938B,,4.938B,,,1.044B,286.00M,431.00M,28.00M,74.00M,269.00M,7.07B,,,,,12.36B,-2.874B,9.49B,,2.40B,2.40B,101.00M,,,994.00M,12.98B,20.06B,889.00M,,,889.00M,918.00M,1.807B,,1.449B,1.449B,461.00M,1.91B,3.667B,3.667B,872.00M,8.256B,6.025B,906.00M,6.931B,583.00M,3.452B,4.035B,,1.948B,,,1.091B,14.00B,22.26B,2.00M,-5.377B,3.152B,31.00M,48.00M,-2.206B
2010-06,4.906B,,4.906B,,,971.00M,280.00M,447.00M,53.00M,51.00M,275.00M,6.983B,,1.818B,10.50B,,12.32B,-2.715B,9.603B,,2.416B,2.416B,97.00M,,,1.035B,13.15B,20.13B,926.00M,,,926.00M,817.00M,1.743B,,1.415B,1.415B,464.00M,1.879B,4.045B,4.045B,906.00M,8.573B,6.281B,1.014B,7.295B,537.00M,3.471B,4.008B,,1.94B,,,1.074B,14.32B,22.89B,2.00M,-5.765B,3.146B,30.00M,-109.00M,-2.756B
2010-03,3.516B,,3.516B,968.00M,672.00M,1.64B,188.00M,740.00M,83.00M,51.00M,302.00M,6.52B,,1.803B,10.45B,,12.26B,-2.541B,9.714B,,2.439B,2.439B,95.00M,,,1.184B,13.43B,19.95B,887.00M,,,887.00M,717.00M,1.604B,,579.00M,579.00M,493.00M,1.072B,3.837B,3.837B,1.026B,7.539B,7.153B,1.079B,8.232B,539.00M,3.496B,4.035B,,1.937B,,,1.096B,15.30B,22.84B,2.00M,-6.038B,3.139B,30.00M,40.00M,-2.887B
2009-12,3.042B,0.00,3.042B,,,743.00M,472.00M,364.00M,128.00M,63.00M,293.00M,5.105B,,2.096B,10.10B,,12.20B,-2.355B,9.84B,0.00,2.455B,2.455B,88.00M,,,1.196B,13.58B,18.68B,803.00M,,,803.00M,701.00M,1.504B,,545.00M,545.00M,426.00M,971.00M,3.007B,3.007B,991.00M,6.473B,6.378B,1.194B,7.572B,551.00M,3.877B,4.428B,,2.021B,,,1.001B,15.02B,21.50B,2.00M,-5.956B,3.136B,28.00M,35.00M,-2.811B
2009-09,2.525B,,2.525B,,,843.00M,216.00M,689.00M,99.00M,92.00M,62.00M,4.526B,,1.722B,8.414B,1.838B,11.97B,-2.242B,9.732B,,2.472B,2.472B,90.00M,,,1.527B,13.82B,18.35B,807.00M,,,807.00M,851.00M,1.658B,,651.00M,651.00M,177.00M,828.00M,3.103B,3.103B,1.048B,6.637B,5.767B,1.212B,6.979B,576.00M,3.91B,4.486B,,1.808B,,,1.082B,14.36B,20.99B,2.00M,-5.719B,3.001B,28.00M,99.00M,-2.645B
2009-06,2.566B,,2.566B,,,921.00M,228.00M,684.00M,68.00M,102.00M,185.00M,4.754B,,1.717B,8.539B,1.783B,12.04B,-2.096B,9.943B,,2.507B,2.507B,79.00M,,,1.523B,14.05B,18.81B,791.00M,,,791.00M,821.00M,1.612B,,846.00M,846.00M,165.00M,1.011B,3.269B,3.269B,1.208B,7.10B,5.604B,1.197B,6.801B,582.00M,3.992B,4.574B,,1.819B,,,1.141B,14.34B,21.44B,2.00M,-5.662B,2.97B,28.00M,89.00M,-2.629B
2009-03,2.457B,,2.457B,,,738.00M,228.00M,622.00M,46.00M,202.00M,564.00M,4.857B,,1.771B,10.26B,,12.03B,-1.95B,10.08B,,2.564B,2.564B,77.00M,,,1.526B,14.24B,19.10B,784.00M,,,784.00M,872.00M,1.656B,,818.00M,818.00M,159.00M,977.00M,3.139B,3.139B,1.433B,7.205B,5.736B,1.235B,6.971B,696.00M,3.958B,4.654B,,1.813B,,,1.113B,14.55B,21.76B,2.00M,-5.69B,2.97B,28.00M,91.00M,-2.655B
2008-12,2.039B,,2.039B,,,714.00M,237.00M,573.00M,54.00M,268.00M,981.00M,4.866B,,,,,12.13B,-1.822B,10.31B,,2.693B,2.693B,81.00M,,,1.513B,14.60B,19.46B,829.00M,,,829.00M,756.00M,1.585B,,782.00M,782.00M,168.00M,950.00M,2.944B,2.944B,1.802B,7.281B,5.862B,1.192B,7.054B,804.00M,3.855B,4.659B,,1.812B,,,980.00M,14.50B,21.79B,1.00M,-5.308B,2.919B,26.00M,93.00M,-2.321B
