,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2015-12,21.15M,0.00,0.249M,0.001M,0.25M,,44.83M,5.866M,0.00,4.375M,-1.233M,-20.86M,-34.69M,4.505M,,5.344M,-4.395M,,,-29.24M,,25.15M,,-42.19M,0.362M,0.362M,-383.84M,0.00,,-425.67M,,488.42M,488.42M,,-1.095M,-1.095M,-14.99M,-14.99M,2.833M,-0.947M,474.22M,,162.19M,73.70M,-4.528M,231.36M,,,348.67M,139.75M,-1.095M,,AOR,Restated
2015-09,8.251M,,0.10M,21.83M,21.93M,,23.74M,-14.53M,,4.72M,-0.766M,22.53M,-7.248M,-1.812M,,-17.36M,-1.138M,,,-27.56M,,38.32M,,-16.41M,0.01M,0.01M,-176.53M,,,-192.93M,,143.50M,143.50M,,-3.401M,-3.401M,-14.98M,-14.98M,3.23M,0.318M,128.66M,,196.19M,-25.95M,-8.06M,162.19M,,,0.00,143.50M,-3.401M,,AOR,Restated
2015-06,24.31M,,0.003M,,0.003M,,22.35M,5.629M,,3.145M,-3.91M,-19.84M,38.87M,-18.17M,,-11.70M,0.463M,,,9.46M,,41.15M,,-23.52M,0.028M,0.028M,-44.31M,0.00,,-67.80M,,66.75M,66.75M,,-9.573M,-9.573M,-13.76M,-13.76M,4.881M,1.932M,50.23M,,167.69M,23.58M,4.919M,196.19M,,,350.00M,-283.25M,-9.573M,,AOR,Restated
2015-03,41.40M,,0.249M,0.00,0.249M,,22.10M,-5.26M,,3.512M,-2.646M,-3.846M,-31.97M,17.11M,,44.37M,-4.198M,,,25.32M,,80.83M,,-28.50M,0.017M,0.017M,-11.97M,0.00,,-40.45M,,12.57M,12.57M,,-10.58M,-10.58M,-13.72M,-13.72M,9.029M,-5.627M,-8.328M,,144.51M,32.05M,-8.874M,167.69M,,,12.57M,,-10.58M,,AOR,Restated
2014-12,38.12M,,-0.027M,0.00,-0.027M,,21.60M,1.349M,,3.803M,-4.375M,-0.407M,-10.26M,-2.763M,,7.513M,5.735M,,,0.23M,,60.30M,,-20.23M,0.016M,0.016M,-3.312M,-4.681M,,-28.21M,,-9.27M,-9.27M,,-14.67M,-14.67M,-13.67M,-13.67M,10.56M,-2.972M,-30.02M,,147.41M,2.07M,-4.971M,144.51M,,,-9.27M,,-14.67M,,AOR,Restated
2014-09,31.00M,,-0.606M,0.00,-0.606M,,27.43M,-0.838M,,4.771M,-0.67M,-3.619M,-7.234M,-8.825M,,15.45M,1.691M,,,1.083M,,58.56M,,-13.20M,0.725M,0.725M,-0.368M,,,-12.84M,,-38.79M,-38.79M,,-0.121M,-0.121M,-13.66M,-13.66M,1.536M,0.67M,-50.36M,,157.94M,-4.648M,-5.875M,147.41M,,,-38.79M,,-0.121M,,AOR,Restated
2014-06,24.54M,,0.233M,,0.233M,,20.40M,-0.167M,,2.835M,-3.835M,-1.366M,46.68M,-15.43M,,-26.40M,-1.139M,,,3.711M,,46.35M,,-23.33M,0.071M,0.071M,-179.01M,,,-202.27M,,165.26M,165.26M,,-5.319M,-5.319M,-12.46M,-12.46M,7.15M,3.835M,158.47M,,152.80M,2.548M,2.586M,157.94M,,,165.26M,,-5.319M,,AOR,Restated
2014-03,38.88M,,3.484M,,3.484M,,19.96M,11.16M,,2.17M,-0.977M,-1.397M,-38.65M,17.20M,,33.16M,-17.52M,,,-5.815M,,67.46M,,-21.59M,0.035M,0.035M,-58.62M,0.00,,-80.17M,,18.74M,18.74M,,-2.233M,-2.233M,-12.38M,-12.38M,3.783M,0.977M,8.891M,,157.34M,-3.821M,-0.714M,152.80M,,,18.74M,0.00,-2.233M,,AOR,Restated
2013-12,28.51M,,0.792M,,0.792M,,19.57M,3.334M,,2.852M,-0.402M,0.049M,-6.891M,-3.692M,,5.826M,12.18M,,,7.423M,,62.13M,,-17.67M,4.731M,4.731M,-8.328M,0.00,,-21.26M,,-33.78M,-33.78M,,-4.583M,-4.583M,-12.36M,-12.36M,2.718M,0.402M,-47.61M,,163.79M,-6.745M,0.288M,157.34M,,,6.22M,-40.00M,-4.583M,,AOR,Restated
2013-09,29.74M,,0.977M,,0.977M,,17.78M,0.288M,,3.935M,-1.462M,-1.14M,4.115M,0.923M,,-1.296M,-6.517M,,,-2.775M,,47.35M,,-25.37M,0.00,0.00,0.00,,,-25.37M,,-5.18M,-5.18M,,-13.88M,-13.88M,-12.40M,-12.40M,0.677M,0.744M,-30.04M,,165.84M,-8.058M,6.014M,163.79M,,,24.82M,-30.00M,-13.88M,,AOR,Restated
2013-06,32.32M,,0.026M,,0.026M,,18.33M,0.397M,,2.143M,,2.422M,12.64M,-11.66M,,-30.29M,6.377M,,,-22.94M,,32.70M,,-21.74M,0.008M,0.008M,-0.115M,,,-21.85M,,21.41M,21.41M,,-4.775M,-4.775M,-11.24M,-11.24M,8.482M,0.675M,14.55M,,142.01M,25.40M,-1.567M,165.84M,,,21.41M,,-4.775M,,AOR,Restated
2013-03,41.38M,,0.002M,,0.002M,,20.53M,1.687M,,2.564M,,-3.909M,-31.02M,17.95M,,-8.719M,8.477M,,,-13.32M,,46.88M,,-23.53M,0.005M,0.005M,-0.261M,,,-23.79M,,-28.60M,-28.60M,,-0.109M,-0.109M,-11.15M,-11.15M,8.502M,-0.446M,-31.80M,,155.89M,-8.714M,-5.165M,142.01M,,,-28.60M,0.00,-0.109M,,AOR,Restated
2012-12,48.10M,,0.052M,,0.052M,,18.32M,13.52M,,2.228M,,-1.508M,-3.171M,6.93M,,-6.62M,-8.934M,,,-11.80M,,68.91M,,-18.82M,0.007M,0.007M,-122.82M,,,-141.63M,,86.55M,86.55M,,-5.205M,-5.205M,-11.10M,-11.10M,2.808M,-1.192M,71.86M,,156.61M,-0.854M,0.132M,155.89M,,,86.55M,0.00,-5.205M,,AOR,Restated
2012-09,40.14M,,0.066M,,0.066M,,15.85M,8.977M,,2.465M,,1.527M,23.80M,10.42M,,-45.08M,-7.418M,,,-18.28M,,50.76M,,-29.52M,0.005M,0.005M,-276.60M,,,-306.11M,,224.34M,224.34M,,-1.571M,-1.571M,-11.08M,-11.08M,8.252M,1.247M,221.19M,,186.73M,-34.16M,4.043M,156.61M,,,224.34M,0.00,-1.571M,,AOR,Restated
2012-06,30.35M,,0.174M,,0.174M,,14.34M,-0.432M,,1.66M,,-0.23M,32.26M,-7.286M,,-8.553M,-1.014M,,,15.40M,,61.27M,,-15.54M,0.017M,0.017M,0.00,,,-15.52M,,0.00,0.00,,-1.117M,-1.117M,-9.867M,-9.867M,3.457M,0.525M,-7.002M,,150.82M,38.74M,-2.83M,186.73M,,,0.00,,-1.117M,,AOR,Restated
2012-03,44.17M,,0.288M,,0.288M,,16.62M,-0.665M,,2.059M,,-3.072M,-26.54M,14.24M,,-17.91M,7.339M,,,-22.87M,,36.53M,,-12.44M,0.042M,0.042M,-12.37M,,,-24.77M,,0.00,0.00,,0.00,0.00,-9.809M,-9.809M,1.974M,0.698M,-7.137M,,143.79M,4.628M,2.406M,150.82M,,,0.00,,0.00,,AOR,Restated
2011-12,33.65M,,0.063M,,0.063M,,16.10M,5.475M,,1.988M,,-0.429M,-16.53M,13.55M,,-6.141M,4.571M,,,-4.545M,,52.30M,,-19.79M,0.00,0.00,0.00,,,-19.79M,,0.00,0.00,,-13.07M,-13.07M,-9.823M,-9.823M,0.577M,0.071M,-22.25M,,134.11M,10.26M,-0.586M,143.79M,,,0.00,,-13.07M,,AOR,Restated
2011-09,29.56M,,-0.001M,,-0.001M,,15.75M,7.455M,,1.893M,,-4.103M,2.381M,4.875M,,-1.157M,-8.103M,,,-2.004M,,48.56M,,-18.86M,0.00,0.00,0.00,,,-18.86M,,0.00,0.00,,-37.55M,-37.55M,-10.02M,-10.02M,0.715M,0.135M,-46.71M,,156.12M,-17.01M,-4.991M,134.11M,,,0.00,,-37.55M,,AOR,Restated
2011-06,28.73M,,0.314M,,0.314M,,14.44M,9.828M,,1.918M,,2.937M,34.16M,-20.83M,,-56.09M,-3.422M,,,-46.18M,,11.98M,,-15.59M,0.00,0.00,-22.27M,,,-37.86M,,,,,-6.131M,-6.131M,-8.913M,-8.913M,2.457M,0.61M,-11.98M,,193.02M,-37.85M,0.953M,156.12M,,,,,-6.131M,,AOR,Restated
2011-03,,,0.583M,,0.583M,,14.65M,9.581M,,1.697M,,-7.774M,-56.72M,2.622M,,20.41M,-1.961M,,,-35.66M,,34.35M,,-21.05M,0.003M,56.39M,16.90M,,,-21.05M,,,,,-10.06M,-10.06M,-8.884M,-8.884M,1.917M,0.328M,-16.70M,,192.29M,-3.406M,4.134M,193.02M,,,,,-10.06M,,AOR,Restated
2010-12,,,-0.179M,,-0.179M,,13.43M,-7.789M,,2.104M,,22.26M,-11.35M,-22.30M,,29.48M,1.381M,,,-2.784M,,27.04M,,-29.15M,1.106M,-28.04M,-20.90M,,,-48.94M,,,,,-3.273M,-3.273M,-8.885M,-8.885M,7.523M,1.411M,-3.224M,,217.40M,-25.13M,0.011M,192.29M,,,,,-3.273M,,AOR,Restated
2010-09,,,0.991M,,0.991M,,13.27M,-0.387M,,2.472M,,40.20M,-12.24M,-8.401M,,-9.043M,-0.195M,,,-29.88M,,26.66M,,-14.83M,0.189M,-14.64M,0.00,,,-14.64M,,,,,-16.63M,-16.63M,-8.913M,-8.913M,1.064M,0.127M,-24.35M,,226.07M,-12.33M,3.661M,217.40M,,,,,-16.63M,,AOR,Restated
2010-06,,,0.405M,,0.405M,,13.04M,-44.48M,,3.913M,,-46.55M,25.79M,-14.16M,,88.73M,3.002M,,,103.37M,,29.69M,,-12.41M,0.003M,-12.41M,0.00,,,-12.41M,,,,,0.00,0.00,-6.546M,-6.546M,2.226M,0.659M,-3.661M,,214.97M,13.62M,-2.526M,226.07M,,,,,0.00,,AOR,Restated
2010-03,29.84M,,0.608M,,0.608M,,14.19M,1.007M,,1.757M,,-2.453M,-10.30M,5.996M,-3.356M,23.65M,5.351M,,,21.34M,,66.29M,,-14.25M,2.531M,32.37M,0.00,,,-11.72M,,-100.00M,-100.00M,,-0.021M,-0.021M,-6.508M,-6.508M,1.708M,0.54M,-104.28M,,265.42M,-49.71M,-0.736M,214.97M,,,-100.00M,,-0.021M,,AOR,Restated
2009-12,41.01M,,1.467M,,1.467M,,14.19M,3.26M,,1.635M,,0.809M,7.024M,0.143M,3.356M,-5.46M,-1.168M,,,3.895M,,66.26M,,-11.30M,0.065M,-11.23M,-1.50M,,,-12.73M,,100.00M,100.00M,,0.00,0.00,-124.62M,-124.62M,10.24M,1.464M,-12.91M,,223.76M,40.62M,1.046M,265.42M,,,100.00M,,0.00,,AOR,Restated
2009-09,32.08M,,0.156M,,0.156M,,13.95M,2.341M,,1.993M,,2.936M,-7.294M,11.05M,,6.862M,-4.287M,,,6.327M,,59.79M,,-10.19M,0.334M,-9.854M,,,,-9.854M,,,,,-0.289M,-0.289M,-6.453M,-6.453M,1.95M,0.416M,-4.376M,,176.07M,45.56M,2.128M,223.76M,,,,,-0.289M,,AOR,Restated
2009-06,25.54M,,-0.146M,,-0.146M,,13.89M,-4.43M,,1.985M,,0.271M,38.33M,-1.914M,,-46.36M,5.455M,,,-4.49M,,32.62M,,-8.355M,0.175M,-8.18M,,,,-8.18M,,,,,,,-6.441M,-6.441M,0.152M,0.047M,-6.242M,,154.18M,18.20M,3.694M,176.07M,,,,,,,AOR,Restated
2009-03,27.82M,,-1.31M,,-1.31M,,14.90M,-4.051M,,1.717M,,-3.437M,-25.28M,13.43M,-10.66M,35.10M,10.84M,,,23.43M,,59.06M,,-11.18M,8.36M,-2.825M,4.15M,,,-2.825M,,78.88M,-0.30M,,0.00,0.00,-4.676M,-4.676M,0.367M,-1.784M,-6.393M,,106.05M,49.84M,-1.712M,154.18M,,,0.00,-0.30M,0.00,,AOR,Restated
2008-12,28.58M,,-0.361M,,-0.361M,,14.30M,7.078M,,1.81M,,-6.829M,-8.512M,6.559M,10.66M,-0.175M,-13.48M,,,-4.941M,,39.63M,,-8.832M,1.475M,-7.357M,-4.15M,,,-11.51M,,-40.50M,-40.50M,,-30.26M,-30.26M,-4.706M,-4.706M,0.298M,0.034M,-75.13M,,160.22M,-47.00M,-7.165M,106.05M,,,0.00,-40.50M,-30.26M,,,Restated
2008-09,28.79M,,-1.351M,,-1.351M,,14.38M,-0.163M,,1.955M,,-1.18M,-1.044M,1.822M,,-18.78M,15.54M,,,-2.466M,,39.96M,,-10.26M,9.499M,-0.758M,,,,-0.758M,,72.54M,72.54M,,-18.63M,-18.63M,-4.762M,-4.762M,18.65M,6.843M,74.65M,,49.04M,113.86M,-2.674M,160.22M,,,150.00M,-77.46M,-18.63M,,,Restated
2008-06,25.50M,,0.267M,,0.267M,,15.20M,3.953M,,1.888M,,-0.337M,35.29M,-21.14M,,-29.83M,-2.061M,,,-17.74M,,28.73M,,-10.62M,0.007M,-10.61M,,,,-10.61M,,-1.72M,-1.72M,,-31.58M,-31.58M,-3.513M,-3.513M,14.30M,1.413M,-21.10M,,51.87M,-2.983M,0.153M,49.04M,,,,-1.72M,-31.58M,,,Restated
2008-03,26.11M,,,,5.596M,15.28M,15.28M,7.101M,,,,2.664M,-46.26M,20.92M,,12.07M,-0.844M,6.272M,,-7.85M,,48.90M,,-17.83M,0.414M,-17.42M,,,,-17.42M,,,47.06M,3.079M,-82.41M,-79.33M,,-3.699M,,0.16M,-35.82M,,55.39M,-4.337M,0.817M,51.87M,,3.079M,,,-82.41M,,,
2007-12,21.78M,,,,-0.512M,16.02M,16.02M,-14.69M,,,,2.296M,11.76M,-5.064M,,0.617M,1.976M,7.608M,,16.89M,,41.78M,,-17.55M,4.709M,-12.84M,,,,-12.84M,,,7.335M,0.921M,-40.28M,-39.36M,,-3.798M,,0.202M,-35.62M,,61.56M,-6.687M,0.512M,55.39M,,0.921M,,,-40.28M,,,
2007-09,16.02M,,,,0.509M,15.90M,15.90M,0.134M,,,,2.554M,-1.423M,-1.375M,,-3.386M,-2.278M,6.644M,,-1.818M,,33.30M,,-11.90M,0.009M,-11.89M,,,,-11.89M,,,15.11M,2.523M,-33.24M,-30.72M,,-3.853M,,0.322M,-19.14M,,57.95M,2.269M,1.348M,61.56M,,2.523M,,,-33.24M,,,
2007-06,13.20M,,,,0.20M,15.58M,15.58M,-2.705M,,,,1.615M,45.11M,-19.38M,,-12.42M,1.685M,-23.46M,,-8.469M,,19.43M,,-9.691M,0.022M,-9.669M,,,,-9.669M,,,8.98M,8.096M,-21.24M,-13.14M,,-3.259M,,2.067M,-5.351M,,52.30M,4.406M,1.244M,57.95M,,8.096M,,,-21.24M,,,
2007-03,29.81M,,,,2.912M,15.98M,15.98M,-3.007M,,,,1.042M,-43.67M,15.43M,,14.91M,-0.309M,21.26M,,7.63M,0.00,54.37M,,-15.96M,0.248M,-15.71M,,,,-15.71M,,,-24.67M,2.251M,-0.542M,1.709M,,-3.258M,,0.487M,-25.73M,,39.01M,12.93M,0.359M,52.30M,,2.251M,,,-0.542M,,,
2006-12,21.30M,,,,-0.667M,14.60M,14.60M,0.051M,,,,3.11M,-4.473M,-5.215M,,-5.652M,2.914M,-2.425M,,-14.85M,-0.431M,23.11M,,-11.65M,2.577M,-9.07M,,,,-9.07M,,,-22.19M,4.921M,0.00,4.921M,,-3.236M,,0.889M,-19.62M,,44.91M,-5.575M,-0.321M,39.01M,,4.921M,,,0.00,,,
2006-09,16.36M,,,,1.349M,14.79M,14.79M,0.001M,,,,3.693M,3.13M,-6.843M,,-1.894M,-0.623M,-4.402M,,-10.63M,-0.627M,24.94M,,-9.004M,,-9.004M,,,,-9.004M,,,-41.25M,1.63M,-9.494M,-7.864M,,-2.593M,,0.388M,-51.32M,,79.56M,-35.39M,0.735M,44.91M,,1.63M,,,-9.494M,,,
2006-06,14.68M,,,,-0.493M,14.88M,14.88M,-7.159M,,,,2.092M,40.44M,-20.28M,,-19.39M,-18.76M,-12.69M,,-30.68M,,-6.677M,,-12.42M,,-12.42M,,,,-9.488M,,,73.45M,0.195M,-50.13M,-49.94M,,-2.679M,,0.163M,20.99M,,72.73M,4.828M,2.002M,79.56M,,0.195M,,,-50.13M,,,
2006-03,8.454M,,,,8.923M,15.81M,15.81M,-7.455M,,,,,-31.77M,10.46M,,31.03M,-5.675M,32.82M,-10.44M,26.42M,10.44M,62.59M,,-16.89M,-22.11M,-39.00M,,1.504M,,-22.55M,,,8.732M,1.449M,-19.83M,-18.38M,,-2.708M,,0.00,-12.35M,,44.65M,27.68M,0.397M,72.73M,,1.449M,,,-19.83M,,,
