,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,218.52M,,218.52M,481.48M,481.48M,86.25M,35.65M,149.46M,233.88M,55.01M,,,988.89M,0.00,54.05M,438.87M,717.99M,474.91M,94.02M,1.780B,-795.60M,984.24M,,,3.032B,,46.28M,4.063B,5.052B,,130.74M,7.415M,138.15M,51.44M,189.59M,8.984M,,,,,49.06M,49.06M,94.39M,373.84M,24.52M,1.320B,,1.320B,154.85M,154.85M,,41.56M,11.75M,18.84M,1.579B,1.953B,,2.027B,1.182B,,,0.015M,,,-121.10M,3.087B,,AOR,Restated
2018-03,201.53M,,201.53M,528.07M,528.07M,83.74M,34.90M,124.00M,205.73M,54.33M,,,989.66M,0.00,55.42M,467.06M,631.62M,609.80M,87.74M,1.852B,-841.12M,1.011B,2.434B,726.98M,3.161B,,39.39M,4.211B,5.200B,,135.87M,0.379M,136.24M,82.89M,219.13M,9.147M,,,,,31.62M,31.62M,104.46M,398.46M,24.85M,1.316B,,1.316B,159.97M,159.97M,,44.82M,11.34M,20.01M,1.585B,1.983B,,2.048B,1.146B,,,0.015M,,,11.68M,3.206B,,AOR,Restated
2017-12,283.84M,,283.84M,472.06M,472.06M,85.45M,32.67M,140.00M,219.50M,57.53M,,,1.033B,0.00,49.58M,411.17M,652.56M,471.90M,147.36M,1.733B,-748.74M,983.84M,,,3.102B,,37.88M,4.124B,5.157B,,122.11M,6.298M,128.40M,72.07M,200.48M,9.90M,,,,,77.21M,77.21M,56.53M,366.62M,25.03M,1.420B,,1.420B,156.11M,156.11M,,43.53M,11.16M,16.95M,1.673B,2.039B,,2.064B,1.098B,,,0.015M,,,-54.98M,3.107B,,AOR,Restated
2017-09,295.63M,,295.63M,449.37M,449.37M,73.96M,30.93M,158.26M,224.80M,57.44M,,,1.027B,0.00,47.21M,405.56M,669.49M,456.98M,107.08M,1.686B,-723.81M,962.52M,,,3.091B,,39.43M,4.093B,5.120B,,129.21M,10.86M,140.06M,58.89M,198.96M,10.04M,,,,,71.90M,71.90M,53.39M,367.47M,25.06M,1.445B,,1.445B,178.73M,178.73M,,44.70M,10.81M,15.62M,1.712B,2.079B,,2.082B,1.029B,,,0.015M,,,-80.06M,3.030B,,AOR,Restated
2017-06,294.84M,,294.84M,455.63M,455.63M,70.76M,26.28M,157.25M,217.43M,62.08M,,,1.030B,0.00,46.89M,400.97M,648.79M,448.56M,90.82M,1.636B,-694.01M,942.02M,,,3.048B,,35.71M,4.026B,5.056B,,125.55M,22.35M,147.90M,49.89M,197.79M,9.252M,,,,,70.40M,70.40M,52.49M,353.62M,24.75M,1.496B,,1.496B,175.52M,175.52M,,44.86M,11.79M,18.94M,1.763B,2.117B,,2.087B,988.58M,,,0.015M,,,-147.58M,2.928B,,AOR,Restated
2017-03,282.92M,,282.92M,483.45M,483.45M,65.30M,26.54M,140.56M,197.84M,53.60M,,,1.018B,0.00,46.85M,393.69M,628.17M,436.79M,77.42M,1.583B,-667.01M,915.91M,2.231B,724.89M,2.956B,,34.56M,3.907B,4.924B,,133.48M,14.64M,148.12M,68.55M,216.67M,6.633M,,,,,71.02M,71.02M,54.25M,381.58M,25.54M,1.478B,,1.478B,171.80M,171.80M,,44.72M,11.43M,10.33M,1.733B,2.114B,,2.085B,954.16M,,,0.015M,,,-240.70M,2.799B,,AOR,
2016-12,264.86M,,264.86M,443.66M,443.66M,67.10M,27.07M,151.15M,209.71M,52.11M,,,970.34M,11.13M,48.32M,417.37M,686.95M,413.10M,69.31M,1.646B,-706.59M,939.59M,,,2.942B,,35.08M,3.917B,4.887B,,122.47M,0.00,122.47M,62.85M,185.32M,9.771M,,,,,64.57M,64.57M,60.26M,350.05M,22.74M,1.507B,,1.507B,186.54M,186.54M,,38.52M,11.43M,9.848M,1.767B,2.117B,,2.083B,950.30M,,,0.015M,,,-274.56M,2.759B,,AOR,Restated
2016-09,254.35M,,254.35M,441.29M,441.29M,68.48M,23.48M,153.90M,209.94M,50.62M,,,956.20M,30.23M,39.00M,445.12M,682.14M,441.58M,100.16M,1.738B,-698.45M,1.040B,,,3.181B,,33.18M,4.254B,5.211B,,116.35M,16.28M,132.63M,56.45M,189.08M,9.12M,,,,,66.79M,66.79M,67.25M,370.35M,23.29M,1.504B,,1.504B,247.71M,247.71M,,41.09M,11.03M,10.65M,1.831B,2.201B,,2.113B,979.71M,,,0.015M,,,-94.03M,2.999B,,AOR,Restated
2016-06,242.42M,,242.42M,439.84M,439.84M,67.37M,22.19M,156.24M,209.64M,53.97M,,,945.88M,42.29M,39.05M,443.23M,705.76M,434.19M,89.69M,1.754B,-698.52M,1.056B,,,3.259B,,33.03M,4.347B,5.293B,,123.25M,14.88M,138.14M,49.31M,187.45M,8.294M,,,,,64.20M,64.20M,58.46M,359.46M,23.32M,1.552B,,1.552B,250.93M,250.93M,,43.03M,11.21M,16.11M,1.885B,2.245B,,2.161B,961.92M,,,0.015M,,,-85.72M,3.037B,,AOR,Restated
2016-03,248.84M,,248.84M,471.52M,471.52M,62.67M,19.61M,146.82M,192.79M,59.37M,,,972.52M,42.87M,39.05M,452.12M,727.10M,447.89M,79.29M,1.788B,-724.00M,1.064B,2.157B,1.123B,3.280B,,29.63M,4.374B,5.346B,,139.57M,13.68M,153.26M,78.30M,231.56M,8.266M,,,,,56.24M,56.24M,70.24M,400.61M,23.60M,1.568B,,1.568B,254.82M,254.82M,,45.60M,15.86M,15.10M,1.907B,2.308B,,2.152B,939.46M,,,0.015M,,,-68.16M,3.023B,,AOR,Restated
2015-12,231.36M,,231.36M,440.86M,440.86M,63.66M,20.74M,160.87M,208.31M,54.82M,30.36M,,965.71M,41.55M,38.72M,440.50M,689.58M,431.70M,87.66M,1.730B,-676.58M,1.053B,,,3.309B,,22.27M,4.385B,5.350B,,116.34M,0.00,116.34M,71.32M,187.66M,8.017M,,,,,42.93M,42.93M,82.13M,359.97M,29.45M,1.639B,,1.639B,276.34M,276.34M,,45.98M,14.44M,9.264M,2.000B,2.360B,,1.847B,1.203B,,0.00,0.015M,,,-74.42M,2.975B,,AOR,Restated
2015-09,162.19M,,162.19M,301.39M,301.39M,76.16M,23.88M,121.20M,183.95M,36.34M,29.14M,,713.01M,0.00,38.42M,272.41M,492.73M,298.85M,57.95M,1.160B,-655.00M,505.36M,,,1.075B,,15.69M,1.596B,2.309B,,84.08M,0.349M,84.43M,51.20M,135.63M,7.46M,,,,,36.94M,36.94M,57.82M,257.49M,20.56M,829.82M,,829.82M,77.15M,77.15M,,22.98M,0.826M,9.296M,959.80M,1.217B,,272.20M,1.198B,,319.80M,,,,-59.46M,1.091B,,AOR,Restated
2015-06,196.19M,,196.19M,291.39M,291.39M,74.28M,25.43M,120.48M,183.75M,34.76M,31.65M,,737.74M,0.00,38.00M,270.04M,486.76M,294.14M,58.77M,1.148B,-644.62M,503.08M,,,921.00M,,19.61M,1.444B,2.181B,,96.75M,6.637M,103.39M,40.21M,143.60M,7.301M,,,,,35.39M,35.39M,45.39M,264.46M,20.40M,686.17M,,686.17M,77.74M,77.74M,,23.59M,2.034M,9.476M,817.37M,1.082B,,267.91M,1.204B,,320.80M,,,,-53.87M,1.098B,,AOR,Restated
2015-03,167.69M,,167.69M,325.29M,325.29M,67.10M,22.70M,107.70M,160.82M,35.01M,31.63M,,720.43M,0.00,40.67M,263.01M,479.60M,289.78M,47.69M,1.121B,-627.69M,493.05M,592.64M,268.00M,860.64M,,23.16M,1.377B,2.097B,,99.34M,7.154M,106.49M,67.71M,174.20M,7.989M,,,,,34.91M,34.91M,39.96M,283.33M,19.04M,621.08M,,621.08M,71.90M,71.90M,,25.24M,2.014M,3.049M,740.31M,1.024B,,264.85M,1.194B,,320.34M,,,,-66.67M,1.072B,,AOR,Restated
2014-12,144.51M,,144.51M,297.02M,297.02M,74.50M,27.58M,116.88M,183.46M,31.09M,15.48M,,671.55M,0.00,35.64M,268.49M,476.47M,280.13M,33.90M,1.095B,-619.15M,475.48M,,,861.44M,,19.33M,1.356B,2.028B,,78.94M,,78.94M,60.12M,139.06M,5.872M,,,,,38.68M,38.68M,35.06M,244.44M,10.69M,610.68M,,610.68M,59.74M,59.74M,,22.33M,1.933M,3.831M,707.27M,951.71M,,257.76M,1.166B,,317.52M,,,,-32.19M,1.074B,,AOR,Restated
2014-09,147.41M,,147.41M,288.59M,288.59M,70.11M,29.90M,116.60M,184.45M,37.05M,16.04M,,673.54M,0.00,35.76M,269.90M,474.22M,274.22M,30.87M,1.085B,-610.00M,474.97M,,,869.02M,,9.883M,1.354B,2.027B,,90.44M,,90.44M,48.25M,138.69M,5.46M,,,,,41.88M,41.88M,33.35M,244.88M,10.69M,619.95M,,619.95M,58.65M,58.65M,,22.45M,1.979M,2.928M,714.67M,959.55M,,250.28M,1.142B,,313.46M,,,,-12.59M,1.066B,,AOR,Restated
2014-06,157.94M,,157.94M,284.19M,284.19M,67.66M,28.08M,115.37M,179.59M,39.05M,16.12M,,676.90M,0.00,35.58M,272.18M,469.71M,263.77M,34.13M,1.075B,-600.15M,475.22M,,,890.09M,,10.26M,1.376B,2.052B,,88.05M,,88.05M,37.61M,125.66M,5.214M,,,,,39.66M,39.66M,31.19M,231.35M,10.69M,658.74M,,658.74M,59.10M,59.10M,,23.48M,2.619M,3.105M,755.11M,986.46M,,246.12M,1.124B,,316.09M,,,,9.033M,1.063B,,AOR,Restated
2014-03,152.80M,,152.80M,313.69M,313.69M,61.20M,24.45M,104.93M,155.15M,37.03M,16.08M,,674.74M,0.00,33.60M,256.88M,461.33M,258.55M,35.02M,1.045B,-590.96M,454.41M,517.01M,230.70M,747.72M,,10.29M,1.212B,1.887B,,102.43M,0.00,102.43M,53.73M,156.16M,4.656M,,,,,39.44M,39.44M,31.42M,254.51M,10.69M,493.48M,,493.48M,59.05M,59.05M,,25.10M,2.541M,3.091M,591.41M,845.92M,,246.19M,1.112B,,324.20M,,,,4.481M,1.039B,,AOR,Restated
2013-12,157.34M,,157.34M,267.72M,267.72M,59.40M,28.60M,102.87M,159.90M,18.28M,17.68M,,620.91M,0.00,34.40M,249.16M,451.90M,255.75M,38.46M,1.030B,-584.73M,444.95M,,,700.49M,,11.46M,1.157B,1.778B,,80.32M,2.721M,83.04M,94.48M,177.53M,,,,,,,,,201.38M,11.55M,474.74M,,474.74M,45.88M,45.88M,,31.06M,1.974M,3.447M,566.68M,768.06M,,243.56M,1.086B,,325.52M,,,,3.989M,1.008B,,AOR,Restated
2013-09,163.79M,,163.79M,260.38M,260.38M,57.32M,27.92M,100.51M,155.66M,30.46M,20.40M,,630.70M,0.00,36.67M,254.89M,441.83M,248.07M,41.91M,1.023B,-575.18M,448.20M,,,699.00M,,10.61M,1.158B,1.789B,,82.15M,,82.15M,98.26M,180.41M,,,,,,,,,197.48M,11.55M,508.52M,,508.52M,44.62M,44.62M,,31.47M,1.955M,3.394M,599.74M,797.22M,,241.21M,1.070B,,324.51M,,,,3.027M,989.33M,,AOR,Restated
2013-06,165.84M,,165.84M,262.85M,262.85M,56.14M,27.55M,100.06M,155.15M,23.85M,20.38M,,628.07M,0.00,36.16M,247.95M,436.41M,238.16M,38.79M,997.47M,-561.08M,436.40M,,,699.03M,,10.67M,1.146B,1.774B,,78.46M,,78.46M,96.33M,174.79M,,,,,,,,,196.91M,11.55M,513.70M,,513.70M,44.65M,44.65M,,32.52M,2.062M,3.376M,605.98M,802.89M,,237.52M,1.052B,,311.63M,,,,-8.945M,969.20M,,AOR,Restated
2013-03,142.01M,,142.01M,275.94M,275.94M,54.46M,24.30M,96.62M,144.44M,30.36M,21.20M,,613.94M,0.00,36.36M,242.88M,428.52M,237.52M,36.03M,981.31M,-549.36M,431.95M,489.47M,214.96M,704.42M,,10.79M,1.147B,1.761B,,79.37M,,79.37M,60.02M,139.39M,3.726M,,,,,40.42M,40.42M,19.72M,218.84M,11.55M,492.29M,,492.29M,44.92M,44.92M,,33.52M,2.038M,3.339M,595.29M,814.13M,,239.65M,1.031B,,321.80M,,,,-4.088M,944.94M,,AOR,Restated
2012-12,155.89M,,155.89M,248.02M,248.02M,59.42M,26.38M,105.39M,163.58M,38.41M,16.24M,,622.13M,0.00,36.13M,238.01M,413.01M,233.56M,43.40M,964.10M,-538.56M,425.55M,,,709.95M,,7.439M,1.143B,1.765B,,78.17M,,78.17M,55.43M,133.60M,3.154M,,,,,47.76M,47.76M,22.26M,227.81M,8.786M,520.89M,,520.89M,37.92M,37.92M,,30.95M,1.074M,6.269M,617.07M,844.88M,,240.85M,1.001B,,332.78M,,,,10.10M,919.12M,,AOR,Restated
2012-09,156.61M,,156.61M,231.03M,231.03M,55.96M,28.50M,105.70M,160.54M,29.10M,28.40M,,605.69M,0.00,35.03M,236.73M,414.48M,226.62M,41.90M,954.77M,-541.01M,413.76M,,,584.33M,,28.96M,1.027B,1.633B,,70.58M,0.00,70.58M,67.76M,138.34M,3.342M,,,,,52.31M,52.31M,22.53M,231.71M,8.786M,434.34M,,434.34M,36.80M,36.80M,,32.47M,1.265M,5.022M,519.40M,751.11M,,241.60M,963.95M,,333.21M,,,,8.018M,880.36M,,AOR,Restated
2012-06,186.73M,,186.73M,245.59M,245.59M,56.88M,25.82M,108.79M,162.08M,20.65M,40.45M,,655.50M,0.00,33.96M,227.84M,409.01M,216.18M,27.17M,914.16M,-528.32M,385.85M,,,331.85M,,30.14M,747.84M,1.403B,,73.72M,5.887M,79.60M,97.49M,177.09M,3.266M,,,,,53.22M,53.22M,19.92M,270.21M,8.786M,210.00M,,210.00M,40.02M,40.02M,,33.96M,1.25M,4.99M,299.74M,569.95M,,238.70M,934.89M,,340.62M,,,,-0.824M,832.14M,,AOR,Restated
2012-03,150.82M,,150.82M,280.32M,280.32M,56.52M,25.24M,109.42M,157.71M,19.82M,43.21M,,651.88M,0.00,33.10M,230.82M,411.80M,210.90M,22.81M,909.43M,-523.02M,386.41M,305.85M,31.94M,337.78M,,29.62M,753.81M,1.406B,,83.19M,,83.19M,106.60M,189.79M,3.006M,,,,,51.41M,51.41M,21.46M,278.40M,8.786M,210.00M,,210.00M,42.70M,42.70M,,36.01M,1.263M,5.217M,304.64M,583.03M,,244.09M,914.40M,,350.72M,,,,13.63M,821.40M,,AOR,Restated
2011-12,143.79M,,143.79M,251.43M,251.43M,58.25M,23.99M,87.17M,169.41M,23.45M,43.88M,,631.95M,0.00,32.63M,221.25M,616.16M,,26.48M,896.51M,-518.35M,378.16M,,,333.82M,,32.47M,744.46M,1.376B,,70.08M,,70.08M,190.96M,261.04M,,,,,,,,,295.30M,,210.00M,,210.00M,36.14M,36.14M,,,1.14M,54.57M,300.71M,596.00M,,0.00,880.04M,241.79M,353.04M,,,,10.48M,779.26M,,AOR,Restated
2011-09,134.11M,,134.11M,236.76M,236.76M,60.76M,26.14M,98.32M,185.22M,28.16M,41.76M,,626.03M,0.00,32.65M,218.27M,605.65M,,28.39M,884.96M,-506.85M,378.11M,,,335.49M,,32.63M,746.23M,1.372B,,71.45M,,71.45M,199.84M,271.30M,,,,,,,,,301.81M,,210.00M,,210.00M,28.03M,28.03M,,,1.122M,55.41M,293.44M,595.26M,,0.00,856.21M,242.85M,343.62M,,,,20.44M,775.88M,,AOR,Restated
2011-06,156.12M,,156.12M,242.63M,242.63M,64.06M,25.09M,105.90M,195.05M,20.38M,49.42M,,663.59M,0.00,33.29M,206.87M,593.04M,,43.75M,876.95M,-499.29M,377.66M,,,343.65M,,32.01M,753.32M,1.417B,,70.17M,,70.17M,198.76M,268.92M,,,,,,,,,304.66M,,210.00M,,210.00M,27.42M,27.42M,,,1.096M,59.10M,296.51M,601.17M,,0.00,836.66M,238.35M,304.61M,,,,44.24M,814.64M,,AOR,Restated
2011-03,193.02M,,193.02M,272.25M,272.25M,64.33M,19.90M,110.79M,167.34M,16.48M,56.72M,,705.81M,0.00,30.19M,201.88M,388.04M,194.88M,40.66M,855.66M,-485.26M,370.40M,289.19M,29.62M,318.81M,,31.67M,720.88M,1.427B,,90.98M,,90.98M,174.84M,265.82M,3.61M,,,,,34.40M,34.40M,20.96M,344.75M,10.23M,210.00M,,210.00M,26.66M,26.66M,,32.43M,1.096M,4.81M,293.27M,638.02M,,241.34M,816.85M,,305.81M,,,,35.19M,787.57M,,AOR,Restated
2010-12,192.29M,,192.29M,212.64M,212.64M,55.28M,21.05M,90.92M,167.26M,14.36M,55.17M,,641.71M,0.00,29.04M,202.46M,579.18M,,36.64M,847.32M,-481.96M,365.35M,,,318.39M,,26.94M,710.68M,1.352B,,73.70M,0.688M,74.38M,239.09M,313.47M,,,,,,,,,313.47M,,210.00M,,210.00M,16.47M,16.47M,,,0.745M,61.05M,287.52M,600.99M,,0.00,786.74M,240.44M,297.73M,,,,21.22M,750.66M,,AOR,Restated
2010-09,217.40M,,217.40M,201.76M,201.76M,44.21M,21.13M,79.60M,144.93M,15.75M,47.77M,,627.61M,0.00,26.43M,196.66M,569.41M,,30.27M,822.77M,-474.63M,348.14M,,,308.75M,,9.911M,666.80M,1.294B,,65.49M,3.174M,68.67M,213.51M,282.17M,,,,,,,,,282.17M,,210.00M,,210.00M,16.18M,16.18M,,,0.753M,55.60M,281.78M,563.95M,,0.00,773.86M,237.60M,302.34M,,,,20.59M,729.70M,,AOR,Restated
2010-06,226.07M,,226.07M,185.69M,185.69M,37.74M,23.19M,71.02M,131.96M,15.27M,48.89M,,607.87M,0.00,26.12M,191.53M,558.23M,,30.65M,806.52M,-461.24M,345.29M,,,302.68M,,9.766M,657.73M,1.266B,,64.13M,14.00M,78.14M,181.71M,259.84M,,,,,,26.84M,26.84M,,286.68M,,210.00M,,210.00M,18.57M,18.57M,11.18M,33.30M,0.783M,9.987M,283.04M,569.72M,,0.00,747.04M,235.65M,287.22M,,,,-0.363M,695.11M,,AOR,Restated
2010-03,214.97M,,214.97M,214.94M,214.94M,36.17M,20.67M,64.30M,121.14M,18.44M,6.976M,,576.46M,0.00,26.23M,192.72M,552.26M,,29.61M,800.83M,-453.97M,346.86M,,,305.31M,,9.776M,661.94M,1.238B,,66.04M,,66.04M,72.11M,138.14M,,,,,,,,,197.13M,,210.00M,,210.00M,20.75M,20.75M,,,0.78M,56.03M,286.78M,483.91M,,0.00,798.81M,237.16M,295.25M,,,,12.99M,753.71M,,AOR,Restated
2009-12,265.42M,,265.42M,207.09M,207.09M,36.21M,24.77M,67.43M,128.41M,20.34M,5.472M,,626.73M,0.00,26.34M,192.96M,548.66M,,24.32M,792.28M,-444.93M,347.35M,,,311.86M,,9.755M,668.96M,1.296B,,55.70M,,55.70M,120.04M,175.74M,,,,,,,,,175.74M,,310.00M,,310.00M,18.02M,18.02M,,,0.78M,58.77M,386.79M,562.53M,,0.00,775.48M,236.01M,297.60M,,,,18.49M,732.38M,,AOR,Restated
