,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2018-03,1.31B,,,543.00M,543.00M,543.00M,112.00M,,339.00M,-78.00M,-59.00M,-154.00M,-112.00M,,,-403.00M,1.901B,-910.00M,,,0.00,-9.00M,-919.00M,-87.00M,636.00M,549.00M,,-1.166B,-1.166B,-568.00M,-568.00M,,-24.00M,-1.209B,1.275B,-227.00M,1.048B,,150.00M,-237.00M,-1.166B,,230.00M
2017-12,7.278B,,,532.00M,532.00M,532.00M,-5.581B,,-367.00M,-65.00M,-7.00M,86.00M,67.00M,,,81.00M,1.832B,-859.00M,,,0.00,33.00M,-826.00M,81.00M,0.00,81.00M,,-1.131B,-1.131B,-522.00M,-522.00M,,-6.00M,-1.578B,1.847B,-572.00M,1.275B,,450.00M,-369.00M,-1.131B,555.00M,134.00M
2017-09,1.194B,,,528.00M,528.00M,528.00M,216.00M,,-34.00M,-71.00M,-16.00M,66.00M,56.00M,,,35.00M,1.939B,-790.00M,,,0.00,94.00M,-696.00M,1.072B,0.00,1.072B,,-1.271B,-1.271B,-480.00M,-480.00M,,-3.00M,-682.00M,1.286B,561.00M,1.847B,,1.099B,-27.00M,-1.271B,580.00M,196.00M
2017-06,1.168B,,,525.00M,525.00M,525.00M,153.00M,,25.00M,-78.00M,34.00M,-269.00M,18.00M,,,-295.00M,1.576B,-778.00M,,,0.00,57.00M,-721.00M,726.00M,0.00,726.00M,,-852.00M,-852.00M,-488.00M,-488.00M,,-4.00M,-618.00M,1.049B,237.00M,1.286B,,986.00M,-260.00M,-852.00M,974.00M,133.00M
2017-03,1.072B,,,520.00M,520.00M,520.00M,145.00M,,94.00M,-21.00M,-43.00M,248.00M,-132.00M,,,52.00M,1.883B,-811.00M,,,-30.00M,-2.00M,-843.00M,16.00M,,16.00M,,-759.00M,-759.00M,-492.00M,-492.00M,,-33.00M,-1.268B,1.277B,-228.00M,1.049B,,200.00M,-184.00M,-759.00M,3.00M,203.00M
2016-12,1.144B,,,520.00M,520.00M,520.00M,312.00M,,40.00M,93.00M,-27.00M,33.00M,37.00M,,,136.00M,2.058B,-901.00M,,,270.00M,57.00M,-574.00M,-432.00M,,-432.00M,,-1.005B,-1.005B,-497.00M,-497.00M,,-182.00M,-2.116B,1.909B,-632.00M,1.277B,,100.00M,-532.00M,-1.005B,470.00M,112.00M
2016-09,1.131B,,,512.00M,512.00M,512.00M,170.00M,,-78.00M,22.00M,-30.00M,174.00M,41.00M,,,207.00M,1.942B,-1.014B,,,0.00,33.00M,-981.00M,423.00M,,423.00M,,-848.00M,-848.00M,-457.00M,-457.00M,,0.00,-882.00M,1.83B,79.00M,1.909B,,455.00M,-32.00M,-848.00M,417.00M,191.00M
2016-06,979.00M,,,504.00M,504.00M,504.00M,180.00M,,-116.00M,-18.00M,56.00M,-214.00M,-19.00M,,,-195.00M,1.352B,-903.00M,,,-330.00M,67.00M,-1.166B,-17.00M,,-17.00M,,-546.00M,-546.00M,-460.00M,-460.00M,,-6.00M,-1.029B,2.673B,-843.00M,1.83B,,150.00M,-167.00M,-546.00M,460.00M,134.00M
2016-03,979.00M,,,502.00M,502.00M,502.00M,169.00M,,-74.00M,1.00M,20.00M,613.00M,-37.00M,,,597.00M,2.173B,-687.00M,,,0.00,15.00M,-672.00M,996.00M,,996.00M,,-706.00M,-706.00M,-465.00M,-465.00M,,-44.00M,-219.00M,1.391B,1.282B,2.673B,,1.278B,-282.00M,-706.00M,,215.00M
2015-12,1.117B,,-6.00M,517.00M,517.00M,517.00M,410.00M,,149.00M,152.00M,5.00M,-708.00M,83.00M,,,-468.00M,1.719B,-1.327B,,,0.00,101.00M,-1.226B,965.00M,,965.00M,,-670.00M,-670.00M,-467.00M,-467.00M,,-8.00M,-180.00M,1.078B,313.00M,1.391B,,1.085B,-120.00M,-670.00M,651.00M,101.00M
2015-09,1.30B,,-10.00M,507.00M,507.00M,507.00M,118.00M,,-128.00M,5.00M,21.00M,24.00M,15.00M,,,65.00M,1.852B,-1.116B,,,,2.00M,-1.114B,-40.00M,,-40.00M,,-1.19B,-1.19B,-476.00M,-476.00M,,5.00M,-1.701B,2.041B,-963.00M,1.078B,,0.00,-40.00M,-1.19B,587.00M,339.00M
2015-06,1.204B,,-121.00M,497.00M,497.00M,497.00M,129.00M,,56.00M,51.00M,-18.00M,-19.00M,-70.00M,,,-56.00M,1.709B,-1.106B,,,0.00,112.00M,-994.00M,1.034B,,1.034B,,-813.00M,-813.00M,-479.00M,-479.00M,,-3.00M,-261.00M,1.587B,454.00M,2.041B,,1.097B,-63.00M,-813.00M,871.00M,-40.00M
2015-03,1.151B,,-7.00M,491.00M,491.00M,491.00M,108.00M,,39.00M,47.00M,-32.00M,342.00M,-75.00M,,,282.00M,2.064B,-1.101B,,,,-41.00M,-1.142B,813.00M,,813.00M,,-792.00M,-792.00M,-922.00M,-922.00M,,-20.00M,-921.00M,1.586B,1.00M,1.587B,,1.146B,-333.00M,-792.00M,47.00M,192.00M
2014-12,1.431B,,-54.00M,489.00M,489.00M,489.00M,606.00M,,-234.00M,24.00M,24.00M,-305.00M,46.00M,,,-211.00M,2.027B,-1.12B,,,,196.00M,-924.00M,-32.00M,,-32.00M,,-913.00M,-913.00M,-446.00M,-446.00M,,-13.00M,-1.404B,1.887B,-301.00M,1.586B,,0.00,-32.00M,-913.00M,585.00M,94.00M
2014-09,1.37B,,-4.00M,481.00M,481.00M,481.00M,134.00M,,50.00M,31.00M,3.00M,62.00M,10.00M,,,106.00M,2.137B,-1.158B,,,,11.00M,-1.147B,655.00M,,655.00M,,-862.00M,-862.00M,-410.00M,-410.00M,,-23.00M,-640.00M,1.537B,350.00M,1.887B,,693.00M,-38.00M,-862.00M,678.00M,229.00M
2014-06,1.291B,,-11.00M,470.00M,470.00M,470.00M,80.00M,,25.00M,-124.00M,-34.00M,-245.00M,2.00M,,,-401.00M,1.454B,-1.175B,,,,-98.00M,-1.273B,662.00M,,662.00M,,-806.00M,-806.00M,-413.00M,-413.00M,,56.00M,-501.00M,1.857B,-320.00M,1.537B,,900.00M,-238.00M,-806.00M,1.083B,53.00M
2014-03,1.088B,,,464.00M,464.00M,464.00M,75.00M,,-57.00M,-128.00M,-52.00M,470.00M,-93.00M,,,197.00M,1.767B,-893.00M,,,,-12.00M,-905.00M,593.00M,,593.00M,,-644.00M,-644.00M,-363.00M,-363.00M,,-23.00M,-437.00M,1.432B,425.00M,1.857B,,995.00M,-402.00M,-644.00M,146.00M,178.00M
2013-12,1.174B,,,458.00M,458.00M,458.00M,86.00M,,-44.00M,55.00M,30.00M,195.00M,20.00M,,,300.00M,1.942B,-861.00M,,,,52.00M,-809.00M,76.00M,,76.00M,,-786.00M,-786.00M,-365.00M,-365.00M,,8.00M,-1.067B,1.366B,66.00M,1.432B,,499.00M,-423.00M,-786.00M,491.00M,76.00M
2013-09,1.151B,,,447.00M,447.00M,447.00M,272.00M,,-67.00M,-1.00M,-29.00M,-128.00M,18.00M,,,-140.00M,1.663B,-905.00M,,,,48.00M,-857.00M,-78.00M,,-78.00M,,-599.00M,-599.00M,-322.00M,-322.00M,,-286.00M,-1.285B,1.845B,-479.00M,1.366B,,0.00,-78.00M,-599.00M,450.00M,201.00M
2013-06,1.106B,,,438.00M,438.00M,438.00M,181.00M,,-87.00M,44.00M,1.00M,34.00M,-23.00M,,,56.00M,1.694B,-948.00M,,,,9.00M,-939.00M,-56.00M,,-56.00M,,-459.00M,-459.00M,-323.00M,-323.00M,,11.00M,-827.00M,1.917B,-72.00M,1.845B,,0.00,-56.00M,-459.00M,676.00M,72.00M
2013-03,957.00M,,,434.00M,434.00M,434.00M,184.00M,,4.00M,-181.00M,5.00M,135.00M,-14.00M,,,-55.00M,1.524B,-782.00M,,,,-18.00M,-800.00M,861.00M,,861.00M,,-374.00M,-374.00M,-323.00M,-323.00M,,-34.00M,130.00M,1.063B,854.00M,1.917B,,944.00M,-83.00M,-374.00M,39.00M,179.00M
2012-12,1.036B,,,453.00M,453.00M,453.00M,397.00M,,-88.00M,252.00M,20.00M,-238.00M,-37.00M,,,-3.00M,1.795B,-862.00M,,,,95.00M,-767.00M,-508.00M,,-508.00M,,-295.00M,-295.00M,-286.00M,-286.00M,,-6.00M,-1.095B,1.13B,-67.00M,1.063B,,0.00,-508.00M,-295.00M,455.00M,87.00M
2012-09,1.042B,,,447.00M,447.00M,447.00M,216.00M,,-47.00M,-86.00M,-34.00M,24.00M,28.00M,,,-68.00M,1.59B,-1.06B,,,,76.00M,-984.00M,-57.00M,,-57.00M,,-346.00M,-346.00M,-285.00M,-285.00M,,11.00M,-677.00M,1.201B,-71.00M,1.13B,,0.00,-57.00M,-346.00M,331.00M,207.00M
2012-06,1.002B,,,433.00M,433.00M,433.00M,150.00M,,-42.00M,-170.00M,36.00M,4.00M,-41.00M,,,-171.00M,1.372B,-1.012B,,,,-40.00M,-1.052B,574.00M,,574.00M,,-400.00M,-400.00M,-286.00M,-286.00M,,-2.00M,-114.00M,995.00M,206.00M,1.201B,,695.00M,-121.00M,-400.00M,664.00M,69.00M
2012-03,863.00M,,,427.00M,427.00M,427.00M,124.00M,,17.00M,74.00M,-68.00M,25.00M,-58.00M,,,-27.00M,1.404B,-804.00M,,,,-26.00M,-830.00M,-72.00M,,-72.00M,,-433.00M,-433.00M,-289.00M,-289.00M,,-2.00M,-796.00M,1.217B,-222.00M,995.00M,,0.00,-72.00M,-433.00M,102.00M,198.00M
2011-12,964.00M,,111.00M,413.00M,413.00M,413.00M,265.00M,,-298.00M,23.00M,-7.00M,26.00M,42.00M,,,84.00M,1.539B,-873.00M,,85.00M,,-5.00M,-878.00M,-502.00M,,-502.00M,,-382.00M,-382.00M,,-230.00M,,23.00M,-1.091B,1.647B,-430.00M,1.217B,,0.00,-502.00M,-382.00M,625.00M,572.00M
2011-09,2.328B,,-111.00M,408.00M,408.00M,408.00M,262.00M,,-1.368B,3.00M,23.00M,108.00M,41.00M,,,175.00M,1.694B,-891.00M,,0.00,,16.00M,-875.00M,429.00M,,429.00M,,-428.00M,-428.00M,,-233.00M,,5.00M,-227.00M,1.055B,592.00M,1.647B,,486.00M,-57.00M,-428.00M,-135.00M,-315.00M
2011-06,-639.00M,,-71.00M,401.00M,401.00M,401.00M,287.00M,,1.368B,-152.00M,-48.00M,207.00M,-7.00M,,,0.00,1.346B,-774.00M,,-49.00M,,65.00M,-709.00M,-44.00M,,-44.00M,,-360.00M,-360.00M,,-188.00M,,-238.00M,-830.00M,1.248B,-193.00M,1.055B,,0.00,-44.00M,-360.00M,-12.00M,113.00M
2011-03,639.00M,,71.00M,395.00M,395.00M,395.00M,172.00M,,,-91.00M,-48.00M,54.00M,102.00M,,,17.00M,1.294B,-638.00M,,-36.00M,,-19.00M,-657.00M,-87.00M,,-87.00M,,-248.00M,-248.00M,,-186.00M,,46.00M,-475.00M,1.086B,162.00M,1.248B,,,-87.00M,-248.00M,147.00M,202.00M
2010-12,775.00M,12.00M,177.00M,380.00M,380.00M,380.00M,239.00M,,,113.00M,-30.00M,187.00M,27.00M,,,297.00M,1.385B,-796.00M,,,,-19.00M,-815.00M,-479.00M,,-479.00M,,-230.00M,-230.00M,,-164.00M,,31.00M,-842.00M,1.358B,-272.00M,1.086B,,0.00,-479.00M,-230.00M,140.00M,86.00M
2010-09,778.00M,-4.00M,-4.00M,372.00M,372.00M,372.00M,314.00M,,,-47.00M,-8.00M,-261.00M,-119.00M,,,-435.00M,1.025B,-630.00M,,0.00,,25.00M,-605.00M,446.00M,,446.00M,,-597.00M,-597.00M,,-166.00M,,-62.00M,-379.00M,1.317B,41.00M,1.358B,,494.00M,-48.00M,-597.00M,453.00M,212.00M
2010-06,711.00M,-4.00M,-205.00M,368.00M,368.00M,368.00M,65.00M,,,-32.00M,10.00M,117.00M,5.00M,,,100.00M,1.039B,-595.00M,,0.00,,22.00M,-573.00M,-354.00M,,-354.00M,,-422.00M,-422.00M,,-137.00M,,11.00M,-902.00M,1.753B,-436.00M,1.317B,,0.00,-354.00M,-422.00M,343.00M,316.00M
2010-03,516.00M,-4.00M,32.00M,367.00M,367.00M,367.00M,54.00M,,,-552.00M,-31.00M,200.00M,70.00M,,,-313.00M,656.00M,-461.00M,,0.00,,-34.00M,-495.00M,-131.00M,,-131.00M,,0.00,0.00,,-135.00M,,8.00M,-258.00M,1.85B,-97.00M,1.753B,,400.00M,-531.00M,0.00,,
2009-12,549.00M,-24.00M,-212.00M,373.00M,373.00M,373.00M,408.00M,,,61.00M,15.00M,-105.00M,-84.00M,,,-113.00M,1.005B,-546.00M,-154.00M,-154.00M,,273.00M,-427.00M,-45.00M,,-45.00M,,0.00,0.00,,-136.00M,,18.00M,-163.00M,1.435B,415.00M,1.85B,,0.00,-45.00M,0.00,179.00M,91.00M
2009-09,514.00M,-6.00M,-126.00M,363.00M,363.00M,363.00M,101.00M,,,-98.00M,17.00M,-85.00M,5.00M,,,-161.00M,691.00M,-626.00M,154.00M,270.00M,,-107.00M,-579.00M,-198.00M,,-198.00M,,0.00,0.00,,-136.00M,,1.00M,-333.00M,1.656B,-221.00M,1.435B,,0.00,-198.00M,0.00,185.00M,210.00M
2009-06,465.00M,-126.00M,-184.00M,350.00M,350.00M,350.00M,190.00M,,,-81.00M,-61.00M,115.00M,-4.00M,,,-31.00M,790.00M,-648.00M,,-103.00M,,137.00M,-511.00M,-47.00M,,-47.00M,,0.00,0.00,,-136.00M,,94.00M,-89.00M,1.466B,190.00M,1.656B,,0.00,-47.00M,0.00,29.00M,89.00M
2009-03,362.00M,-6.00M,-16.00M,341.00M,341.00M,341.00M,19.00M,,,46.00M,4.00M,-15.00M,-23.00M,,,12.00M,718.00M,-634.00M,,-113.00M,,6.00M,-628.00M,262.00M,,262.00M,,,,,-136.00M,,1.00M,127.00M,1.249B,217.00M,1.466B,,843.00M,-581.00M,,59.00M,188.00M
2008-12,658.00M,-11.00M,-70.00M,332.00M,332.00M,332.00M,220.00M,,,266.00M,119.00M,-535.00M,16.00M,,,-134.00M,1.006B,-739.00M,,-2.00M,,10.00M,-729.00M,444.00M,,444.00M,,-1.609B,-199.00M,,-137.00M,,7.00M,115.00M,857.00M,392.00M,1.249B,,917.00M,-473.00M,-1.609B,355.00M,86.00M
2008-09,703.00M,-11.00M,70.00M,348.00M,348.00M,348.00M,165.00M,,,17.00M,11.00M,-114.00M,2.00M,,,-84.00M,1.202B,-772.00M,,-79.00M,,245.00M,-527.00M,160.00M,,160.00M,,,-500.00M,,-114.00M,,25.00M,-429.00M,611.00M,246.00M,857.00M,,398.00M,-238.00M,,134.00M,162.00M
2008-06,531.00M,-19.00M,59.00M,346.00M,346.00M,346.00M,124.00M,-14.00M,-55.00M,-174.00M,-66.00M,265.00M,-15.00M,,,10.00M,1.001B,-1.495B,,-171.00M,620.00M,164.00M,-711.00M,19.00M,,19.00M,,463.00M,-447.00M,,-115.00M,-27.00M,64.00M,-506.00M,827.00M,-216.00M,611.00M,,100.00M,-81.00M,463.00M,204.00M,98.00M
2008-03,443.00M,,-11.00M,340.00M,340.00M,340.00M,36.00M,14.00M,55.00M,-71.00M,-61.00M,42.00M,48.00M,,,-42.00M,835.00M,-136.00M,,-136.00M,-620.00M,-15.00M,-771.00M,426.00M,,426.00M,,-463.00M,-463.00M,,-115.00M,27.00M,10.00M,-115.00M,878.00M,-51.00M,827.00M,,842.00M,-416.00M,-463.00M,6.00M,154.00M
2007-12,491.00M,,-60.00M,337.00M,337.00M,337.00M,136.00M,-33.00M,-33.00M,188.00M,22.00M,-100.00M,-71.00M,,,39.00M,910.00M,-658.00M,,-4.00M,,40.00M,-618.00M,-168.00M,,-168.00M,,-176.00M,-176.00M,,-92.00M,,0.00,-436.00M,1.022B,-144.00M,878.00M,,507.00M,-675.00M,-176.00M,-576.00M,-364.00M
2007-09,532.00M,,-5.00M,332.00M,332.00M,332.00M,97.00M,11.00M,11.00M,-100.00M,-30.00M,5.00M,41.00M,,,-84.00M,883.00M,-920.00M,,-179.00M,,619.00M,-301.00M,547.00M,,547.00M,,-568.00M,-568.00M,,-94.00M,,33.00M,-82.00M,522.00M,500.00M,1.022B,,580.00M,-33.00M,-568.00M,181.00M,135.00M
2007-06,446.00M,,-194.00M,327.00M,327.00M,327.00M,99.00M,22.00M,-5.00M,-60.00M,-31.00M,171.00M,0.00,,,80.00M,753.00M,-891.00M,,-304.00M,,61.00M,-830.00M,463.00M,,463.00M,-18.00M,-445.00M,-463.00M,,-95.00M,,96.00M,1.00M,598.00M,-76.00M,522.00M,-18.00M,494.00M,-31.00M,-445.00M,395.00M,229.00M
2007-03,386.00M,,,325.00M,325.00M,325.00M,,,27.00M,19.00M,-19.00M,67.00M,-74.00M,,,-7.00M,731.00M,-648.00M,,-134.00M,,-29.00M,-677.00M,-53.00M,,-53.00M,18.00M,-186.00M,-168.00M,,-83.00M,,21.00M,-283.00M,827.00M,-229.00M,598.00M,18.00M,0.00,-53.00M,-186.00M,,
2006-12,485.00M,,-161.00M,315.00M,315.00M,315.00M,92.00M,,8.00M,91.00M,32.00M,142.00M,-10.00M,-93.00M,,162.00M,901.00M,-51.00M,-89.00M,-109.00M,,-336.00M,-476.00M,-286.00M,,-286.00M,-122.00M,-17.00M,-139.00M,,-81.00M,,189.00M,-317.00M,719.00M,108.00M,827.00M,-122.00M,0.00,-286.00M,-17.00M,149.00M,93.00M
2006-09,420.00M,,-86.00M,311.00M,311.00M,311.00M,62.00M,,85.00M,-22.00M,6.00M,-2.00M,-17.00M,-11.00M,,-46.00M,746.00M,-1.054B,89.00M,-156.00M,,783.00M,-182.00M,-29.00M,,-29.00M,0.00,0.00,0.00,,-81.00M,,3.00M,-107.00M,262.00M,457.00M,719.00M,0.00,0.00,-29.00M,0.00,400.00M,399.00M
2006-06,390.00M,,,308.00M,308.00M,308.00M,81.00M,,-43.00M,-1.00M,-102.00M,-109.00M,6.00M,104.00M,,90.00M,826.00M,-968.00M,,-193.00M,,220.00M,-748.00M,-33.00M,,-33.00M,34.00M,0.00,34.00M,,-80.00M,,5.00M,-74.00M,258.00M,4.00M,262.00M,34.00M,0.00,-33.00M,0.00,,
2006-03,311.00M,,,303.00M,303.00M,303.00M,,,-15.00M,,,,,,,-192.00M,407.00M,-705.00M,,-78.00M,,69.00M,-636.00M,-309.00M,,-309.00M,88.00M,0.00,88.00M,,-80.00M,,15.00M,-286.00M,773.00M,-515.00M,258.00M,88.00M,,-309.00M,0.00,,
2005-12,296.00M,,-54.00M,300.00M,300.00M,300.00M,168.00M,,21.00M,-11.00M,46.00M,80.00M,34.00M,20.00M,,169.00M,900.00M,-1.365B,53.00M,857.00M,,883.00M,-429.00M,-37.00M,,-37.00M,-172.00M,,-172.00M,,-79.00M,,253.00M,-35.00M,337.00M,436.00M,773.00M,-172.00M,,-37.00M,,-38.00M,91.00M
2005-09,369.00M,,-44.00M,294.00M,294.00M,294.00M,-3.00M,,63.00M,-42.00M,-29.00M,28.00M,-32.00M,-46.00M,,-121.00M,558.00M,-598.00M,132.00M,-1.544B,,314.00M,-152.00M,-23.00M,,-23.00M,74.00M,,74.00M,,-79.00M,,-205.00M,-233.00M,164.00M,173.00M,337.00M,74.00M,,-23.00M,,67.00M,419.00M
2005-06,233.00M,,-36.00M,292.00M,292.00M,292.00M,119.00M,,-63.00M,-93.00M,-12.00M,84.00M,5.00M,157.00M,,141.00M,686.00M,-602.00M,-24.00M,452.00M,,-220.00M,-846.00M,-585.00M,,-585.00M,40.00M,,40.00M,,-78.00M,,215.00M,-408.00M,732.00M,-568.00M,164.00M,40.00M,,-585.00M,,-6.00M,-144.00M
2005-03,128.00M,,36.00M,289.00M,289.00M,289.00M,36.00M,,,-55.00M,-27.00M,32.00M,5.00M,7.00M,,-38.00M,451.00M,-476.00M,24.00M,-452.00M,,-168.00M,-620.00M,-54.00M,,-54.00M,58.00M,,58.00M,,-78.00M,,-2.00M,-76.00M,977.00M,-245.00M,732.00M,58.00M,,-54.00M,,6.00M,144.00M
2004-12,79.00M,,143.00M,282.00M,282.00M,282.00M,28.00M,,,45.00M,-27.00M,-13.00M,25.00M,-48.00M,,-18.00M,535.00M,-1.202B,69.00M,743.00M,,715.00M,-418.00M,584.00M,,584.00M,-54.00M,,-54.00M,,-78.00M,,-506.00M,-54.00M,914.00M,63.00M,977.00M,-54.00M,161.00M,423.00M,,-186.00M,-408.00M
2004-09,202.00M,,-53.00M,278.00M,278.00M,278.00M,83.00M,,,-21.00M,8.00M,32.00M,221.00M,22.00M,,262.00M,772.00M,-491.00M,35.00M,-456.00M,,53.00M,-403.00M,-33.00M,,-33.00M,5.00M,,5.00M,,-77.00M,,-7.00M,-112.00M,657.00M,257.00M,914.00M,5.00M,584.00M,-617.00M,,130.00M,144.00M
2004-06,158.00M,,-1.00M,277.00M,277.00M,277.00M,139.00M,,,-49.00M,-17.00M,94.00M,-112.00M,139.00M,,55.00M,628.00M,-468.00M,13.00M,-455.00M,,17.00M,-438.00M,-339.00M,,-339.00M,5.00M,,5.00M,,-78.00M,,604.00M,192.00M,275.00M,382.00M,657.00M,5.00M,,-339.00M,,-1.00M,107.00M
2004-03,165.00M,,-23.00M,274.00M,274.00M,274.00M,109.00M,,,-15.00M,-6.00M,-13.00M,-33.00M,-136.00M,,-203.00M,322.00M,-389.00M,28.00M,-361.00M,,-112.00M,-473.00M,-55.00M,,-55.00M,44.00M,,44.00M,,-77.00M,,-13.00M,-101.00M,527.00M,-252.00M,275.00M,44.00M,,-55.00M,,57.00M,157.00M
2003-12,333.00M,,-358.00M,272.00M,272.00M,272.00M,148.00M,,285.00M,42.00M,2.00M,-46.00M,-27.00M,21.00M,,-8.00M,672.00M,-452.00M,150.00M,150.00M,,-69.00M,249.00M,27.00M,,27.00M,-58.00M,,-58.00M,,-59.00M,,-527.00M,-617.00M,223.00M,304.00M,527.00M,-58.00M,,-719.00M,,,
