,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-03,273.67M,276.69M,72.94M,203.75M,17.61M,17.61M,-16.22M,,,35.08M,0.394M,-34.68M,1.632M,107.76M,95.99M,0.394M,35.08M,-34.68M,-7.937M,-34.68M,53.37M,,53.37M,,-0.805M,,52.66M,65.91M,176.97M,88.52M,88.45M,0.3079,,0.0006,0.3861,0.31,0.3075,,0.0006,0.3855,0.31,170.70M,170.96M,0.555
2017-12,418.58M,264.75M,70.19M,194.56M,18.01M,18.01M,-0.045M,,,40.20M,,-41.65M,7.604M,116.05M,78.51M,,40.20M,-41.65M,16.83M,-41.65M,53.68M,,63.42M,,-0.802M,0.00,85.14M,58.25M,184.33M,90.44M,93.88M,0.3662,,0.1317,0.3405,0.4979,0.3662,,0.1317,0.3407,0.4979,170.50M,171.27M,0.53
2017-09,202.42M,262.14M,67.34M,194.81M,15.20M,15.20M,0.00,,,33.06M,0.486M,-32.58M,3.195M,109.87M,84.94M,0.486M,33.06M,-32.58M,11.09M,-32.58M,63.45M,,63.45M,,-0.769M,3.147M,62.81M,63.36M,187.99M,91.47M,96.51M,0.35,,0.0008,0.354,0.35,0.3492,,0.0008,0.3532,0.35,170.10M,170.47M,0.53
2017-06,203.58M,261.30M,64.98M,196.33M,16.75M,16.75M,-12.40M,,,33.58M,0.277M,-33.30M,6.862M,115.84M,80.49M,0.277M,33.58M,-33.30M,-1.379M,-33.30M,45.81M,,45.81M,,-0.68M,1.125M,49.49M,53.30M,171.62M,92.23M,79.39M,0.2587,,0.0257,0.3067,0.28,0.2582,,0.0256,0.3061,0.28,170.09M,170.42M,0.53
2017-03,150.18M,196.13M,51.21M,144.92M,17.67M,17.67M,0.00,,,25.79M,0.689M,-25.10M,71.51M,149.24M,-4.32M,0.689M,25.79M,-25.10M,8.337M,-25.10M,-21.08M,0.05M,-21.13M,,-0.652M,11.86M,-21.37M,-21.18M,64.76M,60.05M,4.706M,-0.2656,,0.0033,-0.2608,-0.26,-0.2656,,0.0033,-0.2608,-0.26,126.65M,126.65M,0.5
2016-12,122.84M,159.56M,41.95M,117.61M,16.63M,16.63M,-2.831M,,,18.38M,0.257M,-18.12M,8.286M,67.52M,50.08M,0.257M,18.38M,-18.12M,5.371M,-18.12M,37.33M,,37.33M,,-0.525M,5.265M,61.13M,39.53M,98.32M,42.61M,55.71M,0.3029,,0.2335,0.3289,0.5364,0.3005,,0.2317,0.3265,0.53,104.54M,104.76M,0.5
2016-09,118.24M,152.77M,40.43M,112.34M,16.05M,16.05M,-13.94M,,,20.53M,0.389M,-20.14M,1.046M,57.80M,54.54M,0.389M,20.53M,-20.14M,-32.87M,-20.14M,1.534M,,1.534M,,-0.543M,5.266M,10.57M,34.30M,62.77M,40.71M,22.06M,-0.0412,,0.0924,0.28,0.05,-0.0412,,0.0919,0.2783,0.05,103.68M,104.26M,0.5
2016-06,116.54M,152.41M,40.48M,111.93M,16.35M,16.35M,0.00,,,22.38M,0.251M,-22.13M,2.44M,59.09M,52.84M,0.251M,22.38M,-22.13M,9.383M,-22.13M,40.10M,0.00,40.10M,,-0.568M,5.266M,40.08M,41.20M,102.78M,40.30M,62.48M,0.3508,,0.0056,0.3679,0.36,0.3488,,0.0056,0.3658,0.35,97.66M,98.22M,0.5
2016-03,116.14M,149.63M,38.56M,111.07M,16.30M,16.30M,-1.666M,,,22.20M,0.283M,-21.91M,2.306M,57.32M,53.75M,0.283M,22.20M,-21.91M,8.869M,-21.91M,40.71M,0.00,40.71M,,-0.434M,5.266M,53.14M,44.33M,101.62M,38.72M,62.90M,0.359,,0.132,0.4005,0.49,0.3576,,0.1315,0.399,0.49,97.52M,97.89M,0.5
2015-12,115.08M,146.17M,36.87M,109.30M,19.37M,19.37M,-8.30M,,,22.75M,0.778M,-21.97M,3.011M,59.96M,49.33M,0.778M,22.75M,-21.97M,-5.212M,-21.97M,22.15M,,22.15M,,-0.664M,5.265M,22.88M,27.32M,82.48M,37.58M,44.90M,0.1675,,0.0144,0.2288,0.1819,0.1675,,0.0144,0.2284,0.1819,95.32M,95.98M,0.485
2015-09,111.34M,142.07M,35.80M,106.26M,14.75M,14.75M,,,,23.23M,0.284M,-22.94M,1.88M,53.66M,52.60M,0.284M,23.23M,-22.94M,2.322M,-22.94M,31.98M,,31.98M,,-0.737M,5.266M,59.00M,33.25M,92.24M,37.03M,55.21M,0.2759,,0.2948,0.2972,0.57,0.2746,,0.2934,0.2958,0.57,94.16M,94.60M,0.485
2015-06,108.70M,141.13M,35.85M,105.28M,15.10M,15.10M,0.00,,,24.69M,0.263M,-24.42M,1.779M,53.10M,52.17M,0.263M,24.69M,-24.42M,4.872M,-24.42M,32.62M,,32.62M,,-0.534M,5.266M,37.75M,33.22M,93.54M,36.23M,57.31M,0.2849,,0.0601,0.297,0.35,0.2838,,0.0599,0.2958,0.34,94.14M,94.50M,0.485
2015-03,109.35M,140.40M,36.30M,104.10M,16.38M,16.38M,0.061M,,,24.65M,0.266M,-24.38M,1.166M,53.54M,50.56M,0.266M,24.65M,-24.38M,4.012M,-24.38M,30.19M,,30.19M,,-0.552M,5.266M,30.44M,30.57M,90.83M,35.99M,54.84M,0.2578,,0.0086,0.2678,0.27,0.2578,,0.0086,0.2678,0.27,93.84M,93.91M,0.485
2014-12,106.69M,136.16M,34.14M,102.03M,16.36M,16.36M,-1.05M,,,25.41M,0.309M,-25.10M,2.831M,56.64M,45.39M,0.309M,25.41M,-25.10M,32.42M,-25.10M,52.71M,,53.71M,,-0.409M,5.265M,78.78M,49.90M,115.57M,37.44M,78.12M,0.5128,0.0,0.272,0.4763,0.7847,0.5128,0.0,0.272,0.4763,0.7847,93.27M,93.30M,0.47
2014-09,104.77M,133.56M,32.98M,100.58M,14.46M,14.46M,0.00,,,25.52M,0.221M,-25.30M,2.062M,52.94M,47.64M,0.221M,25.52M,-25.30M,3.547M,-25.30M,25.88M,,25.88M,,-0.232M,5.266M,53.21M,27.06M,87.83M,36.43M,51.40M,0.2191,,0.2984,0.2344,0.52,0.2191,,0.2983,0.2344,0.52,92.34M,92.40M,0.47
2014-06,104.58M,134.89M,34.40M,100.50M,15.22M,15.22M,0.00,,,25.56M,0.465M,-25.09M,1.795M,53.04M,47.46M,0.465M,25.56M,-25.09M,7.109M,-25.09M,29.47M,,29.47M,,-0.413M,5.266M,30.75M,30.18M,91.05M,36.02M,55.03M,0.2568,,0.0184,0.2689,0.28,0.2568,,0.0184,0.2689,0.28,91.98M,92.02M,0.47
2014-03,102.24M,133.28M,35.30M,97.98M,14.20M,14.20M,-0.225M,,,24.85M,0.216M,-24.63M,2.173M,54.28M,43.70M,0.216M,24.85M,-24.63M,5.272M,-24.63M,24.34M,,24.34M,,-0.401M,5.266M,24.66M,25.59M,87.09M,37.90M,49.19M,0.2005,,0.0078,0.2184,0.21,0.2005,,0.0078,0.2184,0.21,92.17M,92.19M,0.47
2013-12,99.13M,126.00M,33.01M,92.99M,13.29M,13.29M,-0.032M,,,24.66M,0.542M,-24.12M,4.074M,53.06M,39.94M,0.542M,24.66M,-24.12M,5.312M,-24.12M,21.13M,,21.13M,30.96M,-0.426M,5.265M,51.59M,21.52M,81.62M,35.83M,45.79M,0.1678,0.3367,-0.0008,0.1767,0.5038,0.1673,0.3355,-0.0008,0.1761,0.502,92.09M,92.09M,0.4625
2013-09,94.89M,120.32M,30.13M,90.19M,15.00M,15.00M,-6.00M,,,24.72M,0.35M,-24.38M,0.907M,48.65M,41.54M,0.35M,24.72M,-24.38M,5.85M,-24.38M,23.02M,,23.02M,17.59M,-0.40M,5.266M,40.26M,27.43M,81.19M,33.45M,47.74M,0.19,0.19,0.0006,0.2424,0.38,0.19,0.19,0.0006,0.2424,0.38,91.98M,92.02M,0.4625
2013-06,94.04M,122.31M,31.23M,91.08M,14.97M,14.97M,0.00,,,25.70M,0.292M,-25.41M,1.579M,47.63M,43.45M,0.292M,25.70M,-25.41M,3.60M,-25.41M,21.64M,,21.64M,14.11M,-0.34M,5.265M,37.13M,22.87M,79.75M,32.41M,47.34M,0.19,0.16,0.0188,0.2071,0.35,0.19,0.16,0.0188,0.2071,0.35,91.42M,91.49M,0.4625
2013-03,94.45M,120.38M,30.37M,90.01M,17.98M,17.98M,0.00,,,25.92M,0.459M,-25.46M,1.517M,50.61M,39.40M,0.459M,25.92M,-25.46M,4.572M,-25.46M,18.51M,,18.51M,2.623M,-0.314M,5.266M,20.82M,19.04M,77.19M,32.76M,44.43M,0.14,0.03,0.0,0.1494,0.17,0.14,0.03,0.0,0.1494,0.17,90.29M,90.35M,0.4625
2012-12,87.26M,110.81M,27.37M,83.44M,15.92M,15.92M,-0.161M,,,25.34M,0.384M,-24.96M,3.591M,47.58M,35.85M,0.384M,25.34M,-24.96M,2.319M,-24.96M,13.21M,13.34M,-0.128M,-31.68M,-0.219M,5.266M,-31.91M,1.158M,70.18M,31.62M,38.56M,-0.5634,0.1506,0.0013,-0.5467,-0.4128,-0.5634,0.1502,0.0013,-0.5467,-0.4128,90.05M,90.07M,0.4625
2012-09,91.20M,115.59M,28.69M,86.90M,15.64M,15.64M,-1.999M,,,25.47M,0.379M,-25.09M,1.15M,45.32M,41.58M,0.379M,25.47M,-25.09M,1.782M,-25.09M,18.27M,0.49M,17.78M,1.811M,-0.251M,7.932M,19.57M,21.05M,73.89M,30.16M,43.74M,0.11,0.02,0.0025,0.1493,0.13,0.11,0.02,0.0025,0.1493,0.13,89.59M,89.66M,0.4625
2012-06,97.03M,126.76M,31.22M,95.54M,14.02M,14.02M,-19.01M,,,26.38M,0.377M,-26.00M,1.111M,46.87M,48.68M,0.377M,26.38M,-26.00M,-11.02M,-26.00M,11.65M,-0.84M,12.49M,-1.123M,-0.255M,5.396M,11.09M,26.42M,71.16M,33.13M,38.03M,0.07,-0.01,-0.0002,0.2285,0.06,0.07,-0.01,-0.0002,0.2284,0.06,89.49M,89.54M,0.4625
2012-03,99.70M,126.24M,33.63M,92.61M,16.12M,16.12M,,,,27.12M,0.535M,-26.59M,1.358M,49.96M,42.65M,0.535M,27.12M,-26.59M,2.124M,-26.59M,18.19M,0.231M,17.96M,6.942M,0.383M,13.94M,27.12M,19.17M,78.24M,32.93M,45.31M,0.07,0.07,0.0205,0.0793,0.14,0.07,0.07,0.0205,0.0793,0.14,89.50M,89.53M,0.4625
2011-12,-7.356M,99.10M,66.71M,32.39M,,12.32M,-4.709M,,,22.51M,0.64M,-21.87M,2.386M,-3.679M,36.07M,0.64M,22.51M,-21.87M,-4.75M,-21.87M,9.449M,,1.667M,10.11M,-1.122M,4.919M,13.06M,3.606M,65.20M,33.24M,31.96M,-0.03,0.12,,0.0042,0.09,-0.03,0.12,,0.0042,0.09,89.56M,89.56M,0.4625
2011-09,123.02M,123.02M,17.69M,105.33M,,11.67M,-8.645M,,13.18M,31.48M,0.613M,-30.87M,2.194M,59.54M,45.78M,0.613M,31.48M,-30.87M,-8.645M,-30.87M,6.272M,,11.10M,3.444M,-1.112M,4.919M,13.43M,15.60M,71.02M,33.27M,37.75M,0.05,0.04,,0.1128,0.09,0.05,0.04,,0.1128,0.09,89.51M,89.52M,0.4625
2011-06,124.64M,124.64M,17.23M,107.41M,,15.18M,0.00,,13.71M,31.15M,0.587M,-30.56M,2.255M,62.36M,45.05M,0.587M,31.15M,-30.56M,0.143M,-30.56M,14.63M,0.00,17.32M,1.621M,-1.157M,4.919M,17.78M,16.02M,77.84M,32.06M,45.78M,0.12,0.02,,0.1184,0.14,0.12,0.02,,0.1184,0.14,89.07M,89.12M,0.4625
2011-03,124.33M,124.33M,18.98M,105.34M,,16.95M,1.066M,,14.36M,31.47M,0.601M,-30.86M,,65.81M,39.54M,0.601M,31.47M,-30.86M,1.066M,-30.86M,9.736M,0.00,7.011M,1.119M,-1.026M,4.919M,7.104M,4.919M,76.39M,35.19M,41.20M,0.01,0.01,,-0.0028,0.02,0.01,0.01,,-0.0026,0.02,83.10M,84.79M,0.4625
2010-12,-3.031M,103.66M,68.38M,35.28M,,15.77M,-22.13M,,,28.39M,0.649M,-27.74M,,3.241M,32.04M,0.649M,28.39M,-27.74M,-40.02M,-27.74M,-35.73M,,-34.39M,1.379M,-0.965M,4.919M,-32.98M,-8.212M,23.28M,30.62M,-7.341M,-0.49,0.02,,-0.1558,-0.47,-0.49,0.02,,-0.1643,-0.47,81.22M,83.34M,0.4625
2010-09,120.79M,120.79M,17.15M,103.65M,,17.76M,-0.503M,0.248M,13.79M,32.65M,0.614M,-32.04M,,61.98M,41.67M,0.614M,32.65M,-32.04M,1.838M,-32.04M,11.30M,,13.40M,0.474M,-1.06M,4.919M,12.81M,11.14M,74.43M,30.48M,43.95M,0.09,0.01,,0.0753,0.1,0.09,0.0,,0.0755,0.09,81.17M,82.58M,0.4625
2010-06,121.25M,121.25M,17.22M,104.03M,,12.66M,-2.294M,0.063M,14.38M,31.28M,0.64M,-30.64M,,58.49M,45.54M,0.64M,31.28M,-30.64M,-2.873M,-30.64M,12.03M,,13.81M,-0.108M,-1.037M,4.919M,12.67M,14.64M,74.80M,31.50M,43.30M,0.09,0.0,,0.113,0.09,0.09,0.0,,0.1126,0.09,81.05M,82.58M,0.4625
2010-03,124.08M,124.08M,17.60M,106.48M,,15.32M,0.798M,2.339M,14.49M,29.80M,0.675M,-29.13M,,63.38M,43.10M,0.675M,29.80M,-29.13M,0.455M,-29.13M,14.43M,,10.54M,6.903M,-1.121M,4.919M,16.32M,9.119M,75.56M,31.33M,44.23M,0.05,0.09,,0.0463,0.14,0.05,0.09,,0.0464,0.14,80.91M,82.00M,0.4625
2009-12,121.34M,121.34M,26.70M,94.64M,,16.81M,16.57M,1.132M,11.34M,30.06M,0.904M,-29.16M,,54.48M,40.16M,0.904M,30.06M,-29.16M,15.99M,-29.16M,,,27.01M,4.43M,-1.191M,4.919M,30.25M,15.43M,-10.10M,30.21M,-40.31M,0.29,0.06,,0.1609,0.35,0.29,0.06,,0.1613,0.35,80.51M,80.78M,0.4625
2009-09,132.32M,132.32M,16.36M,115.96M,,12.15M,-95.15M,2.333M,14.26M,29.05M,1.133M,-27.92M,3.357M,61.53M,54.44M,1.133M,29.05M,-27.92M,-97.86M,-27.92M,,,-73.43M,-5.185M,-0.562M,4.919M,-79.17M,-10.38M,84.25M,29.81M,54.44M,-0.99,-0.06,,-0.1942,-1.05,-0.99,-0.06,,-0.1942,-1.05,79.93M,79.93M,0.4625
2009-06,115.29M,115.29M,15.40M,99.90M,,9.292M,-2.369M,4.731M,14.00M,26.46M,0.823M,-25.64M,0.929M,58.58M,41.32M,0.823M,26.46M,-25.64M,-2.369M,-25.64M,,,-12.90M,1.617M,-0.976M,4.919M,-12.26M,-12.34M,71.20M,29.88M,41.32M,-0.25,0.02,,-0.23,-0.23,-0.25,0.02,,-0.23,-0.23,77.11M,77.11M,0.4625
2009-03,119.71M,119.71M,15.79M,103.92M,,15.88M,0.00,0.501M,14.15M,27.42M,0.906M,-26.52M,0.288M,58.67M,45.25M,0.906M,27.42M,-26.52M,0.00,-26.52M,,,20.63M,5.082M,-1.231M,4.919M,24.48M,19.40M,73.33M,28.08M,45.25M,0.21,0.07,,0.21,0.28,0.21,0.07,,0.21,0.28,69.67M,69.67M,0.725
2008-12,136.29M,136.29M,29.44M,106.86M,,12.72M,-26.92M,1.082M,11.52M,25.86M,1.751M,-24.11M,,44.55M,62.31M,1.751M,25.86M,-24.11M,-26.92M,-24.11M,,,11.00M,9.096M,-1.151M,4.919M,18.94M,27.34M,85.66M,29.78M,55.88M,0.08,0.12,,0.3297,0.2,0.08,0.12,,0.3297,0.2,70.07M,70.07M,0.725
2008-09,121.29M,121.29M,15.00M,106.30M,,9.494M,13.57M,0.00,12.51M,24.09M,1.408M,-22.68M,5.611M,54.44M,51.85M,1.408M,24.09M,-22.68M,13.57M,-22.68M,,,44.56M,5.64M,-1.379M,4.919M,48.82M,34.36M,78.70M,26.85M,51.85M,0.55,0.08,,0.4231,0.63,0.55,0.08,,0.4233,0.63,69.52M,69.61M,0.725
2008-06,120.92M,120.92M,14.53M,106.39M,,13.15M,0.00,0.053M,12.07M,24.11M,0.657M,-23.45M,0.669M,52.24M,54.15M,0.657M,24.11M,-23.45M,,-23.45M,,,31.82M,6.365M,-1.401M,4.919M,36.78M,30.42M,80.45M,26.25M,54.15M,0.36,0.09,,0.36,0.45,0.36,0.09,,0.36,0.45,69.40M,69.55M,0.725
2008-03,115.50M,115.50M,14.73M,100.78M,,14.12M,2.218M,,12.23M,23.42M,0.88M,-22.54M,0.796M,51.69M,49.08M,0.88M,23.42M,-22.54M,2.218M,-22.54M,,,31.40M,1.641M,-1.401M,4.919M,31.64M,28.56M,74.06M,24.97M,49.08M,0.36,0.02,,0.3392,0.38,0.36,0.02,,0.3392,0.38,69.32M,69.41M,0.725
2007-12,110.82M,110.82M,,,,13.22M,43.26M,,9.551M,19.80M,,-22.17M,-32.26M,13.85M,42.73M,,19.80M,-22.17M,43.26M,-22.17M,,,48.54M,6.945M,-1.50M,4.918M,55.48M,20.42M,66.40M,23.67M,42.73M,0.63,0.09,,0.2234,0.72,0.63,0.09,,0.2242,0.72,69.16M,69.29M,0.66
2007-09,114.70M,114.70M,,,,12.16M,5.492M,,11.38M,21.36M,0.84M,-20.52M,15.05M,62.38M,52.32M,0.84M,21.36M,-20.52M,5.492M,-20.52M,,,37.54M,4.361M,-1.44M,4.919M,41.90M,33.97M,76.70M,24.37M,52.32M,0.47,0.06,,0.4183,0.53,0.47,0.06,,0.4185,0.53,69.11M,69.30M,0.66
2007-06,107.84M,107.84M,,,12.91M,12.91M,-3.449M,,,,,20.31M,25.98M,60.68M,47.15M,,,20.31M,-3.449M,20.31M,,,29.65M,19.63M,-1.421M,4.919M,49.28M,31.89M,69.18M,22.02M,47.15M,0.35,0.29,,0.3825,0.64,0.35,0.29,,0.3824,0.64,68.92M,69.24M,0.66
2007-03,106.41M,106.41M,,,,12.30M,-25.64M,,,,,,24.80M,58.55M,47.86M,,,,-25.64M,,,,56.16M,0.831M,-1.748M,4.919M,56.99M,72.83M,69.38M,21.52M,47.86M,0.74,0.01,,0.9801,0.75,0.74,0.01,,0.9801,0.75,69.43M,69.43M,0.66
2006-12,109.16M,109.16M,,,,13.10M,-24.91M,,,,,,37.61M,72.46M,36.70M,,,,-24.91M,,,,41.26M,25.12M,-1.424M,34.43M,66.38M,56.21M,58.96M,22.26M,36.70M,0.53,0.37,,0.7489,0.9,0.53,0.36,,0.7462,0.89,68.28M,69.14M,0.595
2006-09,102.62M,102.62M,,,10.76M,10.76M,-15.41M,,,,,,21.98M,54.13M,48.49M,,,,-15.41M,,,,42.85M,1.464M,-1.466M,-4.919M,44.31M,52.10M,70.74M,22.25M,48.49M,0.55,0.02,,0.6838,0.57,0.55,0.02,,0.6838,0.57,69.11M,69.11M,0.595
2006-06,105.40M,105.40M,,,10.83M,10.83M,-9.593M,,,,,,24.69M,56.33M,49.07M,,,,-9.593M,,,,32.79M,4.257M,-5.658M,4.919M,37.05M,38.55M,70.82M,21.75M,49.07M,0.4,0.07,,0.4842,0.47,0.4,0.07,,0.4842,0.47,68.36M,68.36M,0.595
2006-03,99.81M,99.81M,,,,10.80M,-15.68M,,,,,,25.46M,56.48M,43.32M,,,,-15.68M,,,,38.46M,32.32M,-2.083M,4.919M,70.78M,47.87M,64.47M,21.15M,43.32M,0.49,0.48,,0.6286,0.97,0.49,0.48,,0.6286,0.97,67.89M,67.89M,0.595
2005-12,76.17M,91.73M,,,10.61M,10.61M,8.809M,,,,,,-133.17M,50.36M,41.38M,,,,-5.081M,,,,20.31M,28.04M,-1.344M,4.919M,48.36M,15.03M,62.21M,20.84M,41.38M,0.23,0.42,,0.1514,0.65,0.22,0.42,,0.1427,0.64,67.26M,68.38M,0.55
2005-09,94.69M,90.31M,,,9.148M,9.148M,-7.502M,,-51.58M,,,,74.31M,51.58M,38.72M,,,,-3.751M,,,,16.46M,15.60M,-3.284M,4.50M,32.06M,18.72M,59.44M,20.72M,38.72M,0.18,0.24,,0.2143,0.42,0.18,0.23,,0.2135,0.41,65.63M,67.23M,0.55
2005-06,111.99M,107.83M,,,9.402M,9.402M,-7.196M,,-52.44M,,,,75.31M,52.44M,55.40M,,,,-3.598M,,,,34.12M,9.756M,-2.922M,3.663M,43.88M,36.28M,76.02M,20.63M,55.40M,0.48,0.16,,0.5144,0.64,0.47,0.16,,0.5038,0.63,62.84M,63.84M,0.55
2005-03,102.97M,95.94M,,,8.652M,8.652M,-13.08M,,-52.28M,,,,76.29M,52.28M,43.66M,,,,-6.542M,,,,27.02M,11.33M,-2.795M,3.662M,38.35M,30.95M,65.93M,22.27M,43.66M,0.37,0.18,,0.4322,0.55,0.37,0.18,,0.4322,0.55,63.07M,63.07M,0.55
2004-12,52.36M,71.54M,,,9.945M,9.945M,,,,,,,-52.84M,47.32M,24.23M,,,,,,,,33.19M,16.12M,,3.662M,49.31M,33.18M,48.08M,23.86M,24.23M,0.4447,0.2384,,0.4447,0.6831,0.4447,0.17,,0.4447,0.6831,60.78M,63.23M,0.53
2004-09,104.51M,94.70M,,,7.232M,7.232M,-17.86M,,-51.31M,,,,76.17M,51.31M,43.39M,,,,-8.929M,,,,24.56M,13.19M,-7.924M,2.177M,37.75M,29.92M,63.89M,20.51M,43.39M,0.36,0.22,,0.4474,0.58,0.36,0.22,,0.4474,0.58,61.33M,61.33M,0.53
2004-06,96.11M,91.56M,,,7.221M,7.221M,-7.334M,,-49.15M,,,,71.69M,49.15M,42.41M,,,,-3.667M,,,,21.93M,4.522M,-5.538M,1.397M,26.46M,24.13M,62.33M,19.92M,42.41M,0.34,0.07,,0.376,0.41,0.34,0.07,,0.376,0.41,61.12M,61.12M,0.53
