,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2015-06,38.28M,,-6.023M,-6.757M,-0.05M,-12.83M,,,36.23M,36.23M,,,0.00,,2.72M,2.196M,0.257M,,1.097M,,,-5.408M,-4.054M,72.96M,,,,,0.00,-2.554M,,-21.62M,-5.642M,,-5.642M,-0.037M,,-0.037M,,,,-45.35M,-5.265M,-50.62M,,-4.415M,-60.71M,36.49M,-9.375M,27.11M,-0.037M,46.05M,-51.69M,,0.00,35.49M
2015-03,30.99M,,-1.437M,-5.567M,0.631M,-6.434M,,,35.99M,35.99M,,,0.00,,2.90M,1.926M,-9.704M,,-13.10M,,,-0.414M,-23.22M,54.46M,,,,,-1.344M,-0.858M,,-55.09M,-25.91M,,-25.91M,0.992M,,0.992M,,,,-45.27M,-5.266M,-50.54M,,-1.204M,-76.66M,113.78M,-77.29M,36.49M,0.992M,41.35M,-67.26M,,0.697M,17.96M
2014-12,79.19M,,-34.02M,-27.19M,0.776M,-60.42M,,,37.44M,37.44M,,,1.032M,,2.777M,1.64M,-5.244M,,-8.817M,,,-0.42M,-14.48M,59.93M,,,,,-17.56M,21.98M,,-23.99M,-26.36M,,-26.36M,53.15M,,53.15M,,0.00,0.00,-43.56M,-5.265M,-48.82M,,-0.849M,-22.87M,100.71M,13.07M,113.78M,53.15M,0.714M,-27.07M,0.00,2.075M,36.85M
2014-09,53.44M,,-26.96M,-5.713M,-0.22M,-32.89M,,,36.43M,36.43M,,,0.00,,2.351M,1.803M,5.902M,,16.98M,,,2.929M,25.81M,98.21M,,,,,-1.725M,-0.029M,,-23.66M,-7.157M,,-7.157M,49.30M,,49.30M,,0.00,0.00,-43.12M,-5.266M,-48.38M,,-4.339M,-10.58M,36.74M,63.97M,100.71M,49.30M,21.37M,-28.53M,0.00,0.094M,18.49M
2014-06,31.16M,,2.307M,-8.832M,0.63M,-5.895M,,,36.02M,36.02M,,,0.00,,2.262M,1.949M,-5.093M,,2.894M,,,-6.024M,-8.223M,67.33M,,,,,-2.516M,-14.37M,,-45.58M,31.05M,,31.05M,0.00,,0.00,,0.00,0.00,-42.98M,-5.265M,-48.25M,,-2.977M,-20.17M,35.16M,1.577M,36.74M,0.00,424.36M,-393.31M,0.00,,35.74M
2014-03,25.06M,,-0.921M,-7.808M,0.20M,-8.529M,,,37.90M,37.90M,,,0.225M,,2.272M,2.028M,-8.334M,,-4.858M,,,-2.182M,-15.37M,52.26M,,,,,-1.771M,-0.121M,,-117.05M,68.28M,,68.28M,0.00,,0.00,,-0.30M,-0.30M,-42.95M,-5.266M,-48.21M,,-0.504M,19.26M,80.68M,-45.52M,35.16M,0.00,70.00M,-1.719M,-0.30M,,18.34M
2013-12,52.02M,,-31.70M,-6.568M,1.271M,-36.96M,,,35.83M,35.83M,,,0.00,,2.964M,2.232M,-4.451M,,-8.809M,,,-3.263M,-16.52M,50.17M,,,,,-0.039M,-0.09M,21.34M,20.62M,-9.599M,,-9.599M,0.00,,0.00,,,,-42.24M,-5.265M,-47.51M,,4.301M,-52.81M,62.70M,17.98M,80.68M,0.00,28.10M,-37.70M,,,34.70M
2013-09,40.66M,,-17.09M,-13.26M,0.972M,-29.38M,,,33.45M,33.45M,,,6.00M,,3.068M,2.486M,-3.11M,,20.16M,,,7.484M,24.54M,91.23M,,,,,-2.784M,-0.016M,-0.01M,-8.697M,-27.55M,,-27.55M,1.475M,,1.475M,,0.00,0.00,-42.23M,-10.53M,-52.76M,,-0.134M,-78.97M,59.14M,3.559M,62.70M,1.475M,5.00M,-32.55M,0.00,,17.94M
2013-06,37.47M,,-13.10M,-6.012M,-0.028M,-19.14M,,,32.41M,32.41M,,,0.00,,3.135M,2.556M,1.162M,,3.512M,,,-3.562M,1.112M,68.05M,,,,,-4.00M,-0.027M,2.001M,8.347M,-38.18M,,-38.18M,46.67M,,46.67M,,0.00,0.00,-42.01M,-5.265M,-47.27M,,-0.874M,-39.66M,22.40M,36.74M,59.14M,46.67M,40.00M,-78.18M,0.00,,35.65M
2013-03,21.13M,,-1.084M,-5.876M,1.079M,-5.881M,,,32.76M,32.76M,,,0.00,,3.024M,2.577M,-4.102M,,-15.54M,,,-6.553M,-26.20M,41.28M,,,,,-4.06M,-5.02M,4.024M,-30.09M,-18.81M,,-18.81M,51.64M,,51.64M,,0.00,0.00,-41.29M,0.00,-41.29M,,-2.684M,-11.14M,22.35M,0.053M,22.40M,51.64M,45.25M,-64.06M,0.00,,19.02M
2012-12,-31.69M,,-13.59M,-4.634M,0.229M,-17.99M,,,31.62M,31.62M,,,50.16M,,2.474M,2.764M,-0.286M,,-6.74M,,,0.868M,-6.158M,61.16M,,,,,-13.08M,-0.118M,0.027M,-111.74M,102.89M,,102.89M,-0.136M,0.00,-0.136M,0.395M,0.00,0.395M,-41.27M,-9.881M,-51.15M,,-0.426M,51.58M,21.35M,0.999M,22.35M,0.259M,215.00M,-112.11M,0.00,,35.14M
2012-09,19.82M,,-1.026M,-5.403M,0.767M,-4.81M,,,30.16M,30.16M,,,1.147M,,2.429M,2.928M,6.833M,,24.13M,,,-8.816M,22.14M,84.78M,,,,,0.00,0.00,0.087M,188.19M,-242.97M,,-242.97M,21.68M,0.00,21.68M,72.12M,-75.00M,-2.881M,-41.06M,-6.43M,-47.49M,,-2.986M,-274.66M,23.03M,-1.68M,21.35M,93.80M,85.00M,-327.97M,-75.00M,,18.84M
2012-06,11.35M,,-1.844M,-10.80M,-0.404M,-13.05M,,,33.13M,33.13M,,,23.51M,,2.456M,2.979M,3.114M,,2.133M,,,-6.578M,-1.331M,68.06M,,,,,-39.21M,0.464M,0.018M,-54.15M,28.21M,,28.21M,0.00,0.00,0.00,-0.064M,0.00,-0.064M,-41.06M,-6.943M,-48.00M,,1.854M,-18.00M,27.12M,-4.085M,23.03M,-0.064M,65.00M,-36.79M,0.00,,36.05M
2012-03,26.74M,,-9.671M,-2.966M,1.477M,-11.16M,,,32.93M,32.93M,,,,,2.447M,3.045M,-9.563M,,-8.526M,,,-1.257M,-19.35M,43.21M,,,,,-14.38M,-0.199M,-0.684M,-18.68M,40.90M,,40.90M,0.339M,-0.004M,0.335M,241.45M,-248.12M,-6.675M,-41.04M,-0.404M,-41.44M,,-1.935M,-8.814M,11.40M,15.71M,27.12M,241.79M,385.00M,-344.10M,-248.13M,,25.85M
2011-12,14.18M,2.321M,-9.481M,-39.41M,,-48.71M,,,33.24M,33.24M,,-8.501M,9.184M,,2.461M,14.60M,-10.02M,4.741M,-13.00M,,,-9.304M,-27.58M,34.66M,127.82M,,127.82M,,,26.79M,-0.212M,77.99M,-62.01M,,-62.01M,0.014M,-0.013M,0.001M,0.00,0.00,0.00,-40.98M,-5.85M,-46.84M,,-6.332M,-115.18M,13.76M,-2.529M,11.40M,0.014M,70.08M,-132.09M,-0.013M,,
2011-09,14.54M,-2.321M,2.276M,6.86M,,6.815M,,,33.27M,33.27M,,2.751M,6.699M,0.00,2.353M,-4.928M,-2.582M,2.092M,12.33M,,,7.944M,19.78M,81.28M,-90.34M,,-90.34M,,,10.28M,0.036M,-80.03M,47.70M,,47.70M,0.018M,0.00,0.018M,0.00,0.00,0.00,-40.82M,-5.85M,-46.67M,,-0.164M,0.885M,11.62M,2.137M,13.76M,0.018M,65.07M,-17.37M,0.00,,
2011-06,18.94M,0.00,-0.151M,7.449M,,7.298M,,,32.06M,32.06M,,2.888M,0.00,0.00,2.509M,0.431M,-1.457M,-6.44M,0.704M,,,-4.542M,-11.74M,52.38M,-24.35M,,-24.35M,,,-44.78M,0.047M,-69.08M,14.04M,,14.04M,1.481M,0.00,1.481M,0.00,0.00,0.00,-41.04M,-5.85M,-46.89M,,-0.341M,-31.70M,60.01M,-48.39M,11.62M,1.481M,145.96M,-131.92M,0.00,,
2011-03,8.13M,0.00,-0.752M,15.46M,,14.71M,,,35.19M,35.19M,,2.862M,,0.00,2.501M,1.293M,6.306M,-0.393M,-17.92M,,,-3.366M,-15.38M,49.31M,-13.14M,,-13.14M,,,6.479M,0.051M,-6.605M,-172.11M,,-172.11M,215.98M,0.00,215.98M,0.00,0.00,0.00,-37.31M,-5.85M,-43.16M,,-0.292M,0.422M,16.89M,43.12M,60.01M,215.98M,175.83M,-347.94M,0.00,,
2010-12,-32.02M,7.836M,-48.40M,-19.37M,,-50.63M,,,30.62M,30.62M,,-4.449M,26.62M,2.118M,1.803M,4.369M,0.568M,2.775M,-0.37M,,,-11.08M,-8.112M,8.007M,50.85M,,50.85M,,,117.43M,0.721M,-15.59M,151.03M,-110.00M,41.03M,0.00,,0.00,,,,-36.84M,-5.85M,-42.69M,,-8.922M,-10.58M,38.84M,-18.16M,17.06M,0.00,280.84M,-239.81M,,,
2010-09,13.87M,-0.486M,-1.111M,8.452M,,6.855M,,,30.48M,30.48M,,2.041M,0.00,-2.635M,1.613M,3.243M,-7.166M,-6.943M,7.719M,,,-3.64M,-10.03M,45.59M,-27.86M,,-27.86M,,,-22.32M,0.056M,-50.12M,-130.42M,110.00M,-20.42M,0.63M,,0.63M,,,,-37.26M,-5.85M,-43.11M,,-0.152M,-63.06M,106.43M,-67.60M,38.84M,0.63M,111.50M,-131.92M,,,
2010-06,13.70M,0.256M,-25.94M,11.55M,,-14.13M,,,31.50M,31.50M,,1.339M,,0.732M,1.604M,-1.823M,-3.776M,0.987M,13.12M,,,-2.56M,7.768M,40.78M,-15.51M,,-15.51M,,,-122.56M,0.062M,-138.01M,127.38M,0.00,127.38M,0.00,,0.00,,,,-37.30M,-5.85M,-43.15M,,-0.106M,84.12M,119.54M,-13.10M,106.43M,0.00,260.99M,-133.61M,,,
2010-03,17.44M,-7.606M,-0.061M,12.25M,,4.587M,,,31.33M,31.33M,,1.069M,,-0.215M,1.595M,1.583M,6.829M,3.181M,-21.75M,,,-3.844M,-15.58M,44.09M,-7.473M,,-7.473M,,,26.69M,0.044M,19.26M,0.086M,0.00,0.086M,0.801M,,0.801M,,,,-37.25M,-5.85M,-43.10M,,-1.076M,-43.29M,99.48M,20.06M,119.54M,0.801M,1.335M,-1.249M,,,
2009-12,31.44M,-21.29M,,31.23M,,-7.226M,,,30.21M,30.21M,,1.549M,0.00,,1.223M,100.01M,-7.883M,,2.802M,,,-0.68M,-22.25M,31.01M,-22.70M,,-22.70M,,,158.63M,,135.93M,-237.48M,,-237.48M,34.93M,,34.93M,,,,-35.91M,-5.85M,-41.76M,,3.05M,-241.26M,173.80M,-74.32M,99.48M,34.93M,135.48M,-372.96M,,,
2009-09,-78.61M,0.00,,2.084M,,2.084M,,,29.81M,29.81M,,1.127M,102.03M,,1.446M,13.22M,-9.417M,,-0.737M,,,-1.499M,-11.65M,59.46M,-27.61M,,-27.61M,,,22.22M,,-5.389M,39.34M,,39.34M,0.001M,,0.001M,,,,-36.94M,-5.85M,-42.79M,,-3.623M,-7.065M,126.79M,47.01M,173.80M,0.001M,-28.49M,67.83M,,,
2009-06,-11.29M,-0.019M,,26.21M,,26.19M,,,29.88M,29.88M,,0.638M,2.369M,,0.962M,-6.472M,23.00M,,3.237M,,,-4.919M,21.32M,63.60M,-46.59M,,-46.59M,,,8.161M,,-38.43M,-190.02M,,-190.02M,310.87M,,310.87M,,,,-36.76M,-5.85M,-42.61M,,-1.289M,76.95M,24.67M,102.12M,126.79M,310.87M,65.00M,-255.02M,,,-33.69M
2009-03,25.71M,-3.886M,,-1.902M,,-5.788M,,,28.08M,28.08M,,0.641M,,,1.037M,9.554M,7.045M,,-23.34M,,,-3.155M,-19.45M,39.79M,-46.09M,,-46.09M,,,-0.296M,,-46.39M,66.97M,,66.97M,0.002M,,0.002M,,,,-50.07M,-5.85M,-55.92M,,-1.322M,9.732M,21.53M,3.136M,24.67M,0.002M,70.00M,-3.029M,,,33.69M
2008-12,20.10M,-11.45M,,31.01M,,19.56M,-79.93M,1.861M,29.78M,29.78M,,-1.254M,33.03M,,-2.883M,16.78M,-31.27M,,-3.883M,,,6.911M,-41.08M,32.50M,-46.33M,,-46.33M,,,67.28M,,20.96M,-5.019M,,-5.019M,0.003M,,0.003M,,,,-36.22M,-5.849M,-42.07M,,-10.62M,-57.70M,25.78M,-4.244M,21.53M,0.003M,0.00,-5.019M,,,
2008-09,50.20M,-18.63M,,-1.817M,,-20.45M,27.38M,-0.531M,26.85M,26.85M,,1.115M,1.112M,,1.733M,7.173M,-2.317M,,6.414M,,,0.891M,4.988M,72.72M,-114.85M,,-114.85M,,,142.62M,,27.77M,-56.54M,,-56.54M,0.00,,0.00,,,,-52.73M,-5.851M,-58.58M,,-1.19M,-116.32M,41.60M,-15.83M,25.78M,0.00,-37.00M,-19.54M,,,
2008-06,39.59M,-4.824M,,-1.122M,,-5.946M,27.03M,-0.782M,26.25M,26.25M,,1.07M,0.00,,3.551M,7.454M,-4.445M,,15.25M,,,-9.006M,1.80M,73.77M,-120.50M,,-120.50M,,,39.34M,,-81.15M,87.02M,,87.02M,0.218M,,0.218M,,,,-60.40M,-5.85M,-66.25M,,-1.211M,19.78M,29.21M,12.39M,41.60M,0.218M,87.50M,-0.478M,,,-30.00M
2008-03,31.64M,-2.934M,,-2.635M,,-5.569M,25.52M,-0.548M,24.97M,24.97M,,0.98M,0.716M,,3.549M,11.31M,8.002M,,-30.20M,,,-5.21M,-27.41M,40.18M,-107.11M,,-107.11M,,,33.76M,,-73.35M,100.05M,,100.05M,0.799M,,0.799M,,,,-50.18M,-5.85M,-56.03M,,-1.115M,43.71M,18.67M,10.54M,29.21M,0.799M,101.67M,-1.614M,,,30.00M
2007-12,55.48M,-23.00M,,-11.85M,,-34.85M,,,23.67M,23.67M,,0.637M,,,2.651M,8.048M,-10.39M,,-3.519M,,,4.418M,-9.487M,46.14M,-142.09M,,-142.09M,,,82.62M,-0.53M,-59.99M,57.52M,,57.52M,2.383M,,0.011M,,,,-45.65M,-11.70M,-57.35M,,-1.227M,-1.051M,33.57M,-14.90M,18.67M,2.383M,87.00M,-29.48M,,,16.60M
2007-09,41.90M,-56.62M,,-6.245M,,-62.87M,,,24.37M,24.37M,,2.612M,,,-0.634M,60.98M,-6.199M,,1.19M,,,-10.47M,-15.48M,50.88M,-154.39M,,-154.39M,-173.31M,,194.00M,34.53M,-99.17M,337.57M,49.24M,386.81M,,,0.04M,,,,-50.39M,-6.781M,-57.17M,,-302.92M,26.77M,55.10M,-21.52M,33.57M,,398.11M,-11.29M,,,27.37M
2007-06,49.28M,,,,,,,,22.02M,22.02M,,,,,9.555M,-18.24M,-0.986M,,28.58M,,,-6.535M,21.06M,83.68M,-227.87M,,-227.87M,173.31M,,-70.97M,-34.00M,-159.52M,9.956M,-49.24M,-39.29M,-2.332M,,0.00,,,,-44.85M,-4.919M,-49.77M,,190.83M,101.77M,29.16M,25.93M,55.10M,-2.332M,0.00,-39.29M,,,38.86M
2007-03,56.99M,,,,,,,,21.52M,21.52M,,,,,,-13.88M,7.531M,,-24.15M,,,-10.55M,-27.17M,37.46M,-158.06M,,-158.06M,,,64.59M,,-93.47M,-15.34M,,-15.34M,2.332M,,2.332M,,,,-44.64M,0.00,-44.64M,,108.77M,51.13M,34.05M,-4.882M,29.16M,2.332M,,-15.34M,,,
2006-12,66.38M,,,,,,,,22.26M,22.26M,,,,,,-39.41M,-12.44M,,5.521M,20.65M,7.872M,-17.23M,4.383M,53.62M,-99.39M,,-99.39M,,,129.12M,,44.50M,-57.10M,,-57.10M,3.203M,,3.203M,,,,-40.12M,-11.70M,-51.82M,,3.282M,-102.43M,38.36M,-4.314M,34.05M,3.203M,,-57.10M,,,
