,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,RentandLandingExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2018-03,633.02M,633.02M,223.56M,409.46M,16.28M,16.28M,196.31M,,,,,116.10M,5.88M,-113.90M,,212.59M,196.87M,5.88M,116.10M,-113.90M,137.80M,-113.90M,220.76M,0.213M,220.55M,,,-8.739M,0.773M,211.81M,70.71M,533.17M,196.31M,336.86M,,0.57,,,,0.1864,0.57,,0.57,,,,0.2016,0.57,,367.80M,383.02M,0.54,,AOR,Restated
2017-12,630.70M,630.70M,201.60M,429.10M,11.86M,11.86M,200.78M,,,-1.693M,,95.31M,0.428M,-96.96M,,212.64M,216.46M,0.428M,95.31M,-96.96M,10.36M,-96.96M,129.85M,-0.232M,130.08M,,,-4.642M,0.773M,125.44M,118.01M,425.95M,200.78M,225.16M,,0.34,0.00,,,0.3198,0.34,,0.34,0.00,,,0.3206,0.34,,367.44M,382.79M,0.5038,,AOR,Restated
2017-09,624.12M,624.12M,209.67M,414.45M,12.57M,12.57M,184.10M,,,0.00,,91.14M,3.945M,-89.26M,,196.67M,217.79M,3.945M,91.14M,-89.26M,15.90M,-89.26M,144.42M,0.228M,144.20M,,,-5.967M,0.772M,138.23M,121.33M,419.67M,184.10M,235.57M,,0.37,,,,0.3239,0.37,,0.37,,,,0.3259,0.37,,367.00M,382.94M,0.5038,,AOR,Restated
2017-06,612.48M,612.48M,208.41M,404.07M,13.63M,13.63M,179.90M,,,,,91.22M,1.162M,-92.15M,,193.52M,210.55M,1.162M,91.22M,-92.15M,85.98M,-92.15M,204.38M,0.22M,204.16M,,,-8.119M,0.773M,196.04M,109.11M,475.50M,179.90M,295.60M,,0.53,,,,0.2930,0.53,,0.53,,,,0.3029,0.53,,366.82M,382.69M,0.5038,,AOR,Restated
2017-03,604.10M,604.10M,206.59M,397.51M,14.17M,14.17M,178.97M,,,,,106.21M,0.601M,-107.90M,,193.14M,204.37M,0.601M,106.21M,-107.90M,53.74M,-107.90M,150.20M,0.262M,149.94M,,,-6.199M,0.773M,143.74M,89.01M,435.38M,178.97M,256.41M,,0.39,,,,0.2407,0.39,,0.39,,,,0.2468,0.39,,366.60M,382.28M,0.5038,,AOR,Restated
2016-12,605.49M,605.49M,193.58M,411.91M,10.43M,10.43M,177.41M,,,,,95.93M,0.681M,-97.88M,,187.84M,224.07M,0.681M,95.93M,-97.88M,176.22M,-97.88M,302.41M,0.424M,301.99M,0.394M,,-25.13M,0.773M,277.25M,104.99M,575.75M,177.41M,398.34M,,0.76,0.00,,,0.2895,0.76,,0.75,0.00,,,0.2990,0.75,,365.26M,381.12M,0.5038,,AOR,Restated
2016-09,606.07M,606.07M,205.08M,401.00M,12.40M,12.40M,179.23M,,,,,86.35M,5.509M,-83.10M,,191.62M,209.37M,5.509M,86.35M,-83.10M,91.40M,-83.10M,217.67M,0.426M,217.25M,0.246M,,-9.176M,0.773M,208.32M,106.45M,483.25M,179.23M,304.02M,,0.57,0.00,,,0.2917,0.57,,0.56,0.00,,,0.2942,0.56,,365.11M,382.37M,0.5038,,AOR,Restated
2016-06,595.15M,595.15M,194.71M,400.44M,18.30M,18.30M,176.13M,,,,,86.47M,56.52M,-32.29M,,194.42M,206.02M,56.52M,86.47M,-32.29M,55.05M,-32.29M,228.78M,0.413M,228.36M,0.035M,,-9.561M,0.772M,218.84M,162.35M,491.38M,176.13M,315.25M,,0.60,0.00,,,0.4454,0.60,,0.59,0.00,,,0.4422,0.59,,365.05M,382.06M,0.5038,,AOR,Restated
2016-03,619.08M,619.08M,212.86M,406.23M,16.72M,16.72M,172.88M,,,,,213.49M,3.058M,-215.83M,,189.60M,216.62M,3.058M,213.49M,-215.83M,3.732B,-215.83M,3.732B,0.35M,3.732B,-0.157M,,-144.07M,0.773M,3.588B,-145.83M,4.119B,172.88M,3.946B,,9.84,0.00,,,-0.4009,9.84,,9.76,0.00,,,-0.0080,9.76,,364.59M,382.24M,0.5038,,AOR,Restated
2015-12,703.19M,703.19M,221.06M,482.14M,14.05M,14.05M,181.03M,,,,,110.54M,0.466M,-113.14M,,195.08M,287.06M,0.466M,110.54M,-113.14M,39.98M,-113.14M,213.89M,0.219M,213.67M,0.047M,,-9.234M,1.497M,204.49M,164.40M,505.47M,181.03M,324.43M,,0.56,0.00,,,0.4500,0.56,,0.55,0.00,,,0.4450,0.55,,363.83M,381.21M,0.5525,,AOR,Restated
2015-09,696.29M,696.29M,227.44M,468.85M,15.20M,15.20M,196.06M,,,,,114.30M,0.256M,-116.65M,,211.26M,257.59M,0.256M,114.30M,-116.65M,64.76M,-116.65M,205.70M,0.329M,205.38M,0.081M,,-8.764M,0.833M,196.69M,130.82M,516.06M,196.06M,320.00M,,0.54,0.00,,,0.3590,0.54,,0.53,0.00,,,0.3572,0.53,,363.58M,380.66M,0.5525,,AOR,Restated
2015-06,679.11M,679.11M,222.92M,456.20M,15.66M,15.66M,194.28M,,,,,110.87M,6.481M,-106.92M,,209.94M,246.26M,6.481M,110.87M,-106.92M,159.50M,-106.92M,298.83M,0.326M,298.50M,0.114M,,-12.20M,0.833M,286.42M,125.21M,603.98M,194.28M,409.70M,,0.79,0.00,,,0.3468,0.79,,0.78,0.00,,,0.3566,0.78,,363.48M,380.49M,0.5525,,AOR,Restated
2015-03,666.37M,666.37M,233.76M,432.61M,19.76M,19.76M,194.52M,,,,,108.78M,0.169M,-111.20M,,214.28M,218.33M,0.169M,108.78M,-111.20M,82.98M,-111.20M,190.11M,0.043M,190.07M,0.155M,,-7.702M,3.68M,182.52M,99.47M,493.42M,194.52M,298.89M,,0.49,0.00,,,0.2617,0.49,,0.49,0.00,,,0.2720,0.49,,363.10M,380.33M,0.5525,,AOR,Restated
2014-12,664.66M,664.66M,211.39M,453.27M,9.383M,9.383M,193.09M,,,,,110.24M,1.249M,-111.52M,,202.47M,250.80M,1.249M,110.24M,-111.52M,87.93M,-111.52M,227.21M,0.248M,226.96M,0.082M,,-9.302M,1.036M,217.74M,127.93M,530.53M,193.09M,337.44M,,0.60,0.00,,,0.3522,0.60,,0.59,0.00,,,0.3534,0.59,,362.02M,379.26M,0.50,,AOR,Restated
2014-09,664.08M,664.08M,220.37M,443.71M,9.968M,9.968M,190.47M,,,,,118.25M,0.576M,-120.30M,,200.44M,243.27M,0.576M,118.25M,-120.30M,108.54M,-120.30M,231.51M,0.26M,231.25M,-0.062M,,-9.446M,1.037M,221.74M,108.42M,540.23M,190.47M,349.76M,,0.61,0.00,,,0.2963,0.61,,0.61,0.00,,,0.3100,0.61,,361.41M,377.95M,0.50,,AOR,Restated
2014-06,652.57M,652.57M,220.37M,432.20M,13.75M,13.75M,190.14M,,,,,115.92M,2.032M,-117.03M,,203.89M,228.31M,2.032M,115.92M,-117.03M,6.572M,-117.03M,117.86M,0.646M,117.21M,0.51M,,-5.03M,1.036M,112.69M,104.11M,423.92M,190.14M,233.78M,,0.31,0.00,,,0.2876,0.31,,0.31,0.00,,,0.2886,0.31,,360.81M,377.12M,0.50,,AOR,Restated
2014-03,633.44M,633.44M,231.44M,402.00M,17.58M,17.58M,185.17M,,,,,113.05M,0.605M,-115.24M,,202.74M,199.26M,0.605M,113.05M,-115.24M,-2.103M,-115.24M,81.92M,0.24M,81.68M,1.052M,,-3.597M,1.036M,79.14M,79.52M,380.14M,185.17M,194.97M,,0.21,0.003,,,0.2140,0.22,,0.21,0.003,,,0.2138,0.22,,360.47M,376.38M,0.50,,AOR,Restated
2013-12,639.13M,639.13M,217.53M,421.60M,15.16M,15.16M,182.74M,,,,,149.40M,3.516M,-152.45M,,197.90M,223.70M,3.516M,149.40M,-152.45M,-2.271M,-152.45M,68.98M,-0.156M,69.14M,46.73M,,-4.894M,1.036M,110.98M,64.48M,401.64M,183.26M,218.39M,,0.18,0.13,,,0.1806,0.31,,0.18,0.12,,,0.1806,0.30,,359.98M,359.98M,0.65,,AOR,Restated
2013-09,626.63M,626.63M,215.09M,411.54M,14.44M,14.44M,276.71M,,,,,120.04M,1.015M,-123.36M,,291.14M,120.40M,1.015M,120.04M,-123.36M,-10.01M,-123.36M,-12.97M,0.492M,-13.46M,405.18M,,-14.52M,1.037M,377.19M,-24.32M,386.67M,279.61M,107.06M,,-0.04,1.083,,,-0.0298,1.05,,-0.04,1.083,,,-0.0298,1.05,,359.81M,359.81M,0.40,,AOR,Restated
2013-06,617.22M,617.22M,213.85M,403.37M,16.08M,16.08M,323.30M,,,,,122.95M,0.432M,-126.87M,,339.39M,63.98M,0.432M,122.95M,-126.87M,4.811M,-126.87M,-58.08M,0.428M,-58.51M,395.24M,,-11.97M,1.036M,324.76M,-74.67M,395.32M,330.45M,64.87M,,-0.16,1.057,,,-0.1716,0.90,,-0.16,1.057,,,-0.1716,0.90,,359.65M,359.65M,0.40,,AOR,Restated
2013-03,504.72M,504.72M,187.76M,316.96M,16.50M,16.50M,196.22M,,,,,194.47M,0.32M,-201.10M,,212.72M,104.25M,0.32M,194.47M,-201.10M,-68.08M,-201.10M,-164.93M,0.405M,-165.34M,1.226B,,-43.35M,1.036M,1.018B,-178.55M,249.57M,220.04M,29.53M,,-0.47,3.485,,,-0.3807,3.01,,-0.47,3.485,,,-0.3807,3.01,,337.53M,337.53M,0.40,,AOR,Restated
2012-12,444.74M,444.74M,150.50M,294.24M,10.07M,10.07M,138.52M,,,,,109.76M,80.55M,-40.24M,,148.59M,145.65M,80.55M,109.76M,-40.24M,-7.299M,-40.24M,98.11M,-0.088M,98.20M,286.20M,,-17.38M,1.038M,367.02M,80.82M,375.92M,168.05M,207.87M,,0.43,0.75,,,0.4300,1.18,,0.42,0.75,,,0.4200,1.17,,310.46M,327.27M,0.7675,,AOR,Restated
2012-09,451.70M,451.70M,159.35M,292.35M,10.08M,10.08M,139.34M,,,-0.087M,,113.22M,70.09M,-46.46M,,149.42M,142.93M,70.09M,113.22M,-46.46M,-4.074M,-46.46M,92.40M,0.222M,92.18M,144.14M,,-10.18M,7.536M,226.14M,82.09M,374.46M,168.83M,205.62M,,0.27,0.456,,,0.2703,0.73,,0.27,0.452,,,0.2703,0.72,,301.34M,318.77M,0.3375,,AOR,Restated
2012-06,448.35M,448.35M,160.96M,287.39M,13.39M,13.39M,145.44M,,,-0.685M,,114.63M,0.258M,-118.39M,,158.83M,128.56M,0.258M,114.63M,-118.39M,-9.487M,-118.39M,0.687M,0.213M,0.474M,107.84M,,-5.051M,3.467M,103.26M,-4.104M,288.31M,173.00M,115.31M,,-0.01,0.343,,,-0.0084,0.33,,-0.01,0.343,,,-0.0084,0.33,,300.19M,300.19M,0.3375,,AOR,Restated
2012-03,446.45M,446.45M,170.04M,276.41M,13.69M,13.69M,148.25M,,,-1.149M,,118.01M,0.169M,-120.78M,,161.93M,114.48M,0.169M,118.01M,-120.78M,-6.956M,-120.78M,-13.26M,0.17M,-13.43M,165.59M,,-6.868M,3.466M,145.30M,-19.55M,279.86M,175.11M,104.76M,,-0.06,0.53,,,-0.0575,0.47,,-0.06,0.53,,,-0.0575,0.47,,298.80M,298.80M,0.3375,,AOR,Restated
2011-12,101.40M,101.40M,40.74M,60.66M,,11.14M,38.76M,,,19.48M,,109.22M,1.365M,-124.47M,,49.90M,10.76M,1.365M,109.22M,-124.47M,11.30M,-124.47M,-102.41M,0.037M,-106.66M,214.06M,,-4.919M,3.466M,102.48M,-124.24M,174.04M,167.23M,6.807M,,-0.35,0.688,,,-0.3928,0.33,,-0.35,0.688,,,-0.3928,0.33,,296.00M,296.00M,0.5675,,AOR,Restated
2011-09,493.87M,493.87M,179.25M,314.63M,,10.12M,159.69M,,,-7.178M,,112.45M,5.313M,-107.14M,,169.81M,144.81M,5.313M,112.45M,-107.14M,-7.178M,-107.14M,30.50M,0.283M,30.22M,82.76M,,-5.129M,3.466M,107.85M,32.20M,308.40M,165.45M,142.95M,,0.09,0.26,,,0.1140,0.35,,0.08,0.26,,,0.1027,0.35,,295.83M,312.84M,0.3375,,AOR,Restated
2011-06,480.37M,480.37M,175.15M,305.22M,,10.91M,154.45M,,,-9.026M,,120.00M,0.277M,-119.72M,,165.36M,139.86M,0.277M,120.00M,-119.72M,-9.026M,-119.72M,11.11M,0.202M,15.13M,566.63M,,-25.83M,3.467M,555.92M,-1.841M,292.68M,161.57M,131.11M,,0.04,1.84,,,0.0701,1.88,,0.04,1.81,,,0.0684,1.85,,294.66M,312.20M,0.3375,,AOR,Restated
2011-03,466.36M,466.36M,180.52M,285.84M,,11.43M,158.46M,,,-5.165M,,120.53M,1.011M,-119.52M,,169.89M,115.95M,1.011M,120.53M,-119.52M,-5.165M,-119.52M,-8.729M,0.184M,-8.913M,141.98M,,-5.735M,3.466M,127.33M,-11.29M,281.16M,169.36M,111.80M,,-0.04,0.46,,,-0.0285,0.42,,-0.04,0.46,,,-0.0285,0.42,,292.90M,292.90M,0.3375,,AOR,Restated
2010-12,355.74M,355.74M,131.53M,224.20M,,8.852M,123.65M,,,-0.037M,,112.47M,0.073M,-121.97M,,132.50M,91.70M,0.073M,112.47M,-121.97M,-13.96M,-121.97M,-44.23M,0.008M,-70.44M,268.65M,,-8.829M,3.513M,189.38M,-79.25M,239.95M,171.71M,68.24M,,-0.24,0.895,,,-0.2399,0.65,,-0.24,0.895,,,-0.2399,0.65,,285.95M,285.95M,0.4575,,AOR,Restated
2010-09,453.96M,453.96M,180.16M,273.80M,,10.22M,158.32M,,,-5.924M,,121.12M,0.201M,-120.92M,,168.54M,105.26M,0.201M,121.12M,-120.92M,-5.924M,-120.92M,-21.58M,0.291M,-0.295M,30.12M,,-1.043M,3.617M,28.78M,2.513M,273.56M,174.02M,99.54M,,-0.01,0.10,,,0.0036,0.09,,-0.01,0.10,,,0.0036,0.09,,282.72M,282.72M,0.3375,,AOR,Restated
2010-06,447.38M,447.38M,174.26M,273.12M,,10.09M,162.70M,,,-3.943M,,113.72M,2.625M,-111.10M,,172.79M,100.33M,2.625M,113.72M,-111.10M,-3.943M,-111.10M,-14.71M,-0.147M,-9.945M,20.03M,,-0.128M,3.618M,9.961M,-6.169M,273.95M,174.94M,99.01M,,-0.05,0.07,,,-0.0362,0.02,,-0.05,0.07,,,-0.0362,0.02,,282.22M,282.22M,0.3375,,AOR,Restated
2010-03,465.00M,465.00M,198.23M,266.77M,,10.72M,146.04M,,,-7.379M,,114.11M,2.22M,-111.89M,,156.76M,110.01M,2.22M,114.11M,-111.89M,-7.379M,-111.89M,-9.262M,0.159M,-9.407M,67.26M,,-2.373M,3.62M,55.48M,-6.984M,257.58M,152.73M,104.85M,,-0.04,0.22,,,-0.0229,0.18,,-0.04,0.22,,,-0.0229,0.18,,280.64M,280.64M,0.3375,,AOR,Restated
2009-12,198.43M,198.43M,54.72M,143.71M,,8.509M,89.98M,,,-4.249M,,133.26M,0.728M,-144.86M,,98.48M,45.23M,0.728M,133.26M,-144.86M,-4.249M,-144.86M,-94.56M,-0.128M,-90.91M,138.22M,,-2.019M,3.62M,45.29M,-88.68M,187.58M,148.89M,38.69M,,-0.328,0.477,,,-0.3126,0.149,,-0.328,0.477,,,-0.3126,0.149,,275.54M,275.54M,0.3375,,AOR,Restated
2009-09,480.24M,480.24M,197.54M,282.70M,,9.881M,144.16M,3.101M,,-1.922M,,121.17M,3.214M,-117.95M,-3.101M,154.05M,128.66M,3.214M,121.17M,-117.95M,-1.922M,-117.95M,5.68M,0.459M,9.029M,134.34M,,-7.384M,3.619M,135.98M,3.412M,276.50M,149.65M,126.85M,,0.02,0.464,,,0.0265,0.484,,0.02,0.463,,,0.0261,0.483,,273.66M,290.22M,0.3375,,AOR,Restated
2009-06,480.33M,480.33M,188.77M,291.56M,,10.20M,143.30M,,,-11.14M,,115.67M,6.622M,-109.05M,,153.50M,138.07M,6.622M,115.67M,-109.05M,-11.14M,-109.05M,14.63M,0.259M,12.34M,93.59M,,-5.727M,3.62M,100.20M,17.55M,281.65M,151.35M,130.30M,,0.03,0.324,,,0.0701,0.354,,0.03,0.324,,,0.0678,0.354,,272.90M,289.34M,0.4825,,AOR,Restated
2009-03,483.08M,483.08M,198.49M,284.59M,,10.39M,141.81M,,,-0.292M,,126.46M,6.017M,-120.45M,,152.20M,132.39M,6.017M,126.46M,-120.45M,-0.292M,-120.45M,11.65M,2.128M,12.09M,73.33M,,-4.626M,3.62M,80.80M,7.703M,288.60M,150.49M,138.11M,,0.28,0.00,,,0.2809,0.28,,0.28,0.00,,,0.2808,0.28,,272.32M,288.85M,0.4825,,AOR,Restated
2008-12,393.78M,393.78M,163.52M,230.25M,,10.91M,118.62M,,,-119.29M,,114.44M,22.30M,-101.79M,,123.38M,106.88M,22.30M,114.44M,-101.79M,-119.29M,-101.79M,-114.21M,-0.658M,-110.84M,72.61M,,1.607M,3.62M,-36.63M,9.371M,155.21M,154.97M,0.236M,,-0.40,0.25,,,0.0372,-0.15,,-0.40,0.25,,,0.0372,-0.15,,271.30M,271.30M,0.4825,,AOR,Restated
2008-09,511.01M,511.01M,205.62M,305.39M,,9.849M,145.38M,,,-2.106M,,124.76M,2.871M,-121.88M,1.983M,157.21M,148.18M,2.871M,124.76M,-121.88M,-2.106M,-121.88M,24.18M,1.317M,26.09M,161.03M,,-11.25M,3.628M,175.87M,16.83M,302.70M,153.76M,148.94M,,0.08,0.56,,,0.0874,0.64,,0.08,0.55,,,0.0868,0.63,,270.34M,290.80M,0.4825,,AOR,Restated
2008-06,513.28M,513.28M,203.34M,309.94M,,11.77M,139.81M,,,-0.604M,,121.69M,4.808M,-116.88M,,151.59M,158.36M,4.808M,121.69M,-116.88M,-0.604M,-116.88M,40.87M,1.628M,39.15M,100.84M,,-9.742M,3.626M,130.25M,29.99M,309.15M,146.59M,162.56M,,0.12,0.35,,,0.1222,0.47,,0.12,0.34,,,0.1220,0.46,,269.61M,290.44M,0.4825,,AOR,Restated
2008-03,502.64M,502.64M,209.52M,293.12M,,12.42M,141.20M,,,-0.176M,,121.68M,3.369M,-118.31M,,153.61M,139.51M,3.369M,121.68M,-118.31M,-0.176M,-118.31M,21.02M,2.995M,17.93M,129.59M,,-9.405M,3.633M,138.12M,8.680M,290.28M,147.58M,142.70M,,0.05,0.45,,,0.0506,0.50,,0.05,0.45,,,0.0505,0.50,,268.78M,289.32M,0.4825,,AOR,Restated
2007-12,500.08M,500.08M,,,217.36M,217.36M,141.94M,,1.808M,,,124.88M,7.809M,-117.07M,-1.098B,-738.33M,645.04M,7.809M,124.88M,-117.07M,,-117.07M,33.30M,1.052M,30.51M,92.77M,,-3.014M,9.789M,123.28M,30.51M,309.84M,151.66M,158.18M,,0.10,0.37,,,0.10,0.47,,0.10,0.36,,,0.10,0.46,,269.08M,290.78M,0.4825,,AOR,Restated
2007-09,501.10M,501.10M,,,12.37M,12.37M,143.99M,,2.10M,,,130.24M,6.119M,-124.13M,206.35M,362.70M,138.40M,6.119M,130.24M,-124.13M,,-124.13M,14.27M,0.77M,16.76M,440.95M,,-0.638M,4.317M,457.71M,16.76M,299.80M,155.28M,144.52M,,0.02,1.62,,,0.02,1.64,,0.02,1.60,,,0.02,1.62,,272.09M,294.33M,0.4625,,AOR,Restated
2007-06,491.56M,491.56M,,,,11.45M,143.46M,,,,,,,-125.40M,200.87M,355.78M,135.78M,,,-125.40M,,-125.40M,14.16M,0.101M,17.37M,265.03M,,,7.416M,282.40M,17.37M,297.79M,162.01M,135.78M,,0.04,0.93,,,0.04,0.97,,0.03,0.92,,,0.03,0.95,,284.42M,307.63M,0.4625,,AOR,Restated
2007-03,2.267M,475.85M,,,9.369M,9.369M,138.93M,,,,,,,,206.62M,354.92M,120.93M,,,,,,10.49M,0.597M,8.754M,117.48M,,-0.909M,7.424M,126.24M,8.754M,275.82M,154.89M,120.93M,,0.01,0.40,,,0.01,0.41,,0.01,0.39,,,0.01,0.40,,292.25M,316.26M,0.4625,,AOR,Restated
2006-12,429.28M,453.48M,,,12.59M,12.59M,133.50M,,,-29.75M,,,,,-1.212B,-91.80M,545.27M,,,,-32.94M,,,,-5.367M,470.43M,,0.068M,11.40M,465.06M,12.48M,700.02M,154.75M,545.27M,,-0.04,1.62,,,0.0212,1.58,,-0.04,1.59,,,0.0162,1.55,,291.69M,317.37M,0.4625,,AOR,Restated
2006-09,2.071M,465.35M,,,13.52M,13.52M,129.47M,,,,,,,,197.36M,340.35M,125.00M,,,,,,,,22.84M,46.97M,,-1.37M,9.514M,69.81M,22.84M,268.43M,143.44M,125.00M,,0.03,0.16,,,0.03,0.19,,0.03,0.16,,,0.03,0.19,,290.04M,315.89M,0.4425,,AOR,Restated
