,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,FinishedGoodsInventory,Inventories,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,LiabilityonCreditLine,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentAccruedExpenses,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2017-12,50.65M,,50.65M,,,,,50.12M,,100.76M,,,,,,,,,,,,58.25M,,425.06M,20.47B,20.57B,,114.77M,192.83M,,307.59M,58.04M,365.63M,,299.76M,299.76M,299.76M,,665.39M,8.658B,,8.658B,,231.40M,366.96M,406.86M,9.431B,10.10B,,40.96M,1.404B,8.887B,37.28M,-88.61M,10.24B,,AOR,Restated
2017-09,46.56M,,46.56M,,,,,47.61M,,94.18M,,,,,,,,,,,,59.03M,,445.20M,20.60B,20.70B,,167.98M,192.57M,,360.55M,72.81M,433.36M,,229.84M,229.84M,229.84M,,663.21M,8.762B,,8.762B,,234.51M,380.54M,397.88M,9.541B,10.20B,,40.96M,1.464B,8.849B,37.28M,-94.67M,10.26B,,AOR,Restated
2017-06,37.72M,,37.72M,,,,,275.39M,,313.11M,,,,,,,,,,,,59.25M,,445.91M,20.32B,20.64B,,137.92M,191.72M,,329.64M,48.82M,378.46M,,764.36M,764.36M,764.36M,,1.143B,8.200B,,8.200B,,235.35M,380.52M,387.65M,8.968B,10.11B,,40.95M,1.512B,8.839B,37.28M,-101.15M,10.29B,,AOR,Restated
2017-03,42.14M,,42.14M,,,,,144.08M,,186.22M,,,,,,,,,,,,59.48M,,413.11M,20.42B,20.61B,,165.64M,191.64M,,357.28M,74.38M,431.66M,,314.69M,314.69M,314.69M,,746.35M,8.615B,,8.615B,,235.15M,359.73M,371.59M,9.347B,10.09B,,40.95M,1.502B,8.847B,37.28M,-109.33M,10.28B,,AOR,Restated
2016-12,77.21M,,77.21M,,,,,141.88M,,219.09M,,,,,,,,,,,,60.14M,,398.88M,20.49B,20.70B,,147.48M,192.30M,,339.78M,60.95M,400.72M,,20.00M,20.00M,20.00M,,420.72M,8.967B,,8.967B,,231.91M,442.09M,413.09M,9.822B,10.24B,,40.94M,1.544B,8.758B,37.28M,-113.91M,10.23B,,AOR,Restated
2016-09,517.59M,,517.59M,,,,,192.56M,,710.15M,,,,,,,,,,,,60.91M,,421.41M,20.59B,21.30B,,199.80M,1.331B,,1.531B,69.44M,1.601B,,,,,,1.601B,8.499B,,8.499B,,223.30M,441.89M,417.66M,9.358B,10.96B,,40.94M,1.451B,8.742B,37.28M,-118.73M,10.12B,,AOR,Restated
2016-06,497.84M,,497.84M,,,0.00,0.00,139.30M,,637.14M,,,,,,,,,,,,65.95M,,398.42M,20.59B,21.23B,,186.63M,191.40M,,378.03M,58.18M,436.21M,,0.00,0.00,0.00,,436.21M,8.511B,,8.511B,,246.03M,478.32M,397.79M,9.387B,9.823B,,40.94M,2.525B,8.718B,37.28M,-123.51M,11.16B,,AOR,Restated
2016-03,368.05M,,368.05M,,,0.00,0.00,301.10M,,669.14M,,,,,,,,,,,,66.48M,,422.08M,20.63B,21.30B,,215.82M,191.31M,,407.13M,69.40M,476.53M,,0.00,0.00,0.00,,476.53M,8.584B,,8.584B,,244.94M,521.08M,411.14M,9.516B,9.993B,,40.94M,2.491B,8.658B,37.28M,-126.19M,11.06B,,AOR,Restated
2015-12,42.28M,,42.28M,,,2.181B,2.181B,112.84M,,2.336B,,,,,,,,,,,,68.10M,,428.90M,20.77B,23.11B,,187.12M,209.38M,,396.50M,85.22M,481.72M,,387.28M,387.28M,387.28M,,869.00M,10.53B,,10.53B,,225.99M,566.78M,443.97M,11.54B,12.41B,,40.93M,2.009B,8.572B,37.28M,-152.02M,10.47B,,AOR,Restated
2015-09,37.37M,,37.37M,,,,,189.74M,,227.11M,,,,,,,,,,,,74.11M,57.00M,405.80M,22.78B,23.01B,,253.03M,209.09M,,462.11M,86.08M,548.20M,,30.00M,30.00M,30.00M,,578.19M,10.77B,,10.77B,,226.13M,522.58M,430.04M,11.73B,12.30B,,43.82M,2.008B,8.584B,40.18M,-157.02M,10.48B,,AOR,Restated
2015-06,92.11M,,92.11M,,,,,156.37M,,248.48M,,,,,,,,,,,,94.72M,59.60M,383.04M,22.83B,23.08B,,193.10M,209.04M,,402.14M,87.13M,489.27M,,0.00,0.00,0.00,,489.27M,10.83B,,10.83B,,343.97M,488.18M,431.74M,11.75B,12.24B,,43.82M,2.013B,8.608B,40.18M,-163.86M,10.50B,,AOR,Restated
2015-03,49.42M,,49.42M,,,,,254.46M,,303.88M,,,,,,,,,,,,89.28M,55.79M,384.72M,22.73B,23.03B,,202.11M,208.95M,,411.06M,84.67M,495.73M,,470.83M,470.83M,470.83M,,966.56M,10.39B,,10.39B,,342.23M,541.87M,458.35M,11.39B,12.36B,,43.82M,1.928B,8.539B,40.18M,-180.02M,10.33B,,AOR,Restated
2014-12,40.08M,,40.08M,,,,,120.39M,,160.47M,,,,,,,,,,,,105.43M,58.38M,383.75M,22.79B,22.95B,,153.59M,188.57M,,342.16M,89.54M,431.70M,,333.00M,333.00M,333.00M,,764.70M,10.51B,,10.51B,,339.32M,500.73M,465.55M,11.48B,12.24B,,53.63M,1.951B,8.536B,50.00M,-172.15M,10.37B,,AOR,Restated
2014-09,31.48M,,31.48M,,,,,130.94M,,162.42M,,,,,,,,,,,,128.10M,60.53M,396.44M,22.85B,23.01B,,203.07M,188.27M,,391.34M,86.47M,477.81M,,446.00M,446.00M,446.00M,,923.81M,10.51B,,10.51B,,339.09M,430.15M,425.11M,11.37B,12.29B,,53.62M,1.915B,8.574B,50.00M,-164.81M,10.38B,,AOR,Restated
2014-06,76.13M,,76.13M,,,,,129.68M,,205.81M,,,,,,,,,,,,142.32M,63.44M,409.18M,22.79B,22.99B,,168.22M,187.91M,,356.13M,78.39M,434.52M,,0.00,0.00,0.00,,434.52M,11.08B,,11.08B,,338.88M,440.05M,406.17M,11.93B,12.36B,,53.62M,1.876B,8.527B,50.00M,-166.99M,10.29B,,AOR,Restated
2014-03,37.21M,,37.21M,,,,,135.08M,,172.28M,,,,,,,,,,,,205.07M,55.75M,384.27M,22.72B,22.89B,,161.84M,187.76M,,349.60M,78.14M,427.74M,,298.00M,298.00M,298.00M,,725.74M,10.65B,,10.65B,,343.00M,405.28M,393.78M,11.44B,12.17B,,53.61M,1.945B,8.541B,50.00M,-162.89M,10.38B,,AOR,Restated
2013-12,53.53M,,53.53M,,,,,146.20M,,199.74M,,,,,,,,,,,,178.53M,58.49M,404.56M,22.63B,22.83B,,118.79M,243.51M,,362.30M,78.31M,440.61M,,115.00M,115.00M,115.00M,,555.61M,10.65B,,10.65B,,338.00M,363.14M,419.34M,11.43B,11.99B,,53.60M,2.047B,8.562B,50.00M,-155.16M,10.51B,,AOR,Restated
2013-09,972.76M,,972.76M,,,,,139.78M,,1.113B,,,,,,,,,,,,165.90M,66.78M,379.98M,22.70B,23.81B,,166.94M,149.84M,,316.78M,85.35M,402.13M,,0.00,0.00,0.00,,402.13M,11.71B,,11.71B,,324.15M,376.06M,403.26M,12.49B,12.89B,,53.60M,2.172B,8.543B,50.00M,-169.39M,10.60B,,AOR,Restated
2013-06,152.56M,,152.56M,,,,,238.62M,,391.19M,,,,,,,,,,,,188.58M,71.01M,390.02M,23.09B,23.48B,,84.60M,150.85M,,235.45M,86.08M,321.53M,,0.00,0.00,0.00,,321.53M,11.72B,,11.72B,,316.53M,407.89M,390.48M,12.52B,12.84B,,53.60M,1.940B,8.496B,50.00M,-166.84M,10.32B,,AOR,Restated
2013-03,56.09M,,56.09M,,,,,187.05M,,243.14M,,,,,,,,,,,,193.34M,71.23M,358.14M,23.55B,23.80B,,104.84M,150.75M,,255.59M,88.52M,344.10M,,395.00M,395.00M,395.00M,,739.10M,11.76B,,11.76B,,311.16M,386.76M,473.89M,12.62B,13.36B,,53.60M,1.760B,8.493B,50.00M,-182.51M,10.12B,,AOR,Restated
2012-12,612.59M,,612.59M,,,,,259.57M,,872.16M,,,,,,,,,,,,17.88M,44.38M,170.37M,16.33B,17.20B,,38.37M,260.18M,,298.55M,76.22M,374.77M,,0.00,0.00,0.00,,374.77M,8.529B,,8.529B,,237.29M,398.37M,371.51M,9.299B,9.674B,,53.25M,887.36M,6.542B,50.00M,-193.15M,7.290B,,AOR,Restated
2012-09,56.08M,,56.08M,,,,,120.44M,,176.52M,15.94B,5.014B,,,194.25M,21.15B,-4.881B,16.27B,,,,17.91M,38.82M,164.52M,16.49B,16.67B,,105.60M,108.05M,,213.65M,78.87M,292.52M,,7.00M,7.00M,7.00M,,299.52M,9.302B,,9.302B,,637.30M,,438.80M,9.741B,10.04B,,53.03M,770.70M,5.365B,50.00M,-197.75M,5.991B,,AOR,Restated
2012-06,53.72M,,53.72M,,,,,193.89M,,247.62M,15.89B,4.938B,,,198.91M,21.02B,-4.778B,16.25B,,,,17.89M,41.85M,161.44M,16.47B,16.71B,,72.65M,109.46M,,182.11M,82.70M,264.80M,,35.00M,35.00M,35.00M,,299.80M,9.359B,,9.359B,,671.17M,,498.92M,9.858B,10.16B,,203.01M,654.24M,5.226B,200.00M,-198.08M,5.885B,,AOR,Restated
2012-03,219.63M,,219.63M,,,,,193.61M,,413.24M,15.61B,4.745B,,,185.62M,20.54B,-4.659B,15.88B,,,,14.80M,45.86M,129.25M,16.07B,16.48B,,77.06M,109.04M,,186.10M,79.49M,265.59M,,0.00,0.00,0.00,,265.59M,9.413B,,9.413B,,654.17M,,326.92M,9.739B,10.01B,,203.00M,656.00M,5.153B,200.00M,-189.97M,5.822B,,AOR,Restated
2011-12,383.92M,,383.92M,,,,,162.93M,,546.85M,,,,,,,,,,,,12.33M,44.61M,187.16M,16.11B,16.66B,,35.21M,179.08M,,214.28M,88.12M,302.41M,,0.00,0.00,0.00,,302.41M,9.721B,,9.721B,,193.84M,416.40M,356.58M,10.49B,10.80B,,202.98M,615.57M,5.047B,200.00M,-196.72M,5.669B,,AOR,Restated
2011-09,56.66M,,56.66M,,,,,369.46M,,426.12M,15.06B,4.364B,,,119.43M,19.54B,-4.405B,15.13B,,,,11.02M,37.33M,149.05M,15.33B,15.76B,,97.84M,106.67M,,204.52M,69.90M,274.41M,,26.00M,26.00M,26.00M,,300.41M,8.751B,,8.751B,,497.87M,,471.66M,9.223B,9.523B,,202.97M,684.90M,5.033B,200.00M,-185.03M,5.736B,,AOR,Restated
2011-06,604.76M,,604.76M,,,,,361.83M,,966.60M,15.05B,4.376B,,,115.08M,19.54B,-4.307B,15.23B,,,,3.623M,35.45M,162.67M,15.43B,16.40B,,69.12M,106.57M,,175.68M,92.58M,268.27M,,0.00,0.00,0.00,,268.27M,9.449B,,9.449B,,563.45M,,367.28M,9.816B,10.08B,,202.96M,680.62M,4.947B,200.00M,-80.55M,5.750B,,AOR,Restated
2011-03,306.07M,,306.07M,,,,,,,306.07M,15.28B,4.320B,,,97.15M,19.70B,-4.424B,15.27B,,,,3.533M,39.18M,454.70M,15.77B,16.08B,,80.38M,,106.02M,186.40M,71.97M,258.38M,,0.00,0.00,0.00,,258.38M,9.677B,,9.677B,,539.94M,,321.66M,9.998B,10.26B,,202.94M,228.09M,4.898B,200.00M,-50.63M,5.279B,,AOR,Restated
2010-12,431.41M,,431.41M,,,,,180.99M,,612.40M,15.23B,4.346B,,,130.34M,19.70B,-4.337B,15.37B,,,,3.167M,42.03M,161.58M,15.57B,16.18B,,39.45M,140.90M,,180.36M,98.63M,278.99M,,0.00,0.00,0.00,,278.99M,9.948B,,9.948B,,501.93M,,365.01M,10.31B,10.59B,,202.90M,203.58M,4.742B,200.00M,-57.82M,5.090B,,AOR,Restated
2010-09,43.66M,,43.66M,,,,,,,43.66M,15.16B,4.384B,,,499.04M,20.04B,-4.314B,15.73B,,,,0.00,44.49M,267.81M,16.04B,16.09B,,111.12M,,102.65M,213.77M,71.37M,285.15M,,,,,,285.15M,10.18B,,10.18B,,115.07M,,761.46M,10.94B,11.22B,,211.49M,150.34M,4.503B,208.65M,-116.46M,4.749B,,AOR,Restated
2010-06,47.98M,,47.98M,,,,,,,47.98M,14.69B,4.254B,,,473.28M,19.41B,-4.147B,15.27B,,,,2.889M,41.86M,265.38M,15.58B,15.63B,,81.79M,,102.52M,184.31M,97.27M,281.58M,,,,,62.57M,344.15M,9.659B,,9.659B,,118.69M,,625.85M,10.29B,10.63B,,211.52M,220.96M,4.524B,208.69M,-79.67M,4.877B,,AOR,Restated
2010-03,60.19M,,60.19M,,,,,,,60.19M,14.39B,4.215B,,,429.44M,19.03B,-3.972B,15.06B,,,,5.645M,44.03M,348.61M,15.46B,15.52B,,197.15M,,,197.15M,68.90M,266.05M,,,,,,266.05M,9.495B,,9.495B,,125.11M,,610.59M,10.11B,10.37B,,211.58M,310.28M,4.508B,208.76M,-8.255M,5.022B,,AOR,Restated
2009-12,193.29M,,193.29M,,,,,352.01M,,545.30M,13.89B,3.903B,,,668.98M,18.47B,-3.878B,14.59B,,,,6.995M,46.40M,231.25M,14.87B,15.42B,,58.54M,100.27M,,158.80M,101.85M,260.65M,,,,,,260.65M,9.393B,,9.393B,,385.45M,,331.50M,9.724B,9.985B,,211.57M,353.66M,4.477B,208.77M,4.681M,5.047B,,AOR,Restated
2009-09,637.59M,,637.59M,,,,,,378.98M,1.017B,13.76B,3.869B,,,753.83M,18.38B,-3.785B,14.59B,,,,4.616M,50.44M,126.68M,14.77B,15.79B,,231.96M,,,231.96M,72.97M,304.93M,,,,,,304.93M,9.835B,,9.835B,,366.96M,,324.74M,10.16B,10.46B,,211.53M,405.25M,4.365B,208.77M,-21.64M,4.960B,,AOR,Restated
2009-06,667.50M,,667.50M,,,,,,175.72M,843.22M,13.99B,3.909B,,,725.60M,18.63B,-3.760B,14.87B,,,,3.666M,54.28M,154.23M,15.08B,15.92B,,256.10M,,,256.10M,107.57M,363.67M,,,,,,363.67M,9.974B,,9.974B,,149.80M,,506.64M,10.48B,10.84B,,211.51M,365.70M,4.374B,208.77M,-22.22M,4.929B,,AOR,Restated
2009-03,428.60M,,428.60M,,,,,,206.66M,635.26M,14.00B,3.934B,,,762.64M,18.70B,-3.674B,15.02B,,,,8.196M,55.90M,311.37M,15.40B,16.04B,,270.22M,,,270.22M,75.27M,345.48M,,,,,,345.48M,10.08B,,10.08B,,163.85M,,460.64M,10.54B,10.89B,,211.51M,401.26M,4.400B,208.77M,-29.29M,4.983B,,AOR,Restated
2008-12,890.79M,,890.79M,,,,,,,890.79M,13.91B,3.926B,,,855.47M,18.69B,-3.561B,15.13B,,,,5.795M,53.82M,455.76M,15.64B,16.54B,,250.31M,,,250.31M,113.85M,364.15M,,0.00,0.00,0.00,353.92M,718.07M,10.48B,,10.48B,,163.35M,,264.39M,10.75B,11.47B,,211.51M,456.15M,4.273B,208.79M,-35.80M,4.905B,,AOR,Restated
2008-09,530.05M,,530.05M,,,,,,,530.05M,13.76B,4.021B,,852.60M,,18.63B,-3.422B,15.21B,,,,3.131M,54.21M,,15.27B,16.37B,,315.29M,,,315.29M,79.57M,394.86M,10.10B,0.00,10.10B,10.10B,,10.50B,,,,,337.26M,,,,10.87B,,211.77M,647.87M,4.323B,209.05M,-26.68M,5.156B,,AOR,Restated
2008-06,273.60M,,273.60M,,,,,,,273.60M,13.90B,4.044B,,763.33M,,18.71B,-3.343B,15.36B,,,,3.308M,54.78M,,15.42B,16.08B,,290.14M,,,290.14M,116.98M,407.12M,9.870B,0.00,9.870B,9.870B,,10.28B,,,,,346.78M,,,,10.64B,,211.81M,604.37M,4.296B,209.10M,-20.24M,5.092B,,AOR,Restated
2008-03,502.65M,3.429M,506.08M,,,,,,,506.08M,,,,,,18.34B,-3.246B,15.09B,,,,3.429M,,,15.09B,16.01B,,295.70M,,,295.70M,78.70M,374.40M,,,,,,374.40M,9.863B,,9.863B,,348.75M,,,9.863B,10.59B,,212.23M,606.04M,4.280B,209.52M,-24.91M,5.073B,,AOR,Restated
2007-12,50.83M,,50.83M,,,,,,,50.83M,13.56B,3.948B,,828.53M,,18.33B,-3.170B,15.16B,,,,3.547M,56.27M,,15.22B,15.69B,,250.63M,,,250.63M,124.72M,375.35M,9.370B,139.00M,9.509B,9.509B,,9.884B,,,,,358.05M,,,,10.27B,,212.36M,599.50M,4.267B,209.66M,-15.88M,5.063B,,AOR,Restated
2007-09,62.73M,3.535M,66.27M,,,,,,,66.27M,,,,,,18.10B,-3.064B,15.04B,,,,26.58M,,,15.06B,15.79B,,154.36M,,,154.36M,89.92M,244.28M,,,,,,244.28M,9.528B,,9.528B,,364.68M,,,9.528B,10.29B,,213.07M,609.99M,4.325B,210.36M,-8.66M,5.139B,,AOR,Restated
2007-06,66.27M,4.225M,70.49M,,,,,,,70.49M,,,,,,18.14B,-3.126B,15.02B,,,,25.44M,,,15.04B,15.67B,,256.25M,,,256.25M,95.18M,351.44M,,,,,,351.44M,9.332B,,9.332B,,356.63M,,,9.332B,10.08B,,388.45M,288.11M,4.564B,385.68M,-6.867M,5.233B,,AOR,Restated
2007-03,171.74M,4.196M,175.94M,,,,,,,175.94M,,,,,,17.86B,-3.103B,14.75B,,,,27.62M,,,14.78B,15.32B,,198.59M,,,198.59M,70.30M,268.90M,,,947.50M,947.50M,,1.216B,8.474B,,8.474B,,385.32M,,,8.474B,9.241B,,389.08M,143.02M,5.177B,386.17M,-13.57M,5.695B,,AOR,Restated
2006-12,260.28M,,260.28M,,,,,,,260.28M,13.38B,3.428B,,431.03M,,17.24B,-3.022B,14.21B,,,,4.448M,43.38M,,14.26B,15.06B,,248.08M,,,248.08M,91.17M,339.25M,7.598B,460.00M,8.058B,8.058B,,8.397B,,,,,411.46M,,,,8.767B,,389.51M,159.53M,5.349B,386.57M,-14.01M,5.884B,,AOR,Restated
2006-09,76.32M,4.528M,80.85M,,1.452M,,,,,82.30M,,,,,,16.85B,-2.911B,13.94B,30.00M,,30.00M,683.09M,,,14.65B,14.97B,,290.85M,,,290.85M,73.17M,364.02M,,,,,,364.02M,8.328B,,8.328B,,396.59M,,,8.328B,9.049B,,390.27M,-162.41M,5.311B,387.35M,-14.63M,5.525B,,AOR,Restated
2006-06,72.17M,,72.17M,,0.879M,,,635.27M,,708.32M,,,,,,16.22B,-2.773B,13.45B,30.00M,,30.00M,668.83M,,,14.14B,14.46B,,259.08M,,,259.08M,86.53M,345.61M,,,,,,345.61M,7.689B,,7.689B,,398.93M,,,7.689B,8.385B,,505.52M,-89.78M,5.269B,502.61M,-10.93M,5.674B,,AOR,Restated
2006-03,86.78M,,86.78M,,1.364M,,,,,88.14M,,,,,,16.66B,-2.909B,13.75B,30.00M,,30.00M,37.12M,,,13.82B,14.18B,,250.22M,,,250.22M,70.02M,320.24M,,,,,,320.24M,7.440B,,7.440B,,402.84M,,,7.440B,8.123B,,506.02M,-111.30M,5.273B,503.11M,-12.36M,5.655B,,AOR,Restated
2005-12,,,,,,,,,,,,,,,,,,,,,,,,,,14.11B,,,,,,,,,,,,,,,,,,422.18M,,,,8.291B,,,,,,,5.395B,,AOR,Restated
2005-09,306.93M,,306.93M,,0.94M,,,,,307.87M,,,,,,15.28B,-2.806B,12.48B,30.00M,,30.00M,47.78M,,,12.56B,13.31B,,204.28M,,,204.28M,64.20M,268.48M,,,,,,268.48M,6.768B,,6.768B,64.20M,410.94M,,,6.832B,7.641B,,507.62M,-437.64M,5.207B,504.74M,-17.56M,5.260B,,AOR,Restated
2005-06,102.75M,,102.75M,,0.942M,,,,,103.69M,,,,,,15.19B,-2.766B,12.43B,30.00M,,30.00M,45.24M,,,12.50B,12.91B,,176.80M,,,176.80M,71.25M,248.05M,,,428.00M,428.00M,,676.05M,6.225B,,6.225B,71.25M,400.92M,,,6.296B,7.294B,,635.76M,-563.25M,5.172B,632.89M,-31.88M,5.213B,,AOR,Restated
2005-03,91.07M,,91.07M,,0.348M,,,,,91.42M,,,,,,14.88B,-2.693B,12.19B,30.00M,,30.00M,47.39M,,,12.27B,12.70B,,237.45M,,,237.45M,63.55M,301.00M,,,163.00M,163.00M,,464.00M,6.245B,,6.245B,,485.90M,,,6.245B,7.010B,,636.23M,-567.40M,5.150B,633.36M,-17.62M,5.202B,,AOR,Restated
2004-12,,,,,,,,,,,,,,,,,,,,,,,,,,12.66B,,,,,,,,,,,,,,,,,,535.58M,,,,7.048B,,,,,,,5.073B,,AOR,Restated
2004-09,64.99M,,64.99M,,3.209M,,,,,68.20M,,,,,,14.68B,-2.523B,12.16B,30.00M,,30.00M,55.62M,,,12.25B,12.53B,,261.69M,,,261.69M,68.56M,330.25M,,,,,,330.25M,6.346B,,6.346B,,536.41M,,,6.346B,6.983B,,654.49M,-671.78M,5.056B,651.66M,-23.63M,5.014B,,AOR,Restated
