,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2016-09,1.076B,1.076B,603.38M,472.87M,36.83M,36.83M,,-29.55M,,,,,,254.89M,217.98M,,,-24.15M,,193.83M,-0.305M,192.39M,,162.35M,-3.479M,16.35M,351.26M,205.13M,438.35M,220.37M,217.98M,0.93,0.0,0.0,,0.9752,0.93,0.93,0.0,0.4494,,0.9749,0.93,358.93M,361.24M,0.86
2016-06,1.062B,1.062B,591.16M,470.70M,39.91M,39.91M,,-5.19M,,,,,,266.48M,204.21M,,,6.451M,,210.66M,-0.513M,209.22M,,1.53M,1.077M,16.35M,211.83M,213.41M,432.91M,228.69M,204.21M,0.55,0.0,0.0,,0.5587,0.55,0.54,0.0,0.0043,,0.5487,0.54,356.65M,358.89M,0.86
2016-03,1.043B,1.043B,582.60M,460.40M,45.69M,45.69M,,-22.50M,,,,,,274.39M,186.02M,,,-18.45M,,167.57M,-1.725M,165.47M,,0.00,-0.153M,16.35M,165.32M,178.82M,416.06M,230.04M,186.02M,0.42,0.0,0.0,,0.458,0.42,0.42,0.0,0.0,,0.4579,0.42,355.08M,356.05M,0.86
2015-12,1.022B,1.022B,569.84M,452.51M,36.85M,36.85M,,-40.35M,,,,,,259.66M,192.85M,,,-68.87M,,123.98M,2.682M,118.03M,,31.38M,-0.133M,16.35M,149.28M,157.38M,417.94M,225.09M,192.85M,-0.23,0.6,0.0,,-0.1184,0.37,-0.23,0.6,0.086,,-0.1188,0.37,353.68M,355.06M,0.825
2015-09,976.92M,976.92M,529.83M,447.09M,36.95M,36.95M,,-9.917M,,,,,,242.75M,204.34M,,,-7.845M,,196.50M,-3.344M,197.21M,,2.046M,-0.862M,16.35M,198.40M,202.30M,413.54M,209.20M,204.34M,0.52,0.0,0.0,,0.5369,0.52,0.52,0.0,0.0058,,0.5369,0.52,351.76M,353.11M,0.825
2015-06,952.76M,952.76M,517.22M,435.54M,38.47M,38.47M,,-31.38M,,,,,,247.28M,188.26M,,,-37.55M,,150.72M,7.417M,140.35M,,190.11M,-1.534M,16.35M,328.92M,168.65M,398.96M,210.70M,188.26M,0.89,0.0,0.0,,0.9751,0.89,0.89,0.0,0.5411,,0.9749,0.89,350.40M,351.37M,0.825
2015-03,889.09M,889.09M,497.54M,391.55M,35.14M,35.14M,,-66.18M,,,,,,223.97M,167.58M,,,-2.662M,,164.92M,-0.304M,152.58M,,56.84M,-2.271M,16.35M,207.15M,154.95M,357.84M,190.26M,167.58M,0.57,0.0,0.0,,0.5838,0.57,0.56,0.0,0.1683,,0.5738,0.56,336.75M,337.81M,0.825
2014-12,864.03M,864.03M,483.72M,380.31M,27.62M,27.62M,,-54.48M,,,,,,223.01M,157.30M,,,-48.84M,,108.46M,5.102M,95.64M,0.00,110.84M,-1.486M,16.35M,204.99M,144.26M,354.28M,196.97M,157.30M,0.6,0.0,0.0,,0.7529,0.6,0.6,0.0,0.3574,,0.7523,0.59,327.68M,329.05M,0.795
2014-09,845.90M,845.90M,473.59M,372.31M,30.80M,30.80M,,-16.25M,,,,,,231.77M,140.54M,,,-24.94M,,115.60M,-10.20M,123.17M,,29.60M,-0.164M,16.35M,152.61M,133.59M,344.21M,203.67M,140.54M,0.44,0.0,0.0,,0.474,0.44,0.44,0.0,0.0946,,0.4739,0.44,311.12M,312.81M,0.795
2014-06,824.42M,824.42M,464.82M,359.60M,51.66M,51.66M,,-7.571M,,,,,,266.11M,93.49M,,,-5.895M,,87.60M,1.569M,74.51M,6.675M,6.668M,0.327M,16.35M,88.18M,82.62M,309.43M,215.94M,93.49M,0.22,0.02,0.0,,0.2463,0.24,0.22,0.02,0.0224,,0.2461,0.24,296.26M,298.00M,0.795
2014-03,801.31M,801.31M,462.26M,339.05M,32.86M,32.86M,,-0.804M,,,,,,266.18M,72.87M,,,-0.311M,,72.56M,2.26M,64.74M,0.46M,0.00,1.175M,16.35M,66.38M,66.69M,308.12M,235.26M,72.87M,0.17,0.0,0.0,,0.1727,0.17,0.17,0.0,0.0,,0.1727,0.17,289.61M,290.92M,0.795
2013-12,787.74M,787.74M,458.15M,329.59M,28.52M,28.52M,,-19.16M,,,,,,272.65M,56.94M,,,-18.27M,,38.67M,0.436M,33.58M,-7.886M,,2.308M,16.53M,28.00M,54.84M,301.90M,244.96M,56.94M,0.0663,-0.0265,,,0.1321,0.04,0.066,-0.0265,,,0.1315,0.04,288.27M,289.30M,0.765
2013-09,782.27M,782.27M,457.94M,324.33M,28.72M,28.72M,,-19.52M,,,,,,269.74M,54.58M,,,-22.95M,,31.63M,3.077M,28.22M,5.383M,0.00,3.688M,16.60M,37.29M,53.93M,297.75M,243.17M,54.58M,0.05,0.02,0.0,,0.127,0.07,0.05,0.02,0.0,,0.1265,0.07,286.02M,288.03M,0.765
2013-06,677.51M,677.51M,387.42M,290.08M,23.90M,23.90M,,-28.14M,,,,,,221.96M,68.12M,,,-24.40M,,43.73M,1.215M,37.05M,-29.87M,0.00,0.913M,16.60M,8.094M,62.68M,271.02M,202.90M,68.12M,0.08,-0.11,0.0,,0.1705,-0.03,0.08,-0.11,0.0,,0.1694,-0.03,273.09M,276.48M,0.765
2013-03,629.02M,629.02M,361.66M,267.36M,27.18M,27.18M,,-65.67M,,,,,,211.87M,55.50M,,,-67.28M,,-11.78M,2.763M,-12.29M,84.08M,,-0.139M,16.60M,71.66M,31.76M,246.98M,191.49M,55.50M,-0.11,0.32,,,0.0599,0.21,-0.11,0.32,,,0.0599,0.21,260.04M,260.04M,0.765
2012-12,487.60M,487.60M,249.10M,238.50M,20.04M,20.04M,,-17.51M,0.00,,,,,152.92M,85.59M,,,-16.63M,,68.96M,3.858M,65.33M,41.67M,,0.174M,16.60M,107.18M,81.93M,228.81M,143.22M,85.59M,0.1922,0.1571,,,0.2555,0.35,0.1908,0.1559,,,0.2536,0.35,259.60M,261.59M,0.74
2012-09,460.49M,460.49M,236.33M,224.16M,23.68M,23.68M,,-8.479M,27.01M,,,,,178.53M,45.63M,,,-7.549M,,38.08M,0.836M,36.51M,17.00M,,0.365M,16.60M,53.87M,45.56M,182.64M,137.01M,45.63M,0.09,0.08,,,0.1287,0.17,0.09,0.08,,,0.1284,0.16,224.39M,226.26M,0.74
2012-06,437.24M,437.24M,227.14M,210.10M,25.87M,25.87M,,-29.27M,,,,,,153.47M,56.63M,,,-25.11M,,31.52M,1.447M,31.53M,45.34M,,0.821M,16.72M,77.70M,57.72M,193.18M,136.54M,56.63M,0.04,0.21,,,0.1588,0.26,0.04,0.21,,,0.1579,0.25,213.50M,215.14M,0.74
2012-03,416.31M,416.31M,217.62M,198.70M,27.75M,27.75M,,-5.579M,,,,,,148.66M,50.04M,,,-4.448M,,45.59M,1.47M,45.65M,11.81M,,1.056M,19.21M,58.51M,52.64M,182.19M,132.15M,50.04M,0.14,0.06,,,0.1697,0.2,0.14,0.06,,,0.1694,0.19,199.66M,201.66M,0.74
2011-12,324.70M,324.70M,399.96M,-75.26M,,20.19M,,-12.70M,1.463M,,,,,121.51M,-196.77M,,,-1.408M,,22.35M,0.825M,23.14M,19.20M,,2.173M,17.23M,44.52M,37.55M,-15.77M,124.46M,-140.23M,0.04,0.1,,,0.1058,0.13,0.04,0.1,,,0.1055,0.13,186.06M,186.70M,0.715
2011-09,370.73M,370.73M,103.13M,267.60M,,19.74M,,-6.739M,0.132M,,84.43M,-84.43M,,131.45M,136.15M,84.43M,-84.43M,-6.739M,-84.43M,44.99M,0.223M,46.40M,5.948M,,1.488M,17.23M,53.84M,54.60M,249.18M,119.76M,129.42M,0.17,0.03,,,0.2078,0.21,0.17,0.03,,,0.2077,0.21,177.27M,177.85M,0.715
2011-06,369.60M,369.60M,99.81M,269.79M,,19.56M,,-13.74M,0.168M,,81.48M,-81.48M,,126.98M,142.81M,81.48M,-81.48M,-13.74M,-81.48M,47.59M,0.211M,48.35M,37.86M,,0.992M,,87.20M,63.02M,243.69M,114.62M,129.07M,0.18,0.21,,,0.2575,0.4,0.18,0.21,,,0.2571,0.39,176.44M,177.49M,0.715
2011-03,245.76M,245.76M,63.56M,182.19M,,17.71M,,-36.06M,0.248M,,56.90M,-56.90M,,88.70M,93.49M,56.90M,-56.90M,-36.06M,-56.90M,0.521M,0.129M,1.935M,29.88M,,0.242M,8.68M,32.05M,29.31M,136.53M,79.11M,57.42M,-0.04,0.19,,,0.1351,0.15,-0.04,0.19,,,0.1345,0.15,154.94M,155.48M,0.69
2010-12,105.59M,105.59M,167.68M,-62.08M,,14.30M,,-16.96M,0.766M,,,,,47.22M,-109.30M,,,-9.714M,,-12.68M,0.039M,-10.54M,56.58M,,-0.74M,5.305M,45.29M,-0.2596M,14.82M,60.25M,-45.43M,-0.14,0.43,,,-0.0603,0.3,-0.14,0.43,,,-0.0606,0.29,138.23M,138.85M,0.69
2010-09,168.94M,168.94M,20.33M,148.62M,,11.63M,,-30.33M,28.92M,,42.94M,-42.94M,,89.51M,59.11M,42.94M,-42.94M,-30.33M,-42.94M,-14.16M,0.052M,-12.32M,12.41M,,0.69M,5.347M,0.784M,8.092M,86.30M,57.52M,28.77M,-0.14,0.1,,,0.0174,-0.04,-0.14,0.1,,,0.0174,-0.04,125.30M,125.30M,0.69
2010-06,153.75M,153.75M,11.97M,141.78M,,11.88M,,-7.787M,0.00,,35.48M,-35.48M,,55.92M,85.86M,35.48M,-35.48M,-7.787M,-35.48M,42.60M,0.188M,44.24M,6.825M,,0.066M,5.484M,51.13M,52.06M,130.16M,52.08M,78.08M,0.31,0.06,,,0.3726,0.37,0.31,0.05,,,0.3724,0.37,123.81M,124.32M,0.68
2010-03,145.38M,145.38M,12.51M,132.86M,,16.82M,,-25.75M,0.00,,28.42M,-28.42M,,57.47M,75.39M,28.42M,-28.42M,-25.75M,-28.42M,21.21M,0.084M,21.90M,9.796M,,-0.373M,5.509M,31.32M,47.18M,96.63M,47.00M,49.64M,0.13,0.08,,,0.3381,0.21,0.13,0.08,,,0.3372,0.21,123.27M,123.79M,0.68
2009-12,109.51M,109.51M,8.06M,101.45M,,10.91M,,-0.41M,23.12M,,17.43M,-17.43M,,60.27M,41.18M,17.43M,-17.43M,-0.41M,-17.43M,23.34M,0.151M,23.19M,13.65M,,0.382M,5.519M,37.22M,23.98M,86.96M,46.19M,40.77M,0.26,0.0,,,0.2633,0.26,0.26,0.0,,,0.2633,0.26,122.79M,123.20M,0.68
2009-09,140.14M,140.14M,12.15M,127.99M,,10.36M,,-26.37M,0.00,,27.60M,-27.60M,,49.55M,78.44M,27.60M,-27.60M,-26.37M,-27.60M,24.47M,-0.055M,24.53M,0.158M,,-0.035M,5.52M,24.65M,41.64M,96.90M,44.83M,52.07M,0.17,0.0,,,0.3192,0.17,0.16,0.0,,,0.3087,0.17,114.87M,115.29M,0.68
2009-06,139.04M,139.04M,11.24M,127.80M,,11.06M,,0.00,0.00,,26.11M,-26.11M,,49.18M,78.62M,26.11M,-26.11M,,-26.11M,52.52M,0.021M,52.49M,12.26M,,-0.003M,5.516M,64.76M,52.49M,123.03M,44.41M,78.62M,0.42,0.11,,,0.42,0.53,0.42,0.11,,,0.42,0.53,110.86M,111.27M,0.68
2009-03,138.85M,138.85M,11.05M,127.80M,,17.36M,,1.678M,0.14M,,26.68M,-26.68M,,55.70M,72.10M,26.68M,-26.68M,1.678M,-26.68M,47.10M,0.05M,47.05M,19.60M,,-0.002M,5.524M,66.64M,45.37M,118.68M,44.90M,73.78M,0.38,0.18,,,0.3645,0.56,0.38,0.18,,,0.3646,0.56,108.21M,108.62M,0.68
2008-12,174.05M,133.99M,10.03M,123.95M,,13.50M,,0.00,0.094M,,28.58M,-28.58M,,48.31M,75.65M,28.58M,-28.58M,-21.88M,-28.58M,25.18M,0.136M,25.05M,2.343M,,0.002M,5.541M,27.39M,46.81M,99.54M,45.77M,53.77M,0.17,-0.03,,,0.3804,0.14,0.17,-0.03,,,0.3795,0.14,103.43M,103.87M,0.68
2008-09,139.35M,139.35M,11.19M,128.16M,,10.79M,,0.768M,0.00,,33.72M,-33.72M,,49.80M,78.36M,33.72M,-33.72M,-0.745M,-33.72M,43.89M,-0.153M,44.04M,15.28M,,-0.001M,5.73M,59.32M,44.52M,124.63M,47.02M,77.61M,0.4,0.16,,,0.405,0.56,0.4,0.16,,,0.405,0.55,96.04M,96.85M,0.68
2008-06,129.18M,129.18M,10.70M,118.49M,,10.58M,,0.00,0.00,,33.34M,-33.34M,,46.01M,72.48M,33.34M,-33.34M,,-33.34M,39.14M,0.044M,39.10M,122.16M,,-0.065M,5.784M,161.19M,39.03M,114.47M,41.99M,72.48M,0.37,1.37,,,0.37,1.74,0.37,1.36,,,0.37,1.73,89.29M,89.85M,0.68
2008-03,126.63M,126.63M,10.71M,115.92M,,12.33M,,1.326M,0.00,,35.10M,-35.10M,,48.67M,67.25M,35.10M,-35.10M,1.326M,-35.10M,33.47M,1.279M,32.19M,3.266M,,-0.062M,6.147M,35.40M,30.85M,111.67M,43.10M,68.57M,0.3,0.04,,,0.2852,0.34,0.3,0.04,,,0.2853,0.34,86.10M,86.61M,0.66
2007-12,119.39M,93.57M,7.413M,86.16M,,9.08M,,1.081M,-4.006M,,36.71M,-36.71M,,27.58M,58.58M,36.71M,-36.71M,,-36.71M,22.95M,0.269M,22.68M,23.05M,,0.169M,6.178M,45.90M,21.78M,104.60M,44.94M,59.66M,0.2,0.29,,,0.187,0.49,0.2,0.29,,,0.1871,0.49,82.39M,82.93M,0.66
2007-09,118.74M,118.74M,10.33M,108.41M,,8.649M,,0.00,1.504M,,33.22M,-33.22M,,47.66M,60.76M,33.22M,-33.22M,,-33.22M,27.53M,-0.023M,27.56M,3.41M,,-0.121M,6.317M,30.85M,27.44M,102.79M,42.03M,60.76M,0.26,0.04,,,0.26,0.3,0.26,0.04,,,0.26,0.3,80.71M,81.16M,0.66
2007-06,112.74M,112.74M,8.657M,104.09M,,9.957M,,0.00,1.236M,,31.69M,-31.69M,,44.47M,59.62M,31.69M,-31.69M,,-31.69M,27.92M,-0.069M,27.99M,4.106M,,-0.161M,6.317M,31.94M,27.83M,97.48M,37.86M,59.62M,0.27,0.05,,,0.27,0.32,0.27,0.05,,,0.27,0.32,79.06M,79.55M,0.66
2007-03,110.24M,110.24M,,,9.782M,9.782M,,,,,,,8.435M,50.90M,59.34M,,,,,28.01M,0.011M,27.87M,1.802M,,-0.126M,6.317M,29.67M,27.87M,93.20M,33.86M,59.34M,0.29,0.02,,,0.29,0.32,0.29,0.02,,,0.29,0.32,73.22M,73.79M,0.0
2006-12,76.81M,57.98M,,,,10.13M,,,0.25M,,,,,23.17M,33.77M,,,,,,,13.79M,9.185M,,-0.013M,5.465M,22.96M,13.77M,62.51M,28.74M,33.77M,0.12,0.15,,,0.12,0.27,0.11,0.15,,,0.11,0.27,64.35M,64.87M,0.64
2006-09,78.78M,78.78M,,,5.01M,5.01M,,,0.25M,,,,0.782M,28.99M,49.79M,,,,,,,26.50M,0.309M,,0.00,5.333M,26.81M,26.50M,74.32M,24.53M,49.79M,0.34,0.0,,,0.34,0.34,0.34,0.0,,,0.34,0.34,62.52M,62.87M,0.64
2006-06,77.90M,77.90M,,,4.798M,4.798M,,,0.25M,,,,0.707M,28.54M,49.36M,,,,,,,27.03M,0.967M,,0.00,5.333M,28.00M,27.03M,73.49M,24.13M,49.36M,0.35,0.02,,,0.35,0.37,0.35,0.02,,,0.35,0.37,61.55M,61.87M,0.64
2006-03,76.01M,76.01M,,,5.976M,5.976M,,,0.25M,-28.76M,,,29.47M,28.76M,47.25M,,,,,,,23.72M,1.255M,,0.00,5.333M,24.98M,23.72M,70.51M,23.26M,47.25M,0.32,0.02,,,0.32,0.34,0.31,0.02,,,0.31,0.34,58.18M,58.54M,0.62
2005-12,82.90M,82.90M,,,4.256M,4.256M,23.12M,,0.30M,-9.73M,,,-8.217M,9.73M,73.17M,,,,,,,29.34M,2.581M,,,5.333M,31.92M,29.34M,96.29M,23.01M,73.17M,0.44,0.04,,,0.44,0.49,0.44,0.04,,,0.44,0.48,55.95M,56.40M,0.62
2005-09,70.29M,70.29M,,,4.64M,4.64M,19.92M,,0.30M,-25.53M,,,26.20M,25.53M,44.76M,,,,,,,24.28M,1.016M,,,5.389M,25.30M,24.28M,67.42M,22.66M,44.76M,0.35,0.02,,,0.35,0.37,0.35,0.02,,,0.35,0.37,54.04M,54.36M,0.62
2005-06,66.11M,65.39M,,,4.337M,4.337M,19.31M,,0.30M,-43.07M,,,62.19M,43.07M,22.33M,,,,,,,3.253M,0.577M,,,5.436M,3.83M,3.253M,45.02M,22.69M,22.33M,-0.04,0.01,,,-0.04,-0.03,-0.04,0.01,,,-0.04,-0.03,53.43M,53.43M,0.62
2005-03,65.20M,65.20M,,,4.017M,4.017M,18.58M,,0.30M,-23.76M,,,24.62M,23.76M,41.44M,,,,,,,22.74M,0.498M,,,5.436M,23.24M,22.74M,62.88M,21.44M,41.44M,0.33,0.01,,,0.33,0.34,0.32,0.01,,,0.32,0.33,52.96M,53.45M,0.6
2004-12,49.41M,49.41M,,,6.246M,6.246M,96.03M,,0.30M,,,,-136.37M,30.37M,19.04M,,,,,,,24.01M,-2.801M,,,-20.03M,21.21M,24.01M,118.63M,99.59M,19.04M,0.35,-0.05,,,0.35,0.3,0.34,-0.05,,,0.34,0.29,52.58M,52.97M,0.6
2004-09,61.80M,61.80M,,,3.618M,3.618M,18.09M,,0.30M,-23.12M,,,24.24M,23.12M,38.68M,,,,,,,21.30M,0.507M,,,2.803M,21.81M,21.30M,58.59M,19.91M,38.68M,0.36,0.01,,,0.36,0.37,0.36,0.01,,,0.36,0.37,51.54M,52.01M,0.6
2004-06,58.90M,58.90M,,,3.56M,3.56M,17.17M,,0.30M,-21.90M,,,22.77M,21.90M,37.00M,,,,,,,19.90M,1.53M,,,2.222M,21.43M,19.90M,55.78M,18.77M,37.00M,0.34,0.03,,,0.34,0.37,0.34,0.03,,,0.34,0.37,51.23M,51.83M,0.6
2004-03,59.64M,59.64M,,,3.159M,3.159M,16.53M,,0.30M,-20.88M,,,21.78M,20.88M,38.76M,,,,,,,20.61M,0.312M,,,2.27M,20.92M,20.61M,57.01M,18.25M,38.76M,0.36,0.01,,,0.36,0.37,0.35,0.01,,,0.35,0.36,50.58M,51.36M,0.585
2003-12,33.17M,33.17M,,,,,,,,,,,18.03M,13.63M,19.54M,,,,,,,10.86M,8.219M,,,2.144M,19.08M,10.86M,36.74M,17.20M,19.54M,0.15,0.18,,,0.15,0.33,0.14,0.18,,,0.14,0.32,49.48M,50.31M,0.585
2003-09,49.09M,49.09M,,,,2.995M,12.60M,,0.25M,,,,0.717M,16.56M,32.52M,,,,,,,19.72M,5.577M,,,1.91M,25.30M,19.72M,46.71M,14.19M,32.52M,0.34,0.13,,,0.34,0.47,0.34,0.12,,,0.34,0.46,44.18M,44.83M,0.585
2003-06,44.82M,44.82M,,,,2.847M,10.78M,,0.25M,,,,0.68M,14.56M,30.26M,,,,,,,17.97M,1.093M,,,2.318M,19.06M,17.97M,42.85M,12.59M,30.26M,0.38,0.03,,,0.38,0.41,0.38,0.03,,,0.38,0.41,40.55M,41.14M,0.585
2003-03,44.14M,44.14M,,,,2.611M,10.92M,,0.25M,,,,0.635M,14.42M,29.72M,,,,,,,18.34M,0.959M,,,2.846M,19.30M,18.34M,42.57M,12.84M,29.72M,0.39,0.02,,,0.39,0.41,0.39,0.02,,,0.39,0.41,39.97M,40.47M,0.585
